SA4_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
509,20603,369,19,556,106,21666,15134,188,19,53,56,15450,2993,407,49,15,8,3475,1349,516,13,9,11,1892,361,308,41,13,0,722,3781,180,20,33,20,4034,1283,123,20,190,58,1671,75,28,5,4,0,107,9838,1560,152,265,103,11910,2184,154,17,65,42,2466,4270,346,31,400,45,5092,52037,2617,234,1342,353,56577
510,1924,168,51,3943,354,6439,3886,323,46,227,40,4526,2355,835,554,35,31,3807,2914,629,116,18,27,3703,1181,96,27,20,19,1337,918,165,76,193,86,1438,4906,737,327,1145,264,7383,64,21,4,13,3,95,12339,2481,1096,1421,423,17765,1430,209,128,337,192,2298,2943,782,327,1352,367,5772,22525,3965,1653,7274,1383,36799
511,11196,653,74,3069,284,15279,12555,512,35,226,39,13368,3782,1384,241,19,14,5445,1428,623,104,13,18,2185,312,158,104,24,11,610,3056,447,54,159,60,3776,1260,289,44,944,145,2679,65,35,8,10,0,124,9907,2937,554,1177,248,14825,1399,223,32,206,145,2010,3810,771,182,1154,227,6138,38856,5102,875,5833,943,51619
597,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,8,13
601,30206,990,1140,188,45,32574,31083,834,857,44,26,32843,8788,1527,2808,64,26,13213,2761,839,902,0,28,4532,598,330,288,0,22,1232,5495,747,1263,70,44,7617,567,115,191,68,10,944,118,44,45,3,0,209,18328,3604,5495,205,128,27750,1054,296,275,24,14,1656,2784,405,557,179,34,3956,83446,6130,8322,641,242,98783
602,21658,772,597,186,38,23251,18296,531,324,23,21,19194,5544,1026,1277,65,11,7934,1046,478,389,0,6,1923,432,313,185,0,3,944,3657,416,478,39,26,4620,541,87,59,69,15,780,95,27,19,0,0,143,11319,2355,2417,173,69,16334,998,167,66,26,15,1270,2408,440,259,177,22,3308,54687,4265,3657,592,162,63364
603,7495,33,15,137,24,7704,5622,20,4,22,12,5683,732,39,15,8,0,792,95,27,6,0,3,134,40,21,8,0,0,68,1158,29,15,20,6,1234,256,13,13,42,26,348,25,8,0,0,0,34,2302,131,60,75,37,2612,460,6,3,20,15,504,1037,26,3,80,6,1160,16918,225,87,333,94,17659
604,17828,552,54,212,44,18690,14604,185,20,42,17,14859,3666,863,87,26,9,4650,1518,806,29,0,9,2350,346,275,18,0,0,632,3198,454,52,32,13,3741,548,114,43,115,15,842,74,43,4,3,0,128,9348,2550,224,175,48,12340,763,104,9,29,15,920,2199,369,44,185,14,2811,44741,3759,348,640,134,49622
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,6494,569,1060,1037,52,9213,13928,1019,2016,70,9,17048,4274,1705,6214,18,36,12240,1153,761,706,4,14,2642,165,31,90,4,7,294,2161,617,1356,60,55,4244,1173,112,401,335,80,2098,61,18,55,4,3,140,8989,3245,8819,421,185,21661,502,91,153,52,35,826,2247,503,1100,772,128,4752,32155,5427,13148,2361,409,53503
702,2497,211,25,2644,497,5877,3795,601,50,200,65,4705,1181,1093,233,32,34,2568,3838,814,131,17,33,4828,1629,236,59,23,42,1995,906,313,55,186,84,1543,1696,516,181,730,364,3485,90,25,5,8,0,131,9340,2996,666,994,553,14547,1945,305,124,325,191,2883,1773,442,188,1135,316,3854,19359,4557,1048,5289,1614,31867
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,7
801,35057,5883,4088,102,35,45167,48997,9892,9102,7,31,68028,9473,6297,13215,4,49,29035,4441,2736,1447,18,10,8655,394,324,299,0,8,1027,4868,2385,3480,9,42,10793,1697,480,591,40,40,2848,112,54,52,0,0,213,20986,12275,19090,71,153,52579,1070,843,843,4,25,2790,2982,1253,1972,181,25,6414,109097,30145,35098,367,275,174972
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,445,29,28,0,5,503,261,13,6,0,4,286,107,3,4,0,5,115,59,31,49,0,0,139,39,0,3,0,0,42,167,23,21,0,4,218,81,9,18,0,3,118,0,0,0,0,0,0,458,65,97,0,14,632,93,5,11,7,9,119,199,11,32,0,10,259,1456,125,176,9,41,1805
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
