SUA_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
3019,49,93,139,32,41,69,25,67,99,25,141,158,92,419,505,103,257,359,351,172,522,268,191,458,344,202,547,331,155,492,227,130,355,286,121,407,616,176,791,477,38,512,425,62,492,302,18,321,679,87,765,710,47,754,60,194,253,5403,2602,8008
4000,759,1071,1826,382,488,876,374,1344,1710,395,2734,3129,1709,7482,9189,1723,3988,5710,6487,2877,9364,5274,3340,8614,5528,3227,8750,6589,2311,8902,4259,1662,5921,4667,1241,5911,8566,1791,10353,5871,331,6198,4193,459,4650,2278,133,2410,4987,853,5841,6184,357,6543,1202,2137,3339,71431,37811,109243
4001,3051,4972,8022,1339,1958,3295,1507,5778,7281,1838,11785,13622,5823,28738,34561,7131,18308,25438,21611,12189,33801,21305,14974,36279,25479,15889,41369,29105,12190,41295,21627,9750,31373,22537,7187,29717,48499,10735,59233,36306,1908,38218,27898,2471,30374,17803,655,18461,44044,3711,47758,22113,2772,24890,3055,5367,8425,362073,171338,533410
4002,60,104,160,31,44,74,34,162,199,56,340,393,181,888,1069,202,494,696,654,331,987,551,424,968,562,386,949,667,251,913,502,198,700,540,128,669,1167,203,1373,697,23,726,527,35,566,248,3,249,477,69,544,491,39,527,79,185,268,7714,4310,12024
4003,49,65,116,12,40,54,12,108,125,31,228,259,126,639,762,138,346,483,507,201,706,425,230,655,447,229,676,512,137,653,312,99,414,297,62,356,567,74,645,309,8,322,182,10,196,95,0,95,194,16,207,311,28,335,81,152,234,4611,2682,7288
4004,30,56,90,8,25,38,17,106,120,20,159,180,78,356,432,79,192,278,267,160,425,206,176,381,254,155,410,249,137,382,203,119,323,187,78,263,353,160,508,283,14,294,215,65,276,124,3,125,206,63,268,359,21,379,66,182,250,3194,2228,5418
4005,31,61,91,13,16,33,23,87,109,33,185,217,94,428,525,103,238,344,320,166,484,245,249,494,332,195,526,354,127,485,245,113,356,278,68,340,585,106,680,388,27,415,236,30,264,141,16,151,278,50,326,435,30,469,54,115,167,4185,2301,6492
4006,26,52,76,15,34,48,26,117,146,22,226,249,121,620,741,128,252,375,393,138,537,292,180,474,290,155,452,327,120,448,201,95,297,192,67,257,410,77,491,289,12,303,188,15,198,134,0,138,173,41,219,282,18,295,78,138,215,3592,2368,5956
4007,82,109,197,46,75,119,40,151,186,57,344,401,199,1063,1262,238,875,1114,1103,461,1565,944,429,1380,1027,349,1381,977,204,1184,446,165,611,489,89,575,723,135,856,419,32,446,270,43,314,145,11,159,372,85,453,537,37,571,101,194,291,8208,4843,13049
4008,73,79,145,24,57,81,36,210,249,41,384,426,156,714,873,175,326,501,499,205,697,409,286,693,392,276,663,430,217,649,271,208,480,294,150,439,608,233,841,486,21,506,405,59,465,240,13,253,413,81,495,426,31,459,110,185,300,5486,3739,9224
