SUA_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
5007,2551,5027,59,329,237,1100,154,708,2110,8226,2558,10371,108,424,155,480,490,1518,752,2427,3312,12793,18,76,56,199,49,169,514,1425,632,1868,23,62,56,121,342,738,423,924,1054,2789,114,243,7026,20853
5008,1269,2458,33,173,214,936,60,255,1548,6024,1851,7393,41,165,102,311,168,529,316,1003,2162,8396,4,19,35,117,16,63,196,511,253,708,9,32,20,46,84,197,120,275,371,982,33,62,3839,11897
5009,212152,418239,4218,23910,25068,114303,6323,28430,144850,551819,180457,718468,13250,55212,22409,76844,42581,134306,78233,266362,258688,984830,1218,5649,6080,20713,2963,10608,32993,86264,43249,123236,3815,12062,8607,19444,29867,64505,42286,96008,85539,219241,9135,19191,565513,1641507
5010,1173,2273,27,154,122,590,61,281,1243,4905,1457,5936,29,120,50,136,162,528,243,780,1704,6714,4,26,28,112,34,122,259,717,331,976,14,33,37,79,121,272,167,380,494,1359,62,135,3436,10478
6000,22877,45352,316,1776,1481,6862,598,2734,8125,31588,10522,42962,674,2722,1075,3364,3544,11002,5293,17092,15814,60055,94,422,476,1646,270,962,2538,6781,3371,9807,196,573,490,1021,2383,5078,3070,6670,6446,16483,465,966,45606,122854
6001,3331,6597,46,231,254,1146,91,400,1414,5476,1803,7254,100,400,196,635,470,1465,772,2498,2572,9756,24,104,112,378,63,218,663,1803,858,2502,43,128,117,245,504,1077,658,1450,1520,3950,107,217,7526,20520
6002,3824,7643,48,269,256,1174,109,506,1591,6064,2004,8014,139,578,221,696,591,1824,949,3101,2961,11112,23,104,135,456,77,258,783,2060,1008,2883,58,167,143,307,582,1239,781,1715,1795,4598,135,278,8712,23627
6003,25014,50054,364,2028,2232,10216,592,2667,13233,49900,16425,64812,1057,4348,1936,6378,4123,13084,7113,23814,23536,88626,147,640,824,2715,386,1367,4371,11194,5731,15914,394,1209,1093,2374,3711,8025,5194,11607,10928,27524,985,2062,60459,168272
6004,9974,19909,169,983,937,4292,260,1187,5050,19299,6421,25763,373,1538,717,2374,1619,5141,2705,9058,9124,34819,42,200,343,1158,145,547,1946,5023,2483,6923,154,464,422,921,1516,3296,2095,4686,4572,11606,382,807,24061,67142
6005,1993,3961,23,110,155,714,45,198,744,2795,958,3820,60,245,103,332,313,987,479,1564,1437,5380,11,60,40,145,19,74,288,724,366,1007,27,86,70,156,262,547,367,790,729,1796,54,103,4207,11244
7000,5149,10611,226,1516,511,2642,835,5042,4558,18727,6140,27931,138,622,212,665,1071,3938,1426,5224,7564,33148,70,426,167,700,445,2385,1751,5351,2434,8868,61,210,108,237,1113,3024,1285,3473,3717,12333,441,1161,16866,57260
7001,2256,4483,52,300,228,1040,108,531,1735,6714,2124,8585,54,220,165,493,341,1057,564,1772,2681,10350,22,99,72,254,78,316,549,1520,717,2191,28,78,75,161,330,780,436,1024,1155,3212,125,284,6213,18333
7002,11548,22624,242,1391,1300,5956,430,1957,8886,33462,10867,42757,458,1868,904,2892,1904,6034,3267,10794,14127,53555,71,342,345,1209,228,846,2424,6421,3066,8816,163,496,407,886,1565,3438,2138,4815,5200,13633,548,1162,31431,90978
8000,112,227,3,10,23,93,7,13,71,283,93,400,8,32,10,27,26,75,37,135,137,534,0,0,6,7,0,3,17,49,17,63,0,0,0,5,13,28,14,34,32,94,4,5,283,860
8001,50528,101363,730,4063,5651,25624,1066,4821,35226,134527,42669,169033,2600,10898,5177,17782,8256,26582,16029,55267,58702,224302,241,1120,1373,4344,464,1608,7202,17785,9283,24862,783,2444,2026,4411,6194,13472,8997,20328,18278,45182,1935,4070,129449,374919
9000,496,985,5,23,36,149,21,86,259,1021,312,1278,10,48,19,56,67,211,99,317,413,1594,0,6,14,46,5,37,56,138,84,223,4,8,9,21,44,107,60,130,135,350,22,46,1064,2979
