SUA_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
1020,7,438,18,0,463,109,1008,47,0,1165,31,445,20,0,495,23,373,25,0,417,18,699,31,0,751,20,822,29,0,877,32,925,39,0,997,63,857,38,0,964,91,703,38,0,832,85,333,24,4,438,25,42,3,0,73,508,6642,311,14,7468,5,428,12,0,445,58,978,40,0,1077,16,422,10,0,442,22,312,21,0,341,23,750,25,3,805,29,895,33,0,953,44,910,39,0,1001,54,853,35,0,940,80,704,35,0,816,87,303,20,0,408,48,44,0,0,92,457,6595,272,3,7328,16,864,30,0,907,169,1988,87,0,2246,48,867,31,0,943,38,678,43,0,764,45,1446,59,3,1553,51,1717,56,0,1828,76,1836,73,3,1994,119,1707,73,3,1906,172,1405,77,0,1650,168,635,45,4,850,68,88,12,0,167,969,13228,583,14,14796
1021,23,723,27,0,772,147,1391,68,0,1608,48,685,25,0,756,30,759,40,0,825,63,1353,65,0,1477,51,1326,62,0,1438,76,1438,47,0,1560,100,1480,50,0,1634,194,1355,62,0,1604,230,878,41,0,1145,190,231,26,0,445,1143,11614,510,4,13275,12,724,31,0,766,68,1440,70,0,1572,29,674,36,0,741,21,685,32,0,742,34,1489,50,3,1579,46,1341,57,0,1446,71,1465,55,0,1599,124,1679,61,4,1864,177,1514,71,0,1762,322,1002,64,0,1389,383,258,33,0,678,1285,12270,566,10,14139,35,1443,61,0,1539,219,2831,134,0,3185,79,1358,56,0,1498,50,1451,75,0,1574,92,2842,112,4,3057,96,2666,120,0,2880,147,2904,114,0,3158,229,3152,113,3,3501,369,2869,135,0,3367,545,1881,104,0,2532,572,488,61,0,1122,2428,23889,1081,15,27415
1022,10,436,21,0,467,47,793,57,0,903,14,348,19,0,377,11,333,32,0,366,27,820,57,0,903,12,729,55,0,800,22,691,53,0,758,35,602,50,0,686,32,474,33,0,543,69,268,22,0,357,55,56,8,0,125,335,5545,409,0,6294,9,413,24,0,443,39,788,52,0,873,8,306,12,0,331,3,295,13,0,314,21,879,51,0,952,11,727,37,0,778,28,690,43,0,759,32,644,38,0,708,55,524,32,0,611,91,348,26,0,466,110,81,37,0,231,410,5697,371,4,6481,17,854,46,0,912,84,1580,112,0,1773,21,651,29,0,709,14,625,46,0,679,47,1696,108,0,1859,26,1453,96,0,1578,45,1378,92,0,1520,69,1248,81,0,1396,89,1000,70,0,1158,157,617,54,0,832,168,141,43,0,353,739,11242,783,4,12764
1023,14,383,31,0,430,96,795,73,0,964,22,368,37,0,429,10,313,47,0,368,25,824,162,4,1007,28,729,137,0,901,36,667,103,0,803,49,645,57,0,754,49,423,26,0,504,30,188,19,0,241,16,36,8,0,59,377,5384,697,7,6458,9,356,15,0,375,33,796,81,0,905,13,319,27,0,352,7,308,22,0,337,14,838,46,0,903,22,687,54,0,762,39,660,42,0,741,53,582,32,0,672,62,425,24,0,505,57,200,19,0,273,55,59,13,0,124,363,5218,373,4,5962,19,744,52,0,809,123,1593,149,0,1869,36,692,59,0,782,21,621,67,0,710,38,1655,211,4,1909,50,1420,193,3,1663,72,1324,144,0,1543,106,1230,87,0,1425,110,849,53,0,1009,85,391,30,0,513,70,92,17,0,183,744,10601,1069,8,12421
1024,17,467,17,0,504,102,1274,67,0,1445,43,714,39,0,802,19,502,34,0,561,39,926,53,0,1013,29,1071,45,0,1143,62,1459,72,4,1594,102,1871,93,4,2064,196,2048,102,0,2352,233,1286,104,0,1625,151,231,59,0,439,984,11860,682,11,13540,3,494,22,0,517,56,1300,65,0,1419,27,617,30,0,679,7,500,22,0,536,32,980,43,0,1057,32,1251,52,0,1325,60,1662,64,0,1791,94,2157,96,0,2349,152,2321,103,0,2583,275,1358,112,0,1742,300,254,102,4,659,1039,12891,721,9,14661,15,960,40,0,1023,157,2574,135,0,2866,68,1336,70,0,1476,29,1002,61,0,1096,66,1901,98,0,2074,62,2319,93,4,2470,124,3127,132,7,3390,194,4029,186,4,4417,355,4365,201,0,4932,505,2643,216,0,3367,454,481,167,6,1100,2030,24744,1407,22,28200
1025,330,14106,623,15,15075,2551,28698,1514,11,32773,948,13473,730,8,15162,673,15170,999,21,16864,913,31287,2135,52,34377,885,28680,1823,41,31426,1270,27586,1547,25,30433,1885,25409,1319,34,28650,2604,20493,1091,29,24218,2746,10090,788,11,13642,1977,2101,400,0,4480,16787,217101,12980,231,247098,191,13553,637,15,14392,1194,28191,1356,8,30750,506,13355,677,7,14544,412,15335,779,14,16545,796,32768,1558,40,35155,959,30407,1322,31,32724,1403,29338,1129,27,31884,2131,27599,1051,44,30823,2772,22805,1012,49,26643,3797,11486,947,10,16242,4276,2875,794,5,7956,18442,227706,11259,256,257659,523,27660,1257,24,29468,3749,56882,2870,18,63521,1456,26827,1405,12,29704,1087,30508,1784,41,33411,1709,64052,3683,90,69537,1840,59086,3145,67,64149,2673,56926,2673,52,62319,4016,53012,2372,76,59476,5376,43300,2104,77,50858,6544,21577,1740,29,29882,6250,4975,1200,7,12432,35228,444808,24238,488,504762
1026,37,1078,120,0,1232,235,2028,233,3,2495,86,999,102,0,1191,64,978,170,0,1217,102,2161,477,5,2753,101,1818,412,0,2327,116,1802,285,4,2212,196,1919,173,6,2292,283,1629,99,6,2018,251,907,73,0,1233,170,227,27,0,429,1654,15544,2172,27,19394,21,1029,102,0,1155,107,2149,217,0,2468,66,931,99,0,1091,40,968,77,3,1090,88,2210,184,4,2487,99,1988,164,0,2252,156,1957,155,0,2268,212,2035,110,3,2361,253,1892,99,0,2246,342,941,67,3,1350,336,261,35,0,630,1722,16364,1307,15,19405,59,2107,225,0,2388,343,4173,448,3,4970,153,1931,201,4,2281,107,1953,247,3,2308,189,4375,659,11,5231,200,3804,575,3,4581,272,3762,440,8,4482,406,3951,284,11,4648,543,3520,195,9,4262,595,1847,141,5,2582,513,494,62,0,1060,3374,31909,3480,39,38803
1027,20,1479,80,0,1579,212,2768,183,0,3170,67,1215,72,0,1356,50,1104,81,6,1233,52,2568,165,7,2793,91,2319,150,4,2561,126,2164,147,3,2446,133,1924,114,9,2179,184,1549,89,0,1828,208,798,75,0,1079,162,190,40,0,393,1303,18071,1198,33,20612,16,1259,94,0,1372,92,2719,189,4,3005,39,1206,64,0,1312,36,1158,72,0,1268,61,2818,171,7,3055,77,2587,141,0,2811,109,2304,116,5,2534,145,2120,113,5,2381,197,1848,97,4,2144,291,955,83,5,1337,294,264,72,0,635,1363,19236,1212,24,21845,37,2734,176,0,2951,309,5487,370,3,6174,108,2417,140,3,2669,83,2257,153,4,2499,115,5385,336,10,5845,162,4903,294,7,5367,234,4470,265,12,4982,271,4049,225,14,4558,381,3403,184,6,3971,497,1753,159,3,2409,459,451,114,0,1031,2672,37310,2411,60,42452
1028,27,1114,66,7,1215,271,2583,125,5,2977,94,1311,63,3,1474,66,1110,73,0,1250,112,2126,144,3,2384,89,2351,144,7,2596,136,2564,135,10,2838,219,2617,154,5,2996,301,2829,158,4,3295,397,1763,131,0,2283,303,469,80,0,856,2006,20839,1269,43,24160,18,1022,62,0,1102,188,2553,136,3,2884,56,1361,57,0,1477,34,1227,66,0,1328,72,2370,113,0,2557,95,2600,128,10,2835,135,3012,133,11,3287,200,3215,146,4,3564,298,3282,176,5,3760,497,2071,149,3,2724,649,531,157,0,1336,2243,23245,1334,38,26854,43,2138,128,9,2318,457,5135,265,8,5863,155,2672,123,8,2954,106,2334,135,0,2578,180,4497,256,10,4948,187,4958,272,14,5427,271,5574,265,18,6123,416,5832,304,7,6555,597,6114,337,10,7056,889,3840,277,3,5007,946,1001,241,0,2191,4251,44090,2601,85,51016
1029,13,524,26,0,567,88,1099,65,0,1255,36,689,87,0,813,22,633,100,0,759,20,1248,113,0,1385,20,956,65,5,1039,40,995,58,0,1093,54,869,62,0,982,66,560,42,0,672,63,243,25,0,325,62,51,4,0,116,486,7867,645,7,9011,3,513,25,0,540,54,1102,58,0,1218,21,441,26,0,486,19,441,27,0,486,21,1129,65,0,1218,35,958,47,4,1045,45,1014,41,0,1102,55,825,31,3,918,78,574,35,0,686,99,256,23,0,380,115,77,7,0,197,540,7335,387,5,8266,20,1040,47,0,1106,143,2204,125,0,2473,57,1129,119,0,1298,44,1079,126,0,1244,46,2378,176,3,2600,57,1913,116,0,2088,85,2015,96,0,2196,106,1696,93,3,1892,145,1137,71,0,1351,157,502,47,0,704,177,124,13,0,309,1027,15203,1025,17,17273
1030,9,445,33,0,485,97,923,71,0,1089,45,413,34,0,488,21,374,34,0,426,43,799,59,0,901,36,871,65,0,974,57,968,68,3,1091,110,1165,58,0,1337,154,1400,60,0,1613,177,747,52,0,979,103,145,20,0,261,850,8248,545,10,9651,6,417,37,0,464,34,949,66,0,1054,16,428,39,0,477,19,365,22,0,410,32,876,64,0,975,37,974,69,0,1082,61,1087,49,0,1196,113,1337,57,0,1509,168,1514,64,0,1757,216,766,46,0,1026,188,172,26,0,383,881,8883,548,12,10321,14,858,77,0,943,134,1870,140,3,2146,60,838,68,0,968,40,738,57,3,836,66,1677,122,4,1869,71,1846,135,3,2054,118,2048,119,4,2292,222,2503,116,0,2850,327,2914,124,0,3365,393,1516,101,0,2002,286,315,43,0,645,1730,17129,1093,22,19973
1031,2315,137937,8379,198,148829,13028,277844,16110,261,307246,4411,127947,6802,194,139353,3277,151332,10278,429,165319,5159,348091,24961,1238,379449,5599,335120,20748,923,362385,8091,277538,15134,789,301547,12959,231543,12227,879,257608,18342,158493,8784,986,186606,20939,74170,6603,309,102022,16049,16055,4403,77,36583,110186,2136064,134432,6287,2386968,1198,131080,7890,198,140365,5986,269915,15006,259,291170,2558,121818,5995,185,130550,2193,144297,8298,441,155232,4468,359154,22366,1074,387058,5844,342106,18366,701,367020,9552,289754,13378,723,313407,16001,241032,10773,1514,269315,23400,172230,8848,1234,205710,31415,79019,7852,347,118635,30557,18714,8424,91,57783,133174,2169114,127194,6776,2436252,3521,269016,16264,401,289195,19014,547761,31119,527,598415,6964,249766,12799,374,269904,5476,295630,18575,877,320555,9631,707244,47328,2310,766512,11445,677227,39112,1625,729410,17642,567287,28513,1513,614960,28957,472569,23004,2388,526927,41743,330719,17633,2223,392320,52356,153191,14458,651,220656,46607,34770,12826,176,94370,243356,4305181,261626,13060,4823218
1032,33,1359,108,0,1505,234,2729,272,4,3241,80,1379,127,0,1584,60,1119,116,3,1298,81,2725,266,20,3094,88,2227,211,11,2542,106,2048,206,0,2367,147,1945,159,0,2247,225,1632,136,0,1997,220,927,143,0,1291,173,212,72,0,453,1454,18301,1817,47,21614,21,1185,112,0,1316,104,2614,287,0,3012,47,1178,123,0,1342,40,1196,111,0,1349,79,2938,239,0,3257,89,2393,221,5,2705,122,2261,166,0,2543,167,2259,147,0,2577,214,1887,137,3,2253,310,1152,175,0,1634,366,298,118,0,779,1548,19364,1830,21,22765,58,2540,221,4,2824,347,5343,555,3,6246,125,2554,252,0,2921,99,2316,228,3,2648,162,5670,501,23,6353,177,4619,433,14,5245,225,4310,372,0,4909,309,4206,304,3,4821,441,3523,278,9,4244,531,2085,317,0,2925,532,506,189,0,1239,3005,37665,3651,59,44379
1033,16,623,62,0,699,150,1394,188,0,1722,62,639,63,0,763,48,583,56,0,690,79,1157,110,6,1352,67,1048,122,0,1239,102,1160,115,3,1381,168,1380,140,0,1693,219,1358,103,0,1685,228,848,83,0,1158,169,193,41,0,397,1312,10382,1084,6,12789,15,623,60,0,704,57,1400,162,0,1614,36,645,52,0,732,28,579,49,0,659,74,1278,136,0,1489,69,1191,106,0,1370,105,1355,108,0,1564,168,1637,111,0,1918,221,1529,102,0,1856,302,912,95,0,1315,348,279,73,0,703,1411,11440,1053,5,13910,28,1248,121,0,1403,199,2794,350,0,3343,89,1291,115,0,1494,78,1164,107,0,1345,149,2433,251,3,2837,135,2240,228,0,2607,209,2513,217,3,2947,340,3019,249,0,3609,438,2888,208,0,3543,527,1759,182,0,2470,517,471,113,0,1100,2726,21815,2141,15,26700
1034,0,404,15,0,422,63,829,56,0,951,13,402,23,0,437,18,277,27,0,314,26,640,42,0,718,24,762,55,0,843,30,811,62,0,897,75,1019,76,0,1171,111,1265,62,0,1436,117,703,31,0,851,100,128,19,0,243,574,7239,462,6,8282,0,378,23,0,399,24,796,38,3,863,19,347,32,0,402,10,248,16,0,277,15,704,45,0,766,21,817,48,0,888,39,889,54,0,982,76,1258,73,0,1413,113,1423,54,0,1587,158,683,39,3,885,202,158,25,0,387,698,7695,452,8,8848,4,780,30,0,822,94,1620,98,3,1813,35,754,53,0,840,26,520,36,0,585,40,1342,94,0,1485,42,1579,103,0,1733,72,1697,113,0,1883,157,2282,151,0,2584,226,2687,114,0,3023,279,1379,71,3,1732,303,286,39,0,630,1269,14928,915,16,17131
1035,38,1776,113,0,1927,283,3425,217,8,3929,63,1944,102,0,2109,81,1953,115,12,2163,119,3728,225,38,4109,76,3067,189,27,3361,127,2811,185,6,3127,172,2671,130,0,2974,234,2071,112,3,2415,256,1050,104,0,1405,223,268,37,0,525,1673,24756,1534,92,28053,23,1754,82,0,1859,118,3423,217,0,3765,79,1845,93,0,2021,57,2234,109,0,2403,112,3894,204,0,4208,102,3296,184,3,3588,156,2994,154,3,3310,182,3023,134,0,3344,264,2331,118,0,2720,366,1276,110,3,1755,476,383,92,0,956,1948,26444,1504,32,29926,62,3524,198,3,3787,400,6847,443,9,7691,143,3792,198,0,4134,140,4190,217,19,4566,226,7615,429,42,8316,178,6365,376,37,6951,289,5802,341,6,6438,354,5691,266,8,6311,504,4405,231,0,5141,625,2318,214,3,3165,701,649,130,3,1481,3621,51198,3030,125,57977
1036,185,8404,404,6,9000,1219,17104,864,4,19196,427,8519,454,3,9398,347,9625,518,16,10506,512,17985,924,24,19443,526,17012,813,12,18355,718,17069,777,20,18586,1085,16508,680,17,18296,1513,12528,588,26,14657,1730,6466,515,6,8716,1319,1375,404,0,3100,9589,132595,6944,135,149257,79,7959,373,6,8416,609,16596,858,3,18067,267,8376,444,5,9090,256,9481,449,14,10192,435,18382,903,24,19745,525,17979,822,26,19345,904,17965,695,13,19580,1224,17498,650,27,19399,1675,13768,605,27,16070,2532,7059,635,5,10230,2590,1633,687,7,4908,11088,136689,7119,148,155042,262,16363,782,11,17418,1827,33703,1722,14,37263,694,16891,896,8,18488,599,19102,966,28,20696,949,36364,1825,47,39187,1048,34989,1632,35,37703,1619,35035,1477,34,38165,2307,34011,1331,45,37688,3189,26296,1192,47,30721,4270,13527,1142,12,18946,3903,3009,1091,4,8012,20670,269282,14055,284,304302
2000,281,15961,1199,7,17451,2618,37350,3352,26,43355,963,17606,1506,14,20091,649,14042,1341,33,16064,1031,29611,3291,131,34061,1081,32314,3640,50,37084,1711,39864,3845,51,45468,2918,47707,4026,30,54672,4074,44452,3495,29,52057,4068,20278,1951,14,26309,2794,3800,747,5,7343,22191,302980,28396,386,353956,184,15316,1122,10,16629,1293,36053,3093,14,40451,567,16518,1430,7,18519,379,12774,1106,35,14295,815,30973,2530,94,34419,1061,34800,2948,28,38829,1963,42072,3192,35,47264,3026,49507,3423,39,55995,3844,42771,2903,36,49549,4703,19335,1865,17,25921,5224,4342,1138,7,10713,23057,304462,24750,330,352592,467,31278,2327,17,34079,3914,73403,6444,39,83805,1527,34123,2932,27,38608,1024,26815,2445,69,30364,1843,60585,5829,219,68477,2140,67107,6590,79,75914,3674,81931,7038,89,92734,5946,97215,7446,69,110674,7916,87223,6401,67,101603,8767,39619,3818,33,52236,8025,8143,1882,15,18060,45251,607437,53144,716,706549
2001,18,787,45,0,848,155,1611,87,0,1855,43,620,32,0,695,23,633,27,0,682,40,1596,66,0,1702,46,1569,69,0,1685,68,1369,68,0,1501,72,1115,48,0,1235,137,911,49,3,1094,126,361,22,0,506,64,74,5,0,146,782,10654,510,10,11960,10,752,40,0,795,86,1506,74,0,1666,31,615,36,0,688,22,645,28,0,692,38,1709,73,4,1832,45,1646,61,0,1757,72,1484,60,0,1614,94,1236,61,3,1391,149,1011,45,0,1201,163,453,33,0,646,171,108,14,0,291,871,11166,517,10,12567,27,1539,79,0,1647,244,3118,162,0,3522,76,1238,65,0,1379,39,1280,51,0,1370,79,3308,147,4,3533,85,3212,137,3,3444,135,2851,124,5,3117,163,2358,110,3,2630,286,1924,96,3,2294,293,816,50,0,1151,233,187,14,0,431,1651,21822,1027,20,24519
2002,8,416,36,0,461,98,743,78,3,919,43,384,32,0,460,30,349,32,0,413,36,778,56,0,868,22,655,68,0,751,46,729,55,0,831,70,789,55,0,918,81,837,47,0,961,122,465,54,0,637,72,123,35,0,228,619,6274,549,4,7442,0,402,34,0,434,46,773,82,0,902,19,353,24,0,398,22,356,31,0,405,25,865,60,0,947,48,736,62,0,849,58,847,55,0,967,72,966,66,0,1103,94,933,66,0,1089,159,569,50,0,783,122,133,83,0,346,669,6929,610,0,8212,11,813,65,0,896,142,1516,159,0,1820,54,737,58,0,856,50,709,61,0,819,58,1640,113,0,1817,71,1393,128,0,1597,105,1575,110,0,1796,140,1753,118,0,2016,172,1766,110,0,2049,279,1036,103,0,1421,192,259,117,0,572,1285,13207,1155,8,15656
2003,84,3055,154,0,3288,582,6488,438,3,7516,219,3084,177,0,3484,180,3155,217,0,3548,250,6972,395,11,7628,241,5995,311,13,6550,313,5764,341,9,6425,436,5312,273,4,6025,577,4330,243,6,5162,620,2098,167,4,2895,451,474,94,0,1020,3954,46724,2810,58,53541,42,3018,170,0,3235,307,6369,297,4,6975,143,3061,215,0,3410,124,3331,202,3,3663,248,7132,412,3,7798,268,6729,350,0,7351,379,6446,299,6,7132,484,6043,252,9,6788,659,5225,251,7,6136,769,2624,204,3,3608,964,698,163,0,1822,4384,50671,2828,47,57918,127,6074,324,0,6522,891,12856,739,10,14491,357,6144,395,0,6900,303,6482,418,3,7213,495,14109,808,16,15427,508,12719,660,17,13900,698,12212,641,13,13558,918,11353,520,15,12812,1235,9550,493,19,11297,1390,4725,377,3,6499,1413,1171,260,0,2839,8335,97394,5639,102,111465
2004,81,2858,169,0,3111,629,5831,402,3,6860,219,2649,144,0,3020,151,2916,178,9,3258,237,6088,431,13,6765,210,5468,340,6,6019,268,5183,329,4,5778,351,4918,288,4,5562,485,4277,236,9,5002,559,2105,185,0,2847,448,508,130,0,1080,3627,42803,2826,46,49302,39,2843,189,3,3075,295,5722,335,3,6351,141,2704,173,0,3021,92,3118,140,0,3344,202,6662,414,4,7280,232,6033,346,4,6609,299,5779,292,0,6375,450,5740,310,4,6500,580,4873,211,8,5673,725,2464,205,4,3394,885,618,224,7,1729,3937,46557,2826,40,53363,118,5703,355,8,6178,923,11551,733,5,13212,366,5357,320,0,6039,244,6035,317,10,6601,433,12755,843,18,14048,442,11496,684,13,12628,564,10961,620,7,12157,802,10653,598,6,12066,1066,9151,445,12,10678,1282,4567,396,3,6246,1331,1122,353,6,2808,7566,89359,5653,88,102663
2005,6,232,12,0,255,38,518,38,0,588,9,230,26,0,267,8,149,46,0,198,16,370,231,0,616,12,511,172,0,700,24,582,132,5,742,35,658,75,0,767,36,699,63,0,800,49,351,54,0,450,45,71,59,0,172,278,4375,899,10,5564,3,198,10,0,208,16,489,39,0,543,7,221,11,0,246,7,129,8,0,146,7,412,28,0,446,16,612,38,0,663,31,706,40,0,776,30,783,38,0,849,62,830,53,5,948,82,449,73,0,609,75,100,127,0,308,340,4935,470,5,5746,9,435,25,0,468,53,1007,72,0,1128,19,451,38,0,513,13,281,54,0,347,22,778,261,0,1065,30,1122,210,0,1362,54,1284,169,5,1514,65,1440,109,0,1622,100,1520,116,0,1749,125,807,121,0,1059,119,175,187,0,476,617,9310,1364,19,11309
2006,7,313,25,0,345,53,672,48,0,778,16,343,16,0,370,12,335,12,0,361,38,755,65,5,863,31,644,40,0,720,46,640,36,0,721,54,632,39,0,726,69,567,33,0,669,111,328,26,0,468,82,75,13,0,168,511,5296,354,7,6175,0,323,19,0,342,27,631,43,0,702,10,325,10,0,346,12,314,7,0,324,34,733,39,3,807,25,623,40,5,697,45,685,23,0,757,50,714,29,0,803,81,662,52,0,796,118,389,21,0,530,189,116,15,0,323,597,5504,301,9,6410,11,632,45,0,687,84,1299,90,0,1476,25,664,23,0,714,20,643,20,0,683,68,1485,100,7,1663,57,1270,77,5,1415,90,1326,62,0,1475,106,1344,70,0,1526,153,1229,81,0,1464,224,721,47,0,995,270,189,28,0,492,1112,10802,656,13,12583
2007,8,564,33,0,612,86,1153,83,0,1321,36,603,31,0,671,28,465,36,0,530,36,1052,93,11,1192,45,973,65,0,1080,40,1194,89,0,1322,73,1303,85,0,1458,136,1234,85,0,1456,159,680,70,0,911,82,153,50,0,282,721,9381,720,15,10833,9,533,28,0,572,44,1186,69,0,1297,24,566,19,0,613,16,486,30,0,543,24,1151,82,0,1265,41,1132,65,0,1241,50,1329,63,0,1447,97,1443,67,0,1609,130,1363,81,0,1578,182,729,95,0,1004,184,170,104,0,466,808,10096,721,6,11626,21,1098,65,0,1179,124,2336,146,0,2613,64,1167,52,0,1280,45,949,73,0,1065,62,2201,177,11,2452,83,2109,130,0,2321,91,2525,154,0,2770,169,2745,152,0,3067,268,2597,165,0,3041,342,1409,168,0,1916,266,326,154,0,753,1530,19476,1436,19,22464
2008,155,8141,361,8,8675,1318,16025,869,10,18214,492,7518,375,12,8404,324,8276,581,6,9193,473,18073,1406,19,19971,391,16607,1138,23,18158,583,15601,956,10,17154,801,14016,758,21,15605,1176,11957,590,14,13739,1413,5738,427,9,7586,1098,1366,228,5,2699,8233,123328,7702,133,139404,81,7831,347,4,8257,658,15789,851,10,17300,273,7344,361,16,7996,220,8223,421,5,8873,422,18765,878,19,20082,493,18107,865,26,19493,725,17006,756,18,18494,1043,15945,615,26,17627,1384,13629,625,21,15660,2048,6702,530,5,9285,2411,1607,375,0,4397,9746,130947,6619,161,147474,235,15977,710,14,16936,1977,31813,1715,19,35523,770,14864,739,31,16398,545,16496,1001,17,18065,891,36837,2282,38,40055,889,34711,2002,50,37652,1308,32605,1711,27,35650,1841,29962,1377,43,33227,2558,25585,1216,34,29402,3461,12439,958,13,16879,3512,2979,602,3,7099,17979,254273,14317,295,286876
