SUA_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
1025,645,13654,858,8,15162,788,14959,1099,21,16864,2158,29872,2306,52,34377,3235,26184,1967,41,31426,4198,24587,1623,25,30433,4827,22440,1347,34,28650,3469,19488,1235,29,24218,1588,10993,1046,11,13642,438,3396,647,0,4480,21351,165567,12120,212,199254,760,13008,765,7,14544,1137,14517,872,14,16545,3575,29890,1649,40,35155,5560,25718,1416,31,32724,7130,23569,1163,27,31884,7812,21896,1077,44,30823,4828,20528,1236,49,26643,1833,12981,1414,10,16242,345,6257,1340,5,7956,32985,168364,10936,234,212516,1407,26669,1620,12,29704,1921,29472,1971,41,33411,5734,59756,3954,90,69537,8790,51905,3384,67,64149,11330,48149,2789,52,62319,12638,44336,2421,76,59476,8294,40020,2469,77,50858,3425,23977,2453,29,29882,787,9644,1990,7,12432,54331,333933,23058,443,411773
1026,56,1018,117,0,1191,62,981,178,0,1217,188,2070,493,5,2753,222,1686,416,0,2327,293,1611,299,4,2212,352,1733,204,6,2292,260,1641,106,6,2018,161,992,75,0,1233,42,349,39,0,429,1631,12087,1922,23,15666,56,924,114,0,1091,83,921,88,3,1090,307,1977,199,4,2487,390,1679,181,0,2252,495,1611,159,0,2268,547,1696,118,3,2361,392,1741,117,0,2246,156,1092,101,3,1350,40,548,46,0,630,2457,12188,1127,15,15782,113,1940,228,4,2281,142,1906,257,3,2308,493,4049,691,11,5231,616,3366,598,3,4581,789,3228,459,8,4482,892,3426,321,11,4648,649,3382,226,9,4262,317,2084,178,5,2582,82,893,89,0,1060,4088,24273,3044,40,31447
1027,50,1224,82,0,1356,54,1084,92,6,1233,138,2463,187,7,2793,261,2138,157,4,2561,309,1974,158,3,2446,315,1736,110,9,2179,197,1533,91,0,1828,122,866,92,0,1079,44,302,48,0,393,1485,13319,1024,35,15856,72,1155,91,0,1312,96,1089,81,0,1268,313,2547,184,7,3055,420,2219,160,0,2811,517,1879,132,5,2534,521,1737,118,5,2381,313,1715,112,4,2144,136,1078,121,5,1337,29,502,107,0,635,2416,13923,1104,23,17468,123,2380,167,3,2669,150,2171,177,4,2499,450,5013,371,10,5845,681,4358,319,7,5367,819,3855,290,12,4982,834,3478,231,14,4558,517,3240,209,6,3971,258,1939,207,3,2409,73,806,151,0,1031,3899,27246,2129,57,33323
1028,81,1298,85,3,1474,65,1093,90,0,1250,163,2065,154,3,2384,257,2173,158,7,2596,406,2285,144,10,2838,457,2373,157,5,2996,370,2736,182,4,3295,278,1822,183,0,2283,84,619,151,0,856,2162,16466,1308,37,19969,84,1322,77,0,1477,113,1142,75,0,1328,293,2126,134,0,2557,508,2177,141,10,2835,750,2390,135,11,3287,811,2606,144,4,3564,651,2902,199,5,3760,288,2176,247,3,2724,76,991,270,0,1336,3579,17833,1422,37,22870,167,2626,160,8,2954,174,2237,164,0,2578,457,4191,290,10,4948,764,4345,302,14,5427,1154,4673,277,18,6123,1271,4975,305,7,6555,1023,5646,382,10,7056,570,4000,432,3,5007,160,1611,417,0,2191,5737,34301,2733,68,42841
1029,38,679,95,0,813,23,625,109,0,759,86,1173,122,0,1385,117,844,77,5,1039,134,895,60,0,1093,149,771,66,0,982,91,538,39,0,672,43,261,28,0,325,10,102,8,0,116,681,5903,592,10,7183,27,427,31,0,486,37,425,30,0,486,120,1025,72,0,1218,159,834,47,4,1045,231,824,47,0,1102,209,666,35,3,918,114,531,39,0,686,30,328,21,0,380,11,170,8,0,197,928,5243,326,5,6511,62,1109,125,0,1298,58,1054,136,0,1244,204,2205,194,3,2600,273,1685,125,0,2088,361,1726,108,0,2196,354,1440,97,3,1892,208,1072,77,0,1351,73,594,45,0,704,23,269,17,0,309,1613,11143,921,16,13697
1030,25,421,50,0,488,27,377,25,0,426,58,781,56,0,901,110,789,74,0,974,178,838,77,3,1091,217,1049,70,0,1337,200,1341,73,0,1613,124,788,65,0,979,32,214,23,0,261,964,6599,508,9,8072,23,411,45,0,477,41,336,30,0,410,106,798,68,0,975,215,791,74,0,1082,253,892,58,0,1196,375,1072,68,0,1509,277,1396,74,0,1757,123,836,67,0,1026,27,313,42,0,383,1436,6842,522,10,8808,42,832,89,0,968,67,712,56,3,836,163,1578,122,4,1869,322,1581,144,3,2054,426,1729,133,4,2292,592,2117,138,0,2850,481,2733,151,0,3365,251,1625,133,0,2002,56,528,66,0,645,2401,13439,1029,19,16884
1031,5788,125697,7670,194,139353,7947,145233,11714,429,165319,19426,329839,28952,1238,379449,30949,306921,23586,923,362385,36654,247490,16613,789,301547,34811,208720,13195,879,257608,19918,156096,9607,986,186606,10085,83933,7705,309,102022,3243,28003,5258,77,36583,168823,1631931,124304,5821,1930889,6315,117266,6788,185,130550,9262,136233,9297,441,155232,27718,332924,25345,1074,387058,45940,299944,20430,701,367020,57202,241054,14425,723,313407,52994,203274,11536,1514,269315,29212,165269,9996,1234,205710,12024,96585,9678,347,118635,2470,44736,10477,91,57783,243149,1637286,117973,6316,2004719,12104,242965,14457,374,269904,17208,281461,21007,877,320555,47144,662759,54298,2310,766512,76888,606868,44021,1625,729410,93858,488545,31040,1513,614960,87808,411996,24735,2388,526927,49135,321363,19607,2223,392320,22106,180520,17385,651,220656,5719,72742,15734,176,94370,411974,3269222,242282,12138,3935613
1032,65,1377,145,0,1584,72,1099,126,3,1298,199,2567,307,20,3094,264,2043,222,11,2542,290,1846,224,0,2367,335,1748,164,0,2247,222,1641,132,0,1997,138,986,163,0,1291,43,303,105,0,453,1639,13622,1574,39,16873,80,1129,127,0,1342,104,1123,125,0,1349,340,2662,254,0,3257,439,2017,237,5,2705,534,1844,168,0,2543,632,1792,156,0,2577,406,1682,154,3,2253,201,1224,212,0,1634,33,585,164,0,779,2763,14056,1601,18,18440,151,2510,264,0,2921,175,2220,252,3,2648,539,5233,558,23,6353,707,4063,458,14,5245,827,3689,392,0,4909,963,3540,315,3,4821,625,3327,291,9,4244,341,2217,375,0,2925,82,888,259,0,1239,4401,27680,3174,54,35308
1033,36,647,80,0,763,50,567,72,0,690,114,1106,132,6,1352,182,926,132,0,1239,225,1034,123,3,1381,266,1280,146,0,1693,214,1337,135,0,1685,128,890,141,0,1158,38,284,82,0,397,1261,8062,1035,6,10365,31,621,75,0,732,64,536,51,0,659,203,1130,152,0,1489,281,970,114,0,1370,400,1059,105,0,1564,486,1314,116,0,1918,312,1396,148,0,1856,142,1026,146,0,1315,26,550,121,0,703,1946,8612,1029,6,11592,74,1272,155,0,1494,119,1104,122,0,1345,323,2231,277,3,2837,463,1898,249,0,2607,618,2090,228,3,2947,750,2596,261,0,3609,524,2729,280,0,3543,273,1917,283,0,2470,67,834,205,0,1100,3204,16670,2065,10,21954
1034,24,379,33,0,437,26,267,24,0,314,51,613,51,0,718,80,698,56,0,843,142,699,56,0,897,183,903,86,0,1171,175,1202,53,0,1436,116,681,54,0,851,28,189,23,0,243,826,5633,442,5,6903,23,338,39,0,402,16,238,18,0,277,78,641,54,0,766,139,696,48,0,888,217,700,61,0,982,325,1004,81,0,1413,242,1274,71,0,1587,102,720,59,3,885,21,327,37,0,387,1163,5947,469,3,7583,47,716,73,0,840,44,504,40,0,585,127,1252,103,0,1485,223,1397,107,0,1733,355,1402,120,0,1883,511,1910,164,0,2584,416,2478,128,0,3023,218,1409,108,3,1732,46,518,64,0,630,1988,11586,912,9,14494
1035,90,1892,127,0,2109,101,1915,138,12,2163,260,3560,250,38,4109,343,2775,218,27,3361,405,2523,195,6,3127,452,2367,149,0,2974,310,1976,135,3,2415,168,1109,132,0,1405,50,414,66,0,525,2182,18527,1401,87,22191,126,1778,120,0,2021,167,2123,117,0,2403,440,3531,230,0,4208,624,2767,190,3,3588,706,2431,167,3,3310,820,2376,149,0,3344,498,2065,152,0,2720,198,1396,152,3,1755,47,755,158,0,956,3627,19216,1437,23,24305,221,3672,237,0,4134,270,4034,254,19,4566,703,7089,485,42,8316,970,5534,407,37,6951,1109,4955,365,6,6438,1273,4744,295,8,6311,807,4041,284,0,5141,367,2506,284,3,3165,97,1163,224,3,1481,5806,37740,2834,112,46499
1036,414,8470,515,3,9398,545,9367,574,16,10506,1285,17109,1025,24,19443,1867,15577,908,12,18355,2855,14884,833,20,18586,3302,14276,700,17,18296,1984,11990,653,26,14657,1031,7034,647,6,8716,319,2262,525,0,3100,13595,100970,6375,125,121061,487,8080,514,5,9090,730,8939,509,14,10192,1961,16743,1013,24,19745,3121,15308,894,26,19345,4316,14509,739,13,19580,4964,13747,660,27,19399,2718,12638,687,27,16070,1073,8331,818,5,10230,215,3780,915,7,4908,19584,102081,6751,142,128561,904,16549,1028,8,18488,1272,18305,1090,28,20696,3246,33859,2041,47,39187,4988,30881,1803,35,37703,7166,29393,1568,34,38165,8261,28024,1363,45,37688,4704,24629,1343,47,30721,2108,15363,1466,12,18946,536,6039,1434,4,8012,33179,203049,13125,265,249617
2000,1010,16905,2156,14,20091,1034,13539,1452,33,16064,2561,27858,3513,131,34061,4171,29083,3784,50,37084,6572,34856,3996,51,45468,8657,41758,4236,30,54672,6539,41501,3980,29,52057,2869,20849,2583,14,26309,635,5655,1049,5,7343,34058,231997,26744,356,293155,1164,15403,1949,7,18519,1243,11821,1200,35,14295,4070,27575,2683,94,34419,6939,28829,3038,28,38829,10992,32933,3299,35,47264,13995,38341,3619,39,55995,8864,37261,3393,36,49549,3189,20016,2696,17,25921,461,8599,1644,7,10713,50919,220767,23521,306,295512,2176,32306,4107,27,38608,2275,25359,2657,69,30364,6629,55434,6197,219,68477,11108,57906,6825,79,75914,17561,67784,7296,89,92734,22654,80101,7851,69,110674,15404,78766,7374,67,101603,6059,40870,5275,33,52236,1103,14255,2693,15,18060,84975,452766,50261,663,588667
2001,31,637,33,0,695,39,616,29,0,682,127,1484,93,0,1702,208,1392,75,0,1685,220,1216,66,0,1501,193,997,49,0,1235,149,897,49,3,1094,68,410,28,0,506,15,115,10,0,146,1052,7766,433,10,9252,29,615,37,0,688,52,608,31,0,692,225,1513,88,4,1832,352,1322,77,0,1757,360,1195,62,0,1614,314,1013,65,3,1391,217,932,53,0,1201,66,535,45,0,646,9,252,26,0,291,1628,7985,477,10,10105,60,1250,67,0,1379,91,1220,56,0,1370,346,3000,180,4,3533,564,2720,160,3,3444,579,2412,128,5,3117,507,2010,112,3,2630,363,1831,103,3,2294,136,947,71,0,1151,27,371,33,0,431,2675,15752,907,15,19355
2002,30,381,42,0,460,24,355,32,0,413,74,736,60,0,868,93,593,66,0,751,153,616,63,0,831,156,701,62,0,918,123,787,58,0,961,77,485,81,0,637,25,151,51,0,228,743,4805,510,5,6060,38,320,43,0,398,44,325,35,0,405,114,769,60,0,947,155,628,61,0,849,247,650,65,0,967,280,748,71,0,1103,192,816,79,0,1089,88,614,82,0,783,12,218,111,0,346,1167,5092,617,0,6875,60,702,88,0,856,67,683,70,0,819,190,1501,121,0,1817,250,1226,131,0,1597,401,1266,129,0,1796,438,1449,133,0,2016,313,1595,134,0,2049,163,1104,162,0,1421,32,371,163,0,572,1909,9898,1123,6,12937
2003,159,3112,211,0,3484,191,3118,238,0,3548,525,6638,451,11,7628,740,5438,359,13,6550,985,5102,336,9,6425,1027,4708,287,4,6025,742,4139,269,6,5162,366,2270,253,4,2895,91,767,159,0,1020,4838,35299,2557,49,42744,179,2994,239,0,3410,278,3155,227,3,3663,902,6451,440,3,7798,1322,5664,357,0,7351,1782,5029,313,6,7132,1807,4697,264,9,6788,1164,4677,288,7,6136,446,2851,305,3,3608,86,1442,296,0,1822,7966,36956,2746,40,47708,338,6104,452,0,6900,470,6275,464,3,7213,1431,13089,896,16,15427,2059,11107,716,17,13900,2767,10131,646,13,13558,2840,9405,553,15,12812,1910,8812,559,19,11297,812,5121,560,3,6499,177,2210,458,0,2839,12803,72249,5304,92,90447
2004,125,2702,193,0,3020,182,2874,194,9,3258,487,5799,466,13,6765,702,4935,372,6,6019,853,4564,355,4,5778,998,4258,301,4,5562,740,3991,268,9,5002,365,2248,238,0,2847,114,815,144,0,1080,4571,32183,2531,40,39329,174,2662,187,0,3021,257,2935,151,0,3344,891,5967,419,4,7280,1223,5011,373,4,6609,1515,4537,319,0,6375,1750,4448,301,4,6500,1116,4282,264,8,5673,463,2650,285,4,3394,84,1362,275,7,1729,7482,33852,2569,35,43939,299,5359,380,0,6039,445,5806,343,10,6601,1378,11768,887,18,14048,1927,9949,748,13,12628,2373,9107,671,7,12157,2750,8704,602,6,12066,1865,8272,529,12,10678,825,4895,518,3,6246,195,2183,425,6,2808,12054,66040,5101,72,83269
2005,13,218,37,0,267,14,140,43,0,198,45,334,236,0,616,56,466,176,0,700,110,493,127,5,742,137,559,69,0,767,93,634,70,0,800,50,342,59,0,450,11,98,58,0,172,536,3288,881,10,4716,9,207,19,0,246,20,120,13,0,146,54,370,26,0,446,117,508,40,0,663,194,539,43,0,776,235,578,39,0,849,150,732,60,5,948,72,452,85,0,609,17,155,141,0,308,868,3661,463,5,4994,29,427,54,0,513,34,260,55,0,347,99,708,260,0,1065,180,973,214,0,1362,303,1036,168,5,1514,373,1139,105,0,1622,246,1373,130,0,1749,124,793,143,0,1059,24,251,199,0,476,1405,6949,1339,13,9709
2006,13,339,17,0,370,19,321,19,0,361,49,740,63,5,863,79,600,37,0,720,107,569,43,0,721,142,547,39,0,726,106,525,45,0,669,52,376,43,0,468,15,131,25,0,168,581,4148,313,7,5055,17,307,16,0,346,28,288,7,0,324,88,673,43,3,807,129,530,34,5,697,189,541,27,0,757,239,520,38,0,803,149,580,59,0,796,68,411,44,0,530,6,285,34,0,323,920,4133,308,9,5371,28,645,36,0,714,48,612,27,0,683,135,1417,107,7,1663,210,1126,72,5,1415,295,1112,66,0,1475,381,1072,74,0,1526,254,1101,103,0,1464,122,785,81,0,995,19,416,53,0,492,1499,8287,620,13,10422
2007,24,592,54,0,671,32,456,42,0,530,66,1010,105,11,1192,128,881,74,0,1080,165,1052,101,0,1322,219,1155,86,0,1458,174,1195,90,0,1456,112,712,88,0,911,22,208,60,0,282,940,7257,692,15,8908,35,536,43,0,613,32,469,39,0,543,123,1048,89,0,1265,220,957,69,0,1241,317,1051,74,0,1447,342,1196,69,0,1609,286,1198,96,0,1578,115,775,117,0,1004,23,314,128,0,466,1489,7549,717,6,9758,61,1130,91,0,1280,60,923,80,0,1065,190,2057,198,11,2452,348,1830,145,0,2321,487,2108,175,0,2770,564,2354,157,0,3067,458,2398,183,0,3041,218,1487,211,0,1916,41,524,186,0,753,2432,14809,1414,19,18671
2008,340,7584,466,12,8404,466,8072,640,6,9193,1219,17227,1504,19,19971,1812,15107,1212,23,18158,2514,13638,989,10,17154,2683,12123,775,21,15605,1942,11132,659,14,13739,947,6108,528,9,7586,266,2105,332,5,2699,12185,93091,7114,118,112509,421,7114,441,16,7996,627,7774,463,5,8873,1995,17085,975,19,20082,3131,15418,918,26,19493,4414,13297,771,18,18494,4763,12194,645,26,17627,2902,11982,756,21,15660,1120,7394,760,5,9285,164,3642,592,0,4397,19534,95904,6315,150,121911,758,14697,908,31,16398,1093,15850,1105,17,18065,3219,34314,2483,38,40055,4943,30524,2133,50,37652,6925,26931,1765,27,35650,7441,24318,1422,43,33227,4842,23111,1411,34,29402,2074,13506,1286,13,16879,424,5745,924,3,7099,31718,188999,13431,268,234415
2009,55,735,53,0,840,33,442,26,0,505,58,734,35,0,824,151,1206,50,4,1408,190,1317,68,3,1579,242,1137,58,3,1436,150,857,43,0,1056,58,467,34,0,568,15,87,26,0,124,952,6990,387,10,8344,38,635,47,0,723,40,385,28,0,452,101,744,28,0,873,254,1305,63,0,1621,395,1287,77,0,1757,397,990,50,0,1432,218,885,52,3,1153,65,467,40,0,575,6,136,45,0,188,1511,6835,418,4,8774,92,1371,100,0,1559,67,826,54,0,950,158,1477,55,0,1690,404,2512,114,4,3032,588,2609,140,3,3333,637,2127,106,3,2872,368,1748,90,0,2209,129,937,80,0,1141,20,228,68,0,317,2462,13828,809,14,17111
2010,21,456,41,0,517,16,423,30,0,473,73,964,80,0,1122,108,764,45,0,921,146,740,43,0,932,168,791,47,0,1009,132,653,45,0,829,62,429,39,0,532,23,187,24,0,231,746,5410,400,4,6556,27,371,35,0,432,43,427,43,0,509,125,963,65,0,1155,188,770,48,0,1007,210,736,45,0,999,305,763,38,0,1109,166,735,48,4,948,83,542,64,0,691,16,316,37,0,364,1172,5619,413,8,7210,46,827,74,0,952,57,853,73,0,979,202,1928,145,3,2270,297,1531,96,0,1928,358,1479,90,0,1929,478,1557,82,0,2118,295,1383,89,0,1774,149,973,99,0,1221,37,502,61,0,594,1913,11033,819,7,13771
2011,5799,124607,7220,188,137813,8568,146560,10706,408,166248,22695,334334,27340,922,385283,34321,301335,21221,718,357590,43251,239940,15418,771,299384,41656,194700,11364,819,248544,24653,147585,8424,816,181476,12540,83386,6867,269,103068,4025,29564,4028,73,37693,197504,1602014,112584,4992,1917091,6584,117498,6605,173,130858,10932,137298,8649,362,157240,33648,333847,23451,820,391764,51832,293484,18324,512,364149,69960,230787,13485,655,314892,66367,186612,10464,1363,264795,37632,157932,9509,1137,206208,15020,99753,8691,338,123801,2874,49908,7579,82,60442,294845,1607122,106749,5437,2014159,12384,242105,13822,361,268673,19498,283856,19355,773,323488,56340,668176,50790,1741,777044,86152,594815,39545,1234,721741,113212,470731,28896,1426,614269,108022,381311,21826,2177,513338,62283,305519,17930,1953,387683,27563,183140,15560,606,226869,6902,79472,11607,155,98134,492349,3209134,219334,10429,3931246
2012,75,1337,200,3,1615,88,1323,135,22,1566,254,2914,345,35,3549,303,2404,310,14,3032,402,2495,310,11,3216,517,2547,293,0,3360,340,2265,244,0,2847,173,1257,163,0,1598,42,402,71,0,520,2197,16952,2070,84,21305,96,1259,152,0,1505,139,1203,118,12,1477,412,2926,349,21,3705,583,2375,318,13,3289,759,2468,271,5,3496,893,2405,237,8,3548,473,2209,242,7,2927,203,1395,191,0,1795,42,719,116,0,878,3596,16961,2010,63,22626,170,2598,350,3,3120,230,2525,256,29,3042,672,5842,695,52,7254,881,4782,626,27,6325,1160,4963,584,9,6715,1411,4953,535,10,6904,810,4475,489,7,5782,380,2652,356,0,3386,88,1125,193,0,1400,5794,33914,4078,148,43933
2013,26,546,61,0,633,45,499,45,3,603,97,1133,106,19,1358,149,886,98,0,1139,196,949,106,5,1249,241,1176,109,4,1530,192,1071,95,0,1360,95,545,49,0,681,24,189,22,0,236,1065,6992,693,34,8787,36,491,51,0,574,52,484,41,0,587,178,1070,111,7,1358,260,885,105,4,1251,339,965,102,0,1405,383,1053,96,0,1530,236,1051,110,0,1398,99,601,72,0,779,12,317,26,0,361,1594,6915,712,13,9246,61,1036,112,0,1209,97,989,89,3,1184,273,2204,211,27,2713,406,1768,202,7,2387,537,1909,208,4,2653,628,2231,206,3,3063,429,2129,202,0,2754,194,1143,125,0,1461,34,505,46,0,590,2664,13914,1406,47,18026
2014,18,284,32,0,333,8,262,21,0,289,39,437,45,0,521,74,459,52,0,585,113,573,54,0,739,132,687,59,0,879,90,637,50,0,775,43,300,27,0,372,14,108,12,0,133,523,3738,347,8,4614,16,261,13,0,295,21,206,17,0,248,73,467,36,0,576,113,464,53,0,630,172,537,35,0,743,201,630,36,0,869,118,609,32,0,757,39,329,38,0,404,5,191,15,0,215,761,3701,272,0,4735,30,546,45,0,623,31,464,32,0,535,108,906,83,0,1092,186,925,104,0,1212,281,1106,91,0,1484,335,1317,96,0,1744,209,1245,85,0,1535,83,628,63,0,773,16,297,30,0,344,1283,7441,622,4,9349
2015,31,393,29,0,450,26,356,35,0,411,56,808,67,8,947,100,684,63,11,852,125,663,44,4,837,157,677,40,4,882,129,623,36,0,789,63,376,29,0,471,13,128,25,0,171,697,4713,374,29,5812,35,376,31,0,443,34,333,27,0,395,95,808,53,3,963,161,708,61,0,936,239,754,56,0,1053,273,670,39,0,980,186,675,52,0,914,83,457,52,0,594,16,237,46,0,300,1115,5031,423,11,6572,59,771,64,0,895,58,690,61,0,809,152,1621,120,13,1907,261,1393,123,11,1784,363,1424,100,3,1892,429,1347,81,3,1862,319,1293,87,0,1705,144,830,85,0,1062,22,367,74,0,470,1809,9746,799,37,12382
2016,65,1457,159,0,1684,99,1371,162,3,1639,240,2960,336,8,3540,337,2546,282,6,3167,442,2516,279,5,3239,468,2321,251,7,3037,332,1950,186,0,2459,180,1203,141,0,1527,59,418,73,0,543,2223,16732,1863,34,20850,101,1343,134,0,1579,134,1299,139,3,1580,430,3063,337,5,3840,585,2515,280,3,3383,790,2233,225,8,3248,780,2205,228,0,3204,523,2050,171,5,2752,186,1355,195,5,1735,41,713,113,0,865,3568,16770,1816,36,22183,170,2793,300,0,3263,241,2670,299,7,3219,671,6020,672,18,7380,918,5059,568,9,6556,1236,4746,497,16,6491,1249,4517,474,7,6250,852,4000,353,5,5215,371,2557,333,4,3261,92,1134,180,3,1408,5795,33498,3674,71,43034
2017,14,261,34,0,316,20,297,14,0,336,53,661,74,0,791,57,553,52,0,661,81,454,49,0,582,110,513,50,0,674,76,420,26,0,520,32,260,37,0,328,7,119,22,0,148,460,3547,343,5,4355,13,229,25,0,267,36,274,38,0,344,82,708,69,0,863,124,529,51,0,710,143,421,31,0,600,207,432,43,0,673,123,416,45,0,582,47,386,41,0,474,14,228,28,0,275,790,3631,358,9,4781,34,491,52,0,578,57,574,50,0,683,137,1371,138,3,1654,177,1083,99,4,1368,223,873,83,0,1176,318,947,86,0,1348,198,838,69,0,1103,80,642,76,0,802,24,350,53,0,425,1247,7176,700,12,9135
2018,51,1095,106,0,1254,72,1059,112,0,1235,199,2365,267,7,2834,275,2016,237,14,2542,357,1960,232,3,2549,393,2015,216,9,2628,306,1839,209,0,2350,166,980,196,0,1350,50,319,129,0,493,1855,13637,1705,36,17236,78,1033,107,0,1217,100,1058,114,0,1266,361,2419,267,4,3054,481,1919,256,9,2662,596,1851,187,4,2635,701,2005,196,0,2907,415,1881,206,3,2510,186,1169,228,0,1581,19,593,209,0,824,2939,13934,1769,16,18655,122,2132,209,0,2467,169,2115,221,0,2506,558,4783,536,5,5890,760,3938,490,20,5208,951,3811,414,5,5180,1093,4017,411,12,5538,717,3719,423,3,4858,351,2154,424,0,2930,71,912,336,0,1322,4793,27576,3474,52,35893
