SUA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
1033,10357,11586,21943,3008,1998,5002,1312,2377,3687,326,327,660,444,366,812,5090,5069,10160,4369,5611,9982,8.7,7.2,8,49.1,43.8,46.3,44.9,40.6,42.6,156,204,361,80,167,243,549,982,1528,500,1028,1536,2704,1834,4539,153,237,389,156,303,459,3014,2374,5387,9793,10681,20481,1680,1893,3573,6467,7070,13534,4384,4873,9259
1034,6898,7580,14481,1985,1109,3086,1040,1898,2937,226,325,546,164,136,302,3411,3459,6874,3089,3704,6797,4.9,3.9,4.4,49.5,45.6,47.5,47.1,43.8,45.4,232,256,488,97,207,308,660,1011,1678,459,839,1296,2172,989,3164,58,143,206,165,243,411,2399,1379,3785,6496,7044,13542,1181,1207,2385,4221,4550,8771,3081,3387,6465
1035,22104,24278,46390,10676,6790,17463,2989,6216,9198,668,895,1562,739,592,1333,15066,14492,29556,5842,8522,14361,4.9,4.1,4.5,68.1,59.7,63.7,64.8,57.2,60.9,872,958,1826,342,673,1012,2338,3926,6262,1429,2337,3769,5853,3431,9287,271,450,723,310,598,903,6429,4484,10919,21560,22861,44422,4475,5082,9558,13213,13937,27152,11226,12480,23707
1036,120939,128414,249355,47100,28155,75258,16419,30395,46810,7127,9115,16246,3857,2997,6847,74504,70660,145157,40768,51724,92489,5.2,4.2,4.7,61.6,55,58.2,58.4,52.7,55.5,6662,7178,13838,1740,3661,5405,15186,20703,35890,9824,13848,23676,33233,17233,50470,1107,2239,3341,1962,3919,5874,36298,23383,59685,121101,125365,246464,19494,20650,40138,82686,85709,168399,50327,53178,103503
2000,292800,295203,588003,116310,60117,176426,37301,78642,115946,11962,14345,26307,6475,4974,11445,172047,158079,330124,98685,115836,214523,3.8,3.1,3.5,58.8,53.5,56.1,56.5,51.9,54.2,7334,10028,17360,4237,10126,14361,24203,41167,65370,20751,33106,53860,80900,38446,119343,2518,4749,7275,3835,5142,8980,87256,48344,135599,282609,282812,565423,37874,39743,77616,197394,194954,392344,108420,113586,222012
2001,9249,10091,19339,4721,2683,7405,1117,2640,3755,361,483,849,248,263,510,6452,6068,12520,2426,3607,6039,3.9,4.3,4.1,69.8,60.1,64.7,67.1,57.6,62.1,280,401,683,115,355,473,858,1415,2274,801,1248,2049,2757,1444,4199,81,162,240,111,192,305,2948,1797,4746,9653,10154,19807,1663,1751,3414,5997,6188,12186,4615,5051,9665
2002,6062,6877,12931,2223,1260,3487,815,1747,2562,211,247,465,169,124,299,3425,3384,6804,2171,2952,5125,5,3.7,4.3,56.5,49.2,52.6,53.6,47.4,50.3,107,169,272,71,188,257,416,761,1174,429,749,1177,1636,966,2602,53,124,181,81,103,186,1774,1191,2967,5809,6416,12229,984,1074,2057,3636,4058,7690,2768,3061,5825
2003,42691,47666,90357,18471,10716,29182,6161,13250,19406,1417,2066,3482,1433,1191,2622,27481,27219,54699,12906,17932,30838,5.2,4.4,4.8,64.4,57.1,60.5,61,54.6,57.6,2091,2492,4584,969,1955,2929,5518,7973,13494,3355,4875,8227,10300,6269,16574,440,710,1149,481,744,1226,11224,7723,18944,41453,45114,86574,8578,9208,17783,25441,27692,53138,21811,23861,45671
2004,39290,43902,83193,16907,9905,26806,5550,12180,17730,1289,1903,3193,1219,949,2162,24954,24939,49900,12204,16741,28948,4.9,3.8,4.3,63.5,56.8,60,60.4,54.6,57.4,1376,1739,3120,775,1751,2530,4361,6925,11288,3061,4496,7557,10167,6110,16271,398,716,1108,476,748,1221,11035,7569,18603,39200,42268,81475,6747,7595,14341,24687,26247,50938,18621,20968,39597
2005,4708,4989,9695,1308,796,2100,749,1387,2140,129,179,310,98,81,183,2291,2442,4735,2104,2117,4220,4.3,3.4,3.8,48.7,49,48.8,46.6,47.3,47,333,465,796,153,331,485,686,991,1674,398,544,939,818,418,1238,31,52,84,58,73,131,907,546,1451,3966,4506,8474,628,710,1338,2598,2983,5585,1785,2048,3837
