SUA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
2008,1212,1687,2903,9929,12794,22723,3,0,3,2256,2712,4960,90,86,174,29271,34009,63279,150,205,358,1971,2049,4011,345,475,819,125,137,261,735,957,1682,78,78,156,291,333,627,757,935,1685,2304,2903,5200,203,279,483,118,136,258,4133,6077,10209,3095,3804,6901,95,111,200,55932,68069,124002,2177,1485,3660,2298,1771,4073,113,101,214,12,10,20,1012,846,1862,339,481,816,1364,1338,2700,65593,63519,129115,502,350,857,169,386,554,66265,64265,130526,9901,8601,18502,133,161,295,139404,147474,286876
2009,49,70,121,930,1132,2060,0,0,0,52,73,125,0,0,0,2624,2693,5319,26,31,55,85,96,184,26,26,50,3,5,10,40,54,91,0,3,9,11,15,28,60,58,120,164,163,331,4,10,7,14,10,30,300,425,727,184,196,376,0,0,4,4527,4996,9521,20,23,48,54,42,88,7,4,15,0,0,0,23,26,44,10,21,33,32,47,79,5400,5225,10628,40,26,69,17,24,42,5456,5278,10735,637,589,1225,10,4,14,10801,11043,21846
2010,35,49,94,578,805,1382,0,0,0,68,63,131,0,0,0,1145,1299,2442,102,136,237,27,27,52,4,10,18,6,7,12,534,635,1166,0,4,5,18,22,37,98,115,212,105,114,217,13,28,40,12,15,31,800,1037,1837,151,178,330,6,5,7,3658,4500,8157,79,79,160,47,33,80,0,6,5,0,0,0,22,19,39,14,10,25,33,31,64,3733,3470,7204,11,15,33,5,17,22,3754,3507,7256,575,537,1105,4,8,7,8187,8738,16923
2011,84437,105137,189575,113566,143410,256978,1817,1882,3697,28615,32620,61238,993,995,1988,470705,527409,998118,2959,3726,6685,99152,105606,204759,4630,5940,10567,4584,4942,9524,5156,6592,11749,8971,9376,18343,8632,9926,18558,19656,22848,42507,23711,28203,51919,1805,2570,4377,3685,4347,8031,32700,45678,78378,60277,70228,130508,1530,1802,3328,893137,1028102,1921239,108139,94449,202593,133508,124319,257830,21665,23533,45199,95,103,206,45460,39236,84697,8203,9979,18180,53761,49319,103083,899471,853534,1753004,7992,6385,14376,3103,5141,8242,910562,865063,1775626,153753,142208,295962,5321,5804,11129,2364288,2437939,4802232
2012,532,501,1030,2131,2644,4777,0,0,0,144,153,300,0,0,3,5051,5659,10709,82,126,214,269,258,537,67,95,167,44,48,88,230,299,533,20,18,34,84,111,198,285,342,623,388,506,893,40,67,113,170,196,368,979,1371,2350,538,618,1158,28,34,58,10578,12540,23119,208,159,365,611,527,1131,9,8,15,8,6,16,186,151,337,45,64,111,235,228,460,11535,10910,22443,54,49,107,30,45,78,11625,11004,22624,2577,2530,5110,86,60,150,26453,27551,54002
2013,40,66,105,1036,1285,2328,0,0,0,103,100,201,46,70,113,1846,2087,3930,5,4,10,103,96,203,88,116,198,37,34,67,21,22,47,0,0,3,15,22,35,93,120,208,225,295,519,31,46,75,20,30,48,185,287,468,187,211,402,11,7,19,4042,4844,8885,12,6,24,36,29,69,4,7,11,3,0,3,5,0,6,33,57,87,46,61,106,5442,5069,10508,37,26,67,8,24,37,5488,5120,10612,959,897,1858,34,15,47,10661,11044,21702
2014,23,40,65,461,557,1019,0,0,0,99,88,188,0,0,0,680,790,1478,10,16,19,15,20,39,21,43,61,5,5,18,88,127,216,0,6,8,13,11,19,48,74,117,191,199,384,14,19,30,5,12,14,277,386,664,112,137,248,0,0,0,2044,2484,4525,25,28,54,13,8,22,4,5,7,0,0,0,9,7,16,11,17,25,18,25,42,2836,2590,5427,22,9,34,6,11,17,2861,2615,5475,504,395,900,4,0,7,5500,5592,11097
2015,57,85,134,883,1184,2069,0,0,0,111,134,246,26,34,62,1213,1556,2768,4,5,14,30,37,67,26,22,50,26,24,42,13,15,30,5,3,10,25,26,50,17,34,55,139,137,271,5,4,17,13,17,23,179,285,470,140,194,338,5,7,9,2860,3726,6583,90,70,154,44,41,86,7,0,6,0,0,0,22,24,49,13,38,49,41,65,98,3561,3365,6925,38,17,51,14,11,23,3609,3389,6998,520,551,1076,31,11,41,7259,7929,15186
2016,260,334,594,1919,2442,4368,0,0,0,232,246,475,63,62,121,5673,6268,11945,38,56,90,381,352,733,100,148,243,57,64,125,55,74,122,38,38,77,92,73,167,222,253,472,500,612,1106,29,44,78,29,35,61,900,1288,2188,629,716,1346,11,20,24,10953,12796,23751,484,435,919,2164,1987,4148,12,11,26,0,10,9,716,602,1314,78,99,173,801,702,1497,9258,8711,17970,51,26,80,32,48,75,9343,8792,18126,2318,2204,4517,38,38,76,26370,27294,53661
2017,55,69,126,426,597,1022,0,0,0,29,35,64,90,94,185,1160,1365,2528,38,48,87,0,9,8,9,21,25,0,3,3,9,11,21,0,0,3,16,8,21,21,38,60,125,149,270,3,8,15,0,4,6,266,416,686,97,149,247,0,0,0,2304,2953,5259,49,41,96,183,130,318,0,0,3,4,0,5,84,84,166,10,10,21,103,91,189,2271,2120,4392,3,6,7,8,4,9,2281,2127,4402,420,449,874,5,9,12,5404,5877,11277
2018,170,225,393,1789,2433,4222,0,0,0,173,205,372,0,3,8,4039,4717,8755,6,16,23,237,237,473,48,63,112,34,33,64,53,86,132,10,7,20,49,65,113,182,205,388,409,493,907,25,49,78,29,28,54,439,612,1052,390,462,845,9,3,15,7928,9723,17646,151,145,294,244,217,464,13,9,24,4,0,3,67,63,128,71,82,147,134,145,273,10314,9682,20000,52,53,112,31,43,72,10398,9784,20182,2216,2218,4432,36,16,50,21278,22483,43760
2019,62,99,162,986,1305,2291,0,0,0,75,94,168,46,40,85,2228,2656,4887,11,17,28,40,34,70,36,48,87,6,9,16,39,48,86,0,0,4,54,71,122,54,76,137,212,226,446,18,25,44,15,19,38,301,477,779,167,214,377,0,3,6,4290,5370,9667,96,84,181,39,31,69,3,3,7,0,0,0,21,33,55,19,35,52,40,65,102,4074,4073,8140,18,23,42,11,13,20,4103,4108,8211,689,698,1385,11,10,18,9342,10468,19809
2020,142,212,355,1883,2430,4308,0,0,0,285,304,591,65,72,139,3372,3834,7216,43,65,110,101,100,203,81,97,180,41,37,76,47,57,103,6,4,16,212,217,427,147,183,331,551,653,1205,41,49,92,42,66,109,593,818,1413,549,682,1230,13,16,34,8075,9696,17773,109,104,208,91,83,175,12,13,23,0,3,0,58,65,121,51,76,128,110,142,254,10180,10052,20230,63,64,132,21,47,67,10265,10160,20430,1423,1454,2878,21,22,47,20251,21886,42142
2021,143,176,325,988,1344,2331,0,0,0,208,225,435,32,32,67,4320,5124,9442,61,50,115,58,46,105,15,38,54,10,16,17,119,156,271,8,10,13,24,25,49,109,125,233,626,817,1451,35,53,91,17,29,45,496,699,1194,358,438,794,10,4,15,7504,9232,16734,96,71,167,53,58,114,17,17,27,0,3,6,23,23,49,29,36,66,59,61,122,7868,7537,15401,44,38,80,7,30,39,7926,7600,15522,1337,1275,2615,42,31,66,17175,18516,35689
3000,1847,2884,4728,55768,58918,114685,6,5,3,5247,5538,10783,280,303,585,70910,72829,143736,743,877,1620,807,771,1570,1895,2473,4366,569,658,1224,6207,6519,12728,32,39,69,1554,1553,3109,4374,4943,9324,10305,9821,20122,779,952,1732,1507,1753,3264,18340,20790,39127,10299,10861,21161,976,1025,2003,190585,200621,391209,1078,858,1938,995,766,1758,163,173,332,246,217,465,764,625,1393,1002,1555,2553,2017,2397,4411,149060,128239,277299,976,809,1780,599,905,1503,150630,129951,280584,60332,42155,102491,2446,1167,3605,410090,380970,791056
3001,66,121,192,805,839,1648,0,0,0,70,81,155,0,0,0,1286,1409,2686,0,3,7,33,32,63,23,38,63,9,6,17,32,42,75,4,0,4,25,32,56,35,57,91,133,146,280,12,7,17,5,16,18,225,286,502,128,183,312,6,3,10,2829,3173,6003,36,34,72,26,21,49,6,12,22,0,0,6,21,30,51,17,22,38,41,57,96,4248,3844,8086,24,12,41,14,24,32,4279,3879,8161,1543,1414,2956,94,104,195,8931,8818,17751
3002,19666,27425,47090,105981,128000,233984,24,31,57,22982,25749,48733,560,563,1126,212272,244135,456413,1247,1575,2821,11417,12030,23451,4588,5884,10475,6326,6880,13209,7679,9853,17530,1459,1478,2938,6265,7012,13278,15338,18326,33667,21995,25068,47068,1701,2305,4009,3916,4726,8636,32950,44388,77338,35669,41849,77515,2159,2439,4596,494538,582299,1076837,26167,24283,50449,23924,22573,46493,1122,1151,2271,122,154,276,10703,9373,20077,4378,5855,10234,15202,15378,30581,523290,486982,1010273,4574,3634,8205,1773,3040,4811,529638,493651,1023291,82351,74762,157111,2993,2808,5800,1195593,1244331,2439920
3003,317,465,785,4846,5826,10671,0,4,3,634,754,1392,119,116,235,5307,6505,11812,77,84,164,55,65,123,192,284,472,128,142,271,624,766,1390,22,19,39,245,251,499,368,419,790,941,1037,1974,88,135,223,141,153,297,1845,2609,4457,1112,1280,2394,95,113,209,16850,20560,37415,206,174,379,210,183,399,23,12,31,8,3,18,41,26,66,77,156,227,123,190,312,15457,14277,29731,75,68,146,66,85,154,15600,14430,30027,2661,2536,5199,89,109,197,36087,38663,74752
3004,1035,1663,2695,7172,8323,15498,0,0,0,726,774,1499,7,6,9,14157,16483,30647,69,119,191,353,362,711,365,517,882,159,228,389,397,505,909,65,64,132,305,388,690,1035,1365,2401,1525,1704,3227,70,114,184,312,396,709,1806,2369,4177,2022,2360,4379,39,52,88,30599,36121,66720,760,754,1517,379,366,745,75,93,171,16,28,43,503,428,935,336,402,741,860,859,1715,33809,31481,65288,227,175,405,140,206,349,34174,31866,66037,9659,8822,18478,512,389,894,78047,80925,158970
3005,56,65,122,733,804,1538,0,0,0,90,93,180,7,9,13,1458,1647,3100,0,0,5,22,16,38,25,38,57,26,28,54,45,58,102,0,0,0,40,46,85,118,120,232,161,144,300,12,20,28,17,20,40,306,356,660,314,331,644,0,7,12,3365,3720,7087,63,50,111,41,28,70,0,0,0,0,0,0,26,29,51,12,24,43,37,55,93,2933,2514,5452,20,13,34,9,6,17,2966,2534,5507,928,677,1602,186,51,241,7645,7193,14836
3006,137,220,358,2485,2790,5268,0,0,0,387,388,776,0,0,0,3713,4013,7728,32,41,81,69,72,140,90,137,228,51,46,92,166,185,346,0,0,3,73,74,150,287,360,647,573,577,1153,36,54,91,25,34,59,696,888,1581,472,558,1027,33,24,60,9186,10247,19435,222,201,428,130,121,253,8,15,24,0,0,3,40,33,73,46,85,132,92,120,209,10946,9884,20830,66,54,117,41,49,92,11050,9990,21039,1898,1637,3534,31,22,53,22754,22576,45325
3007,3748,6023,9769,38446,47274,85722,12,9,22,3576,4021,7596,27,24,42,59370,70045,129416,383,497,881,3111,3406,6519,1541,1953,3494,1368,1424,2790,1570,2001,3570,357,328,685,1184,1377,2561,4078,4945,9019,6504,7667,14168,313,433,742,724,904,1630,8484,11373,19853,9537,11536,21079,399,415,817,140974,169625,310604,3715,3281,6994,3206,2961,6163,802,847,1643,34,35,67,1546,1264,2815,1020,1472,2490,2601,2770,5363,152570,145655,298222,1031,786,1813,672,1205,1877,154276,147642,301917,27268,27351,54618,1005,942,1949,337585,361430,699021
3008,45,81,128,1162,1467,2631,0,0,0,140,176,312,42,43,90,1416,1633,3045,15,32,51,14,15,24,102,134,242,49,48,99,104,135,239,4,3,10,110,148,258,147,172,315,223,268,489,36,59,91,26,32,58,599,887,1487,352,450,800,4,10,16,4552,5716,10272,26,26,53,34,26,54,0,8,11,0,5,7,16,21,42,28,70,95,43,93,140,5008,4869,9876,40,26,66,29,40,66,5073,4933,10007,884,800,1686,9,12,19,10672,11702,22367
3009,171,327,500,4297,5188,9484,0,0,0,548,716,1260,3,5,15,4251,5428,9681,42,49,86,81,76,154,137,208,348,41,68,112,289,386,676,12,17,26,109,134,245,316,406,720,776,893,1663,78,96,180,45,61,102,1141,1569,2706,655,782,1439,30,33,60,12842,16117,28958,127,154,280,115,112,224,17,18,35,10,0,7,44,37,83,64,146,212,116,185,299,12352,11896,24244,85,53,141,44,67,107,12477,12016,24495,2338,2421,4757,56,64,119,28254,31423,59675
3010,39,42,76,513,670,1187,0,0,0,88,113,200,0,0,0,674,782,1450,34,39,76,6,10,13,52,79,130,16,17,37,195,243,435,0,0,0,32,26,52,71,102,171,154,146,301,29,38,61,23,22,51,278,376,653,220,233,452,12,10,17,2388,2904,5288,20,23,41,12,11,20,0,0,0,0,0,0,3,4,12,24,27,48,28,31,59,2227,2008,4234,8,9,17,11,5,11,2238,2020,4264,449,405,853,20,10,32,5189,5442,10639
3011,231,354,589,4239,5191,9434,0,0,0,374,465,839,6,3,10,9325,10370,19696,60,63,118,64,83,149,176,240,414,65,63,127,277,352,624,13,7,21,197,180,374,475,611,1092,762,807,1570,32,48,84,229,316,547,2022,2556,4575,1078,1209,2288,99,110,206,19485,22678,42165,332,318,647,198,169,361,9,14,25,0,0,4,110,83,186,84,140,229,191,224,421,16593,15087,31682,91,77,167,53,56,109,16737,15222,31961,3762,3456,7223,59,72,133,41009,42509,83517
3012,44,104,149,1756,2093,3853,0,0,0,179,202,381,86,100,181,1793,2082,3878,43,48,95,12,16,28,116,131,250,8,19,23,149,206,357,5,4,4,145,156,304,185,209,393,340,370,706,44,50,95,17,27,43,625,848,1477,383,441,819,20,16,33,5903,7018,12921,33,26,60,12,12,19,6,3,6,0,0,0,10,8,15,47,68,115,53,78,130,5844,5275,11114,31,25,57,26,42,66,5903,5341,11242,1820,995,2818,6,7,13,13779,13580,27361
3013,37,63,97,746,787,1533,0,0,0,197,233,438,9,23,35,2107,2337,4445,6,0,4,31,25,53,41,53,98,61,59,122,66,74,141,0,3,0,37,30,66,196,205,402,173,136,307,13,16,30,30,43,80,297,316,615,283,278,564,15,14,26,4315,4643,8959,60,60,121,45,33,72,3,3,3,4,3,12,25,20,41,17,32,53,47,55,106,4202,3586,7787,24,18,43,8,12,23,4238,3621,7852,1714,1180,2898,32,26,61,10489,9682,20176
3014,278,366,641,4413,5369,9785,0,0,0,744,891,1637,8,6,15,8111,9473,17584,15,24,43,55,64,121,140,200,345,74,87,155,206,237,444,3,8,12,95,137,229,512,643,1154,1031,1128,2159,134,202,332,73,92,167,1629,2251,3884,951,1106,2056,27,25,47,18236,21947,40184,487,378,860,257,165,423,9,12,17,0,9,11,89,88,178,109,167,272,201,254,455,15451,14032,29487,105,66,164,33,66,98,15589,14158,29756,3900,2733,6636,55,49,104,39017,40058,79074
3015,1481,2288,3774,21073,26596,47667,3,0,3,3276,3748,7019,91,98,193,28091,33773,61858,227,294,524,595,678,1269,982,1236,2217,454,484,939,1569,2054,3623,53,53,98,615,697,1312,2493,3033,5529,3732,4441,8174,227,329,549,293,362,659,5856,8195,14051,5621,6819,12437,155,197,353,75405,93077,168483,1207,1183,2389,464,432,904,211,213,422,15,7,24,439,385,826,401,658,1054,855,1051,1906,90305,88005,178307,677,507,1186,376,757,1132,91356,89271,180627,13627,13733,27359,550,496,1051,185156,201757,386914
3016,599,787,1387,8888,11284,20169,0,0,0,941,1114,2051,159,137,291,13141,15470,28612,505,651,1160,148,169,319,305,430,736,139,148,289,1670,2107,3775,44,52,97,253,317,573,1054,1205,2257,1620,1968,3588,96,156,257,290,342,633,2331,3232,5565,3307,3989,7297,105,136,237,34993,42911,77903,1096,1014,2110,757,689,1446,31,29,58,9,8,12,318,269,585,1249,1402,2647,1575,1673,3249,23841,22370,46209,193,136,331,94,111,210,24127,22618,46746,4609,4384,8995,65,78,147,67848,74188,142036
3017,582,845,1432,9071,11075,20145,3,0,4,1076,1245,2323,12,17,28,18964,21985,40948,41,58,104,516,569,1080,226,336,566,137,155,288,372,459,830,80,73,152,373,420,792,1120,1310,2428,1896,2100,3999,190,225,424,246,302,545,2734,3737,6478,2058,2477,4532,102,124,220,39215,46679,85894,737,646,1377,530,502,1033,48,38,93,17,32,50,195,190,387,302,411,707,511,637,1148,37404,34198,71608,286,225,509,89,145,232,37779,34569,72348,8877,7067,15944,233,126,363,88521,91106,179626
3018,20,42,63,1262,1604,2865,0,0,0,133,144,276,97,84,178,1555,1779,3334,11,16,23,8,12,15,41,57,99,27,26,54,50,57,108,0,0,0,28,21,52,54,57,116,196,202,396,17,20,34,25,33,52,396,502,899,193,209,405,4,5,8,4086,4819,8905,28,29,60,10,9,23,3,0,5,0,0,0,13,14,23,21,38,62,33,55,88,2602,2404,5007,14,14,28,12,15,29,2633,2428,5063,677,659,1334,7,3,8,7506,8043,15555
3019,58,78,134,1315,1685,3001,0,0,0,99,119,214,0,0,0,2194,2491,4684,13,12,25,19,21,39,44,53,104,8,7,20,43,77,119,0,0,0,41,48,90,71,82,154,263,280,548,25,27,46,22,23,42,380,587,970,264,295,561,13,12,24,4808,5825,10635,22,22,41,7,10,15,4,4,4,5,0,9,4,0,11,14,40,54,23,42,70,4215,3832,8044,21,25,42,13,31,37,4243,3884,8124,722,707,1432,11,8,18,9890,10578,20466
4000,714,965,1679,10272,11614,21890,0,0,0,1335,1399,2737,23,25,45,14103,15057,29162,352,471,819,1147,971,2112,355,489,840,158,162,322,8305,9201,17499,10,3,12,414,381,794,1293,1510,2799,1346,1243,2594,192,230,420,241,263,506,10540,12460,23002,3456,3560,7014,354,332,687,53897,59356,113249,364,242,607,743,417,1157,31,39,76,144,147,292,460,395,850,283,501,782,885,1040,1928,68737,59271,128014,417,298,716,203,318,520,69362,59888,129251,15174,11690,26862,789,188,977,141965,133821,275789
4001,13764,17552,31316,41485,53327,94808,8,3,12,9836,11376,21214,289,313,606,104955,121983,226929,1057,1541,2597,19287,20541,39834,1921,2497,4416,1037,1190,2226,9441,12297,21744,988,961,1946,2350,2755,5099,7066,8381,15451,3821,4547,8364,827,1194,2024,968,1172,2143,21681,31098,52779,16652,19850,36506,1408,1577,2989,245072,296617,541688,19628,17301,36921,20366,18182,38548,488,537,1025,69,59,127,8594,7454,16046,3079,3972,7051,11742,11487,23228,311168,293449,604611,2546,1867,4416,1036,1756,2791,314748,297074,611820,38008,35397,73409,1208,1280,2491,665018,695429,1360449
4002,75,89,167,796,978,1773,0,0,0,343,398,740,42,48,88,1866,2365,4231,17,11,32,63,57,119,37,57,97,17,24,48,246,319,568,7,8,14,26,29,59,150,193,339,442,536,979,55,57,109,26,34,58,512,762,1271,314,360,672,5,10,15,4970,6245,11206,69,49,118,62,54,111,3,7,7,0,0,0,23,28,52,51,85,141,78,117,192,7779,7381,15163,39,35,75,20,27,48,7839,7446,15285,1070,1016,2092,20,13,32,14176,15030,29210
4003,63,96,154,446,588,1031,0,0,0,60,79,142,0,0,0,960,1109,2070,37,37,71,18,15,29,80,115,189,19,12,27,483,606,1092,5,0,5,35,44,77,183,205,390,70,69,138,22,30,50,29,33,59,460,666,1128,272,326,593,19,26,47,3192,3954,7145,30,20,52,72,78,152,9,9,14,0,3,4,22,29,52,19,38,63,48,71,119,4340,4177,8518,20,13,36,17,20,43,4381,4208,8594,1161,687,1848,9,14,21,8960,9142,18101
4004,28,25,54,485,572,1058,0,0,0,45,50,93,14,29,38,843,973,1821,6,0,3,11,20,29,21,37,62,4,6,16,85,133,216,0,0,0,30,25,59,35,51,85,102,109,207,26,44,70,29,39,67,332,431,761,93,114,202,3,5,9,2168,2628,4792,52,47,104,32,22,49,0,0,3,10,6,15,73,56,127,14,13,26,94,78,176,3478,3247,6727,14,8,27,12,12,23,3502,3269,6768,1365,674,2034,30,11,37,7270,6746,14014
4005,29,48,79,517,676,1193,0,0,0,94,96,190,0,0,0,1052,1236,2284,8,18,25,38,26,65,20,37,55,3,3,10,246,302,551,4,0,4,14,11,25,129,152,278,41,44,85,7,20,36,13,18,32,434,602,1028,164,187,352,6,3,5,2794,3436,6224,30,20,58,8,11,19,0,6,4,6,0,5,16,19,36,11,19,35,29,42,78,4203,3889,8093,18,11,25,7,15,18,4229,3910,8135,867,607,1473,4,5,11,8000,8079,16086
4006,18,40,57,378,424,803,0,0,0,80,91,174,0,0,0,1341,1535,2882,4,10,14,63,78,137,13,15,34,14,20,42,103,165,271,0,0,0,25,23,45,48,80,131,31,36,70,18,27,42,5,7,16,365,562,927,103,112,216,0,3,8,2604,3192,5799,22,18,37,48,41,92,0,0,0,0,0,0,14,4,17,21,31,51,28,43,71,3510,3206,6718,21,8,30,3,7,18,3536,3224,6760,604,516,1125,5,0,0,6865,7080,13943
4007,57,122,182,1447,1855,3305,0,0,0,251,309,564,0,0,0,1084,1422,2505,66,110,182,44,54,96,82,134,216,23,27,47,291,392,682,0,0,4,44,41,91,210,255,470,137,155,293,38,46,87,16,24,38,987,1325,2310,432,512,947,42,61,103,5203,6732,11936,33,21,50,15,16,36,3,4,14,0,0,0,21,12,34,40,70,110,59,81,143,6821,6696,13518,55,45,98,28,64,96,6906,6802,13705,834,946,1782,18,15,36,13136,14740,27871
4008,44,75,116,676,759,1438,0,0,0,110,143,252,0,3,3,1502,1684,3184,14,28,36,106,100,206,29,58,85,20,17,42,141,164,301,8,8,12,46,47,89,121,143,271,118,145,263,29,37,60,9,16,27,359,480,837,216,219,440,0,0,4,3507,4061,7563,89,68,156,60,47,102,9,4,10,0,0,0,32,30,66,22,48,73,58,78,135,6084,5320,11404,31,22,51,12,24,34,6125,5366,11493,977,847,1825,6,10,11,10878,10543,21420
5000,1089,1386,2480,18776,18793,37571,0,0,0,2354,2277,4626,226,218,443,24422,22444,46866,571,587,1158,484,343,832,621,756,1376,231,217,450,596,631,1217,43,21,63,1159,1198,2362,851,859,1712,2100,1788,3893,188,241,428,633,714,1344,3521,3896,7415,4630,4584,9215,137,148,279,61540,59717,121256,520,273,793,970,601,1577,97,91,184,461,428,894,122,64,182,409,585,994,995,1080,2069,78588,61624,140211,488,267,758,231,319,545,79310,62208,141516,39142,20275,59417,1041,526,1564,184690,146160,330848
5001,93,179,275,1708,2298,4008,0,0,0,526,546,1080,49,49,98,1679,2009,3690,80,92,179,35,35,70,62,109,174,28,34,64,38,67,105,4,0,4,93,122,210,128,156,284,368,446,814,30,47,74,77,80,159,356,528,887,737,903,1638,16,12,31,6027,7542,13567,59,53,111,50,50,98,6,8,15,0,0,0,15,15,27,57,105,166,76,122,199,8725,8481,17207,64,38,102,25,54,84,8815,8577,17392,1506,1139,2645,31,19,47,16665,17689,34351
5002,58,143,209,921,1012,1935,0,0,0,78,93,168,0,0,3,1843,2271,4111,3,7,18,22,29,49,37,41,78,9,9,18,11,26,39,4,0,4,27,40,67,45,60,102,110,119,228,5,17,25,16,16,39,160,236,398,118,168,288,5,4,13,3429,4145,7571,38,24,57,50,34,87,9,8,12,10,15,26,5,10,12,21,26,42,31,48,87,4470,4416,8885,23,19,45,4,20,25,4497,4456,8958,1731,1785,3519,56,74,128,9897,10724,20620
5003,227,387,615,3856,5121,8975,0,0,0,758,794,1551,0,0,0,5848,6954,12803,67,115,184,113,137,254,205,314,524,158,187,349,80,105,183,17,17,30,137,171,311,253,306,559,391,458,851,47,86,134,96,112,205,531,784,1312,1163,1342,2505,54,61,120,13793,17060,30848,244,213,453,322,312,632,10,22,32,3,4,8,87,68,155,107,170,277,195,241,436,18178,17428,35606,115,76,189,56,77,135,18355,17581,35935,2870,2211,5084,43,49,92,36060,38077,74137
5004,136,247,383,2537,3289,5822,0,0,0,245,292,536,0,0,0,2658,3260,5910,94,109,206,39,44,84,135,186,321,21,27,57,41,58,92,0,0,0,59,82,145,99,114,218,193,242,435,12,27,39,65,67,128,398,611,1007,495,594,1085,17,16,30,7098,9016,16114,68,66,133,110,87,202,17,7,19,0,4,8,43,29,73,34,50,87,80,89,165,9984,9800,19777,59,36,90,20,52,76,10061,9886,19944,1480,1527,3009,40,38,74,19088,20949,40044
5005,34,63,92,600,680,1279,0,0,0,86,91,183,0,0,0,641,741,1385,16,35,49,8,8,17,44,69,117,0,8,7,51,77,127,0,6,4,33,38,72,38,40,76,68,89,161,3,7,15,27,30,60,140,195,333,281,294,575,9,8,19,2065,2399,4470,6,9,18,10,10,19,0,3,5,3,3,10,0,0,5,11,9,26,17,18,39,3067,2826,5892,16,12,27,7,8,17,3088,2850,5935,804,691,1492,14,6,23,6039,6043,12083
5006,120,231,346,2069,2532,4606,0,0,0,184,197,381,0,0,3,3860,4646,8507,25,32,57,36,25,60,101,151,250,19,26,39,50,98,148,3,0,4,69,93,161,250,312,565,159,152,311,24,44,70,90,95,184,328,456,783,456,561,1020,7,11,20,7749,9433,17177,92,76,167,275,299,576,5,10,13,0,4,7,17,14,24,53,65,115,68,85,146,8245,7542,15789,38,36,72,18,33,55,8305,7615,15915,2045,1879,3930,27,19,47,18679,19644,38325
