CED_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED129,467,816,539,694,698,767,1515,1398,638,7529,522,1035,858,1049,987,931,1311,1004,307,8000,309,1117,1026,1376,1278,1066,1166,704,150,8195,169,1150,1561,1738,1590,1283,1047,475,81,9098,86,1294,2361,2525,2231,1712,1094,414,50,11765,34,894,2274,2510,2083,1482,739,229,26,10268,10,429,2342,2734,2209,1535,595,151,12,10017,7,161,1750,2555,2062,1329,414,100,13,8392,4,125,2929,6739,5113,2631,667,127,19,18353,0,14,472,2157,1586,693,179,19,0,5122,0,13,534,3021,2830,1361,294,64,16,8129,332,353,788,929,751,579,554,564,626,5468,8,12,43,43,37,103,146,31,11,443,12417,10737,19762,31609,26342,19559,15684,8692,2931,147739
CED130,480,554,928,857,1058,1828,3211,2468,1213,12607,643,868,1313,1143,1244,1638,1932,1262,450,10496,381,1087,1749,1393,1425,1520,1403,849,275,10080,263,1279,2548,1890,1950,2058,1142,497,136,11767,114,931,2750,2311,2248,2171,1158,393,69,12149,31,497,1654,1558,1495,1351,610,170,35,7401,17,209,1239,1283,1279,1046,447,223,49,5790,7,81,862,968,1017,818,266,89,25,4135,6,105,1002,1770,1967,1212,357,104,23,6542,0,18,158,268,361,247,98,24,8,1181,8,26,168,375,522,498,201,90,32,1915,1252,1033,1807,1644,1753,1791,1658,1467,884,13286,8,15,118,94,36,17,17,3,0,307,10289,8748,18667,17572,19085,21033,18828,11474,4181,129866
CED131,471,1199,1006,763,956,1415,2386,2008,1246,11453,575,1781,1633,1066,1151,1301,1662,957,408,10520,315,1762,1902,1273,1080,1216,1200,565,204,9515,161,1799,2784,1620,1552,1539,1078,457,173,11165,72,1408,3483,2275,2095,1889,1078,334,62,12711,19,811,3149,2016,1707,1424,586,178,46,9940,10,365,2757,2020,1715,1270,455,138,48,8778,3,144,1941,1774,1496,1049,315,67,24,6812,0,131,2590,3586,3126,1831,441,110,25,11842,3,22,370,796,761,425,128,40,10,2559,9,18,411,1244,1416,890,274,67,19,4354,607,927,1432,1080,1036,948,947,1064,1122,9162,0,25,52,32,24,42,40,10,0,229,9513,13901,26213,21653,20425,18845,14747,8532,4259,138082
CED132,240,623,467,448,410,601,1153,982,624,5549,226,809,801,691,679,794,1110,815,340,6279,148,768,1019,798,682,825,1030,636,244,6145,62,834,1501,1184,905,987,1048,598,194,7308,42,982,2604,1705,1259,1174,1208,601,174,9733,9,748,2904,1703,1269,1112,829,425,129,9131,6,377,3080,2039,1345,1083,814,349,103,9201,6,181,2466,1946,1306,1022,587,268,95,7879,5,185,5398,5904,3603,2340,1109,451,118,19104,7,31,1186,2277,1586,855,379,138,45,6512,3,44,1728,5806,6223,3412,1195,415,114,18944,270,337,1303,1293,900,752,779,770,893,7290,16,27,84,95,85,75,99,43,8,536,7830,8318,26473,28409,22599,17889,14609,8611,4016,138754
CED133,549,599,1006,932,1372,2451,4366,2929,1410,15611,553,891,1464,1318,1617,2315,3018,1706,559,13431,331,1178,1811,1630,1738,2050,1980,975,276,11978,209,1197,2308,2169,2354,2587,1569,567,166,13127,85,731,2290,2163,2599,2648,1421,405,81,12426,17,326,1385,1577,1711,1547,682,163,48,7438,6,147,1018,1294,1406,1299,502,167,49,5900,3,53,621,918,1085,819,280,72,20,3870,4,45,621,1439,1755,1225,326,83,14,5513,0,8,73,207,264,231,75,24,0,905,12,23,108,308,495,398,202,87,15,1654,906,837,1905,1868,1770,1849,1749,1260,906,13053,7,69,141,75,43,34,13,12,6,393,9351,7911,17262,18369,21403,25661,24455,12706,4835,141944
CED134,374,500,903,773,946,1682,2864,2175,972,11187,539,663,1296,1008,1084,1457,1681,956,371,9058,400,967,1549,1190,1197,1328,1154,655,177,8613,242,1128,2351,1666,1681,1871,1032,420,126,10520,151,1004,2747,1935,1962,2092,978,300,56,11225,55,629,1978,1449,1481,1405,581,153,29,7759,31,331,1695,1393,1254,1223,398,150,45,6513,11,189,1191,1046,1130,891,309,70,18,4861,7,195,1659,1960,1921,1465,359,56,17,7642,0,17,250,385,372,332,99,30,4,1494,17,24,262,485,581,480,220,96,25,2202,1334,1208,2734,2446,2510,2742,2323,1792,955,18045,7,25,92,23,16,18,23,8,3,214,8725,8486,20941,17748,18730,21337,17366,10123,3778,127225
CED135,285,1227,1620,1156,1055,1334,1884,1395,720,10669,346,1788,2434,1592,1232,1203,1122,650,242,10616,188,1763,3094,2029,1393,1185,779,400,130,10954,117,1766,4456,2702,1853,1512,683,252,66,13420,70,1385,5131,3611,2135,1759,623,183,37,14942,18,844,4114,2897,1798,1205,401,90,22,11396,6,372,3534,2693,1666,1130,329,71,18,9815,0,151,2235,2518,1320,774,221,37,4,7252,0,114,3848,5870,2466,1353,310,47,18,14028,0,14,486,1254,545,290,55,19,4,2666,0,21,457,1307,762,402,123,32,4,3103,699,1306,3469,2746,1586,1356,1002,800,634,13602,10,29,84,61,65,134,139,33,12,567,9131,14787,41346,35947,21873,19106,13407,7165,2903,165668
CED136,582,697,1069,997,1181,1777,3428,2419,944,13094,660,1174,1617,1370,1432,1794,2445,1477,416,12388,395,1388,2046,1546,1534,1539,1608,908,215,11179,218,1552,2748,2048,2078,1944,1188,489,111,12380,100,1153,3383,2629,2509,2198,1065,365,57,13447,27,636,2429,2052,1781,1523,565,148,28,9191,7,277,1943,1820,1673,1237,407,150,53,7560,3,125,1279,1469,1397,973,226,64,21,5559,4,97,1630,2519,2426,1477,319,80,23,8573,0,11,225,434,443,312,73,15,6,1527,3,19,179,470,639,426,175,75,26,2019,565,523,1142,996,948,911,1075,1007,603,7764,6,10,18,19,18,25,18,12,8,122,10228,9877,22524,20870,20943,21158,19564,11283,3575,140017
CED137,266,1330,1542,831,756,1007,1657,1432,910,9726,302,2096,2454,1318,1069,1248,1264,789,379,10921,174,2010,3094,1532,1245,1227,1010,553,208,11061,95,2012,4492,2109,1548,1451,945,416,133,13207,59,1626,5708,2770,1927,1816,1028,334,87,15365,13,1058,4631,2466,1660,1324,693,228,55,12133,21,522,4128,2540,1732,1254,587,179,34,11002,4,222,2930,2309,1414,1051,426,119,24,8498,3,176,5050,5280,3361,2168,674,171,46,16934,0,30,864,1598,1097,689,212,68,17,4577,0,26,1051,2752,2845,1562,518,122,38,8917,391,1237,3295,2109,1221,976,847,785,821,11677,20,40,128,88,65,135,97,34,6,620,8321,16901,44983,31463,23042,20596,15047,8497,4091,172947
CED138,443,567,893,917,1179,2079,3830,2761,1413,14082,450,941,1432,1416,1528,2258,3184,1882,711,13803,271,1101,1818,1611,1646,2031,1990,1082,361,11924,163,1022,2213,2049,2151,2366,1565,661,216,12405,38,601,2360,2352,2490,2500,1528,515,124,12517,11,258,1570,1841,1906,1562,811,240,57,8261,5,96,1171,1594,1638,1336,594,211,72,6715,8,48,705,1234,1261,926,359,109,32,4679,3,42,833,1911,2091,1383,496,123,33,6912,0,10,146,418,431,306,125,38,13,1478,10,13,191,765,930,693,339,112,39,3092,724,664,1641,1796,1703,1751,1684,1438,1385,12791,5,40,91,29,41,29,50,24,7,320,8526,7059,17295,20370,21694,24108,23398,13269,5752,141467
CED139,557,649,895,739,1022,1672,2944,2414,1373,12261,684,951,1334,1136,1148,1512,1976,1183,493,10413,557,1325,1732,1376,1297,1539,1464,818,209,10310,402,1617,2485,1959,1875,1942,1220,503,174,12180,253,1263,2800,2308,2247,2245,1100,382,80,12665,97,618,2002,1631,1571,1480,631,176,34,8240,21,310,1655,1448,1460,1254,462,197,66,6879,15,143,1084,1215,1164,918,274,90,25,4925,7,92,1304,1890,2001,1319,380,90,27,7115,0,12,172,314,407,251,103,30,11,1294,15,20,198,481,604,474,240,93,28,2149,1000,927,1679,1610,1593,1594,1508,1265,741,11920,3,27,75,63,13,19,12,6,0,226,10495,10194,19739,18213,18878,20614,18157,10823,4424,131540
CED140,452,639,654,652,887,1432,2723,2388,1110,10925,488,947,1034,999,1184,1522,2398,1661,651,10890,286,1177,1257,1279,1319,1503,1585,912,296,9625,142,1085,1722,1466,1584,1813,1340,608,185,9946,65,789,2127,1823,2078,2056,1212,464,146,10757,26,453,1719,1674,1702,1486,762,230,63,8122,9,189,1401,1557,1621,1278,522,179,67,6834,0,69,1014,1423,1390,1130,359,104,16,5498,10,54,1327,2714,2769,1826,455,132,25,9312,0,4,213,649,679,396,127,45,18,2137,0,13,214,1034,1306,882,301,130,36,3926,404,410,974,943,959,963,1079,1181,1137,8039,3,10,17,26,37,31,28,12,9,167,8555,7747,15611,18461,19971,20583,18494,11724,4900,126044
CED141,511,676,729,770,948,1519,2915,2573,1296,11940,583,1033,1164,1054,1172,1505,2232,1496,568,10816,342,1140,1362,1224,1276,1432,1543,876,246,9449,163,1284,1852,1565,1788,1762,1133,541,141,10230,76,889,2392,2057,2204,2095,1175,396,75,11351,13,453,1915,1821,1716,1458,601,182,39,8207,9,189,1545,1634,1619,1269,418,153,45,6886,3,75,1040,1317,1421,1003,234,71,16,5186,5,62,1328,2667,2652,1621,371,69,22,8797,0,8,198,533,531,340,70,23,9,1703,3,10,191,694,867,549,173,81,35,2593,396,360,811,771,764,739,874,970,696,6380,3,5,15,16,15,19,12,3,7,93,8739,8027,16481,17945,19217,19533,17740,11474,4240,123396
CED142,251,1321,1849,876,752,1081,1599,989,399,9122,264,2134,3368,1327,712,845,932,463,121,10172,169,1930,4138,1527,853,752,650,290,74,10384,139,1914,5211,2042,1063,941,701,307,61,12387,69,2089,7087,2737,1411,1121,779,277,48,15620,33,1461,6830,2576,1334,966,509,161,24,13908,16,889,6301,2805,1486,1036,453,151,27,13163,3,446,5030,2733,1371,912,416,115,30,11062,16,488,10078,7647,3664,2036,643,186,34,24797,10,104,2210,2548,1337,668,203,55,7,7144,10,119,2989,5461,3808,2133,686,174,40,15426,516,2380,6064,3442,2167,1662,1197,815,457,18704,65,196,588,310,204,241,125,36,7,1765,5272,22008,67753,39241,22800,17708,11767,5602,1856,194003
CED143,295,547,325,350,435,618,985,1003,528,5098,339,806,639,561,646,782,998,892,371,6042,228,903,974,671,786,880,910,658,235,6239,96,872,1406,982,1053,1071,963,612,219,7276,40,911,2273,1402,1422,1355,1099,633,188,9310,13,595,2308,1403,1353,1177,845,381,105,8176,12,308,2244,1631,1445,1246,716,372,93,8068,9,111,1846,1376,1280,1105,575,286,72,6661,8,108,3544,4013,3338,2211,978,422,118,14746,4,20,836,1649,1419,850,288,125,38,5241,5,20,1210,5049,6397,3313,1043,426,124,17585,264,275,831,841,758,551,518,535,664,5237,20,25,84,63,52,63,38,14,3,354,8416,7423,19731,21812,22543,17573,12538,8279,3562,121872
CED144,337,951,1441,1246,1222,1627,2272,1895,1119,12104,380,1373,2136,1795,1650,1525,1246,728,350,11187,217,1439,2501,1994,1813,1573,751,413,136,10832,109,1380,3200,2365,2192,1688,676,274,127,12008,59,1212,3633,2593,2352,1757,607,149,46,12411,15,654,2610,1992,1494,1176,374,77,22,8417,13,291,2015,1747,1292,941,257,70,19,6644,3,102,1328,1258,1043,693,164,29,16,4632,4,82,1710,2293,1793,1043,227,40,16,7214,0,11,258,509,435,218,56,7,3,1501,4,7,254,775,689,358,84,19,16,2202,791,1129,2696,2099,1648,1370,973,853,728,12298,17,28,77,54,51,65,51,16,9,363,10535,12875,29550,25694,22493,20227,14111,8420,3997,147892
CED145,165,439,379,336,388,477,797,807,435,4211,200,600,822,502,533,620,854,655,283,5059,133,724,1240,685,619,659,760,491,160,5483,68,710,1878,907,788,818,804,500,177,6661,46,885,2831,1323,1098,1013,945,481,131,8749,8,621,2948,1246,1016,909,706,379,87,7918,9,341,3112,1482,1195,926,703,316,94,8192,6,175,2633,1521,1106,862,620,325,85,7325,15,194,5692,4034,2605,1755,1013,469,142,15915,8,54,1377,1667,1177,745,386,209,68,5694,7,60,2479,5783,5505,3165,1517,653,216,19383,344,410,1928,1303,963,733,690,928,1240,8534,14,53,143,98,101,86,57,24,12,587,6127,7087,28869,22506,18804,14572,11905,7822,3791,121483
CED146,515,933,1243,1397,1404,1701,2117,1427,584,11317,574,1345,1729,1753,1590,1397,1053,509,208,10157,389,1476,2017,2053,1920,1598,778,312,75,10620,232,1607,2770,2696,2580,1976,634,193,47,12734,117,1509,3579,3247,2852,2199,593,95,5,14202,38,857,2859,2490,2150,1559,360,44,13,10373,12,385,2297,2250,1835,1176,311,38,9,8314,9,142,1438,1670,1390,833,170,18,3,5667,3,108,1732,2824,2040,1139,188,26,4,8060,0,14,208,620,375,196,44,12,0,1469,7,14,190,578,468,251,77,24,7,1614,990,853,1868,1857,1463,1243,879,760,591,10511,5,13,27,22,26,67,70,19,0,250,14570,13882,26996,28707,25233,22106,13712,6399,2296,153906
CED147,600,704,903,919,1119,1602,3072,2608,1276,12791,702,1047,1411,1190,1305,1652,2145,1375,456,11285,407,1308,1743,1557,1481,1468,1511,967,216,10651,189,1466,2354,1840,2001,1829,1174,535,138,11525,85,1120,2739,2365,2429,2169,1181,387,96,12573,30,533,2171,1899,1817,1509,656,200,41,8869,11,247,1760,1729,1711,1295,511,192,43,7494,5,101,1160,1409,1361,1015,279,100,23,5458,8,82,1585,2570,2575,1650,409,131,22,9029,0,5,196,527,491,351,117,41,10,1750,14,15,184,678,860,620,307,147,29,2855,533,484,980,969,979,906,991,1097,990,7935,7,6,19,17,16,32,25,10,3,138,10272,9366,19612,19985,21068,21148,18901,12065,4464,136883
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,4,0,0,0,0,5,4,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,18,8,3,0,0,38
CED201,292,750,759,782,944,1122,2213,1845,890,9600,322,998,1116,1148,1244,1331,1768,1090,394,9417,176,1065,1415,1380,1529,1464,1266,689,214,9204,106,1227,2286,1923,1938,1840,1082,433,110,10942,53,1057,3093,2519,2486,2240,1027,250,74,12799,10,538,2518,2122,2026,1682,579,109,28,9608,4,231,2142,2158,1963,1555,398,100,27,8571,3,90,1320,1760,1495,1074,266,33,8,6041,3,52,1703,3255,2689,1767,359,42,14,9888,0,3,209,725,658,412,84,11,5,2112,0,14,190,744,814,549,115,33,19,2471,340,401,873,819,753,677,664,792,755,6076,5,10,23,32,30,68,63,31,8,265,9318,9641,20194,22296,21510,20415,15733,8836,3585,131529
CED202,417,707,926,861,1057,1489,2877,2006,948,11289,485,1059,1380,1263,1339,1576,2096,1102,441,10755,270,1167,1635,1347,1304,1458,1498,758,206,9640,161,1241,2407,1786,1811,1747,1125,421,184,10886,67,899,2686,2265,2254,2028,922,290,51,11458,21,445,1992,1689,1725,1425,520,146,45,8015,7,173,1664,1610,1564,1206,372,126,49,6778,0,75,968,1304,1269,840,243,62,16,4780,8,67,1172,2021,2154,1371,334,52,12,7188,0,12,158,412,453,309,81,21,12,1458,9,21,172,616,850,550,219,77,21,2534,656,592,1156,1040,1182,1064,1139,951,763,8536,5,9,22,13,18,24,19,7,0,113,9202,8711,18878,18578,19565,19166,16805,8825,3521,123254
CED203,379,650,877,818,991,1585,3074,2199,1092,11671,436,948,1334,1242,1285,1663,2238,1206,520,10862,277,1101,1589,1366,1395,1561,1476,803,230,9791,130,1246,2426,1888,1817,1911,1203,523,138,11284,67,865,2493,2136,2233,2107,1028,331,87,11359,6,444,1934,1669,1663,1395,608,160,35,7921,9,205,1645,1682,1597,1251,480,139,57,7058,0,84,970,1227,1289,878,257,68,18,4802,4,57,1126,1935,2066,1376,350,77,31,7022,0,15,133,401,454,296,87,18,7,1413,5,11,139,497,641,444,172,70,35,2012,624,592,1428,1293,1303,1293,1210,1092,890,9728,0,19,23,12,7,11,25,9,9,114,8602,8462,18461,18280,19061,19857,17774,9905,4043,124446
CED204,295,938,1068,1022,1186,1410,2429,1908,1084,11334,360,1203,1606,1439,1452,1498,1498,803,293,10154,206,1289,2117,1817,1754,1509,1025,442,139,10297,150,1461,3237,2757,2451,2061,847,239,57,13258,70,1173,3902,3053,2759,2255,750,148,32,14141,15,605,2768,2381,2075,1592,445,71,11,9969,9,251,2071,1955,1722,1273,315,69,15,7682,3,101,1182,1441,1189,804,182,28,5,4938,4,61,1380,2206,1816,1270,252,35,5,7024,0,6,181,449,364,253,50,6,0,1315,0,16,160,458,469,352,89,26,20,1588,756,888,2194,1701,1467,1209,965,852,574,10608,10,18,33,37,36,82,82,23,13,323,11101,12227,26546,25093,22987,21329,15188,8065,3258,145792
CED205,297,1094,1676,1547,1482,1585,1769,1185,444,11081,336,1324,2149,1901,1502,1169,850,458,144,9835,193,1352,2594,2260,1544,1156,623,278,64,10052,122,1554,3810,2958,2014,1462,496,133,39,12585,72,1143,4231,3276,2337,1663,384,62,16,13176,19,596,3002,2510,1561,1073,235,26,6,9031,4,250,2313,2098,1327,930,164,27,9,7110,9,87,1325,1497,916,574,91,8,0,4512,5,85,1505,2363,1256,728,131,22,3,6091,0,18,181,445,274,139,30,0,0,1092,3,23,177,420,299,209,44,10,0,1176,900,1029,2460,2092,1468,1103,695,452,168,10369,3,10,47,35,24,67,57,20,0,267,12047,13321,32271,29681,21435,17927,10675,4934,1474,143763
CED206,398,700,742,787,919,1212,2415,1891,726,9802,506,954,1039,1156,1228,1400,1899,1062,319,9555,245,1154,1434,1440,1401,1423,1383,734,181,9396,147,1285,2128,1734,1959,1969,1160,417,88,10894,76,945,2722,2267,2466,2230,1016,299,55,12075,14,458,2321,1969,2103,1623,613,137,34,9266,10,211,2119,2011,1952,1483,460,111,34,8387,0,96,1306,1517,1454,1084,302,54,12,5829,0,57,1666,2827,2671,1706,415,83,8,9442,0,17,235,558,612,392,86,23,5,1932,4,20,172,652,903,568,179,69,19,2579,471,448,920,870,1055,919,758,690,421,6548,5,8,22,22,21,22,21,12,0,131,9520,8713,19152,20401,21501,20061,15843,8412,2650,126247
CED207,283,1324,1122,825,971,1112,1902,2120,1431,11090,276,1526,1737,1116,1265,1192,1519,1397,664,10688,132,1238,1793,1317,1324,1193,1238,995,391,9607,63,1257,2680,1717,1712,1459,1142,758,343,11132,46,1232,3409,2220,2085,1789,987,565,199,12531,20,646,2927,1913,1634,1350,639,304,114,9548,6,306,2256,1958,1729,1285,542,251,96,8435,6,106,1417,1714,1487,1037,372,144,58,6340,0,106,2057,3998,3478,2133,530,185,66,12538,3,29,347,1186,1050,619,149,43,24,3447,4,29,339,1602,1970,1015,247,106,53,5369,409,952,1656,1015,898,739,697,870,891,8127,37,104,95,86,110,114,133,32,11,712,11351,15544,26183,24317,23494,19870,16191,12394,6314,155660
CED208,184,879,1132,770,951,1172,1771,1869,1180,9909,189,1135,1846,1070,1110,1114,1046,678,363,8548,89,1042,2188,1336,1214,1087,806,424,162,8342,44,1031,2934,1778,1617,1249,702,248,80,9690,25,845,3762,2323,1915,1442,588,158,51,11108,14,442,3500,2198,1625,1174,416,73,31,9475,4,182,3077,2343,1741,1064,345,76,32,8862,0,75,2092,2002,1522,886,205,42,10,6834,0,60,2964,4252,2996,1488,285,43,9,12103,0,8,486,1087,905,377,65,10,4,2955,5,22,412,1835,1786,639,130,23,10,4857,370,604,1557,1156,1018,802,715,721,715,7662,8,27,40,25,17,33,38,16,3,219,7144,9801,29561,25016,21358,16099,10977,7583,4009,131552
CED209,379,777,676,676,740,1114,2347,1752,963,9424,405,1100,1123,1071,964,1367,2251,1258,406,9945,197,1066,1432,1262,1153,1303,1609,892,213,9116,125,1133,1949,1706,1567,1502,1295,549,122,9944,51,881,2656,2203,2013,1884,1149,367,93,11287,9,450,2166,1977,1698,1342,607,201,56,8518,0,173,1991,2042,1784,1238,510,159,45,7948,0,56,1301,1585,1448,911,327,78,26,5736,0,38,1645,2993,2569,1511,408,130,30,9327,0,8,211,609,596,378,93,39,6,1947,0,15,246,904,1077,733,275,88,39,3374,447,471,820,785,842,758,945,1022,1020,7112,8,5,16,27,13,24,13,5,0,105,8443,8547,18262,19796,18409,17618,17256,9451,3815,121599
CED210,338,935,1034,884,1065,1501,2540,2097,1149,11542,379,1202,1552,1224,1245,1418,1909,1168,445,10538,210,1294,1839,1356,1312,1345,1272,721,218,9563,125,1342,2656,1767,1807,1642,1059,382,135,10908,56,1015,3256,2129,2049,1901,912,258,71,11639,18,528,2614,1698,1700,1442,550,130,25,8715,4,235,2146,1743,1625,1167,410,146,52,7529,6,92,1359,1368,1330,875,233,57,16,5345,6,69,1889,2702,2379,1524,317,80,19,8986,0,17,279,568,575,347,84,28,6,1903,10,26,308,932,1098,572,207,56,14,3222,573,727,1816,1518,1299,1024,1049,902,626,9529,25,12,30,28,19,21,22,11,0,161,9181,10369,23703,20471,20185,18765,15445,9008,3756,130878
CED211,295,736,770,816,910,1107,2117,2019,1160,9929,346,1083,1122,1192,1195,1255,1851,1406,555,10015,150,1033,1402,1360,1303,1296,1325,878,298,9068,106,1157,2235,1858,1845,1607,1237,622,216,10896,38,988,2850,2293,2320,2003,1084,424,145,12146,13,543,2477,2118,1891,1493,637,214,64,9455,6,216,2219,2117,1982,1448,504,158,66,8718,4,82,1444,1873,1643,1068,277,64,24,6470,3,44,1996,4143,3332,2003,434,99,36,12097,0,0,318,996,899,466,94,30,13,2809,3,8,264,1258,1333,677,181,60,27,3802,293,367,858,843,790,702,678,894,1155,6586,9,13,34,26,33,72,82,20,4,280,9569,9364,20603,23973,22351,19361,15826,10246,4849,136143
CED212,384,663,765,851,976,1228,2476,1917,1025,10272,395,967,1151,1177,1275,1428,1773,1152,446,9762,209,1050,1481,1439,1372,1370,1253,680,209,9066,121,1157,2383,2009,2048,1849,951,435,144,11101,57,912,2814,2454,2589,2188,926,294,68,12303,12,419,2466,2086,1985,1494,567,158,43,9243,5,191,1956,2037,1829,1334,443,126,32,7953,3,62,1247,1633,1540,998,258,55,20,5814,0,53,1657,2775,2625,1572,396,94,19,9193,0,3,202,602,583,319,85,21,9,1829,6,9,201,860,1072,588,203,83,29,3050,558,530,1289,1270,1306,993,847,867,737,8405,6,9,25,18,13,13,26,14,7,138,9186,8540,20020,21739,21862,19159,14788,8585,3575,127464
CED213,334,572,615,685,911,1327,2971,2599,1313,11327,431,811,815,1000,1199,1549,2630,1930,595,10958,282,946,1101,1058,1293,1564,1832,1129,345,9554,233,1079,1551,1326,1833,1802,1484,693,218,10217,140,800,1891,1684,2139,2037,1352,601,129,10776,35,384,1662,1397,1732,1562,836,321,82,8021,19,152,1464,1454,1693,1356,646,265,83,7120,5,66,843,1089,1201,964,446,150,31,4792,7,55,1054,2028,2319,1733,682,209,54,8129,0,12,185,461,564,408,192,77,16,1909,6,15,208,799,1226,1074,560,236,74,4205,580,411,861,1014,1304,1180,1343,1403,1229,9322,5,7,22,14,18,25,26,7,3,123,8384,7011,13873,15865,19810,20419,20889,13905,5449,125607
CED214,194,1071,1520,1063,1205,1447,2409,1744,948,11596,184,1333,2273,1451,1413,1182,1139,609,280,9862,109,1299,2784,1712,1527,1282,825,319,114,9976,95,1335,4022,2455,2111,1622,562,169,72,12436,35,1108,4554,2702,2184,1542,506,100,17,12749,13,576,3512,2325,1543,1039,277,39,8,9336,0,223,2828,2157,1450,867,239,48,13,7825,0,97,1931,1752,1132,611,115,16,10,5661,0,72,2710,3492,1996,978,158,17,3,9435,0,7,457,868,489,208,40,5,0,2069,4,25,385,1188,835,280,69,13,4,2802,636,1035,2902,1932,1464,1222,1039,866,670,11767,17,19,78,45,52,82,55,18,3,378,8359,12352,35198,27460,21768,18265,13604,7538,3400,147945
