CED_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED508,1522,17450,18970,18665,2921,21587,10098,817,10916,9655,385,10044,3291,165,3454,1251,71,1318,44486,21802,66286
CED509,1473,13485,14956,18149,2043,20196,10193,574,10773,10094,300,10396,4188,137,4324,2290,86,2379,46386,16631,63019
CED510,1334,11118,12452,19163,1534,20697,9860,429,10286,11255,224,11476,3874,82,3957,1201,37,1245,46694,13425,60114
CED511,1634,21900,23534,21075,4642,25720,8126,1089,9219,7133,702,7834,3349,382,3730,1810,169,1980,43120,28894,72020
CED512,1602,11333,12935,16747,1671,18414,11274,494,11767,11589,332,11921,4606,152,4761,2229,81,2303,48043,14061,62103
CED513,1693,29404,31095,22740,4999,27740,9753,1431,11182,8057,559,8616,2338,154,2494,814,65,883,45402,36617,82014
CED514,1620,23655,25277,21024,4351,25372,10459,1641,12097,9049,786,9838,3319,311,3632,1661,168,1831,47131,30905,78038
CED515,1122,13318,14444,18821,1794,20609,10722,625,11340,12220,363,12582,4651,164,4811,1934,59,1998,49478,16313,65791
CED597,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
CED601,707,13577,14283,14200,2177,16377,5818,570,6390,5018,314,5329,2055,145,2197,1033,67,1101,28826,16850,45682
CED602,861,14405,15271,15317,2123,17438,5733,443,6179,4741,263,4998,1927,138,2059,993,44,1042,29570,17414,46989
CED603,696,13582,14275,12656,2270,14929,6060,975,7037,5167,497,5672,2108,229,2337,1089,96,1180,27775,17655,45425
CED604,813,11149,11968,14217,1754,15976,6327,461,6785,5728,271,6003,2327,111,2436,1102,71,1175,30522,13816,44337
CED605,834,12777,13611,15508,2287,17795,6222,536,6754,5132,292,5415,2102,128,2226,1132,67,1196,30919,16077,46998
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,751,10085,10837,7517,6586,14105,4588,1079,5665,4423,900,5319,2613,388,3005,4121,203,4321,24011,19243,43257
CED702,1062,10401,11461,9757,3501,13255,6477,1152,7630,5413,646,6060,2396,282,2676,1532,158,1693,26640,16142,42780
CED797,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
CED801,904,14177,15079,17181,2088,19270,9022,635,9661,9249,335,9586,3550,129,3679,1543,56,1603,41454,17420,58876
CED802,937,18488,19423,16477,3765,20245,6963,1540,8509,6793,663,7460,2365,227,2596,934,101,1035,34479,24792,59269
CED803,810,12176,12991,15318,2302,17619,9505,813,10318,10354,482,10836,3982,211,4191,1907,96,2005,41883,16082,57967
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
