CED_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
CED212,1740,439,368,428,480,194,70,208,12117,25,0,4,0,0,0,0,0,0,92,121,21349,4899,3724,696,611,624,679,287,115,799,33784
CED213,587,159,127,158,186,65,25,189,5386,35,0,0,0,0,0,0,0,0,80,124,18382,2697,1954,363,314,317,342,156,53,957,25537
CED214,9602,2529,2776,3383,3894,1193,282,1935,68663,57,12,18,3,4,9,3,0,0,126,249,42803,10372,11400,2929,3173,3811,4330,1336,338,2416,82910
CED215,11509,2710,2889,3112,3563,1221,401,937,56531,15,10,28,6,8,5,9,0,0,305,386,28293,16398,15237,3362,3517,3762,4291,1452,538,1612,78465
CED216,1081,272,255,303,424,172,55,199,5989,21,3,0,0,0,0,0,0,0,282,308,11914,1795,1679,377,368,444,567,227,81,994,18447
CED217,3266,853,978,1157,1372,554,186,408,22610,13,0,8,0,3,0,0,0,0,48,83,25949,6380,6030,1391,1577,1682,1934,835,306,891,46973
CED218,8893,2147,1814,1942,2374,786,232,1106,61197,31,14,18,0,0,6,5,0,0,678,746,39722,13182,10353,2422,2055,2136,2595,859,276,2064,75676
CED219,5300,1172,1008,967,1176,372,135,417,24584,23,15,3,0,5,0,0,0,0,30,86,17968,8260,6878,1445,1253,1153,1347,457,173,834,39775
CED220,4612,1439,1784,1916,2325,845,246,450,28612,17,8,4,0,0,3,3,0,0,79,111,23673,5996,7189,2055,2551,2769,3313,1258,425,884,50115
CED221,13196,2575,2761,2674,3000,1116,423,779,59968,33,19,27,3,8,0,6,0,3,64,167,27269,20932,15292,2923,3083,2932,3260,1216,476,1275,78643
CED222,12500,3755,4250,5394,5784,1932,401,1988,84981,44,17,12,0,6,11,8,6,0,157,266,48099,14489,14181,4173,4732,5909,6388,2157,467,2584,103176
CED223,987,290,332,462,499,167,67,166,5813,19,3,0,3,5,0,0,0,0,53,85,10313,1739,1628,419,440,605,639,259,98,647,16784
CED224,4752,1040,916,1143,1138,374,135,507,30765,32,3,3,3,0,0,3,0,0,161,197,28623,8101,7073,1454,1261,1507,1431,475,191,1072,51186
CED225,3276,704,787,816,820,341,64,387,20962,12,8,0,0,0,0,0,0,0,23,60,21418,5440,4712,964,1063,1045,1050,437,129,721,36977
CED226,5657,1645,1630,1770,2134,947,232,531,35211,16,0,0,4,0,0,0,0,0,24,47,27736,7438,7458,2005,2025,2172,2521,1168,311,915,53736
CED227,7871,1586,1527,1364,1547,541,159,368,32060,18,12,15,0,0,0,0,0,0,81,131,18491,12577,9858,1930,1813,1615,1785,623,201,864,49750
CED228,16231,4110,4119,4636,5218,1685,443,1030,72375,21,9,21,3,4,8,11,0,0,90,177,24670,22798,19041,4726,4662,5157,5802,1859,544,1587,90844
CED229,5875,2076,2424,2914,3647,1438,348,563,33637,19,4,10,5,0,5,9,0,0,110,163,24343,7905,9968,3151,3669,4337,5383,2106,585,1099,62556
CED230,1887,688,876,1039,1228,388,159,454,10814,15,9,0,8,0,4,0,0,0,40,75,8071,2145,2415,804,975,1156,1397,444,184,834,18425
CED231,3347,1092,1018,1308,1333,413,116,595,29150,23,0,6,4,5,3,9,0,0,35,82,26511,4566,4846,1409,1372,1671,1660,534,199,913,43692
CED232,3959,834,793,743,805,261,108,251,16899,15,3,9,0,0,0,3,0,0,56,85,13484,6466,5315,1027,1005,929,931,319,133,651,30269
CED233,10551,4592,5738,6724,8684,3643,890,951,61154,30,6,6,9,4,7,5,5,4,97,168,24325,10015,14636,5774,7134,8442,10856,4662,1390,1514,88748
CED234,9246,2207,2503,2505,2663,1117,346,952,57475,33,3,19,0,0,3,0,0,4,101,156,37873,10964,10574,2483,2767,2819,2982,1247,397,1413,73518
CED235,721,167,197,193,305,165,52,172,5099,37,0,0,0,0,0,0,0,0,17,55,13429,1737,1363,288,292,274,417,225,78,719,18814
CED236,2287,691,722,862,1147,327,126,321,11714,22,0,3,0,0,0,0,0,0,65,90,8971,2894,2962,826,809,999,1261,423,168,777,20084
CED237,9393,2042,2120,2528,2714,820,174,1062,59417,38,8,26,5,12,4,7,0,0,168,255,34675,12254,10543,2271,2392,2771,2924,885,212,1520,70449
CED238,867,241,344,513,598,178,97,109,4771,19,3,0,0,0,6,0,0,0,276,302,7710,1665,1549,375,462,635,752,258,131,772,14296
CED239,4973,1540,1971,2257,2398,756,174,729,36870,15,0,0,3,5,6,11,5,0,126,163,26132,6481,7198,1986,2546,2762,2959,972,262,1187,52489
CED297,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,18,12,4,0,0,0,0,0,0,0,41
CED301,3186,713,581,709,760,262,112,264,13534,13,3,6,0,3,0,0,0,0,225,251,14964,6516,5385,1038,887,1039,1114,391,199,1025,32570
CED302,5165,1095,1136,1151,1284,554,193,414,27056,23,5,15,0,4,4,4,6,0,45,92,22337,10525,7753,1506,1572,1575,1665,744,286,910,48871
CED303,1454,310,268,294,334,154,43,239,8801,24,3,0,0,0,0,0,0,0,99,128,21288,6965,4223,673,572,628,686,289,132,1004,36448
CED304,4936,1798,2386,3027,4124,1731,366,422,28105,25,0,5,0,5,3,16,3,0,80,142,19363,7861,8157,2521,3110,3874,5218,2440,661,970,54183
CED305,1412,311,376,438,543,219,81,146,6511,20,7,0,0,0,0,3,0,0,64,101,7753,3325,2440,484,538,584,771,352,124,544,16917
CED306,1824,437,429,550,1031,438,249,235,9347,12,3,0,0,0,3,5,0,3,84,116,10878,4297,3375,678,686,815,1444,681,311,717,23891
CED307,2061,474,431,377,441,161,52,129,10488,14,4,0,0,0,3,0,0,0,23,48,17030,6644,4346,744,743,659,732,290,112,615,31920
CED308,4160,1059,935,1059,1070,450,136,470,21285,39,13,7,5,0,0,3,0,0,114,178,29290,11871,8921,1899,1653,1845,1826,868,343,1546,60049
CED309,1668,483,529,524,535,184,57,173,8014,18,5,0,0,0,0,3,0,0,92,124,19367,5926,4642,1029,1012,977,1113,503,164,894,35632
CED310,1674,457,520,527,608,282,69,163,8183,19,6,0,0,3,3,0,0,0,61,89,18927,5867,4378,989,1043,983,1177,555,221,900,35047
CED311,1398,299,360,390,592,225,137,169,6279,11,3,0,0,0,0,6,0,11,37,66,9362,3061,2722,461,510,566,801,326,210,653,18673
CED312,4080,1048,906,879,1132,377,101,421,20410,30,8,14,4,0,0,0,3,0,139,207,25888,10391,7737,1552,1368,1390,1600,585,245,1400,52157
CED313,5002,1614,1835,2239,3182,1267,335,423,27360,16,6,11,0,4,4,4,4,0,109,157,20232,8244,8147,2230,2520,3029,4107,1872,560,996,51938
CED314,2488,587,973,1327,1957,534,106,239,12408,16,5,3,0,0,4,0,0,0,29,62,8809,3724,3500,722,1136,1492,2113,631,158,546,22832
CED315,1862,400,437,585,815,347,72,176,9249,9,13,3,0,0,0,7,0,0,37,61,11358,4267,3210,614,631,837,1132,515,145,576,23282
CED316,1106,262,312,367,683,311,120,184,6471,27,0,0,0,0,3,5,6,0,64,105,15964,2575,2095,435,468,532,940,471,196,880,24556
CED317,1388,325,296,452,788,330,182,369,8658,23,0,6,4,0,6,3,0,0,96,135,13434,2948,2599,532,489,659,1038,449,240,1131,23520
CED318,3192,650,692,830,1373,597,118,442,16206,33,4,5,3,0,0,3,5,0,93,159,20622,6411,5382,1077,1112,1192,1849,829,230,1140,39843
CED319,3880,917,1108,1234,1475,513,128,277,19560,20,4,14,3,3,0,0,3,0,186,233,17276,7742,6070,1256,1474,1592,1811,654,244,911,39029
CED320,1740,419,363,546,724,214,59,223,8991,32,3,7,0,0,0,0,0,0,231,282,18918,5521,3992,760,661,837,1048,366,129,1243,33470
