CED_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
CED230,464,773,1235,209,319,531,233,891,1123,295,1847,2144,1070,5066,6140,1063,2619,3680,3817,1739,5553,3124,2272,5400,3603,2029,5628,3971,1349,5320,2679,1051,3731,2900,684,3590,5485,993,6473,3644,194,3839,2355,243,2602,1334,74,1408,2748,428,3179,2837,226,3065,973,1596,2571,42810,24396,67199
CED231,483,722,1208,176,245,420,217,678,894,200,1227,1424,612,2533,3146,549,1398,1947,1937,1145,3079,1674,1466,3143,2081,1748,3831,2263,1595,3856,1792,1516,3311,1883,1280,3167,4359,2250,6604,3796,324,4120,3493,561,4057,2663,157,2821,9765,875,10644,1857,324,2182,487,563,1052,40298,20607,60907
CED232,403,385,789,161,128,291,162,292,451,152,495,655,539,1382,1920,643,870,1510,1629,681,2309,1664,849,2515,2302,991,3293,2794,815,3615,2363,701,3061,2636,497,3128,6165,812,6979,4897,73,4968,4242,173,4418,2670,29,2698,6751,294,7045,2615,104,2716,490,326,819,43273,9906,53176
CED233,791,3315,4106,234,677,910,341,1386,1727,309,2262,2574,632,2824,3459,665,2589,3253,1244,2457,3703,1423,3185,4611,1775,4389,6163,2305,4138,6442,1777,3811,5584,2003,3348,5354,4744,6775,11516,3854,1152,5003,3579,2073,5653,2708,611,3321,11381,4027,15409,1732,1818,3547,251,1139,1395,41748,51978,93725
CED234,967,832,1798,333,312,646,299,480,783,255,874,1126,816,2103,2912,800,1427,2225,2261,1089,3347,2117,1234,3349,2688,1321,4008,3032,1035,4070,2254,871,3131,2484,701,3187,5207,1254,6464,4156,171,4332,3779,345,4125,2690,89,2772,10214,486,10705,2484,238,2719,469,483,954,47307,15345,62647
CED235,467,653,1121,242,288,531,231,700,929,259,1434,1689,929,3812,4741,930,2474,3401,3190,1477,4672,2853,1734,4589,3175,1592,4765,3408,1107,4513,2297,848,3150,2603,645,3249,4891,891,5782,3267,127,3392,2473,227,2697,1360,62,1422,3136,521,3655,2493,154,2642,735,1038,1771,38932,19772,58698
CED236,507,610,1116,214,250,463,197,677,869,281,1482,1764,941,3780,4723,987,2233,3230,3416,1525,4942,2859,1779,4640,3116,1771,4881,3636,1205,4835,2548,935,3486,2691,630,3322,5396,924,6312,3729,159,3890,2517,224,2748,1440,44,1485,3035,383,3415,2762,189,2959,848,1264,2115,41116,20070,61181
CED237,732,605,1336,205,157,362,239,406,645,275,855,1127,804,2085,2885,870,968,1840,2891,786,3678,2460,1170,3629,3034,1210,4245,3551,1027,4578,2953,820,3777,2856,591,3455,6353,814,7170,4763,174,4942,3473,204,3678,2237,50,2287,3942,214,4149,2194,197,2388,607,436,1041,44435,12771,57203
CED238,414,632,1048,195,319,518,182,774,953,232,1495,1727,826,3971,4802,881,2381,3270,2982,1664,4642,2809,2054,4863,3098,1926,5021,3636,1309,4948,2527,962,3486,2767,776,3540,5368,1084,6454,3709,178,3882,2531,280,2818,1467,87,1555,3369,666,4032,2747,213,2960,726,1193,1913,40472,21967,62441
CED239,469,743,1211,131,270,398,160,650,808,187,1246,1437,551,2734,3284,600,1497,2101,1896,1183,3078,1575,1574,3142,2011,1844,3851,2284,1820,4101,1918,1830,3751,2005,1540,3546,4754,2790,7544,4008,539,4550,3834,779,4615,2765,290,3059,7761,1044,8796,1743,788,2534,414,669,1081,39060,23822,62882
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,377,549,931,139,148,288,182,519,695,266,996,1255,747,2867,3615,1171,1942,3109,3070,1255,4320,2951,1772,4726,3438,1863,5304,4086,1476,5558,3244,1112,4356,3369,802,4172,7112,1044,8158,4971,151,5125,3740,226,3963,2193,43,2242,4005,246,4251,3344,274,3622,558,752,1308,48963,18044,67001
CED302,435,514,944,160,186,343,167,461,631,197,858,1051,564,2249,2816,569,1445,2009,1734,969,2711,1719,1171,2889,2253,1338,3597,2530,1019,3556,2054,891,2948,2303,704,3013,5477,1307,6789,4499,210,4711,4182,342,4528,3095,78,3173,9225,426,9655,2377,302,2674,349,467,821,43899,14955,58850
CED303,396,491,879,153,189,343,177,488,669,164,1053,1220,652,2886,3544,730,1759,2483,2719,1063,3780,2297,1242,3538,2795,1220,4018,3077,920,3994,2284,742,3025,2564,555,3117,5798,829,6628,4677,137,4815,3863,183,4049,2602,49,2649,6291,273,6569,2749,192,2938,472,585,1059,44457,14844,59310
CED304,371,1061,1431,126,334,458,129,713,839,110,1419,1531,335,2126,2458,431,2112,2546,934,1884,2813,1094,2590,3682,1611,3375,4987,2241,3252,5489,1737,2980,4716,1957,2554,4505,5098,5014,10110,3778,912,4691,3666,1445,5113,2921,388,3312,14207,2512,16721,2282,1145,3430,248,757,1009,43275,36571,79846
CED305,364,559,920,179,192,366,154,543,698,180,1009,1191,659,2662,3315,690,1596,2289,2323,1205,3525,1919,1473,3388,2222,1513,3731,2526,1226,3747,1859,984,2841,2146,867,3010,4876,1656,6534,3684,233,3916,3313,537,3854,2085,100,2186,5273,770,6038,4678,320,4998,605,1107,1704,39723,18540,58263
CED306,439,624,1061,185,224,409,170,590,756,205,1159,1370,648,2631,3284,743,1862,2604,2269,1381,3645,1883,1733,3614,2306,1840,4142,2687,1455,4139,2072,1138,3216,2320,957,3275,5065,1663,6731,4045,336,4388,3326,460,3785,2110,115,2228,5035,626,5662,4643,489,5132,574,1113,1688,40727,20402,61127
CED307,264,341,607,144,124,263,135,252,388,131,602,735,472,1737,2202,642,1180,1818,1860,786,2642,1869,1026,2900,2468,1165,3632,2885,953,3841,2340,814,3160,2606,585,3186,5885,885,6769,4823,144,4972,4195,168,4365,2830,41,2872,7672,220,7892,2670,175,2846,338,355,696,44244,11544,55783
CED308,650,655,1309,207,240,443,216,438,657,249,1019,1268,821,2587,3411,922,2177,3098,3010,1276,4290,2868,1676,4548,3530,1773,5304,4158,1404,5560,3150,1107,4264,3369,822,4188,7345,1234,8579,5270,260,5530,3916,308,4227,2322,84,2404,6196,479,6675,3363,396,3761,625,735,1359,52179,18686,70868
CED309,410,543,954,215,210,426,203,513,714,187,1071,1254,642,2971,3612,829,2182,3011,2754,1487,4241,2678,1721,4397,3336,1644,4984,3777,1329,5104,2649,954,3604,3001,791,3788,6207,1199,7406,4498,268,4764,3394,303,3689,2051,101,2150,5447,520,5965,3376,404,3786,481,875,1359,46130,19080,65214
CED310,413,525,939,191,242,431,179,514,692,194,1105,1293,781,3062,3843,874,2139,3014,3042,1404,4447,2752,1616,4367,3195,1643,4839,3871,1246,5116,2709,965,3671,2900,771,3669,6017,1214,7237,4491,277,4771,3425,345,3770,2166,97,2269,5293,566,5859,3509,393,3899,484,751,1230,46475,18872,65352
CED311,486,656,1141,212,252,464,231,613,845,237,1293,1527,885,3010,3894,989,1612,2602,2917,1320,4237,2199,1637,3838,2461,1643,4104,2813,1286,4101,1992,1124,3111,2199,903,3101,4911,1691,6606,3558,228,3782,3003,498,3499,1872,99,1976,4340,707,5047,4216,329,4541,767,1211,1977,40283,20108,60394
CED312,423,504,926,161,167,332,176,396,572,209,908,1123,677,2132,2810,991,1951,2935,2956,1060,4019,2815,1520,4336,3207,1638,4850,4013,1190,5197,3271,905,4179,3351,632,3985,7379,888,8272,5256,197,5451,3770,189,3963,2335,51,2381,4710,189,4902,3185,297,3483,558,669,1230,49441,15496,64935
CED313,391,859,1246,156,249,406,139,644,784,154,1268,1416,408,2145,2553,466,1663,2135,1089,1434,2525,1183,1887,3069,1766,2413,4183,2181,2378,4558,1797,2141,3943,1988,1946,3932,5216,3852,9065,4224,768,4993,4027,1121,5149,3102,306,3406,13011,1726,14741,2369,938,3300,218,598,816,43874,28339,72217
CED314,394,548,940,191,193,382,152,521,679,191,1106,1297,711,3120,3836,785,2234,3022,2811,1414,4227,2511,1793,4300,2959,1808,4764,3405,1436,4837,2601,1115,3716,2728,817,3544,5741,1130,6872,4081,184,4259,2955,242,3202,1840,58,1896,3985,350,4325,3158,252,3410,503,678,1183,41689,19002,60688
CED315,323,607,935,133,206,341,141,641,783,229,1090,1318,579,2416,2999,796,1875,2671,2100,1394,3494,2037,1757,3799,2498,1982,4481,2973,1703,4674,2408,1407,3818,2609,1054,3664,5637,1516,7154,4452,286,4738,3348,361,3713,2081,103,2183,4290,491,4787,3871,451,4319,400,703,1100,40916,20053,60965
CED316,542,707,1250,279,266,541,237,690,931,315,1584,1904,1133,4542,5674,1194,2908,4100,5006,1695,6710,3778,1872,5656,3959,1753,5711,3994,1178,5173,2548,831,3379,2540,606,3143,4615,850,5464,3049,187,3241,2055,215,2273,1146,58,1206,2395,374,2765,3016,285,3299,751,1336,2085,42570,21941,64512
CED317,476,806,1284,249,342,586,251,830,1086,288,1501,1795,929,3471,4402,979,2131,3107,3010,1968,4976,2540,2242,4781,2886,2150,5038,3293,1747,5039,2344,1215,3565,2636,1097,3730,5158,1707,6860,3643,394,4032,2891,496,3395,1693,191,1885,3451,771,4218,4234,344,4580,869,2186,3058,41816,25600,67411
CED318,410,728,1139,156,257,417,219,715,941,258,1439,1691,784,2850,3633,943,2176,3117,2317,1702,4018,2386,2177,4562,2882,2362,5241,3389,1883,5273,2574,1438,4008,2661,1155,3811,5443,1893,7336,3923,430,4348,3063,508,3563,1975,168,2148,4334,879,5212,3759,554,4313,608,1365,1972,42080,24675,66748
CED319,281,541,826,124,209,336,144,587,728,159,1227,1382,491,2854,3351,592,1974,2568,1625,1389,3020,1819,1717,3537,2274,1869,4139,2621,1779,4398,2142,1440,3585,2318,1201,3516,5416,2007,7423,4672,330,5006,4225,507,4733,2978,124,3104,8098,573,8667,2311,450,2762,313,614,927,42592,21399,63987
CED320,466,503,967,202,191,395,196,421,619,260,1143,1406,887,3062,3943,1140,2360,3500,3894,1231,5128,3400,1638,5039,3879,1685,5561,4302,1123,5429,3148,827,3973,3284,578,3867,6535,824,7358,4698,159,4857,3313,168,3475,2004,45,2051,3852,275,4124,3469,270,3735,605,746,1353,49534,17235,66771
CED321,538,683,1224,209,293,503,220,662,888,258,1427,1680,981,4030,5006,960,2246,3207,3553,1588,5139,2769,1984,4757,2888,1909,4797,3337,1387,4725,2335,1048,3379,2340,821,3162,4542,1221,5767,2994,208,3201,2094,348,2437,1135,85,1222,2423,641,3063,3775,247,4019,836,1381,2218,38194,22212,60410
CED322,461,661,1121,185,208,391,196,467,662,188,983,1176,586,2562,3147,738,1835,2570,2251,1283,3539,2134,1536,3670,2800,1661,4463,3285,1338,4623,2445,969,3409,2644,856,3499,5693,1351,7049,4432,316,4746,3600,391,3991,2292,146,2435,5889,581,6473,2833,517,3345,455,709,1162,43097,18373,61468
CED323,615,1079,1699,206,353,558,204,731,936,272,1560,1832,740,3533,4271,975,2795,3768,2643,1928,4568,2550,2572,5120,3181,2696,5872,3812,2135,5948,2722,1606,4324,2926,1287,4209,5933,2030,7961,4083,502,4583,3212,624,3836,2022,188,2211,5973,1050,7027,2830,801,3638,567,1094,1663,45456,28556,74016
CED324,474,589,1060,192,197,384,184,511,697,208,970,1173,574,2024,2599,679,1500,2178,1711,1108,2824,1815,1442,3257,2290,1601,3900,2787,1337,4118,2250,1222,3473,2349,921,3276,5187,1650,6834,4219,382,4601,3634,472,4106,2684,163,2845,8166,658,8828,2429,587,3009,252,445,696,42094,17758,59851
CED325,465,449,913,156,159,314,237,369,607,292,783,1074,687,1954,2643,857,1255,2115,2179,925,3105,2379,1191,3571,2905,1376,4279,3513,1071,4585,2958,918,3877,2945,745,3685,6760,1001,7766,5004,179,5182,4020,201,4221,2666,57,2725,5880,266,6145,2907,267,3173,427,468,895,47242,13636,60872
CED326,371,562,942,170,205,375,177,553,730,218,1234,1451,719,3355,4076,943,2566,3509,2893,1425,4321,2783,1670,4451,3290,1804,5092,3898,1343,5242,3047,1064,4106,3169,803,3967,7063,1250,8318,5132,191,5321,4159,266,4432,2524,51,2578,5582,338,5924,3191,261,3455,456,815,1272,49788,19764,69555
CED327,551,504,1054,162,180,341,249,358,605,313,827,1139,795,1998,2789,1115,1305,2414,2746,922,3672,2699,1399,4108,3320,1516,4839,4097,1139,5239,3199,825,4028,3161,631,3792,6524,793,7318,4726,159,4890,3270,150,3419,2071,53,2122,3893,206,4100,2963,268,3232,498,502,1002,46362,13745,60108
CED328,377,628,1007,169,210,384,157,455,612,129,679,814,400,1437,1832,504,1279,1777,1078,1006,2083,1261,1254,2512,1876,1503,3376,2137,1336,3475,1750,1244,2994,1943,1013,2962,4554,1872,6425,3795,311,4110,3857,466,4325,2895,123,3010,12815,784,13595,2440,625,3068,246,316,567,42387,16538,58928
CED329,540,604,1146,289,248,535,234,671,908,265,1427,1691,1015,4142,5155,1054,2445,3501,4096,1421,5515,3194,1742,4938,3562,1545,5107,3962,1117,5079,2478,790,3273,2574,597,3169,4539,826,5358,2897,184,3077,2112,236,2347,1233,75,1307,3100,639,3743,3207,273,3481,653,1055,1707,40997,20039,61043
CED330,462,486,948,185,155,342,207,348,557,217,703,921,726,2015,2743,800,1265,2065,2788,892,3678,2422,1062,3480,2961,1160,4123,3517,847,4359,2743,655,3407,2923,470,3393,6574,657,7230,4881,130,5011,3811,167,3974,2453,41,2494,5356,263,5615,3675,256,3929,699,540,1231,47391,12098,59489
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7,5
CED401,535,1212,1749,192,403,593,252,1122,1376,245,2060,2298,756,4019,4778,913,2712,3629,2181,1862,4047,2296,2293,4588,2945,2806,5759,3440,2361,5802,2670,1978,4645,2922,1662,4582,6536,2604,9146,4784,592,5379,3922,791,4722,2669,226,2892,7963,1225,9188,2592,753,3348,328,766,1096,48145,31453,79598
CED402,452,634,1084,222,292,513,216,827,1046,269,1752,2019,1032,4793,5822,1156,2739,3892,4100,1803,5902,3335,2197,5533,3558,2141,5696,4260,1405,5668,2894,987,3878,3127,691,3821,5981,948,6931,3839,166,4003,2650,214,2859,1415,55,1464,2822,379,3207,3360,211,3568,709,1232,1938,45395,23467,68864
CED403,345,621,964,184,325,506,159,842,1005,189,1619,1808,659,3883,4540,686,2894,3580,2246,1936,4182,2355,2173,4524,2952,2198,5146,3433,1780,5208,2426,1497,3922,2588,1094,3686,5761,1671,7441,4672,288,4959,4068,397,4470,2840,104,2946,7872,580,8453,2791,447,3242,328,756,1086,46554,25096,71653
CED404,474,734,1211,218,349,569,253,1128,1381,289,2193,2481,1194,5512,6710,1192,2544,3730,4178,1901,6073,3295,2263,5556,3416,2125,5540,3932,1679,5620,2470,1307,3777,2622,953,3576,5037,1552,6588,3562,247,3800,2574,405,2979,1436,107,1549,2828,688,3511,4197,275,4471,850,1742,2585,44022,27697,71719
CED405,348,688,1031,173,284,456,180,860,1037,225,1825,2049,783,4399,5185,834,2430,3266,2811,1688,4498,2651,2094,4744,3182,2228,5415,3531,1728,5264,2662,1408,4067,2729,992,3721,6026,1537,7557,4919,261,5178,3850,312,4157,2524,77,2600,5703,451,6154,2696,343,3038,402,864,1263,46212,24473,70685
CED406,297,454,745,132,176,307,186,590,771,209,1340,1548,758,3628,4384,1036,2240,3276,3280,1464,4738,3182,1772,4954,3633,1787,5419,4114,1327,5440,3085,934,4018,3201,682,3884,6730,759,7483,4862,148,5007,3338,139,3476,1967,32,1999,3085,175,3255,2973,215,3188,408,564,976,46466,18426,64896
CED407,404,518,919,143,179,326,175,526,700,249,1205,1450,737,3347,4086,918,1867,2781,3156,1268,4426,3077,1651,4730,3687,1792,5476,4064,1334,5398,3118,1060,4176,3055,714,3768,6858,968,7834,4855,159,5014,3596,187,3787,2067,56,2124,3798,209,4002,2739,201,2942,428,559,984,47120,17815,64933
CED408,323,450,773,201,241,441,166,611,774,211,1183,1390,834,3515,4353,933,2511,3441,3495,1624,5123,3264,1752,5019,3747,1586,5330,4203,1068,5270,2694,928,3619,3023,584,3604,5891,864,6752,4430,139,4571,3551,231,3775,2136,40,2172,5650,414,6062,3771,211,3978,446,593,1035,48942,18550,67492
CED409,473,517,992,175,208,386,274,751,1032,394,1706,2102,1096,3991,5087,1489,2347,3837,4029,1430,5451,3729,2164,5889,4031,2124,6160,4640,1370,6009,3309,939,4248,3343,572,3914,6448,767,7214,4204,136,4334,2511,105,2619,1452,30,1482,2200,152,2355,3275,289,3564,606,940,1546,47668,20545,68209
CED410,509,747,1251,236,280,518,201,800,1004,224,1497,1727,635,3840,4479,769,2740,3506,2365,1761,4129,2475,1926,4406,3167,2073,5239,3591,1638,5234,2753,1372,4126,2867,1102,3969,6212,1835,8046,4923,243,5164,4045,398,4443,2705,111,2813,9215,700,9922,2738,384,3125,338,642,979,49975,24095,74071
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,398,502,901,146,182,326,198,518,718,265,1100,1359,710,2571,3279,1050,1729,2783,2595,1027,3624,2398,1328,3728,2644,1566,4207,2980,1314,4295,2700,1180,3881,2773,849,3626,6098,1432,7532,4687,166,4855,3943,320,4263,2426,59,2486,5037,310,5340,5955,388,6339,488,593,1082,47493,17133,64629
CED502,472,596,1068,148,162,308,206,560,764,271,1190,1466,765,2603,3364,978,1626,2607,2675,1090,3757,2439,1452,3897,3106,1726,4829,3548,1334,4884,2987,1089,4077,3057,779,3832,6580,1092,7675,4758,144,4907,3700,240,3944,2013,57,2069,4028,265,4295,4375,353,4730,480,582,1060,46581,16948,63524
CED503,494,590,1077,211,206,415,207,605,815,270,1161,1427,813,3039,3852,1010,2039,3044,3259,1137,4391,2641,1209,3855,2782,1244,4027,2983,844,3825,1996,811,2807,2272,636,2904,4841,1140,5979,3676,106,3782,3162,278,3436,1868,53,1920,4988,393,5381,5379,261,5637,554,694,1251,43398,16426,59820
CED504,575,726,1302,195,223,417,241,733,977,311,1382,1694,938,3358,4300,1038,1614,2656,2971,1165,4137,2710,1581,4285,3216,1842,5060,3709,1551,5261,2939,1215,4156,2867,933,3799,6066,1381,7446,4504,188,4691,3451,331,3787,2202,80,2283,4930,383,5316,3916,409,4325,496,615,1108,47297,19717,67008
CED505,402,701,1104,179,313,490,166,645,820,145,1187,1330,442,2366,2802,508,1860,2367,1088,1395,2476,1261,1534,2798,1711,1748,3453,1996,1600,3591,1457,1466,2925,1801,1171,2972,3886,2459,6351,3255,290,3542,3343,783,4126,2490,172,2662,16372,1744,18112,3623,654,4281,276,528,798,44395,22596,66996
CED506,414,961,1374,180,348,529,276,898,1173,326,1499,1825,902,3025,3923,892,1838,2730,2446,2050,4502,2058,2299,4356,2219,2789,5007,2471,2548,5021,1912,1974,3890,2168,1954,4124,4952,3680,8634,4014,828,4845,3793,1380,5176,2479,443,2924,6938,2356,9296,5837,519,6359,817,2605,3417,45105,33999,79108
CED507,369,490,855,184,216,404,205,590,795,223,1205,1431,791,2876,3668,894,1846,2741,2756,1312,4070,2264,1433,3701,2800,1502,4305,3023,1155,4177,2209,911,3116,2410,739,3151,5153,1263,6414,3953,187,4142,3167,380,3547,1860,102,1963,4282,601,4881,4952,358,5307,440,760,1199,41933,17928,59859
CED508,375,614,990,152,224,382,189,675,869,217,1215,1430,614,2700,3319,681,1571,2250,1962,1118,3081,1753,1403,3155,2145,1687,3828,2449,1517,3967,2091,1311,3398,2237,1111,3357,5497,1888,7385,4524,266,4791,4218,533,4755,2851,89,2940,8131,794,8920,4067,536,4599,324,640,963,44486,19887,64367
CED509,342,523,866,151,189,342,202,492,695,187,890,1074,567,2063,2628,734,1306,2040,2075,874,2956,1899,1150,3049,2543,1431,3977,2994,1205,4198,2311,998,3309,2629,776,3409,6197,1195,7400,4879,144,5018,4003,302,4308,2579,49,2630,6576,340,6914,5076,304,5375,446,760,1210,46386,15001,61392
CED510,374,414,792,193,173,368,183,398,580,175,712,888,597,1769,2367,570,1319,1885,1805,903,2705,1816,959,2775,2303,1038,3345,2466,856,3319,1953,758,2711,2064,628,2690,4953,1081,6036,4335,134,4464,4384,300,4686,3058,60,3119,10709,381,11091,4353,255,4605,396,420,813,46694,12543,59235
CED511,431,687,1119,231,326,554,239,949,1188,252,1502,1750,924,3810,4734,925,2173,3096,3033,1450,4478,2406,1898,4300,2791,2028,4821,3161,1434,4592,2159,1380,3538,2461,1098,3559,5164,1963,7129,3864,197,4058,3160,524,3683,1774,100,1876,4546,766,5313,4890,322,5212,717,1463,2185,43120,24078,67197
CED512,379,414,795,128,134,261,168,336,502,235,687,924,588,1667,2254,808,1240,2049,2053,777,2832,2016,1033,3051,2396,1185,3582,2994,1015,4007,2524,891,3413,2749,703,3451,6463,1105,7566,5338,118,5452,4340,257,4594,2666,50,2716,6204,300,6501,5533,216,5750,471,436,902,48043,12559,60604
CED513,421,1045,1472,149,335,482,202,915,1113,204,1877,2081,581,3559,4148,647,2587,3233,1792,1790,3586,1723,2257,3980,2195,2857,5053,2573,2582,5152,2089,2372,4461,2250,1983,4230,5235,3912,9143,4270,490,4759,4037,1120,5164,2971,243,3213,10314,1773,12090,3413,872,4289,328,994,1322,45402,33566,78962
CED514,492,965,1456,170,348,519,219,800,1018,283,1565,1846,649,3240,3888,798,2287,3086,1996,1495,3491,1930,2029,3958,2458,2488,4948,3080,2131,5209,2450,1949,4403,2634,1446,4079,6002,2820,8823,4623,475,5103,3977,822,4799,2637,210,2844,8240,1178,9411,4089,1006,5096,411,788,1201,47131,28033,75167
CED515,532,588,1121,284,250,528,235,495,730,212,928,1139,702,2246,2944,682,1530,2215,1978,1005,2983,1940,1177,3113,2528,1208,3734,2849,1007,3855,2200,893,3101,2348,675,3023,5380,1290,6670,4445,176,4617,4339,358,4694,2965,80,3049,11385,601,11981,4121,326,4443,342,403,745,49478,15225,64701
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,13,13
CED601,227,383,607,127,172,299,129,559,689,209,1155,1364,650,2949,3603,748,1835,2587,2429,1144,3575,2125,1428,3554,2356,1379,3734,2689,948,3640,1854,720,2576,1790,538,2329,3763,669,4437,2433,150,2581,1797,166,1967,1071,55,1124,2213,295,2510,1914,224,2140,310,622,926,28826,15402,44227
CED602,227,382,610,135,169,302,147,595,744,213,1270,1482,733,3556,4290,830,1936,2762,3074,1098,4173,2265,1307,3568,2350,1295,3648,2720,798,3520,1882,682,2561,1873,520,2395,3636,671,4310,2442,88,2529,1661,122,1788,923,33,954,1735,242,1979,2326,143,2466,401,778,1179,29570,15684,45257
CED603,207,400,612,92,164,258,105,510,619,127,953,1080,414,2500,2914,582,1663,2241,1367,1225,2589,1483,1348,2831,1849,1458,3308,2286,1151,3435,1664,1001,2658,1727,725,2454,3672,1150,4825,2743,263,3009,2133,335,2472,1481,117,1599,3833,541,4374,1792,423,2214,207,508,720,27775,16438,44210
CED604,228,290,523,107,122,227,112,352,466,137,800,941,539,2324,2862,644,1446,2091,1871,1019,2890,1813,1156,2970,2265,1202,3469,2593,788,3389,1877,788,2660,1950,523,2472,4014,731,4743,3017,137,3156,2340,178,2519,1522,49,1574,3223,209,3430,2030,157,2191,245,427,671,30522,12706,43228
CED605,263,368,623,132,178,310,161,486,652,228,1129,1357,774,3309,4087,882,1589,2467,2981,1028,4012,2351,1279,3630,2529,1202,3734,2887,791,3679,1983,620,2607,2040,425,2463,3890,524,4418,2670,97,2772,1729,123,1855,917,34,957,1718,241,1960,2364,129,2490,422,616,1043,30919,14179,45098
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,117,427,543,189,187,371,321,409,722,216,507,717,673,933,1605,457,660,1118,1012,913,1923,1049,1102,2154,1242,1493,2736,1389,1411,2801,1093,1193,2281,1124,1047,2176,2605,1911,4515,2277,519,2797,2040,648,2691,1465,281,1740,3417,1038,4457,2842,375,3218,472,1632,2102,24011,16680,40691
CED702,161,334,493,51,91,140,101,278,374,148,736,883,285,1028,1316,353,641,987,720,625,1346,708,926,1638,1076,1128,2208,1351,1165,2512,1203,1061,2269,1388,971,2359,3640,1784,5426,2897,341,3239,2554,479,3033,1874,188,2066,5045,848,5891,2876,559,3437,212,538,752,26640,13724,40362
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,7
CED801,173,318,487,78,130,210,74,296,375,127,649,779,317,1655,1974,408,1010,1411,988,992,1979,1027,1229,2246,1562,1449,3011,2182,1352,3538,1938,1428,3361,2028,1217,3243,5011,2187,7195,4345,202,4542,4323,452,4769,3419,127,3545,11019,728,11749,2224,208,2430,210,354,561,41454,15976,57429
CED802,177,402,573,72,170,247,66,418,485,78,753,836,222,1451,1670,252,1001,1255,573,926,1494,655,1163,1809,1029,1540,2561,1429,1827,3260,1258,2031,3286,1426,1817,3245,3640,4042,7686,3138,535,3667,3226,1137,4359,2697,349,3039,12641,2147,14784,1754,586,2334,150,411,568,34479,22683,57164
CED803,206,339,543,92,99,187,111,286,392,119,552,669,332,1190,1525,454,793,1246,1009,837,1847,1103,1041,2150,1498,1236,2735,2129,1291,3418,1960,1429,3388,2081,1207,3287,5461,2224,7678,4695,290,4984,4518,467,4987,3731,149,3873,10077,651,10732,2117,314,2430,207,268,474,41883,14672,56554
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
