CED_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
CED219,13795,878,293,33,8,15006,25806,752,229,7,16,26814,8023,1230,432,10,13,9703,409,168,86,0,0,668,98,121,18,0,0,239,1780,177,91,5,0,2063,197,58,17,24,0,291,59,15,3,0,0,83,10574,1774,646,38,12,13051,517,68,21,4,0,618,2891,373,91,21,9,3391,53590,3855,1280,105,44,58876
CED220,10831,4527,4291,81,20,19750,7994,3849,6082,46,12,17985,2585,4000,16076,169,28,22852,100,234,1052,0,0,1386,15,56,262,0,0,331,639,828,1895,41,13,3414,45,35,115,4,7,209,14,23,52,0,0,87,3388,5170,19456,218,48,28276,260,240,492,40,3,1035,648,520,1845,45,10,3076,23130,14309,32163,438,90,70131
CED221,9238,943,156,3,9,10345,29089,1858,110,5,13,31080,9078,1316,173,5,20,10595,443,86,34,0,0,563,78,27,24,0,0,129,1864,181,19,0,5,2068,338,42,6,0,0,384,64,12,0,0,0,81,11865,1661,259,7,23,13818,560,275,104,0,4,943,2702,375,55,0,5,3139,53446,5117,694,12,59,59323
CED222,18677,2110,1182,24,13,22002,15096,3776,2056,8,14,20947,8111,4946,3598,21,32,16713,645,442,348,0,0,1435,142,87,68,0,0,295,2264,822,457,9,9,3568,480,160,95,91,3,831,79,33,20,0,5,132,11724,6493,4587,129,47,22971,655,185,237,3,0,1081,1999,705,516,46,12,3271,48140,13270,8577,210,83,70270
CED223,24146,739,181,296,44,25407,19663,362,72,55,40,20189,6008,1662,204,29,13,7916,1205,500,66,0,0,1768,132,106,6,0,0,246,2715,311,88,22,19,3157,582,71,46,92,19,810,70,27,0,3,0,102,10712,2673,414,147,48,13999,1148,96,30,23,26,1326,3780,616,97,213,45,4743,59447,4481,791,738,201,65662
CED224,13687,4432,1794,122,15,20040,16136,5309,2569,38,13,24067,3862,4008,3259,59,13,11203,236,279,309,0,0,827,47,85,118,0,0,250,929,675,428,27,9,2061,186,69,27,127,5,417,32,15,17,0,0,66,5295,5133,4158,208,30,14828,408,235,315,8,0,966,1107,619,519,61,4,2310,36625,15723,9355,449,58,62211
CED225,19630,1778,855,8,9,22276,18488,2451,875,9,5,21827,4931,2508,1839,13,20,9313,731,630,125,0,5,1491,79,135,120,0,0,336,1298,409,236,15,0,1954,243,51,14,0,4,320,28,19,9,0,0,57,7312,3758,2344,28,29,13474,508,172,148,4,7,847,1249,356,246,25,8,1877,47188,8516,4471,68,61,60296
CED226,16409,4767,2748,34,19,23975,11669,3373,3151,22,15,18221,3619,3606,7485,89,21,14811,37,20,177,0,0,242,19,90,87,0,0,194,858,661,931,32,6,2492,78,42,75,9,0,206,17,12,25,0,0,55,4626,4443,8774,124,33,18001,479,262,419,4,8,1171,817,383,794,36,8,2034,34000,13225,15876,218,81,63401
CED227,11230,1138,92,86,10,12558,27799,1003,45,6,20,28882,8508,1293,116,4,10,9935,200,72,36,0,0,304,23,61,3,0,0,93,1459,128,17,3,5,1609,186,28,0,56,0,272,39,5,4,0,0,53,10422,1592,176,66,14,12268,531,560,25,3,0,1119,2429,292,36,20,0,2776,52407,4584,381,182,48,57607
CED228,11428,1037,243,27,8,12749,27286,1875,279,4,16,29458,12905,2154,737,4,11,15813,460,111,40,0,0,609,106,48,31,0,0,185,1978,290,73,5,0,2344,304,33,12,7,0,357,92,16,9,0,0,113,15843,2649,897,11,16,19418,546,190,65,3,4,808,3373,478,169,21,6,4040,58475,6234,1651,65,46,66476
CED229,4423,5036,7771,90,17,17332,3264,4476,11119,135,21,19015,1150,3893,27704,337,54,33134,9,600,1303,0,3,1914,5,76,587,4,6,673,383,918,3381,92,25,4795,33,43,224,6,7,320,15,17,99,0,0,126,1603,5541,33290,433,90,40960,143,263,801,9,9,1227,361,711,3645,110,45,4868,9795,16029,56623,775,186,83402
CED230,26707,824,276,630,82,28521,18504,255,95,64,21,18937,5601,1212,959,34,14,7826,1054,493,300,0,0,1853,181,107,164,0,4,456,3743,314,176,58,23,4317,903,71,76,289,45,1378,120,24,32,23,3,196,11596,2235,1704,405,93,16032,1659,128,96,52,19,1956,4586,426,355,362,53,5786,63053,3868,2527,1502,269,71227
CED231,15459,3437,1413,39,9,20361,11748,4617,2642,24,8,19039,4210,4690,5567,66,11,14544,156,425,1707,0,0,2294,46,66,170,0,0,286,1020,694,659,26,3,2403,110,45,55,5,4,213,25,20,28,0,0,75,5573,5942,8185,94,27,19818,468,254,165,0,0,894,1088,611,1013,18,5,2740,34331,14873,13417,173,51,62849
CED232,14310,860,49,23,8,15246,26883,800,55,5,14,27756,5705,816,117,3,6,6642,149,91,8,0,3,254,73,34,15,0,0,125,1329,147,10,3,4,1495,165,23,0,21,3,214,22,3,0,0,0,33,7436,1120,153,29,14,8755,502,216,3,0,5,726,2267,166,23,36,9,2492,51401,3167,276,89,48,54983
CED233,2206,5756,6613,60,24,14661,1676,5044,10312,88,15,17136,1164,6694,37637,227,115,45834,39,687,3906,0,0,4631,18,133,723,8,7,896,364,1836,4394,77,34,6703,16,91,512,13,22,655,5,18,130,0,4,155,1603,9466,47303,326,175,58873,102,386,1245,9,6,1752,174,721,5576,194,90,6762,5761,21371,71058,679,306,99177
CED234,20462,3425,1420,6,8,25322,15432,3498,1668,4,12,20626,5498,3084,2910,11,20,11525,112,150,95,0,0,356,49,44,75,0,0,173,1330,531,417,0,3,2284,137,70,64,9,3,278,25,9,16,0,0,56,7158,3882,3578,14,24,14667,621,392,338,0,6,1348,1209,432,405,7,9,2061,44887,11640,7407,33,58,64023
CED235,23413,995,277,426,26,25146,18951,372,130,16,22,19493,5576,848,415,14,14,6864,591,390,133,4,0,1112,122,86,67,0,0,271,2503,186,90,14,10,2801,301,37,14,106,0,470,59,24,13,6,0,98,9157,1566,722,146,26,11615,921,128,76,43,3,1176,3384,340,114,152,10,4000,55829,3408,1321,785,93,61436
CED236,22052,1005,24,575,34,23695,19140,348,8,57,24,19574,5840,1915,53,29,11,7853,1262,602,19,0,0,1884,198,150,28,16,0,399,3015,342,7,46,16,3422,827,109,3,235,23,1194,94,47,0,12,0,153,11239,3161,111,336,52,14905,1150,151,0,118,8,1427,3783,631,33,502,8,4955,57366,5295,180,1587,126,64554
CED237,16009,1249,333,3,6,17603,20351,2193,402,4,11,22961,7875,2640,962,4,6,11483,461,110,40,0,0,615,75,49,35,0,0,161,1615,294,111,5,5,2030,377,48,28,4,0,463,54,21,9,0,0,81,10461,3164,1179,7,15,14837,572,187,56,3,0,821,2130,524,217,23,13,2896,49527,7314,2189,39,49,59114
CED238,25691,946,134,251,40,27063,18477,398,87,51,20,19040,4748,1336,348,43,8,6483,987,434,105,3,0,1526,136,111,63,0,0,316,3228,335,87,32,18,3699,665,91,44,156,16,969,80,38,7,4,0,125,9836,2344,654,239,42,13120,1652,156,65,28,18,1917,3467,358,89,163,11,4095,59126,4200,1029,740,135,65229
CED239,14080,2735,1033,39,20,17907,11203,5403,2673,45,14,19340,5511,7151,5911,130,19,18719,347,514,321,0,5,1183,37,71,103,0,0,214,1614,1015,722,44,10,3401,203,108,46,3,6,368,39,29,18,0,0,85,7755,8892,7121,177,38,23977,462,178,99,8,0,744,1374,843,635,111,10,2971,34869,18049,11562,381,82,64941
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,15335,466,118,132,33,16083,24302,360,82,29,16,24782,14101,2874,499,14,17,17512,997,380,198,0,4,1577,153,156,88,0,0,397,2866,291,72,9,9,3244,976,236,58,130,33,1426,99,31,7,0,0,141,19192,3968,923,156,64,24303,563,81,44,11,14,716,3048,562,165,194,14,3986,62434,5438,1331,523,149,69873
CED302,15389,1384,756,252,11,17791,19808,2174,696,19,8,22708,6749,2363,1897,16,18,11047,791,462,542,0,0,1794,83,77,97,0,5,259,1642,496,348,16,16,2518,160,446,141,302,31,1089,28,25,24,3,0,86,9455,3863,3045,344,68,16783,439,302,131,5,3,882,1160,408,363,99,18,2053,46256,8131,4997,718,112,60211
CED303,17420,1721,709,147,25,20024,21933,1167,397,9,11,23524,6481,1577,581,4,9,8659,518,503,351,0,4,1366,81,142,94,0,0,312,1948,400,203,15,19,2578,136,333,78,39,7,590,39,25,15,6,0,81,9207,2972,1314,63,36,13594,477,731,134,6,3,1355,1577,377,184,80,8,2223,50612,6964,2737,312,89,60718
CED304,8836,835,5382,13,25,15090,11172,1235,7547,11,25,19986,4928,1994,25635,36,130,32732,118,245,1311,0,6,1679,34,29,696,0,10,766,1454,434,4227,17,56,6178,85,89,1048,3,24,1254,24,12,128,0,0,170,6638,2798,33053,60,231,42775,313,61,603,3,16,1000,665,232,3022,115,54,4093,27620,5165,49600,204,348,82941
CED305,16181,474,370,871,250,18143,18852,334,221,75,33,19514,6348,1590,931,13,15,8898,767,411,212,0,9,1399,177,164,97,0,0,438,3118,294,209,36,30,3694,2044,461,135,251,122,3017,69,29,16,5,0,114,12526,2947,1606,300,185,17558,1208,162,103,46,52,1573,3500,507,294,565,60,4921,52261,4424,2593,1853,581,61702
CED306,16252,721,406,1575,393,19346,19058,502,334,96,48,20043,6649,2563,1492,37,60,10805,902,596,257,7,0,1762,158,210,81,3,4,463,3074,528,341,72,53,4063,653,226,182,390,201,1659,64,53,15,3,0,132,11508,4172,2374,506,325,18886,942,163,42,72,48,1269,3087,812,470,466,129,4966,50841,6375,3638,2723,936,64513
CED307,14684,1159,88,144,10,16082,23622,1353,74,3,10,25062,5862,2791,360,3,9,9017,538,254,95,0,0,887,40,114,7,0,0,160,1474,528,89,0,6,2098,542,464,9,50,7,1074,33,41,5,0,0,77,8487,4185,558,57,22,13308,246,457,80,3,12,794,1267,427,70,25,3,1794,48310,7584,868,231,51,57043
CED308,12543,3787,2614,463,75,19482,18659,4487,1456,24,48,24682,9801,5326,2936,5,64,18139,233,495,255,0,5,989,62,157,58,0,3,285,1637,1207,720,28,28,3621,322,841,351,69,15,1586,56,50,37,0,0,145,12106,8081,4355,107,106,24758,390,275,186,20,9,883,2135,1163,764,145,20,4239,45841,17803,9377,760,261,74043
CED309,16542,2562,2004,687,175,21977,19488,1719,1271,29,32,22545,6157,2701,2684,24,37,11612,312,395,448,0,0,1154,53,86,107,0,0,247,2157,612,786,19,40,3612,239,162,155,243,41,845,59,17,30,4,3,114,8979,3971,4206,293,120,17579,730,881,347,22,8,1989,1762,622,721,227,34,3374,47511,9763,8556,1261,381,67460
CED310,16995,2518,2516,523,62,22610,19269,1167,1248,45,29,21755,7308,1787,3198,22,28,12340,396,260,454,0,3,1119,56,47,87,0,0,183,2297,501,814,38,32,3682,246,136,201,106,35,719,38,29,26,3,0,95,10346,2752,4782,165,98,18143,582,915,270,36,16,1816,1912,484,773,208,46,3431,49102,7839,9594,970,252,67761
CED311,17399,252,237,1361,266,19503,17926,290,160,100,45,18514,7597,1216,1459,18,17,10309,1092,177,292,0,7,1567,195,120,66,0,4,377,3393,138,168,76,34,3806,1594,171,211,384,126,2485,82,26,14,5,0,132,13951,1846,2200,488,192,18672,1629,53,60,127,71,1947,4392,291,317,623,110,5741,55295,2729,2981,2692,682,64380
CED312,13032,1227,252,133,19,14662,23983,1375,265,17,32,25669,12149,4052,884,17,32,17125,1053,291,203,0,4,1555,62,72,68,4,0,201,2144,434,129,8,15,2721,364,458,46,129,3,999,62,41,9,3,0,118,15827,5341,1330,156,55,22707,471,219,43,0,6,751,3159,895,360,202,15,4633,56475,9059,2252,513,131,68429
CED313,9094,1027,4135,27,17,14300,13160,2510,5735,11,27,21448,5704,3211,16794,27,78,25807,599,456,1518,0,3,2584,44,34,199,0,4,279,1594,533,2909,11,33,5070,128,90,664,0,9,884,20,5,86,0,6,114,8087,4331,22167,39,126,34746,277,62,504,0,6,851,898,346,2136,28,46,3460,31515,8275,34683,98,224,74799
CED314,17122,1551,302,116,26,19111,18536,783,210,16,21,19568,8372,4048,1379,15,15,13823,637,520,159,0,0,1320,77,148,44,0,0,267,2809,527,212,12,8,3570,538,144,36,76,6,797,66,39,9,0,0,115,12505,5422,1830,99,32,19892,640,469,43,12,17,1186,2040,617,190,163,24,3031,50844,8834,2569,412,130,62785
CED315,12154,936,706,457,69,14319,19558,707,537,32,16,20848,8701,3589,2249,12,30,14582,1675,747,408,0,14,2837,143,181,75,0,6,405,3073,716,392,19,25,4215,1151,133,156,99,86,1628,76,41,14,0,0,134,14824,5402,3290,138,147,23806,609,280,87,12,18,1012,2578,850,556,101,57,4146,49727,8171,5174,747,306,64129
CED316,23174,1297,854,1641,293,27257,15938,415,221,68,36,16673,7200,1825,1014,28,21,10096,644,668,207,0,3,1525,108,160,132,0,0,408,3318,363,346,49,32,4101,514,147,141,357,123,1275,72,25,38,8,0,148,11855,3199,1879,442,180,17560,851,500,125,53,22,1544,2495,573,326,320,136,3844,54315,5973,3400,2523,667,66878
CED317,20148,380,188,3715,613,25039,17092,222,87,199,82,17678,5578,1213,873,62,27,7755,1612,470,326,13,14,2442,734,126,206,9,10,1085,4177,372,254,101,52,4958,1450,265,140,744,244,2840,117,27,35,7,0,189,13666,2477,1836,944,350,19275,1784,133,72,201,152,2347,5189,452,434,1424,203,7701,57881,3669,2616,6482,1402,72040
CED318,13394,1078,1656,1554,292,17974,16874,1038,1548,143,62,19669,5543,2683,4361,51,120,12754,2905,669,597,16,24,4214,779,208,142,16,14,1155,2702,852,1089,115,72,4833,911,478,477,486,236,2591,113,41,50,13,9,225,12957,4930,6720,690,471,25778,792,324,118,131,86,1445,2877,946,1500,710,146,6179,46894,8325,11542,3224,1065,71045
CED319,13695,1389,1225,18,5,16339,17844,2100,1822,3,5,21783,7247,2907,6321,22,27,16527,977,688,1005,0,9,2688,72,110,194,0,5,379,1844,484,861,6,9,3204,215,384,203,0,8,816,37,30,49,0,0,116,10394,4598,8636,26,59,23725,466,313,477,0,10,1268,1105,435,816,143,14,2518,43509,8833,12982,200,91,65621
CED320,17566,1433,312,556,34,19897,23224,660,130,31,24,24068,10416,4184,548,14,22,15196,657,560,85,6,0,1312,103,201,35,3,0,344,2274,481,93,27,17,2893,284,420,28,191,14,937,58,48,21,3,0,133,13799,5898,817,244,60,20815,522,329,125,22,8,1018,2388,820,184,225,15,3634,57501,9138,1568,1077,142,69427
CED321,21535,359,52,1475,339,23759,14864,141,30,126,63,15223,6284,1409,545,30,13,8276,764,289,112,9,4,1183,218,169,70,4,4,463,4101,211,82,67,50,4511,1701,137,80,401,150,2468,97,37,12,12,0,155,13166,2242,900,528,216,17051,2239,151,23,99,114,2635,4773,403,232,388,101,5897,56581,3297,1243,2613,836,64572
CED322,12077,3514,3293,294,33,19212,15094,4710,2321,19,17,22157,3758,3581,4322,13,23,11696,319,344,356,0,0,1019,25,46,108,0,0,179,1399,1168,1326,13,18,3920,167,747,485,31,8,1440,36,40,36,0,0,105,5707,5925,6618,59,52,18360,326,226,228,3,3,795,1232,790,1097,92,30,3246,34436,15171,13557,460,139,63764
CED323,10144,3335,7031,304,81,20901,12791,3436,4799,27,37,21096,3783,3809,11272,37,110,19007,558,407,545,0,0,1510,42,69,351,0,0,466,1377,1160,2866,14,34,5452,169,630,1271,292,63,2426,26,39,129,5,4,206,5955,6113,16431,348,216,29071,319,413,704,9,16,1454,1362,937,3539,193,67,6094,30574,14237,32502,873,422,78611
CED324,14988,1122,841,18,11,16987,16101,2308,1259,8,6,19689,7399,3122,3371,13,39,13951,753,501,657,0,5,1914,113,82,175,0,0,374,2578,630,622,7,14,3856,326,563,84,67,8,1051,70,37,20,0,0,133,11251,4934,4939,89,67,21281,590,285,283,0,8,1170,1447,463,441,38,20,2412,44378,9122,7757,154,122,61537
CED325,12481,824,113,32,7,13456,23018,1021,56,3,6,24112,10432,3849,146,6,38,14466,1971,312,116,0,3,2399,92,101,29,0,3,226,2330,417,71,3,7,2823,637,582,39,134,5,1391,80,48,8,5,0,140,15540,5305,404,151,55,21459,452,318,143,3,9,920,2202,683,118,56,17,3079,53692,8146,840,246,92,63018
CED326,14677,1782,1745,192,30,18421,21671,1449,757,14,22,23912,11534,4073,1849,12,24,17490,999,391,713,0,4,2107,65,110,153,4,0,331,2013,602,421,11,8,3053,359,729,130,292,11,1515,46,55,35,0,0,143,15020,5949,3297,327,44,24640,494,806,236,17,5,1557,1776,703,451,224,13,3169,53637,10695,6484,766,111,71696
CED327,12377,1029,106,57,3,13579,20923,1992,113,0,11,23038,10081,4583,528,4,25,15221,1697,490,121,0,4,2321,72,125,39,0,10,249,2191,632,80,3,9,2920,259,641,59,48,5,1018,68,61,8,0,0,140,14379,6534,841,59,55,21861,374,218,30,0,4,624,2628,1093,259,59,25,4062,50672,10863,1352,184,100,63170
CED328,14490,896,2556,3,21,17967,17840,750,2437,0,15,21048,5232,945,7054,5,59,13295,449,59,416,0,0,927,42,19,113,0,0,182,1481,176,1457,3,20,3138,566,82,281,0,23,950,34,8,25,0,0,64,7805,1291,9349,7,106,18557,360,241,285,0,15,907,746,172,636,3,16,1576,41248,3351,15271,15,172,60055
CED329,23444,1286,739,734,168,26366,17198,522,336,82,58,18197,5173,1239,887,31,57,7381,721,325,227,4,5,1282,93,113,55,6,3,267,3107,402,306,28,52,3897,369,85,85,132,84,757,58,30,14,5,4,108,9514,2198,1577,201,202,13694,915,350,78,25,55,1423,2989,422,311,282,37,4046,54057,4780,3042,1334,511,63721
CED330,16974,484,84,220,52,17808,27567,267,86,55,24,27994,6795,1008,132,18,11,7968,192,106,9,0,0,305,45,51,3,0,0,96,2604,152,51,21,20,2851,358,77,3,100,13,555,70,16,0,0,0,92,10071,1407,205,139,48,11865,747,56,31,11,7,847,3045,246,62,128,59,3542,58403,2453,464,553,192,62061
CED397,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,8,5
CED401,15160,3568,1917,61,24,20728,16233,4630,2142,26,61,23093,5823,5012,7092,57,108,18093,1416,2102,774,0,12,4312,663,797,621,0,25,2108,3141,2017,1950,51,37,7187,507,233,394,11,26,1165,66,76,50,0,10,200,11608,10235,10891,114,217,33062,609,601,428,13,11,1664,1231,957,993,105,79,3360,44840,19987,16369,317,392,81907
CED402,24331,775,167,523,116,25919,21899,441,91,83,52,22567,5282,1337,683,13,18,7338,1203,906,197,5,10,2312,321,260,53,0,0,636,3924,354,142,46,38,4505,996,138,42,155,65,1396,98,49,18,3,3,176,11816,3046,1135,227,126,16362,1894,485,46,39,22,2494,3589,555,135,278,111,4667,63543,5300,1579,1157,432,72007
CED403,18744,3976,1527,55,22,24326,18823,3975,1341,16,39,24201,4251,3265,2831,36,31,10413,926,1294,531,0,12,2760,383,682,326,5,9,1405,2493,1411,1050,20,30,5004,184,102,110,32,16,439,39,45,32,0,0,126,8283,6801,4873,94,93,20142,580,1006,532,11,15,2151,971,706,360,41,20,2103,47408,16471,8634,221,194,72925
CED404,24681,1222,145,977,319,27354,18818,1123,65,107,54,20165,4944,1410,474,26,25,6880,1922,1979,502,6,21,4434,398,206,69,5,8,680,4243,557,137,85,51,5069,1532,147,88,409,173,2352,116,49,13,4,0,182,13150,4359,1277,533,276,19603,1904,252,63,93,104,2414,3817,862,225,743,94,5748,62374,7819,1783,2454,853,75285
CED405,19032,3175,989,77,41,23309,18730,3986,1078,21,43,23865,4603,2992,2563,17,37,10219,1161,1974,726,0,11,3875,334,490,190,0,0,1009,2790,1234,983,20,21,5047,288,163,177,28,8,660,63,51,47,0,0,160,9237,6907,4680,73,78,20973,593,678,314,11,11,1602,1230,783,452,125,25,2611,48820,15524,7515,301,196,72357
CED406,18301,949,172,143,7,19571,27352,981,207,4,28,28568,5975,1051,274,0,7,7312,1440,806,208,0,0,2455,412,166,41,0,3,626,3122,392,91,4,7,3617,162,90,14,101,0,365,57,40,9,7,0,108,11171,2544,631,113,25,14476,580,843,130,10,4,1558,1653,481,103,79,6,2327,59056,5793,1236,350,70,66507
CED407,19250,1114,310,9,9,20694,25376,1305,434,4,26,27145,5304,1251,825,4,19,7408,1519,645,246,0,6,2415,242,143,43,0,3,435,2950,410,197,0,16,3578,481,93,40,0,9,625,59,21,11,0,0,89,10554,2572,1364,6,59,14555,520,1090,155,3,0,1767,1497,319,165,0,10,1997,57194,6400,2430,27,110,66160
CED408,25134,741,116,319,79,26381,26243,378,52,23,45,26739,5294,578,215,12,9,6113,433,152,16,0,0,602,271,165,33,0,0,479,3261,234,87,22,34,3638,395,66,7,104,36,615,58,17,9,5,0,79,9706,1224,367,148,85,11522,1279,603,52,22,10,1959,2498,206,56,75,17,2850,64849,3154,638,580,235,69458
CED409,14323,1323,73,190,33,15940,25854,1554,99,14,45,27562,8376,2532,492,0,19,11421,1745,2310,218,0,7,4280,413,514,84,0,4,1012,3640,716,142,7,11,4517,862,156,68,99,15,1200,111,68,24,3,4,207,15142,6295,1034,108,58,22634,576,321,28,9,16,945,2571,1031,173,114,20,3905,58464,10515,1406,430,176,70987
CED410,21296,3775,1170,53,41,26341,18787,3665,1118,9,34,23608,5496,3508,2870,13,36,11914,708,821,612,0,4,2148,343,452,299,0,5,1091,2516,1330,1048,15,29,4939,299,116,173,33,15,642,49,41,48,0,0,143,9414,6274,5053,61,88,20881,731,972,759,0,15,2485,1204,559,479,15,10,2268,51437,15239,8577,139,192,75578
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,13469,760,337,207,11,14788,30688,543,295,14,34,31566,8419,805,883,0,8,10115,653,383,255,0,0,1289,115,116,72,0,3,298,3550,279,196,9,0,4042,593,43,40,58,7,733,53,10,5,0,0,78,13380,1641,1454,71,16,16556,401,292,26,10,0,729,2513,229,223,126,23,3116,60456,3462,2322,429,88,66760
CED502,13412,1008,65,92,8,14589,29370,1230,145,13,16,30783,6886,1794,369,18,12,9077,826,599,94,0,0,1518,91,225,93,0,0,413,3707,498,78,16,7,4308,494,118,21,94,3,725,76,35,6,0,0,123,12076,3277,655,126,24,16160,500,425,29,18,6,981,2656,532,81,128,20,3422,58024,6472,991,376,81,65938
CED503,17226,1290,334,546,33,19431,24487,591,174,39,19,25310,5448,1002,341,12,7,6811,354,421,35,0,5,817,188,201,69,0,4,464,3139,392,84,18,6,3643,312,113,14,101,10,548,62,27,6,7,0,95,9497,2162,547,135,32,12380,761,915,28,34,3,1739,2084,383,94,168,16,2745,54057,5340,1186,920,113,61609
CED504,18337,2245,102,3,9,20695,21877,4138,161,0,0,26181,5928,3141,221,0,12,9305,887,1725,128,0,0,2738,137,242,11,0,0,391,3500,1306,76,0,9,4901,602,193,23,0,3,823,86,56,3,0,0,148,11147,6668,461,3,26,18304,538,258,22,0,0,826,2131,955,52,47,23,3210,54035,14274,790,57,60,69220
CED505,17104,3829,2168,0,20,23114,14730,4375,1935,3,11,21043,4027,3809,5423,4,8,13272,326,838,520,0,0,1689,31,141,117,0,0,289,1762,1431,1521,3,6,4724,267,134,191,3,3,607,14,26,22,0,0,67,6428,6383,7796,16,22,20646,454,433,661,0,6,1558,881,638,866,20,16,2430,39598,15657,13417,41,72,68794
CED506,15609,692,104,6906,582,23886,16871,573,76,444,94,18063,5178,1457,704,57,43,7443,3927,1069,197,32,42,5266,1398,209,98,45,21,1773,3882,458,119,333,131,4920,5890,888,363,1921,369,9428,119,38,7,19,4,186,20392,4111,1485,2412,608,29014,2690,367,147,526,272,4002,6619,1259,430,2082,542,10936,62176,6995,2252,12370,2099,85894
CED507,17906,1101,124,481,39,19656,21843,708,80,51,29,22707,5573,1120,277,21,12,7006,802,810,50,0,4,1662,110,266,74,0,4,462,3940,486,86,41,21,4574,512,90,15,316,16,955,65,25,3,0,0,93,11002,2797,502,382,61,14743,902,464,50,64,19,1501,2483,490,90,442,41,3550,54146,5560,841,1413,194,62155
CED508,14558,2387,976,289,29,18239,23090,2759,1300,9,12,27170,5510,2181,2254,14,13,9979,751,1094,408,0,8,2257,83,182,99,0,0,369,2559,890,571,15,8,4050,275,98,60,94,15,531,38,27,14,0,0,75,9221,4468,3409,130,44,17264,409,299,79,11,3,813,1479,627,440,235,28,2800,48760,10541,6199,673,119,66286
CED509,15183,975,66,192,14,16433,30566,1020,118,15,23,31742,4678,1228,548,4,11,6469,470,511,66,0,4,1050,100,140,23,4,0,262,2605,438,61,13,12,3141,293,63,8,54,0,414,45,26,0,5,0,72,8188,2393,709,81,31,11404,503,115,27,7,4,657,1815,381,92,452,47,2785,56247,4881,1019,746,123,63019
CED510,19505,1836,297,165,3,21796,24657,1464,289,8,3,26430,4172,963,657,3,8,5805,123,220,103,0,0,443,28,69,18,0,0,106,2194,516,200,9,3,2927,141,27,23,37,3,226,30,19,4,0,0,53,6690,1805,1004,47,13,9557,363,306,82,4,4,765,984,259,167,134,28,1573,52201,5671,1830,364,50,60114
