CED_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
CED147,823,61,18,4,0,905,321,33,6,0,0,361,257,27,5,0,0,294,485,50,8,4,0,543,664,63,18,0,0,746,2036,163,56,4,4,2260,2695,263,60,3,3,3020,5008,434,58,0,4,5502,3123,162,22,4,0,3315,2282,83,18,0,0,2390,1352,30,9,0,0,1389,1142,73,18,0,0,1237,20183,1453,290,22,16,21958
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,1097,111,16,0,0,1220,339,44,9,0,0,392,320,40,3,0,0,365,550,58,11,0,0,618,755,83,20,0,0,859,2221,267,99,0,0,2588,2686,463,130,0,3,3286,4639,679,88,4,0,5422,3075,303,24,0,0,3411,2543,178,4,0,0,2726,1249,84,4,0,0,1337,1264,119,14,0,0,1395,20735,2428,432,8,7,23614
CED202,854,42,6,5,0,906,527,39,4,0,0,570,444,32,4,0,0,481,942,78,8,6,6,1039,1356,95,23,0,0,1480,4105,255,33,7,4,4408,4318,117,12,9,8,4458,3637,82,8,3,3,3735,1228,23,0,4,4,1258,858,20,0,6,0,879,557,11,3,0,0,572,1059,36,3,0,3,1099,19890,828,106,32,23,20880
CED203,940,19,0,5,3,965,573,21,6,0,0,597,481,17,5,0,0,502,977,30,3,9,0,1019,1477,58,4,3,0,1548,4596,113,15,4,9,4738,4502,73,13,7,8,4602,3432,48,3,13,4,3493,1160,12,0,7,0,1178,852,16,0,0,0,869,512,3,0,0,4,517,1121,23,0,6,0,1147,20613,426,51,52,32,21173
CED204,1070,88,17,0,0,1181,396,38,10,0,0,441,374,34,12,0,0,419,640,83,21,0,0,747,773,90,64,0,0,929,2432,411,141,0,0,2987,3258,537,73,3,0,3872,5127,496,52,0,0,5673,2337,159,9,0,0,2505,1581,102,3,0,0,1683,1011,64,14,0,0,1087,1502,172,31,0,3,1704,20500,2271,448,4,6,23227
CED205,964,54,14,0,0,1037,346,26,6,0,0,381,286,17,7,0,0,313,538,53,12,0,0,598,764,85,14,0,0,862,2900,334,64,0,4,3305,4806,502,77,0,4,5384,7687,340,31,0,0,8055,2564,74,9,0,6,2652,1602,49,4,0,0,1652,1027,33,0,0,0,1066,1858,120,14,0,0,1992,25344,1684,257,0,12,27309
CED206,1230,32,0,0,0,1262,485,20,4,0,0,510,432,17,0,0,0,450,702,16,0,7,0,725,1002,31,0,0,0,1032,3062,114,11,0,5,3191,3951,155,13,0,0,4118,6398,191,11,0,7,6610,3734,63,7,0,4,3804,2499,26,0,4,4,2531,1305,13,0,4,5,1314,1650,35,6,5,0,1698,26453,698,64,16,21,27251
CED207,1129,149,119,0,0,1407,236,43,37,0,0,312,183,30,36,0,0,251,290,65,37,0,0,391,326,70,77,0,0,468,927,180,342,0,0,1454,988,246,461,0,0,1688,1896,486,523,0,0,2907,1398,439,298,0,0,2134,2574,523,298,0,0,3400,3075,333,144,0,0,3551,1093,200,139,0,0,1430,14120,2760,2504,0,5,19388
CED208,686,210,75,0,0,978,210,58,27,0,0,296,157,49,24,0,0,229,269,95,57,0,0,429,347,156,106,9,0,623,1004,501,456,12,0,1967,1123,705,549,11,0,2387,1966,1185,531,15,0,3700,1465,684,176,5,0,2332,1830,566,112,5,0,2515,1716,364,68,5,0,2157,783,264,74,3,0,1119,11551,4843,2259,61,3,18721
