CED_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
CED323,4326,6910,2882,1521,5243,1943,156,22983,2832,5064,3037,1793,6067,1745,115,20651,1533,2494,1583,1071,4626,1430,43,12787,491,569,287,223,2119,843,10,4543,33436,40735,16369,10543,44736,14902,850,161570
CED324,2857,5575,2663,1532,3572,609,91,16897,1746,3493,2358,1559,3261,485,88,12998,907,1639,1139,843,2401,391,20,7339,355,446,221,142,1730,248,4,3147,29353,38516,16173,10490,36044,6315,474,137370
CED325,3079,5822,2597,1624,4727,913,86,18839,1600,3245,2124,1449,3774,580,71,12839,811,1290,864,656,2433,369,21,6441,269,274,145,96,1234,148,4,2170,27564,37950,16172,11559,40111,10504,327,144187
CED326,3699,6578,2961,1700,4465,722,86,20212,2259,4644,3174,2116,5018,740,61,18014,1259,2241,1463,1117,4039,738,26,10882,469,544,275,204,2266,592,4,4350,29826,41704,18375,12610,37222,7088,284,147118
CED327,3056,5381,2559,1712,5142,900,94,18839,1823,3324,2205,1673,4550,697,68,14343,754,1166,815,648,2690,436,15,6529,198,192,119,67,1194,252,0,2023,26973,34808,15372,12064,44174,9581,317,143295
CED328,2816,6380,2940,1394,1822,354,71,15773,1744,4224,2787,1594,2145,340,82,12924,980,2053,1462,996,1930,350,13,7794,407,492,282,182,1480,307,8,3157,31487,42828,18467,10506,24471,4033,435,132230
CED329,3829,7656,4135,2811,4592,1509,54,24583,2793,6134,4594,3832,5906,1472,72,24802,1517,2548,1940,1821,4174,1094,35,13121,442,480,306,247,1956,519,6,3965,23099,34783,18471,14595,29453,10122,340,130868
CED330,3511,7061,3820,2711,4401,1164,29,22700,1896,4231,3160,2853,4425,962,35,17548,954,1618,1172,1136,2799,694,13,8392,292,296,154,151,1080,400,3,2372,26676,39165,19450,15181,32094,9443,254,142259
CED397,0,5,0,6,9,16,0,34,0,3,0,0,3,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,6,5,81,220,24,380
CED401,3884,7343,3052,1494,4661,1092,90,21623,2420,4909,2820,1605,4426,883,94,17158,1235,2091,1338,868,3226,602,18,9380,537,719,339,218,2817,435,10,5069,36922,47757,18437,10912,47139,9616,716,171500
CED402,4194,7868,4047,2323,4603,1574,38,24657,2539,5250,4076,3275,5431,1553,24,22155,1297,2248,1690,1687,4146,1070,14,12152,473,613,395,283,2339,553,8,4658,26544,38643,19561,14148,31260,10904,864,141922
CED403,3963,8182,3423,1623,3548,612,44,21402,2597,6026,3910,2139,4294,607,59,19630,1461,2769,2002,1385,3758,570,22,11978,739,930,516,336,3268,421,7,6227,32521,45941,19908,11106,32607,4923,280,147280
CED404,4255,8111,4141,2674,5917,2334,28,27452,2691,5373,3938,3460,6256,1861,23,23602,1187,2176,1698,1786,4503,1332,8,12688,409,550,330,293,2166,538,0,4290,25570,38640,19251,15263,35960,14661,184,149533
CED405,4064,7731,3275,1884,4983,737,55,22735,2378,4847,3178,2131,4887,595,56,18063,1361,2349,1701,1190,3858,574,15,11056,642,763,460,305,2957,342,9,5485,30418,41547,17784,11263,37773,5524,271,144580
CED406,3837,7450,3200,1702,3861,595,24,20672,2211,5072,3516,2382,4553,589,38,18366,1038,2037,1449,1132,3189,504,18,9368,387,500,251,199,1883,355,0,3590,28708,40693,17856,11812,30073,4978,143,134265
CED407,3527,6849,3044,1714,4348,529,57,20079,2150,4502,3036,2171,4631,558,57,17103,1170,2131,1577,1190,3755,594,17,10439,441,525,270,232,1972,380,8,3812,28941,39246,17279,11835,37939,5732,226,141197
CED408,4175,9141,4376,2312,3136,934,20,24100,2802,6945,5233,3647,4263,970,29,23893,1399,3021,2377,1971,3467,754,15,13009,463,649,389,326,2016,419,9,4275,28440,44530,22635,14937,23916,6299,148,140908
