CED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
CED143,833,1283,2118,9538,11123,20660,14,22,35,455,519,974,0,4,4,15636,18241,33880,20,18,38,1126,1319,2441,143,159,300,69,99,168,176,236,415,197,199,390,259,271,522,311,411,722,1085,1280,2370,13,31,45,33,66,92,1038,1410,2454,1026,1319,2343,35,42,78,31175,36765,67941,688,593,1281,422,396,818,360,423,788,0,0,3,106,111,217,194,263,463,302,375,681,33545,32903,66445,293,235,531,138,236,373,33971,33380,67351,3563,3499,7064,184,202,384,71503,76924,148423
CED144,4069,5016,9088,2302,2779,5081,10,13,21,712,751,1468,5,0,7,19319,20976,40294,48,50,99,6828,7084,13911,201,272,469,90,87,180,53,65,119,510,534,1043,318,349,674,503,588,1091,1090,1333,2414,54,71,129,97,137,238,749,886,1629,1890,2088,3977,33,34,68,34812,38105,72921,3444,2971,6416,24717,21166,45888,60,57,114,4,4,6,186,155,336,249,275,527,439,433,869,17157,15112,32274,183,108,295,80,115,193,17423,15332,32756,7330,6773,14105,201,190,384,92496,90040,182533
CED145,698,1184,1882,5814,7012,12832,7,9,11,151,207,355,0,0,0,12469,14607,27072,5,8,16,1885,2323,4208,50,64,119,22,15,39,127,160,282,45,61,105,162,157,320,147,188,334,691,713,1403,8,12,20,29,37,69,450,580,1030,622,807,1435,24,33,57,22722,26989,49715,376,385,764,388,337,723,9377,10163,19541,3,4,4,37,36,70,153,194,347,189,232,422,28933,28860,57792,332,260,590,129,292,426,29400,29408,58809,4933,5380,10312,315,302,621,68394,74397,142794
CED146,6760,7943,14706,4165,4892,9059,1351,1501,2848,1128,1263,2391,21,19,31,25059,26492,51553,30,47,80,4530,4575,9102,493,588,1082,556,591,1141,63,71,135,989,968,1961,444,488,930,1218,1363,2581,668,802,1465,45,48,92,278,312,590,612,680,1296,3806,3919,7722,81,87,171,45530,48705,94234,6342,6340,12681,16069,15806,31873,21,20,40,0,5,4,489,420,911,2209,2158,4370,2703,2582,5289,14088,12066,26153,125,96,226,73,88,159,14288,12251,26538,6637,6614,13252,120,162,280,98466,100427,198893
CED147,469,844,1309,12486,15347,27833,0,5,4,625,720,1344,98,88,189,18583,20929,39512,72,91,163,2604,2549,5151,376,453,831,96,121,219,258,320,577,94,85,174,196,236,432,646,724,1370,1373,1743,3116,122,187,309,87,129,215,1802,2460,4260,2193,2464,4654,41,63,105,41747,48712,90461,568,546,1118,1381,1364,2745,93,87,172,22,16,34,96,97,186,181,298,480,294,410,702,31829,29201,61035,237,205,445,95,159,252,32161,29567,61732,5029,4817,9844,78,82,154,81816,86425,168245
CED197,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,18,0,0,0,0,0,0,11,3,18,0,0,0,0,3,3,31,4,38
CED201,3147,3716,6867,4670,5938,10608,12,9,25,1695,1947,3642,91,92,182,13895,15892,29784,253,301,552,1910,1936,3845,128,187,316,239,292,534,253,341,597,350,331,684,381,452,832,1346,1566,2908,1224,1501,2723,126,174,299,214,216,427,1543,2066,3607,2572,3050,5624,150,179,323,31046,36469,67518,2855,2821,5679,1249,1215,2466,64,91,151,0,5,8,482,497,979,398,503,899,883,999,1882,33972,31156,65130,212,201,413,130,233,366,34316,31593,65910,3977,3962,7931,121,153,279,77662,81018,158680
CED202,505,666,1176,5402,6785,12188,0,0,0,550,634,1182,124,121,242,14565,16878,31440,379,509,894,365,342,706,157,213,370,54,81,136,287,350,638,39,37,81,149,188,331,439,498,939,1276,1562,2837,122,173,298,105,140,248,2829,3920,6751,1306,1505,2813,22,43,73,28184,33977,62163,766,622,1392,458,380,837,51,46,95,15,9,26,343,320,660,222,374,601,581,703,1284,37317,35641,72964,258,218,477,105,208,309,37683,36061,73748,5338,5143,10477,67,59,131,73644,77665,151302
CED203,774,978,1756,6252,7939,14193,0,0,5,1395,1631,3027,207,201,411,12494,14325,26818,99,127,229,303,251,549,135,162,298,83,100,184,194,246,443,63,54,119,133,170,302,624,758,1385,1068,1270,2336,90,139,227,159,171,325,2959,4035,6992,1367,1688,3052,25,27,58,27656,33293,60948,480,419,903,438,382,818,52,74,124,15,13,24,238,190,431,187,335,521,437,534,978,37438,36301,73740,266,211,486,98,185,279,37804,36699,74501,6203,5542,11742,75,55,135,73923,77991,151910
CED204,4434,4991,9426,3434,4213,7644,9,11,18,1213,1402,2619,31,32,70,17655,19031,36685,99,146,246,4337,4449,8786,225,309,536,269,290,562,149,182,324,635,649,1285,380,408,784,1343,1471,2819,968,1135,2104,78,126,203,294,361,651,1061,1433,2492,3132,3318,6447,59,57,112,35376,39005,74383,4514,3902,8411,13202,11557,24759,87,86,169,7,3,11,1727,1536,3266,452,499,956,2186,2041,4230,23612,21043,44655,184,110,293,94,132,223,23885,21285,45172,6678,5831,12509,160,181,345,90527,88884,179405
CED205,2470,2758,5226,1870,2389,4262,1363,1396,2761,387,403,788,4,0,4,24344,25752,50101,47,57,108,2856,2881,5739,240,255,490,358,405,766,51,79,128,681,711,1389,292,339,634,577,652,1231,474,536,1013,80,80,160,117,125,244,619,773,1391,2775,2886,5655,29,39,69,37171,39759,76929,5797,5245,11037,22665,22241,44908,14,23,42,4,0,7,5658,4912,10571,258,269,524,5919,5187,11104,13803,12223,26030,123,89,208,71,83,156,13999,12396,26395,6565,5955,12525,136,169,301,94741,93731,188472
CED206,608,938,1544,5249,6787,12036,0,0,0,1840,1968,3807,118,120,238,11036,12577,23612,360,428,786,601,614,1211,214,242,461,134,130,266,285,363,650,34,46,81,267,314,589,680,806,1488,1060,1253,2313,108,136,245,437,483,918,1584,2240,3824,2698,3037,5738,153,182,336,26867,31740,58607,406,389,792,218,193,407,106,120,230,8,6,16,135,135,270,268,431,702,410,571,988,43065,40054,83114,332,231,561,136,269,400,43532,40551,84084,4547,4022,8563,68,65,141,76765,78588,155355
CED207,6520,7253,13767,3930,5034,8959,10,18,27,1753,2207,3965,5,8,14,13307,15191,28493,184,243,421,4344,4794,9140,89,121,211,84,109,198,231,269,507,364,412,773,447,496,943,697,846,1548,1070,1363,2436,106,184,290,108,129,233,1951,2806,4763,2266,2845,5106,61,78,140,31023,37149,68172,6242,5572,11813,2264,1871,4140,231,239,473,0,0,0,667,621,1286,453,522,974,1121,1142,2268,36859,34777,71633,281,200,480,99,145,244,37239,35121,72358,5203,4834,10031,392,373,764,90231,93561,183796
CED208,1691,2330,4023,1928,2405,4337,20,34,55,315,385,698,3,6,5,15329,17570,32896,47,63,113,6660,7178,13842,135,225,362,30,34,64,94,129,225,113,127,237,124,169,298,231,276,509,416,511,927,48,78,128,40,46,90,555,828,1374,1321,1577,2892,28,34,57,27438,31658,59099,2219,1629,3845,3378,3055,6432,163,212,373,11,10,16,356,277,636,266,318,586,631,608,1235,34514,34941,69455,449,409,861,147,249,395,35110,35600,70714,4739,4309,9051,111,125,235,75480,79529,155005
CED209,491,682,1172,5833,7498,13333,0,0,0,1144,1358,2509,5,7,6,14575,16954,31530,77,100,182,649,645,1298,202,245,449,30,46,78,378,486,865,27,33,62,143,164,299,447,510,953,1292,1579,2872,133,143,276,58,62,115,2571,3667,6242,1490,1819,3310,34,52,91,29090,35367,64465,805,567,1375,463,383,846,50,46,102,6,0,3,365,311,672,145,205,350,509,510,1027,36601,35278,71877,242,193,436,83,222,301,36926,35689,72611,4326,4488,8810,53,71,127,72718,77811,150533
CED210,763,1073,1835,5045,6421,11465,3,0,3,1254,1489,2739,83,82,168,17113,19583,36698,77,116,199,1506,1585,3092,163,245,404,101,104,197,425,553,977,55,41,96,174,198,368,365,489,856,1317,1663,2984,84,148,236,80,96,176,2003,2969,4973,1834,2247,4078,59,65,123,31734,38091,69820,1383,929,2311,1860,1414,3273,65,55,117,7,5,13,659,544,1200,213,310,530,880,858,1740,34093,33022,67116,281,192,476,94,190,286,34469,33407,67878,6342,4919,11258,84,90,179,77582,80833,158416
CED211,2173,2920,5089,5021,6635,11658,0,0,0,2968,3391,6361,16,12,27,13237,15377,28617,385,482,869,1555,1739,3290,125,170,296,156,162,317,495,603,1100,138,144,274,319,394,717,967,1121,2095,1221,1388,2612,182,255,436,272,335,605,1913,2830,4741,2754,3238,5997,147,235,382,31875,38513,70390,2055,1995,4048,1010,925,1935,79,102,186,0,9,5,458,453,912,377,471,854,836,935,1774,37568,35593,73160,287,247,533,103,187,288,37959,36030,73986,4103,4081,8182,125,166,294,80220,85671,165891
CED212,686,1127,1818,6574,8205,14779,0,0,0,688,816,1501,0,6,10,12840,14897,27733,80,129,210,1571,1597,3172,215,262,477,251,260,511,192,212,404,99,97,196,197,266,465,536,681,1211,1169,1397,2566,65,84,150,114,129,236,1353,1965,3320,1765,2178,3937,60,55,122,27763,33230,60995,773,749,1519,630,576,1208,193,200,394,4,5,6,157,136,291,274,366,640,429,512,940,40269,38336,78606,288,263,555,147,282,429,40702,38878,79585,5342,5085,10431,66,74,143,76588,80438,157026
CED213,353,636,986,7928,10468,18400,6,6,11,806,1013,1822,4,0,4,12827,14791,27614,106,139,246,1203,1130,2337,248,308,551,130,132,261,165,227,393,46,24,68,165,200,357,284,374,660,1243,1571,2816,81,112,190,32,41,73,1733,2565,4297,1077,1384,2454,38,61,98,28103,34553,62659,152,131,290,150,144,293,175,170,346,5,0,6,44,40,83,120,232,353,168,274,445,37346,35456,72802,223,231,455,114,270,384,37689,35955,73638,5271,5529,10800,63,68,133,72122,77467,149592
CED214,9228,11654,20883,1770,1987,3758,0,4,9,1136,1047,2190,0,0,0,19073,20748,39821,57,70,132,3660,3896,7559,194,248,439,151,175,328,119,173,290,430,431,861,428,461,884,528,638,1173,470,559,1024,33,36,73,113,118,229,563,700,1261,2431,2599,5031,37,40,81,31215,33930,65145,3878,2386,6266,5781,4309,10091,81,73,158,4,3,4,1112,894,2003,221,272,498,1334,1169,2502,29168,26791,55954,313,226,538,108,163,271,29597,27177,56767,7417,6444,13863,200,200,398,88733,87340,176077
CED215,2255,2998,5255,3419,4401,7824,3,3,5,864,982,1842,7,5,6,18726,21129,39853,100,114,213,3874,4048,7920,181,220,398,177,200,374,231,293,517,315,338,653,444,488,935,813,925,1737,830,1006,1838,41,65,115,94,98,193,958,1324,2280,2737,3047,5783,44,47,90,33874,38720,72601,9711,8776,18491,6831,6405,13243,86,90,172,3,4,6,3160,2493,5655,319,384,702,3478,2886,6361,30947,28797,59740,287,180,468,114,142,262,31350,29123,60474,6895,5387,12286,226,281,511,94714,94670,189386
CED216,458,655,1111,8288,10072,18359,0,0,0,758,865,1627,110,114,219,12155,14057,26210,37,60,94,432,430,862,261,345,611,110,107,218,164,233,392,31,24,53,168,182,347,509,616,1120,1535,1663,3197,104,145,251,127,143,273,2214,2991,5208,1393,1623,3013,44,50,96,28439,33717,62157,331,314,646,418,353,774,42,36,79,11,3,12,156,156,308,189,309,501,353,469,824,37638,34886,72524,231,189,419,106,143,251,37974,35226,73201,7925,7021,14950,124,55,176,76066,77853,153917
CED217,921,1398,2320,6317,8039,14355,3,0,3,356,476,829,4,0,5,13664,16336,30002,43,59,100,3223,3632,6852,77,108,185,28,39,66,197,291,482,136,132,265,151,191,346,194,248,445,795,991,1780,17,37,52,32,29,63,1465,2012,3474,869,1147,2012,46,46,89,27600,33795,61401,1566,1338,2900,501,521,1022,5220,5676,10899,0,0,0,150,111,266,171,208,377,324,320,649,32923,31975,64898,280,215,494,99,189,288,33300,32378,65679,3691,3887,7576,161,167,323,73289,79479,152776
CED218,4891,5938,10826,2161,2583,4743,36,42,83,1164,1124,2287,0,0,0,27326,29067,56396,80,84,168,5702,5825,11528,289,358,646,252,235,489,104,140,243,1252,1320,2575,464,520,987,1142,1256,2397,469,526,1000,52,64,116,208,234,439,622,857,1480,3818,4215,8033,37,34,70,45177,48488,93662,4337,3929,8266,6482,6240,12715,16,16,39,0,0,0,3484,3060,6542,184,207,391,3669,3267,6936,17182,15475,32659,112,84,195,69,95,168,17360,15656,33014,7079,5170,12243,131,179,306,89145,88862,178005
CED219,858,1204,2066,4892,6315,11203,24,24,47,983,1095,2078,187,170,361,20236,22074,42306,64,73,132,1809,1775,3580,308,375,683,363,357,717,219,306,528,333,331,667,346,366,710,726,878,1605,832,1058,1892,68,128,200,141,212,352,1427,2031,3456,2435,2779,5211,44,51,95,35439,40396,75829,2156,1995,4149,2698,2752,5450,50,40,89,0,0,3,2843,2616,5457,193,286,480,3035,2906,5939,30605,28516,59120,212,172,387,108,148,251,30918,28836,59758,5717,5422,11132,92,130,226,80967,83672,164640
CED220,1496,2174,3669,5575,7062,12639,3,4,10,461,552,1010,3,0,4,12678,14891,27571,38,48,89,3715,4226,7933,103,122,220,28,28,55,161,202,365,118,135,257,209,221,431,247,346,593,805,862,1669,22,36,53,33,51,88,1203,1677,2880,894,1276,2172,34,39,78,26324,31793,58119,2840,2437,5283,894,871,1767,3018,3311,6330,0,0,3,168,143,307,232,237,468,401,379,782,33521,33326,66846,381,338,714,117,174,293,34016,33843,67858,4399,4591,8991,199,228,428,73596,79625,153227
CED221,4298,4628,8925,3897,4814,8715,7,8,20,839,1019,1855,26,26,51,16730,18041,34773,81,109,189,1617,1671,3283,204,305,511,560,585,1140,118,132,251,376,437,816,475,518,992,1586,1752,3341,991,1151,2143,68,83,152,311,361,668,982,1324,2304,3018,3419,6438,64,76,139,31956,35827,67783,6744,6440,13182,10314,9737,20052,61,75,134,9,13,22,5347,4745,10090,318,385,700,5666,5137,10808,27801,25849,53650,166,134,296,91,126,220,28058,26115,54175,5866,5451,11313,133,206,342,93100,93618,186722
CED222,11095,12944,24042,2583,3231,5815,8,10,19,766,887,1652,6,10,22,18051,19801,37857,123,122,248,7627,8268,15896,222,301,524,106,123,228,121,153,281,281,306,583,362,393,759,623,710,1337,775,890,1673,25,47,75,181,221,406,1054,1341,2403,1947,2326,4279,53,69,118,34932,39218,74149,6613,4852,11456,5660,4747,10409,1768,1850,3621,0,0,0,2174,1761,3941,392,418,813,2574,2181,4751,29096,25349,54445,240,181,422,111,137,250,29437,25673,55111,6099,5484,11590,265,287,549,98446,97233,195680
CED223,475,626,1101,8469,10236,18708,0,0,0,868,972,1843,60,46,104,14456,16291,30748,77,93,166,321,296,615,291,366,651,67,88,152,483,585,1063,19,18,43,232,278,518,491,600,1095,1630,1797,3427,111,176,281,165,185,356,2712,3684,6398,1563,1832,3393,42,44,85,32053,37588,69639,494,444,942,254,183,436,70,64,133,16,8,25,173,163,332,177,271,452,360,443,806,36853,34597,71449,235,189,428,119,170,292,37210,34957,72170,7134,6665,13795,111,110,217,78150,81082,159237
CED224,2598,3338,5932,4809,6385,11193,3,3,5,587,659,1243,5,3,6,16945,19301,36247,82,135,213,3561,3872,7432,175,216,397,99,98,203,166,207,373,133,166,296,197,258,461,566,660,1222,887,1143,2032,34,65,97,55,89,150,1202,1822,3031,1371,1700,3071,42,47,91,30928,36832,67764,1941,1807,3750,3922,3533,7448,690,751,1444,3,0,4,462,411,868,250,294,544,712,705,1416,32059,30820,62884,224,162,380,104,186,292,32387,31163,63555,4071,3927,8006,117,142,257,77355,82207,159566
CED225,1124,1630,2755,4643,6087,10728,11,5,17,816,983,1798,132,148,283,17866,20557,38427,70,82,149,3247,3410,6659,74,105,172,60,70,130,238,301,539,185,178,365,184,235,422,406,478,887,969,1144,2119,84,111,195,30,54,76,1409,2083,3493,1535,1869,3406,27,46,73,31975,37959,69933,1357,1167,2524,1714,1644,3358,108,127,237,6,5,6,178,158,337,230,352,580,410,513,923,35950,33968,69925,322,256,579,131,196,331,36404,34420,70829,3906,3630,7535,102,116,219,77103,81210,158316
CED226,2311,3281,5593,5614,6921,12539,9,0,7,1138,1396,2529,0,3,5,14724,16923,31647,65,113,179,3353,3784,7138,51,61,106,39,44,85,216,288,499,146,167,309,231,317,550,427,542,970,1013,1164,2178,66,84,144,39,59,95,1760,2550,4311,1358,1774,3129,40,43,83,30298,36223,66519,2157,2021,4181,987,900,1889,578,628,1209,0,0,0,211,207,421,262,303,570,477,508,984,36029,36290,72324,336,274,611,86,189,279,36454,36753,73206,3715,3708,7422,306,248,555,77278,84281,161560
CED227,3018,3310,6330,5161,6540,11706,0,0,0,1358,1536,2896,86,82,162,14881,16606,31492,129,146,276,951,947,1904,156,187,345,230,256,487,137,191,330,408,394,806,263,316,580,1175,1349,2526,1011,1255,2274,64,96,165,292,315,607,1338,1856,3194,2516,2929,5444,63,64,122,30228,35091,65322,4091,3904,7996,2995,2935,5927,59,64,126,4,0,12,3251,2898,6143,236,319,550,3496,3218,6706,33508,31877,65383,228,170,402,92,156,245,33828,32202,66032,5057,5017,10070,116,178,291,82894,85913,168811
CED228,2316,2734,5052,4057,4718,8774,0,3,3,2116,2163,4281,93,91,183,18084,19921,37996,119,120,234,1815,1833,3651,257,335,590,391,445,841,273,306,584,482,497,982,707,786,1495,1200,1397,2598,782,1023,1803,80,114,193,189,222,412,1187,1435,2627,3245,3659,6907,74,73,145,35154,39145,74296,13632,12533,26163,10402,10056,20456,35,32,59,5,0,4,7011,5777,12789,412,511,919,7422,6293,13714,24116,22204,46322,200,133,335,82,128,210,24405,22466,46868,7394,6941,14340,213,329,537,100967,100518,201482
CED229,1530,2128,3660,3823,4355,8172,0,5,3,399,447,846,0,0,3,11654,13627,25284,36,39,72,2696,2942,5634,88,110,205,38,34,72,160,217,376,121,111,229,179,215,392,325,402,724,606,671,1277,9,19,34,29,49,81,805,1051,1855,1139,1489,2634,36,34,77,22147,25814,47963,2751,2237,4991,1320,1191,2513,7905,8596,16495,0,8,9,181,129,313,299,326,619,480,464,938,37988,37091,75071,465,361,831,168,313,473,38616,37764,76380,7070,6619,13690,304,311,619,82120,85130,167249
CED230,1122,1166,2295,7549,9012,16559,0,0,0,777,812,1590,184,172,356,14010,15483,29496,378,506,887,452,438,893,149,226,373,106,121,227,1614,1829,3452,29,20,48,251,250,502,706,807,1516,1550,1674,3222,177,246,424,267,291,564,5742,7025,12770,1609,1767,3378,63,74,133,35622,40772,76387,518,403,916,1150,888,2038,24,22,46,12,16,29,379,316,698,184,248,428,571,586,1156,35820,32503,68324,171,133,301,87,139,223,36079,32776,68852,8072,7549,15619,140,113,258,83300,84274,167571
CED231,1673,2346,4023,2902,3858,6758,117,101,224,491,561,1053,3,0,5,25391,28326,53719,45,57,107,4246,4501,8750,133,175,306,60,72,133,124,199,324,352,414,773,150,193,341,383,457,838,594,707,1306,30,48,75,32,36,68,1044,1483,2524,1361,1656,3011,38,25,59,37491,42876,80366,1821,1493,3315,2877,2764,5643,80,80,163,3,7,4,215,195,416,169,211,381,389,408,802,25510,23828,49330,250,205,453,88,135,224,25844,24167,50012,4073,3767,7838,177,167,344,74433,78071,152507
CED232,797,1073,1870,5455,6857,12307,16,17,38,580,689,1269,151,150,299,17750,19156,36901,75,105,179,1982,2100,4077,155,185,342,128,131,260,183,236,419,176,207,384,188,219,407,720,750,1469,994,1208,2200,93,110,205,125,115,244,1488,1998,3486,1863,2056,3915,26,26,54,32144,36312,68457,2360,2097,4457,1795,1696,3483,57,45,105,3,4,7,1890,1649,3534,216,319,536,2112,1966,4079,34029,32098,66129,240,199,442,85,180,263,34354,32478,66830,4561,4319,8872,74,87,158,78251,80070,158319
CED233,4442,6322,10764,2994,3304,6293,5,9,11,564,695,1253,3,5,15,12357,13762,26119,41,62,100,2006,2280,4283,45,68,111,49,53,106,154,185,342,158,170,323,321,345,664,402,529,929,673,688,1358,31,30,64,38,56,92,774,996,1766,1498,2048,3543,47,57,104,22153,25329,47479,4281,3424,7709,3468,3380,6846,465,488,955,5,3,8,219,184,406,381,433,817,611,618,1228,53560,52830,106391,754,619,1375,199,285,484,54512,53738,108254,10204,9122,19322,744,630,1375,100877,103053,203933
CED234,3419,4519,7936,4266,5443,9707,3,10,7,1907,2324,4227,17,15,34,15068,17230,32302,166,215,381,5732,6281,12008,109,137,254,79,78,152,326,384,710,430,440,864,449,525,981,844,925,1769,1209,1385,2592,83,97,185,95,120,215,1520,2163,3681,2302,2864,5165,37,42,82,34643,40668,75319,2140,1912,4055,2560,2419,4984,199,199,400,0,0,0,545,509,1050,443,517,959,987,1022,2012,34943,33178,68129,206,161,371,118,154,278,35271,33499,68765,4205,4309,8512,262,262,527,83693,88803,172505
CED235,418,689,1103,7034,8679,15710,0,0,0,889,998,1885,117,142,260,11195,12577,23766,71,105,177,442,439,881,294,373,667,130,120,252,163,206,368,22,17,38,332,374,704,441,529,975,1535,1800,3336,123,200,322,120,164,281,2166,2979,5149,1493,1759,3249,53,58,110,26615,31509,58125,257,215,469,182,160,341,53,58,107,9,3,15,125,113,241,176,305,477,310,424,728,36461,34887,71344,244,213,459,106,200,307,36806,35305,72114,5813,5672,11485,88,77,166,70542,74106,144638
CED236,610,780,1389,7714,9019,16734,0,0,3,598,663,1264,114,109,220,17051,18480,35531,87,130,218,630,573,1208,169,243,412,89,104,199,176,224,403,52,49,96,212,205,421,641,712,1350,1951,2134,4089,114,191,309,69,91,162,3498,4570,8073,1468,1589,3057,25,45,74,34680,39149,73825,658,592,1257,2544,2263,4805,29,25,58,15,6,19,890,749,1642,163,244,411,1059,1007,2068,31890,28960,60848,176,127,301,94,150,241,32156,29241,61390,7448,6432,13884,78,84,162,79263,79580,158844
CED237,2978,3469,6450,2041,2644,4689,47,55,106,552,591,1140,3,7,8,20717,22623,43337,22,42,66,9214,9524,18744,167,214,382,116,134,249,64,97,158,546,516,1060,244,271,516,777,897,1674,617,714,1330,48,81,129,77,117,197,541,723,1270,3691,3903,7593,14,27,46,39505,43204,82710,5697,4979,10678,9345,8935,18279,26,24,52,7,10,23,3283,2824,6112,282,286,567,3576,3119,6697,18308,16549,34852,143,118,260,70,118,190,18521,16784,35303,5224,4994,10219,160,179,339,85034,85693,170731
CED238,388,527,914,5951,7413,13368,0,0,0,799,876,1677,81,85,166,14973,16730,31701,144,153,297,260,228,493,163,251,414,44,51,94,952,1119,2073,27,25,49,110,122,226,410,494,900,2585,2833,5412,106,172,277,73,103,171,4010,4933,8945,1314,1497,2810,47,48,92,32047,37138,69183,311,233,545,214,189,406,59,58,118,5,7,13,96,77,178,139,207,346,240,297,537,35418,32730,68145,186,141,332,70,143,213,35678,33016,68693,7559,6051,13609,87,75,161,76581,77588,154166
CED239,1372,1807,3186,1768,2370,4136,85,100,188,300,383,676,3,0,3,17098,19778,36878,26,34,61,4602,5049,9656,123,170,291,54,44,94,99,123,221,160,153,315,153,176,328,224,279,502,350,399,749,40,48,91,16,31,46,558,813,1373,977,1182,2161,20,32,50,26646,31177,57817,3360,2588,5947,8473,7730,16206,103,171,275,13,9,18,246,188,434,254,305,559,508,503,1013,30783,31302,62086,473,382,854,106,230,345,31364,31918,63285,4818,4283,9103,139,145,283,76790,80323,157115
CED297,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0,34,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,8,0,11,0,3,3,0,0,0,64,13,78,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,80,8,90,4,0,4,0,0,0,87,8,94,337,49,387,0,0,0,493,72,565
CED301,589,925,1506,9356,11155,20511,0,0,0,1772,1857,3633,108,86,194,14160,16208,30371,255,313,562,240,258,500,418,548,969,892,1030,1923,1374,1604,2977,88,85,178,470,507,984,1436,1660,3097,1728,1925,3650,255,379,635,344,403,753,3267,4051,7320,3002,3458,6458,401,467,871,39566,45988,85557,1205,1160,2362,619,611,1235,38,45,80,10,22,28,532,465,996,355,535,891,896,1022,1924,41726,38669,80392,299,224,530,117,224,335,42144,39119,81262,8228,6984,15216,132,133,262,93418,95982,189401
CED302,1498,2014,3516,7159,8470,15634,4,4,9,1679,1900,3580,155,160,314,15927,18173,34099,43,87,127,1763,1907,3669,247,346,596,251,278,528,462,565,1027,90,99,193,360,429,790,1169,1450,2617,1658,1917,3579,133,143,283,301,396,697,2284,3229,5507,2460,2952,5411,99,110,214,36251,42612,78862,2117,2025,4142,1376,1302,2682,111,110,218,6,6,8,425,406,830,274,318,594,705,729,1432,32289,30085,62375,247,206,457,104,169,272,32646,30459,63103,4005,3832,7843,158,189,342,78868,83274,162139
