CED_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED122,79,237,821,628,534,397,112,18,5,2829,87,387,1456,978,695,420,167,37,4,4234,2780,8535,27681,21711,17304,11371,3261,411,38,93090
CED123,194,350,826,703,572,391,105,8,0,3151,197,452,1045,968,872,547,153,26,6,4273,4913,8923,21153,20893,16975,11645,2781,247,19,87551
CED124,144,210,450,477,558,480,148,6,0,2483,188,194,344,406,556,481,191,73,25,2463,4347,4245,9139,10994,13730,13290,4056,651,70,60520
CED125,146,334,795,694,522,418,124,13,4,3052,217,485,1281,1209,860,582,152,17,5,4811,4326,8187,22848,22965,16543,11802,2750,200,14,89635
CED126,165,265,562,567,670,497,174,37,0,2930,142,266,610,851,879,659,189,61,14,3667,4355,6475,12091,16383,19329,13904,4461,748,50,77801
CED127,176,262,592,606,618,483,149,19,0,2913,148,259,496,576,577,444,173,44,7,2717,4095,5706,12426,14080,16057,12803,3888,490,38,69590
CED128,80,203,492,477,514,398,108,10,0,2285,141,407,997,862,739,549,145,25,4,3864,2930,6251,14155,13609,12175,9630,2218,151,16,61120
CED129,143,294,493,620,682,406,162,25,0,2824,111,301,730,1233,921,502,169,34,4,4003,4613,7913,15921,26200,21642,13036,3874,438,31,93666
CED130,205,243,574,492,464,416,147,28,3,2573,218,241,482,443,482,434,186,111,35,2629,4671,5595,13397,13095,13910,12679,4773,992,125,69235
CED131,140,354,695,567,509,365,116,12,0,2768,126,353,725,548,514,344,92,26,6,2745,4965,10284,21158,17625,15946,11388,2696,325,27,84404
