CED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
CED135,104420,100020,204438,7244,6813,14061,12708,12004,24712,4773,4357,9131,7984,6808,14787,21189,20153,41346,19163,16783,35947,10897,10977,21873,9425,9676,19106,6462,6945,13407,3314,3846,7165,1251,1651,2903,273,335,607,102596,98306,200903,1823,1718,3543,769,745,1508,29,26,55,11,20,34,809,788,1595,39550,37955,77506,57520,55533,113052,33413,31013,64430,62722,61496,124217,67428,66481,133919,1890,1849,3739,11561,10953,22514,3962,3680,7650,4281,3747,8030,5538,6809,12340,58685,56507,115191,3273,2788,6063,8920,8465,17387,2520,2579,5095,2521,2759,5280,1430,1663,3088
CED136,85055,89187,174240,5468,5321,10787,12032,11411,23437,5319,4912,10228,5001,4877,9877,10888,11636,22524,10087,10776,20870,10131,10808,20943,10086,11070,21158,9360,10200,19564,5337,5948,11283,1343,2227,3575,66,69,130,84120,88075,172199,936,1110,2044,6290,6667,12956,115,136,250,158,157,317,6563,6963,13522,72875,76162,149034,8406,9278,17688,77392,80915,158310,3909,4526,8434,78623,82358,160978,1695,1648,3346,11328,10784,22109,3570,3511,7075,1258,1559,2814,2027,3844,5872,25267,29761,55030,5902,5427,11321,23013,23148,46160,6363,7019,13380,3066,3020,6084,256,222,478
CED137,100208,101938,202145,5537,5128,10664,9251,9283,18533,4110,4213,8321,8905,7987,16901,22918,22060,44983,16133,15331,31463,10976,12065,23042,9717,10878,20596,7112,7939,15047,3911,4591,8497,1632,2462,4091,309,360,666,97528,100277,197805,2682,1659,4337,682,496,1179,36,20,59,20,10,30,740,529,1270,44508,43582,88091,50750,53584,104340,41378,39749,81127,52244,56660,108903,68231,70971,139203,1579,1481,3057,8703,8804,17502,3607,3794,7397,5208,4726,9937,6197,7544,13738,63471,65074,128545,3097,2745,5835,7158,8006,15161,2112,2218,4330,2193,2794,4988,1035,1385,2423
CED138,81176,87823,169000,4109,3934,8048,10072,9402,19479,4333,4192,8526,3504,3558,7059,8113,9180,17295,9642,10731,20370,10239,11453,21694,11310,12801,24108,11357,12039,23398,6263,7006,13269,2233,3515,5752,172,167,334,79218,85612,164828,1962,2208,4166,2701,2852,5561,168,148,320,242,223,464,3115,3224,6334,62046,66500,128546,12876,14843,27728,70433,75818,146248,4523,5620,10140,70583,76304,146890,1215,1189,2411,9177,8550,17733,3012,3094,6098,877,1219,2091,2000,4123,6122,31581,37284,68871,5223,5200,10419,17105,18317,35428,4479,4594,9077,2516,2566,5085,187,184,372
CED139,80892,81996,162889,5072,4862,9937,10915,10497,21410,5457,5043,10495,5116,5076,10194,9922,9819,19739,9040,9177,18213,9315,9567,18878,10211,10397,20614,9025,9128,18157,5140,5685,10823,1677,2744,4424,167,68,238,76433,79167,155597,4457,2835,7290,6023,5918,11942,82,79,158,107,93,201,6211,6092,12303,67829,69507,137335,6973,6901,13874,69460,72150,141612,4916,4735,9651,71167,73689,144851,1468,1430,2899,10068,9621,19685,3435,3533,6974,1128,1873,2996,1701,3250,4943,23469,29132,52605,5000,4936,9934,20263,18926,39191,5719,5291,11011,3729,2863,6590,329,379,706
CED140,73597,78659,152260,4133,3854,7986,9459,8771,18226,4402,4149,8555,3935,3812,7747,7699,7912,15611,8806,9656,18461,9709,10266,19971,9691,10887,20583,8520,9969,18494,5455,6274,11724,1798,3102,4900,100,93,194,72555,77185,149743,1040,1474,2516,2530,2640,5166,43,41,87,39,38,77,2608,2717,5323,56243,59571,115820,13956,15330,29290,64000,67696,131696,6057,7035,13087,65710,70106,135822,1446,1305,2746,8929,8296,17229,3349,3286,6634,1363,1515,2880,1871,3477,5341,30587,34052,64639,4296,4017,8308,15575,17152,32728,3981,4533,8519,1874,1994,3871,229,203,433
CED141,73224,77279,150500,4226,3947,8171,9788,9144,18935,4564,4173,8739,4174,3852,8027,8032,8446,16481,8607,9341,17945,9370,9852,19217,9305,10233,19533,8250,9491,17740,5275,6204,11474,1630,2606,4240,53,47,101,72585,76385,148966,639,897,1532,3827,3934,7762,65,68,129,66,67,130,3963,4069,8026,63052,65791,128844,7441,8516,15959,67140,70384,137529,3315,3941,7252,68248,71764,140013,1503,1367,2870,9345,8688,18035,3296,3172,6469,1339,1430,2767,1752,3015,4770,24601,28573,53180,4652,4153,8808,19348,19917,39264,5208,5899,11108,2344,2425,4764,186,175,362
CED142,111520,98661,210178,3872,3589,7463,4464,4250,8720,2548,2720,5272,10957,11050,22008,35182,32574,67753,21847,17388,39241,13108,9694,22800,9763,7946,17708,6148,5621,11767,2833,2773,5602,804,1051,1856,1060,863,1921,100398,92046,192443,11123,6613,17736,1560,1375,2932,49,36,91,45,37,83,1649,1453,3105,49228,41165,90393,51069,49517,100584,64741,52209,116948,34941,37946,72889,70537,60671,131213,967,911,1877,3978,3822,7795,1977,2223,4203,5759,6377,12138,10147,11762,21906,78862,71677,150543,3485,2670,6158,5902,4739,10645,1477,1340,2815,1197,1287,2486,664,784,1453
CED143,71503,76924,148423,4007,3930,7935,9551,9067,18619,4349,4070,8416,3691,3732,7423,9309,10418,19731,10367,11446,21812,10793,11750,22543,8570,9002,17573,5776,6758,12538,3685,4591,8279,1404,2154,3562,184,202,384,70671,75930,146602,822,997,1822,357,321,682,21,19,32,12,6,21,386,345,737,45213,47397,92605,24083,27173,51254,57741,60519,118258,11397,13926,25323,60460,64696,125151,1426,1378,2804,9263,8777,18041,3860,3735,7598,1987,2024,4015,2373,3768,6138,44792,48789,93578,2616,2830,5452,5756,6988,12739,1596,1725,3321,845,888,1728,159,212,373
CED144,92496,90040,182533,5999,5552,11549,12017,11073,23091,5413,5120,10535,6826,6054,12875,15632,13914,29550,13201,12498,25694,11029,11463,22493,10017,10214,20227,6790,7320,14111,3985,4433,8420,1587,2404,3997,201,190,384,91429,88810,180233,1070,1233,2303,449,502,947,15,27,47,13,20,34,479,554,1028,41422,40686,82108,45144,43849,88996,28130,26641,54770,57708,57049,114763,68470,69686,138161,1546,1438,2986,10932,10152,21077,4391,4366,8750,3379,2999,6383,4945,5098,10041,46410,45642,92054,3346,3004,6350,9540,9109,18648,2958,2832,5796,4070,4613,8676,2180,2627,4804
CED145,68394,74397,142794,3600,3528,7131,7177,6998,14181,3141,2985,6127,3225,3866,7087,13369,15491,28869,11063,11437,22506,9187,9614,18804,7158,7418,14572,5584,6324,11905,3472,4353,7822,1421,2368,3791,315,302,621,66449,72478,138929,1942,1917,3857,295,241,535,17,20,36,10,9,21,320,273,594,39539,42159,81695,25415,28616,54033,52853,55753,108607,11725,14366,26092,54934,59304,114244,1188,1184,2372,6826,6662,13484,2739,2713,5451,1645,1943,3589,2988,4563,7553,46174,51034,97203,2103,2143,4250,3682,4220,7899,1174,1153,2326,607,750,1358,156,172,324
CED146,98466,100427,198893,7306,6797,14103,15878,15013,30883,7544,7026,14570,7171,6711,13882,12872,14129,26996,13858,14855,28707,12263,12970,25233,10989,11122,22106,6658,7056,13712,3023,3380,6399,918,1371,2296,120,162,280,97725,99637,197365,742,787,1527,1702,1833,3534,28,33,64,36,37,76,1769,1907,3673,50712,49803,100510,42658,45417,88075,38139,36759,74895,54274,57237,111508,83026,84238,167268,1863,1747,3607,14573,13801,28371,5875,5784,11667,2725,3035,5759,2647,4285,6935,42898,45540,88438,4694,4230,8925,13235,12295,25540,3892,3953,7846,3766,4573,8335,2125,3029,5154
CED147,81816,86425,168245,4994,4764,9762,11165,10440,21608,5248,5021,10272,4757,4609,9366,9503,10111,19612,9674,10311,19985,10147,10920,21068,10102,11051,21148,8832,10071,18901,5539,6523,12065,1852,2613,4464,78,82,154,80756,85116,165875,1061,1312,2370,3411,3511,6920,56,60,120,45,62,108,3514,3635,7146,64054,66999,131054,14037,15473,29513,69745,73257,143006,8252,9283,17538,74265,78162,152428,1621,1582,3203,10529,9822,20353,3751,3866,7622,1289,1597,2886,1752,3347,5092,27640,32168,59812,5303,4991,10294,20528,20794,41324,5161,5769,10933,3000,3162,6158,409,461,869
CED197,31,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,16,0,18,10,0,8,4,0,3,0,0,0,0,0,0,0,3,3,0,0,5,30,4,32,0,0,0,0,0,0,0,0,0,0,0,4,27,4,32,3,0,3,31,4,34,3,0,3,34,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,6,0,8,14,0,14,8,0,3,0,0,0,0,0,0
CED201,77662,81018,158680,4307,4160,8467,9769,8917,18688,4843,4465,9318,5019,4624,9641,10008,10192,20194,10866,11431,22296,10326,11184,21510,9774,10640,20415,7366,8373,15733,4020,4814,8836,1364,2225,3585,121,153,279,76703,79643,156345,956,1375,2336,454,508,971,17,19,33,15,7,24,485,537,1020,50570,50791,101361,24723,27744,52474,53368,54250,107617,21749,23925,45672,66905,68658,135563,1365,1309,2670,9361,8538,17896,4087,3890,7977,2185,2247,4430,2310,3502,5807,37681,42154,79834,8220,7815,16037,8993,8313,17306,3565,3453,7023,2158,2730,4889,442,616,1060
CED202,73644,77665,151302,4281,4201,8480,10156,9418,19568,4714,4489,9202,4343,4366,8711,9348,9528,18878,8814,9758,18578,9410,10156,19565,9154,10015,19166,8029,8781,16805,4105,4717,8825,1294,2226,3521,67,59,131,71912,75648,147563,1731,2011,3742,1197,1289,2486,52,44,89,33,32,61,1278,1366,2642,61055,64576,125632,8419,8855,17274,64975,68756,133729,4618,4828,9442,66310,70212,136524,1265,1267,2534,9439,8874,18307,3444,3477,6921,1271,1728,3002,1952,3554,5508,27467,33656,61124,8801,9061,17865,11060,9699,20756,4870,4332,9201,2842,2896,5739,227,195,424
CED203,73923,77991,151910,4321,4146,8468,9840,9156,18995,4363,4232,8602,4257,4206,8462,8983,9477,18461,8747,9534,18280,9208,9854,19061,9362,10500,19857,8584,9186,17774,4674,5231,9905,1577,2465,4043,75,55,135,71679,75928,147608,2239,2058,4297,1469,1483,2956,55,48,102,36,29,67,1553,1561,3120,61663,65387,127057,7794,8089,15878,64557,68658,133217,4411,4779,9191,65994,70317,136316,1207,1147,2363,9116,8533,17655,3160,3222,6382,1211,1635,2849,1720,3291,5010,26363,32916,59278,8719,8914,17631,11833,10257,22083,4928,4372,9302,3130,3186,6316,397,381,780
CED204,90527,88884,179405,5693,5263,10957,11682,10974,22655,5764,5343,11101,6470,5759,12227,13860,12689,26546,12708,12386,25093,11438,11543,22987,10494,10834,21329,7355,7830,15188,3838,4224,8065,1223,2031,3258,160,181,345,88699,87305,176003,1830,1578,3404,442,516,960,24,19,41,11,14,19,474,547,1017,44333,43328,87658,40951,40911,81855,42718,41670,84394,41896,41702,83599,70400,70385,140789,1516,1368,2885,10818,10155,20975,4599,4506,9107,2670,2723,5388,3083,4604,7690,40658,42360,83019,7622,6771,14390,9477,8218,17695,3923,3689,7607,4006,4514,8524,2306,2370,4680
CED205,94741,93731,188472,8092,7489,15584,15022,14095,29117,6163,5888,12047,6916,6403,13321,15970,16301,32271,15056,14621,29681,10489,10943,21435,8998,8933,17927,5119,5559,10675,2341,2603,4934,575,898,1474,136,169,301,94133,93311,187441,607,416,1030,588,585,1177,28,30,55,11,10,23,627,625,1258,46613,46580,93190,42931,42233,85167,33429,32771,66209,54974,54805,109780,72506,72669,145176,2005,1841,3843,13766,12906,26666,4759,4961,9725,2804,2965,5772,3635,5428,9067,40204,41946,82152,6512,6065,12572,8721,7096,15817,4367,3895,8264,4883,5593,10474,2078,3042,5124
CED206,76765,78588,155355,4877,4441,9311,10277,9519,19796,4951,4568,9520,4503,4208,8713,9454,9696,19152,9868,10534,20401,10464,11038,21501,9755,10306,20061,7515,8326,15843,4028,4387,8412,1077,1576,2650,68,65,141,76276,77908,154178,491,688,1177,800,802,1599,38,35,66,27,15,43,858,852,1707,61378,62258,123639,12537,13624,26161,67981,69391,137377,5927,6530,12459,69721,71278,141003,1496,1424,2924,9798,9103,18905,3894,3724,7618,1485,1703,3189,1754,3268,5021,29701,36915,66608,9960,9248,19214,11648,9372,21018,4833,3696,8526,2354,2305,4654,366,326,692
CED207,90231,93561,183796,3807,3684,7491,10581,10060,20643,5783,5567,11351,8370,7177,15544,13832,12352,26183,11803,12517,24317,11184,12309,23494,9499,10368,19870,7389,8800,16191,5448,6949,12394,2545,3774,6314,392,373,764,87256,90352,177607,2973,3211,6184,218,207,424,8,8,15,10,12,22,236,223,458,42509,42729,85238,43924,47171,91094,42070,42012,84077,44256,47712,91963,65921,68557,134479,1385,1311,2702,10107,9635,19741,5226,5153,10372,5136,4592,9730,4663,5352,10014,54827,56668,111500,5583,5656,11240,5413,5836,11255,2682,2916,5596,2465,3471,5936,762,1075,1838
CED208,75480,79529,155005,4236,4036,8269,7839,7349,15188,3594,3551,7144,4970,4826,9801,14412,15150,29561,12282,12737,25016,10440,10922,21358,7744,8360,16099,5105,5865,10977,3290,4287,7583,1564,2442,4009,111,125,235,74078,78073,152153,1398,1454,2851,670,759,1430,32,21,53,21,29,46,725,805,1530,48763,51238,100007,23304,25041,48346,48207,50276,98482,23742,25903,49646,62744,67004,129749,1308,1250,2557,7462,7018,14484,3063,3109,6169,2507,2646,5156,4164,5681,9846,42885,47136,90020,5042,4447,9485,5136,4480,9619,2313,2363,4675,3471,4749,8219,955,1425,2385
CED209,72718,77811,150533,4709,4486,9200,10201,9535,19738,4247,4200,8443,4384,4169,8547,8918,9347,18262,9343,10447,19796,8781,9633,18409,8081,9535,17618,8192,9068,17256,4419,5028,9451,1453,2363,3815,53,71,127,71228,75736,146965,1494,2076,3569,678,712,1391,22,15,35,18,23,36,717,741,1458,59060,63436,122494,10619,11189,21810,64572,69079,133649,5194,5485,10679,65654,70649,136308,1484,1389,2873,9715,9043,18759,3366,3480,6847,1824,2037,3863,2060,3473,5535,31159,37660,68820,9036,8763,17795,9073,8432,17503,3537,3444,6980,1940,2038,3979,183,151,336
CED210,77582,80833,158416,4582,4325,8907,9513,9123,18632,4760,4421,9181,5280,5087,10369,11991,11711,23703,10026,10449,20471,9821,10363,20185,9031,9734,18765,7177,8268,15445,3966,5036,9008,1435,2322,3756,84,90,179,74827,78902,153727,2758,1932,4689,1164,1127,2288,35,37,75,31,32,56,1231,1186,2417,58698,61562,120268,14969,15372,30342,61300,65343,126646,11186,11569,22755,66185,70896,137076,1391,1285,2668,8895,8546,17441,3628,3541,7174,1848,2219,4067,2585,3807,6393,31554,36719,68277,9271,8633,17904,10456,9104,19556,4269,4368,8636,3235,3782,7012,620,700,1320
CED211,80220,85671,165891,4812,4534,9342,10448,9955,20403,5037,4532,9569,4912,4448,9364,10137,10465,20603,11536,12434,23973,10742,11609,22351,9213,10156,19361,7144,8686,15826,4467,5779,10246,1770,3077,4849,125,166,294,78932,83770,162708,1289,1894,3181,422,427,846,19,11,29,15,15,29,455,449,906,54764,57128,111890,23104,26033,49139,57566,60233,117805,19942,22435,42379,68414,72424,140838,1703,1547,3255,10092,9620,19708,4341,4023,8362,2277,2165,4435,2583,3976,6566,40398,45655,86054,7966,7755,15719,7907,7631,15544,3233,3303,6541,2250,2927,5173,572,779,1351
CED212,76588,80438,157026,4769,4654,9428,10356,9787,20142,4815,4369,9186,4323,4217,8540,9784,10238,20020,10481,11264,21739,10702,11161,21862,9246,9905,19159,6893,7893,14788,3874,4712,8585,1344,2235,3575,66,74,143,75377,78835,154215,1216,1602,2816,869,882,1755,36,38,74,24,23,52,932,949,1878,56901,58960,115864,15953,17834,33784,65011,67494,132508,7735,9150,16885,67374,70578,137955,1523,1448,2978,9758,9242,18997,3740,3565,7299,1460,1765,3222,1869,3486,5357,31032,37336,68365,9215,8370,17581,10744,9577,20327,4301,3888,8189,2238,2551,4791,268,291,566
CED213,72122,77467,149592,3707,3397,7104,8663,8215,16875,4405,3981,8384,3693,3315,7011,6802,7078,13873,7449,8418,15865,9318,10493,19810,9606,10811,20419,9750,11139,20889,6439,7460,13905,2299,3158,5449,63,68,133,70272,75709,145983,1853,1754,3605,796,697,1491,46,33,79,22,32,52,862,760,1619,55828,59385,115214,12053,13484,25537,64402,68927,133333,3814,4285,8101,64935,69623,134557,1178,1085,2258,8079,7643,15716,3227,3091,6325,1218,1269,2491,1294,2673,3964,28912,34979,63884,9127,9172,18302,10885,9942,20827,4228,4211,8438,2433,2781,5209,232,253,483
CED214,88733,87340,176077,5144,4852,9998,9450,8681,18134,4235,4128,8359,6401,5948,12352,18256,16948,35198,13955,13508,27460,10788,10979,21768,9195,9067,18265,6552,7054,13604,3486,4049,7538,1268,2129,3400,200,200,398,87289,85936,173231,1443,1405,2850,486,459,938,13,18,34,12,14,21,508,480,988,41785,40032,81818,40934,41975,82910,36297,34090,70380,46054,47591,93638,66108,66881,132985,1320,1298,2619,8661,7948,16610,3434,3520,6948,3040,2996,6034,4878,5719,10599,45927,45487,91411,5579,4672,10251,6737,5881,12622,3092,3180,6277,4384,6053,10438,2157,2912,5070
CED215,94714,94670,189386,7726,7157,14882,14746,13984,28733,4947,4597,9541,5302,4496,9795,14053,14596,28645,18368,17877,36246,12023,12075,24097,8335,8760,17093,5576,6216,11790,2699,3348,6043,948,1574,2522,226,281,511,93222,94030,187263,1489,635,2127,653,498,1155,20,22,40,23,25,46,695,542,1238,51415,50908,102325,38875,39597,78465,51073,50784,101855,37862,39286,77155,71839,72736,144570,2341,2143,4479,13802,13113,26915,4071,3918,7984,2397,2234,4631,3556,5222,8780,47385,50278,97671,6424,5705,12131,7970,6280,14253,2925,2871,5801,2482,3256,5739,780,1090,1876
CED216,76066,77853,153917,4110,3943,8059,9310,8718,18023,4315,4027,8336,3853,3678,7528,8678,8809,17486,8310,8644,16953,8789,9627,18413,10749,11526,22280,10789,10584,21370,5548,5924,11466,1619,2376,3994,124,55,176,72970,75659,148630,3092,2196,5291,1837,1832,3668,46,50,98,23,32,56,1911,1917,3824,60883,61918,122801,8874,9577,18447,65759,67707,133471,3715,4315,8029,66496,68636,135131,1124,1073,2195,8429,7903,16327,2856,2850,5708,695,1046,1743,1270,2936,4211,21742,27980,49723,10608,10279,20884,14563,11911,26476,5833,5179,11012,3679,3537,7221,278,277,549
CED217,73289,79479,152776,3557,3534,7089,10137,9695,19828,5259,4883,10142,4376,3863,8240,7231,7636,14865,9111,10300,19414,11225,12690,23913,9519,10286,19808,7112,8261,15371,4109,5253,9357,1657,3086,4742,161,167,323,72569,78095,150667,722,1387,2104,206,176,383,8,3,10,0,4,0,213,182,391,49013,52004,101016,22030,24937,46973,56369,59793,116159,14508,16981,31490,63376,68425,131802,1305,1325,2627,9711,9330,19039,4800,4528,9325,2600,2389,4986,2020,3225,5244,44264,48588,92847,5115,5756,10868,4416,4961,9381,1933,1993,3926,1368,1809,3172,255,333,583
CED218,89145,88862,178005,6034,5702,11738,13216,12485,25700,5848,5666,11509,6145,5349,11498,13152,12959,26111,14089,14126,28212,11584,12067,23654,9030,9560,18594,6393,6794,13185,2929,3011,5939,726,1145,1872,131,179,306,86820,87988,174812,2318,878,3198,619,396,1014,15,5,28,16,12,26,648,416,1068,48213,46517,94726,37046,38623,75676,39646,38554,78199,43200,45566,88761,72121,72998,145123,1682,1607,3290,12346,11693,24039,4786,4888,9672,2566,2608,5177,2606,3861,6460,40733,43793,84527,6787,6043,12828,9616,7156,16772,3398,3194,6593,3824,4812,8637,1363,1915,3277
CED219,80967,83672,164640,6321,6075,12397,12517,12055,24568,5061,4860,9918,5043,4751,9793,12019,12931,24951,12031,12368,24396,10037,10474,20512,8161,8905,17069,6306,6953,13264,2779,3098,5868,699,1200,1891,92,130,226,80605,83059,163667,359,613,968,1155,1173,2327,37,24,70,36,48,77,1222,1246,2469,57266,58867,116131,19332,20438,39775,59340,61154,120499,17091,17988,35075,69074,70945,140020,1674,1775,3451,11561,11130,22688,3723,3860,7584,1568,1693,3259,1962,3822,5779,29961,35591,65552,8925,8465,17387,11485,9808,21293,4703,4056,8755,2765,3048,5808,546,687,1228
CED220,73596,79625,153227,3311,3100,6415,7026,6690,13721,3549,3653,7208,5409,6123,11535,15222,16158,31382,11027,11162,22191,9242,10086,19328,7754,8438,16189,5867,7036,12901,3743,4732,8472,1441,2436,3877,199,228,428,72258,77846,150110,1331,1778,3115,270,214,486,16,9,22,5,3,7,289,229,520,47221,49568,96793,23365,26748,50115,53107,55459,108569,17361,20722,38079,60021,64189,124214,1180,1020,2195,6734,6430,13165,3229,3374,6607,3160,3571,6732,3712,4932,8639,50027,54722,104749,3807,4300,8105,3304,3564,6876,1436,1451,2884,1285,1711,2995,285,451,732
CED221,93100,93618,186722,8134,7752,15891,15422,14347,29769,5819,5718,11537,6348,6149,12497,14634,15980,30609,15850,15418,31268,10956,10973,21931,8204,8293,16497,4916,5400,10318,2228,2581,4806,582,1014,1599,133,206,342,92807,93117,185924,294,503,794,726,684,1404,30,24,50,23,16,36,774,725,1498,49882,49592,99468,38886,39757,78643,48883,48866,97748,39198,39550,78749,73711,73222,146932,2141,1915,4058,14312,13370,27685,4548,4738,9278,2270,2583,4856,3119,5088,8205,38201,41963,80167,7773,7155,14925,10743,9120,19864,4404,3876,8276,3017,3428,6448,1615,2057,3674
CED222,98446,97233,195680,5556,5187,10745,10834,10084,20912,5196,5029,10226,8283,7096,15383,18443,16025,34469,14019,13942,27965,11716,12172,23894,10044,10412,20453,7579,8650,16232,4797,5695,10493,1982,2933,4916,265,287,549,96582,95340,191923,1865,1890,3754,297,268,563,14,16,36,6,13,16,317,298,613,43251,40831,84087,50782,52390,103176,38863,36482,75339,54625,56075,110702,71484,71882,143369,1610,1471,3081,10181,9495,19674,4458,4435,8895,4496,4034,8531,4922,5549,10474,52904,52165,105071,6274,5301,11578,7513,6750,14262,3434,3508,6944,4599,6417,11021,2498,3265,5760
CED223,78150,81082,159237,3997,4002,8001,9975,9516,19493,4790,4493,9281,3963,3781,7748,8431,8683,17109,8561,9402,17962,9784,10574,20354,11116,11912,23028,10456,10356,20809,5432,5812,11241,1651,2564,4211,111,110,217,74357,77284,151640,3793,3799,7597,1514,1640,3158,61,56,113,37,50,91,1612,1745,3357,64185,66426,130611,8019,8763,16784,68671,71299,139977,3831,4298,8132,69804,72598,142402,1170,1211,2375,9096,8774,17868,3279,3283,6568,892,1176,2062,1589,3246,4833,25569,32553,58117,10439,10029,20463,13853,11672,25525,5324,4444,9766,3265,3019,6279,271,272,547
CED224,77355,82207,159566,4680,4500,9179,10267,9839,20109,4633,4472,9101,4351,4118,8467,9711,9977,19689,11433,12337,23769,11226,12082,23309,9130,9735,18861,6573,7683,14254,3853,4859,8711,1502,2605,4109,117,142,257,76526,81006,157525,830,1206,2036,332,334,669,23,19,43,5,8,19,363,359,723,50549,52800,103343,24332,26853,51186,53880,56514,110392,20607,22729,43335,66942,71187,138134,1488,1505,2994,9829,9455,19286,3980,3958,7942,2116,2148,4262,2277,3528,5805,39020,43965,82986,7123,6772,13889,7381,6953,14332,2939,3011,5948,2415,3171,5583,850,992,1843
CED225,77103,81210,158316,4466,4256,8721,10034,9736,19775,4829,4319,9149,4623,4247,8865,9374,9659,19037,10732,11499,22233,10655,11300,21951,9184,10171,19354,7497,8582,16078,4213,4995,9207,1496,2444,3945,102,116,219,75478,79383,154858,1626,1828,3451,521,498,1009,13,12,29,13,18,31,546,522,1069,57111,59391,116504,17582,19398,36977,59863,62012,121874,14694,16660,31349,68822,72113,140930,1574,1475,3045,9684,9403,19086,4156,3854,8007,2210,2330,4543,2526,3711,6241,40783,45223,86006,7025,6671,13693,6764,6341,13103,2977,2938,5916,2102,2916,5020,457,541,999
CED226,77278,84281,161560,3184,3075,6259,9758,9422,19180,5825,5586,11414,6044,5845,11882,10273,10447,20717,9181,10607,19792,10515,12278,22790,9471,10324,19788,7112,8280,15388,4134,5276,9411,1796,3148,4939,306,248,555,75728,82282,158010,1551,2001,3553,220,189,408,12,7,24,8,3,9,239,199,441,50215,52740,102954,24669,29061,53736,52893,55510,108403,21898,26196,48089,65118,70149,135266,1174,1156,2328,9419,9125,18550,5425,5282,10708,3858,3738,7597,3271,4213,7483,50761,55747,106508,4121,4937,9056,3532,4023,7552,1834,1974,3806,1328,1921,3246,344,467,809
