CED_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED226,13,142,2501,11295,13514,5006,776,744,34000,13,261,4025,3091,518,66,8,240,8223,3,57,870,2797,1037,94,7,138,5006,21,315,4894,5889,1551,160,17,379,13225,70,993,3654,770,92,11,16,300,5895,92,1223,3041,436,32,3,3,238,5072,58,1208,2292,440,22,4,0,210,4234,10,265,304,38,4,0,0,24,648,0,3,6,5,0,4,0,4,21,223,3693,9298,1684,152,24,19,775,15876,5,33,70,59,10,3,5,36,218,3,17,12,22,10,4,5,11,81,271,4210,16770,18952,15236,5201,818,1951,63401
CED227,49,259,2538,18096,24809,3638,630,2395,52407,11,151,1669,950,259,22,10,204,3274,0,4,258,820,159,9,4,57,1310,11,156,1924,1768,419,30,11,265,4584,10,44,164,82,6,0,0,29,336,0,4,5,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,3,3,0,0,5,25,10,55,177,90,9,0,0,37,381,15,92,43,8,6,0,0,23,182,0,0,11,22,16,0,0,0,48,77,561,4692,19981,25260,3674,643,2719,57607
CED228,45,172,1859,23177,26468,3015,409,3336,58475,3,127,1519,1861,804,64,3,330,4717,0,7,353,760,217,41,8,137,1517,3,131,1868,2624,1027,104,12,468,6234,0,67,596,374,13,6,0,114,1158,0,0,13,0,0,0,0,4,22,0,85,288,17,0,0,0,43,445,0,0,0,0,0,0,0,0,0,0,8,3,0,0,3,0,4,23,0,157,905,397,17,7,4,166,1651,9,15,9,0,3,0,0,21,65,0,0,7,9,25,3,0,6,46,60,489,4645,26211,27533,3122,418,3989,66476
CED229,11,126,1293,3753,3045,969,257,340,9795,27,411,3349,3291,717,90,26,300,8200,23,282,1881,3969,1115,155,22,389,7827,48,690,5222,7258,1832,244,42,688,16029,226,2597,5273,1023,102,15,20,762,10012,221,4610,7633,1109,44,14,4,925,14562,150,2705,4771,969,54,5,6,672,9329,98,6557,11787,2749,110,6,8,1337,22663,3,8,14,13,8,0,0,6,54,704,16476,29482,5862,317,40,44,3704,56623,18,254,295,74,12,0,0,113,775,7,48,66,14,7,0,0,45,186,790,17604,36357,16958,5215,1256,343,4884,83402
CED230,176,984,7502,32369,15048,2036,447,4487,63053,32,607,1836,738,74,6,10,423,3722,0,9,39,67,16,0,0,19,144,32,621,1872,804,87,12,9,432,3868,9,601,1295,197,13,0,6,353,2477,0,7,24,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,3,13,9,613,1323,204,15,0,6,359,2527,214,525,177,127,68,14,12,365,1502,21,60,54,49,19,3,8,56,269,446,2797,10926,33554,15238,2068,481,5710,71227
CED231,39,158,2966,17581,10175,2102,309,1006,34331,9,328,3013,2438,307,37,11,288,6423,16,383,2331,4015,1274,105,7,314,8451,27,710,5342,6446,1585,141,14,602,14873,12,716,2124,772,37,3,4,232,3905,53,1079,1716,151,11,0,5,380,3399,7,1503,2607,240,12,0,0,253,4621,13,412,634,223,3,0,0,178,1474,0,9,4,7,4,0,0,3,26,85,3713,7092,1400,67,3,11,1046,13417,0,25,65,54,10,0,0,18,173,0,8,8,19,6,0,0,3,51,154,4622,15473,25496,11840,2249,335,2680,62849
CED232,56,327,2044,17574,24812,3667,674,2232,51401,10,136,1064,877,237,20,0,119,2467,0,6,154,434,59,10,0,37,701,10,142,1218,1316,295,34,0,151,3167,3,18,77,53,0,0,0,8,168,0,0,50,24,5,0,0,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,4,0,0,0,29,3,28,139,78,11,0,0,19,276,8,28,13,4,3,0,0,33,89,3,7,9,9,20,5,0,6,48,86,529,3424,18980,25145,3699,680,2446,54983
CED233,10,153,1536,2617,1021,215,54,170,5761,16,731,5273,3508,867,97,27,341,10858,65,560,3179,4479,1434,345,73,375,10516,83,1291,8456,7987,2298,442,101,710,21371,89,1603,2126,647,90,17,7,356,4929,189,2681,3568,820,62,11,8,543,7878,372,5352,7972,1147,77,5,13,894,15835,1026,13008,20863,3463,113,13,27,3850,42369,0,4,14,4,5,0,0,6,41,1684,22652,34546,6082,355,41,51,5642,71058,9,121,195,115,36,7,0,196,679,20,70,102,22,0,0,0,89,306,1802,24284,44826,16818,3713,708,213,6807,99177
CED234,24,146,2171,17519,18326,4720,862,1114,44887,5,245,2602,2225,343,31,5,222,5688,6,56,736,2893,1866,189,7,205,5950,10,300,3339,5119,2208,220,16,427,11640,19,135,924,671,73,5,0,76,1899,39,196,578,117,10,0,0,41,974,48,540,1281,207,5,0,0,132,2213,11,523,1402,211,3,0,0,127,2277,0,0,11,10,5,0,0,8,33,107,1395,4195,1213,92,8,0,387,7407,6,11,8,9,0,0,0,9,33,0,8,23,13,10,0,3,8,58,143,1852,9738,23871,20638,4955,882,1944,64023
CED235,110,637,6161,26372,16570,2264,450,3259,55829,24,512,1608,464,33,8,0,285,2936,5,45,79,210,66,15,3,55,470,22,559,1683,676,97,16,3,346,3408,0,259,687,176,13,0,0,110,1250,5,13,17,3,0,0,0,0,34,0,4,0,3,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,21,5,278,709,189,16,8,6,114,1321,52,207,323,39,10,0,3,153,785,0,8,24,22,14,3,9,12,93,194,1695,8898,27304,16707,2291,467,3876,61436
CED236,131,622,5745,28446,16044,2229,448,3702,57366,34,900,2891,587,82,6,8,594,5097,0,16,53,76,23,0,0,20,192,34,910,2943,663,105,6,9,616,5295,8,47,35,21,0,0,0,22,136,0,5,8,0,0,0,0,4,21,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,4,3,0,0,0,6,22,6,63,40,25,4,0,0,30,180,102,399,452,100,29,3,4,497,1587,8,23,24,32,17,3,3,8,126,282,2025,9202,29265,16208,2245,461,4864,64554
CED237,56,183,2147,24581,17889,2286,346,2033,49527,9,123,1442,1353,497,32,5,314,3784,0,47,1080,1775,374,49,3,198,3530,9,170,2520,3131,875,79,9,520,7314,3,119,601,332,24,0,0,79,1161,0,117,232,8,0,0,0,98,462,0,102,397,25,0,0,0,24,537,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,4,24,8,346,1235,365,26,0,0,204,2189,0,0,7,10,3,0,0,23,39,0,6,10,13,3,3,0,10,49,75,696,5920,28101,18798,2371,361,2786,59114
CED238,152,846,6836,29714,15166,2509,557,3348,59126,31,628,2069,455,61,6,6,311,3567,4,35,263,236,43,7,3,41,630,40,661,2332,687,105,15,8,354,4200,11,226,495,92,10,0,0,88,920,0,36,21,11,0,0,0,5,83,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,4,4,4,0,0,3,22,13,264,528,106,15,4,0,95,1029,100,182,145,91,48,4,3,162,740,6,26,25,32,14,4,11,15,135,306,1981,9864,30635,15350,2531,585,3971,65229
CED239,40,316,5787,18839,7148,1225,214,1302,34869,21,569,4391,1673,177,31,8,355,7224,19,351,4985,4294,637,47,9,475,10824,38,926,9378,5965,819,76,20,832,18049,64,1355,2557,326,25,6,7,287,4617,30,464,1028,75,13,0,0,102,1705,60,1626,2373,188,16,8,0,226,4503,3,300,338,11,0,0,4,29,687,0,12,12,14,4,3,0,6,45,155,3750,6312,619,59,11,7,649,11562,3,38,123,80,18,8,3,109,381,3,12,27,20,6,0,0,15,82,241,5045,21620,25528,8047,1321,241,2903,64941
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,124,955,4308,23990,25702,3466,831,3059,62434,33,610,1012,1074,213,5,9,372,3329,14,192,501,1064,120,4,4,206,2112,41,804,1513,2136,339,7,11,581,5438,3,283,391,166,23,3,3,135,1011,4,46,49,4,0,0,0,17,118,0,28,60,0,0,0,0,5,95,4,19,18,9,0,0,0,3,48,0,15,10,6,6,0,5,14,63,15,393,527,189,27,5,0,171,1331,51,139,73,35,22,0,3,198,523,18,45,19,22,21,3,4,17,149,261,2333,6440,26367,26108,3487,852,4027,69873
CED302,66,338,2286,17090,18306,5931,1094,1150,46256,24,152,914,639,24,4,0,97,1851,10,172,1080,4274,421,19,7,302,6279,30,317,1993,4917,446,22,7,404,8131,80,649,526,157,15,4,9,153,1590,13,171,925,203,3,0,0,85,1416,3,201,1017,253,5,0,0,98,1581,0,36,199,76,0,0,0,15,326,3,16,22,6,8,9,0,22,87,101,1081,2687,694,30,15,15,370,4997,83,286,198,45,3,0,0,102,718,10,33,22,17,8,0,3,15,112,296,2054,7187,22757,18794,5970,1119,2037,60211
CED303,92,491,2868,16324,23027,5376,895,1538,50612,51,535,1715,932,143,20,5,183,3583,18,97,1063,1860,182,3,0,161,3383,71,634,2773,2791,322,21,5,343,6964,13,315,668,473,36,7,0,109,1624,12,8,188,133,4,0,0,34,385,0,47,343,190,30,4,0,29,643,0,0,0,0,0,0,0,0,0,5,18,37,7,10,3,3,6,90,31,384,1237,812,82,14,3,177,2737,51,89,57,17,6,0,0,85,312,3,23,25,16,12,0,0,6,89,253,1617,6967,19964,23455,5409,901,2148,60718
CED304,43,336,2923,9789,8632,4297,943,662,27620,4,69,160,54,10,0,6,26,332,24,375,1458,2457,242,38,24,206,4829,32,452,1618,2513,251,39,25,232,5165,187,2240,3537,887,136,25,33,447,7478,181,1625,7416,1272,88,12,13,540,11144,362,3307,6826,1881,97,9,7,935,13419,218,5837,7966,1731,105,10,7,1141,17021,3,160,306,32,9,6,0,28,543,947,13159,26048,5802,435,55,58,3094,49600,6,27,33,11,7,3,0,119,204,31,122,87,33,11,3,4,54,348,1058,14100,30709,18146,9331,4400,1033,4163,82941
CED305,232,980,4980,21866,17092,2893,677,3532,52261,22,263,1474,813,131,16,6,374,3107,20,197,452,423,76,5,3,142,1311,36,462,1932,1239,207,18,11,519,4424,28,379,1073,340,39,10,5,248,2118,0,14,75,39,0,0,0,11,141,0,16,92,34,0,0,0,25,163,3,22,62,35,0,0,0,7,130,0,5,8,11,4,0,0,9,44,30,438,1303,459,39,11,12,299,2593,408,631,82,77,47,8,10,594,1853,123,230,47,62,30,12,7,69,581,831,2741,8337,23706,17416,2939,715,5015,61702
CED306,203,961,4346,21553,17562,2677,467,3075,50841,70,453,2169,860,76,3,9,530,4173,26,326,877,618,63,5,7,290,2205,94,782,3045,1475,141,11,17,816,6375,33,367,1231,453,36,11,3,267,2394,9,83,362,99,3,0,0,66,625,0,32,120,79,3,0,0,28,260,0,33,49,120,17,0,0,113,326,0,0,4,8,4,0,0,13,27,38,514,1761,752,63,10,3,491,3638,652,1056,205,188,89,16,16,506,2723,202,334,111,99,44,0,5,143,936,1190,3638,9462,24070,17901,2715,509,5027,64513
CED307,39,226,1158,17696,21582,5236,1136,1243,48310,11,351,1411,804,83,0,0,144,2813,14,95,819,3385,185,3,3,274,4773,23,451,2229,4189,271,5,4,421,7584,3,157,233,128,10,0,6,46,580,0,53,39,11,8,0,0,9,126,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,26,50,19,12,9,0,23,148,3,241,340,155,29,13,5,79,868,29,125,42,10,6,0,0,27,231,3,11,7,7,7,0,3,6,51,95,1047,3769,22059,21893,5255,1151,1770,57043
CED308,67,199,2421,11818,24180,4238,814,2113,45841,45,179,3152,3444,371,13,7,511,7720,32,247,1439,6684,986,39,9,654,10084,74,422,4595,10130,1366,49,16,1159,17803,20,292,780,191,70,0,4,149,1499,16,367,1986,590,52,10,0,251,3276,0,257,1206,601,45,0,0,146,2257,0,141,1229,657,37,0,0,191,2250,0,17,26,10,3,3,4,26,93,39,1070,5221,2054,210,16,8,763,9377,88,268,176,47,16,0,9,153,760,10,42,48,85,43,5,5,26,261,275,2002,12460,24134,25810,4306,845,4210,74043
CED309,142,727,3383,17605,19181,3799,916,1751,47511,10,219,2098,1589,74,11,3,258,4269,30,285,1792,2726,283,14,8,351,5495,39,509,3887,4319,363,22,11,611,9763,52,527,1701,939,72,4,3,283,3582,17,114,675,487,18,3,0,85,1400,3,220,1029,771,79,0,0,175,2284,11,71,580,229,16,0,0,124,1033,6,69,82,31,21,3,7,41,259,92,998,4069,2449,205,19,15,704,8556,287,511,128,56,27,0,0,246,1261,67,101,64,74,29,3,5,42,381,627,2838,11528,24505,19804,3854,946,3358,67460
CED310,129,562,2969,18025,20998,3725,793,1897,49102,20,119,2656,1817,127,4,3,303,5048,4,143,686,1525,255,23,4,146,2789,29,263,3345,3341,379,26,11,447,7839,39,359,1114,580,67,6,6,236,2421,6,151,1139,422,18,4,4,126,1862,21,369,2090,1058,58,3,0,347,3946,14,111,468,548,21,0,0,44,1199,6,38,44,15,15,7,0,34,165,84,1026,4861,2631,174,23,13,780,9594,149,306,177,71,36,7,5,218,970,25,55,51,43,21,6,0,52,252,417,2214,11401,24113,21611,3791,823,3394,67761
CED311,476,1620,4909,21483,18754,2926,723,4411,55295,4,207,582,432,115,26,9,149,1529,13,43,440,509,50,0,3,137,1200,18,249,1028,946,168,31,13,289,2729,14,287,1189,516,35,4,8,246,2295,15,30,148,35,3,0,0,28,263,3,6,179,53,6,0,0,32,276,0,4,87,5,0,0,0,14,112,0,3,14,4,0,0,3,15,35,29,335,1612,611,43,4,9,337,2981,618,1031,176,127,69,13,4,654,2692,123,249,51,70,38,13,19,120,682,1264,3486,7777,23233,19065,2987,772,5811,64380
CED312,87,314,3126,17794,26387,4299,1245,3219,56475,9,233,1644,1778,179,7,10,448,4311,7,124,1217,2652,263,24,13,453,4745,18,353,2860,4431,440,36,16,903,9059,6,292,664,512,46,3,0,283,1804,0,74,88,3,0,0,0,33,199,0,13,82,0,0,0,0,11,113,0,0,0,0,0,0,0,0,0,0,18,51,21,7,6,3,38,137,13,394,883,541,59,9,4,363,2252,30,200,72,12,9,4,0,200,513,4,18,24,33,33,0,0,19,131,148,1278,6970,22806,26925,4342,1263,4702,68429
CED313,71,330,2958,11861,9997,4536,914,855,31515,7,87,254,184,19,0,0,36,600,22,430,1948,4524,394,33,16,312,7674,34,517,2205,4708,411,37,14,353,8275,174,1947,3003,982,96,22,17,507,6756,98,1184,6115,1219,55,8,15,477,9172,43,1678,4425,1401,99,16,3,527,8197,162,3319,5150,1090,118,5,7,658,10510,0,7,14,5,5,5,0,14,57,476,8142,18706,4699,372,59,38,2190,34683,9,16,33,16,0,0,0,26,98,13,46,67,32,12,5,5,46,224,601,9040,23965,21320,10798,4633,970,3471,74799
CED314,89,457,3394,21247,19390,3517,737,2023,50844,23,666,3571,2136,102,19,8,467,6990,13,200,870,573,53,8,7,131,1844,35,868,4440,2708,161,22,10,596,8834,10,193,1502,472,35,4,0,120,2333,12,9,41,0,0,0,0,5,66,0,0,36,8,0,0,0,0,50,0,0,14,13,12,0,0,58,102,3,8,5,0,3,0,0,8,21,23,210,1601,484,54,6,4,191,2569,50,117,31,19,18,6,0,171,412,10,17,19,32,21,5,0,21,130,204,1664,9480,24492,19639,3554,757,3004,62785
CED315,59,422,3012,21724,18557,2690,670,2601,49727,55,488,2963,665,117,9,4,486,4781,17,409,1878,636,52,4,19,373,3396,70,902,4836,1302,172,14,23,857,8171,25,365,956,321,26,8,6,237,1934,0,111,893,199,4,3,0,112,1329,11,83,550,399,11,0,0,89,1146,3,99,274,229,4,0,0,121,743,0,3,5,4,5,0,0,6,29,44,656,2675,1153,44,15,8,576,5174,194,278,84,50,28,0,3,110,747,40,104,31,40,10,3,5,57,306,404,2366,10643,24275,18812,2724,711,4199,64129
CED316,225,732,5412,24116,18207,2542,632,2450,54315,28,346,2276,1019,64,8,0,344,4087,28,308,661,650,36,3,0,199,1887,51,658,2945,1667,99,11,7,544,5973,20,469,1418,443,43,3,3,239,2640,0,21,103,57,0,0,0,17,200,4,39,258,178,7,0,0,44,531,0,0,4,8,0,0,0,0,10,0,3,8,3,0,0,0,9,23,29,527,1794,687,49,5,4,306,3400,588,1076,258,146,78,10,7,366,2523,148,208,82,45,40,4,3,138,667,1038,3203,10478,26666,18482,2569,646,3800,66878
CED317,511,1968,6878,25117,15009,2515,704,5178,57881,30,415,1478,509,127,27,9,373,2967,6,86,397,113,19,4,6,83,699,37,496,1879,626,148,28,7,451,3669,20,446,1255,274,40,4,9,381,2438,3,0,62,6,4,0,0,10,81,0,0,12,13,3,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,43,62,20,453,1324,297,51,10,9,442,2616,1663,2391,365,327,205,22,27,1492,6482,282,480,103,151,86,35,45,215,1402,2515,5788,10552,26515,15498,2606,796,7775,72040
CED318,249,969,3817,19322,15941,2886,833,2866,46894,29,534,2427,758,79,11,5,516,4354,42,481,2348,568,63,11,12,446,3968,72,1014,4773,1327,139,24,20,956,8325,157,1121,3409,577,50,15,9,850,6184,30,608,1983,673,16,0,5,431,3751,14,97,554,239,3,0,0,148,1058,4,66,207,155,8,0,4,67,516,0,4,11,5,6,3,0,10,27,205,1898,6159,1647,89,16,16,1503,11542,879,1079,195,185,102,17,35,735,3224,153,309,262,117,39,5,27,148,1065,1560,5272,15212,22595,16312,2943,930,6211,71045
CED319,63,307,3237,20182,13961,3963,699,1094,43509,3,237,779,728,47,0,4,143,1941,16,486,2049,3734,306,5,4,289,6897,25,727,2826,4460,351,6,6,436,8833,53,1129,2540,679,69,5,9,330,4816,46,329,3049,368,14,3,3,281,4096,20,366,1501,289,10,0,0,147,2328,18,388,1027,176,4,0,0,75,1684,5,19,18,8,10,3,4,5,60,140,2229,8133,1523,112,9,12,833,12982,0,24,12,13,9,0,0,143,200,18,21,19,16,9,0,0,14,91,239,3311,14224,26187,14436,3980,721,2520,65621
CED320,68,447,3222,19370,26944,4029,1057,2364,57501,21,621,1729,2178,315,12,6,467,5341,16,259,1063,1901,190,9,5,356,3799,35,882,2789,4075,504,20,12,818,9138,6,170,315,204,20,0,0,87,796,12,46,169,44,0,0,0,28,306,5,19,119,53,0,0,0,14,211,0,0,0,0,0,0,0,0,0,5,47,84,44,17,7,10,46,263,18,278,691,336,38,8,7,183,1568,126,467,173,44,24,0,4,240,1077,16,26,26,31,24,4,0,19,142,267,2111,6901,23853,27530,4064,1084,3617,69427
CED321,436,1681,6746,23357,15754,2987,892,4726,56581,8,340,1514,617,99,20,13,363,2971,0,12,140,102,25,6,3,41,332,8,354,1647,723,122,24,14,404,3297,12,179,605,170,26,0,0,235,1225,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,6,17,10,179,608,173,24,0,3,242,1243,656,1014,174,190,109,13,37,423,2613,161,234,85,120,69,25,28,111,836,1271,3460,9266,24562,16082,3057,975,5897,64572
CED322,59,231,1286,13042,14414,3398,782,1212,34436,16,137,1585,1748,100,6,7,187,3784,19,212,1974,7341,1161,63,17,595,11385,27,349,3557,9089,1265,69,22,782,15171,89,520,1552,269,48,6,5,284,2789,11,631,3170,682,44,4,4,334,4893,11,269,1704,619,48,0,3,195,2850,98,443,1684,403,19,4,3,255,2912,3,26,29,13,14,7,5,26,115,206,1891,8142,1998,178,27,22,1092,13557,83,174,62,22,18,0,0,98,460,8,31,40,20,13,3,0,25,139,394,2676,13093,24167,15890,3497,833,3216,63764
CED323,35,190,1222,12427,11364,3275,749,1321,30574,26,316,2187,1421,144,16,8,306,4427,6,394,2848,4973,828,104,21,633,9808,33,707,5031,6396,968,121,28,942,14237,67,806,2687,1045,73,15,14,514,5220,44,1565,4683,651,51,5,0,658,7654,78,1504,3127,599,41,8,10,565,5935,189,3028,6545,1941,124,10,4,1800,13631,0,7,11,13,3,3,4,10,57,377,6911,17057,4248,296,47,29,3546,32502,84,364,187,27,0,0,14,195,873,24,101,140,69,10,0,3,64,422,558,8277,23637,23167,12644,3444,824,6069,78611
CED324,96,537,2685,16918,15362,5821,1543,1418,44378,18,159,490,439,53,8,4,69,1236,21,362,1542,4946,541,57,8,406,7885,31,521,2038,5388,594,66,13,476,9122,44,1021,1886,479,66,15,6,246,3761,31,315,1699,299,26,4,0,122,2492,6,149,729,250,7,0,0,46,1189,0,0,43,135,5,0,0,17,208,3,14,18,20,8,7,5,29,106,90,1495,4372,1187,106,29,12,464,7757,13,59,19,18,10,0,0,43,154,9,33,24,24,6,0,3,19,122,237,2646,9134,23536,16073,5913,1572,2422,61537
CED325,55,355,1717,20000,24423,4220,755,2175,53692,11,245,909,622,137,0,6,202,2127,6,107,655,4217,533,12,5,478,6019,23,353,1564,4841,667,14,6,680,8146,13,241,74,43,18,0,0,54,443,3,54,104,34,0,0,0,19,219,0,11,31,9,0,0,0,0,51,0,0,0,0,0,0,0,0,4,0,11,14,39,17,0,8,27,123,21,316,227,118,37,5,8,103,840,16,120,47,6,4,0,0,58,246,4,8,15,36,15,3,0,15,92,116,1149,3571,24998,25142,4243,772,3027,63018
CED326,49,348,3778,20000,23144,3862,696,1762,53637,19,393,1715,1393,92,3,4,215,3831,9,187,1047,4419,735,3,6,450,6865,30,576,2760,5815,825,5,13,666,10695,31,605,1286,651,56,13,3,260,2912,19,98,455,307,6,0,0,54,939,24,162,746,579,13,0,0,103,1622,27,44,276,549,8,0,0,31,929,0,15,35,9,8,3,0,13,87,96,927,2789,2098,87,19,9,460,6484,124,276,107,23,12,0,0,233,766,9,21,16,36,10,3,3,15,111,307,2149,9451,27972,24081,3888,719,3132,71696
CED327,46,180,1024,21009,20512,4364,905,2642,50672,6,188,961,802,83,9,0,261,2312,17,224,2071,4793,572,20,3,842,8553,18,412,3032,5601,653,31,10,1107,10863,9,90,458,183,7,3,3,146,897,5,71,75,33,12,0,0,81,280,0,3,25,0,0,0,0,0,30,0,36,21,12,3,0,0,7,75,0,13,18,4,7,6,0,18,70,13,214,590,240,29,3,6,256,1352,25,66,22,5,0,4,0,61,184,0,22,10,21,18,0,0,26,100,100,888,4683,26871,21213,4402,913,4089,63170
CED328,41,228,1717,12842,18082,6280,1332,731,41248,0,78,344,217,20,3,0,78,742,0,91,589,1615,204,23,4,83,2612,3,168,933,1829,223,29,4,165,3351,36,651,1734,842,142,25,15,170,3612,15,473,4049,1005,40,8,11,178,5773,15,388,2245,688,33,0,4,182,3552,0,352,1154,635,23,0,0,99,2260,0,10,16,4,8,12,0,15,70,67,1874,9202,3175,246,37,29,645,15271,0,0,3,0,3,3,0,3,15,6,29,56,33,19,4,7,16,172,114,2301,11901,17884,18574,6351,1371,1548,60055
CED329,378,1291,6494,23331,15925,2982,672,2986,54057,36,414,1096,543,37,11,7,250,2398,13,134,1162,839,75,9,0,145,2387,46,547,2261,1384,118,20,10,400,4780,36,370,1154,344,24,0,4,216,2151,0,46,324,149,5,0,0,48,573,0,6,49,149,0,0,0,20,227,0,0,0,3,0,0,0,8,10,3,27,13,12,7,9,0,16,86,43,450,1544,648,43,10,4,307,3042,290,456,135,78,54,5,15,299,1334,93,204,61,75,27,4,10,39,511,853,2946,10491,25514,16170,3024,709,4023,63721
