CED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
CED201,1761,1568,3328,4935,4512,9443,932,895,1824,578,545,1126,6447,5954,12402,3302,3192,6490,1269,1070,2329,869,811,1682,5441,5079,10522,307,334,632,210,372,580,635,259,892,607,945,1551,7,4,10,1764,1911,3684,1870,2199,4077,479,665,1148,255,320,577,598,928,1525,5,10,9,3211,4122,7327,4985,6042,11031,234,251,481,422,582,1011,13,0,15,671,833,1506,2439,2594,5027,121,153,279,21869,22224,44091
CED202,1682,1572,3251,4072,3688,7756,1691,1673,3366,705,714,1423,6484,6085,12564,2451,2489,4942,1608,1554,3161,1061,1139,2198,5127,5186,10311,222,217,445,178,284,463,532,297,825,582,834,1411,9,9,9,1510,1635,3147,947,1559,2505,418,754,1174,142,224,375,563,1196,1758,3,9,11,2078,3750,5832,3598,5390,8988,186,170,356,285,488,775,7,5,14,479,668,1146,4136,4175,8310,67,59,131,21576,23132,44708
CED203,1609,1494,3097,4156,3842,8001,1685,1601,3287,497,481,977,6343,5933,12278,2947,2755,5705,1169,1213,2383,673,731,1404,4795,4705,9506,266,346,609,224,401,619,544,304,849,564,789,1350,8,9,20,1593,1844,3444,772,1350,2119,285,570,854,108,182,294,432,1096,1532,5,9,21,1607,3206,4814,3208,5064,8276,192,179,368,264,445,712,13,6,15,462,636,1095,5014,4700,9713,75,55,135,21506,22587,44089
CED204,1849,1711,3556,5479,5014,10496,1161,1092,2251,857,861,1710,7511,6972,14481,4287,3997,8287,1095,1123,2222,947,1026,1970,6342,6161,12503,534,546,1077,464,698,1164,661,282,941,701,1124,1826,13,11,24,2372,2666,5039,2049,2439,4483,669,903,1574,232,315,542,547,816,1363,16,10,22,3511,4481,7989,5902,7165,13068,489,471,959,590,858,1444,5,13,21,1085,1339,2426,5398,4868,10263,160,181,345,28243,28404,56652
CED205,2504,2230,4738,6172,5618,11786,1934,1935,3879,1602,1643,3248,9733,9222,18955,4069,3787,7857,1380,1390,2769,1496,1675,3172,6959,6870,13830,758,571,1331,660,857,1516,577,257,838,774,1144,1915,14,9,21,2780,2842,5621,2036,2812,4843,719,963,1681,244,291,531,439,788,1222,8,10,17,3436,4859,8300,6233,7725,13958,821,885,1712,694,1150,1838,18,19,30,1530,2050,3583,5730,5246,10982,136,169,301,32823,33524,66353
CED206,1927,1789,3722,5148,4674,9825,934,911,1848,721,717,1438,6814,6315,13135,3318,3116,6432,1025,1081,2109,1104,1057,2161,5443,5268,10712,252,327,577,149,265,418,873,393,1264,642,881,1531,13,8,16,1931,1868,3799,909,1378,2291,263,524,795,186,255,442,485,1108,1598,3,9,20,1853,3278,5133,3787,5155,8942,146,143,286,309,555,859,5,3,10,462,691,1149,2788,2612,5391,68,65,141,21288,21906,43195
CED207,1743,1550,3293,5290,4908,10199,874,876,1753,650,811,1468,6824,6610,13435,3826,3202,7025,1177,1259,2441,1412,1692,3103,6420,6156,12584,485,326,815,574,627,1204,432,178,607,749,1029,1779,11,5,13,2247,2168,4419,5173,5191,10372,1682,1632,3312,404,429,835,862,1120,1983,15,17,30,8149,8390,16533,10402,10566,20971,540,382,927,564,771,1333,10,14,17,1123,1163,2279,3583,3492,7083,392,373,764,30491,29915,60401
CED208,1624,1501,3121,3745,3574,7317,1064,992,2059,339,368,703,5158,4939,10095,2631,2298,4926,1002,1105,2110,583,587,1166,4217,3999,8212,390,312,701,534,573,1105,376,180,559,718,877,1592,6,5,9,2018,1944,3966,2113,2622,4740,1347,1612,2952,252,333,587,1017,1895,2915,11,14,28,4738,6480,11217,6764,8436,15200,304,286,584,428,555,990,6,5,8,737,845,1584,3452,3285,6736,111,125,235,22065,23120,45180
CED209,1971,1752,3719,4741,4365,9104,1393,1462,2854,676,619,1296,6817,6447,13265,2391,2157,4550,1371,1547,2921,1101,985,2084,4866,4698,9559,232,253,484,174,290,470,621,300,916,615,833,1448,9,3,12,1646,1680,3331,1443,2027,3468,494,707,1197,201,278,477,540,1196,1734,8,13,14,2681,4217,6897,4337,5901,10239,153,147,299,304,477,784,9,3,12,460,632,1092,2970,3218,6186,53,71,127,21471,22718,44191
CED210,1787,1591,3382,3921,3745,7669,1509,1511,3019,733,693,1425,6171,5950,12121,2458,2222,4672,1271,1548,2818,1386,1209,2596,5117,4975,10092,284,349,631,290,429,721,581,333,922,630,799,1430,12,4,17,1802,1917,3720,1348,1822,3175,691,830,1520,197,320,523,614,1177,1792,5,7,15,2858,4156,7020,4664,6077,10745,266,271,539,329,523,855,9,3,8,606,797,1401,5115,3967,9081,84,90,179,23539,23452,46996
CED211,2148,1883,4036,5377,5046,10423,976,986,1960,690,686,1371,7040,6713,13760,3485,3182,6667,1094,1137,2238,1253,1206,2456,5840,5527,11370,311,313,625,258,384,640,662,259,920,643,946,1591,8,4,14,1879,1910,3786,1834,2135,3967,563,734,1294,292,306,601,690,1184,1869,12,6,19,3390,4367,7757,5275,6284,11560,248,222,479,430,688,1115,3,7,13,680,921,1606,2504,2864,5366,125,166,294,23624,24364,47988
CED212,1990,1804,3792,5377,5030,10407,843,795,1636,545,562,1111,6774,6395,13165,3681,3368,7050,735,721,1459,915,1017,1929,5336,5113,10447,254,374,631,211,424,639,689,307,990,641,931,1568,7,0,10,1800,2033,3835,1027,1551,2579,270,563,828,147,233,383,490,1040,1525,6,11,12,1942,3399,5338,3745,5439,9190,211,203,411,302,533,834,0,7,10,514,747,1258,3860,3870,7730,66,74,143,22276,23443,45725
CED213,1504,1332,2833,4317,4001,8318,768,712,1481,529,539,1063,5617,5249,10868,2622,2468,5093,1021,1063,2086,939,995,1930,4586,4532,9118,309,264,568,140,299,437,624,226,851,408,735,1144,10,10,16,1490,1532,3017,720,1104,1824,164,403,567,110,201,313,370,829,1195,10,8,13,1366,2543,3913,2864,4085,6943,181,119,300,235,431,671,8,13,19,422,568,990,4058,4487,8549,63,68,133,19111,20320,39425
CED214,1619,1476,3097,4115,3689,7803,1736,1654,3388,278,310,591,6138,5659,11801,3291,2962,6257,986,1168,2154,378,444,821,4659,4578,9241,578,501,1076,816,865,1680,380,209,590,792,932,1720,14,14,29,2580,2517,5102,2309,2708,5021,1408,1407,2809,293,299,591,816,1159,1970,13,17,26,4833,5587,10427,7440,8116,15559,757,627,1386,681,982,1665,22,29,52,1464,1639,3099,6217,5447,11662,200,200,398,27737,27127,54861
CED215,2862,2594,5462,7233,6812,14046,1968,1940,3908,910,923,1833,10126,9678,19812,3461,2912,6376,1662,1915,3581,940,919,1868,6080,5763,11843,466,310,776,497,582,1077,479,190,667,713,1174,1883,5,8,15,2165,2258,4416,1859,2253,4114,798,1028,1834,244,276,528,808,1368,2176,12,12,24,3732,4946,8674,5897,7213,13114,552,472,1019,629,891,1525,18,7,24,1195,1368,2563,5496,4193,9689,226,281,511,31887,31102,62990
CED216,1480,1350,2827,4017,3707,7726,1381,1418,2802,463,396,856,5868,5524,11393,2605,2485,5096,1292,1343,2642,505,523,1022,4406,4356,8758,165,236,395,105,280,389,499,379,877,437,932,1366,15,5,18,1221,1829,3048,349,663,1014,199,426,626,75,176,251,335,897,1227,3,7,14,960,2176,3139,2182,4006,6194,186,145,327,233,418,657,16,17,36,438,577,1011,6632,6014,12645,124,55,176,21129,21874,43003
CED217,1689,1641,3335,4020,3814,7833,1130,1160,2289,1379,1262,2641,6529,6244,12772,2371,2036,4409,931,1185,2116,3047,2814,5856,6349,6049,12403,248,177,421,151,278,433,308,116,424,385,620,1011,3,6,15,1093,1205,2302,2757,2892,5652,519,636,1158,341,321,656,648,1124,1776,3,6,14,4275,4975,9254,5379,6188,11565,152,126,276,329,543,866,3,6,11,486,671,1157,2289,2622,4916,161,167,323,22885,23587,46464
CED218,2093,1963,4062,5486,4997,10483,2104,2170,4271,1014,1021,2041,8614,8195,16816,4200,3882,8082,1575,1775,3349,1075,1001,2076,6861,6665,13526,476,370,838,371,466,834,542,189,732,581,855,1435,8,7,18,1971,1886,3856,2139,2824,4967,533,782,1314,257,306,561,438,756,1202,6,13,19,3368,4684,8057,5362,6576,11941,482,476,960,553,769,1318,10,7,16,1043,1257,2297,5969,4244,10213,131,179,306,30070,29086,59154
CED219,2108,2177,4290,5702,5169,10872,1692,1728,3419,899,929,1831,8311,7843,16149,3420,3403,6820,1249,1325,2574,872,995,1878,5550,5733,11285,312,292,604,252,428,683,652,287,938,609,1039,1645,10,6,15,1827,2057,3881,1043,1559,2599,330,690,1017,168,238,408,394,922,1320,4,0,8,1937,3407,5348,3772,5463,9234,339,361,699,408,688,1096,7,9,19,751,1057,1809,4349,4315,8675,92,130,226,24935,26730,51664
CED220,1484,1262,2741,2723,2508,5228,877,827,1701,983,1067,2049,4591,4406,8996,936,913,1849,1139,1027,2166,2069,2160,4227,4147,4103,8255,270,225,496,369,391,756,191,135,330,615,783,1393,5,0,9,1448,1534,2986,3087,3650,6735,1143,1448,2592,371,447,813,1141,1620,2763,13,5,18,5747,7166,12919,7206,8709,15914,221,246,468,368,585,954,3,8,14,594,841,1437,2921,3282,6205,199,228,428,21144,22835,43975
CED221,2698,2411,5107,7749,7187,14941,1455,1402,2855,976,939,1917,10202,9552,19756,4774,4617,9386,1262,1286,2553,888,908,1799,6944,6820,13764,501,639,1141,481,717,1200,617,367,980,872,1333,2211,14,6,16,2478,3064,5544,1621,2139,3763,537,877,1416,203,283,492,501,993,1499,15,10,26,2885,4312,7195,5382,7385,12767,518,536,1050,636,973,1610,14,13,30,1173,1519,2692,4455,4340,8788,133,206,342,30982,32236,63221
CED222,1988,1740,3730,4987,4547,9533,1560,1488,3048,583,598,1175,7137,6642,13780,3656,3270,6926,1357,1593,2942,737,670,1403,5759,5538,11297,740,555,1299,722,795,1521,503,226,736,813,999,1808,6,5,16,2789,2582,5373,3728,3946,7672,1646,1521,3171,350,364,713,713,919,1635,20,14,36,6460,6767,13225,9263,9365,18623,802,704,1501,700,971,1670,17,19,39,1520,1694,3211,4623,4199,8822,265,287,549,30556,29464,60021
CED223,1542,1494,3036,3981,3694,7678,1645,1643,3293,635,646,1280,6257,5996,12258,2702,2679,5386,1410,1473,2883,866,941,1811,4987,5103,10087,308,299,610,218,386,598,664,432,1095,563,1034,1597,11,7,21,1765,2162,3926,315,685,1002,185,430,617,82,202,284,423,999,1422,4,11,14,1010,2332,3347,2780,4497,7275,204,153,359,246,428,670,6,17,20,462,590,1051,5750,5580,11334,111,110,217,21882,23375,45258
CED224,1941,1872,3809,4517,4467,8976,1544,1347,2887,668,689,1351,6730,6505,13236,3031,3018,6048,1463,1295,2758,1125,1145,2273,5616,5470,11088,343,309,654,222,358,577,547,227,774,586,837,1427,7,0,5,1712,1734,3443,1776,2176,3954,426,647,1071,224,314,536,632,1087,1720,7,10,16,3075,4224,7305,4793,5965,10760,220,205,425,383,569,954,9,8,14,614,783,1400,2667,2733,5401,117,142,257,22470,23472,45947
CED225,1950,1815,3767,4988,4763,9753,1342,1367,2713,403,421,823,6749,6554,13307,3327,2921,6245,1322,1395,2723,957,1027,1978,5612,5346,10955,284,278,560,216,329,549,557,177,735,569,718,1288,10,3,7,1635,1510,3141,1948,2391,4341,624,821,1445,260,322,586,752,1300,2056,5,0,12,3593,4833,8426,5231,6342,11574,202,157,361,393,554,949,7,3,12,605,712,1322,2439,2435,4866,102,116,219,22680,23330,46010
CED226,1495,1436,2930,3993,3723,7715,1027,898,1926,1168,1342,2509,6199,5968,12161,2375,2324,4693,1374,1038,2415,3095,3343,6438,6854,6708,13558,268,212,474,258,345,597,258,107,365,492,675,1163,9,9,11,1280,1339,2618,4137,4268,8402,1066,1132,2200,494,479,968,1024,1422,2449,14,8,22,6737,7310,14046,8021,8656,16680,211,200,414,367,542,905,9,3,8,583,748,1334,2200,2343,4545,306,248,555,25658,26110,51768
CED227,2485,2275,4758,6098,5687,11787,1459,1525,2979,1366,1488,2859,8940,8719,17654,3401,3343,6743,1301,1296,2597,1529,1495,3025,6234,6136,12380,350,401,748,320,520,842,754,359,1113,680,1151,1833,5,0,8,2115,2432,4549,1310,1778,3084,425,806,1228,176,284,462,506,1118,1622,5,9,14,2420,3989,6410,4542,6431,10978,314,304,618,469,686,1157,6,11,14,796,1000,1790,3701,3895,7597,116,178,291,26814,28629,55449
CED228,2900,2599,5494,7104,6684,13787,1965,1983,3942,1596,1665,3266,10685,10356,21041,4294,3907,8205,1392,1496,2889,1075,1108,2182,6773,6524,13297,712,465,1175,668,869,1537,620,319,937,852,1431,2285,7,6,13,2857,3090,5947,2024,2391,4416,891,1306,2196,249,317,564,570,1034,1601,15,16,26,3743,5062,8802,6613,8171,14789,899,765,1665,770,1094,1861,12,13,27,1685,1870,3559,5938,5732,11669,213,329,537,34810,35582,70389
CED229,1366,1314,2681,2484,2356,4837,425,417,845,1237,1217,2450,4150,4000,8144,1335,1205,2541,312,342,661,1709,1745,3457,3362,3300,6667,319,289,608,607,721,1327,225,189,413,969,1288,2264,6,0,8,2128,2486,4613,2453,2949,5397,1469,1745,3221,350,410,757,1269,1987,3255,12,15,21,5553,7100,12650,7683,9598,17282,328,384,713,626,868,1489,16,7,25,965,1264,2232,5267,5055,10323,304,311,619,23103,24843,47946
CED230,1595,1529,3131,4558,4138,8700,1376,1419,2798,483,500,978,6422,6059,12488,3760,3611,7370,710,818,1528,428,465,888,4904,4894,9798,197,251,446,129,279,414,549,309,852,424,915,1340,12,17,20,1312,1768,3079,300,623,915,143,351,488,76,144,215,248,760,1005,6,8,14,766,1884,2646,2082,3656,5738,184,180,360,285,510,804,21,14,32,488,703,1197,6965,6657,13620,140,113,258,22604,23620,46218
CED231,1604,1543,3147,2817,2573,5391,2253,2134,4383,532,651,1182,5609,5371,10978,2274,1880,4152,1597,1619,3220,901,1012,1912,4771,4513,9291,322,254,571,287,413,697,428,134,562,497,703,1202,10,10,18,1544,1509,3051,2105,2486,4590,749,955,1700,298,314,614,830,1264,2095,13,13,23,3986,5031,9024,5540,6550,12090,246,235,485,361,547,915,4,14,16,625,796,1417,2966,2903,5866,177,167,344,21287,21848,43130
CED232,2459,2101,4561,6089,5688,11773,1654,1594,3241,605,593,1197,8362,7881,16246,3495,3469,6964,1603,1533,3135,996,980,1971,6107,5988,12094,293,275,565,192,349,541,798,303,1107,566,887,1452,11,3,16,1854,1824,3679,1093,1603,2700,295,657,951,164,205,366,502,1127,1633,5,7,12,2066,3592,5658,3923,5428,9353,203,216,423,399,565,964,4,5,7,609,792,1406,3268,3292,6553,74,87,158,24808,25571,50378
CED233,1039,991,2028,2430,2342,4768,353,330,683,342,379,719,3128,3047,6180,1547,1644,3196,318,287,601,536,621,1163,2411,2550,4968,663,727,1395,1111,1553,2670,333,290,614,1288,1573,2861,6,5,11,3399,4153,7547,7743,9695,17435,3739,4045,7787,626,782,1402,2055,2749,4806,23,35,60,14190,17304,31492,17602,21471,39078,724,965,1692,958,1250,2209,15,11,23,1703,2229,3927,8242,7479,15723,744,630,1375,34875,38397,73274
CED234,1818,1637,3457,5234,4774,10005,1081,1073,2151,638,734,1373,6962,6580,13540,3594,3181,6772,1252,1188,2440,1433,1402,2827,6276,5775,12054,346,231,579,369,465,835,483,196,682,613,958,1570,6,3,11,1824,1851,3671,2999,3199,6196,877,948,1831,365,370,733,721,1081,1799,4,15,24,4969,5604,10582,6807,7467,14275,276,281,564,514,804,1322,9,12,15,806,1094,1899,2586,2822,5410,262,262,527,25516,25646,51160
CED235,1464,1320,2787,4216,3895,8106,947,874,1814,584,562,1148,5749,5328,11076,2872,2763,5635,675,787,1465,746,808,1559,4302,4357,8661,168,209,381,91,286,376,543,316,858,426,800,1226,16,7,27,1243,1621,2866,400,779,1182,154,415,571,60,166,228,283,837,1119,6,11,20,902,2214,3118,2151,3842,5993,174,137,316,215,373,591,8,7,17,401,522,927,4606,4692,9302,88,77,166,18767,20139,38904
CED236,1633,1422,3054,4271,3860,8133,1850,1956,3809,337,320,660,6466,6147,12615,2619,2492,5109,1860,1847,3707,595,625,1222,5077,4968,10047,233,280,517,130,353,482,694,454,1152,495,968,1467,22,13,35,1577,2077,3652,357,757,1117,156,372,535,70,176,241,341,777,1114,4,9,14,928,2087,3018,2505,4180,6682,173,165,344,269,492,762,21,5,26,465,663,1130,6470,5810,12274,78,84,162,22698,23274,45971
CED237,2089,1877,3972,4912,4479,9394,2205,2137,4343,560,560,1126,7688,7200,14886,3456,3270,6726,1731,1648,3373,458,507,962,5649,5436,11083,518,399,916,445,653,1098,543,232,773,687,889,1576,13,9,19,2203,2181,4386,1960,2580,4536,849,1005,1851,190,267,456,504,813,1312,15,12,27,3504,4676,8189,5736,6875,12608,507,510,1020,547,728,1271,18,5,23,1069,1247,2310,4023,3990,8009,160,179,339,26407,26799,53204
CED238,1538,1417,2962,3748,3479,7228,1779,1724,3498,321,287,601,5850,5488,11343,2689,2498,5184,1546,1724,3272,543,479,1017,4780,4696,9473,164,250,417,143,296,441,637,371,1005,523,846,1372,16,11,31,1480,1773,3257,315,675,988,191,405,594,65,152,211,331,831,1165,0,9,12,901,2064,2975,2388,3846,6234,136,122,260,199,367,564,7,15,28,338,504,845,6258,5002,11260,87,75,161,21241,21030,42274
CED239,1687,1537,3228,3391,3250,6643,1245,1181,2428,603,686,1291,5243,5129,10379,2361,2139,4499,820,956,1778,609,624,1235,3801,3726,7526,580,383,960,584,652,1238,451,213,661,759,923,1680,16,8,19,2379,2171,4553,2042,2701,4744,1430,1712,3145,304,383,691,1076,1906,2978,10,18,31,4866,6733,11596,7262,8910,16171,399,323,716,458,620,1080,8,9,17,861,950,1814,3499,3364,6867,139,145,283,22501,23770,46268
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,49,384,0,0,0,337,49,389
CED301,1799,1648,3442,7171,6701,13874,1147,1202,2349,1064,1026,2095,9401,8958,18358,4482,4288,8774,1398,1294,2692,1250,1374,2631,7139,6974,14113,281,325,598,218,473,695,396,445,834,691,1240,1926,9,8,17,1593,2490,4084,786,1338,2123,362,829,1194,200,397,593,650,1499,2148,5,3,7,1998,4069,6069,3601,6566,10163,317,330,642,451,720,1170,9,10,8,767,1051,1828,6312,5447,11757,132,133,262,29140,30782,59922
CED302,1723,1562,3286,4819,4755,9573,1614,1474,3090,935,942,1876,7377,7178,14552,3309,3202,6510,1750,1367,3118,1273,1431,2710,6341,6008,12349,263,258,515,241,401,640,358,212,570,547,986,1529,9,4,14,1411,1860,3270,2126,2506,4638,646,870,1520,337,389,723,758,1350,2108,0,8,10,3872,5120,8992,5284,6991,12277,245,227,470,392,616,1005,3,8,8,642,847,1484,2521,2496,5015,158,189,342,24045,25268,49315
CED303,1448,1263,2711,4415,4125,8540,1155,1070,2224,1058,1029,2093,6641,6240,12878,3288,2993,6279,1043,1011,2050,1591,1656,3248,5927,5677,11597,252,255,506,129,265,390,512,331,841,532,926,1458,10,3,13,1424,1787,3208,1036,1494,2535,252,526,778,180,286,468,468,1031,1500,4,4,9,1943,3343,5293,3375,5134,8507,179,197,377,322,542,864,8,9,7,504,749,1250,2600,2946,5547,77,99,176,20571,22107,42674
CED304,1266,1273,2546,3331,3427,6756,1236,1249,2489,394,416,804,4968,5090,10062,1644,1491,3138,1707,1412,3117,1296,1595,2898,4654,4503,9153,441,432,876,712,961,1681,380,343,724,1021,1355,2378,9,7,15,2565,3111,5673,3960,5206,9167,2043,2405,4449,618,829,1446,1847,2410,4263,11,18,20,8483,10865,19346,11052,13986,25038,390,474,863,609,880,1492,12,10,15,1010,1364,2371,5987,5277,11267,631,498,1126,29579,31983,61565
CED305,1186,1053,2234,4917,4553,9474,1626,1625,3250,499,562,1063,7061,6751,13804,3006,2779,5783,2009,1802,3811,711,813,1516,5731,5403,11131,167,119,290,88,155,243,330,280,620,431,875,1306,7,4,13,1028,1433,2466,407,810,1210,262,528,789,189,375,565,531,1174,1705,0,3,7,1389,2884,4274,2421,4323,6752,155,190,351,425,522,946,4,6,9,589,712,1300,15074,7322,22395,174,104,273,32223,25675,57893
CED306,1193,1083,2279,4480,4132,8613,1662,1579,3240,643,674,1319,6786,6393,13181,3465,3183,6641,1541,1629,3168,661,627,1288,5666,5451,11119,190,129,317,143,192,337,389,311,693,426,966,1393,9,10,21,1157,1608,2759,371,808,1180,202,483,687,180,315,496,515,1132,1645,5,8,14,1271,2751,4014,2426,4360,6789,174,176,356,366,560,930,5,3,12,548,747,1298,7931,6725,14656,458,311,767,25011,25073,50086
CED307,1646,1461,3104,5389,5080,10474,1230,1144,2376,1112,1008,2123,7738,7253,14993,3872,3449,7319,1378,1242,2616,1402,1471,2875,6666,6168,12835,216,243,464,172,325,499,474,333,805,556,987,1545,3,3,5,1420,1891,3316,1367,1833,3201,380,684,1059,271,350,620,698,1330,2024,6,3,13,2720,4201,6923,4145,6093,10244,209,178,380,365,573,941,11,9,10,578,759,1331,2127,2271,4396,79,77,157,22985,24077,47064
CED308,1920,1780,3703,5420,5056,10483,1125,1054,2180,1550,1530,3082,8113,7650,15764,4261,4017,8289,647,660,1310,1602,1582,3184,6522,6279,12798,344,337,681,324,596,916,499,412,911,686,1411,2094,5,5,13,1855,2762,4616,1495,2137,3631,681,1077,1762,240,391,626,586,1227,1812,8,4,18,3009,4839,7856,4877,7617,12495,313,310,624,399,706,1104,3,3,6,719,1015,1734,5097,5448,10547,225,206,427,27472,30003,57471
CED309,1497,1315,2811,4804,4479,9287,856,874,1731,1271,1239,2509,6937,6599,13534,3331,3204,6534,843,860,1703,1533,1556,3087,5709,5631,11343,226,219,451,198,337,535,390,288,684,529,1083,1614,3,11,16,1347,1942,3287,800,1496,2296,506,979,1481,218,313,531,579,1208,1788,0,3,9,2103,3998,6104,3453,5949,9402,209,203,418,373,626,1000,9,11,19,593,837,1430,4323,4564,8892,168,150,323,22688,25053,47738
CED310,1406,1278,2687,5033,4740,9773,741,777,1515,1029,1104,2132,6824,6630,13453,3776,3656,7431,717,791,1517,1299,1206,2503,5799,5658,11453,255,214,472,191,321,515,426,300,718,484,1036,1521,11,5,14,1365,1879,3242,1097,1934,3029,544,1084,1628,206,344,547,614,1329,1947,8,10,19,2465,4701,7166,3831,6589,10417,188,220,408,408,616,1023,7,6,16,606,845,1446,4262,4560,8825,262,213,478,22987,25778,48762
CED311,1175,1121,2296,5499,5238,10737,1310,1340,2645,484,527,1006,7309,7106,14412,4178,3933,8110,931,976,1902,528,454,988,5639,5371,11015,157,123,281,122,165,290,325,287,605,390,941,1334,8,8,17,1001,1525,2521,174,447,626,126,444,569,106,272,372,380,1019,1404,5,5,6,794,2189,2984,1793,3716,5512,192,158,349,342,543,879,4,6,7,535,703,1244,10031,6755,16782,786,166,957,27273,24942,52213
CED312,1971,1834,3802,6448,6192,12643,1128,1173,2297,1520,1550,3074,9117,8935,18049,4571,4373,8947,1102,1110,2212,1434,1496,2930,7121,6993,14115,301,355,652,309,638,939,540,448,986,719,1288,2005,3,5,15,1865,2731,4595,986,1550,2535,458,830,1292,206,378,591,453,1133,1584,9,10,15,2113,3904,6011,3984,6644,10630,336,369,705,457,782,1235,15,4,18,802,1156,1958,5915,6029,11947,124,133,256,29027,31721,60748
CED313,1368,1328,2698,3633,3585,7214,1705,1658,3366,559,474,1030,5895,5724,11617,2336,2080,4419,1649,1707,3357,1293,1101,2394,5289,4900,10184,430,416,846,582,774,1356,352,274,624,822,1183,2007,6,7,16,2191,2658,4849,3887,4840,8729,1915,2174,4092,533,686,1219,1543,2300,3843,7,11,19,7890,10011,17902,10096,12678,22782,346,389,737,520,680,1203,6,5,6,867,1073,1943,4736,4646,9381,404,298,695,28656,30647,59300
CED314,1270,1239,2506,4567,4284,8851,1551,1534,3089,1017,1052,2070,7144,6886,14030,3326,3241,6561,1517,1487,3006,1584,1643,3227,6435,6375,12813,357,336,691,286,338,624,474,439,913,662,1176,1839,12,14,19,1783,2301,4089,716,1236,1954,526,770,1300,267,438,704,761,1464,2228,8,6,11,2279,3910,6194,4075,6232,10305,277,245,518,427,652,1081,3,16,16,713,912,1619,4137,4146,8283,91,93,186,23863,25881,49747
