CED_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED406,29,43,96,153,197,379,901,1111,759,3665,4,11,29,46,57,61,80,66,37,404,286,295,686,747,647,636,718,740,515,5274,3904,9348,20681,21584,20983,20640,18315,9341,3583,128383
CED407,41,62,248,383,400,558,1303,1706,903,5602,11,41,215,341,449,399,282,176,110,2022,291,293,753,744,597,518,632,817,631,5292,4011,11030,23074,23711,21616,20011,17036,10418,3807,134712
CED408,32,21,83,128,138,267,881,1273,852,3685,7,8,22,31,40,35,43,40,31,257,341,312,664,742,881,1028,1146,966,581,6664,3697,7894,15609,19324,22835,24066,23860,12986,4267,134538
CED409,86,128,631,876,711,1067,1732,1684,863,7781,13,71,445,757,917,694,467,283,152,3800,558,652,1584,1367,1174,1113,1072,957,617,9096,5021,12502,27647,24194,21990,21542,15000,8409,3433,139733
CED410,21,17,87,136,197,339,1161,2253,1611,5829,7,28,95,97,124,163,208,304,281,1304,225,314,833,731,628,561,642,880,751,5574,3758,11559,24188,24969,23620,21503,18918,13225,6400,148134
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34
CED501,61,52,122,190,259,421,741,791,406,3048,7,15,57,108,128,89,90,62,27,588,494,633,1414,1238,955,764,756,766,462,7474,5362,10736,25044,24955,22382,18656,13060,7328,2465,129988
CED502,65,83,290,496,496,658,959,790,431,4271,12,48,307,359,386,346,243,165,82,1948,529,590,1429,1392,1063,818,792,700,512,7815,4906,11127,26359,28690,21075,17317,13631,6886,2390,132378
CED503,58,34,75,146,217,378,886,1264,696,3750,9,11,32,49,65,65,75,61,30,388,383,343,783,811,885,771,951,1066,727,6722,4299,7652,16758,18013,18960,19351,18246,10842,3622,117744
CED504,36,51,362,581,699,929,1532,1704,883,6779,16,33,301,516,571,582,455,344,244,3067,391,569,1298,1243,941,831,843,755,396,7271,4399,11407,26151,24769,21744,20747,16945,9325,3153,138639
CED505,11,10,35,66,83,130,266,521,524,1657,0,8,38,41,44,70,58,53,54,370,302,366,1042,923,673,615,877,924,785,6493,4583,10586,22450,23192,22531,18821,15869,10580,5072,133685
CED506,154,100,286,337,530,855,1486,1417,533,5699,24,35,102,110,163,150,164,166,83,1002,1431,2372,7967,7632,7307,6243,3642,1619,483,38686,6104,12680,38177,37803,36515,36596,27808,10426,2409,208527
CED507,33,48,126,133,178,301,743,1055,686,3308,7,11,72,41,53,72,55,55,50,417,434,360,1111,1065,1168,1156,1138,864,601,7909,3898,6621,16889,20059,20665,20114,17464,9004,3283,118001
CED508,19,31,64,110,232,391,932,1281,680,3744,8,17,47,61,84,122,143,175,144,804,300,435,1077,1010,870,751,836,818,704,6790,3867,9986,23809,24493,21823,18748,14330,7558,3141,127747
CED509,52,38,150,232,294,378,706,837,476,3173,5,19,92,183,184,157,141,92,64,941,359,379,1059,1047,917,741,742,678,533,6460,4703,9761,23153,24572,22362,18881,14205,7881,2739,128250
CED510,23,9,44,67,85,164,435,544,420,1783,8,3,29,29,38,55,45,69,43,317,180,205,507,533,536,461,538,628,523,4110,4267,8981,15631,21155,22656,21383,17760,8029,3051,122919
CED511,66,67,180,244,360,597,1145,1392,772,4821,15,20,68,123,125,118,107,84,59,718,887,1336,3690,3572,3673,3331,2289,1454,666,20896,4835,9194,23417,23713,25675,26858,20356,10277,3535,147864
CED512,49,35,118,197,243,352,529,609,296,2421,6,17,77,134,201,183,133,82,41,871,379,349,812,853,727,559,489,547,384,5093,5275,10844,23823,25717,23452,16987,11409,6124,2074,125698
CED513,30,32,126,173,251,406,738,1209,1015,3983,7,24,111,101,135,166,160,196,209,1107,311,840,2437,1800,1424,1192,1047,857,533,10439,3359,12228,36571,29663,22733,19592,14666,8282,4262,151357
CED514,40,39,208,243,332,432,742,973,653,3662,12,30,187,208,220,227,181,144,82,1281,406,906,2125,1575,1234,1087,959,1049,1088,10432,4634,15069,34860,28092,21761,19437,15321,8329,4030,151533
CED515,39,34,67,144,195,352,695,863,686,3075,6,19,59,115,120,138,194,141,136,921,343,267,708,734,639,627,718,822,777,5632,5119,11371,19135,24956,24225,21532,18564,10320,4807,140024
CED597,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,44,223,434,399,218,49,8,0,1387,20,116,521,957,893,533,176,32,0,3245
CED601,27,53,168,174,194,384,692,788,659,3149,7,26,102,136,170,112,65,71,31,715,307,437,880,642,666,780,830,828,499,5862,2690,6591,15077,12660,13626,14249,12459,7231,2744,87337
CED602,35,36,87,119,204,419,912,1022,902,3725,6,14,43,28,40,54,61,30,18,302,303,302,777,709,808,886,1053,926,435,6216,2676,5572,12711,11713,13838,15520,13827,7952,2759,86566
CED603,30,35,140,137,155,254,430,681,585,2450,7,12,110,99,132,112,103,58,35,676,222,335,1106,687,595,633,710,642,383,5302,2364,7620,21184,14430,13341,13032,10997,6322,2709,91999
CED604,35,21,85,96,112,266,477,554,456,2105,3,12,54,35,45,47,47,35,10,286,191,242,613,543,486,547,652,557,325,4156,2310,5542,14586,14210,13632,14218,12775,7102,2594,86969
CED605,51,26,84,99,201,471,947,913,587,3376,5,8,33,26,23,45,44,25,38,248,380,334,823,807,870,1053,1107,824,321,6526,2837,5611,13083,12733,14378,17079,14764,7232,2072,89790
CED697,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,25,31,25,7,0,0,112,3,15,62,80,90,75,33,3,0,360
CED701,506,465,977,999,1039,993,1108,481,113,6677,73,96,178,222,276,322,352,178,75,1765,847,1283,3609,2928,2951,2893,2179,578,114,17381,5213,9621,24570,20746,18516,18090,12887,3278,535,113465
CED702,48,28,142,213,338,452,682,529,170,2608,0,15,70,88,111,129,152,90,42,706,509,806,2294,1760,1625,1532,1107,434,125,10191,2672,7266,22007,18152,15157,13287,9503,3463,731,92236
CED797,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,9,17,43,40,34,11,3,0,156,11,27,58,105,120,106,42,10,0,482
CED801,25,33,103,117,168,330,624,684,361,2443,11,11,41,66,76,88,77,97,58,514,226,303,863,733,543,465,568,530,298,4518,3225,8834,22203,21855,19497,17647,13772,7461,2543,117040
CED802,24,13,67,95,121,191,356,510,411,1782,0,18,86,52,68,57,76,82,56,501,710,1183,1664,1005,828,752,697,522,410,7775,5351,15213,27359,20324,17328,14607,11596,6943,3292,122013
CED803,28,25,125,191,207,330,561,506,228,2206,8,28,145,115,126,151,110,104,40,826,251,435,1180,865,569,351,336,266,122,4361,3404,10549,28281,27247,19569,12950,9862,4831,1407,118100
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
