CED_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
CED408,64849,160911,2725,4064,425,842,3154,4910,498,698,101,137,18,31,0,0,28,70,638,934,352,555,153,219,13,18,61,121,580,910,235,443,69458,168103,13475,..,82931,168103
CED409,58464,160998,9541,18397,977,2012,10515,20404,1303,2104,86,122,0,0,0,0,18,39,1406,2263,291,425,104,129,22,21,16,24,430,604,176,359,70987,184629,4202,..,75189,184629
CED410,51437,136631,10531,20237,4706,10076,15239,30312,7491,12855,450,659,471,757,123,198,40,99,8577,14573,59,83,27,46,0,0,54,123,139,252,192,381,75578,182147,5556,..,81133,182147
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED501,60456,162792,2743,4268,717,1187,3462,5455,1476,2112,431,675,330,493,34,54,51,123,2322,3458,184,273,113,167,77,86,60,91,429,608,88,169,66760,172477,5734,..,72489,172477
CED502,58024,163804,5917,11063,552,1076,6472,12140,581,1057,327,559,0,0,0,0,82,180,991,1796,222,289,5,13,68,68,79,168,376,536,81,146,65938,178421,4443,..,70379,178421
CED503,54057,139160,4178,6426,1161,1958,5340,8381,515,749,203,378,212,385,170,321,80,154,1186,1989,368,544,404,563,82,141,61,125,920,1374,113,205,61609,151111,9927,..,71531,151111
CED504,54035,146746,12612,24928,1662,3397,14274,28321,710,1101,0,0,17,20,0,0,67,145,790,1267,0,0,0,0,54,63,5,4,57,62,60,122,69220,176515,4497,..,73717,176515
CED505,39598,109648,8538,16381,7123,14941,15657,31323,4356,7178,4181,6653,3885,6237,963,1645,34,76,13417,21792,0,10,0,0,24,20,17,35,41,63,72,125,68794,162949,7268,..,76057,162949
CED506,62176,163344,5581,10540,1415,2802,6995,13340,1572,2578,242,354,207,336,195,282,30,53,2252,3600,10461,21111,788,1401,859,1517,262,660,12370,24696,2099,3731,85894,208708,17751,..,103646,208708
CED507,54146,136582,4696,7507,861,1618,5560,9117,596,928,123,194,42,67,38,62,48,93,841,1340,573,937,533,883,242,292,66,132,1413,2249,194,366,62155,149660,11690,..,73849,149660
CED508,48760,130361,7529,13744,3012,5838,10541,19585,1338,2004,1818,2770,2505,4046,407,638,134,262,6199,9724,26,34,440,666,173,181,44,75,673,962,119,182,66286,160817,5543,..,71832,160817
CED509,56247,154930,4016,7160,870,1572,4881,8734,374,602,375,582,110,181,63,91,88,176,1019,1636,120,194,176,244,409,435,45,95,746,972,123,253,63019,166527,4475,..,67489,166527
CED510,52201,144292,4111,7273,1560,3172,5671,10445,505,727,602,935,635,1045,0,0,89,168,1830,2872,170,288,40,76,129,143,23,59,364,566,50,89,60114,158263,3459,..,63579,158263
CED511,63332,151465,4616,7595,495,922,5117,8517,635,910,11,17,0,0,0,3,38,84,690,1014,918,1506,808,1207,375,463,119,210,2217,3390,661,1153,72020,165537,15567,..,87582,165537
CED512,57806,164004,3240,5823,503,921,3740,6746,62,104,154,257,3,7,0,0,59,135,285,507,130,157,24,34,55,81,15,40,224,310,45,77,62103,171646,3906,..,66012,171646
CED513,38434,96641,12358,22880,6778,13634,19137,36518,6015,9428,4809,7662,6735,10965,6191,10655,38,59,23787,38771,3,10,0,0,439,441,74,148,525,596,140,237,82014,172760,10670,..,92686,172760
CED514,48936,126845,11390,22955,7248,14619,18636,37575,3022,5182,2285,3630,2476,4018,2135,3648,54,107,9966,16578,87,154,120,170,94,109,34,85,333,526,163,278,78038,181794,8550,..,86586,181794
CED515,54756,155547,6904,13335,1421,3322,8322,16659,1350,2448,314,463,670,1133,186,302,85,194,2607,4530,3,3,0,3,15,15,18,37,30,58,74,153,65791,176945,4640,..,70431,176945
CED597,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,5,12,8,23,13,37,0,..,13,37
CED601,38811,94178,2694,4425,906,1934,3603,6363,2534,3982,118,194,36,50,11,26,119,231,2824,4484,109,147,27,52,70,89,127,234,334,527,111,197,45682,105744,5186,..,50865,105744
CED602,42231,98565,3260,4674,409,677,3673,5349,228,364,50,50,50,80,0,0,18,53,349,549,284,447,170,300,75,98,80,171,619,1018,125,219,46989,105697,5416,..,52400,105697
CED603,34172,86789,1867,3317,1897,3873,3761,7191,5186,9347,1041,1749,634,1113,31,47,118,233,7019,12487,19,34,47,74,98,96,158,372,325,579,151,281,45425,107323,3639,..,49070,107323
CED604,41221,102799,1431,2171,677,1295,2108,3464,433,686,76,119,0,0,0,0,34,76,548,887,156,285,151,236,16,26,59,137,383,685,87,169,44337,108002,4278,..,48615,108002
CED605,43373,103965,981,1511,251,534,1230,2046,1651,2717,0,0,0,0,0,0,29,67,1677,2784,301,475,123,244,47,82,81,150,548,955,166,301,46998,110059,10653,..,57657,110059
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED701,28317,95509,3915,9104,1207,2579,5119,11684,1082,1999,229,460,215,472,0,0,34,81,1561,3014,4977,10435,632,1218,807,1607,69,134,6484,13392,1777,3332,43257,126932,6587,..,49839,126932
CED702,23580,70581,2626,5023,2350,5199,4973,10221,4384,8802,2028,4297,3394,7141,2959,5917,25,60,12791,26212,777,1626,139,256,238,344,19,43,1170,2274,268,401,42780,109687,3950,..,46727,109687
CED797,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,3,7,12,0,..,7,12
CED801,42483,117867,5564,10513,4133,8970,9700,19480,1258,2371,1410,2752,2376,4268,1274,2231,191,393,6510,12012,9,10,85,137,0,9,7,9,99,163,83,155,58876,149682,3330,..,62205,149682
CED802,27908,77243,3304,6299,6793,15177,10090,21479,4129,7331,4771,8256,7865,13055,3816,6458,304,582,20890,35681,41,67,151,239,56,50,6,11,248,369,138,246,59269,135020,5850,..,65116,135020
CED803,39785,117880,5467,11329,4899,12277,10369,23600,642,1188,2021,3994,3418,6514,1610,3106,26,73,7712,14881,14,29,3,9,0,3,3,18,24,53,74,174,57967,156588,3011,..,60976,156588
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
