SOSR_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SOSR321,7354,3616,3216,3354,3710,3657,2805,1081,146,28940,883,670,655,910,1325,1932,2204,1107,216,9903,51,80,106,186,405,725,1143,657,132,3476,3,13,17,48,139,448,785,484,138,2076,935,766,772,1146,1873,3102,4128,2249,480,15457,1207,709,896,843,902,829,709,370,68,6517,9498,5097,4887,5341,6482,7583,7641,3697,690,50918,6903,3111,3256,3546,3709,3779,2657,887,172,28028,649,822,966,1183,1532,1998,2058,1057,259,10522,58,139,243,309,542,953,1069,545,184,4035,3,9,45,81,216,576,649,432,180,2190,708,970,1249,1572,2292,3526,3777,2035,627,16752,1089,579,567,564,631,699,649,316,94,5178,8705,4658,5073,5680,6632,8001,7087,3236,889,49957,14263,6730,6468,6901,7424,7430,5468,1969,319,56967,1533,1494,1615,2096,2860,3929,4262,2157,470,20429,106,223,346,495,948,1680,2208,1201,314,7513,10,24,63,135,354,1022,1431,926,322,4268,1648,1742,2023,2720,4161,6626,7902,4279,1104,32210,2295,1283,1465,1399,1533,1524,1361,676,158,11696
SOSR322,3062,1559,1620,1528,1698,2063,1670,514,84,13795,330,226,290,381,587,1062,1198,571,94,4738,24,25,56,57,167,397,632,363,67,1785,5,0,7,20,86,250,411,270,55,1103,361,254,352,462,841,1706,2237,1207,213,7630,567,258,295,334,392,495,440,201,32,3013,3996,2067,2264,2323,2935,4262,4348,1923,334,24441,3068,1336,1561,1469,1589,1999,1436,468,83,13018,272,332,417,458,657,1088,1103,491,109,4920,14,67,86,117,225,453,561,265,87,1893,3,4,13,48,120,255,327,210,65,1038,288,400,509,620,1000,1796,1992,968,268,7856,545,222,265,258,303,412,373,153,45,2576,3903,1963,2338,2348,2897,4209,3796,1595,400,23453,6133,2896,3177,2995,3289,4064,3108,985,166,26818,604,556,700,842,1243,2149,2299,1059,205,9664,44,90,145,172,393,852,1192,630,158,3679,5,7,18,62,203,502,735,483,119,2146,655,655,868,1082,1845,3501,4227,2176,476,15480,1109,472,559,597,699,909,809,361,82,5595
SOSR331,32385,18204,15151,17690,21519,20688,13641,4484,635,144398,3539,2950,2899,4040,6316,9535,9874,4543,830,44533,199,314,409,771,1595,3314,4623,2525,488,14236,9,29,69,185,600,1744,2815,1852,421,7722,3750,3293,3374,5001,8510,14592,17312,8915,1738,66492,4771,3824,5198,5446,6160,5497,3696,1615,295,36503,40903,25322,23724,28136,36188,40774,34645,15015,2673,247391,30905,15476,13898,16857,20352,19102,11699,3670,579,132544,2604,3423,3749,4904,6889,9246,8515,3635,791,43752,163,547,804,1265,2257,3559,3908,1882,465,14842,12,49,123,336,947,2026,2344,1384,397,7614,2773,4016,4678,6503,10092,14833,14762,6897,1654,66202,4254,2830,2971,3196,3826,3933,2956,1270,258,25492,37932,22319,21550,26557,34269,37865,29417,11838,2494,224238,63292,33680,29051,34552,41874,39791,25340,8151,1216,276939,6149,6368,6646,8942,13208,18783,18390,8175,1622,88282,359,865,1210,2034,3851,6874,8524,4409,946,29075,22,70,198,521,1543,3768,5152,3235,821,15334,6529,7305,8053,11500,18602,29423,32075,15814,3390,132696,9021,6655,8168,8644,9983,9432,6649,2887,555,61993
SOSR379,0,5,19,25,24,6,3,0,0,89,0,0,5,0,6,3,4,0,0,21,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,5,10,6,3,5,0,0,26,0,4,42,72,44,16,12,0,0,194,6,17,69,102,77,26,14,0,0,306,0,0,4,3,3,4,0,0,0,21,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6,12,3,0,0,0,0,0,29,0,13,23,7,3,5,0,0,0,53,0,12,27,24,28,7,3,0,0,103,0,0,6,4,6,4,4,0,0,24,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,6,14,6,7,5,0,0,32,0,13,60,75,43,16,12,0,0,220
SOSR401,91309,60730,66755,59211,49407,37744,22319,9095,2579,399148,9766,10761,13202,14171,15686,18612,18224,10435,3716,114581,560,1239,2141,2643,4056,6492,8347,6115,2649,34240,36,104,291,583,1469,3253,5369,4854,2624,18584,10364,12101,15636,17401,21207,28349,31942,21403,8986,167400,7093,5194,5646,5280,5122,4291,2806,1761,929,38140,108763,78031,88040,81893,75735,70387,57073,32262,12494,604691,88736,53234,62640,58244,48258,39797,25677,10713,3626,390930,7071,13844,16855,16364,17263,19926,20404,13564,6392,131693,536,2561,4173,4230,5572,7965,9920,7614,4632,47199,31,189,592,1174,2572,4646,6105,5813,4519,25640,7632,16587,21617,21773,25407,32547,36427,26991,15545,204531,6534,4678,4872,4792,4609,4078,3176,2411,1586,36742,102912,74506,89134,84806,78270,76421,65282,40119,20757,632198,180046,113971,129396,117456,97659,77538,48000,19810,6210,790083,16838,24602,30059,30535,32951,38540,38631,24003,10111,246269,1095,3801,6315,6875,9626,14456,18264,13728,7279,81436,68,294,881,1759,4040,7904,11470,10666,7146,44221,17996,28697,37259,39171,46611,60899,68372,48396,24533,371929,13634,9877,10518,10072,9729,8374,5987,4174,2515,74880
SOSR412,7431,4301,4234,3661,3668,2922,1721,641,200,28790,1050,1044,1233,1126,1310,1621,1430,825,262,9907,71,162,210,248,375,617,740,529,192,3144,4,8,33,62,162,351,526,495,220,1860,1123,1214,1478,1437,1850,2588,2692,1847,677,14909,794,470,471,438,502,384,271,171,99,3599,9353,5982,6185,5543,6019,5896,4684,2661,976,47293,7192,3750,3813,3601,3705,2916,1848,872,218,27920,816,1301,1586,1440,1477,1720,1553,1120,467,11483,60,256,429,432,647,733,832,709,325,4423,0,19,61,133,287,497,592,618,340,2553,877,1576,2075,2000,2410,2955,2981,2449,1133,18464,682,408,393,392,383,410,279,239,153,3335,8754,5734,6281,5997,6497,6277,5111,3556,1507,49712,14626,8048,8048,7267,7372,5834,3571,1516,414,56700,1874,2337,2821,2563,2795,3343,2981,1944,728,21388,128,417,636,679,1017,1356,1568,1238,522,7564,4,30,98,196,449,845,1119,1114,561,4414,2003,2792,3552,3441,4261,5546,5672,4297,1817,33370,1477,876,859,831,887,795,551,409,251,6935
SOSR413,6125,3463,3227,3040,3213,2910,2150,1035,243,25405,804,755,803,880,1129,1488,1819,1165,368,9210,50,119,148,168,316,564,823,719,232,3132,4,13,21,50,135,332,535,552,228,1879,856,891,972,1102,1581,2388,3175,2431,827,14223,728,562,855,736,622,545,382,216,100,4739,7714,4913,5053,4879,5414,5840,5700,3684,1169,44370,6077,3049,3048,2970,3266,3012,2496,1107,342,25360,638,996,1087,1101,1297,1624,1970,1302,584,10594,37,215,318,330,476,684,978,753,398,4194,3,28,50,108,241,486,621,599,338,2469,677,1239,1460,1542,2015,2797,3570,2651,1322,17261,729,381,381,392,423,387,386,259,161,3487,7480,4667,4888,4903,5698,6192,6454,4014,1819,46107,12205,6510,6279,6018,6478,5918,4641,2145,581,50769,1440,1750,1890,1982,2428,3110,3787,2464,949,19802,85,333,464,493,795,1252,1801,1471,628,7328,9,37,78,160,371,819,1153,1152,569,4347,1539,2123,2430,2640,3592,5181,6748,5081,2147,31477,1456,944,1234,1129,1045,936,766,466,261,8229
SOSR414,2074,1099,1158,1109,1073,970,850,449,81,8854,285,250,321,276,380,499,720,418,133,3281,14,33,44,63,100,180,341,290,108,1180,0,0,12,17,43,96,199,234,81,687,302,281,370,355,524,770,1267,942,330,5148,149,106,107,99,121,122,117,89,32,953,2523,1492,1636,1561,1722,1863,2233,1481,443,14953,2055,965,1025,1114,1053,1078,1006,455,120,8867,220,331,414,398,456,540,807,526,180,3874,11,64,96,118,146,244,414,295,143,1542,0,10,18,32,88,142,244,226,142,903,231,398,527,550,689,931,1466,1052,473,6308,190,85,113,110,113,128,153,115,56,1060,2469,1456,1663,1770,1862,2129,2622,1622,641,16238,4124,2066,2183,2216,2130,2045,1859,905,199,17724,502,581,735,677,835,1036,1527,945,313,7155,25,96,137,184,250,427,758,586,261,2723,0,5,29,46,138,229,448,462,229,1585,529,683,898,910,1215,1696,2728,1998,799,11460,341,192,221,211,235,251,271,205,86,2015
SOSR415,8072,4345,4495,4136,4246,4019,3024,1208,294,33839,1080,886,1026,1159,1442,2142,2434,1396,482,12047,66,117,190,250,447,780,1182,828,309,4171,9,8,29,63,169,472,789,728,328,2596,1148,1010,1252,1477,2054,3393,4406,2955,1115,18812,800,534,496,539,631,663,530,405,146,4755,10022,5894,6237,6155,6934,8071,7969,4570,1560,57404,8142,3547,4161,4094,4108,3918,3097,1377,467,32909,783,1134,1399,1392,1766,2199,2506,1593,712,13487,48,209,356,419,591,919,1184,1034,540,5313,0,8,50,132,290,615,771,781,526,3178,834,1362,1796,1944,2643,3733,4463,3415,1787,21981,812,395,479,454,537,545,573,441,247,4488,9791,5301,6439,6491,7291,8194,8139,5231,2501,59377,16211,7890,8653,8232,8354,7941,6123,2587,760,66750,1867,2021,2424,2551,3202,4343,4940,2992,1193,25531,112,330,542,675,1033,1698,2369,1862,853,9480,9,20,84,194,457,1084,1563,1514,855,5776,1981,2368,3049,3421,4704,7126,8872,6369,2902,40792,1618,933,977,992,1172,1203,1106,850,395,9247
SOSR421,2174,1128,1088,1065,1173,1237,959,335,82,9229,238,215,261,301,390,669,724,368,122,3286,19,30,35,60,107,220,370,225,93,1155,0,0,6,19,34,135,215,199,97,698,259,242,299,379,533,1020,1304,793,310,5137,231,143,147,171,195,209,194,117,60,1467,2661,1510,1533,1614,1898,2468,2457,1241,452,15834,2125,966,1070,1053,1152,1213,953,369,121,9031,206,294,325,378,413,662,673,437,217,3602,14,51,86,93,166,264,321,229,135,1365,3,0,13,25,56,166,232,166,143,805,223,343,423,499,641,1090,1226,833,494,5777,217,126,122,150,158,184,180,125,95,1363,2571,1436,1620,1698,1951,2491,2361,1325,711,16166,4301,2097,2161,2118,2325,2449,1914,699,200,18261,441,505,582,680,807,1327,1395,807,336,6883,34,75,123,151,274,482,696,453,229,2520,3,0,18,44,90,302,444,360,234,1505,481,582,725,874,1170,2113,2532,1618,804,10905,446,266,270,320,356,397,371,245,161,2831
SOSR422,1207,690,643,579,716,806,623,244,44,5545,142,123,173,183,278,456,508,247,67,2169,7,14,27,35,72,168,276,144,41,778,0,0,4,14,42,98,182,108,33,480,141,135,199,229,395,724,967,494,130,3427,152,104,89,99,146,204,201,94,28,1114,1503,926,933,910,1249,1740,1788,830,202,10085,1145,541,614,563,649,753,578,233,61,5134,96,136,204,193,263,461,443,221,80,2108,10,26,44,70,110,209,230,131,37,853,0,4,0,17,42,117,131,92,37,445,112,167,250,280,408,786,809,444,153,3399,170,90,86,91,113,201,155,79,24,1016,1424,792,950,939,1171,1743,1535,754,236,9554,2351,1231,1257,1145,1362,1557,1195,475,102,10681,237,268,376,374,539,911,955,467,146,4270,13,35,68,104,182,382,508,271,78,1628,3,4,8,30,83,222,316,200,72,925,252,301,455,509,805,1512,1777,939,286,6826,324,191,174,195,259,413,356,175,54,2134
SOSR431,10559,6031,5290,5883,7354,7218,4473,1394,231,48449,1148,1061,1012,1458,2137,3344,3233,1514,245,15148,51,84,126,225,478,1116,1442,751,174,4460,0,12,20,35,173,538,785,505,126,2193,1209,1153,1163,1720,2792,5009,5458,2770,545,21806,1146,954,1251,1402,1496,1488,1012,447,84,9267,12917,8136,7702,9008,11644,13717,10944,4607,859,79519,10118,4939,4246,5361,6517,6320,3851,1193,241,42794,827,1151,1231,1579,2152,2975,2739,1152,240,14045,51,181,265,405,693,1097,1181,567,158,4583,9,14,44,93,277,568,601,371,120,2096,890,1343,1533,2076,3122,4646,4517,2082,512,20721,1044,641,642,647,937,1027,802,356,99,6197,12057,6926,6418,8090,10575,11994,9164,3638,853,69716,20685,10973,9527,11247,13875,13543,8324,2586,475,91240,1980,2206,2237,3035,4290,6322,5968,2658,487,29190,105,265,391,629,1172,2221,2620,1316,326,9045,14,24,59,129,453,1107,1383,871,244,4285,2093,2495,2692,3801,5914,9650,9976,4850,1058,42530,2193,1591,1899,2048,2428,2512,1811,801,181,15469
SOSR479,0,0,0,9,4,4,0,0,0,18,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,4,5,0,0,0,0,6,0,0,0,16,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,0,0,0,18,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,4,5,0,0,0,0,6
SOSR501,168388,96430,104506,104108,84169,61022,35324,13435,3295,670680,16166,16335,19638,21631,23398,26439,25980,14348,4620,168551,890,1715,2675,3624,5338,8055,11132,8214,2977,44623,40,131,311,706,1649,3694,6335,6178,2699,21736,17094,18179,22618,25959,30382,38190,43445,28739,10301,234910,13612,9373,10802,10258,9192,7058,4841,3055,1754,69954,199098,123984,137925,140322,123749,106272,83614,45232,15345,975547,163140,86118,105260,106080,85329,63702,39679,14936,4616,668864,11905,22118,26979,26602,27499,29245,28282,17667,7709,198015,773,3614,5620,6126,7808,10464,12510,9503,4991,61400,47,287,696,1395,2836,5180,7186,6652,4360,28628,12724,26014,33295,34123,38139,44885,47981,33816,17058,288046,12838,8559,9914,9281,8407,6761,5251,3953,2858,67830,188700,120692,148478,149485,131874,115347,92912,52702,24539,1024731,331532,182548,209769,210183,169498,124722,75005,28377,7915,1339542,28074,38451,46610,48232,50896,55687,54265,32013,12334,366565,1664,5329,8293,9751,13148,18519,23640,17720,7971,106032,82,419,1002,2100,4480,8870,13523,12828,7060,50365,29815,44198,55911,60079,68528,83077,91431,62561,27363,522954,26452,17936,20717,19540,17602,13822,10093,7008,4614,137776
SOSR511,6143,3056,2975,3160,2794,2274,1281,516,119,22318,914,643,697,799,894,1054,1088,541,169,6799,57,75,143,139,254,385,457,349,109,1968,0,8,25,47,83,171,307,253,99,986,976,725,864,982,1231,1611,1852,1138,378,9754,608,446,530,506,466,358,238,131,64,3352,7719,4224,4376,4645,4493,4249,3369,1790,561,35427,5965,2753,2989,3250,2919,2282,1410,611,153,22338,604,917,1069,1049,1178,1190,1128,684,265,8080,38,167,231,296,393,525,553,364,169,2735,5,12,31,95,143,274,368,288,209,1432,645,1092,1334,1436,1716,1996,2052,1333,648,12247,594,334,369,319,333,318,236,184,147,2829,7206,4179,4693,5009,4973,4584,3696,2122,949,37415,12105,5805,5961,6409,5719,4557,2690,1129,276,44662,1513,1560,1772,1841,2072,2248,2216,1221,428,14878,102,238,373,433,647,910,1016,714,279,4706,6,21,56,137,229,450,667,545,310,2417,1619,1824,2196,2416,2947,3603,3903,2473,1020,22004,1200,776,906,824,801,677,477,308,213,6178
SOSR512,9342,5023,5012,4806,4580,3771,2332,903,224,35985,1161,976,1080,1269,1395,1848,1718,975,344,10764,63,113,161,179,396,634,826,607,220,3193,4,10,33,39,144,316,515,478,243,1778,1229,1099,1267,1494,1930,2792,3054,2060,809,15731,1327,856,1113,1086,951,899,595,303,109,7235,11895,6972,7389,7385,7462,7471,5974,3262,1137,58954,9223,4349,4650,4918,4651,3858,2459,1032,298,35436,794,1240,1555,1523,1745,1920,1871,1228,507,12378,59,224,349,379,605,759,855,684,408,4325,3,21,46,134,237,464,577,499,361,2339,852,1482,1947,2038,2589,3146,3304,2413,1276,19049,1289,741,795,805,782,748,555,316,188,6224,11365,6576,7389,7758,8020,7752,6322,3757,1766,60702,18564,9374,9661,9728,9227,7626,4791,1937,516,71424,1955,2216,2633,2791,3138,3767,3591,2203,853,23148,119,335,505,565,1001,1395,1687,1286,623,7518,8,26,77,173,382,784,1085,978,602,4115,2077,2579,3215,3524,4521,5939,6361,4474,2080,34777,2616,1596,1901,1897,1739,1655,1150,610,300,13463
SOSR513,6706,2764,4137,4424,3490,2410,1352,371,52,25705,605,396,667,770,862,1059,837,384,59,5645,29,46,81,119,175,291,335,208,55,1326,0,4,8,18,45,138,190,134,39,578,632,448,758,905,1073,1485,1362,729,152,7544,1285,777,1342,1501,1393,1124,473,195,29,8114,8620,3985,6234,6824,5957,5016,3191,1288,231,41367,6517,2429,4217,3844,2695,2165,1214,350,51,23487,446,520,974,952,898,901,879,335,93,6002,19,73,176,199,234,305,310,196,79,1607,0,6,28,40,96,150,145,137,59,669,468,599,1181,1192,1226,1357,1340,674,237,8273,1159,618,1084,903,778,669,422,146,39,5826,8148,3652,6488,5938,4697,4188,2978,1174,330,37592,13222,5200,8349,8262,6187,4577,2570,721,104,49195,1051,917,1645,1719,1750,1960,1721,723,154,11642,50,118,260,313,406,597,652,411,128,2930,3,11,34,58,138,287,335,272,101,1242,1108,1044,1937,2092,2299,2846,2705,1406,388,15818,2444,1392,2426,2407,2176,1789,898,341,68,13941
SOSR514,2340,1045,1080,1203,1091,873,630,228,55,8549,264,203,200,277,302,363,498,252,66,2426,10,20,29,49,86,134,206,105,43,690,3,0,7,11,23,78,135,113,31,393,278,224,237,343,415,575,834,469,139,3507,326,180,204,202,198,175,125,59,28,1504,2944,1453,1518,1751,1709,1620,1593,756,221,13562,2243,841,1056,1354,1153,920,635,238,61,8486,195,217,343,379,414,452,486,277,113,2880,17,33,67,114,142,169,208,147,74,961,0,7,8,27,55,96,154,91,52,493,209,257,420,517,610,721,852,517,235,4338,333,142,164,196,169,154,126,76,48,1409,2787,1238,1648,2067,1934,1792,1608,830,340,14233,4581,1885,2132,2559,2246,1791,1262,464,117,17038,458,422,551,658,721,809,987,527,178,5310,25,50,104,161,226,300,416,252,114,1652,3,7,13,40,80,179,287,202,81,889,489,476,660,862,1027,1289,1683,984,373,7847,658,324,370,400,370,331,249,136,73,2908
SOSR515,7647,3537,4333,4062,3996,3332,2363,777,171,30209,774,650,751,912,1124,1626,1756,876,239,8705,37,76,108,159,311,508,826,516,156,2703,0,3,19,42,96,291,429,375,125,1392,815,732,880,1112,1527,2422,3021,1765,522,12801,1403,788,997,989,1036,907,648,342,113,7230,9868,5057,6217,6165,6560,6667,6025,2885,804,50244,7299,3084,4171,3895,3434,3284,2309,743,196,28406,572,752,1113,1149,1272,1612,1709,930,351,9463,42,162,259,327,429,633,834,482,217,3389,3,15,28,73,219,369,457,313,173,1653,612,934,1400,1549,1924,2617,3001,1725,746,14505,1230,706,843,818,751,731,593,336,160,6155,9139,4716,6408,6265,6107,6627,5898,2804,1095,49068,14942,6621,8502,7953,7428,6614,4666,1521,369,58618,1351,1403,1864,2061,2396,3233,3472,1805,591,18172,80,238,369,489,743,1140,1660,1001,371,6092,4,24,48,115,316,662,893,685,300,3043,1430,1662,2286,2663,3455,5040,6021,3490,1265,27305,2636,1493,1840,1812,1785,1635,1238,682,274,13387
SOSR521,2882,1391,1596,1525,1610,1567,1016,334,79,12000,338,233,322,379,500,760,785,380,103,3800,15,33,45,86,118,259,391,221,57,1222,0,3,7,19,32,139,275,167,41,681,352,262,371,484,656,1153,1449,767,208,5696,533,298,570,534,601,558,399,177,37,3702,3769,1946,2531,2545,2865,3280,2863,1281,317,21405,2713,1196,1586,1501,1386,1408,896,344,88,11118,220,310,405,452,571,743,755,374,133,3957,15,45,85,133,198,304,364,182,78,1406,0,3,18,32,81,176,234,142,70,758,234,356,504,619,849,1222,1353,701,281,6117,522,257,384,330,350,413,322,181,56,2820,3471,1813,2474,2451,2580,3040,2574,1226,423,20054,5595,2591,3179,3029,2992,2971,1914,681,165,23116,560,535,724,834,1071,1505,1541,758,238,7757,29,76,128,219,313,555,760,403,139,2621,0,9,26,46,118,316,504,308,108,1441,585,616,875,1103,1505,2375,2806,1473,484,11818,1056,557,953,871,946,975,719,360,89,6523
SOSR522,1679,926,1084,934,916,897,677,220,41,7377,140,138,156,243,277,435,511,243,52,2189,11,17,31,36,79,157,222,131,36,721,0,0,4,15,35,80,156,101,24,410,157,149,193,296,393,666,887,471,109,3319,340,159,208,225,256,266,242,105,21,1823,2175,1234,1478,1448,1563,1832,1807,796,179,12517,1659,911,976,840,772,865,591,209,44,6870,83,165,210,238,275,426,413,215,53,2083,4,19,53,76,110,180,224,108,30,797,0,4,8,28,56,115,135,67,30,428,93,182,271,337,445,721,769,388,110,3312,371,154,172,164,144,223,220,90,41,1575,2120,1246,1420,1345,1355,1814,1575,685,199,11752,3336,1843,2064,1777,1688,1761,1273,423,88,14244,230,297,371,482,551,866,924,460,102,4278,19,28,77,116,193,341,447,244,65,1522,0,5,12,36,92,191,286,164,55,831,245,330,462,634,831,1390,1653,864,220,6627,712,311,378,390,400,493,461,199,65,3400
SOSR531,11575,7269,9146,10071,10967,9817,5588,1604,234,66270,1150,1038,1451,1950,2784,3883,3747,1448,255,17710,53,101,161,282,573,1140,1515,778,150,4753,4,17,20,48,165,440,696,477,105,1971,1206,1160,1630,2280,3525,5457,5962,2707,510,24429,1611,2257,5641,5670,5320,3933,1719,559,99,26806,14398,10683,16417,18019,19811,19205,13265,4870,842,117502,11005,5413,5970,6811,7842,7727,4474,1202,199,50642,779,1160,1467,1858,2481,3472,3032,1202,286,15730,43,191,251,405,700,1157,1250,580,158,4739,0,15,32,76,246,447,602,383,110,1913,823,1368,1750,2334,3430,5076,4887,2165,549,22383,1486,1205,1678,1522,1794,1676,1159,430,73,11018,13308,7985,9400,10667,13071,14487,10520,3798,820,84045,22581,12678,15118,16879,18810,17539,10063,2806,432,116906,1928,2203,2914,3803,5263,7356,6776,2651,536,33434,94,290,416,688,1278,2296,2764,1358,306,9491,7,31,55,125,409,891,1298,856,215,3883,2027,2524,3385,4613,6951,10538,10843,4867,1057,46815,3091,3462,7313,7191,7115,5607,2881,991,168,37824
