SOSR_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR579,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,44,223,434,399,218,49,8,0,1387,20,116,521,957,893,533,176,32,0,3245
SOSR603,63,68,227,233,276,483,806,1162,974,4284,12,24,157,125,170,155,145,92,45,925,394,562,1656,1145,929,964,1165,1061,629,8498,4254,12505,34108,25430,23073,22516,19868,11732,4848,158335
SOSR611,24,43,153,155,151,246,440,576,547,2342,3,21,97,124,158,99,59,58,26,647,212,381,702,446,435,482,493,577,339,4066,2015,5461,12420,9769,9918,9376,8126,5218,2175,64478
SOSR612,20,26,54,58,85,157,333,441,419,1590,0,12,25,17,29,36,35,16,7,172,116,111,347,262,298,319,369,384,219,2421,1188,2603,5841,4918,5475,5729,5107,3217,1261,35339
SOSR613,0,4,4,21,32,50,128,151,175,571,0,0,0,0,0,3,6,4,0,22,40,40,46,70,69,76,124,123,52,641,289,622,1247,1239,1498,1820,1743,1183,463,10094
SOSR614,7,0,13,15,34,76,160,150,105,562,0,0,6,3,11,18,8,3,7,54,55,55,110,132,133,144,167,116,55,960,416,837,1932,1898,1953,2398,2083,1177,357,13051
SOSR615,19,15,48,48,83,258,574,599,505,2144,5,11,21,16,19,27,29,17,13,158,176,139,384,362,396,450,609,633,363,3515,1447,3153,7586,6835,7507,8697,8819,5251,1921,51212
SOSR621,13,8,19,23,29,82,188,215,134,702,0,4,3,8,6,7,14,7,3,57,58,52,154,137,174,230,240,186,66,1302,440,912,2323,2416,2825,3525,3204,1693,463,17809
SOSR622,0,3,0,3,11,41,95,83,45,290,0,0,0,0,0,0,4,3,0,16,20,33,49,53,76,107,142,105,67,663,184,358,820,881,1197,1636,1575,732,235,7618
SOSR631,28,22,51,69,161,404,730,577,285,2326,7,0,23,23,25,31,28,26,20,177,312,282,755,784,918,1136,1054,598,181,6016,2633,4486,10379,12353,15371,18396,14300,5634,1154,84714
SOSR679,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,25,31,25,7,0,0,112,3,15,62,80,90,75,33,3,0,360
SOSR703,56,35,173,258,386,499,750,567,186,2919,8,25,89,98,127,144,162,94,44,794,584,978,2828,2191,1990,1829,1348,507,160,12422,3085,8738,25510,20948,16918,14705,10615,3767,803,105088
SOSR712,49,44,95,118,128,138,189,98,36,903,3,10,31,40,50,49,52,22,22,277,127,141,473,403,373,430,370,93,28,2441,700,1347,5018,4187,3415,3483,2318,704,175,21353
SOSR714,5,4,9,23,33,48,68,31,13,224,0,0,8,7,11,8,16,9,0,63,60,75,212,182,201,184,101,32,13,1067,185,477,1324,965,868,919,593,173,32,5543
SOSR715,103,104,144,162,151,119,96,37,3,917,24,22,23,37,30,30,32,17,0,216,129,146,404,328,271,227,102,25,4,1636,1001,1424,3295,2786,2202,1610,696,165,27,13214
SOSR721,129,111,205,147,179,147,92,36,8,1055,21,17,33,37,42,34,49,20,13,266,56,84,214,174,177,196,115,29,0,1049,699,1111,2438,1927,1722,1569,844,185,24,10513
SOSR722,119,118,274,228,199,170,152,45,4,1321,4,21,24,25,46,71,81,46,9,332,79,94,237,159,183,243,214,52,3,1262,691,972,2119,1699,1597,1626,1303,281,34,10311
SOSR731,88,75,213,269,294,294,390,179,32,1837,12,20,43,63,64,86,79,42,13,423,314,521,1322,1100,1251,1207,967,258,22,6960,1489,2689,6415,5997,6539,7056,5735,1376,145,37453
SOSR779,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,9,17,43,40,34,11,3,0,156,11,27,58,105,120,106,42,10,0,482
SOSR802,71,70,298,396,485,850,1531,1686,992,6377,18,53,276,231,266,288,265,281,155,1839,1155,1882,3641,2549,1865,1471,1531,1272,828,16195,11837,34343,77392,68983,55861,44577,34743,18989,7190,353903
SOSR822,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,9,0,0,21,22,24,54,94,99,69,55,33,6,452
SOSR831,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,8,21,15,0,18,15,8,0,0,87,34,87,133,61,71,74,58,9,7,543
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,0,8,10,25,12,3,61,0,0,0,0,6,0,7,10,0,23,7,23,96,67,73,56,44,3,0,370,24,67,261,240,253,227,175,36,4,1293
SOSR921,0,0,0,0,3,4,5,6,0,22,0,0,0,0,0,0,0,0,0,0,7,6,16,30,28,55,28,26,3,205,37,70,133,209,247,379,279,139,37,1521
SOSR922,0,0,6,0,0,4,3,4,0,19,0,0,0,0,0,24,23,17,10,73,3,11,21,22,25,41,28,16,0,174,46,86,154,111,99,163,95,45,10,807
SOSR931,0,0,0,0,8,7,18,4,0,39,0,0,0,0,0,0,3,3,0,10,3,29,120,65,48,26,22,19,0,337,11,52,186,130,162,121,120,69,10,870
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
