SOSR_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SOSR415,278,423,700,166,206,374,139,579,712,168,1224,1398,692,3553,4247,760,2066,2824,2958,1320,4279,2318,1426,3739,2398,1371,3767,2860,995,3857,1810,719,2530,1976,527,2501,3802,802,4599,2672,135,2810,1975,180,2160,1110,53,1163,2225,327,2557,2295,163,2459,460,969,1427,31063,17038,48099
SOSR421,64,146,207,49,57,97,46,165,210,43,359,401,191,1059,1251,178,492,672,798,352,1146,633,439,1071,649,373,1023,792,284,1077,486,213,700,538,142,681,1061,201,1260,701,42,739,504,45,548,269,13,279,497,95,589,733,39,775,139,260,391,8371,4770,13141
SOSR422,57,97,153,26,40,68,27,126,152,34,271,306,168,740,907,155,337,491,567,248,814,423,298,723,452,272,723,468,198,665,303,148,448,295,130,421,519,169,689,330,29,364,241,48,287,113,5,114,190,63,254,487,28,523,116,228,339,4965,3490,8449
SOSR431,442,477,921,188,208,400,189,530,718,187,1004,1192,826,2459,3279,744,1351,2097,2677,1146,3828,2405,1411,3817,2650,1420,4075,3341,963,4301,2203,747,2953,2568,506,3068,4756,787,5548,3464,157,3619,2641,245,2885,1551,59,1609,4052,450,4500,3718,163,3888,607,805,1409,39222,14887,54104
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,5033,7459,12495,2006,2646,4651,2324,6960,9291,2670,13518,16188,7676,30395,38074,9200,20216,29421,25206,13464,38677,23669,16709,40379,29028,19590,48618,33507,16627,50141,26940,14649,41591,28776,11467,40248,65158,20391,85549,51607,2638,54248,45469,5537,51000,29795,1178,30970,94027,8260,102290,51281,5481,56768,4758,7123,11881,538147,224320,762472
SOSR511,150,233,382,63,86,149,87,282,373,108,596,708,356,1415,1770,447,842,1290,1322,607,1926,1060,688,1749,1235,737,1970,1345,574,1918,1036,502,1541,1185,397,1587,2523,676,3198,1965,60,2030,1634,195,1830,911,40,951,2082,234,2314,2177,143,2319,169,329,499,19856,8636,28494
SOSR512,271,423,692,126,182,308,153,591,745,154,997,1150,532,2292,2826,642,1583,2225,1970,1053,3020,1598,1220,2820,1850,1272,3123,2120,971,3091,1567,891,2456,1623,737,2358,3705,1312,5025,2905,146,3053,2439,351,2788,1493,74,1565,3590,468,4060,3233,271,3503,406,840,1249,30377,15668,46046
SOSR513,111,220,336,40,81,124,52,212,261,82,384,468,173,609,782,210,417,627,468,434,905,452,483,930,550,701,1254,631,658,1288,531,604,1138,664,657,1320,1824,1281,3106,1460,220,1688,1627,490,2116,1059,125,1184,3492,855,4347,2087,200,2288,234,680,911,15765,9311,25072
SOSR514,52,98,155,22,43,69,35,135,169,47,250,298,156,643,797,166,349,515,506,233,734,418,259,677,504,323,828,569,219,790,401,170,569,431,137,567,877,250,1130,694,55,747,488,70,566,241,30,273,587,109,701,838,103,940,95,150,247,7150,3621,10767
