SOSR_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
SOSR379,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR401,..,659,22667,44872,41622,40280,36466,21218,5703,213484,..,3903,18165,10485,7911,5894,3042,915,143,50456,..,131,745,2412,3804,2659,1119,568,426,11858,103838,..,..,..,..,..,..,..,..,103838,..,30372,..,..,..,..,..,..,..,30372,..,21878,15265,5103,3427,1712,228,3,0,47608,..,3742,3483,1307,1118,1340,1086,500,308,12890,..,2447,3204,1078,660,508,248,46,13,8208,..,6642,9937,2996,2238,2107,1391,446,79,25839,..,2157,8116,8437,10476,11988,10116,5765,3015,60065,1385,1889,2172,1458,1203,949,667,278,103,10099,35,77,104,75,90,94,140,36,11,660,105257,73896,83858,78226,72550,67520,54493,29774,9804,575373,..,1580,31283,48140,42114,40073,34236,16270,2598,216296,..,5832,19361,10315,7652,5396,2532,604,66,51770,..,991,5785,11244,13128,7815,3490,2380,1667,46497,98186,..,..,..,..,..,..,..,..,98186,..,31250,..,..,..,..,..,..,..,31250,..,14793,9344,2224,1565,1163,264,16,0,29365,..,3318,2327,655,978,2499,2547,1606,994,14933
SOSR412,..,51,1606,2705,3042,3238,2963,1749,411,15769,..,497,1611,845,718,523,204,67,15,4481,..,28,122,243,356,198,78,38,24,1095,8784,..,..,..,..,..,..,..,..,8784,..,1959,..,..,..,..,..,..,..,1959,..,2126,899,309,218,87,5,0,0,3642,..,224,161,72,55,76,83,36,20,728,..,133,126,59,50,25,14,3,0,415,..,249,315,121,137,143,96,30,11,1104,..,213,732,668,896,1151,893,491,285,5343,144,214,184,149,121,94,58,13,7,989,0,0,9,4,0,0,7,0,0,29,8938,5698,5780,5170,5604,5542,4399,2433,771,44335,..,123,2085,3078,3225,3291,2704,1429,179,16120,..,759,1661,855,718,468,168,48,6,4679,..,148,757,1091,1176,548,205,138,82,4139,8210,..,..,..,..,..,..,..,..,8210,..,2107,..,..,..,..,..,..,..,2107,..,1310,478,128,85,54,13,0,0,2067,..,186,78,32,70,138,156,112,57,840
SOSR413,..,43,1027,1991,2438,2876,3482,2482,549,14882,..,373,1142,762,709,543,330,102,19,3971,..,11,82,186,287,178,78,52,22,887,7165,..,..,..,..,..,..,..,..,7165,..,1626,..,..,..,..,..,..,..,1626,..,1524,729,331,255,102,13,0,0,2954,..,257,137,71,89,99,87,36,17,796,..,113,107,68,61,50,16,8,6,423,..,198,276,130,105,147,117,44,16,1043,..,197,531,476,779,1126,1028,633,312,5092,137,173,159,124,115,102,88,33,8,935,0,6,0,3,4,3,4,5,0,27,7308,4524,4194,4152,4842,5217,5240,3384,947,39807,..,73,1428,2314,2730,3058,3496,1850,271,15233,..,596,1239,783,707,510,269,67,15,4196,..,154,603,837,911,477,237,177,107,3500,6935,..,..,..,..,..,..,..,..,6935,..,1651,..,..,..,..,..,..,..,1651,..,983,372,141,121,86,26,0,0,1724,..,171,78,40,80,135,167,97,66,836
SOSR414,..,11,461,798,858,1003,1486,1003,212,5826,..,132,419,242,235,178,129,55,6,1397,..,3,15,38,105,49,17,11,14,247,2411,..,..,..,..,..,..,..,..,2411,..,550,..,..,..,..,..,..,..,550,..,501,233,84,59,30,6,0,0,914,..,50,50,16,18,30,23,14,4,205,..,38,42,21,20,8,6,4,0,136,..,56,119,76,48,59,40,18,4,427,..,55,152,158,247,357,345,252,114,1675,26,33,49,32,32,36,29,9,4,260,0,4,7,6,0,0,0,0,0,15,2440,1435,1551,1481,1612,1743,2079,1365,358,14059,..,28,592,946,928,1110,1492,772,106,5977,..,194,465,254,216,181,136,33,3,1477,..,27,146,299,326,140,66,43,36,1074,2324,..,..,..,..,..,..,..,..,2324,..,553,..,..,..,..,..,..,..,553,..,372,142,37,36,25,11,0,0,611,..,43,20,11,4,45,46,37,25,226
SOSR415,..,57,1544,2949,3410,4088,4682,2820,699,20248,..,418,1642,993,829,767,477,138,20,5276,..,7,86,222,304,197,97,60,39,1017,9367,..,..,..,..,..,..,..,..,9367,..,1933,..,..,..,..,..,..,..,1933,..,2055,885,331,275,127,22,0,0,3693,..,235,177,86,78,124,104,49,24,868,..,122,152,65,49,50,25,0,6,467,..,220,330,156,174,200,139,59,10,1287,..,230,624,637,988,1491,1391,817,376,6547,141,188,204,139,121,144,102,46,9,1078,0,6,32,12,5,3,0,0,0,63,9511,5466,5672,5590,6235,7190,7037,3984,1179,51855,..,125,2112,3391,3701,4296,4481,2217,329,20650,..,685,1748,979,884,717,361,104,13,5490,..,118,646,1016,995,453,209,177,117,3727,9108,..,..,..,..,..,..,..,..,9108,..,2003,..,..,..,..,..,..,..,2003,..,1167,419,128,102,88,32,0,0,1941,..,181,91,23,72,162,151,123,71,879
SOSR421,..,26,392,783,922,1266,1383,716,172,5667,..,97,380,243,242,239,126,42,8,1365,..,4,15,56,72,61,20,11,13,254,2464,..,..,..,..,..,..,..,..,2464,..,508,..,..,..,..,..,..,..,508,..,480,218,80,51,28,12,0,0,869,..,70,43,11,14,47,25,15,4,243,..,24,27,9,14,14,5,0,0,98,..,52,72,41,43,53,49,20,7,331,..,79,167,171,276,413,475,239,108,1925,47,48,42,35,38,42,52,15,4,319,0,0,3,0,0,0,0,0,0,4,2514,1386,1362,1429,1674,2171,2134,1061,312,14048,..,39,549,922,1022,1359,1274,553,77,5788,..,144,434,275,237,222,106,28,8,1446,..,22,148,208,252,106,53,40,30,851,2377,..,..,..,..,..,..,..,..,2377,..,565,..,..,..,..,..,..,..,565,..,322,112,39,24,21,3,0,0,526,..,56,31,3,20,38,42,32,12,247
SOSR422,..,34,251,381,457,744,838,460,90,3252,..,71,213,132,158,158,114,27,0,867,..,3,13,42,69,46,29,11,5,217,1363,..,..,..,..,..,..,..,..,1363,..,224,..,..,..,..,..,..,..,224,..,319,158,65,54,21,4,0,0,625,..,84,43,25,35,31,28,8,5,255,..,15,12,8,11,14,3,0,0,64,..,16,17,12,35,45,36,7,4,178,..,37,100,104,229,371,375,184,69,1471,31,31,28,28,43,28,20,9,0,218,0,0,0,0,0,0,0,0,0,0,1395,840,831,794,1087,1457,1447,707,174,8733,..,41,325,433,519,841,772,337,41,3307,..,93,231,155,174,162,88,22,0,924,..,22,97,138,130,74,30,23,20,536,1295,..,..,..,..,..,..,..,..,1295,..,235,..,..,..,..,..,..,..,235,..,169,78,24,18,18,4,0,0,308,..,47,19,21,17,38,27,13,13,192
SOSR431,..,65,1748,4156,5906,7119,6386,2878,456,28720,..,323,1318,1105,1291,1304,666,163,16,6181,..,17,50,187,405,266,131,61,50,1162,11937,..,..,..,..,..,..,..,..,11937,..,2764,..,..,..,..,..,..,..,2764,..,2964,1275,476,324,157,25,0,0,5217,..,242,125,61,104,178,137,100,53,1002,..,160,157,70,70,83,41,11,6,595,..,126,226,139,180,288,200,55,14,1227,..,212,458,552,1161,2050,1816,829,204,7292,194,258,243,159,145,166,153,61,13,1388,0,22,47,22,8,0,5,4,0,106,12131,7151,5650,6927,9593,11614,9565,4170,806,67604,..,142,2374,4991,6489,7358,5724,1926,206,29218,..,517,1430,1203,1404,1205,501,95,9,6370,..,65,349,536,680,398,211,171,99,2513,11157,..,..,..,..,..,..,..,..,11157,..,2923,..,..,..,..,..,..,..,2923,..,1700,708,202,152,95,10,0,0,2868,..,171,91,39,69,158,209,197,100,1029
SOSR479,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR501,..,991,35610,79413,74330,65437,55211,29840,7320,348143,..,6556,31339,18712,12468,8545,4190,1282,223,83304,..,172,1097,3417,5331,3503,1586,735,459,16309,189663,..,..,..,..,..,..,..,..,189663,..,50210,..,..,..,..,..,..,..,50210,..,35926,20992,6873,4151,1809,328,3,0,70075,..,5966,5398,2009,1611,1881,1514,847,438,19663,..,3018,4554,1819,1118,689,340,124,13,11683,..,8034,13862,4565,3152,2791,1874,683,145,35108,..,3645,13953,13973,13832,15292,13517,7823,3439,85477,2213,2683,2954,2214,1796,1394,1054,487,150,14954,118,115,228,177,174,242,269,91,20,1424,191995,117300,129997,133170,117962,101588,79884,41912,12213,926017,..,2361,53421,89261,77572,65301,50258,21779,3477,363434,..,10582,35683,18656,12473,7687,3196,833,107,89216,..,1563,9424,17142,19050,10604,4599,2925,1968,67281,179680,..,..,..,..,..,..,..,..,179680,..,51636,..,..,..,..,..,..,..,51636,..,25208,12741,3112,2004,1445,369,13,0,44889,..,5453,3528,1194,1597,3735,4436,2702,1628,24273
SOSR511,..,47,1103,2334,2421,2459,2170,1227,269,12034,..,390,1107,608,465,393,201,51,7,3222,..,11,43,204,238,96,50,22,22,695,7301,..,..,..,..,..,..,..,..,7301,..,1327,..,..,..,..,..,..,..,1327,..,1404,482,214,117,64,12,0,0,2294,..,185,148,66,47,51,45,22,11,582,..,123,127,70,44,24,9,4,0,401,..,183,276,120,119,112,81,20,5,913,..,174,485,464,551,626,524,311,134,3270,110,137,134,97,69,61,45,23,3,684,4,9,7,8,3,4,3,3,0,36,7420,3978,3910,4179,4089,3894,3146,1680,460,32762,..,92,1667,2746,2721,2503,2004,904,132,12768,..,577,1215,660,526,380,139,36,0,3545,..,110,530,857,737,279,140,99,65,2824,6814,..,..,..,..,..,..,..,..,6814,..,1499,..,..,..,..,..,..,..,1499,..,972,270,95,66,52,15,0,0,1466,..,125,77,21,55,118,124,69,42,637
SOSR512,..,61,1660,3207,3550,3700,3324,1943,514,17969,..,657,1750,1138,903,713,344,90,25,5619,..,20,88,254,365,189,82,48,32,1074,10837,..,..,..,..,..,..,..,..,10837,..,1872,..,..,..,..,..,..,..,1872,..,2212,808,314,232,91,15,0,0,3676,..,364,230,118,92,123,117,41,27,1111,..,189,194,93,74,41,18,7,0,614,..,349,468,199,176,194,102,45,9,1539,..,289,749,742,929,1224,1048,575,255,5828,197,225,219,199,135,160,127,49,16,1327,5,7,3,6,5,15,6,4,3,48,11038,6243,6158,6280,6464,6452,5189,2804,884,51503,..,149,2334,3823,3990,3732,3106,1493,256,18885,..,1004,1907,1184,998,645,262,83,5,6091,..,159,719,1185,1067,518,226,170,96,4135,10336,..,..,..,..,..,..,..,..,10336,..,1944,..,..,..,..,..,..,..,1944,..,1386,406,135,124,94,24,0,0,2166,..,287,110,52,109,190,204,142,59,1152
SOSR513,..,34,1140,2407,1951,1552,896,395,66,8436,..,330,1430,1027,652,393,114,23,0,3969,..,13,44,145,167,97,36,12,9,532,7272,..,..,..,..,..,..,..,..,7272,..,941,..,..,..,..,..,..,..,941,..,1035,358,130,68,25,0,0,0,1619,..,218,135,83,70,66,49,29,8,655,..,99,136,53,38,28,3,0,0,371,..,139,301,151,137,117,65,9,0,913,..,188,544,510,588,605,319,169,49,2968,125,138,162,129,118,170,228,94,9,1168,4,7,14,6,3,3,5,0,0,45,7402,3150,4273,4632,3790,3049,1714,742,141,28888,..,57,1738,2639,1929,1414,746,271,34,8834,..,509,1682,1026,603,310,74,22,0,4225,..,83,432,612,443,199,96,50,21,1947,6926,..,..,..,..,..,..,..,..,6926,..,922,..,..,..,..,..,..,..,922,..,634,156,60,35,22,7,0,0,911,..,194,74,32,64,117,89,41,22,642
SOSR514,..,9,289,774,808,787,878,479,91,4108,..,96,401,320,234,157,97,19,0,1324,..,0,18,48,91,38,20,15,11,239,2662,..,..,..,..,..,..,..,..,2662,..,460,..,..,..,..,..,..,..,460,..,451,181,67,39,26,9,0,0,768,..,67,34,21,13,24,30,5,4,207,..,29,60,35,21,10,8,0,0,162,..,85,181,64,68,55,27,10,3,485,..,49,110,171,205,270,302,123,59,1295,49,43,43,39,41,25,34,9,0,287,0,0,6,0,0,0,0,0,0,11,2710,1297,1314,1542,1511,1399,1396,658,165,12000,..,22,460,1000,859,837,814,342,41,4374,..,155,473,357,254,151,64,13,0,1456,..,15,148,319,324,117,57,29,25,1042,2512,..,..,..,..,..,..,..,..,2512,..,415,..,..,..,..,..,..,..,415,..,268,83,37,25,15,8,0,0,431,..,42,15,11,13,36,28,33,19,202
SOSR515,..,54,1284,2332,2457,2628,2467,1391,319,12921,..,439,1433,970,775,617,310,99,14,4654,..,14,83,181,234,146,72,34,20,785,8457,..,..,..,..,..,..,..,..,8457,..,1214,..,..,..,..,..,..,..,1214,..,1459,498,246,166,76,6,0,0,2451,..,257,158,80,76,98,73,38,16,803,..,122,133,59,40,38,24,4,0,428,..,158,301,144,144,160,112,41,5,1066,..,230,577,519,865,1007,978,490,190,4863,122,148,191,152,163,126,178,67,19,1164,5,11,18,0,3,9,3,0,0,58,8581,4113,4684,4686,4913,4912,4227,2158,588,38861,..,119,1798,2843,2643,2781,2331,979,151,13636,..,670,1656,1019,778,566,250,56,11,5012,..,111,539,774,718,313,170,102,69,2802,7866,..,..,..,..,..,..,..,..,7866,..,1217,..,..,..,..,..,..,..,1217,..,938,260,90,93,44,18,0,0,1440,..,199,85,54,91,164,149,91,39,868
SOSR521,..,41,426,785,900,1104,1141,584,131,5118,..,166,478,309,290,327,163,49,0,1781,..,5,23,67,109,73,42,28,8,343,3181,..,..,..,..,..,..,..,..,3181,..,401,..,..,..,..,..,..,..,401,..,601,259,135,107,41,0,0,0,1151,..,149,84,56,57,65,46,14,8,476,..,35,42,30,21,22,14,5,0,166,..,51,66,53,52,85,62,19,5,398,..,91,188,206,372,549,522,260,84,2269,85,72,58,74,49,58,58,23,4,474,0,0,4,0,0,0,0,0,0,7,3264,1614,1618,1713,1959,2322,2047,979,243,15765,..,57,613,972,1003,1175,1062,422,64,5368,..,240,550,364,353,275,119,28,0,1931,..,60,256,375,296,144,95,71,19,1325,2929,..,..,..,..,..,..,..,..,2929,..,454,..,..,..,..,..,..,..,454,..,392,114,57,44,28,6,0,0,642,..,135,59,35,55,80,79,39,26,503
SOSR522,..,51,261,420,471,581,634,353,84,2851,..,116,311,211,183,144,74,26,5,1071,..,4,21,43,47,40,21,5,4,186,1862,..,..,..,..,..,..,..,..,1862,..,197,..,..,..,..,..,..,..,197,..,360,156,86,59,14,0,0,0,679,..,161,81,53,42,41,25,8,4,410,..,17,18,4,4,5,5,3,0,64,..,14,42,19,34,50,34,17,0,204,..,49,118,125,235,341,346,159,41,1411,48,58,40,31,30,38,37,8,0,290,0,0,0,0,0,0,0,0,0,0,1906,1030,1046,1001,1104,1257,1173,575,139,9230,..,66,355,485,508,636,570,255,35,2918,..,164,327,232,177,137,55,15,0,1119,..,56,172,190,169,111,50,38,16,794,1822,..,..,..,..,..,..,..,..,1822,..,230,..,..,..,..,..,..,..,230,..,279,76,32,19,15,3,0,0,426,..,113,43,37,45,66,51,24,12,384
SOSR531,..,70,1546,4094,5974,7123,6135,2691,437,28078,..,336,1294,1209,1357,1269,684,159,15,6322,..,15,60,203,315,262,133,76,36,1107,12251,..,..,..,..,..,..,..,..,12251,..,2373,..,..,..,..,..,..,..,2373,..,2867,1132,493,342,142,14,0,0,4992,..,316,158,103,118,180,223,113,59,1270,..,150,184,87,102,90,73,24,3,715,..,108,238,138,170,234,204,72,8,1172,..,261,506,559,1057,1623,1569,687,157,6419,268,299,239,198,176,217,236,102,24,1762,7,7,21,7,0,10,9,4,0,72,12527,6809,5378,7086,9622,11153,9280,3926,745,66532,..,124,2313,5243,6767,7488,5386,1802,182,29292,..,508,1574,1358,1552,1221,442,102,3,6770,..,68,348,647,702,365,216,174,105,2628,11277,..,..,..,..,..,..,..,..,11277,..,2504,..,..,..,..,..,..,..,2504,..,1737,665,209,136,99,21,0,0,2868,..,224,85,47,89,206,269,255,177,1358
SOSR579,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR603,..,118,3983,5919,5547,5591,5565,3204,798,30723,..,728,3519,2073,1513,1084,583,214,30,9738,..,29,163,449,619,428,168,77,44,1980,15722,..,..,..,..,..,..,..,..,15722,..,3953,..,..,..,..,..,..,..,3953,..,3159,1816,684,496,219,37,0,0,6410,..,533,548,166,148,201,186,90,48,1919,..,534,1574,292,102,52,41,19,7,2633,..,1056,2693,540,290,292,205,68,20,5168,..,266,1197,1143,1390,1877,1622,965,470,8936,224,361,473,273,209,175,127,46,13,1906,0,6,17,4,3,11,12,4,0,67,15950,10742,15986,11533,10327,9943,8550,4685,1433,89149,..,287,5048,6207,5768,5749,5141,2468,388,31056,..,1073,3823,2051,1463,988,483,121,13,10017,..,255,1225,2001,2052,1121,528,365,226,7759,14802,..,..,..,..,..,..,..,..,14802,..,3958,..,..,..,..,..,..,..,3958,..,2101,1047,309,225,162,35,0,0,3876,..,436,316,103,158,348,380,246,125,2117
SOSR611,..,58,1527,2280,2335,2348,2242,1411,313,12512,..,410,1282,748,586,395,203,53,12,3697,..,19,101,171,229,154,51,38,27,788,6573,..,..,..,..,..,..,..,..,6573,..,1557,..,..,..,..,..,..,..,1557,..,1447,752,266,199,80,11,0,0,2755,..,218,213,63,51,75,79,40,9,744,..,171,361,56,27,29,17,5,0,668,..,404,806,187,123,142,105,35,16,1818,..,191,602,537,711,827,699,467,215,4244,87,186,166,116,91,89,35,16,3,796,3,6,3,3,3,4,4,0,0,29,6668,4658,5810,4430,4359,4144,3445,2068,594,36178,..,123,1952,2385,2509,2392,2060,1051,167,12642,..,601,1361,720,535,353,146,37,3,3768,..,135,591,885,948,458,210,145,76,3442,6342,..,..,..,..,..,..,..,..,6342,..,1623,..,..,..,..,..,..,..,1623,..,912,340,121,112,60,15,0,0,1564,..,179,124,47,67,134,131,93,47,821
SOSR612,..,42,681,970,1164,1390,1367,958,212,6786,..,236,706,404,353,247,131,41,3,2128,..,3,53,121,147,79,40,29,15,485,3677,..,..,..,..,..,..,..,..,3677,..,776,..,..,..,..,..,..,..,776,..,847,385,153,138,54,11,0,0,1579,..,117,76,39,45,44,31,17,7,376,..,83,128,28,15,13,6,4,0,279,..,91,244,58,71,95,61,30,12,658,..,112,298,311,448,542,521,304,128,2659,67,112,123,66,53,55,36,7,0,515,0,0,3,0,0,0,4,0,0,15,3747,2426,2698,2156,2432,2517,2220,1391,367,19946,..,84,852,1168,1237,1437,1383,682,100,6938,..,356,761,367,392,223,106,19,3,2217,..,115,443,602,527,239,109,93,50,2182,3612,..,..,..,..,..,..,..,..,3612,..,811,..,..,..,..,..,..,..,811,..,566,172,56,44,45,8,0,0,895,..,84,33,13,29,98,69,53,17,409
SOSR613,..,12,138,262,332,476,515,345,100,2180,..,46,152,91,88,83,33,16,7,520,..,6,7,37,38,26,8,9,3,131,933,..,..,..,..,..,..,..,..,933,..,217,..,..,..,..,..,..,..,217,..,243,98,39,36,14,4,0,0,435,..,29,18,9,7,13,10,3,4,98,..,16,20,5,3,4,3,0,0,55,..,13,42,9,12,17,13,16,0,123,..,21,60,77,96,133,140,100,42,674,26,24,22,13,26,18,13,7,0,145,0,0,0,0,0,0,0,0,0,0,958,624,563,536,645,787,745,493,151,5515,..,13,209,306,383,513,511,261,43,2233,..,69,171,84,104,75,26,12,0,540,..,11,89,147,139,63,48,21,22,542,866,..,..,..,..,..,..,..,..,866,..,247,..,..,..,..,..,..,..,247,..,175,45,18,19,18,5,0,0,281,..,26,3,4,11,19,30,14,11,106
