SOSR_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
SOSR401,86,290,1082,2166,4543,8704,11369,8434,3813,40488,7901,6314,7079,6707,5647,4932,4243,2322,821,45968,115,144,321,647,1207,3212,5790,4550,1891,17868,0,10,20,35,72,242,741,1759,1878,4757,188,438,901,2416,4894,8428,10518,6734,2166,36683,192,200,332,696,2418,6077,9845,8224,3957,31943,161,153,198,293,503,912,1355,1358,749,5689,222,124,202,327,814,2044,3153,2664,1195,10748,2110,5878,8245,7955,8205,7168,4813,2263,1085,47731,36,33,72,165,510,1159,1945,1847,1028,6781,6015,3783,4103,5247,6761,8309,7273,4063,1995,47544,86718,58307,64264,56076,45580,33820,19445,7878,2143,374240,7093,5194,5646,5280,5122,4291,2806,1761,929,38140,108763,78031,88040,81893,75735,70387,57073,32262,12494,604691,100,472,1521,3286,7901,15237,21046,16859,9490,75905,5363,6770,9136,9113,8286,8429,7782,4548,1887,61312,96,139,363,991,2438,4236,5688,4085,1948,19991,11,17,16,23,64,200,787,2345,4062,7515,171,431,1060,2094,3966,6598,8194,5953,2810,31264,173,187,323,490,1292,3013,5485,6147,5042,22153
SOSR412,3,28,103,232,475,850,1003,776,295,3769,875,633,709,583,502,467,376,227,75,4453,10,10,32,39,104,292,464,416,138,1516,0,0,0,3,11,26,66,172,126,408,23,52,76,156,425,821,977,610,180,3319,15,28,38,64,210,535,856,712,319,2776,15,11,14,25,27,99,113,125,68,507,20,18,25,33,108,238,329,298,101,1171,228,609,758,687,701,653,409,182,72,4302,3,0,3,11,52,110,158,169,84,598,549,356,378,441,598,714,537,315,140,4027,7027,4087,4015,3432,3361,2610,1520,559,174,26783,794,470,471,438,502,384,271,171,99,3599,9353,5982,6185,5543,6019,5896,4684,2661,976,47293,3,44,150,351,831,1438,1728,1543,721,6806,643,674,937,867,884,811,689,498,144,6147,13,14,30,90,186,361,447,377,148,1658,0,0,0,0,8,15,74,215,252,568,24,35,93,167,394,627,764,621,238,2963,26,18,29,66,123,314,460,620,365,2013
SOSR413,5,28,85,153,398,807,1253,1000,364,4093,671,467,446,440,439,463,427,288,84,3725,10,13,22,41,89,247,530,532,156,1639,0,0,0,0,10,19,77,175,157,434,21,28,51,122,330,732,1000,755,216,3253,13,10,34,41,168,493,920,927,349,2957,11,7,9,31,40,85,148,134,54,509,15,11,14,28,84,203,345,316,132,1141,181,472,506,528,629,643,496,248,71,3776,4,0,6,5,34,103,164,204,89,617,454,245,245,309,486,637,646,415,142,3573,5798,3297,3094,2867,2944,2656,1902,904,216,23690,728,562,855,736,622,545,382,216,100,4739,7714,4913,5053,4879,5414,5840,5700,3684,1169,44370,3,50,120,245,623,1335,2033,1707,807,6922,508,539,675,645,700,814,827,450,159,5309,8,8,23,87,181,339,552,407,167,1766,0,0,0,6,7,19,69,211,306,621,19,34,89,171,306,582,769,602,258,2837,8,19,30,52,115,270,559,619,433,2109
SOSR414,3,8,19,61,127,274,502,424,144,1567,227,140,176,137,153,148,155,120,42,1301,4,3,3,9,21,79,228,196,58,604,0,0,0,0,4,5,35,76,56,176,3,13,25,47,92,179,345,299,70,1076,4,8,7,24,49,168,398,373,162,1187,0,3,6,9,10,25,43,49,22,169,6,4,5,0,32,49,128,117,51,389,64,145,185,168,223,225,218,114,39,1385,0,0,0,3,16,28,77,85,34,252,158,90,85,84,150,217,244,144,51,1206,1967,1042,1114,1055,1009,867,756,411,69,8297,149,106,107,99,121,122,117,89,32,953,2523,1492,1636,1561,1722,1863,2233,1481,443,14953,3,15,38,82,207,466,866,714,320,2704,156,167,216,213,250,257,329,180,51,1816,9,3,3,22,57,114,218,155,60,642,0,0,0,0,4,0,31,78,112,230,3,18,25,38,115,146,292,219,99,952,6,5,0,14,30,84,253,240,176,803
SOSR415,15,23,104,248,529,1242,1788,1260,502,5713,887,560,566,610,580,705,592,321,93,4921,9,14,18,55,125,344,728,651,238,2185,0,0,0,0,5,23,93,216,230,575,17,31,66,165,431,911,1407,924,292,4244,31,18,32,61,255,713,1366,1127,466,4072,15,8,12,27,60,118,171,181,77,664,17,12,19,42,115,323,498,431,141,1590,229,480,672,664,789,830,707,326,128,4819,6,4,8,7,45,136,237,239,101,776,547,304,334,422,599,902,880,439,233,4658,7675,4153,4296,3909,3942,3628,2717,1093,266,31668,800,534,496,539,631,663,530,405,146,4755,10022,5894,6237,6155,6934,8071,7969,4570,1560,57404,17,36,146,344,877,1872,2614,2096,1045,9046,594,603,792,856,900,1021,1007,608,256,6640,5,14,31,75,235,475,633,532,211,2214,0,0,0,5,4,31,101,340,497,974,15,34,77,167,350,725,1030,791,347,3540,17,12,16,52,133,345,642,788,546,2554
SOSR421,0,4,26,65,142,377,499,352,145,1610,205,136,142,162,144,206,187,83,28,1293,0,3,3,10,30,105,232,168,74,626,0,0,0,0,0,11,22,60,63,157,4,13,9,41,107,253,420,262,79,1182,4,8,5,18,62,202,401,315,140,1150,0,0,3,3,10,30,60,54,16,182,0,0,7,0,22,82,138,111,39,398,53,105,153,177,194,274,181,80,40,1249,0,0,0,6,10,45,64,57,32,209,122,61,68,88,160,292,243,116,54,1199,2079,1081,1058,1022,1079,1111,853,299,69,8660,231,143,147,171,195,209,194,117,60,1467,2661,1510,1533,1614,1898,2468,2457,1241,452,15834,5,9,32,87,236,573,721,507,300,2483,157,155,192,211,207,263,271,138,53,1644,3,6,5,20,50,117,209,133,46,593,0,0,0,0,0,6,34,63,149,254,5,11,13,42,77,212,264,208,84,910,0,7,8,12,41,109,181,184,164,715
SOSR422,3,4,10,41,101,268,409,225,63,1125,114,52,80,91,87,116,126,65,18,749,0,0,5,5,33,59,171,89,27,389,0,0,0,0,0,8,14,27,11,65,0,5,15,23,99,226,297,146,31,840,3,0,9,14,52,152,275,165,44,720,4,0,3,4,10,10,37,34,11,120,0,0,8,8,19,67,137,76,12,324,25,82,104,110,168,197,169,48,14,907,0,0,3,7,15,32,56,36,16,156,75,42,29,54,130,177,164,63,21,750,1148,662,621,555,652,738,568,223,42,5208,152,104,89,99,146,204,201,94,28,1114,1503,926,933,910,1249,1740,1788,830,202,10085,3,0,23,44,132,379,472,277,89,1411,68,69,91,114,128,201,194,88,19,983,0,0,0,17,37,96,96,68,17,334,0,0,0,0,0,3,20,24,32,84,3,9,22,36,77,164,179,106,27,611,8,8,6,12,24,88,126,111,46,425
SOSR431,13,33,102,267,682,1840,2167,1169,222,6500,990,654,573,765,836,948,760,335,53,5907,6,14,29,53,175,563,979,559,117,2499,0,0,0,0,7,23,59,119,55,264,26,58,74,149,530,1217,1577,778,147,4554,7,20,31,62,306,1039,1579,992,246,4282,12,17,17,20,51,144,190,124,41,611,18,11,16,41,105,413,568,319,72,1565,188,450,486,663,929,1108,717,203,29,4773,3,4,6,10,56,165,274,204,47,773,484,314,283,430,813,1227,960,341,74,4940,10185,5834,5093,5615,6892,6640,4095,1288,198,45843,1146,954,1251,1402,1496,1488,1012,447,84,9267,12917,8136,7702,9008,11644,13717,10944,4607,859,79519,21,57,121,350,1072,2301,2619,1302,339,8172,656,642,680,883,1049,1195,968,392,74,6538,3,13,34,107,320,617,670,319,40,2126,0,0,0,0,4,18,33,101,61,214,31,33,71,158,375,776,898,432,115,2887,26,15,18,53,160,429,629,422,155,1903
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,0,0,0,18,0,0,0,4,5,0,0,0,0,6,0,0,0,16,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,148,473,1479,3160,6111,11091,14825,10769,3990,52041,12619,9114,9692,9781,8092,6267,5033,2733,872,64198,213,253,518,1036,2047,4666,8109,6433,2244,25515,4,18,21,44,100,287,932,2217,1968,5584,304,604,1240,3328,6804,10843,13607,8527,2377,47632,273,251,460,1084,3539,8541,13648,10975,4302,43074,202,152,243,482,699,1211,1874,2056,1037,7967,271,161,254,469,1117,2590,4408,3833,1438,14536,4016,9132,12002,11573,10490,8356,5484,2570,975,64597,48,59,103,295,638,1387,2428,2589,1172,8713,9422,5904,5977,7439,9378,10636,9683,5308,2371,66128,161173,92497,100712,99327,78439,55419,31131,11753,2729,633176,13612,9373,10802,10258,9192,7058,4841,3055,1754,69954,199098,123984,137925,140322,123749,106272,83614,45232,15345,975547,215,791,2259,4895,11128,19964,26622,20365,10048,96289,8740,9863,13175,13227,11835,10690,9124,5016,1835,83514,171,229,667,1859,4081,6351,7945,5441,2203,28945,12,21,16,28,56,259,857,2808,4098,8152,298,663,1309,2847,5262,8577,10775,7133,2912,39772,211,231,327,704,1760,4080,7223,7670,5174,27378
SOSR511,8,32,75,160,294,538,723,491,144,2454,751,346,389,367,325,233,222,129,33,2801,7,9,18,38,70,214,329,224,78,982,0,0,0,4,0,11,35,106,81,240,19,26,52,107,295,438,601,338,94,1961,12,14,19,49,119,313,522,421,176,1644,9,5,15,17,41,50,67,86,42,325,11,8,13,17,48,127,210,190,50,674,217,380,475,465,456,414,289,113,44,2859,0,0,9,3,26,57,105,88,38,337,399,221,192,259,315,447,357,197,75,2469,5859,2911,2859,3009,2621,2041,1144,456,103,21014,608,446,530,506,466,358,238,131,64,3352,7719,4224,4376,4645,4493,4249,3369,1790,561,35427,17,33,116,265,622,1024,1227,830,412,4541,462,414,505,587,490,481,400,193,64,3609,3,6,30,69,159,267,338,224,86,1180,0,0,3,0,9,14,42,117,175,365,14,30,64,125,220,376,473,284,126,1710,9,11,13,30,66,167,282,303,207,1086
SOSR512,13,30,92,225,471,868,1166,836,352,4054,955,584,530,548,475,505,370,198,69,4232,11,8,37,50,146,321,583,445,170,1770,0,0,0,7,10,18,74,201,153,459,24,30,89,182,444,823,918,622,171,3311,20,9,31,48,218,564,895,772,360,2922,16,5,19,25,52,103,162,150,91,630,13,8,16,15,75,229,381,295,112,1144,246,542,669,652,737,699,443,217,87,4283,0,4,3,11,40,112,168,194,102,628,572,362,307,375,502,644,571,369,140,3854,8906,4783,4815,4572,4279,3464,2100,803,201,33913,1327,856,1113,1086,951,899,595,303,109,7235,11895,6972,7389,7385,7462,7471,5974,3262,1137,58954,17,42,134,321,822,1476,1851,1499,753,6913,620,615,810,801,827,777,645,393,166,5655,6,4,39,112,252,404,547,401,171,1928,0,0,0,3,11,30,67,229,349,688,10,36,105,189,371,669,780,513,213,2890,8,17,21,47,125,338,516,490,404,1969
SOSR513,3,13,64,109,226,448,492,280,52,1679,451,222,351,383,269,270,171,68,12,2199,4,4,19,45,58,177,239,160,46,753,0,0,3,0,0,13,29,46,31,120,22,26,55,115,264,415,377,178,29,1487,12,9,15,43,113,315,427,272,64,1281,11,6,25,17,31,40,66,43,14,249,16,9,12,9,38,107,127,96,26,442,138,212,320,320,316,291,171,63,19,1857,0,0,0,10,19,46,74,66,15,221,311,118,188,209,294,278,278,124,46,1845,6460,2684,4002,4277,3301,2276,1227,329,44,24603,1285,777,1342,1501,1393,1124,473,195,29,8114,8620,3985,6234,6824,5957,5016,3191,1288,231,41367,5,18,74,153,346,586,704,386,107,2375,318,254,505,462,385,340,278,102,26,2681,0,3,16,77,122,170,182,115,28,723,0,0,0,0,3,5,24,63,74,175,9,16,64,102,185,266,277,140,51,1113,16,12,20,32,85,148,186,169,66,737
SOSR514,0,5,18,49,92,200,302,209,61,938,211,103,107,141,109,99,89,44,16,917,3,4,6,17,24,85,144,111,31,423,0,0,0,0,0,11,21,37,20,89,4,13,12,36,74,157,254,133,21,713,4,0,10,7,45,112,231,170,54,635,3,9,4,8,10,23,40,24,7,125,5,0,3,7,17,59,102,53,21,267,62,108,117,161,162,157,120,44,16,943,0,0,0,3,16,17,53,45,11,153,139,70,60,78,126,145,165,80,39,891,2229,999,1036,1155,1021,802,560,206,44,8062,326,180,204,202,198,175,125,59,28,1504,2944,1453,1518,1751,1709,1620,1593,756,221,13562,3,6,23,84,194,341,490,337,139,1619,144,99,174,195,176,159,157,78,23,1214,4,0,8,33,65,102,141,75,20,439,0,0,0,0,0,0,15,43,56,116,3,3,21,45,79,143,194,96,26,619,7,3,3,10,36,68,131,102,60,418
SOSR515,11,20,81,168,379,820,1196,687,207,3566,605,370,398,411,372,420,363,176,45,3166,3,4,24,36,92,286,556,392,110,1499,0,0,0,0,4,9,46,101,96,264,18,36,64,150,332,697,846,524,120,2798,24,4,25,57,216,495,924,625,198,2572,11,3,11,17,46,92,117,125,49,473,17,12,11,24,67,208,325,255,63,993,167,352,424,498,513,547,391,164,46,3108,5,3,4,10,39,70,168,140,54,501,389,204,206,288,406,539,564,287,103,2992,7346,3386,4205,3897,3756,3097,2129,690,146,28666,1403,788,997,989,1036,907,648,342,113,7230,9868,5057,6217,6165,6560,6667,6025,2885,804,50244,16,34,83,243,617,1251,1729,1040,439,5457,429,400,591,617,627,673,624,250,75,4285,9,4,35,72,181,328,465,308,84,1485,0,0,0,3,9,10,64,127,179,398,15,30,66,128,318,511,644,336,133,2177,13,13,16,39,113,252,451,365,199,1470
SOSR521,6,10,25,77,147,404,621,324,85,1699,255,132,173,180,154,181,185,82,10,1363,0,0,13,8,33,142,247,177,46,662,0,0,0,3,3,5,23,31,29,103,8,19,35,67,169,283,446,217,48,1287,6,14,6,27,87,258,427,270,77,1172,4,0,9,7,17,36,68,54,14,215,3,0,7,16,32,116,211,132,28,541,85,123,175,222,207,272,225,74,21,1397,0,0,0,7,11,49,78,69,18,242,141,78,67,111,161,280,268,106,36,1251,2774,1339,1559,1458,1514,1430,909,298,62,11345,533,298,570,534,601,558,399,177,37,3702,3769,1946,2531,2545,2865,3280,2863,1281,317,21405,3,13,45,103,262,577,795,438,176,2413,165,146,207,226,262,309,293,122,31,1764,0,5,7,41,71,167,191,117,39,638,0,0,0,0,0,9,17,38,55,135,5,9,32,68,161,255,302,148,44,1029,11,14,12,26,60,134,217,157,88,715
SOSR522,6,3,9,32,94,225,351,190,40,953,104,68,89,103,110,102,130,51,8,769,3,3,3,13,19,89,140,117,20,402,0,0,0,0,0,4,19,18,11,62,5,10,18,59,113,210,264,140,27,858,3,3,12,25,53,154,277,176,48,744,4,0,0,6,14,21,29,23,12,105,6,0,0,3,19,60,120,76,18,300,40,74,85,117,131,135,116,39,12,753,0,0,0,3,4,33,54,36,10,151,85,43,40,77,114,168,164,64,11,768,1615,906,1060,885,861,814,611,195,37,6974,340,159,208,225,256,266,242,105,21,1823,2175,1234,1478,1448,1563,1832,1807,796,179,12517,4,6,21,56,132,326,447,234,64,1289,53,70,112,121,144,180,184,52,16,936,0,0,5,10,34,93,114,65,15,340,0,0,0,0,4,5,12,24,21,63,6,12,25,65,130,192,172,88,22,707,10,9,10,23,37,81,124,81,38,410
SOSR531,7,57,132,337,844,1919,2318,1084,217,6917,863,612,810,1006,943,908,703,260,46,6143,11,26,35,85,260,692,1117,621,110,2951,0,4,0,4,8,20,48,133,47,265,28,51,112,248,734,1276,1495,676,102,4726,22,21,40,85,415,1146,1714,1009,215,4667,14,12,24,37,85,157,192,158,48,730,17,13,14,26,123,362,602,359,64,1579,297,504,652,834,1042,1053,713,228,28,5356,3,5,8,18,61,142,276,198,54,766,532,351,368,581,865,1264,1056,403,85,5514,11194,7030,8864,9662,10407,9150,5111,1452,209,63077,1611,2257,5641,5670,5320,3933,1719,559,99,26806,14398,10683,16417,18019,19811,19205,13265,4870,842,117502,10,49,152,378,1104,2433,2843,1274,325,8555,566,573,697,886,1124,1192,942,335,62,6374,15,11,33,131,361,738,803,361,61,2509,0,5,0,7,6,29,68,120,108,341,18,38,75,161,382,678,843,421,108,2736,15,15,33,50,153,432,708,521,163,2091
SOSR579,0,0,5,10,26,25,13,4,0,83,0,0,17,34,19,17,5,0,0,96,0,0,0,0,5,12,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,8,4,4,0,34,0,0,0,0,5,13,13,3,0,40,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,13,0,0,9,21,9,6,0,3,0,57,0,0,0,0,0,0,0,0,0,5,0,0,3,9,21,11,0,3,0,48,0,58,202,419,365,180,32,0,0,1267,0,35,194,417,379,197,41,0,0,1268,0,91,430,908,842,449,117,15,0,2856,0,0,5,0,0,5,13,0,0,27,0,3,5,0,4,0,3,0,0,21,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SOSR603,15,66,227,430,882,1576,2162,1498,582,7440,1298,1027,1088,1019,893,777,645,353,120,7222,17,28,52,106,193,533,968,745,277,2925,0,4,3,4,8,44,148,294,254,760,43,79,149,296,570,1044,1389,887,251,4704,30,26,48,104,325,860,1474,1251,531,4658,18,19,23,48,71,152,270,233,99,932,18,21,25,66,157,349,488,429,165,1718,467,1294,1617,1529,1472,1210,790,364,161,8905,0,5,7,23,82,151,317,330,152,1087,952,673,671,823,1036,1203,1077,629,311,7379,12857,8098,12756,8035,6186,4824,3080,1240,302,57376,1311,955,1273,970,937,765,576,339,143,7270,16639,11689,17165,12380,11063,10594,9183,5156,1785,95650,21,119,325,713,1503,2852,3950,2966,1501,13949,926,1257,1487,1443,1378,1353,1289,719,270,10119,16,28,62,183,393,681,986,713,326,3397,5,0,3,4,9,23,156,364,511,1076,36,80,181,278,516,865,1103,804,336,4194,22,35,56,75,190,432,814,956,691,3259
SOSR611,13,30,88,182,402,666,915,701,279,3273,716,500,515,443,362,330,325,211,56,3458,4,11,28,42,86,207,373,322,103,1166,0,0,0,5,9,21,59,124,119,340,11,30,73,137,282,484,617,421,116,2184,17,23,17,47,132,375,651,566,210,2027,7,10,13,20,53,61,96,116,46,431,3,8,16,35,101,169,287,235,74,926,260,572,730,573,625,475,330,153,65,3796,0,0,4,11,40,102,156,163,80,563,414,281,313,309,413,497,425,281,126,3054,5194,3520,4447,3054,2640,2010,1191,504,120,22696,564,515,513,355,345,335,209,163,66,3074,6967,5208,6356,4730,4681,4433,3711,2300,781,39173,10,45,123,297,728,1200,1577,1348,661,6001,463,557,684,712,655,560,543,352,124,4654,0,17,29,66,179,302,399,294,132,1419,0,0,0,0,11,12,39,136,212,415,10,29,83,157,262,375,516,380,129,1942,10,13,15,39,102,179,358,422,293,1421
SOSR612,9,9,42,100,281,454,624,436,170,2123,441,297,285,258,231,199,185,115,31,2047,3,7,12,17,61,123,214,207,69,709,0,0,0,0,7,4,28,65,49,151,7,20,38,79,183,282,395,302,75,1379,13,11,13,32,106,232,385,382,137,1312,7,3,9,8,24,38,84,89,43,308,11,7,10,24,79,141,198,159,50,663,131,319,387,354,400,318,225,91,32,2257,0,0,5,9,26,44,93,94,37,307,258,174,163,178,266,309,273,126,71,1817,2825,1704,1907,1352,1333,1159,741,345,68,11434,356,216,234,196,227,202,160,136,47,1781,3908,2596,2880,2294,2614,2650,2361,1515,472,21291,17,27,73,182,412,823,1048,756,366,3708,339,343,424,416,410,397,405,211,58,3009,7,7,11,31,89,171,280,170,59,829,5,0,0,0,4,12,15,68,89,201,13,22,58,70,197,305,375,241,94,1370,11,10,13,17,68,131,247,229,164,898
SOSR613,0,4,15,25,65,149,209,151,53,682,104,63,66,62,70,60,66,34,10,533,3,0,0,8,13,40,71,63,28,229,0,0,0,0,0,4,7,26,18,52,0,4,9,16,45,95,108,89,19,377,0,7,0,9,29,70,137,129,52,428,0,0,0,0,13,11,23,39,8,97,0,0,0,0,27,32,63,58,12,189,37,67,70,79,96,85,67,33,3,531,0,0,0,0,8,19,27,34,12,93,56,37,28,37,63,93,87,53,15,478,743,444,411,344,374,383,269,119,46,3133,95,72,35,61,51,50,66,40,21,482,1007,663,591,584,692,833,809,526,184,5881,0,0,12,42,117,257,373,296,124,1222,70,93,84,101,105,118,129,71,24,795,0,0,3,14,33,70,80,59,19,281,0,0,0,0,0,3,7,31,30,71,0,0,9,13,40,79,99,74,24,336,0,0,3,11,16,43,73,93,44,282
SOSR614,0,3,21,41,96,207,257,160,42,827,177,74,78,88,75,99,86,28,10,724,0,0,4,6,18,56,104,70,19,278,0,0,0,0,0,6,12,23,23,68,4,10,13,27,55,122,160,120,35,543,6,0,3,12,36,106,184,137,46,526,3,0,4,0,11,18,40,21,17,112,3,0,7,9,23,48,86,61,14,240,50,96,101,126,138,144,93,39,18,792,0,0,0,6,3,30,46,37,8,131,78,41,51,62,106,155,120,49,16,682,1109,591,620,550,438,519,294,129,19,4268,143,81,83,99,80,94,79,29,9,701,1525,861,924,915,908,1205,993,517,142,8001,0,8,22,68,169,334,400,300,92,1395,107,81,122,142,137,152,153,87,22,1000,0,0,6,11,28,68,91,68,24,294,0,0,0,3,0,3,13,37,21,68,0,4,21,23,77,128,139,108,31,535,10,0,3,10,14,53,78,89,37,297
SOSR615,10,21,85,161,343,784,1144,806,230,3575,544,321,308,297,290,336,348,195,57,2687,0,9,14,34,61,183,439,309,110,1153,0,0,0,0,7,20,45,94,74,251,6,28,45,81,213,469,737,460,129,2165,12,11,20,38,155,354,649,619,210,2065,9,4,9,7,35,57,131,143,58,449,3,4,19,28,75,211,363,270,76,1045,204,321,408,401,471,496,369,158,52,2885,3,0,3,7,42,70,184,147,59,514,339,177,199,238,348,498,475,250,95,2615,4188,2253,2513,2016,1917,1813,1285,514,133,16639,496,315,273,276,300,292,313,178,91,2524,5664,3301,3669,3246,3537,4133,4235,2365,751,30904,8,26,104,199,613,1166,1764,1327,567,5773,394,360,557,487,505,535,600,362,93,3899,6,7,19,55,136,252,371,302,113,1257,0,0,0,0,6,12,44,119,156,332,8,16,56,97,217,385,553,376,131,1839,11,3,18,19,73,199,408,426,272,1443
SOSR621,5,9,23,40,102,287,408,255,62,1196,152,96,96,96,106,133,109,58,14,862,0,0,3,17,18,83,150,125,26,438,0,3,0,4,0,0,10,30,31,81,0,8,16,29,70,168,245,145,31,707,4,0,4,12,51,162,227,202,51,715,0,0,0,9,8,25,34,39,11,130,5,6,0,5,22,69,99,86,19,308,52,92,120,130,194,182,134,51,12,971,0,0,0,6,4,26,52,41,21,155,93,53,46,75,121,195,170,82,29,857,1348,705,789,780,782,778,537,218,31,5973,155,107,98,107,132,148,117,69,23,956,1782,1019,1146,1205,1403,1709,1611,875,202,10953,0,11,27,65,208,436,591,355,129,1819,110,101,115,139,168,204,206,89,18,1150,0,7,5,16,49,96,134,95,22,421,0,0,0,0,0,3,10,39,39,94,6,6,18,26,71,137,162,117,34,579,0,6,5,9,36,62,118,131,61,424
