SOSR_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SOSR431,19,13,31,978,239,1217,14,3,22,4,0,6,8,10,20,24043,19799,43840,1384,1263,2650,811,34,842,212,28,243,95,19,112,961,243,1205,2327,1306,3633,30852,22968,53818,0,5,4,0,0,0,0,0,0,21,23,46,0,0,0,0,0,0,24,30,52,0,0,0,0,0,0,52,63,116,20,23,42,30,6,37,100,90,194,346,161,504,470,283,749,6,3,16,28,3,34,38,12,49,75,26,96,6310,5785,12098,2684,4222,6904,441,328,769,40829,33609,74441
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,16,0,16,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22
SOSR501,11341,11327,22662,13950,13155,27098,128,76,209,31,15,45,1966,1679,3644,334514,296171,630681,17966,25004,42971,4560,134,4693,2464,255,2711,5224,1495,6715,8767,2178,10939,6941,7011,13950,407844,358480,766327,6731,6529,13258,9,7,25,0,4,5,4523,4112,8630,658,912,1570,495,188,681,12413,11755,24171,13,8,24,8,8,15,725,766,1495,450,877,1326,502,350,855,1699,2006,3704,3833,2067,5899,17947,15828,33771,2108,2514,4617,324,225,549,196,78,274,2628,2815,5442,33695,43286,76978,50297,65332,115625,2236,1566,3799,514630,487315,1001946
SOSR511,11,9,20,396,93,490,0,0,3,0,0,0,35,41,73,12178,11770,23949,1014,1034,2052,143,4,144,66,10,73,153,46,200,216,59,273,224,249,476,14431,13325,27752,0,0,0,0,0,0,0,0,0,8,5,13,0,3,5,0,0,0,13,4,16,0,0,0,0,0,0,190,44,236,16,17,34,19,0,23,230,60,296,185,79,265,425,151,576,0,0,5,18,3,21,10,3,13,28,10,40,470,892,1367,2001,2368,4368,89,38,129,17452,16784,34235
SOSR512,12,8,17,415,139,556,14,0,14,0,0,0,84,95,182,20144,19048,39191,1730,1816,3549,356,16,378,161,22,185,348,125,474,343,107,445,616,624,1242,24217,22010,46227,0,0,0,0,0,0,0,0,0,4,10,14,0,0,4,0,0,0,11,9,23,0,0,0,0,0,0,75,27,99,18,11,23,18,7,29,110,43,156,261,143,403,373,200,573,0,3,3,18,6,21,22,6,23,36,12,52,788,1507,2298,3012,3382,6391,128,98,226,28560,27205,55766
SOSR513,30,39,68,504,115,616,9,0,9,0,6,5,43,38,85,13038,10732,23773,1334,1039,2380,275,12,285,215,58,267,237,150,385,432,124,552,558,682,1239,16670,12991,29664,34,23,57,0,0,0,0,0,0,44,37,85,3,7,6,0,3,5,85,68,152,0,0,0,0,0,0,22,8,29,11,10,20,17,6,26,47,22,69,247,89,339,379,181,566,23,11,32,7,0,14,24,4,27,52,18,73,502,991,1498,2416,2428,4847,150,112,258,20171,16732,36899
SOSR514,0,4,4,72,13,87,4,0,4,0,0,0,5,17,18,3974,3947,7921,378,333,708,51,0,51,10,0,20,89,35,124,101,30,137,184,205,390,4873,4584,9455,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,6,6,7,0,0,0,3,3,7,12,11,16,72,25,104,89,39,123,0,0,0,5,0,5,4,0,3,5,0,8,330,592,919,878,888,1774,44,34,80,6221,6139,12359
SOSR515,23,15,39,1003,286,1291,6,5,10,0,0,0,25,13,41,13894,12489,26385,1360,1183,2540,343,17,363,116,35,153,252,189,446,470,156,628,921,1182,2100,18412,15569,33981,13,8,25,0,0,0,0,0,0,30,19,55,0,0,0,0,0,0,47,27,78,0,0,0,0,0,0,65,36,98,15,13,21,20,5,23,93,50,144,235,133,364,378,208,589,8,8,20,25,4,27,17,5,21,52,19,70,689,1211,1908,3194,3067,6261,211,158,368,22937,20248,43179
SOSR521,3,5,5,407,105,516,0,0,5,0,0,0,8,0,8,5147,4303,9443,524,417,940,192,8,198,32,5,33,65,55,121,220,54,273,516,702,1220,7108,5654,12765,0,0,0,0,0,0,0,0,0,3,17,20,0,0,0,0,0,0,4,15,25,0,0,0,0,0,0,17,5,23,9,0,9,10,4,15,33,12,46,104,38,140,143,65,208,3,0,10,25,5,25,13,4,16,42,6,50,298,510,816,1070,1018,2088,122,100,218,8788,7350,16141
SOSR522,4,0,11,194,79,273,7,0,9,0,0,0,3,0,3,2658,1986,4645,267,225,486,141,6,144,7,0,7,65,39,107,177,61,231,512,709,1217,4038,3102,7139,4,5,3,0,0,0,0,0,0,8,4,8,0,0,0,0,0,0,10,9,16,0,0,0,0,0,0,3,0,4,0,0,0,0,4,8,8,5,14,50,30,83,68,43,109,6,0,6,7,0,5,4,0,6,14,5,17,173,242,417,582,638,1216,75,59,133,4951,4089,9040
SOSR531,130,123,253,5884,1057,6940,14,4,17,0,4,6,97,25,120,25927,19673,45593,3259,1796,5055,1408,84,1489,199,26,229,133,55,189,4377,1103,5480,3655,2460,6116,45087,26411,71494,20,20,47,0,0,0,0,0,0,123,129,252,14,10,19,3,0,3,155,166,322,0,0,0,0,0,0,74,21,99,48,13,66,324,68,389,452,108,555,921,252,1174,1529,521,2053,43,43,88,277,52,325,87,17,106,406,114,517,6052,6223,12278,5466,5665,11126,599,375,976,59138,39300,98440
SOSR579,0,0,0,190,15,207,4,3,7,0,0,0,5,0,5,81,8,91,27,0,27,13,0,13,0,0,0,0,0,0,767,78,850,287,36,324,1390,143,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,8,6,11,38,4,39,46,8,50,0,0,0,5,0,10,0,0,0,8,0,11,17,4,23,31,34,64,23,0,24,1517,186,1697
SOSR603,13,10,21,1833,2927,4764,38,48,84,0,0,0,211,218,429,30508,24799,55306,1943,3811,5760,391,11,397,469,54,526,862,383,1244,256,132,391,2428,2857,5287,38965,35248,74212,0,7,7,0,0,0,0,0,0,10,11,14,0,0,3,0,0,4,11,16,31,3,8,11,0,0,0,143,235,374,88,214,306,51,63,111,281,522,805,403,371,775,694,916,1610,0,5,9,44,65,108,14,8,24,55,81,139,3581,4011,7592,4158,7032,11188,207,198,403,47668,47471,95146
SOSR611,6,3,5,218,337,553,0,0,0,0,0,0,84,116,202,13833,11749,25580,873,1370,2245,121,0,123,139,15,150,177,45,228,99,59,162,785,832,1618,16346,14527,30875,0,0,0,0,0,0,0,0,0,6,8,11,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,15,15,27,17,47,60,8,13,19,38,71,106,131,102,230,167,176,348,0,0,0,8,18,31,6,8,16,21,27,51,949,1312,2261,1521,2664,4184,92,78,163,19102,18780,37880
SOSR612,0,0,0,67,53,121,0,0,0,0,0,6,26,46,70,6937,6464,13401,485,641,1123,57,0,60,45,6,51,50,12,62,29,16,50,278,336,615,7980,7578,15559,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,4,5,0,4,0,0,0,0,0,0,3,5,12,7,3,11,0,0,4,9,9,26,62,48,107,74,62,138,0,0,0,0,6,6,4,5,8,9,12,18,360,443,804,858,1268,2126,68,39,107,9354,9396,18748
SOSR613,0,0,0,14,4,18,0,0,3,0,0,0,0,0,9,1859,1812,3669,111,120,230,23,0,23,16,0,20,15,8,20,8,8,13,47,78,127,2101,2041,4139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,5,4,22,10,32,24,18,38,0,0,0,0,0,0,0,0,0,0,0,0,108,161,268,201,356,554,25,23,48,2457,2597,5051
SOSR614,0,0,0,41,51,88,0,0,0,0,0,0,0,5,4,2617,2228,4849,138,153,292,52,4,56,16,0,17,7,9,13,15,7,18,67,91,158,2964,2541,5502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,12,7,5,13,0,0,0,10,21,28,14,15,30,23,34,56,0,0,0,0,0,0,0,0,0,0,0,0,149,246,393,318,509,820,18,18,37,3467,3353,6819
SOSR615,0,0,0,89,121,207,3,0,5,0,0,0,7,5,11,10014,8936,18946,580,604,1184,205,0,205,67,5,75,51,12,67,67,31,90,346,423,771,11424,10136,21560,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,13,25,36,11,14,31,0,5,8,28,42,69,80,45,126,116,92,209,0,0,0,0,4,3,4,0,4,9,4,6,698,979,1670,1166,1973,3138,95,84,178,13499,13265,26762
SOSR621,0,0,0,32,57,89,0,0,3,0,0,0,4,4,4,3504,2796,6305,216,212,431,88,0,91,26,0,26,22,18,38,31,11,46,208,259,462,4126,3368,7497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,0,0,0,0,7,8,14,7,6,11,0,0,4,9,15,25,43,22,65,56,39,92,0,0,0,5,5,7,0,0,0,6,5,9,343,456,799,465,705,1170,44,41,86,5041,4612,9654
SOSR622,0,0,0,5,6,15,0,0,0,0,0,0,0,3,0,1366,1161,2524,75,72,149,41,5,48,10,5,7,5,0,9,19,5,17,63,75,143,1582,1331,2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,3,5,9,15,7,23,16,10,30,0,0,0,0,0,0,0,0,0,0,0,0,154,175,328,175,251,427,19,22,42,1948,1795,3748
SOSR631,6,0,4,100,122,222,3,4,7,0,0,0,12,3,18,17600,14917,32521,859,1082,1937,695,26,721,223,35,263,60,25,82,209,73,286,929,607,1535,20696,16898,37596,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,35,52,89,21,25,51,3,0,3,62,78,139,195,101,292,257,184,444,0,0,0,5,7,15,11,0,12,11,14,24,3168,3196,6365,2260,3251,5506,264,198,461,26660,23736,50394
SOSR679,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,29,14,39,4,0,4,5,0,5,0,0,0,0,0,0,89,8,94,20,4,24,147,26,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,10,9,19,67,10,80,228,48,277
SOSR703,14,4,17,631,946,1580,15,3,20,3,3,7,146,165,315,23684,20936,44623,1449,2617,4060,222,13,238,688,148,833,766,510,1274,668,254,925,1416,1291,2711,29705,26885,56591,0,6,3,0,0,0,0,0,0,8,9,17,3,0,3,0,4,7,18,17,39,0,0,0,0,0,0,43,40,84,32,92,128,24,25,54,107,161,265,325,209,540,446,387,837,3,0,3,24,35,60,26,11,33,51,45,97,1257,1828,3082,3412,4442,7855,188,144,335,35058,33737,68792
SOSR712,0,0,4,153,59,210,5,4,3,0,0,0,24,34,56,4497,4269,8767,374,662,1039,63,3,68,109,28,135,304,248,554,52,30,81,300,369,670,5883,5709,11592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,0,17,0,0,0,0,0,3,13,3,19,77,65,139,93,67,156,0,0,0,4,3,6,6,8,13,9,8,21,185,279,464,607,804,1409,44,40,77,6814,6904,13722
SOSR714,0,0,0,16,10,18,0,0,0,0,0,0,8,3,12,1064,963,2030,69,152,225,9,0,9,19,8,27,50,18,69,12,11,20,67,90,157,1312,1255,2566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,3,0,14,14,30,21,19,33,0,0,0,0,0,0,0,0,5,0,0,5,38,64,97,145,190,338,24,15,38,1542,1531,3072
SOSR715,0,0,0,46,39,87,0,0,0,0,0,0,0,0,0,1219,976,2193,235,307,541,16,5,23,19,8,25,53,39,91,26,20,43,542,751,1298,2157,2149,4310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,4,4,28,29,55,34,33,64,0,0,0,0,0,0,0,4,3,0,5,3,34,55,91,121,136,251,80,77,161,2432,2448,4882
SOSR721,0,0,0,83,56,150,0,0,0,0,0,0,0,0,0,1006,792,1794,188,230,420,15,5,20,16,3,20,51,42,92,26,16,41,463,612,1078,1852,1764,3611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,3,0,5,9,0,10,29,23,53,34,23,60,0,0,0,0,3,6,0,0,4,4,4,6,45,87,136,239,296,534,39,39,76,2221,2211,4431
SOSR722,0,0,0,16,28,43,0,3,5,0,0,4,0,0,0,599,443,1040,135,158,293,22,0,18,8,0,4,6,8,13,34,17,49,492,645,1138,1311,1300,2613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,4,3,0,0,0,3,9,7,38,42,72,41,44,89,0,0,0,0,3,7,3,11,10,9,14,17,43,62,104,213,217,437,53,45,101,1673,1683,3360
SOSR731,0,5,6,277,65,339,5,0,5,0,0,3,4,5,15,4837,4220,9057,394,436,831,213,10,230,81,15,102,78,40,123,432,163,593,953,855,1805,7281,5826,13105,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,8,5,0,5,0,0,0,0,12,18,10,0,10,24,5,28,39,21,61,110,57,167,149,81,235,0,0,0,17,8,24,12,3,13,32,10,41,620,699,1324,1453,1574,3028,152,102,247,9689,8293,17978
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,5,0,0,0,8,0,8,0,0,0,0,0,0,164,11,174,47,7,54,224,16,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,5,4,13,7,0,6,249,35,282
SOSR802,64,44,106,4047,5038,9083,26,0,28,1038,1252,2287,277,320,600,78987,67856,146845,4187,8365,12553,969,33,1001,1603,186,1781,3488,1744,5236,697,294,987,5107,4950,10056,100493,90076,190571,18,12,30,0,0,0,0,0,0,12,20,37,0,0,4,3,0,5,40,42,78,0,0,0,646,736,1387,251,300,554,151,456,603,164,147,308,1211,1640,2849,1357,1065,2425,2610,2748,5352,7,6,19,172,237,407,76,39,110,254,282,535,12814,14270,27083,8772,14844,23610,340,259,595,125273,122472,247742
SOSR822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,96,216,0,3,6,3,0,7,0,0,0,0,0,0,0,0,0,4,6,8,126,112,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,25,52,10,25,39,4,0,7,166,166,332
SOSR831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,78,161,4,4,10,3,0,3,0,0,0,0,0,0,46,7,58,35,17,57,169,111,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,58,12,22,31,0,0,0,221,156,378
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,26,32,57,0,0,0,0,0,0,0,0,0,299,189,489,18,30,52,3,0,3,11,3,14,3,0,4,7,8,9,13,14,26,376,279,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,7,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,14,27,31,43,73,10,3,9,436,346,777
SOSR921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,353,615,12,18,24,60,6,70,18,4,17,7,0,7,3,0,3,34,32,63,389,420,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,18,37,64,43,52,93,0,6,8,457,522,979
SOSR922,0,0,0,0,3,4,16,12,19,0,0,0,0,0,0,55,30,92,6,9,15,0,0,0,19,5,28,11,3,16,29,21,46,94,54,148,222,138,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,28,0,0,0,0,0,0,0,0,0,0,0,0,9,20,28,13,3,15,24,23,49,0,0,0,4,9,13,0,0,0,6,9,15,20,12,23,22,23,49,3,0,3,297,199,497
SOSR931,0,0,0,8,11,14,0,0,0,0,0,0,0,0,0,115,123,234,8,8,20,12,0,17,5,0,6,0,0,0,3,0,3,3,5,11,155,149,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,16,24,7,7,16,3,4,10,180,178,361
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
