SOSR_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOSR431,577,665,1246,5627,6032,11659,0,0,0,899,914,1815,7,8,18,8381,8211,16595,159,195,351,781,701,1482,174,215,389,91,84,173,4494,4459,8951,3,0,3,190,152,337,738,774,1514,749,663,1414,94,95,190,148,142,292,5511,5704,11211,2004,1957,3959,286,272,553,30339,30576,60915,156,72,232,240,151,391,25,28,53,43,46,88,162,145,314,163,266,435,375,460,832,37838,31108,68938,244,150,391,112,159,273,38199,31411,69605,9614,6349,15961,293,103,392,79819,69811,149628
SOSR479,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,19,0,19,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,7,0,7,11,0,11,7,0,7,40,0,40
SOSR501,21916,30058,51975,86141,108986,195129,20,18,37,14998,17265,32263,619,600,1214,183661,211334,394997,2212,2852,5067,11085,12137,23221,3335,4395,7733,2077,2399,4487,1803,2349,4151,1608,1588,3190,5647,6641,12285,10490,12578,23064,12477,14231,26708,857,1283,2140,1974,2483,4453,12100,17198,29302,31804,37854,69660,1092,1279,2377,383999,457485,841479,25274,23975,49252,32005,30309,62318,2567,2763,5330,64,54,119,9420,8469,17891,3633,5006,8637,13122,13527,26649,430575,405137,835710,3353,2507,5860,1353,2287,3639,435277,409932,845214,61380,56690,118068,2636,2568,5203,978179,1027301,2005481
SOSR511,221,382,610,3768,5007,8775,0,0,0,739,776,1509,0,0,0,5754,6835,12591,67,115,184,112,135,247,205,314,524,161,192,349,81,95,175,17,17,30,135,167,302,251,294,540,393,445,839,49,83,128,96,107,203,509,765,1278,1147,1328,2469,52,61,115,13534,16736,30271,244,213,453,317,312,634,11,22,30,3,4,8,87,68,155,104,165,273,193,238,431,17884,17159,35039,113,73,184,53,78,130,18054,17311,35360,2853,2204,5049,43,49,92,35471,37465,72939
SOSR512,393,735,1125,5938,7431,13375,0,0,0,1081,1175,2255,51,52,111,9348,10657,20005,244,306,555,123,116,246,288,414,704,166,196,362,158,237,395,14,4,15,311,387,699,518,624,1146,730,857,1588,86,130,212,273,283,552,1080,1569,2645,1925,2358,4281,56,64,115,22398,26866,49268,396,351,751,562,523,1086,24,26,48,7,11,20,107,98,206,149,233,378,261,340,604,28268,26293,54560,163,110,272,74,139,213,28503,26548,55045,6414,5320,11734,111,94,209,59066,60799,119864
SOSR513,328,571,904,3265,3434,6695,0,0,5,516,549,1065,4,5,4,6169,6398,12574,61,85,148,126,126,248,178,219,400,101,103,209,126,128,254,14,6,19,166,181,346,248,310,554,369,385,755,25,53,79,103,119,224,550,698,1253,976,1088,2058,52,39,92,13044,13928,26968,369,276,650,507,389,887,26,25,48,28,33,57,49,46,96,94,94,184,167,170,337,19027,16744,35769,98,72,165,36,55,90,19165,16866,36030,7757,5367,13124,206,135,346,41570,37730,79299
SOSR514,101,137,243,1351,1740,3097,0,0,0,125,161,282,62,71,138,1967,2279,4249,56,65,117,41,43,82,102,120,219,19,20,30,21,40,61,4,3,6,30,29,58,50,56,105,103,112,214,17,24,48,28,40,68,210,325,535,229,317,547,14,6,23,4424,5448,9874,49,38,81,52,49,105,7,11,14,0,8,5,20,8,26,38,52,88,53,66,119,7388,7074,14460,39,29,63,23,45,70,7441,7148,14591,1427,1343,2773,62,20,83,13626,14253,27874
SOSR515,304,524,830,5184,6021,11195,0,0,0,802,915,1714,0,0,0,7161,7892,15053,139,174,314,138,150,294,262,330,590,84,83,166,144,172,318,11,11,20,325,356,682,240,300,543,654,611,1260,69,79,144,179,202,376,944,1293,2239,1234,1392,2624,35,53,81,17605,20013,37618,168,138,305,474,373,852,26,28,48,56,45,105,44,33,73,122,226,347,224,304,529,24300,21697,45994,156,85,245,51,93,146,24507,21878,46387,6938,5804,12742,327,161,490,50568,49230,99799
SOSR521,110,214,319,2312,2582,4896,0,0,0,311,286,594,150,132,280,2855,2870,5725,58,63,124,48,38,85,83,104,188,37,48,78,53,73,127,3,4,9,175,237,409,192,254,451,278,265,543,30,43,78,69,100,167,460,581,1043,595,654,1247,19,20,46,7735,8356,16094,41,42,78,38,25,69,15,18,28,69,85,156,12,8,22,62,87,151,138,185,327,9503,8279,17786,47,36,84,24,42,67,9577,8360,17943,3737,2864,6607,53,69,120,21451,20119,41575
SOSR522,56,67,124,1376,1392,2773,0,0,0,145,162,300,6,4,5,2019,2121,4137,65,60,124,15,6,22,46,65,108,12,16,27,109,99,213,8,4,10,160,169,329,63,56,116,147,150,291,12,21,30,137,162,300,260,293,550,453,521,978,8,12,22,5048,5294,10342,28,17,44,45,30,75,3,5,11,102,110,216,10,10,22,20,31,49,129,156,289,5048,4314,9365,32,17,52,22,30,47,5105,4361,9466,2100,1825,3921,28,48,77,12546,11805,24346
SOSR531,738,798,1541,12579,11970,24547,0,0,0,1437,1292,2734,41,41,86,15610,13168,28779,317,308,628,375,230,601,315,377,688,130,120,254,359,378,731,18,8,23,576,531,1107,560,480,1040,1424,1203,2630,84,113,197,356,360,716,2166,2132,4303,3173,2921,6097,83,94,179,39620,35708,75327,299,99,400,453,233,691,67,56,125,230,183,418,64,27,93,244,308,556,542,526,1060,48557,35478,84031,297,171,470,139,192,337,49001,35839,84840,26784,10779,37560,503,262,774,118008,84308,202315
SOSR579,25,5,32,170,39,218,0,0,0,23,4,32,0,0,0,309,46,356,0,0,0,9,0,13,0,0,0,0,0,3,3,0,0,0,0,0,6,0,6,7,3,17,19,3,23,0,0,0,0,0,0,29,7,41,43,0,47,3,0,3,632,122,754,19,0,19,22,4,25,0,0,5,0,0,0,0,0,0,3,0,3,6,0,6,856,127,986,14,0,12,9,0,10,876,125,1001,1272,129,1401,143,16,164,3003,413,3413
SOSR603,1247,1632,2882,11401,15006,26405,0,0,0,649,731,1378,111,112,218,12680,15565,28254,75,108,186,830,861,1688,156,237,394,177,188,362,167,233,403,100,111,210,246,308,558,709,836,1546,966,1236,2207,124,159,279,135,174,309,1335,2216,3547,1738,2072,3809,107,154,262,31712,40311,72017,3550,2856,6407,1689,1252,2951,86,87,171,7,6,11,849,634,1479,314,430,743,1168,1065,2233,49386,47864,97251,399,300,697,104,208,308,49885,48372,98258,6303,5773,12077,312,165,476,95961,101511,197474
SOSR611,488,560,1052,4737,6331,11064,0,0,3,596,678,1268,78,88,166,4495,5402,9896,81,82,163,108,122,229,158,213,372,73,100,174,58,83,137,35,32,58,245,289,535,358,437,795,737,865,1600,82,131,218,55,62,116,837,1289,2129,1086,1318,2404,49,61,110,13869,17576,31443,1081,900,1981,665,506,1170,36,34,71,0,0,3,247,175,419,222,258,478,465,434,901,19723,19207,38925,156,115,271,51,77,118,19931,19393,39317,2644,2384,5026,91,75,170,39268,41861,81130
SOSR612,160,220,380,2303,2999,5307,0,0,0,422,492,911,144,150,295,2220,2873,5090,42,64,112,40,44,87,97,137,230,67,85,150,38,46,86,3,3,8,111,126,237,227,286,508,215,295,512,48,73,123,46,52,102,620,949,1565,561,706,1272,7,13,20,7213,9402,16619,264,219,479,143,91,231,9,7,13,0,0,4,83,51,137,62,99,161,143,151,297,11680,11549,23227,71,45,118,32,34,59,11777,11632,23408,1581,1531,3114,32,33,69,21326,23285,44614
SOSR613,18,43,60,741,955,1703,0,0,0,141,165,311,9,14,25,659,867,1532,12,16,27,3,9,12,29,36,64,3,10,18,10,9,18,0,0,0,17,25,35,109,134,241,139,159,301,19,39,56,12,14,27,236,343,573,162,210,372,0,6,6,2298,3009,5311,30,19,50,3,6,13,0,0,0,0,0,0,7,7,12,8,18,28,21,23,39,3050,3037,6085,12,11,27,0,10,12,3061,3060,6117,450,404,857,4,7,13,5882,6580,12458
SOSR614,29,58,90,1192,1458,2650,0,0,0,104,138,239,7,3,14,990,1201,2183,8,8,6,15,19,29,31,44,72,11,8,22,19,22,39,0,0,0,18,15,32,43,58,108,58,57,114,18,30,48,13,14,26,190,288,477,124,140,269,4,4,9,2835,3507,6347,24,25,46,11,12,25,6,0,4,0,0,0,4,0,4,7,35,42,17,34,53,4353,4156,8505,21,18,41,12,17,31,4395,4189,8583,674,654,1331,7,7,8,8002,8485,16486
SOSR615,127,230,354,4722,5831,10550,0,0,0,420,534,958,136,165,300,3535,4237,7771,45,65,109,58,72,125,153,193,347,106,110,215,52,64,115,3,0,7,135,157,295,277,316,597,562,658,1217,50,82,134,66,99,167,749,1216,1965,871,1011,1885,37,54,92,11988,14861,26843,222,165,382,144,95,242,7,10,16,6,3,8,51,34,81,70,131,196,122,168,293,15917,15236,31154,80,73,150,51,78,125,16050,15383,31433,2252,2250,4498,68,40,110,30971,33202,64168
SOSR621,61,85,141,1880,2091,3973,0,0,0,71,80,151,6,3,7,1209,1431,2636,4,7,19,26,17,49,47,73,117,29,28,59,19,24,43,0,0,0,31,34,59,49,72,124,191,182,367,11,19,30,27,30,50,274,353,628,234,262,498,13,17,28,4119,4719,8834,61,40,107,24,13,35,4,7,8,0,6,11,3,3,12,20,47,70,29,56,86,5687,5175,10856,34,29,64,16,23,45,5734,5227,10964,914,778,1691,38,19,60,10987,10946,21934
SOSR622,35,45,81,711,763,1478,0,0,0,50,41,89,5,0,6,498,542,1034,0,10,11,5,8,16,16,21,37,11,18,27,10,9,21,0,0,0,17,19,32,29,29,58,83,70,158,5,9,14,6,14,21,153,191,345,91,97,191,0,6,6,1696,1850,3544,15,3,19,10,10,22,0,5,7,0,0,0,0,0,0,15,30,43,15,30,43,2396,2186,4585,6,9,14,4,19,22,2411,2214,4620,442,390,830,6,0,7,4632,4540,9170
SOSR631,218,342,564,7809,8265,16079,0,0,0,586,573,1156,93,85,180,5910,6235,12145,64,72,134,95,93,189,262,308,570,154,152,313,100,133,240,0,0,4,213,227,438,380,404,783,822,801,1626,73,87,160,146,155,304,1408,1555,2961,1600,1626,3226,82,72,147,19798,20852,40647,159,117,271,196,86,280,38,41,82,0,7,10,30,17,45,138,251,388,173,277,453,28918,25278,54197,185,147,340,94,122,218,29203,25550,54753,4729,4180,8909,89,42,128,54599,51491,106089
SOSR679,4,0,3,21,10,28,0,0,0,0,0,0,0,0,0,37,13,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,9,0,4,0,0,0,83,30,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,31,128,0,0,0,0,0,0,97,31,127,106,14,118,8,0,13,299,76,378
SOSR703,1565,2266,3835,3718,4126,7845,0,0,0,787,895,1674,0,0,0,11490,12971,24465,64,75,136,2121,2000,4122,148,206,351,137,164,300,308,397,706,86,80,164,346,392,744,683,880,1558,590,601,1188,56,70,123,155,202,361,1329,1725,3057,1320,1557,2875,50,53,105,23388,26389,49769,2819,2458,5281,1648,1258,2903,67,62,123,38,50,85,524,456,979,224,276,495,774,784,1565,27619,25787,53402,206,129,337,74,136,212,27897,26054,53948,9438,7782,17216,2054,530,2586,69642,67583,137228
SOSR712,149,221,374,713,777,1488,0,0,0,297,343,639,5,4,8,2144,2399,4538,18,24,41,46,32,80,19,23,41,85,95,179,513,715,1228,19,18,35,55,74,130,217,273,489,154,137,291,12,26,41,61,92,150,329,482,812,415,429,848,24,33,55,5130,5977,11104,360,293,650,144,116,260,27,24,45,8,19,18,205,172,379,43,55,97,250,244,492,5753,5701,11449,48,21,75,22,32,53,5825,5750,11575,1523,1565,3087,55,50,101,13458,14238,27703
SOSR714,37,50,84,226,237,465,0,0,0,62,91,154,0,0,0,505,559,1062,5,3,7,23,14,33,13,12,26,4,4,5,17,15,34,3,0,6,21,24,45,62,58,116,37,25,60,4,10,16,25,23,46,75,88,162,79,119,199,3,0,4,1161,1289,2443,117,92,209,45,26,71,5,6,13,0,0,3,21,22,40,10,10,24,34,28,61,1472,1414,2883,8,3,9,0,7,8,1480,1419,2900,682,625,1305,20,11,29,3570,3552,7119
SOSR715,33,48,82,554,606,1157,0,0,0,105,118,222,0,0,0,1403,1546,2945,4,0,4,24,20,44,5,10,8,0,3,8,21,15,41,4,5,3,194,192,388,37,56,95,49,29,71,3,3,3,37,34,68,1078,1092,2168,825,784,1616,0,0,4,4332,4509,8840,47,36,88,37,28,67,5,4,9,848,787,1638,7,12,20,8,14,25,865,806,1680,2475,2344,4821,12,19,33,29,32,63,2515,2399,4910,1407,1128,2533,15,28,42,9249,9000,18250
SOSR721,45,56,100,801,845,1649,0,0,0,521,573,1093,0,0,0,746,794,1542,0,0,0,5,10,19,3,0,4,8,5,14,247,284,533,0,0,0,131,155,283,97,110,207,26,33,59,5,5,5,7,16,26,563,602,1161,167,185,350,4,3,8,3337,3622,6957,35,24,59,12,5,17,9,6,9,323,329,647,0,0,3,8,16,18,329,343,675,2340,2243,4585,10,6,18,10,8,14,2360,2258,4613,767,688,1454,28,33,65,6916,7026,13943
SOSR722,13,39,51,301,296,598,0,0,0,596,605,1202,0,0,0,1058,1137,2200,8,3,10,12,9,16,5,14,16,6,0,8,672,737,1409,0,0,0,211,218,423,165,183,347,37,33,74,0,0,3,54,45,96,298,331,625,270,315,588,3,6,12,3701,3930,7633,17,15,25,8,4,13,4,6,6,179,164,343,6,0,8,9,19,25,188,182,374,1929,1735,3661,8,4,9,10,18,29,1947,1755,3704,933,886,1816,9,8,17,6820,6822,13646
SOSR731,185,309,489,1905,1964,3866,0,0,0,403,399,801,0,6,5,3100,3113,6213,30,19,49,105,89,194,52,46,102,35,25,63,771,909,1676,0,0,0,133,136,265,187,184,374,318,269,590,37,34,70,70,69,138,875,1017,1893,663,689,1349,19,12,31,8689,8983,17672,36,29,68,63,42,107,19,8,29,362,335,692,6,4,6,34,62,99,397,399,800,9710,7955,17664,67,50,116,52,53,99,9824,8052,17875,5439,3315,8752,246,101,345,24898,21242,46134
SOSR779,7,0,8,31,8,36,0,0,0,7,0,4,0,0,0,44,10,53,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,3,0,3,7,4,11,0,0,0,101,21,121,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,23,177,0,0,0,0,0,0,152,23,180,149,14,166,12,7,17,429,73,494
SOSR802,5531,7145,12674,16495,20296,36795,4,10,10,1817,2048,3858,13,26,42,40567,46430,86992,108,126,230,3263,3505,6770,318,438,755,345,359,703,849,1107,1959,423,443,872,1158,1315,2472,1945,2257,4203,2859,3356,6214,228,268,498,347,407,750,3314,4594,7910,4862,5723,10583,140,167,308,79077,92864,171940,10763,9808,20570,7717,6897,14615,409,473,882,20,33,50,2310,2015,4326,731,950,1674,3057,2994,6055,101004,95245,196247,1289,934,2219,321,491,812,102613,96671,199283,13352,11679,25036,547,595,1151,223072,229119,452187
SOSR822,0,0,3,18,33,59,0,0,0,0,0,0,0,0,0,71,75,142,0,0,0,5,3,6,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,6,3,11,0,0,0,0,0,0,9,4,10,4,7,11,0,0,0,116,135,253,4,3,4,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,3,7,167,144,306,0,0,0,0,4,6,166,147,317,18,16,26,0,0,0,310,299,614
SOSR831,5,0,5,42,36,80,0,0,0,3,0,6,0,0,0,71,69,139,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,8,9,5,3,6,3,5,14,0,0,0,0,0,0,0,3,4,0,6,8,0,0,0,138,126,262,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,3,4,0,3,3,149,118,268,0,0,0,3,3,4,149,120,267,59,36,96,0,0,0,360,289,649
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,88,94,183,28,21,49,0,0,0,9,9,22,0,0,0,68,55,124,0,0,0,5,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,6,0,9,0,0,0,0,0,0,4,12,20,12,15,27,0,0,0,139,123,264,3,0,3,202,176,381,0,0,0,0,0,0,0,4,4,0,5,7,0,4,8,205,163,374,0,0,4,0,0,0,206,167,375,217,169,384,5,0,6,870,733,1605
SOSR921,0,3,3,195,243,433,0,0,0,6,12,16,0,0,0,92,123,216,0,0,0,0,0,0,4,8,10,0,0,0,0,3,0,0,0,0,0,0,0,7,9,21,9,24,35,0,3,3,8,5,17,64,83,148,14,14,25,0,0,0,413,517,931,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,6,3,314,297,611,5,0,3,4,3,9,321,298,619,127,132,262,5,3,8,874,966,1846
SOSR922,0,0,4,24,28,53,0,0,0,5,3,6,0,0,0,40,27,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,3,5,12,8,19,0,0,0,86,81,166,3,0,3,196,178,375,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,156,113,265,0,0,0,0,0,0,154,116,269,90,79,167,3,5,3,529,463,993
SOSR931,43,29,71,52,53,107,0,0,0,0,5,10,0,0,0,22,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,6,5,0,0,0,9,14,28,16,14,30,9,8,15,0,0,0,132,130,253,0,3,5,0,0,3,0,0,0,4,8,15,0,0,0,0,0,0,4,8,13,142,135,271,3,0,3,0,0,0,139,133,280,296,83,376,4,0,5,622,385,1009
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
