SOSR_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
SOSR514,40,5,9,0,59,22,0,6,0,31,20,5,17,0,41,21,3,32,5,60,93,12,74,0,171,67,14,121,0,199,371,38,125,5,541,225,50,160,13,451,255,103,163,8,524,294,149,125,11,583,132,187,85,8,416,203,184,46,3,441,351,419,93,11,873,254,393,44,8,701,147,291,32,3,474,70,161,9,0,236,177,339,22,3,542,248,489,99,3,832,44,21,19,5,99,3033,2868,1279,81,7262
SOSR515,149,17,49,7,218,65,7,23,0,96,59,8,76,3,146,51,15,124,0,189,279,48,205,12,543,185,57,325,13,575,1221,135,356,22,1737,700,189,363,31,1279,723,307,390,31,1456,767,428,320,35,1543,406,436,215,18,1081,492,520,176,24,1219,1114,1242,281,30,2663,824,1112,104,7,2047,650,950,90,14,1700,378,570,29,0,977,849,1360,58,13,2282,893,1525,329,20,2765,185,69,81,13,346,9989,8995,3586,299,22870
SOSR521,76,16,20,0,112,39,7,30,3,79,24,8,68,9,109,26,4,75,5,104,134,38,99,4,278,90,32,159,11,305,569,83,162,24,839,310,98,209,26,644,300,121,159,22,604,360,170,116,7,656,157,183,75,6,424,225,201,63,8,497,456,458,82,12,1005,321,336,52,0,710,258,300,22,6,585,117,180,12,4,313,260,375,33,0,669,348,583,170,19,1117,99,40,56,6,201,4170,3238,1666,176,9251
SOSR522,34,3,4,5,51,16,9,3,0,37,18,12,66,0,98,20,3,73,4,102,115,68,75,11,269,60,61,96,8,219,314,129,108,15,565,225,82,98,20,419,170,110,95,16,382,193,114,65,10,379,82,84,31,4,206,121,104,33,0,260,229,217,45,8,497,159,132,17,3,311,104,133,5,0,248,56,70,9,0,130,128,163,11,0,305,188,269,88,5,554,75,45,54,12,182,2316,1800,984,118,5217
SOSR531,433,88,53,11,588,222,32,23,0,282,142,37,83,9,269,106,28,129,15,269,663,125,227,20,1022,362,130,255,18,761,1865,214,275,29,2385,1311,337,358,54,2060,1515,574,347,46,2479,1638,779,304,25,2748,906,764,220,15,1905,1131,842,200,19,2196,2193,1917,292,25,4436,1536,1764,153,17,3470,1241,1504,89,10,2842,729,1073,58,9,1863,1905,3059,111,19,5098,1567,3374,444,16,5407,406,205,102,23,735,19878,16840,3732,375,40824
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,298,66,114,16,500,102,18,44,10,172,98,32,118,13,263,79,19,209,10,320,413,96,458,28,993,362,134,818,40,1353,1901,282,872,47,3105,1605,474,1072,117,3259,1963,736,1179,111,3989,2318,1267,969,102,4653,1403,1143,697,62,3302,1511,1180,597,76,3371,2920,2916,899,119,6854,1886,2492,334,50,4761,1218,2161,209,29,3609,788,1474,71,11,2341,1678,3706,235,25,5644,789,1558,705,31,3083,216,90,135,13,452,21554,19832,9737,904,52028
SOSR611,102,14,50,4,172,53,15,22,4,88,36,13,49,3,99,41,10,114,3,170,202,43,214,5,464,139,70,386,11,612,1068,151,440,20,1680,714,232,556,57,1560,784,410,543,42,1780,978,615,439,46,2089,497,562,302,24,1383,522,533,219,30,1304,1237,1243,298,44,2820,666,984,124,14,1787,486,786,67,12,1354,244,466,19,0,730,511,1026,52,4,1602,345,615,292,17,1268,108,35,57,15,213,8739,7838,4235,365,21174
SOSR612,58,9,37,0,99,26,0,15,0,43,29,0,36,0,78,25,3,85,4,117,142,18,153,3,316,87,23,295,11,416,901,85,331,12,1325,529,141,342,30,1038,446,204,304,25,984,525,369,262,23,1183,285,334,171,12,796,322,318,121,18,781,623,692,167,16,1505,341,483,51,4,885,221,377,28,3,626,96,208,8,0,312,184,339,29,4,559,240,418,169,7,837,88,28,55,5,177,5171,4060,2665,177,12084
SOSR613,14,3,0,0,17,10,4,0,0,16,11,3,5,0,19,8,0,15,0,25,54,5,35,0,92,35,5,58,4,106,346,24,87,6,460,158,22,95,6,290,164,59,89,6,320,164,99,71,7,343,115,72,41,3,228,83,82,35,0,205,153,191,31,4,385,93,149,17,3,263,55,111,7,0,173,30,71,0,0,94,50,109,8,0,166,82,134,58,0,273,31,3,9,0,47,1653,1151,675,42,3519
SOSR614,14,3,5,0,26,11,4,3,0,17,15,0,12,0,25,14,3,24,0,38,56,9,57,0,131,38,9,94,3,146,346,29,98,4,475,166,46,128,9,353,175,80,125,11,395,245,110,84,15,457,118,121,68,4,312,124,141,45,7,309,237,283,61,5,591,150,201,22,5,382,90,107,8,0,210,49,81,8,0,140,55,116,8,0,179,99,179,80,5,357,31,5,25,0,62,2047,1533,951,69,4599
SOSR615,121,13,32,3,165,52,4,18,3,75,45,3,30,0,79,61,3,84,4,148,287,21,189,3,497,211,44,297,4,551,1529,120,362,19,2024,819,182,452,32,1485,781,314,369,31,1497,915,474,328,26,1739,460,514,195,13,1188,514,501,153,17,1190,965,1087,228,21,2297,526,820,65,9,1426,303,550,28,3,886,164,337,6,0,513,241,503,30,5,775,347,586,231,8,1173,150,36,58,6,244,8480,6114,3148,222,17956
SOSR621,41,4,7,0,45,25,0,5,0,37,19,9,8,0,37,16,5,23,0,42,97,4,42,0,151,86,11,89,4,193,470,40,99,6,621,298,56,104,5,459,291,108,101,8,507,279,149,69,4,507,181,154,53,0,384,160,167,35,7,375,316,326,66,8,715,210,306,20,3,546,127,188,15,4,340,63,125,0,0,191,116,241,9,0,365,170,221,92,0,487,51,16,13,0,75,3022,2133,850,65,6075
SOSR622,15,0,0,0,18,8,0,0,0,9,7,0,7,0,17,9,0,13,0,25,39,7,19,0,69,40,11,35,0,76,233,14,36,4,288,153,34,49,3,237,129,53,40,0,231,146,72,34,0,249,72,69,23,0,164,81,63,16,6,164,113,122,26,0,256,89,97,10,0,197,40,91,5,0,136,26,35,3,0,61,51,74,3,0,126,78,112,29,0,220,28,6,9,4,46,1348,855,351,23,2584
SOSR631,219,40,45,3,309,141,18,16,9,181,102,13,54,0,174,113,18,87,6,219,513,65,155,6,746,373,74,289,10,746,1999,227,297,19,2538,1318,343,406,41,2108,1322,612,434,21,2390,1441,863,336,21,2671,833,799,206,18,1856,969,839,155,13,1976,1736,1821,244,34,3831,1071,1542,109,16,2734,741,1062,60,6,1864,390,679,31,4,1103,763,1404,56,4,2219,737,1426,345,11,2516,222,79,54,5,363,14994,11923,3379,249,30550
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,144,32,72,10,261,30,9,24,0,70,36,11,67,7,128,37,11,142,3,197,134,45,191,10,371,102,50,294,17,459,409,109,329,17,859,345,174,346,32,901,455,368,448,40,1309,672,518,450,46,1684,508,532,426,35,1493,607,653,355,51,1663,1727,1796,651,91,4278,1341,1594,271,66,3270,1056,1519,187,27,2803,685,1187,87,18,1984,1528,3137,232,36,4930,1056,1646,392,21,3107,99,80,75,8,263,10978,13475,5035,533,30033
SOSR712,29,6,18,4,56,12,0,9,4,21,5,0,30,5,42,3,4,44,0,59,50,15,57,3,126,19,19,67,5,97,85,33,61,7,183,61,45,88,10,199,79,77,119,14,283,112,91,95,9,303,86,82,87,11,270,91,106,66,6,263,325,350,110,18,801,298,348,45,15,707,244,319,42,4,611,130,228,22,0,385,345,535,43,4,927,164,295,89,11,560,13,18,28,0,65,2139,2579,1116,123,5955
SOSR714,6,0,0,0,9,3,0,0,0,10,0,0,4,0,7,0,0,23,0,27,12,5,23,0,42,0,5,24,0,36,24,10,20,0,55,21,21,20,4,63,20,18,24,3,68,24,24,33,0,84,16,27,13,5,48,24,25,25,0,74,70,60,23,0,158,62,71,14,0,147,52,67,4,5,129,29,41,3,0,77,55,53,0,0,118,37,82,13,6,136,9,3,11,0,25,468,524,283,33,1301
SOSR715,10,4,3,3,24,48,68,69,7,196,19,84,176,6,278,4,25,59,8,100,114,201,106,10,432,22,109,63,4,199,74,151,103,17,340,51,125,53,10,241,26,132,61,10,233,28,88,50,6,168,19,65,19,5,108,16,69,23,0,122,69,95,37,0,203,74,109,21,0,204,76,77,6,0,166,35,73,6,4,121,87,146,5,3,246,64,218,72,8,370,25,41,32,6,108,883,1883,984,114,3860
SOSR721,8,0,3,0,10,26,27,40,5,91,13,37,131,4,190,4,15,60,0,74,103,143,77,11,325,28,76,42,3,143,71,127,64,12,275,45,107,67,15,227,25,109,51,10,193,49,79,38,6,172,22,58,20,0,105,34,36,27,0,104,84,73,21,5,182,51,62,6,0,123,56,66,12,0,135,40,49,0,0,88,65,101,8,0,174,42,103,51,4,194,11,5,20,3,40,780,1264,720,86,2847
SOSR722,8,0,4,0,13,32,26,29,5,94,12,33,117,3,169,0,14,47,0,68,140,158,98,11,409,21,74,57,3,155,82,121,68,22,291,38,116,62,18,230,37,100,42,11,184,35,96,48,10,186,14,43,31,0,88,15,39,12,4,72,50,55,28,3,139,45,37,0,0,86,29,25,0,0,62,20,13,0,0,35,32,23,5,0,59,48,131,64,6,259,30,53,41,4,123,688,1176,762,99,2720
SOSR731,56,9,13,0,82,42,25,16,0,80,25,32,103,7,167,14,14,58,0,87,122,108,79,12,324,54,58,60,3,170,228,134,77,14,455,153,106,94,21,376,147,123,98,10,386,190,122,88,12,404,119,96,53,0,275,132,111,56,4,307,323,305,92,8,730,273,309,46,4,629,246,331,22,0,598,173,269,19,0,456,330,680,36,6,1049,269,559,123,11,961,114,88,53,7,259,3006,3477,1177,128,7792
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,560,92,196,19,868,157,29,80,20,288,121,31,170,5,320,87,35,266,8,392,398,98,477,30,1006,380,183,697,32,1296,1719,313,760,59,2853,1523,478,973,99,3078,2251,849,1279,121,4496,3431,1398,1312,181,6322,2604,1506,1375,110,5590,2755,1818,1274,129,5973,6626,5232,2717,300,14870,5498,5433,1128,239,12295,4628,6191,938,133,11896,3367,5618,422,96,9504,8995,21618,1237,123,31974,1572,3007,1181,63,5819,268,199,134,15,609,46948,54131,16611,1768,119459
SOSR822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,0,3,0,3,0,0,0,0,4,6,0,0,0,6,0,0,0,0,3,3,7,5,0,20,14,3,0,0,20,3,6,0,0,14,3,19,0,0,18,18,43,0,0,57,4,3,5,0,13,5,0,0,0,5,66,92,19,0,178
SOSR831,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,6,3,0,0,0,5,4,0,0,0,5,3,0,0,0,6,9,0,0,0,6,4,3,4,0,16,8,7,4,0,20,6,6,0,0,13,4,0,0,0,6,5,19,0,0,28,3,6,0,0,11,0,0,0,0,0,51,45,19,3,116
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,3,0,6,0,9,3,0,0,0,3,5,3,3,0,15,3,8,4,0,14,11,6,3,0,22,5,7,3,0,20,9,20,5,0,37,15,18,0,0,30,11,22,3,0,39,5,11,0,0,17,24,31,0,0,51,13,21,0,0,35,0,0,0,0,4,114,149,34,0,294
SOSR921,4,0,0,0,6,4,0,0,0,4,0,3,0,0,3,0,0,0,0,0,8,0,4,0,12,7,0,5,0,13,18,0,3,0,24,20,0,13,0,33,13,0,15,0,34,24,14,3,4,45,15,11,9,0,34,24,15,0,3,43,23,26,5,0,57,18,16,0,0,38,9,11,5,0,24,9,10,6,0,16,4,3,0,0,10,13,14,6,0,27,0,0,0,0,4,229,127,64,11,425
SOSR922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,7,15,3,0,0,20,4,4,0,0,6,9,10,3,0,21,10,4,0,0,19,4,0,0,0,5,5,9,4,0,6,10,15,0,0,23,4,7,0,0,13,0,5,0,0,9,7,3,0,0,8,9,6,0,0,14,9,12,0,0,25,0,0,0,0,0,76,83,15,0,179
SOSR931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7,8,0,0,0,4,11,0,0,0,8,6,0,5,0,14,7,5,3,0,16,7,0,0,0,12,5,0,0,0,3,0,4,0,0,5,9,5,0,0,22,4,7,0,0,13,3,4,0,0,3,0,4,0,0,4,5,5,0,0,3,0,4,3,0,11,6,7,5,3,20,73,54,27,10,159
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
