SOSR_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
SOSR612,17381,19390,36772,6520,3895,10413,2255,4894,7149,581,607,1183,761,575,1342,10124,9972,20090,6282,8463,14745,7.5,5.8,6.7,58.2,51.4,54.6,53.8,48.4,51,451,502,956,171,347,521,1279,1988,3266,995,1651,2640,4562,3097,7658,289,555,846,250,432,683,5106,4083,9186,16889,18418,35306,2972,3396,6377,11183,12194,23377,7582,8574,16156
SOSR613,4871,5650,10521,1695,976,2666,601,1430,2030,164,191,358,162,142,304,2625,2736,5360,1993,2668,4662,6.3,5.1,5.7,53.8,48.4,50.9,50.5,45.9,48,90,129,220,57,109,165,335,629,963,266,484,754,1371,859,2233,59,131,191,74,139,218,1507,1131,2637,4855,5408,10263,630,784,1413,3410,3683,7091,1822,2242,4066
SOSR614,6464,7053,13519,2460,1310,3764,779,1780,2564,228,259,488,247,197,441,3713,3542,7258,2358,3096,5454,6.6,5.5,6.1,57.4,50.3,53.7,53.6,47.5,50.4,155,176,328,61,127,192,430,700,1130,327,588,909,1860,1104,2964,67,154,229,63,139,203,1997,1398,3391,6459,6839,13302,918,989,1906,4326,4552,8872,2660,2909,5563
SOSR615,25237,27788,53029,9703,5257,14961,2969,7007,9971,828,1002,1829,899,757,1651,14398,14017,28414,9467,12300,21768,6.2,5.4,5.8,57,50.4,53.6,53.5,47.7,50.5,683,764,1448,248,548,800,1772,3107,4877,1521,2419,3938,7140,4233,11370,334,668,993,316,589,907,7786,5487,13271,24729,26588,51319,4044,4374,8415,16211,17142,33352,11048,12345,23394
SOSR621,9173,9197,18368,3417,1735,5150,1256,2493,3746,376,385,758,259,225,480,5300,4834,10134,3284,3839,7119,4.9,4.6,4.7,57.8,52.6,55.2,55,50.2,52.6,351,378,733,107,249,356,842,1282,2125,589,846,1429,2515,1231,3741,113,189,304,155,205,365,2784,1627,4407,8819,8820,17640,1299,1316,2614,6100,6013,12112,3534,3710,7247
SOSR622,3934,3903,7835,1327,665,1986,494,976,1472,130,157,288,113,100,207,2059,1893,3953,1590,1737,3322,5.3,5.2,5.3,52.3,48.6,50.5,49.5,46,47.8,131,136,262,41,90,132,341,481,828,269,377,648,1072,572,1637,41,96,136,56,79,138,1171,741,1911,3685,3639,7326,548,550,1097,2592,2512,5102,1481,1522,3006
SOSR631,45239,42734,87973,18361,9291,27653,6460,12604,19069,1830,1843,3673,1299,1007,2307,27961,24739,52703,14555,15546,30098,4.6,4.1,4.4,61.8,57.9,59.9,58.9,55.5,57.3,1471,1796,3268,550,1155,1708,4089,6486,10576,3170,4448,7617,13046,6293,19345,471,989,1455,578,959,1535,14102,8235,22334,45164,42399,87568,5307,5386,10692,32705,30066,62771,15556,15680,31239
SOSR679,289,73,362,208,30,237,11,11,19,10,9,19,4,0,3,230,50,282,31,24,58,0.9,2,1.1,79,67.1,76.6,78.4,65.8,75.8,0,3,3,0,3,4,33,10,46,37,7,44,63,15,76,7,0,6,9,4,13,76,25,98,158,48,207,33,11,50,117,28,146,76,32,107
SOSR703,54421,54424,108845,26062,19947,46009,6409,10807,17212,2593,2980,5576,1582,1422,3001,36639,35158,71794,11715,13546,25259,4.3,4,4.2,67.3,64.6,66,64.4,62,63.2,3713,4322,8030,999,2127,3124,7514,11025,18537,4510,5016,9520,11829,6091,17919,651,892,1538,703,859,1559,13178,7843,21018,45883,46250,92136,12763,13155,25918,25334,25108,50443,29514,30777,60284
SOSR712,10551,11585,22136,5203,4371,9579,1103,1921,3020,508,611,1126,284,252,541,7106,7158,14261,2376,3318,5695,4.1,3.5,3.8,67.4,61.8,64.4,64.6,59.6,62,668,898,1565,181,469,656,1412,2299,3711,870,989,1859,2285,1251,3536,91,147,240,136,185,322,2508,1591,4093,9470,9888,19353,2534,2849,5381,5501,5740,11242,5599,6206,11807
SOSR714,2811,2875,5685,1151,1016,2165,226,342,569,166,176,339,87,67,159,1628,1603,3232,679,794,1474,5.3,4.3,4.8,58,55.7,56.9,55,53.3,54.1,145,160,300,27,77,111,263,480,743,213,232,446,595,294,889,52,51,105,31,48,79,676,399,1070,2180,2143,4325,703,790,1496,1238,1228,2470,1415,1494,2914
SOSR715,6931,6854,13783,1811,1570,3380,408,664,1067,213,219,436,496,416,914,2924,2870,5792,3198,3385,6585,16.9,14.5,15.7,42.2,41.8,42,35,35.7,35.4,134,190,326,54,138,194,357,570,924,212,285,503,949,452,1404,96,136,227,121,105,230,1170,698,1860,7169,7098,14266,1020,1104,2126,5542,5473,11009,1962,2052,4015
SOSR721,5318,5541,10858,1562,1316,2875,383,623,1001,276,270,550,222,194,415,2436,2399,4842,2371,2694,5060,9,8.1,8.6,45.9,43.4,44.6,41.7,39.9,40.8,133,178,309,44,114,158,349,567,915,254,320,567,922,473,1399,104,136,241,80,95,178,1103,709,1811,5338,5456,10795,922,993,1913,4008,4139,8151,1765,1877,3646
SOSR722,5165,5403,10571,984,831,1821,405,567,972,282,284,567,359,295,650,2031,1981,4008,2589,2888,5483,17.6,14.8,16.2,39.2,36.6,37.9,32.3,31.2,31.8,82,127,214,36,99,139,240,381,615,193,254,453,819,356,1179,82,121,211,82,104,190,989,582,1570,5377,5365,10740,812,872,1688,4252,4304,8554,1444,1480,2926
SOSR731,20822,17550,38374,6861,4580,11441,1404,2339,3744,1416,1377,2790,526,458,979,10207,8748,18962,6668,6228,12899,5.1,5.2,5.2,49,49.9,49.4,46.5,47.2,46.9,377,561,932,186,496,681,1243,2170,3410,1214,1609,2815,5396,2105,7495,300,375,682,275,300,575,5967,2782,8748,16667,15168,31839,2909,2917,5819,12158,11158,23318,6366,6053,12417
SOSR779,414,64,482,215,21,235,12,3,16,18,4,27,4,0,4,253,35,285,29,15,47,1.6,0,1.4,60.7,48.4,59.1,59.8,48.4,58.2,0,0,0,4,8,11,38,8,42,58,6,63,88,8,96,10,0,10,21,0,23,115,9,131,230,46,276,47,6,52,164,28,193,112,20,129
SOSR802,180045,188615,368662,93003,70415,163423,26859,44361,71216,5412,7691,13100,5458,4538,9995,130729,127007,257739,41614,54433,96043,4.2,3.6,3.9,72.6,67.3,69.9,69.6,64.9,67.2,27276,25124,52397,6366,10239,16602,40278,48973,89245,15105,19007,34107,25039,14551,39588,1464,2018,3483,2000,3577,5578,28499,20143,48647,170751,177144,347897,40207,40839,81051,102657,107825,210481,97007,99496,196505
SOSR822,239,239,482,119,87,205,40,72,107,10,9,18,9,0,9,174,170,346,59,68,119,3.4,1.2,2.3,72.5,70.1,71.3,70,69.3,69.6,18,21,41,7,19,22,39,58,98,28,33,58,54,26,76,0,0,0,4,3,9,57,26,85,268,271,536,25,19,39,203,201,400,79,81,162
SOSR831,303,250,555,184,83,267,27,58,81,14,17,32,0,3,9,225,163,385,34,51,83,0.9,2.5,1.6,73.3,64.5,69.3,72.6,62.9,68.2,12,14,26,8,11,15,50,59,106,13,32,43,74,21,92,5,5,14,6,7,6,83,31,110,192,193,385,108,56,157,116,114,233,158,127,292
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,723,605,1327,347,195,542,57,122,181,32,20,52,3,6,12,441,351,793,85,100,190,1.1,2,1.5,60.9,57.8,59.5,60.2,56.6,58.6,14,24,35,13,16,27,52,81,127,45,49,94,169,58,229,18,16,34,3,14,10,184,90,277,535,462,999,112,99,209,384,338,723,222,191,408
SOSR921,729,839,1571,294,233,530,124,241,363,39,44,86,13,7,23,467,529,998,168,222,394,2.6,1.3,1.9,64.2,63.1,63.6,62.6,62.2,62.4,17,23,43,3,27,30,70,106,175,47,103,150,226,85,309,5,25,32,12,15,33,243,125,370,600,694,1298,152,154,297,419,466,887,293,363,658
SOSR922,442,380,821,238,131,364,46,55,97,15,19,30,5,6,10,301,210,504,70,96,164,1.3,3.4,2.2,67.3,54.8,61.6,66.4,52.9,60.2,16,18,37,10,13,23,59,47,114,30,23,46,81,32,113,12,7,20,0,5,5,91,46,137,356,309,667,76,62,135,261,219,474,156,129,287
SOSR931,547,338,886,124,92,211,42,72,116,13,15,29,5,9,16,184,190,374,302,86,391,2.7,4.3,3.5,34.1,55.6,42.3,33.2,53.3,40.8,14,17,33,3,10,10,23,40,63,27,31,55,82,31,117,3,5,13,7,8,8,92,41,137,290,270,555,48,49,94,191,204,391,116,97,214
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
