SOSR_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SOSR511,26755,28015,54775,4,4,9,19,24,44,52,64,116,66,137,202,13,11,23,14,10,27,12,7,21,106,142,246,16,16,24,19,27,50,333,282,621,38,94,134,25,16,45,18,22,42,164,153,318,161,142,304,30,32,59,68,56,118,27,21,43,83,109,193,36,33,66,123,132,259,1144,1071,2213,55,39,94,391,583,976,36,56,92,52,71,120,677,731,1410,34,40,71,53,98,148,32,127,166,2303,2424,4725,88,88,175,34,79,113,772,875,1648,1562,1589,3150,43,49,92,35471,37465,72939
SOSR512,43384,44400,87787,58,28,81,13,9,30,87,143,234,153,165,318,33,22,54,25,19,41,73,70,145,181,271,454,15,8,16,22,32,59,460,384,843,84,173,255,33,22,60,6,5,13,154,174,323,183,162,341,15,49,59,42,50,100,0,0,0,123,116,238,38,33,68,185,220,406,1962,1805,3776,77,61,134,784,1119,1904,32,44,70,58,77,129,759,842,1605,83,58,140,29,54,80,121,373,498,3401,3835,7235,141,172,311,104,136,237,1432,1436,2871,4608,4130,8733,111,94,209,59066,60799,119864
SOSR513,26383,24601,50981,14,6,15,19,13,34,46,99,144,83,163,252,25,20,45,18,16,33,36,34,69,127,177,309,16,10,26,27,37,62,388,268,653,75,145,220,16,12,31,3,3,10,190,163,352,82,67,147,10,47,53,22,29,54,3,0,7,81,87,168,29,21,49,97,95,190,1579,1312,2886,41,24,68,547,672,1224,26,38,70,61,66,132,529,531,1058,83,60,146,26,49,72,63,283,352,2556,2446,4996,85,113,201,44,81,125,1074,1017,2088,6864,4779,11644,206,135,346,41570,37730,79299
SOSR514,10015,10406,20425,6,4,6,0,4,7,27,52,83,16,23,43,3,0,8,6,3,8,0,7,7,87,129,218,8,5,7,3,7,8,74,48,124,17,38,62,9,3,9,0,6,4,69,57,127,76,45,123,7,28,36,19,19,42,0,0,3,15,26,40,6,3,8,53,39,91,341,350,683,14,8,18,93,154,251,9,23,35,18,28,46,112,127,240,19,17,30,8,27,39,14,40,54,931,1002,1934,54,43,96,18,21,34,303,346,642,1117,1072,2196,62,20,83,13626,14253,27874
SOSR515,35309,34493,69804,93,51,146,12,9,24,62,97,171,90,107,197,25,24,48,15,6,14,51,23,77,193,250,439,17,10,26,16,23,38,194,171,369,56,138,191,14,7,26,6,5,5,166,166,333,194,169,357,14,39,59,21,25,52,11,4,13,107,126,237,20,12,28,181,180,357,1604,1469,3071,30,24,60,528,716,1242,32,43,77,65,67,126,400,396,799,47,37,83,31,97,128,75,246,320,3167,3351,6521,154,163,322,63,83,150,1179,1120,2302,5996,5112,11103,327,161,490,50568,49230,99799
SOSR521,14807,14095,28896,6,0,5,0,0,0,26,26,55,15,30,43,5,11,14,0,4,6,16,13,34,70,107,176,4,8,9,7,7,18,59,76,136,18,44,60,8,5,11,3,0,3,76,62,140,67,47,110,5,16,15,4,9,18,0,0,0,35,31,64,5,6,7,73,63,137,631,539,1171,0,3,4,229,288,519,10,14,18,20,16,32,160,164,326,9,7,19,20,46,58,22,85,103,1276,1282,2554,38,61,98,20,29,51,387,382,777,3278,2491,5772,53,69,120,21451,20119,41575
SOSR522,9345,8830,18174,6,3,11,0,4,0,9,11,24,10,12,23,11,4,12,0,3,4,6,12,15,38,54,92,6,0,6,0,0,9,43,39,79,11,17,27,4,0,4,7,0,5,29,38,66,27,20,49,3,8,11,0,5,8,0,3,4,13,14,25,6,4,13,39,48,82,316,292,608,8,4,10,55,80,132,6,7,18,4,13,12,67,72,132,8,3,12,0,8,11,4,22,23,793,689,1483,23,29,55,5,8,17,180,186,363,1436,1229,2662,28,48,77,12546,11805,24346
SOSR531,74820,58311,133126,69,6,75,31,5,42,186,239,424,234,149,383,96,58,156,30,10,44,88,29,116,459,522,980,36,19,54,51,49,107,387,170,554,139,147,283,96,10,105,39,11,46,536,311,847,479,313,790,22,88,109,56,34,91,24,4,33,264,210,468,24,4,25,413,354,763,3877,2230,6108,57,18,74,639,485,1129,87,88,174,143,141,284,1268,960,2226,95,35,136,31,77,113,64,260,331,7736,6993,14727,316,318,634,258,201,455,2953,1907,4864,21397,9270,30664,503,262,774,118008,84308,202315
SOSR579,1000,174,1179,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,3,8,0,13,0,0,0,0,0,3,16,0,24,11,0,11,0,0,0,0,0,0,20,5,24,0,0,5,0,3,7,0,0,3,0,0,0,10,0,13,0,0,0,8,3,10,108,14,128,3,0,3,50,9,60,8,0,7,0,0,3,23,0,22,4,0,4,0,0,0,5,4,7,219,36,255,6,0,7,6,0,6,84,14,94,1234,123,1358,143,16,164,3003,413,3413
SOSR603,71330,76120,147450,52,57,107,284,168,456,198,220,411,2363,2994,5357,77,75,154,52,46,97,54,74,131,391,426,819,160,190,349,289,305,591,2262,1674,3940,134,190,328,133,123,258,27,42,67,140,170,315,240,201,446,75,192,270,226,255,479,39,26,67,344,477,821,2213,1845,4060,288,305,594,795,832,1625,559,250,808,365,688,1054,116,194,314,129,177,307,439,461,901,423,370,792,164,200,363,128,294,427,3748,3638,7392,411,467,876,429,555,985,2487,2692,5178,4083,4337,8426,312,165,476,95961,101511,197474
SOSR611,30620,33146,63767,78,88,168,50,41,87,68,88,156,338,439,770,8,12,20,14,17,31,12,23,31,116,91,210,20,13,31,44,58,105,759,506,1264,39,47,81,114,120,233,8,6,11,54,55,107,68,74,147,16,38,50,51,67,118,5,9,16,153,188,342,715,679,1393,139,159,293,319,312,628,254,98,355,114,337,445,28,54,82,58,47,110,108,133,241,131,113,244,33,54,87,33,92,117,1361,1330,2695,99,130,227,100,132,230,1063,1084,2141,1992,1924,3916,91,75,170,39268,41861,81130
SOSR612,17800,19601,37409,0,0,0,14,6,17,15,12,29,81,116,194,11,0,11,16,11,30,17,19,34,61,54,114,5,9,13,20,25,46,228,147,371,10,30,38,5,7,15,13,11,17,18,20,34,29,12,40,7,10,19,16,18,29,7,4,13,27,39,64,133,120,254,56,72,127,196,156,350,48,10,62,41,182,222,14,16,29,9,10,20,60,56,111,65,69,133,36,63,99,9,47,59,709,725,1433,55,50,110,31,40,63,281,269,549,1169,1209,2384,32,33,69,21326,23285,44614
SOSR613,4999,5600,10597,0,0,0,0,0,0,0,15,17,6,12,26,0,0,5,0,0,0,0,4,3,11,15,26,0,0,0,0,0,6,16,17,32,0,5,7,0,0,0,0,0,0,5,8,13,7,4,14,0,0,0,0,0,0,0,0,0,4,4,3,14,10,24,53,56,111,40,53,90,0,3,5,9,45,52,0,3,8,3,0,3,5,11,14,7,7,15,0,9,9,5,11,15,221,245,463,12,10,26,0,3,4,56,51,105,377,368,747,4,7,13,5882,6580,12458
SOSR614,6810,7147,13956,0,0,0,0,0,0,9,10,25,6,17,24,0,6,7,0,0,0,0,5,5,24,36,60,5,0,9,0,0,0,12,12,17,0,6,10,0,0,0,0,0,0,12,9,24,6,0,12,0,4,4,5,4,3,0,0,0,6,13,17,13,9,26,31,30,57,82,97,178,0,0,8,8,39,48,4,3,6,4,0,4,12,29,37,12,9,20,0,3,3,5,20,19,287,332,617,23,23,44,0,6,6,71,67,142,546,550,1101,7,7,8,8002,8485,16486
SOSR615,25591,27488,53083,3,0,3,11,5,17,33,53,93,67,90,159,7,0,9,11,13,21,9,12,24,99,111,204,20,10,23,18,25,39,152,97,252,13,33,45,12,8,23,4,4,13,34,27,59,47,29,75,8,26,32,31,12,42,3,3,9,32,39,68,133,110,240,167,154,317,358,393,749,67,28,95,53,186,238,24,14,34,11,19,29,106,116,222,33,20,52,14,25,35,20,58,74,1465,1561,3031,75,87,158,7,17,20,395,397,792,1804,1896,3699,68,40,110,30971,33202,64168
SOSR621,8879,8794,17664,0,0,0,4,0,5,18,25,41,16,39,51,8,6,8,3,0,3,7,3,6,39,42,86,0,0,0,4,3,8,28,22,45,9,8,17,6,3,9,5,0,5,13,6,22,18,10,26,3,8,12,7,15,21,0,0,0,11,24,33,48,33,83,49,62,109,137,136,272,6,0,7,22,65,83,3,12,20,7,18,26,56,58,116,7,9,23,8,10,18,3,18,21,544,555,1097,50,46,98,4,6,13,149,170,314,797,721,1517,38,19,60,10987,10946,21934
SOSR622,3696,3638,7331,0,0,0,0,0,0,11,8,21,5,6,16,0,3,6,0,0,0,0,0,0,21,22,47,0,0,0,0,0,0,8,3,13,4,3,6,0,0,0,0,0,0,11,7,14,9,4,8,4,4,4,3,0,5,0,0,0,0,11,11,8,3,15,20,23,42,60,51,113,9,0,12,5,19,22,0,3,5,3,5,7,14,11,25,4,5,7,6,4,10,7,16,18,280,247,531,12,27,29,0,3,7,59,62,118,376,354,725,6,0,7,4632,4540,9170
SOSR631,44486,41753,86232,3,4,11,6,5,10,113,121,236,50,122,173,10,4,14,10,4,17,16,16,35,235,282,518,17,12,34,24,33,52,130,78,206,34,49,77,15,4,20,3,0,8,88,85,164,67,36,108,13,56,73,22,38,61,3,0,7,43,57,102,87,73,153,231,189,422,738,732,1472,112,25,129,57,214,272,35,45,84,25,56,82,215,210,424,42,31,73,19,37,59,19,90,107,2743,2456,5197,245,246,493,19,48,68,688,715,1406,3859,3525,7382,89,42,128,54599,51491,106089
SOSR679,224,61,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,4,11,0,0,0,0,0,0,4,5,5,36,0,35,8,0,13,299,76,378
SOSR703,42465,40574,83039,27,7,34,385,250,631,116,130,244,558,848,1412,16,8,26,43,23,63,142,161,299,253,332,585,628,507,1138,126,152,280,2113,1812,3923,401,823,1221,64,36,98,7,3,16,293,315,608,220,158,376,53,108,160,125,156,284,33,16,48,287,345,635,1366,1168,2529,109,133,242,1191,1067,2254,400,206,607,2109,3003,5109,46,66,106,114,172,287,344,304,645,556,517,1072,127,281,410,202,611,816,2349,2252,4609,193,211,416,412,610,1020,2877,3238,6116,6849,6445,13292,2054,530,2586,69642,67583,137228
SOSR712,8784,9389,18166,0,4,3,23,17,36,26,34,61,64,120,186,0,0,0,4,6,10,57,48,107,52,66,123,12,7,23,13,22,41,522,454,981,27,40,62,8,3,9,0,0,0,42,36,79,38,34,70,10,20,33,20,27,45,3,0,7,22,23,48,122,104,221,30,36,68,400,435,828,48,23,64,250,326,575,13,13,26,10,5,22,82,97,176,73,52,122,24,41,65,20,53,71,418,410,823,373,302,676,35,51,89,604,642,1248,1188,1247,2440,55,50,101,13458,14238,27703
SOSR714,2421,2442,4863,0,0,0,7,5,9,0,4,8,8,15,23,3,0,5,0,0,0,15,15,33,6,11,19,3,4,3,0,0,0,57,51,113,5,8,12,0,0,0,14,0,13,10,12,23,4,9,14,0,6,8,0,0,0,0,0,0,7,8,14,85,64,153,5,8,12,67,50,114,6,4,11,82,128,214,0,0,3,0,0,0,22,17,39,22,17,42,0,5,13,5,10,18,69,85,155,9,10,20,11,7,22,91,75,171,494,443,940,20,11,29,3570,3552,7119
SOSR715,7721,7670,15388,3,0,3,6,3,13,5,4,6,17,25,46,0,0,0,0,0,0,27,30,52,17,8,26,3,4,13,0,4,3,53,35,86,13,18,25,0,4,4,8,4,11,11,4,23,4,0,7,0,0,0,3,5,6,0,0,0,14,9,28,16,19,36,6,5,8,110,82,196,3,0,6,35,97,129,4,4,10,0,0,4,18,27,45,8,3,14,5,3,3,11,23,32,91,87,179,4,9,12,4,9,10,118,116,239,891,660,1555,15,28,42,9249,9000,18250
SOSR721,5827,5953,11778,0,0,0,3,0,3,3,16,16,14,16,27,0,0,0,0,0,0,9,7,16,12,19,27,0,0,0,5,0,6,22,13,34,6,12,18,3,0,3,0,0,0,12,14,18,9,8,17,7,7,8,11,9,15,0,0,0,7,13,17,17,6,23,16,11,26,68,82,148,0,3,0,35,44,75,0,3,4,5,0,8,23,19,36,19,7,26,0,3,3,7,21,29,106,123,230,5,11,16,5,4,10,111,106,215,543,478,1024,28,33,65,6916,7026,13943
SOSR722,5898,5907,11803,0,0,0,0,0,0,4,8,16,4,7,9,0,0,0,0,0,0,0,0,8,17,18,31,0,0,8,0,0,6,12,9,19,8,6,13,0,0,0,0,0,0,5,3,7,6,4,11,0,0,0,3,3,4,0,0,0,0,4,3,3,0,9,8,16,25,80,69,156,0,0,0,7,30,39,0,4,5,0,0,0,8,6,20,3,6,8,0,0,0,0,7,10,112,105,218,3,9,17,4,8,8,76,58,133,540,509,1046,9,8,17,6820,6822,13646
SOSR731,17934,15840,33768,0,0,5,8,0,8,29,37,66,16,28,47,0,5,6,5,0,4,19,14,30,99,107,204,18,9,26,0,6,8,34,29,64,28,60,94,5,0,5,0,0,0,58,39,101,48,31,75,0,13,13,16,15,23,0,0,0,30,42,70,8,10,18,66,60,126,405,330,740,5,3,6,60,170,237,11,9,17,8,11,19,73,66,143,9,11,17,9,11,16,35,109,145,736,666,1401,53,71,122,96,106,204,486,410,891,4247,2815,7063,246,101,345,24898,21242,46134
SOSR779,204,37,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,18,3,24,0,0,0,0,0,0,15,3,16,133,17,146,12,7,17,429,73,494
SOSR802,151391,153252,304641,445,294,734,1001,927,1928,638,736,1371,5366,6802,12165,637,710,1345,296,251,544,487,568,1058,986,1182,2166,456,546,1003,930,962,1900,9146,8098,17244,485,828,1313,583,532,1115,402,344,742,461,430,900,950,949,1899,235,610,846,1163,1386,2554,252,221,464,1279,1555,2836,3068,2635,5699,459,527,990,2631,2452,5087,1667,1235,2902,1987,3069,5057,423,571,995,538,626,1173,1121,1215,2337,1599,1680,3277,288,401,687,503,1109,1614,8101,7719,15816,1571,1758,3333,1704,2377,4073,10923,12089,23009,8324,7886,16209,547,595,1151,223072,229119,452187
SOSR822,271,256,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,23,0,4,3,0,0,0,3,4,13,10,9,22,0,0,0,310,299,614
SOSR831,255,216,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,3,0,3,0,4,5,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,11,10,24,4,0,0,0,0,0,13,10,25,57,39,89,0,0,0,360,289,649
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,395,328,721,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,5,3,0,0,0,0,0,0,4,6,11,6,11,17,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,4,0,0,0,118,111,230,0,0,0,0,0,0,12,17,30,5,0,5,15,9,23,0,0,0,21,10,37,5,3,15,0,0,0,0,0,0,4,6,15,27,19,46,0,5,5,0,0,3,16,7,28,222,174,397,5,0,6,870,733,1605
SOSR921,540,583,1120,0,0,0,0,0,0,8,5,10,0,4,4,0,0,0,0,0,0,14,19,28,0,3,6,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,121,149,266,0,0,0,16,21,35,0,0,0,0,0,3,5,0,9,0,0,0,0,0,0,0,0,0,15,35,54,4,4,11,0,0,0,22,27,53,117,110,227,5,3,8,874,966,1846
SOSR922,355,327,681,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,23,0,0,0,0,0,0,5,4,11,0,0,0,5,0,5,0,0,0,7,0,7,10,0,13,3,0,3,0,0,0,0,0,0,28,5,34,0,0,0,0,0,0,13,9,20,94,91,179,3,5,3,529,463,993
SOSR931,212,198,414,4,0,4,0,0,0,0,0,5,4,0,4,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,11,0,11,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,38,32,72,0,0,0,0,0,0,37,44,75,4,0,4,4,8,9,0,0,0,6,0,9,0,0,0,12,0,12,0,0,0,3,0,3,24,16,37,8,3,9,7,0,7,108,10,119,75,68,147,4,0,5,622,385,1009
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
