SOSR_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SOSR203,1842,6073,65,7986,33456,1932,54,43437,333,6183,19,6548,29120,1821,61,37544,79,1179,4,1263,19451,1732,15,22463,5,51,0,58,8779,1311,4,10160,62985,20769,2140,85901,210646,17710,353,314605
SOSR211,467,1490,24,1983,8197,574,47,10801,111,1188,4,1303,7194,428,54,8978,18,169,5,186,3622,307,8,4127,0,6,0,9,1126,111,0,1245,20831,5233,697,26762,54087,5790,175,86814
SOSR212,1281,4413,66,5762,24230,1622,49,31656,251,4317,18,4583,21001,1538,37,27156,41,681,0,724,13388,1407,12,15533,4,35,0,36,5658,1073,7,6776,44077,14232,1470,59774,139218,13869,346,213214
SOSR213,1057,4325,61,5442,23596,1367,30,30432,213,3866,22,4098,22796,1369,16,28283,50,669,0,722,15650,1504,11,17882,6,47,3,54,6401,1235,6,7695,39059,13444,1582,54089,135076,12573,229,201975
SOSR214,660,2315,37,3019,15293,1041,17,19371,147,2512,6,2665,16939,1212,13,20833,32,438,0,477,11504,1189,7,13183,7,22,0,30,4805,802,3,5635,19949,7721,762,28428,84176,8173,115,120898
SOSR215,1082,3772,45,4894,24221,1711,25,30851,229,3765,23,4022,23783,1901,13,29721,57,651,4,713,14981,1490,12,17190,14,43,0,60,6085,900,5,7047,33875,12050,1417,47340,122588,12996,199,183126
SOSR221,308,1134,17,1460,7614,587,4,9666,72,952,9,1026,7345,581,9,8963,19,150,0,176,3854,394,0,4418,4,14,0,15,1337,275,0,1635,9066,3197,321,12589,34285,3641,43,50560
SOSR222,206,648,16,868,4572,484,9,5932,35,577,5,617,3792,356,7,4772,11,77,0,82,1897,227,3,2210,0,0,0,7,593,89,0,689,5146,1899,222,7274,20318,2980,107,30678
SOSR231,2824,9170,103,12103,53730,5283,40,71155,579,8017,58,8652,44647,4536,32,57867,87,1193,9,1296,20928,2463,16,24700,13,51,0,66,4956,797,4,5817,63024,25628,2222,90872,229540,31389,354,352148
SOSR279,0,3,0,4,45,111,0,158,0,0,0,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,55,121,385,0,565
