SOSR_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
SOSR331,170,62,2146,413,106,1094,423,2306,180,6899,438,416,2681,419,193,439,858,2106,174,7722,2388,1372,5220,711,394,508,2453,2991,367,16413,4672,2198,5659,721,588,482,3187,2444,498,20459,6848,2912,5733,1021,847,773,4469,2941,663,26205,6801,2503,4853,888,867,732,4627,2962,558,24794,3946,927,1167,212,294,325,1286,990,243,9406,1482,142,94,18,46,73,128,180,129,2287,181,4,6,0,7,10,9,17,30,267,26934,10549,27553,4408,3350,4434,17445,16935,2839,114454,103,138,392,1599,504,2478,92,1210,165,6680,342,832,532,1575,974,897,198,957,127,6451,1531,3417,1092,2290,2870,1060,382,1524,244,14395,2946,4867,1021,2705,4289,1163,385,1491,331,19193,4216,5244,1140,3640,5624,1782,602,2161,394,24806,3486,3842,865,3064,4785,1512,443,2249,315,20573,1856,919,175,594,1263,371,81,594,175,6033,565,65,21,38,173,41,4,88,102,1097,46,3,0,0,10,0,0,13,19,92,15091,19326,5243,15504,20507,9309,2199,10286,1869,99322
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,3,4,0,16,0,8,0,0,0,0,3,12,0,28,0,9,0,0,0,0,9,10,0,25,0,5,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,0,5,0,0,21,32,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,3,0,0,3,0,13
SOSR401,194,274,2199,1758,372,3498,741,5022,267,14314,1133,3478,6951,3798,1954,3657,2411,5219,612,29203,6731,16066,16392,6376,4962,4221,6900,8426,1372,71441,11450,16530,13409,4794,5066,3075,6271,5990,1353,67944,11788,12587,11463,3927,4508,2895,6160,5503,1229,60047,8281,9051,8791,2970,3683,2368,5806,4498,876,46326,2321,3385,2077,718,1000,841,1271,1132,265,13005,398,507,212,51,132,154,88,141,107,1794,33,28,15,3,6,12,5,13,30,146,42323,61900,61513,24395,21685,20722,29644,35925,6108,304224,176,376,455,4088,887,7650,130,2117,217,16097,1243,5004,1588,8515,4363,5660,306,2005,433,29112,5471,22956,3802,13292,10833,4788,583,3672,983,66378,7869,21645,3013,10707,12350,3537,502,3408,945,63978,7508,16208,2483,9512,13855,4042,654,3943,812,59021,4569,11117,1697,7416,11951,3691,535,3661,509,45137,973,2737,379,1384,2971,832,123,869,167,10431,84,201,44,74,254,77,14,72,83,899,6,7,6,5,11,11,0,11,34,81,27896,80250,13470,54999,57468,30282,2844,19755,4178,291145
SOSR412,20,12,328,93,20,345,79,524,20,1437,81,125,702,159,75,250,242,453,43,2139,428,644,1574,384,209,284,689,697,109,5030,719,653,1171,289,239,203,709,469,91,4542,766,693,1082,315,278,214,831,484,106,4767,636,457,832,240,217,202,827,422,103,3927,169,185,195,65,58,72,175,114,27,1064,29,18,14,5,3,3,19,16,6,108,3,0,0,0,0,0,0,0,0,12,2851,2791,5892,1551,1092,1570,3580,3182,513,23021,19,24,42,365,79,759,21,256,15,1574,99,302,132,637,296,385,40,173,40,2103,370,1270,287,987,744,505,83,264,55,4568,483,1263,218,880,901,398,47,298,54,4549,550,1093,218,946,1156,461,65,410,46,4942,375,694,161,784,787,365,66,403,52,3699,70,134,35,127,168,70,12,98,15,736,9,9,4,3,15,4,0,9,9,60,0,0,0,0,0,0,0,0,0,9,1973,4792,1101,4730,4152,2956,331,1909,289,22235
SOSR413,14,14,234,101,12,283,51,456,16,1179,72,111,490,162,44,163,118,371,26,1558,312,503,1008,313,134,235,347,615,71,3536,558,605,774,297,151,163,368,456,67,3439,705,708,765,300,171,183,479,501,87,3897,577,600,661,281,178,176,552,430,77,3528,219,263,164,87,56,71,148,146,24,1177,47,42,23,5,7,13,9,15,12,170,7,0,0,0,0,0,0,3,0,11,2516,2845,4120,1530,764,1286,2071,2995,379,18493,15,12,36,338,60,536,5,220,18,1252,84,252,84,476,193,254,14,165,20,1549,246,994,179,766,485,400,28,315,39,3448,410,1018,147,659,619,287,27,341,37,3545,498,1075,166,809,763,399,23,378,49,4164,379,745,124,816,681,342,26,394,27,3536,112,193,31,148,225,59,6,87,12,873,15,13,0,11,24,3,3,7,14,100,0,0,0,0,0,0,0,0,3,7,1759,4307,778,4017,3058,2284,144,1908,230,18489
SOSR414,3,4,63,28,8,94,14,166,9,378,20,21,207,34,17,47,37,150,7,541,142,127,424,70,36,85,142,290,27,1340,215,178,303,66,56,66,141,245,27,1295,242,151,297,79,94,77,177,227,16,1360,185,144,241,79,67,77,173,225,19,1203,101,58,86,27,23,28,47,55,7,437,22,10,7,0,4,7,10,9,11,77,0,0,0,0,0,0,0,0,0,0,924,697,1622,377,304,477,752,1361,127,6642,6,5,19,125,13,162,7,85,8,418,24,60,44,163,50,94,11,72,7,526,99,297,93,259,206,106,9,145,15,1231,155,324,78,243,258,116,13,123,24,1330,169,295,98,269,287,144,22,155,20,1453,111,229,50,291,233,135,13,158,18,1238,33,83,16,37,68,30,0,39,5,308,13,4,3,0,10,6,0,4,5,46,0,0,0,0,0,0,0,0,0,6,608,1289,406,1380,1129,796,66,771,91,6547
SOSR415,31,17,333,101,20,307,59,535,38,1439,94,105,736,142,61,166,223,550,48,2131,529,579,1628,274,146,227,637,931,86,5032,879,595,1261,244,201,237,688,745,108,4965,1037,629,1162,282,257,252,717,801,133,5288,959,524,1019,264,249,249,886,785,115,5052,429,217,274,62,88,83,247,212,37,1657,127,27,30,7,13,11,25,26,33,296,9,0,0,4,0,0,0,0,7,32,4096,2700,6449,1376,1046,1537,3478,4585,607,25877,18,16,68,447,60,568,15,279,35,1506,77,280,128,540,240,338,35,229,23,1887,375,1223,325,933,744,451,104,446,63,4668,574,1240,273,920,972,377,71,445,66,4948,665,1060,287,1119,1163,524,85,557,69,5527,509,862,195,941,990,436,60,601,59,4648,199,209,47,193,265,92,25,149,37,1212,37,13,0,8,33,11,0,18,24,146,4,0,0,0,0,0,0,0,0,8,2454,4899,1316,5102,4474,2803,398,2728,373,24554
SOSR421,9,0,119,30,6,70,16,113,5,360,24,19,208,36,8,33,53,132,4,529,148,133,388,49,38,49,148,238,24,1218,243,130,374,62,57,48,158,190,31,1293,304,163,349,62,67,61,245,208,37,1497,307,153,311,76,67,66,298,242,38,1562,190,63,82,13,24,29,107,76,17,604,34,10,9,0,0,4,9,17,8,94,3,0,0,0,0,0,0,0,3,5,1270,671,1831,333,275,363,1032,1211,167,7165,4,3,13,126,11,145,4,90,3,416,16,64,40,148,57,77,12,48,5,465,83,328,74,218,209,93,26,119,17,1163,145,290,70,257,241,113,16,122,15,1257,178,253,96,286,314,142,17,176,19,1480,198,280,55,291,304,138,33,183,17,1501,70,67,15,59,71,39,6,48,15,398,11,0,4,0,8,4,0,4,4,41,0,0,0,0,3,0,0,0,0,9,712,1281,366,1384,1224,754,115,788,110,6723
SOSR422,6,0,58,7,0,25,11,79,4,192,15,15,92,18,7,18,34,74,0,270,90,66,204,54,12,16,92,116,9,655,118,57,155,35,23,32,86,112,18,632,163,82,179,43,21,21,159,134,22,817,184,82,211,43,39,42,163,178,19,954,85,47,55,7,17,8,72,51,8,351,22,3,4,0,0,0,3,11,6,55,3,0,0,0,0,0,0,0,4,11,675,345,963,205,125,164,619,760,92,3940,9,3,10,63,4,55,3,32,6,169,11,35,18,70,27,41,5,23,0,228,47,151,43,139,85,58,5,62,8,593,72,124,41,122,131,52,7,73,4,628,99,134,34,155,165,75,15,116,13,804,101,167,44,194,171,73,17,124,19,915,42,46,11,32,50,20,0,28,0,227,9,6,0,0,5,0,0,3,4,31,0,0,0,0,0,0,0,0,0,3,385,674,187,778,638,370,43,468,56,3602
SOSR431,81,18,603,139,30,326,103,798,62,2157,291,146,864,162,68,180,286,688,60,2733,1251,564,1645,219,108,155,698,1070,123,5833,2200,781,1559,225,169,170,896,866,145,7021,3136,918,1732,316,251,266,1185,1085,185,9073,3262,928,1610,296,294,285,1202,1202,183,9259,1885,376,430,74,79,114,346,400,105,3814,570,59,35,6,14,16,23,79,48,853,63,0,0,0,0,0,0,7,9,81,12733,3786,8477,1440,1017,1515,4741,6191,919,40829,41,36,83,580,114,731,22,408,45,2055,100,269,158,606,273,343,74,345,42,2207,516,1231,343,775,733,344,157,464,69,4627,1115,1701,326,894,1261,369,73,474,96,6303,1535,1719,401,1203,1765,580,118,693,120,8135,1496,1378,338,1118,1627,550,96,745,93,7443,835,395,58,212,478,82,34,218,71,2385,224,36,10,8,46,15,0,39,36,416,23,0,0,0,0,0,0,4,4,41,5887,6775,1730,5393,6294,3019,570,3375,569,33609
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,313,573,4527,3107,637,6139,2075,8759,418,26535,1638,5340,11736,5911,2521,5736,4754,8021,929,46594,10416,26496,30155,8364,6704,5567,12508,11482,2416,114114,20461,30131,27953,6457,7163,4180,12830,8786,2258,120217,20705,22752,22697,5293,6312,3836,11859,7651,1899,102999,14400,15658,16252,3879,5292,3128,10644,6668,1274,77192,4146,5747,3950,1037,1675,1384,2945,2355,442,23675,625,907,304,88,227,212,219,353,137,3075,36,52,10,4,24,22,4,20,50,232,72739,107662,117579,34132,30551,30204,57837,54096,9831,514630,346,676,966,7868,1687,12552,410,3751,391,28647,2030,7447,2910,13772,7156,8965,914,3064,653,46913,9836,37446,7213,19309,18946,8054,1925,5679,1675,110078,12901,37259,5913,17362,21626,6553,1707,6012,1544,110875,12021,28177,4739,16122,22647,7139,1758,6699,1258,100554,7061,17495,3131,11325,18485,5941,1297,5533,828,71099,1518,4381,696,2401,4969,1569,295,1436,256,17523,153,339,48,140,427,124,23,157,112,1516,6,13,6,0,24,9,0,10,40,99,45870,133228,25616,88306,95967,50909,8321,32336,6752,487315
SOSR511,4,9,259,76,15,269,76,411,26,1143,31,68,520,82,44,117,209,353,23,1446,237,402,1277,148,94,168,513,564,70,3479,440,525,1206,161,141,107,662,452,83,3782,494,538,1036,167,171,131,677,372,72,3662,372,452,771,134,158,115,631,330,43,3005,118,155,167,42,52,42,170,86,16,846,23,12,3,6,3,9,18,6,5,82,0,0,0,0,0,3,0,0,0,4,1713,2169,5240,821,674,965,2953,2587,338,17452,15,16,43,325,81,583,19,193,19,1290,70,161,113,383,218,214,37,140,19,1351,217,816,253,583,587,344,72,293,35,3211,317,980,218,700,706,335,77,366,51,3750,329,841,220,761,832,361,84,382,51,3844,213,574,114,512,648,269,62,281,22,2691,50,142,24,92,143,42,16,72,13,588,8,10,0,7,4,3,0,8,0,42,4,0,0,0,0,0,0,0,0,3,1215,3535,989,3361,3229,2147,368,1733,203,16784
SOSR512,21,23,544,142,30,468,112,612,32,1968,69,123,973,140,55,221,282,488,36,2383,395,717,2091,302,157,266,849,774,95,5649,809,803,1789,332,182,235,883,631,100,5767,870,814,1535,391,217,243,1104,546,117,5837,787,690,1162,330,248,210,1084,550,88,5150,298,220,285,88,69,76,323,177,34,1567,47,34,25,5,15,17,19,28,14,203,8,0,0,0,0,0,0,4,6,23,3307,3428,8409,1733,965,1730,4660,3805,525,28560,22,33,109,573,109,843,38,280,24,2033,79,335,197,567,323,336,85,224,25,2176,356,1373,380,962,903,462,177,388,50,5049,550,1451,291,1087,1114,480,166,472,65,5663,650,1416,313,1144,1270,552,207,576,67,6200,454,933,196,872,1086,508,138,529,57,4768,131,214,46,178,315,121,25,147,23,1199,22,20,4,10,25,10,0,13,8,104,5,0,0,0,0,0,0,0,5,11,2270,5772,1536,5394,5139,3312,829,2625,327,27205
SOSR513,16,11,235,70,14,217,62,270,27,922,50,67,534,82,35,86,148,245,30,1277,365,644,1734,240,158,134,601,555,120,4550,711,690,1764,248,217,121,734,432,155,5063,676,540,1262,216,182,110,779,339,135,4236,521,433,773,143,151,106,686,298,61,3167,180,124,154,38,52,36,150,86,23,846,40,17,4,5,7,8,12,12,9,102,4,0,0,0,0,0,0,0,0,5,2543,2522,6459,1033,818,824,3172,2231,567,20171,8,14,57,187,98,328,23,130,28,880,56,196,86,279,242,157,57,104,26,1191,410,1165,323,675,804,318,173,335,57,4250,483,1038,246,725,910,265,112,321,84,4192,441,687,163,548,750,260,115,290,43,3297,301,471,96,342,545,226,68,223,36,2302,100,125,22,62,138,40,11,52,10,562,13,6,0,10,6,8,3,8,0,52,0,0,0,0,0,0,0,0,0,3,1801,3710,998,2823,3491,1602,550,1463,284,16732
SOSR514,0,5,89,42,6,100,13,141,4,406,19,13,174,29,4,31,35,123,5,427,111,103,459,71,33,41,117,232,21,1177,182,206,459,75,37,39,165,201,32,1399,203,192,398,54,30,57,202,164,25,1335,161,124,253,52,34,48,213,145,29,1060,67,64,55,10,20,25,72,43,9,367,9,8,5,4,0,0,8,7,3,43,0,0,0,0,0,0,0,0,0,5,759,718,1896,340,169,342,823,1052,128,6221,3,4,27,116,13,136,8,65,8,388,14,26,27,105,49,70,10,52,9,354,108,244,91,242,145,101,32,122,8,1101,192,370,101,292,242,149,30,148,19,1543,177,288,78,274,285,153,30,159,13,1454,113,188,56,160,198,132,22,122,12,999,25,58,14,45,62,39,6,29,3,277,3,9,0,5,8,4,0,3,0,31,0,0,0,0,0,0,0,0,0,0,645,1190,388,1234,990,787,132,699,74,6139
SOSR515,15,12,300,96,16,236,70,377,32,1153,50,141,662,94,36,92,183,356,28,1644,361,497,1718,293,115,166,662,793,108,4715,574,524,1504,258,154,102,867,574,120,4680,710,544,1284,236,166,151,1078,533,122,4819,607,445,1007,244,171,138,1018,533,103,4270,289,178,239,83,59,65,287,188,35,1422,79,18,21,4,15,15,15,37,15,219,0,0,0,0,0,0,0,0,7,14,2697,2368,6728,1297,744,969,4175,3392,572,22937,12,15,61,323,78,387,28,184,27,1113,56,201,124,356,243,182,78,173,28,1444,340,1059,349,771,745,290,189,425,70,4222,464,997,291,730,840,340,203,456,56,4375,494,829,258,742,863,372,192,499,72,4326,390,666,189,670,755,349,121,464,54,3667,147,188,42,135,212,91,30,105,24,976,24,10,4,6,14,13,0,17,10,114,0,0,0,0,0,3,0,0,0,7,1923,3964,1318,3734,3755,2040,845,2328,338,20248
SOSR521,5,4,112,19,3,58,33,132,15,382,24,44,203,24,10,44,91,144,11,593,157,170,539,110,38,40,304,244,35,1636,210,188,525,109,41,34,332,169,43,1659,281,195,466,97,54,39,413,223,53,1824,305,195,408,101,93,52,514,231,45,1943,146,62,95,19,27,28,155,86,22,639,41,8,3,6,3,5,10,12,6,90,7,0,0,0,0,0,0,0,0,12,1164,877,2359,496,270,304,1856,1233,237,8788,6,3,24,83,25,90,9,95,14,350,23,59,32,98,82,63,28,66,9,451,97,306,93,262,260,90,62,185,24,1387,179,312,96,274,285,102,67,156,31,1490,199,306,95,296,307,137,75,218,17,1651,190,277,90,261,311,150,55,205,18,1553,65,74,14,62,66,35,21,52,17,412,17,3,0,3,12,4,6,14,3,57,0,0,0,0,0,0,0,0,0,0,770,1342,449,1340,1334,678,319,991,128,7350
SOSR522,4,7,57,12,7,16,14,44,7,168,19,18,111,30,4,15,42,83,10,336,96,119,281,69,16,29,155,162,31,953,173,113,238,46,20,19,180,114,21,921,193,105,231,64,28,19,208,141,26,1014,209,104,207,51,42,35,274,126,26,1067,98,48,67,7,23,14,87,54,13,405,32,16,0,0,5,0,10,12,3,75,4,0,0,0,0,0,0,0,0,8,817,528,1189,288,147,146,968,724,145,4951,3,5,14,56,13,45,0,42,5,177,18,44,20,89,51,33,16,41,5,320,61,190,54,164,133,41,29,87,10,774,108,189,58,118,151,63,22,74,13,787,121,150,42,161,149,72,25,91,16,829,139,190,41,155,158,56,43,111,20,912,45,54,14,29,56,14,12,28,7,258,5,5,0,8,7,0,0,3,4,29,0,0,0,0,0,0,0,0,0,0,496,822,245,773,715,327,146,475,79,4089
SOSR531,80,26,629,133,21,310,183,755,61,2216,258,245,1258,219,69,174,603,830,55,3716,1296,1285,3391,327,160,153,1847,1427,141,10028,2468,1263,3650,279,225,170,2268,1134,176,11632,3438,1377,3549,398,326,215,2832,1152,245,13539,3334,1262,2717,353,347,263,2706,1198,208,12395,1930,460,639,83,107,126,669,426,83,4529,616,55,50,13,22,22,44,89,53,963,95,0,0,0,0,0,0,9,14,126,13521,5978,15884,1808,1289,1442,11170,7025,1031,59138,30,27,120,548,121,651,60,457,49,2047,113,347,261,562,343,298,197,407,73,2598,639,1525,478,796,1006,298,424,760,89,6023,1286,1802,552,915,1509,375,339,609,110,7488,1768,1850,543,1240,1986,608,490,814,141,9433,1733,1581,427,1100,1927,567,362,812,111,8623,876,424,96,232,524,135,55,264,56,2662,218,20,15,12,60,7,9,46,25,410,23,0,0,0,0,0,0,0,0,20,6674,7581,2489,5400,7482,2932,1930,4158,648,39300
SOSR579,0,0,0,0,0,0,0,3,0,3,0,6,15,9,0,0,0,20,0,54,5,42,103,8,0,0,18,64,0,237,18,80,204,10,11,0,52,105,9,494,27,92,175,10,18,0,60,66,10,451,21,53,90,6,5,0,32,29,8,234,5,8,10,0,0,0,4,7,0,32,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,76,290,596,37,33,6,168,289,18,1517,0,0,0,0,0,0,0,0,0,7,0,0,7,7,0,0,0,10,0,23,3,15,8,12,3,0,0,18,0,54,0,8,8,3,0,0,0,9,0,28,3,9,6,0,3,0,0,10,0,32,11,8,0,5,0,0,0,6,0,29,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,21,40,28,25,9,0,4,49,5,186
SOSR603,35,43,402,264,70,481,90,515,40,1931,202,431,1115,603,271,585,229,603,71,4125,1208,2685,3081,1512,931,983,1072,1774,282,13531,1736,2526,1949,861,695,440,684,933,209,10031,1829,2148,1506,720,711,429,618,645,172,8782,1279,1574,1218,469,539,320,694,612,105,6812,390,626,317,133,136,124,185,191,39,2158,69,69,30,15,25,25,24,13,20,288,3,4,0,0,0,4,0,0,8,15,6755,10106,9619,4588,3374,3387,3605,5295,939,47668,32,40,67,575,149,1001,35,303,37,2246,171,743,237,1210,645,844,34,278,52,4220,1011,3970,648,2804,1926,1070,97,815,201,12531,1349,3522,400,1629,1803,557,74,526,153,10013,1245,2929,370,1418,2097,548,80,515,119,9326,737,2074,267,1110,1805,488,79,522,104,7191,158,526,77,241,413,126,23,182,24,1773,29,35,4,8,42,17,0,14,18,160,0,3,0,0,0,0,0,0,4,14,4733,13836,2079,8999,8880,4653,414,3158,718,47471
SOSR611,24,16,195,102,23,241,62,290,17,959,94,142,531,202,78,219,181,346,48,1846,502,808,1140,483,232,335,622,717,100,4940,616,761,756,292,203,205,428,412,80,3764,715,670,625,256,269,217,444,380,61,3627,510,533,535,185,227,191,418,305,59,2983,139,197,141,46,51,64,117,93,11,857,21,25,16,3,14,10,14,11,6,116,5,0,0,0,4,4,0,0,0,14,2627,3150,3945,1570,1097,1488,2285,2549,396,19102,14,15,46,301,64,554,28,172,23,1222,64,248,129,594,213,363,21,126,25,1787,308,1292,257,1020,597,391,43,379,65,4360,379,1240,164,661,650,286,19,284,38,3730,416,1066,155,686,842,325,36,366,45,3936,279,725,111,537,713,275,41,292,28,2998,66,172,21,120,178,69,15,74,7,711,4,11,0,7,5,0,0,3,4,39,0,0,0,0,0,0,0,0,0,6,1525,4771,893,3929,3266,2263,203,1692,239,18780
SOSR612,13,5,138,34,3,176,26,172,8,576,51,50,304,72,33,98,92,179,17,899,187,250,622,185,88,121,266,415,49,2190,233,254,395,134,85,82,269,238,38,1727,270,258,363,145,99,103,319,256,36,1844,207,180,340,121,92,101,326,221,28,1621,60,78,80,28,34,18,65,60,13,438,12,4,3,3,5,5,3,11,9,55,0,0,0,0,0,0,0,0,3,7,1025,1082,2249,729,440,712,1361,1553,195,9354,10,10,26,122,43,331,9,82,7,638,45,110,57,256,131,185,18,98,10,918,141,495,119,500,268,216,20,257,24,2041,161,426,97,409,308,195,32,177,29,1834,180,349,86,472,403,204,16,231,17,1959,128,316,69,335,372,141,29,257,13,1653,20,65,18,67,66,32,10,41,9,318,0,11,0,3,4,0,0,5,3,33,0,0,0,0,0,0,0,0,0,3,685,1770,467,2154,1605,1311,134,1145,122,9396
