SOSR_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR501,29764,19357,12492,7493,2691,544,98086,792,8034,10219,9334,7201,4222,1340,222,41369,20563,78237,77979,53611,34068,22652,9001,2303,298420,9626,27909,33902,31685,26539,18474,8273,2288,158681,29577,57255,52315,46880,41069,26502,11902,3285,268788,10067,4490,3231,2601,2147,1433,554,117,24642,2110,3053,4468,5859,5630,4475,2348,766,28709,41755,64801,60020,55335,48839,32412,14805,4162,322135,900,1955,2436,2233,2022,2156,1504,544,13751,11966,17199,15929,13298,11734,11847,11295,8139,101419,87243,222239,230253,184862,142892,99255,48913,18211,1033862
SOSR511,329,294,214,146,37,11,1272,18,149,248,254,194,132,37,5,1035,242,1339,1577,1330,919,609,241,70,6326,158,718,984,967,939,643,278,77,4765,1618,2953,2867,2543,2124,1281,499,113,13999,557,301,178,143,104,62,22,12,1379,85,107,193,246,253,167,73,15,1134,2256,3366,3237,2931,2482,1509,593,137,16512,13,48,72,60,66,73,41,18,386,438,575,551,541,544,532,483,324,3985,3146,6409,7003,6377,5364,3643,1714,632,34279
SOSR512,589,444,341,227,79,11,2219,27,265,394,406,340,216,51,10,1718,471,2109,2338,1916,1430,1020,407,105,9793,286,1067,1524,1584,1585,1093,505,118,7756,2062,4385,4067,3903,3281,2045,865,230,20837,929,411,271,226,191,103,41,7,2181,122,176,218,363,344,303,116,38,1677,3116,4971,4555,4489,3813,2447,1022,278,24693,35,83,79,98,89,117,84,32,616,1146,1489,1480,1345,1490,1280,1012,673,9914,5127,10462,10953,10287,9094,6401,3155,1236,56712
SOSR513,463,304,234,149,37,5,1666,29,248,340,252,179,106,17,6,1179,302,2116,1874,1183,805,523,187,20,7012,158,906,1302,1098,930,589,170,20,5178,1030,3304,3279,2544,1881,1020,306,36,13393,385,265,212,116,91,60,10,0,1144,64,137,196,215,183,126,46,11,978,1476,3707,3685,2876,2150,1203,366,47,15520,27,46,66,63,62,57,33,5,361,1277,2379,2259,2061,1755,950,492,152,11322,3290,9869,9990,7833,6123,3577,1299,253,42240
SOSR514,138,87,73,82,29,4,506,6,53,108,86,70,60,19,3,409,53,501,714,538,327,334,151,33,2651,34,272,411,377,359,270,137,26,1880,368,876,981,900,723,481,157,39,4522,140,74,66,54,36,28,10,0,413,25,42,76,81,90,89,35,5,439,532,990,1119,1040,845,598,208,47,5374,3,18,30,22,39,41,19,4,177,287,341,335,328,316,295,251,168,2323,922,2258,2855,2483,2031,1687,808,285,13331
SOSR515,373,286,260,222,57,15,1553,21,251,265,269,255,184,46,8,1294,381,1864,1683,1312,1122,906,315,69,7644,173,851,1074,1170,1190,1021,372,64,5929,1433,3492,3336,2997,2841,1946,655,153,16845,544,343,199,173,170,94,29,4,1565,86,135,205,229,290,254,103,28,1323,2066,3975,3734,3401,3302,2299,791,180,19735,22,72,70,72,71,101,64,15,480,1432,1764,1701,1747,1593,1480,964,472,11150,4104,9108,8899,8257,7787,6204,2601,818,47786
SOSR521,115,107,125,80,24,3,584,5,72,82,87,101,69,9,0,422,93,600,586,485,453,311,122,30,2689,44,283,391,431,513,422,133,26,2239,450,1230,1152,1082,1268,857,265,47,6351,191,113,71,74,81,42,14,0,580,34,64,73,93,98,102,32,7,506,673,1414,1289,1242,1448,1002,316,58,7444,3,16,26,26,19,37,30,13,166,562,924,884,980,995,852,489,153,5841,1399,3406,3373,3358,3655,2770,1127,286,19379
SOSR522,67,66,82,63,24,0,378,0,46,34,57,65,54,9,0,268,66,347,328,234,270,266,79,10,1602,32,162,203,204,319,267,82,11,1284,273,634,597,607,663,502,159,28,3451,86,78,46,36,42,31,5,0,341,24,30,47,51,76,72,14,3,316,382,742,693,694,784,605,177,32,4114,3,11,17,12,23,31,16,0,121,327,353,384,397,524,554,292,99,2926,808,1726,1725,1669,2079,1842,681,153,10686
SOSR531,828,760,825,584,182,27,3929,24,336,489,633,652,459,63,11,2675,788,3694,3945,3787,3152,2284,613,75,18338,394,1467,2189,3047,3385,2373,682,110,13634,2865,6517,7148,7327,6958,3868,1061,118,35860,895,446,446,376,328,190,41,4,2728,162,230,391,602,706,567,178,34,2867,3925,7193,7983,8303,7998,4623,1281,156,41456,51,96,134,176,209,225,93,18,1008,3038,6248,6156,6327,5235,3048,1318,241,31614,8289,19688,21721,23041,21451,13598,4235,628,112651
SOSR579,10,16,12,0,0,0,55,0,3,7,8,7,6,0,0,31,6,69,69,62,43,21,3,0,277,8,29,90,89,58,13,7,0,292,35,129,215,193,110,17,7,0,703,7,8,4,6,4,0,0,0,28,0,3,10,13,11,0,0,0,41,44,141,231,211,122,22,3,0,776,0,4,9,3,6,4,0,0,20,53,223,434,404,223,52,10,0,1408,112,476,858,801,465,123,24,0,2853
SOSR603,3503,2100,1591,1153,419,107,16119,77,923,1078,1031,960,691,209,34,5005,2102,9298,6441,4567,3576,2953,1194,357,30489,537,2187,2241,2541,2362,1968,1020,323,13177,2200,5387,4645,4296,3870,2483,1269,391,24547,563,559,382,274,269,146,57,20,2269,179,292,302,374,494,509,239,123,2511,2943,6239,5322,4950,4631,3138,1560,535,29322,70,203,162,125,145,158,126,44,1034,1217,1870,1351,1179,1202,1466,1414,790,10488,7159,27769,20096,16488,14466,11527,5941,2194,105633
SOSR611,805,502,434,314,144,13,3817,17,227,316,255,250,194,66,12,1335,578,2828,2056,1681,1262,896,355,95,9749,199,737,898,1098,934,738,398,112,5116,1166,2577,2150,2164,1862,1129,580,194,11820,301,326,189,126,132,63,22,12,1183,92,135,141,190,186,225,113,44,1120,1560,3042,2488,2478,2176,1415,716,248,14124,35,79,50,68,52,67,60,20,428,701,794,524,537,575,618,662,335,4743,3144,9266,7134,6620,5680,4237,2392,838,39310
SOSR612,181,144,138,81,29,3,956,8,104,109,110,91,72,28,4,521,175,874,681,521,471,389,131,31,3266,72,343,448,576,543,398,209,60,2640,688,1687,1357,1367,1300,799,361,111,7658,216,224,125,119,83,50,16,4,846,67,66,94,102,154,137,56,11,683,964,1980,1572,1584,1538,984,439,125,9186,21,45,23,31,32,41,32,9,226,322,396,317,371,405,482,489,261,3045,1561,4109,3320,3323,3212,2452,1357,497,19838
SOSR613,35,23,42,26,11,4,220,6,22,27,34,40,31,10,0,165,43,182,201,160,169,145,51,11,963,23,81,91,165,166,129,72,20,754,182,393,379,402,426,261,146,35,2233,39,49,30,25,24,14,6,0,191,18,17,23,35,41,53,21,7,218,245,458,434,463,493,329,167,51,2637,8,6,0,12,4,15,8,0,54,102,63,83,76,91,154,147,71,788,413,885,877,937,1008,832,474,152,5583
SOSR614,75,72,55,45,22,0,328,0,31,28,37,46,38,10,0,192,43,243,243,175,182,161,73,15,1130,22,109,155,169,219,154,59,19,909,238,667,571,488,560,286,140,25,2964,47,65,41,31,23,15,3,0,229,15,20,23,28,54,42,24,9,203,303,745,638,541,626,343,168,27,3391,3,6,11,12,12,16,9,3,79,135,142,149,155,189,210,150,64,1198,512,1339,1301,1163,1335,967,490,131,7235
SOSR615,273,236,221,196,73,20,1448,15,119,139,148,158,149,55,8,800,220,1108,1032,749,749,682,285,61,4877,82,505,619,747,824,756,324,87,3938,984,2417,2000,1922,1970,1358,590,121,11370,234,245,153,130,128,79,19,13,993,41,97,99,155,189,189,100,32,907,1263,2759,2254,2208,2279,1629,713,168,13271,24,42,42,25,41,51,51,7,281,440,462,460,506,585,811,807,386,4455,2053,5414,4819,4620,4851,4273,2309,739,29076
SOSR621,144,131,134,124,46,5,733,3,41,69,80,74,67,12,3,356,56,357,425,401,376,346,135,19,2125,17,143,213,293,331,276,115,35,1429,217,688,651,682,765,499,209,43,3741,58,52,56,44,61,30,9,6,304,13,29,40,55,78,105,29,12,365,289,769,740,780,898,632,249,53,4407,3,9,17,17,24,24,17,3,103,173,179,170,206,294,297,257,76,1661,547,1649,1773,1905,2133,1766,838,202,10822
SOSR622,45,51,69,48,20,3,262,0,12,14,27,47,31,7,0,132,19,112,137,137,178,186,49,8,828,14,50,91,129,147,151,58,4,648,94,285,258,296,373,230,95,12,1637,23,36,27,13,22,15,3,0,136,5,3,9,27,31,34,14,0,138,119,323,293,339,428,283,110,15,1911,4,5,3,5,9,18,8,7,57,78,65,59,97,125,173,118,75,788,241,588,640,787,1002,887,374,114,4628
SOSR631,645,635,710,532,190,15,3268,12,184,261,383,440,348,71,10,1708,299,1673,2232,2094,2097,1649,472,69,10576,126,664,1191,1684,2026,1410,447,75,7617,1337,3369,3650,3947,3988,2272,677,105,19345,283,283,263,214,245,130,35,3,1455,84,146,193,272,442,288,101,13,1535,1708,3800,4097,4436,4670,2694,810,115,22334,23,43,58,84,91,94,54,15,455,851,858,914,1097,1410,1394,763,204,7483,3040,7725,9399,10409,11460,8111,2799,501,53447
SOSR679,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,11,10,9,3,7,0,0,46,0,4,13,12,14,10,0,0,44,7,15,18,17,11,13,0,0,76,4,0,0,3,0,0,0,0,6,0,0,0,3,10,0,0,0,13,6,15,20,23,24,12,0,0,98,0,3,0,0,0,0,0,0,3,0,25,25,29,25,0,0,0,114,10,58,67,71,70,27,4,0,303
SOSR703,2188,1207,960,532,134,11,8030,58,703,766,672,563,305,61,6,3124,1164,6384,4641,2699,1940,1286,371,57,18537,438,1961,2172,2101,1586,937,289,38,9520,1894,4395,3853,3091,2633,1535,454,65,17919,528,363,252,160,116,93,16,4,1538,136,209,274,330,263,239,94,17,1559,2554,4971,4389,3586,3014,1870,563,82,21018,51,165,146,108,83,91,25,16,677,1766,3050,2478,2251,2047,1468,578,171,13802,6113,20144,16770,12619,10189,6484,2029,384,74718
SOSR712,442,251,242,121,27,0,1565,5,142,159,136,124,65,18,0,656,150,1310,896,562,436,291,66,6,3711,50,366,412,380,383,199,58,9,1859,303,842,730,655,582,331,87,13,3536,66,58,47,26,36,11,4,0,240,28,50,59,57,68,45,10,0,322,393,951,834,737,680,386,99,18,4093,9,26,18,19,13,17,9,5,129,297,525,440,397,487,393,95,34,2668,920,3793,3205,2485,2368,1468,365,77,14681
SOSR714,74,28,41,20,5,0,300,4,38,22,15,24,12,0,0,111,54,285,127,104,104,59,10,0,743,29,91,100,86,86,45,9,0,446,98,228,181,139,136,81,24,4,889,27,20,27,8,8,9,4,0,105,9,11,13,16,8,17,3,0,79,131,261,226,164,153,108,29,4,1070,4,5,0,4,3,4,0,0,28,177,232,194,215,196,109,28,6,1164,401,1043,737,617,618,355,82,15,3865
SOSR715,90,46,41,26,3,0,326,5,38,53,41,38,14,3,0,194,44,296,227,163,143,48,7,0,924,21,92,101,133,119,30,3,0,503,116,316,346,297,225,98,13,0,1404,38,59,53,47,16,0,3,0,227,27,57,59,33,31,18,0,0,230,174,432,457,382,278,112,24,0,1860,0,6,4,6,0,0,0,0,21,403,494,369,332,264,112,20,4,1995,656,1468,1305,1111,879,338,63,4,5822
SOSR721,72,38,68,49,5,0,309,0,33,32,35,40,22,4,0,158,46,267,181,140,174,90,17,0,915,33,106,112,111,136,63,8,0,567,133,277,292,284,278,106,27,0,1399,45,62,51,47,24,11,3,0,241,15,40,27,37,29,19,3,0,178,195,379,372,371,331,134,29,0,1811,5,0,0,0,0,4,0,0,11,224,268,227,199,240,140,30,0,1327,500,1134,1005,886,988,501,90,3,5108
SOSR722,25,39,51,36,4,0,214,0,13,23,29,42,35,0,0,139,16,147,107,91,149,95,14,0,615,6,42,57,79,134,102,16,3,453,49,196,227,236,227,204,33,4,1179,26,51,37,44,28,8,0,0,211,18,32,38,43,28,22,0,0,190,98,281,300,324,288,241,39,4,1570,0,0,0,0,0,0,0,0,7,260,265,178,198,271,237,54,8,1474,378,805,692,759,941,754,126,12,4465
SOSR731,202,152,204,157,30,0,932,8,98,125,146,173,121,12,0,681,121,834,644,547,619,542,96,5,3410,84,337,463,617,686,532,95,0,2815,637,1377,1318,1493,1469,983,202,15,7495,223,140,86,87,74,61,11,0,682,45,61,80,118,129,110,18,0,575,907,1580,1488,1701,1669,1152,231,20,8748,3,17,17,18,18,24,14,0,114,941,1374,1183,1318,1288,1040,280,32,7457,2069,4425,4112,4496,4667,3581,752,55,24164
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,5,5,6,11,7,0,0,0,42,0,6,16,14,18,4,0,0,63,7,11,23,30,20,5,0,0,96,0,0,3,0,3,0,0,0,10,3,0,3,9,5,0,0,0,23,12,13,29,32,30,5,0,0,131,0,0,3,3,0,0,0,0,0,10,17,38,40,38,14,3,0,157,27,46,97,109,96,35,6,0,406
SOSR802,14770,9883,6574,4107,1691,394,52397,302,3256,3847,3430,2808,2167,713,81,16602,7750,25761,20534,14046,9554,7217,3432,955,89245,1954,6113,7626,7045,5428,3644,1752,552,34107,4411,9462,8009,6915,5353,3168,1711,559,39588,1032,709,528,420,361,284,105,41,3483,365,498,722,971,1123,1117,579,206,5578,5810,10668,9259,8301,6837,4577,2396,808,48647,182,399,412,285,280,285,217,97,2166,3403,4189,3187,2310,1924,1889,1592,1056,19545,19954,64807,59629,45294,33411,23878,11803,3939,262713
SOSR822,7,7,15,5,0,0,41,0,0,7,7,3,3,0,0,22,7,16,25,27,15,9,4,0,98,0,9,19,14,9,9,5,0,58,6,12,18,19,13,5,5,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,18,22,13,10,5,0,85,0,0,0,0,0,0,0,0,0,4,0,3,3,9,10,0,0,32,15,41,81,83,52,41,15,4,335
SOSR831,0,0,4,4,0,0,26,0,0,4,4,3,0,0,0,15,16,41,21,12,12,10,3,0,106,3,11,6,9,8,5,0,0,43,15,33,13,13,11,11,0,0,92,5,3,0,0,0,0,0,0,14,0,0,0,0,3,5,0,0,6,19,37,18,14,14,15,0,0,110,0,0,0,0,0,0,0,0,5,31,15,4,14,17,8,0,0,90,69,109,52,55,54,42,4,0,398
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,12,10,3,0,3,0,35,0,6,10,10,3,0,0,0,27,4,22,34,31,23,19,5,0,127,3,21,21,21,15,13,3,0,94,19,59,48,45,35,21,4,0,229,5,7,0,7,4,4,0,0,34,0,0,3,0,0,0,0,0,10,25,67,55,51,44,23,4,0,277,0,0,0,0,0,8,0,0,12,32,96,66,75,59,37,3,0,377,69,216,203,195,151,102,19,0,947
SOSR921,8,9,11,10,0,0,43,0,3,3,8,11,3,0,0,30,6,27,30,30,29,36,10,4,175,3,12,29,24,50,28,11,0,150,14,29,45,56,91,52,18,11,309,4,4,5,9,7,3,0,0,32,0,3,6,3,4,8,7,0,33,20,37,55,67,104,69,20,11,370,0,4,0,3,5,10,4,0,18,25,21,30,34,54,29,35,9,234,58,110,153,158,258,179,82,24,1021
SOSR922,7,4,5,3,0,0,37,0,5,3,5,5,0,0,0,23,12,48,18,13,12,9,0,0,114,3,13,5,9,9,4,0,0,46,23,11,24,17,28,11,3,0,113,16,3,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,5,39,13,26,18,31,14,3,0,137,0,0,6,0,0,0,0,0,5,19,23,29,30,41,25,22,0,183,71,119,87,77,98,53,27,0,539
SOSR931,6,6,7,3,0,0,33,0,0,0,0,0,0,0,0,10,4,9,17,14,3,10,7,0,63,0,9,11,11,6,14,7,0,55,12,16,10,31,25,10,13,0,117,0,0,0,3,0,3,0,0,13,0,5,0,4,3,0,0,0,8,10,14,18,36,30,16,13,0,137,0,0,0,0,0,0,0,0,9,36,123,66,50,27,25,20,4,346,51,164,117,120,71,70,43,8,649
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
