SOSR_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
SOSR513,50,49,6,10,863,0,980,11,70,5,6,69,0,153,26,352,35,43,564,7,1029,60,293,37,82,216,5,694,95,209,20,82,212,0,617,199,338,42,146,304,5,1035,544,312,41,286,274,4,1454,835,97,24,322,281,7,1565,684,21,0,135,137,0,979,462,3,0,73,56,3,605,317,4,0,52,45,0,419,212,5,0,44,32,0,303,154,3,0,21,28,0,212,217,0,0,61,108,0,388,231,164,27,119,637,28,1199,4106,1932,241,1480,3827,61,11638
SOSR514,0,6,0,0,0,0,14,0,20,5,3,4,0,21,5,123,11,34,7,0,177,36,83,7,46,19,0,195,71,46,3,83,5,0,213,208,61,4,128,24,0,423,231,40,6,147,39,0,470,324,7,0,232,15,0,580,220,0,0,98,8,0,329,65,0,0,26,0,0,92,15,0,0,6,29,0,50,4,0,0,7,3,0,15,0,0,0,3,0,0,8,9,0,0,18,4,0,27,21,39,6,59,25,3,152,1212,433,40,895,179,11,2767
SOSR515,32,101,84,19,1060,4,1296,11,93,84,10,163,6,371,69,536,103,131,647,9,1497,220,444,184,191,342,11,1393,242,222,42,293,189,8,990,492,304,54,432,271,5,1566,1046,178,54,610,203,5,2100,892,53,20,453,142,15,1570,283,18,6,112,54,0,481,127,6,0,50,23,0,202,43,4,0,21,18,0,90,29,0,0,11,14,4,61,7,0,0,10,7,0,28,40,0,0,67,68,0,178,113,153,44,181,421,23,940,3644,2110,672,2598,3639,89,12755
SOSR521,9,154,68,15,89,6,341,0,107,40,18,43,0,204,14,261,133,111,128,9,659,86,161,61,168,101,8,582,63,86,22,166,58,0,400,151,85,28,239,81,8,587,222,70,12,213,77,5,597,157,20,3,119,35,0,338,55,5,0,28,14,0,107,12,0,3,13,6,0,44,8,0,0,7,3,0,11,0,0,0,5,9,0,12,0,0,0,5,3,0,8,10,0,0,15,13,0,32,31,76,25,105,194,6,435,819,1024,401,1231,848,38,4358
SOSR522,0,248,120,15,108,6,497,8,133,131,8,69,4,357,6,201,100,61,53,7,426,32,95,89,106,60,5,390,41,35,9,93,28,4,214,69,54,18,92,39,4,276,63,19,11,70,45,0,205,37,3,5,33,37,5,112,10,0,0,5,6,0,29,6,0,0,6,4,0,13,0,7,0,3,9,0,18,6,0,0,0,9,0,17,0,0,0,7,4,0,11,4,12,0,21,66,0,102,8,72,29,58,177,4,350,293,892,512,574,715,44,3026
SOSR531,0,179,227,122,179,4,708,5,124,85,56,88,4,362,22,92,100,376,248,9,853,63,32,50,382,190,8,730,83,17,6,352,183,4,641,127,17,18,426,190,7,790,244,17,12,467,182,11,926,388,7,0,416,106,4,926,211,0,0,223,49,4,478,114,0,0,94,25,0,233,67,0,0,40,11,0,123,27,0,0,30,14,0,67,10,0,0,17,13,0,40,19,0,0,89,110,5,220,59,51,67,546,986,33,1731,1436,537,572,3630,2569,80,8827
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
SOSR603,11,121,15,31,7,0,178,10,198,30,22,0,3,260,61,1452,151,164,33,14,1878,176,872,388,374,70,14,1893,197,422,140,346,33,9,1142,629,485,183,666,72,20,2047,1998,308,133,1337,140,21,3941,4343,157,54,1770,207,23,6548,2571,18,20,865,109,6,3592,1094,0,3,326,23,5,1460,357,3,7,138,11,0,515,136,3,0,52,5,0,198,59,0,0,24,5,0,93,48,0,0,76,11,0,133,172,211,51,249,80,62,821,11851,4256,1173,6437,810,179,24708
SOSR611,3,33,15,17,5,0,79,7,75,38,17,8,0,147,53,458,99,140,23,15,787,298,310,198,286,41,8,1149,360,149,103,313,13,0,946,974,163,194,528,48,11,1923,1856,71,38,679,66,9,2710,1623,21,10,447,40,7,2150,454,6,0,114,12,4,583,99,0,0,22,6,0,128,28,0,0,11,0,0,38,10,0,0,3,0,0,15,0,0,0,0,0,0,4,3,0,0,14,4,0,19,86,65,28,103,22,29,329,5857,1341,732,2692,286,81,10992
SOSR612,3,37,4,8,5,0,61,0,81,6,5,3,0,98,44,413,37,81,27,3,607,235,344,84,166,46,3,877,222,209,67,223,34,9,758,744,259,54,438,66,7,1576,942,62,22,436,63,9,1534,323,11,5,118,27,3,496,45,0,4,27,0,0,79,10,3,0,11,3,0,27,0,3,0,0,3,0,5,0,0,0,0,4,0,6,0,0,0,3,0,0,3,3,0,0,0,0,0,8,34,80,18,62,26,19,244,2606,1510,303,1579,321,54,6367
SOSR613,0,9,7,3,0,0,21,0,12,3,3,6,0,25,4,93,4,15,7,3,129,28,60,14,43,3,5,153,40,34,32,66,10,0,180,95,65,13,117,19,4,316,152,13,0,158,7,3,330,65,0,5,51,4,0,127,7,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,6,14,6,9,61,400,321,83,480,57,22,1359
SOSR614,0,11,4,0,0,0,19,0,33,4,3,0,0,37,0,155,39,23,5,0,226,28,59,32,51,16,3,190,45,26,21,74,3,0,169,101,39,5,92,7,3,246,252,23,0,142,19,0,440,199,5,0,97,5,4,314,34,0,0,12,4,0,52,7,0,0,4,0,0,9,0,0,0,0,0,0,5,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,19,4,21,6,6,64,683,372,108,538,72,16,1788
SOSR615,5,19,11,17,39,0,86,4,49,19,14,0,0,85,58,357,67,98,40,7,631,193,204,118,215,42,17,789,217,98,52,273,45,6,691,623,110,42,424,50,15,1263,908,48,6,497,50,11,1520,711,6,3,268,47,3,1042,219,3,0,54,6,0,292,37,0,0,13,0,0,52,4,0,0,3,0,0,11,4,0,0,4,0,0,9,6,0,0,0,0,0,5,0,0,0,16,3,0,19,46,47,12,94,40,18,253,3039,941,337,1988,363,83,6752
SOSR621,11,11,0,16,53,0,93,3,9,5,3,12,0,28,26,31,30,41,29,5,159,92,22,28,102,27,3,267,56,3,5,81,14,5,153,122,16,3,133,29,0,305,170,4,3,146,17,0,345,112,0,0,93,7,0,216,42,0,0,24,0,0,73,6,0,0,12,3,0,19,0,0,0,4,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,13,4,0,14,20,3,0,46,30,9,109,661,105,74,729,215,22,1795
SOSR622,0,0,0,9,3,0,9,0,5,4,4,0,0,14,4,18,5,14,6,0,46,19,4,5,31,3,0,69,16,0,3,54,5,0,78,40,0,0,56,0,0,99,63,0,0,57,4,0,127,37,0,0,24,3,0,74,11,0,0,6,3,0,22,9,0,0,0,0,0,9,4,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,7,0,0,23,4,0,38,203,30,21,293,36,9,599
SOSR631,7,7,6,82,95,3,189,3,0,3,44,16,3,80,15,23,13,247,87,4,392,86,14,13,340,93,10,553,85,4,0,320,69,6,485,202,0,0,383,72,4,664,339,3,7,408,57,3,819,338,0,0,304,28,0,669,124,0,0,71,14,0,205,43,0,0,22,3,0,67,10,0,0,12,0,0,26,3,0,0,6,0,0,9,0,0,0,4,0,0,7,5,0,0,26,9,0,36,24,8,4,227,196,9,473,1284,66,46,2478,750,50,4674
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,6,140,17,5,20,0,196,9,361,7,7,0,6,389,29,692,52,57,37,3,873,107,394,32,131,35,7,705,163,152,42,165,48,5,576,654,218,46,243,730,14,1903,1883,161,36,656,353,12,3095,3329,93,15,1031,250,10,4727,2682,64,9,647,113,9,3524,1620,8,0,291,53,3,1976,704,3,0,109,19,3,844,273,0,0,58,16,0,354,134,5,0,26,11,0,168,137,4,0,129,80,0,346,223,335,29,219,225,44,1081,11940,2631,282,3769,1998,125,20748
SOSR712,4,71,10,3,13,0,102,0,141,7,0,10,0,157,7,223,33,17,31,3,306,8,103,23,23,24,0,184,14,49,14,26,25,0,127,72,56,19,41,29,0,220,314,31,19,92,53,0,509,524,21,4,188,38,8,786,425,10,0,197,34,0,667,219,3,0,92,25,0,342,101,0,0,28,13,0,141,40,0,0,18,10,0,65,16,0,0,8,0,0,31,15,0,0,19,18,0,51,49,85,6,43,141,3,326,1808,797,137,802,460,15,4022
SOSR714,0,4,0,0,0,0,10,0,18,0,0,5,0,21,4,77,17,5,12,0,108,3,47,9,5,27,3,105,10,21,19,3,12,0,67,23,17,4,8,48,0,100,72,11,4,20,29,0,139,177,6,0,50,15,0,258,129,6,0,25,14,0,170,41,3,0,6,4,0,58,15,0,0,3,0,0,17,12,0,0,0,0,0,15,0,0,0,0,6,0,12,0,0,0,4,4,0,10,20,35,3,10,39,4,110,515,259,58,144,221,8,1202
SOSR715,3,296,268,0,184,16,771,0,191,95,0,31,8,330,11,210,111,0,44,0,377,18,183,53,16,64,0,334,7,79,11,0,29,0,124,8,80,16,13,32,0,147,27,13,9,18,23,0,88,23,13,0,26,18,0,86,18,7,0,6,15,0,49,6,0,0,0,5,0,22,0,0,0,3,4,0,15,3,0,0,0,6,0,9,0,0,0,0,0,0,0,3,0,0,3,3,0,8,19,81,27,25,240,5,390,147,1168,593,102,703,39,2747
SOSR721,3,391,226,5,143,5,772,0,191,96,0,162,0,453,0,180,39,0,140,0,367,0,75,14,4,57,0,154,0,18,13,0,73,0,105,0,13,3,8,29,0,53,4,7,7,8,25,0,55,12,6,0,6,21,0,42,6,0,0,3,7,0,24,3,0,0,6,5,0,14,4,0,0,0,0,0,4,0,0,0,3,0,0,9,0,0,0,0,4,0,0,4,0,0,7,15,0,15,4,61,20,23,179,7,291,49,951,421,68,850,19,2355
SOSR722,0,453,119,4,46,8,634,0,273,68,0,11,3,353,0,193,77,8,23,0,303,0,136,51,8,24,0,219,0,25,9,11,14,0,57,0,25,6,15,17,0,72,3,8,0,19,16,0,59,9,9,0,7,6,0,35,4,4,0,7,4,0,16,0,0,0,6,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,0,6,5,67,40,24,111,3,248,28,1200,377,117,280,17,2022
SOSR731,0,225,241,19,91,14,589,0,86,42,3,23,0,160,0,39,37,34,80,3,200,0,30,12,34,47,0,122,3,12,6,49,54,0,129,8,19,4,78,168,3,271,27,7,4,97,77,0,214,74,0,0,122,68,3,268,84,0,0,89,25,0,202,76,0,0,35,10,0,124,24,0,0,34,13,0,75,9,0,0,8,7,0,21,9,0,0,0,8,0,16,6,0,0,30,45,0,84,12,61,65,146,356,15,654,324,475,409,781,1076,42,3111
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,13,421,15,39,21,0,514,0,468,42,23,7,3,555,34,3234,107,164,42,12,3593,94,1188,170,306,71,9,1837,75,597,71,297,46,11,1091,295,646,112,462,510,3,2031,1108,603,182,900,559,9,3366,6723,648,185,2604,635,13,10814,9707,252,45,2694,355,10,13057,5980,42,16,1527,215,13,7803,2573,14,8,647,83,7,3328,981,11,3,313,35,0,1341,426,10,0,117,14,3,564,588,4,3,219,28,6,842,408,501,66,463,204,117,1755,29012,8639,1027,10766,2824,213,52476
SOSR822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,27
SOSR831,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,4,0,0,0,0,5,0,6,0,0,0,4,0,0,7,0,4,0,0,0,0,7,0,0,0,3,0,0,14,0,0,0,8,6,0,12,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,9,0,15,8,9,0,27,25,0,65
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,9,0,0,23,0,35,0,13,0,0,3,0,26,0,23,0,3,4,0,32,0,23,0,5,3,0,32,0,0,0,11,0,0,13,0,3,0,6,0,0,12,0,3,0,10,0,0,13,0,0,0,13,7,0,16,0,0,0,5,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,10,6,0,24,0,86,5,65,54,0,213
SOSR921,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,17,0,0,16,10,0,0,17,4,0,31,8,0,0,23,0,0,38,7,0,0,23,3,0,40,30,0,0,14,0,0,49,13,0,0,5,0,0,20,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,8,6,0,15,81,0,0,121,18,0,226
SOSR922,0,7,0,0,12,0,18,0,0,0,0,0,0,0,0,8,0,3,0,0,11,3,0,0,0,0,0,7,0,0,0,0,0,0,0,7,15,3,0,5,0,34,0,6,0,0,9,0,8,0,0,0,0,5,0,3,0,0,3,0,4,0,6,4,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,10,0,22,17,47,9,11,37,0,118
SOSR931,0,0,23,4,0,0,29,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,5,0,0,5,0,0,0,5,0,0,5,3,0,0,6,0,0,4,6,0,0,0,0,0,8,9,0,0,4,0,0,11,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,28,22,4,0,71
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
