SOSR_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
SOSR301,298,282,286,306,118,77,111,6213,0,5,10,8,31,319,695,516,436,133,84,251,67,16,55,2635,45,188,414,564,1001,570,2003,1470,119,136,135,165,86,31,160,7086,259,1688,1387,411,190,198,488,750,150,138,122,179,61,9,246,6282,3,53,34,83,328,936,1798,813,177,218,247,348,220,74,137,5465,0,0,3,74,557,1262,5417,2673,505,518,614,801,287,63,295,13080,8,33,129,220,174,117,202,98,30,26,17,28,15,7,33,1127,13,98,628,1007,1879,1167,2853,1654,376,370,461,398,261,69,259,11497,0,0,0,0,19,114,1434,1231,367,674,1124,1111,248,14,97,6440,191,1978,619,440,590,333,548,270,63,45,62,71,35,27,150,5430,119,318,2152,8405,16126,17917,28246,15366,2104,1892,2278,2286,962,888,2972,102036,4,5,94,158,126,144,76,38,9,12,0,5,6,0,8,692,3,3,23,44,124,292,1201,1587,353,284,313,313,159,52,66,4821
SOSR302,36,50,51,71,38,6,21,1207,0,0,11,14,12,59,122,51,13,0,10,8,0,3,5,325,16,77,223,258,322,193,573,440,43,47,53,40,12,3,58,2361,107,761,506,150,79,108,250,330,57,78,54,69,26,3,113,2710,5,15,20,73,528,1026,1549,688,144,163,136,183,103,27,124,4782,0,0,0,49,217,523,1386,800,201,217,197,253,99,10,96,4041,7,21,80,69,58,31,37,20,0,5,6,3,6,0,22,372,11,42,197,266,385,278,490,275,100,68,51,73,47,3,55,2342,0,0,0,0,5,14,297,431,212,245,324,238,59,6,37,1872,156,1116,358,214,266,155,286,126,33,36,20,35,13,0,73,2892,83,266,1640,5315,9576,9612,15634,7226,1017,947,1001,1030,526,489,1617,55975,0,11,74,56,57,41,46,21,7,17,0,13,0,0,11,351,0,3,6,16,35,57,179,186,46,63,45,50,30,7,18,735
SOSR303,13,23,14,23,5,9,4,280,0,0,0,3,0,10,119,173,13,127,552,971,170,11,91,2248,16,37,69,96,152,80,214,132,13,12,9,21,13,0,19,883,57,317,221,63,30,45,95,142,13,15,14,39,27,8,77,1171,0,10,8,17,107,476,736,277,31,36,37,42,27,0,50,1853,0,0,0,0,37,97,488,363,60,73,61,71,18,3,40,1313,7,6,9,13,10,5,9,7,0,0,0,0,0,0,4,64,4,21,109,122,126,76,214,110,38,30,27,25,15,6,23,945,0,0,0,3,6,9,268,414,101,180,190,188,61,6,27,1449,25,366,134,95,89,74,153,55,9,16,12,12,3,0,20,1069,21,57,463,1402,2081,1694,2020,1010,129,111,151,160,65,74,300,9749,0,0,6,4,4,0,0,0,0,0,0,0,0,0,0,20,0,6,0,3,4,9,73,98,20,31,21,43,9,8,7,330
SOSR311,4,7,5,3,0,6,3,88,0,0,4,0,0,6,4,15,0,6,3,4,0,0,0,32,4,14,40,31,40,32,51,83,11,0,9,11,3,4,3,330,21,156,95,40,6,6,21,37,0,4,0,7,3,0,16,413,0,0,0,0,3,26,29,20,6,10,14,31,12,7,6,172,0,0,0,0,13,16,114,51,19,21,24,41,12,7,3,319,0,0,3,3,5,0,3,0,4,3,0,0,0,0,0,27,0,11,38,34,33,26,53,50,38,43,47,43,34,7,22,485,0,0,0,0,3,3,141,93,47,65,70,49,22,0,9,506,45,340,84,64,61,33,35,10,0,3,0,6,4,0,23,712,15,49,284,956,1160,920,1260,613,73,63,63,110,63,38,201,5858,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,8,36,56,3,6,13,3,9,3,3,150
SOSR312,0,3,0,0,0,0,0,32,0,0,0,0,0,0,4,7,0,0,0,4,0,0,0,10,0,4,31,20,21,7,28,33,0,4,0,0,0,0,9,157,7,50,31,11,5,4,11,16,6,0,0,0,0,0,7,136,0,4,0,0,6,18,26,15,3,8,0,0,0,0,0,73,0,0,0,0,0,8,16,8,4,0,6,0,0,0,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,23,20,11,13,13,19,9,10,11,11,0,0,4,135,0,0,0,0,0,0,5,12,10,16,13,7,0,0,0,61,20,146,48,20,21,11,22,4,0,4,0,0,0,0,19,329,11,15,179,493,633,560,681,337,39,45,41,46,29,8,118,3238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,23,0,14,5,4,0,0,0,63
SOSR313,5,5,3,6,0,0,0,44,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,13,3,11,29,36,30,14,51,48,7,5,0,8,8,0,5,265,10,49,44,16,3,8,11,13,9,4,6,9,0,0,8,185,0,0,0,0,7,18,16,16,3,0,3,13,3,0,10,89,0,0,0,5,0,5,41,27,6,3,13,37,9,0,4,147,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,18,0,5,18,25,22,13,21,23,12,10,10,21,5,3,11,204,0,0,0,0,0,0,25,5,5,17,17,12,3,0,0,91,23,178,33,32,30,25,34,14,0,0,0,4,4,0,9,393,8,19,171,629,796,735,1174,782,85,95,123,108,44,55,155,4974,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,25,29,4,5,0,12,4,5,0,92
SOSR314,4,3,0,0,0,0,0,41,0,0,0,0,0,8,12,11,0,0,0,0,0,7,0,38,5,8,21,24,42,25,86,64,3,0,5,16,22,3,6,336,61,296,179,25,7,4,10,28,0,6,19,26,19,0,46,728,0,0,5,9,6,28,49,18,14,11,27,46,13,0,10,223,0,0,0,8,5,15,49,36,8,12,33,52,17,0,5,235,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,9,30,36,31,13,25,25,16,20,19,15,9,0,6,243,0,0,0,0,0,0,18,29,12,11,20,10,0,0,3,107,18,176,52,35,35,27,37,8,3,0,4,8,0,0,17,415,11,27,197,657,1058,870,1106,532,57,82,59,57,21,42,177,4959,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,5,4,15,37,0,5,9,13,5,0,3,98
SOSR315,4,0,0,0,0,0,3,64,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,12,5,17,47,58,62,31,70,62,6,7,0,11,3,0,23,403,72,236,115,33,13,5,28,44,5,10,16,25,12,0,61,667,0,3,0,5,16,21,54,28,0,9,9,16,11,3,7,186,0,0,0,0,5,11,62,36,9,7,27,50,24,0,4,240,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,17,0,14,56,56,27,22,33,10,11,0,0,10,6,0,14,269,0,0,0,0,0,0,17,19,18,24,46,53,9,0,9,197,46,384,105,52,62,46,71,27,9,3,0,3,0,4,35,856,21,52,393,1159,1601,1254,1395,685,75,57,62,86,39,32,364,7273,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,8,18,3,5,0,3,3,0,0,49
SOSR321,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,5,20,15,17,23,25,20,0,0,4,0,0,5,5,135,10,54,25,11,3,7,6,15,0,0,0,3,0,0,22,158,0,3,0,0,3,16,23,12,0,0,0,0,0,0,0,60,0,0,0,0,0,9,15,5,8,0,4,6,0,0,5,50,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,8,18,16,12,4,13,3,3,0,8,0,4,0,0,95,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,21,16,143,50,32,34,23,35,18,0,0,0,0,5,0,8,360,5,28,176,470,631,427,415,152,27,15,17,17,17,10,117,2530,0,0,5,3,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,5,3,4,0,0,0,0,0,19
SOSR322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,18,8,6,14,9,0,0,5,0,0,0,3,75,12,37,26,5,0,6,3,4,0,0,0,0,0,0,24,123,0,0,0,0,4,3,9,3,0,0,0,0,0,0,0,24,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,6,4,0,0,0,4,0,0,0,0,0,34,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,15,11,75,18,18,13,5,3,3,0,0,0,0,0,0,0,142,0,3,65,207,264,159,159,60,14,0,11,15,4,8,41,1015,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SOSR331,0,0,0,4,0,0,0,58,0,0,3,0,0,14,3,0,0,0,0,0,0,0,5,22,8,34,76,82,87,47,197,87,6,9,8,16,7,0,20,691,84,350,198,31,24,23,36,26,9,6,10,20,14,3,62,883,0,12,0,10,24,69,77,42,9,5,12,28,9,0,14,317,0,0,0,0,16,21,68,25,9,6,5,14,4,0,9,170,0,6,3,15,0,0,0,0,0,0,0,3,0,0,3,36,0,20,102,76,75,35,41,24,17,11,11,23,7,0,26,464,0,0,0,0,0,0,16,10,6,0,0,6,3,0,3,40,61,575,210,146,162,91,149,51,5,10,15,25,5,0,55,1554,24,76,660,2197,2869,1745,1815,630,58,80,86,67,36,37,618,11002,0,0,5,9,4,0,0,0,0,0,0,0,0,0,0,24,0,0,5,0,7,14,28,12,3,4,3,0,0,0,0,79
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,240,242,231,374,104,51,72,5071,0,0,7,3,4,343,614,360,52,65,29,41,9,14,33,1578,23,150,458,372,404,156,437,381,30,33,34,31,19,6,72,2611,587,6486,4919,876,274,192,333,411,96,71,90,84,34,6,543,15005,3,27,17,23,91,223,476,218,49,47,48,103,55,14,36,1419,0,0,7,34,195,264,1534,744,153,147,186,180,90,4,68,3618,22,55,170,374,278,188,283,126,39,35,40,31,30,6,62,1731,6,44,315,612,1097,655,1916,1360,414,470,466,451,250,38,90,8180,0,0,0,6,10,27,1282,1551,691,1017,1008,1002,303,26,101,7026,125,2021,626,241,161,96,251,115,17,32,10,24,16,0,110,3856,62,105,516,1453,2007,1403,1663,863,120,130,137,117,82,90,262,9006,17,41,79,69,32,42,25,18,0,0,0,5,4,0,4,335,5,0,12,24,20,170,831,1792,351,504,563,640,292,79,98,5385
SOSR412,4,4,0,0,0,3,0,56,0,0,0,0,0,0,3,3,3,0,0,15,9,0,0,37,0,4,42,19,18,10,17,11,0,0,5,5,0,0,7,146,9,126,99,26,7,0,8,11,0,5,0,0,0,0,24,316,0,0,0,0,0,3,20,16,3,0,0,0,0,0,0,48,0,0,0,0,11,0,18,5,0,0,0,0,3,0,0,46,0,0,4,0,3,7,8,0,0,0,4,0,0,0,0,23,0,0,18,20,20,14,39,21,18,7,7,0,12,3,5,186,0,0,0,0,0,0,9,7,0,13,0,0,0,0,6,39,7,249,52,37,17,0,33,10,3,0,0,0,0,0,15,425,0,4,44,117,156,122,140,72,10,13,10,10,7,10,29,754,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,15,30,4,8,5,6,0,0,0,75
SOSR413,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,13,20,15,10,5,23,11,0,0,3,3,0,0,6,112,28,133,101,16,0,8,4,4,0,0,0,0,0,0,26,321,0,5,0,3,0,12,13,6,0,0,0,0,0,0,0,42,0,0,0,3,11,0,12,10,0,0,11,6,0,0,4,60,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,5,17,18,10,14,24,12,7,9,9,12,0,0,6,126,0,0,0,3,0,0,8,11,7,24,4,7,0,0,0,61,12,217,38,27,10,6,3,5,3,0,0,0,0,0,8,338,4,9,58,138,140,86,129,68,6,7,7,7,8,4,38,700,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,27,12,4,5,3,6,0,0,69
SOSR414,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,9,0,4,7,17,0,0,0,0,0,0,0,61,3,25,4,6,0,0,0,0,0,0,0,0,0,0,3,49,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,18,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,6,3,13,19,20,20,3,0,4,96,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,4,112,24,14,8,0,6,4,0,0,0,0,0,0,8,182,3,5,30,44,56,55,49,46,8,0,6,10,0,9,5,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,3,0,0,6,0,0,37
SOSR415,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,14,21,19,12,9,11,6,0,0,0,0,0,9,116,22,149,98,22,6,5,13,11,5,0,0,0,6,0,18,351,0,3,0,0,4,4,12,8,0,0,3,9,0,0,0,42,0,0,0,0,6,7,26,11,5,3,0,3,4,0,0,56,5,0,0,9,8,0,5,0,3,0,0,0,0,0,0,26,0,0,18,12,13,14,27,10,31,37,42,20,8,0,6,224,0,0,0,0,0,0,11,3,8,0,6,18,7,0,5,66,18,278,68,19,15,6,21,7,0,3,0,3,0,0,20,450,3,7,60,164,224,130,183,92,13,11,11,13,9,0,36,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12,16,3,5,0,17,4,0,0,76
SOSR421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,3,6,0,14,3,0,0,0,0,0,0,0,33,0,9,8,0,0,0,0,3,0,0,0,0,0,0,3,34,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,4,0,6,8,0,0,0,0,22,0,77,13,8,4,3,15,0,0,0,0,0,0,0,3,126,4,4,16,61,63,34,21,7,3,0,0,0,0,0,22,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,10
SOSR422,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,8,0,0,0,0,0,0,0,26,0,13,4,3,0,0,5,0,0,0,0,0,0,0,0,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,55,26,9,4,5,4,0,0,0,0,0,0,0,0,92,0,0,18,46,34,26,26,14,6,0,0,0,0,3,16,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR431,0,5,0,4,0,0,3,39,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,11,34,29,21,21,31,23,0,3,5,0,8,0,7,187,25,226,175,28,10,11,0,8,0,0,4,0,0,0,31,514,0,0,0,0,0,12,12,8,0,0,0,4,6,0,5,51,0,0,0,0,7,8,27,7,0,0,0,0,0,0,5,52,0,0,5,3,5,3,3,0,0,0,0,0,0,0,0,25,0,3,10,20,13,14,24,18,22,31,29,18,3,0,11,234,0,0,0,0,0,0,3,8,0,0,0,4,0,0,4,25,8,293,97,38,33,25,31,13,0,3,4,13,0,0,8,581,3,6,96,200,284,193,220,103,24,24,14,13,20,4,68,1285,0,0,4,7,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,4,0,0,0,3,0,0,0,11
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,220,185,218,288,81,46,66,6144,0,9,29,10,34,936,1158,766,128,114,120,80,31,14,78,3495,52,215,901,1002,2629,1008,3557,4522,234,211,286,395,251,110,222,15592,731,5288,4169,1064,474,386,836,1561,237,157,153,197,108,24,567,15967,8,26,22,80,300,758,1378,613,138,152,221,280,145,88,108,4310,0,3,4,112,352,456,2381,1467,233,243,201,274,70,25,130,5956,3,16,89,194,268,144,188,98,30,15,12,20,16,3,43,1135,63,205,1007,2379,6830,3169,7640,4392,1014,974,1029,934,563,72,564,30827,0,0,0,0,12,59,1010,860,319,390,594,630,233,18,65,4190,255,2585,622,458,651,379,772,384,54,70,61,94,44,16,160,6608,61,179,1617,4954,9739,7903,13908,10924,822,757,846,1002,496,442,1498,55156,38,153,535,663,646,519,354,150,41,23,28,34,16,8,93,3296,11,15,60,92,161,328,1451,2214,441,518,521,737,414,59,110,7144
SOSR511,3,0,0,0,0,0,3,45,0,0,0,0,6,4,7,8,4,0,0,0,0,0,0,42,4,5,15,26,65,11,75,104,0,3,4,7,0,0,6,318,26,158,61,8,0,0,10,20,0,0,0,0,0,0,21,304,0,0,3,0,3,7,22,13,0,3,0,4,5,3,0,59,0,0,0,0,3,6,38,27,3,0,13,17,3,0,5,118,0,0,0,7,8,11,10,4,0,0,0,0,3,0,0,43,0,7,13,17,23,21,35,41,6,11,13,8,0,0,6,193,0,0,0,0,0,0,19,13,9,10,4,3,0,0,0,66,3,113,34,16,33,20,25,9,0,4,0,0,0,0,0,259,3,6,68,208,401,294,611,383,13,35,20,25,22,14,96,2213,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,42,9,10,6,3,5,3,0,94
SOSR512,5,6,3,0,5,0,0,60,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,13,4,10,28,33,48,19,59,91,4,5,4,8,0,0,8,323,31,113,87,22,4,7,15,29,5,3,8,0,0,0,20,341,0,0,0,4,5,18,17,12,0,0,0,4,0,0,0,59,0,0,0,0,11,0,30,27,11,5,4,5,0,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,22,27,33,18,45,23,10,13,9,4,0,0,18,238,0,0,0,0,0,0,13,18,12,11,7,6,11,0,0,68,22,191,37,27,34,15,26,26,0,0,5,4,0,0,15,406,3,14,138,359,568,538,1031,653,53,74,84,72,20,28,138,3776,0,4,4,7,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,40,50,3,3,3,6,5,6,5,134
SOSR513,0,0,5,0,0,0,0,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,5,12,9,22,54,17,91,123,3,0,4,7,0,0,5,352,5,29,28,6,3,7,7,26,4,6,3,7,4,0,3,147,0,0,0,0,4,5,27,9,0,0,0,0,0,0,0,53,0,0,0,0,0,7,14,13,3,0,3,4,5,5,0,54,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,7,3,3,9,17,23,14,51,24,4,11,8,3,3,0,4,168,0,0,0,0,0,0,8,8,10,0,5,7,5,0,0,49,6,62,19,12,19,10,31,7,5,5,6,3,6,0,3,190,3,4,67,235,431,361,793,621,38,40,54,59,48,30,103,2886,0,0,7,9,3,5,6,0,0,0,0,0,0,0,0,33,0,3,4,0,5,7,13,27,0,0,4,0,0,0,0,68
SOSR514,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,26,22,11,26,29,3,0,0,4,0,0,5,127,6,29,11,0,0,0,11,30,5,9,8,8,5,0,11,123,0,0,0,0,0,7,6,15,4,0,0,0,0,0,0,36,0,0,0,0,0,0,12,15,3,0,5,3,0,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,3,11,5,6,6,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,8,4,40,6,4,4,3,9,7,0,0,6,0,3,0,5,91,0,0,33,86,137,109,150,90,3,12,7,15,11,5,16,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,0,0,0,0,0,0,18
SOSR515,0,0,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,22,42,41,25,70,95,0,8,4,6,4,0,7,333,30,129,83,25,3,0,9,26,7,0,3,9,8,0,35,357,6,0,0,0,4,6,11,4,0,0,5,6,0,3,0,59,0,0,0,0,0,3,15,11,0,0,5,4,0,0,9,52,0,0,4,0,0,0,0,0,0,0,4,7,0,0,4,13,6,6,18,30,29,18,51,17,9,13,21,12,3,0,7,237,0,0,0,0,0,0,4,5,0,3,6,8,0,0,0,28,14,162,43,23,28,16,32,13,0,0,5,0,5,0,13,357,10,17,113,390,558,478,728,383,43,54,32,63,22,21,160,3071,4,13,5,3,5,4,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,5,8,14,3,0,10,7,5,0,0,60
SOSR521,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,10,8,16,9,33,37,0,0,3,4,0,0,7,140,8,40,25,5,0,0,5,11,0,0,0,4,3,0,11,110,0,0,0,5,0,0,4,9,0,0,0,3,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,0,10,8,0,0,4,0,0,0,3,64,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,4,54,19,18,4,8,15,5,6,0,0,0,0,0,3,137,0,3,38,154,264,208,234,136,18,17,12,13,7,12,66,1171,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
