SOSR_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
SOSR501,660,1246,5493,10972,2321,18691,2483,12507,806,55182,3668,12787,14640,19683,9680,14703,5670,11084,1588,93507,20257,63948,37366,27673,25653,13614,14434,17162,4089,224191,33359,67389,33864,23814,28793,10735,14542,14794,3800,231089,32719,50927,27436,21414,28964,10973,13617,14350,3155,203550,21458,33157,19385,15203,23781,9075,11940,12194,2101,148292,5668,10126,4642,3434,6643,2955,3238,3790,702,41198,771,1243,350,227,653,339,241,513,248,4597,46,69,16,8,45,28,9,31,88,334,118609,240888,143197,122436,126522,81117,66162,86429,16577,1001946
SOSR511,20,26,303,402,98,849,98,607,40,2430,98,228,636,465,259,330,246,491,42,2794,452,1221,1527,735,684,512,588,860,111,6684,757,1508,1426,860,853,446,735,820,132,7536,825,1377,1258,927,1005,490,757,754,119,7509,583,1023,888,648,800,387,694,613,62,5696,161,296,187,138,203,87,187,151,28,1441,31,21,10,6,12,12,20,19,3,124,3,0,0,0,0,3,0,0,0,13,2929,5700,6225,4174,3907,3111,3319,4319,543,34235
SOSR512,42,50,650,714,136,1312,143,885,62,4000,154,461,1169,707,377,555,369,718,56,4566,752,2093,2476,1267,1060,718,1029,1162,148,10704,1360,2251,2082,1417,1292,713,1052,1104,165,11434,1520,2226,1850,1533,1486,800,1315,1118,183,12041,1244,1623,1364,1203,1329,717,1217,1079,144,9923,431,435,329,261,388,198,346,325,62,2767,72,55,28,18,36,29,20,37,25,309,14,3,0,0,0,0,0,4,10,32,5578,9198,9942,7122,6098,5045,5488,6429,854,55766
SOSR513,24,20,295,263,115,548,86,403,51,1807,100,266,624,357,272,239,203,353,55,2464,776,1805,2052,911,961,450,773,890,177,8803,1192,1732,2007,972,1129,385,850,757,233,9252,1115,1225,1427,759,932,379,892,623,178,7540,815,905,871,482,693,330,753,519,100,5469,278,253,175,100,188,72,160,143,37,1408,51,20,5,9,11,15,14,16,14,154,4,0,0,0,0,0,0,0,0,6,4351,6230,7457,3856,4309,2423,3721,3699,853,36899
SOSR514,9,8,122,157,22,238,20,203,18,790,28,35,197,124,51,104,45,175,15,781,218,349,545,315,179,145,147,352,31,2279,378,577,556,372,276,188,199,348,54,2944,380,481,478,326,319,208,231,324,37,2782,271,316,312,217,235,180,233,265,38,2061,93,125,68,54,84,61,74,69,9,645,12,12,9,4,4,6,8,14,0,70,0,0,0,0,0,0,0,0,0,5,1401,1906,2284,1573,1162,1132,956,1749,205,12359
SOSR515,28,29,363,416,94,627,100,558,60,2267,99,341,785,447,286,278,260,530,57,3091,694,1557,2064,1067,864,456,850,1215,172,8939,1039,1517,1792,988,994,440,1071,1026,178,9051,1197,1375,1540,976,1029,525,1269,1033,193,9145,1000,1109,1198,911,927,495,1138,999,160,7942,444,369,282,213,269,161,318,295,54,2396,108,27,23,17,33,29,18,60,28,329,0,0,0,0,0,3,0,3,8,23,4612,6328,8044,5033,4496,3011,5022,5720,912,43179
SOSR521,5,12,136,107,26,154,43,224,28,739,40,105,233,119,92,103,122,206,17,1039,254,483,638,377,295,129,363,427,57,3021,389,497,623,384,328,138,394,321,67,3145,478,501,563,394,357,170,486,439,75,3476,495,472,499,359,404,203,570,439,61,3498,209,133,113,81,88,65,175,144,37,1049,55,14,9,7,12,3,18,20,15,148,7,0,0,0,0,0,0,0,6,16,1935,2220,2813,1834,1603,982,2170,2227,365,16141
SOSR522,7,11,69,70,18,63,10,85,8,340,40,66,127,121,57,50,61,128,18,652,153,309,332,233,152,66,181,251,39,1729,276,298,295,162,169,81,201,182,35,1710,314,257,274,231,173,93,240,227,45,1842,342,297,247,212,199,90,318,237,40,1985,142,102,76,38,79,28,98,79,26,660,38,19,5,8,13,4,13,16,8,108,4,0,0,0,0,0,0,0,8,7,1319,1352,1436,1059,859,473,1117,1201,226,9040
SOSR531,110,52,751,681,139,967,244,1208,108,4258,366,592,1516,782,412,467,804,1242,131,6316,1937,2809,3872,1126,1172,455,2271,2186,230,16051,3753,3064,4199,1191,1736,548,2606,1742,285,19113,5204,3230,4093,1640,2316,817,3323,1967,382,22971,5066,2845,3144,1451,2276,828,3078,2011,319,21014,2804,878,738,318,632,262,728,687,137,7188,835,81,60,17,82,31,50,133,81,1373,121,4,0,0,0,0,0,9,14,147,20193,13557,18371,7209,8771,4373,13098,11183,1679,98440
SOSR579,0,0,0,0,0,0,0,3,0,10,0,10,21,12,0,0,0,31,0,71,11,60,106,20,4,0,19,80,0,297,19,93,212,16,11,0,58,116,10,516,29,100,183,6,23,0,63,77,10,486,27,57,93,12,9,0,32,32,4,267,8,10,10,0,0,0,4,7,0,40,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,96,324,627,58,45,6,172,344,23,1697
SOSR603,69,81,462,839,215,1479,122,814,76,4177,374,1174,1354,1818,919,1431,265,877,129,8342,2219,6649,3737,4318,2856,2047,1172,2585,483,26065,3079,6048,2347,2487,2497,994,761,1455,361,20036,3072,5071,1881,2140,2806,985,704,1163,289,18112,2016,3645,1486,1583,2341,811,772,1139,206,13999,554,1158,399,375,550,248,208,378,66,3930,97,101,37,22,64,41,22,30,31,450,6,8,0,4,0,4,0,0,7,32,11492,23943,11700,13591,12252,8036,4018,8453,1661,95146
SOSR611,36,28,242,405,86,792,89,463,40,2179,158,392,667,794,295,584,206,477,73,3636,813,2094,1401,1502,834,726,663,1100,160,9296,998,2008,920,957,852,489,447,696,124,7490,1127,1739,778,935,1110,539,484,744,108,7564,791,1260,657,724,941,466,460,595,94,5974,206,366,164,164,230,132,126,165,19,1564,27,34,18,11,21,8,13,13,11,147,5,3,0,0,4,4,0,0,8,23,4150,7916,4834,5502,4363,3751,2484,4244,641,37880
SOSR612,27,13,164,154,46,502,32,251,17,1211,93,162,361,331,169,282,110,278,30,1818,329,746,738,688,355,339,286,677,73,4231,390,680,486,545,400,287,296,413,68,3558,446,603,450,615,500,303,334,482,54,3806,336,498,407,451,461,242,359,478,40,3276,80,143,100,93,104,48,70,99,20,757,16,17,3,4,10,5,5,15,16,83,0,0,0,0,0,0,0,0,3,7,1711,2858,2716,2887,2048,2020,1494,2695,320,18748
SOSR613,4,3,58,54,9,108,17,73,4,341,24,41,98,94,38,63,20,54,8,442,86,184,166,139,81,74,67,121,14,929,108,186,128,137,85,75,71,110,15,922,138,180,153,166,140,80,105,119,24,1111,106,156,132,146,161,63,104,157,13,1040,36,38,25,27,27,17,19,33,8,237,3,4,4,0,9,0,4,0,3,32,0,0,0,0,0,0,0,0,0,4,509,800,756,769,548,492,406,677,102,5051
SOSR614,12,4,62,53,17,130,9,76,6,369,16,41,152,123,64,84,31,73,11,598,140,200,347,176,167,98,104,166,29,1422,165,222,223,230,156,104,121,142,34,1401,166,202,190,214,202,99,94,153,24,1345,137,192,174,223,160,89,150,182,26,1334,45,49,50,51,39,12,30,45,3,322,4,3,0,4,0,3,5,7,3,28,0,0,0,0,0,0,0,0,0,0,678,917,1197,1078,802,617,541,846,137,6819
SOSR615,32,9,242,222,54,463,42,336,26,1420,121,172,509,451,207,322,132,370,33,2305,541,1036,1163,821,594,442,418,688,107,5806,716,1030,746,650,629,342,438,571,98,5219,720,853,718,768,744,436,532,662,114,5544,635,685,629,640,680,373,568,689,83,4983,194,206,150,133,161,99,158,174,45,1325,37,21,14,11,31,4,11,14,16,156,4,0,0,0,0,0,0,0,5,13,2982,4003,4172,3691,3097,2479,2298,3504,524,26762
SOSR621,8,7,76,80,20,151,11,87,6,448,35,51,144,125,57,79,36,112,14,650,161,314,362,245,156,125,141,267,25,1800,255,417,306,205,223,94,119,243,47,1902,336,450,280,240,226,143,156,264,41,2141,313,321,242,231,269,122,181,292,39,2015,110,116,72,41,87,45,55,55,20,605,21,13,5,0,12,8,5,15,7,91,0,0,0,0,0,0,0,0,0,0,1237,1686,1496,1163,1055,771,716,1334,204,9654
SOSR622,4,0,34,22,7,54,3,41,5,170,17,13,55,38,20,35,20,44,0,237,65,84,124,83,47,39,61,82,16,605,107,132,105,62,70,25,63,79,9,648,120,150,132,95,111,54,69,101,21,840,118,157,151,122,108,60,100,115,14,937,39,47,31,24,27,16,28,28,7,257,7,3,0,0,3,0,0,3,9,31,0,4,0,0,0,0,0,0,0,6,476,595,627,447,396,284,338,495,85,3748
SOSR631,101,29,514,407,88,705,108,649,56,2652,222,215,802,500,271,391,219,607,58,3287,1062,1344,1600,963,706,440,535,1039,132,7816,1798,1997,1579,1021,1021,491,703,988,194,9786,2250,2217,1559,1269,1436,625,912,1247,225,11742,2232,1886,1445,1098,1313,555,1058,1254,216,11060,1104,572,351,182,353,142,256,344,101,3393,332,57,24,13,35,21,19,48,40,593,37,6,0,0,4,0,0,0,12,59,9137,8319,7870,5451,5218,3379,3799,6179,1039,50394
SOSR679,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,9,0,15,18,8,0,0,5,9,0,58,3,27,22,5,0,0,0,15,0,76,10,13,17,5,4,0,4,18,0,70,3,18,12,3,3,0,4,3,0,53,0,5,0,4,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,78,74,21,9,0,18,58,0,277
SOSR703,49,67,319,621,228,957,110,559,66,2974,309,736,989,1598,835,692,290,522,141,6116,1745,5029,2750,3386,2529,1159,844,1274,362,19078,2375,4280,2243,2201,2189,740,675,992,274,15969,2266,2959,1606,1552,1891,598,658,900,221,12651,1687,2146,1006,888,1428,487,621,681,142,9084,452,694,276,215,422,174,161,202,50,2655,57,58,15,9,39,19,14,15,9,238,7,0,0,0,4,0,0,0,7,20,8952,15965,9202,10468,9567,4831,3383,5147,1277,68792
SOSR712,5,16,76,145,54,193,14,95,11,606,31,141,142,192,117,100,25,68,17,842,323,1135,511,689,416,199,104,226,119,3730,425,889,395,547,372,106,107,168,76,3095,427,635,261,413,353,86,100,175,62,2512,354,560,251,311,325,101,111,160,54,2224,122,194,64,53,80,43,31,50,15,658,17,11,3,6,9,5,8,6,0,56,0,0,0,0,0,0,0,0,0,0,1696,3585,1704,2358,1726,837,499,951,363,13722
SOSR714,0,0,14,16,8,37,0,22,9,104,12,58,58,87,26,18,8,23,8,293,78,249,143,183,106,46,23,61,31,918,76,150,92,123,76,31,21,45,13,627,80,89,64,90,69,14,31,33,18,494,84,116,52,52,82,21,33,44,17,489,30,24,16,18,13,4,15,11,6,134,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,365,681,437,567,384,173,129,251,93,3072
SOSR715,0,15,21,44,14,35,0,31,26,184,7,90,39,83,32,22,12,29,19,333,107,343,139,257,139,68,43,88,38,1231,143,307,159,194,132,45,76,63,36,1160,142,254,120,161,112,35,58,86,33,997,97,220,98,105,76,23,50,59,16,740,34,58,22,35,21,13,4,25,9,216,3,5,3,0,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,537,1287,603,878,527,243,249,389,172,4882
SOSR721,5,12,22,61,8,18,4,29,3,160,19,55,60,99,44,29,4,51,12,358,107,264,138,216,98,39,53,100,13,1015,142,224,130,188,97,44,59,70,17,975,143,190,125,158,85,27,67,70,26,890,141,217,87,113,84,28,62,53,6,795,48,68,18,23,19,3,13,15,4,216,0,6,0,0,3,0,6,0,0,15,0,0,0,0,0,0,0,0,0,0,598,1029,578,851,437,195,263,392,90,4431
SOSR722,3,9,12,16,0,10,4,20,9,92,5,56,24,52,16,19,9,26,17,229,56,161,62,168,49,55,31,96,15,695,92,185,74,148,58,35,26,92,16,718,129,155,67,124,80,24,27,76,7,692,113,193,64,85,78,26,34,67,14,678,53,63,23,22,23,17,15,18,8,233,5,5,0,4,0,0,3,0,4,20,0,0,0,0,0,0,0,0,0,0,455,830,319,620,307,182,158,395,93,3360
SOSR731,23,22,161,115,51,202,34,285,27,919,54,145,284,207,115,88,89,371,35,1395,402,693,717,417,381,123,261,438,64,3496,664,707,638,383,403,97,257,291,82,3539,798,683,653,435,572,144,400,367,45,4102,648,610,510,312,487,122,329,316,68,3406,221,186,131,65,142,55,83,89,33,1005,36,16,10,3,14,0,6,11,5,108,0,4,0,0,0,0,0,0,0,7,2839,3060,3113,1943,2171,836,1470,2178,377,17978
SOSR779,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,11,0,17,0,9,0,4,0,0,3,26,0,42,0,29,21,0,0,0,0,16,0,59,3,20,19,0,0,0,6,25,0,79,0,23,23,0,0,0,0,14,0,62,6,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,85,63,17,0,0,8,86,4,282
SOSR802,537,565,1175,3450,834,4006,295,1873,165,12898,1895,5438,3374,5547,4222,3220,580,1595,519,26389,8672,23168,7494,6948,8778,3375,1597,3305,1477,64807,13551,21742,5153,4717,8080,1641,1108,2176,1336,59524,12159,15310,3726,3579,7618,1353,1068,1624,1024,47465,6026,8774,2259,2249,5112,1112,980,1343,538,28384,1107,2559,578,557,1210,428,347,407,145,7343,138,295,71,49,134,65,27,48,27,858,13,25,5,0,7,10,0,11,12,76,44105,77875,23832,27095,36004,15213,6000,12372,5249,247742
SOSR822,0,3,0,8,0,5,0,3,0,26,0,5,7,10,4,3,3,0,0,26,7,14,8,0,5,0,0,0,0,46,16,32,12,0,14,3,0,5,4,88,24,31,6,11,14,0,0,0,0,93,10,14,3,0,3,0,5,8,5,45,0,4,0,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,62,104,37,31,46,18,14,18,10,332
SOSR831,15,0,0,10,0,0,0,0,0,31,34,7,3,9,9,0,0,3,0,67,42,21,16,13,6,4,0,4,5,106,19,19,8,4,4,0,0,0,0,53,18,5,8,3,7,5,0,0,0,50,13,6,12,0,3,6,0,8,0,46,15,3,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,142,60,50,37,33,15,0,29,5,378
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,21,0,0,0,4,0,30,0,4,8,11,0,0,9,0,0,37,12,24,39,38,17,3,5,12,3,158,16,35,25,29,23,0,13,19,0,156,28,29,25,30,14,0,14,12,7,164,33,25,22,8,23,7,9,19,4,149,7,10,18,8,7,0,13,12,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,127,137,146,87,13,71,84,14,777
SOSR921,0,0,9,20,0,12,0,13,0,51,0,7,11,13,5,5,0,6,0,52,4,16,21,24,13,9,3,8,0,106,31,17,30,20,21,15,8,9,9,159,33,21,37,25,32,13,6,22,0,195,64,41,54,25,36,27,6,22,5,272,11,18,14,11,16,21,8,15,6,111,6,4,0,8,4,6,0,4,0,25,0,0,0,0,0,0,0,0,0,0,157,119,171,146,132,101,39,99,19,979
SOSR922,25,0,5,12,0,0,0,0,0,39,26,12,10,8,5,4,0,7,0,66,58,36,8,10,3,5,4,7,0,129,24,19,5,14,7,3,3,12,0,80,22,15,6,10,12,0,0,5,0,71,13,25,22,13,6,5,0,14,0,87,5,9,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,172,101,53,61,28,10,13,43,3,497
SOSR931,0,0,6,6,0,0,4,0,0,15,0,4,0,4,3,0,0,6,0,23,10,7,14,14,7,0,0,6,4,55,7,9,4,11,4,0,3,4,5,61,23,14,10,8,15,5,7,8,0,90,11,9,9,4,10,12,4,6,0,71,5,12,7,6,0,0,5,9,0,46,4,3,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,63,51,59,48,50,20,18,41,9,361
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
