SOSR_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR313,459,536,943,841,929,1362,2792,2053,1033,10955,654,902,1518,1299,1221,1509,2062,1177,415,10747,448,1232,1842,1524,1380,1328,1394,739,166,10060,305,1554,2727,1992,1839,1637,1018,389,87,11546,174,1119,2840,2303,2076,1922,894,285,50,11659,38,733,2000,1759,1525,1353,538,115,24,8094,27,388,1732,1586,1551,1162,443,95,29,7007,9,225,1232,1328,1284,946,236,62,12,5331,10,293,2077,2559,2451,1668,349,69,16,9487,0,23,327,579,528,362,73,23,3,1929,5,23,317,614,629,479,177,65,13,2311,778,891,2018,1722,1577,1564,1466,910,479,11398,7,96,232,86,38,40,39,22,3,562,10191,9694,22568,20574,19472,19657,17347,9352,3125,131990
SOSR314,431,524,890,855,1008,1490,2967,2202,1018,11384,557,816,1403,1300,1357,1524,2206,1190,398,10754,417,1144,2002,1490,1489,1444,1353,759,197,10288,305,1412,2825,2039,1960,1728,1060,373,112,11797,142,1044,2672,2334,2367,2106,948,261,62,11928,56,579,1929,1839,1801,1399,462,141,18,8227,40,356,1667,1726,1712,1243,396,123,39,7296,9,171,1136,1338,1415,940,231,63,10,5310,7,243,1654,2346,2422,1594,296,78,19,8669,3,22,352,615,578,366,80,22,8,2036,14,25,345,652,713,464,125,51,13,2398,1034,1147,2746,2403,2322,1939,1678,1307,807,15376,9,152,567,169,46,28,39,4,3,1017,10286,9327,22766,21660,22000,20794,18100,10210,3665,138801
SOSR315,643,797,1399,1401,1803,2947,5980,3881,1643,20490,809,1204,2093,2021,2062,2803,3939,1941,549,17427,587,1572,2586,2225,2408,2566,2637,1165,273,16023,383,1898,3542,2870,2980,2986,1884,628,169,17340,186,1342,3624,3241,3403,3375,1505,396,81,17154,83,758,2611,2498,2555,2333,959,220,47,12066,47,423,2199,2353,2375,1983,628,235,57,10290,16,258,1521,1861,1889,1464,388,89,13,7508,19,328,2420,3157,3325,2388,594,100,15,12347,0,30,456,726,791,547,158,44,10,2757,7,30,358,789,871,736,349,119,24,3278,1602,1721,4564,3880,3843,3900,3313,2125,1231,26182,12,107,445,125,45,82,35,27,6,876,14461,13237,32088,31146,33248,37241,35051,17329,5549,219358
SOSR321,251,308,459,551,787,1349,2558,1574,506,8349,267,439,720,761,889,1217,1569,744,150,6750,216,507,823,794,968,1161,1083,461,87,6091,122,547,1056,1011,1102,1295,780,271,48,6233,76,427,1154,1208,1335,1386,700,187,30,6499,22,231,842,883,1085,936,360,82,12,4462,9,159,646,827,917,799,297,100,21,3773,7,81,470,611,684,572,161,40,3,2626,0,74,588,988,1224,847,218,50,8,3993,0,12,112,229,231,193,52,12,4,848,8,14,109,286,349,285,117,44,17,1224,693,601,1381,1260,1298,1349,1359,833,236,9014,6,29,152,41,19,22,19,10,3,296,5370,4414,10110,11060,13135,15605,14748,6942,1584,82962
SOSR322,78,142,250,256,340,711,1310,778,210,4070,111,192,359,367,422,658,930,396,82,3529,70,210,395,385,457,577,636,230,35,2992,50,260,502,433,524,692,407,133,26,3032,24,210,489,441,578,801,436,110,14,3101,18,98,359,352,421,515,227,53,7,2050,7,64,247,308,402,386,173,46,6,1640,3,18,226,234,313,305,96,18,0,1220,0,50,281,432,519,441,119,25,0,1871,0,6,64,95,125,107,25,4,0,435,0,3,47,108,145,154,77,10,6,553,277,222,545,514,613,865,822,428,136,4410,0,8,75,13,3,17,24,13,0,157,1989,2048,4675,4691,5833,8487,8168,3525,733,40152
SOSR331,1185,1132,1926,2371,3321,5514,9677,5132,1307,31569,1586,1852,2828,3218,4166,5729,6260,2760,572,28962,1229,2479,3437,3628,4605,5403,4463,1893,269,27405,769,2846,4565,4563,6025,6408,3735,1134,190,30239,419,2347,5226,5410,6911,7095,3506,974,132,32030,128,1263,3728,4202,5209,4847,1966,443,52,21847,63,689,3206,4144,5208,4427,1564,406,82,19779,29,330,2156,3105,4068,3142,985,201,45,14069,25,423,3109,5796,6948,4943,1302,290,36,22871,5,34,626,1427,1748,1209,380,121,14,5568,22,47,576,1947,2919,2147,868,303,36,8872,3052,3133,7768,7845,9056,8734,6628,3238,713,50173,16,245,783,304,147,92,112,38,3,1732,26935,20966,46059,55002,70611,78733,64173,26888,5166,394529
SOSR379,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,4,5,4,0,0,0,0,12,0,0,11,4,4,0,0,0,0,17,0,0,4,3,6,0,0,0,0,11,0,0,5,8,6,0,0,0,0,14,0,0,4,3,3,3,0,0,0,16,0,0,4,7,7,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,56,77,54,16,6,0,0,221,0,5,15,6,0,0,4,0,0,24,11,18,102,114,79,34,23,0,0,380
SOSR401,2600,6767,7923,6951,7867,11131,20251,16747,9902,90137,2705,9482,12983,9732,9136,10579,14459,9356,4357,82791,1419,9202,14811,11790,10112,10082,10124,5724,2219,75487,823,9783,21617,16501,14460,12924,8283,3908,1491,89787,421,8013,26583,20954,18179,15875,7845,2871,805,101542,122,4154,19799,16814,14361,11394,4717,1439,397,73198,75,1775,15511,14926,12790,9663,3506,1124,417,59781,27,646,9123,11767,10263,7262,2189,657,199,42135,29,434,10746,18924,17758,11657,3072,886,237,63724,15,84,1463,3662,3661,2422,771,267,90,12429,37,180,1515,5529,7070,5048,1921,714,257,22272,3015,3791,8363,7120,6265,5524,5212,5225,4580,49088,92,132,418,297,284,400,415,132,42,2208,69913,82852,177588,166999,154288,147206,122775,72511,33295,1027419
SOSR412,273,447,615,532,650,1017,1771,1531,704,7537,341,637,871,810,811,923,1208,765,328,6692,186,744,1107,871,844,855,803,527,159,6096,128,819,1572,1204,1209,1095,623,277,99,7028,46,674,1752,1436,1536,1339,538,160,58,7545,15,367,1354,1101,1242,932,292,85,13,5413,9,159,1085,1009,1068,844,226,82,25,4511,0,83,666,855,852,602,134,18,9,3217,0,55,808,1270,1439,819,169,27,7,4599,0,12,93,203,238,137,24,10,3,723,8,13,93,215,300,226,71,21,9,951,327,322,650,581,650,595,545,574,484,4721,0,3,21,17,10,10,19,0,0,82,5899,5824,12486,11553,12526,12190,9815,6220,2485,78984
SOSR413,235,373,580,534,709,1063,2136,1720,895,8240,282,525,824,684,748,974,1500,981,437,6954,144,581,923,767,823,898,1046,725,203,6103,89,608,1146,1006,1029,1101,742,430,119,6280,46,455,1229,1130,1191,1141,666,257,78,6193,6,264,890,774,855,782,414,115,31,4125,3,116,719,720,827,689,310,127,36,3537,4,61,458,531,636,519,167,45,13,2428,3,37,544,891,1075,774,265,65,14,3667,3,13,84,162,219,175,59,26,7,751,9,18,98,307,487,348,145,49,18,1489,358,391,1038,925,836,774,687,555,314,5867,7,4,20,18,17,14,15,8,8,112,5004,4590,9963,9802,11126,12047,12164,7702,2997,75396
SOSR414,75,103,162,168,229,328,846,733,336,2981,87,172,223,250,254,389,677,456,186,2697,46,208,336,295,331,341,409,281,73,2318,27,247,514,429,398,400,303,149,46,2509,19,165,476,475,502,486,237,86,28,2472,3,70,346,315,323,288,143,37,12,1545,0,39,251,267,278,217,99,51,13,1220,0,13,149,190,211,153,50,14,0,782,0,12,146,263,291,204,49,19,3,988,0,0,23,38,53,31,26,6,0,174,0,7,20,34,62,59,33,18,11,246,92,59,159,168,149,157,227,277,158,1439,0,3,12,3,0,6,0,0,0,35,1557,1387,3309,3340,3582,4001,4860,3103,1089,26233
SOSR415,255,366,676,638,815,1433,2800,2320,1411,10701,355,597,904,867,986,1300,1921,1203,481,8607,223,697,1181,1029,1152,1272,1384,769,280,7988,114,895,1682,1398,1501,1453,931,422,123,8524,71,638,1832,1542,1734,1685,874,268,65,8704,10,318,1204,1212,1274,1177,509,138,42,5889,10,146,987,1053,1061,958,325,133,41,4714,5,89,651,750,805,709,212,46,7,3279,4,92,786,1263,1377,965,265,70,21,4840,5,6,122,249,269,172,67,31,3,929,0,6,136,303,322,306,123,65,25,1290,496,333,837,792,958,1050,1103,1085,663,7305,4,57,297,122,36,28,15,9,3,564,5872,5379,12976,12768,14264,16290,16116,9808,4067,97536
SOSR421,66,96,173,152,215,418,880,597,323,2903,88,151,261,243,273,349,526,301,134,2325,53,185,263,290,313,393,429,207,66,2204,35,216,401,386,412,467,275,103,36,2324,18,143,428,364,503,530,267,57,12,2331,4,75,317,299,349,354,140,21,7,1578,4,31,246,267,281,269,103,35,11,1255,0,17,156,187,190,198,53,20,3,823,0,17,164,318,336,286,86,18,6,1234,0,0,30,37,66,55,14,0,0,214,0,3,32,52,73,83,45,14,4,307,161,112,233,270,286,342,395,326,304,2423,0,4,4,5,0,7,5,0,0,20,1583,1368,3163,3316,3852,4966,4819,2566,1164,26795
SOSR422,44,60,116,108,167,314,560,370,138,1879,32,65,145,141,183,305,346,159,46,1422,31,90,138,147,197,253,249,98,21,1221,21,113,212,192,228,283,201,63,11,1316,18,62,213,191,231,309,170,46,4,1251,3,44,157,133,192,239,104,21,3,899,0,11,115,135,139,173,66,28,5,668,0,11,74,105,116,97,39,8,0,449,0,11,80,109,171,187,38,13,8,612,0,0,8,13,29,28,12,5,0,105,0,3,9,28,34,32,22,8,3,145,121,79,173,175,244,351,334,196,66,1745,0,5,0,0,0,3,4,0,0,18,913,809,1886,1847,2423,3484,3331,1584,440,16726
SOSR431,360,485,654,754,1066,1836,2870,1596,417,10034,520,664,939,1065,1294,1778,1987,860,183,9293,332,826,1064,1247,1597,1822,1639,640,135,9307,208,904,1546,1552,2026,2230,1351,419,84,10317,97,765,1765,1830,2432,2640,1260,339,33,11169,40,383,1263,1485,1971,1839,791,171,16,7963,33,187,1080,1455,1711,1503,637,145,24,6770,13,95,702,1022,1315,1113,364,101,13,4734,0,115,1015,1723,2111,1715,533,135,18,7368,3,16,183,403,501,394,155,33,3,1697,3,40,227,599,912,838,325,130,13,3092,825,674,1781,1860,2198,2233,1746,893,219,12437,13,58,153,73,34,15,27,12,3,386,8389,6734,14280,17164,22253,25719,20137,8252,1723,124656
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,6,0,0,0,0,0,5,0,0,0,4,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,5,0,0,0,0,0,7,0,0,0,19,15,0,0,0,0,40
SOSR501,4814,9909,11029,9757,9664,12152,25675,20455,9796,113266,4918,13115,16859,14277,12793,13207,19494,12346,4701,111706,3124,13273,19506,16503,13798,12957,13483,7559,2578,102777,2085,14625,27930,21854,19370,16258,11349,4820,1662,119947,1076,12822,36562,29349,25195,21532,10737,3442,976,141697,430,7586,30911,25654,21564,17098,6953,1867,478,112553,212,4118,27218,25279,21338,16407,5475,1510,530,102081,86,1794,18793,20695,17864,12409,3654,778,224,76293,88,2017,28364,42405,36924,23940,5850,1171,362,141117,24,307,5561,11109,9954,6155,1615,402,121,35244,70,267,5198,17824,20220,12161,3573,1107,316,60731,5548,7112,16518,14157,11520,9218,8571,8438,7547,88634,129,379,1024,632,635,910,788,267,78,4837,118813,126375,287428,290440,256255,222529,177310,98207,39957,1617314
SOSR511,204,214,404,420,419,560,1148,908,415,4691,293,371,586,605,550,569,837,507,184,4506,196,476,686,647,683,556,567,328,108,4243,135,622,973,823,798,674,421,179,49,4672,50,461,1063,961,987,821,417,118,23,4904,17,254,836,793,779,651,196,50,11,3594,14,158,680,830,763,607,163,45,20,3269,4,81,575,665,663,552,102,27,6,2662,0,107,862,1316,1328,957,165,21,14,4769,0,16,159,275,320,210,50,8,10,1045,5,13,131,325,400,250,99,19,9,1250,237,260,680,628,530,458,385,297,266,3736,6,3,26,8,9,14,11,3,0,89,4627,3786,9091,9666,9478,8854,7074,3920,1511,58003
SOSR512,356,347,614,641,642,944,1867,1485,598,7493,462,598,888,894,903,977,1440,895,348,7402,355,783,1016,989,1011,1014,961,548,168,6841,267,869,1323,1211,1224,1234,744,284,121,7288,124,766,1676,1512,1637,1496,688,211,52,8169,63,448,1301,1283,1348,1088,397,95,31,6046,43,329,1286,1156,1355,1070,310,107,54,5712,10,169,939,996,1114,822,229,56,11,4349,20,203,1451,2047,2114,1517,333,63,19,7769,0,34,348,500,502,360,86,14,3,1847,3,24,256,543,601,459,133,55,18,2094,582,610,1578,1449,1266,1250,1034,787,619,9172,3,15,56,19,22,39,23,12,10,192,7209,6364,14837,15166,15506,15253,12323,7037,2902,96591
SOSR513,123,171,279,301,253,334,691,419,132,2712,178,234,433,451,322,399,568,281,56,2919,164,329,561,483,424,367,385,159,24,2893,114,396,856,683,555,515,362,140,27,3643,108,411,1101,922,758,719,392,87,11,4515,41,332,983,867,722,613,271,47,11,3882,33,229,1100,947,797,618,228,31,7,3989,22,143,965,890,743,552,184,20,4,3516,17,218,1699,2108,1784,1123,238,53,8,7248,5,46,547,673,529,336,84,15,0,2244,5,39,570,1080,851,578,169,72,3,3369,554,718,2279,2154,1934,1650,854,416,160,10717,5,40,137,51,25,39,32,7,0,332,3815,3860,12858,12809,10684,9248,6210,2466,563,62518
SOSR514,82,62,160,179,189,250,538,328,175,1956,86,104,230,272,223,266,358,187,51,1779,59,147,247,318,259,214,242,134,42,1666,22,167,378,350,339,257,219,68,13,1821,23,128,398,480,402,329,203,44,16,2019,9,64,308,306,293,246,98,29,6,1354,7,48,203,255,267,217,77,24,5,1105,0,33,139,227,224,148,50,10,0,836,0,17,256,427,417,287,76,14,0,1490,0,3,38,95,106,65,8,3,0,323,0,0,29,102,135,91,40,13,5,416,156,105,289,300,293,260,243,172,131,1948,0,8,30,23,3,6,0,3,0,77,1589,1106,3194,3836,3643,3414,3198,1591,561,22147
SOSR515,214,230,453,467,538,882,1816,1158,430,6181,284,364,697,678,674,821,1300,682,220,5723,208,496,829,701,749,817,879,416,104,5202,151,589,1059,930,978,940,641,263,82,5640,94,522,1315,1075,1123,1241,661,166,25,6222,45,372,1035,905,926,814,381,92,15,4580,22,245,1076,889,932,782,299,68,29,4349,8,124,727,812,839,669,219,32,13,3449,21,167,1394,1644,1675,1314,321,48,7,6580,0,31,357,487,477,338,72,23,5,1794,3,21,294,592,548,407,146,27,11,2054,712,638,1654,1562,1574,1413,1102,745,422,9830,4,128,181,57,32,34,28,8,4,480,5104,4808,12807,12491,12696,13327,11946,5698,1904,80781
SOSR521,80,89,206,223,292,419,868,551,168,2893,110,113,284,286,304,357,519,266,79,2321,87,174,302,285,260,324,415,167,60,2067,70,192,351,340,385,417,266,100,36,2150,35,168,404,377,457,513,270,79,16,2323,11,120,342,310,364,413,154,30,8,1749,9,66,345,365,324,404,142,42,11,1720,8,50,250,253,283,285,76,6,3,1213,4,72,487,571,608,533,103,19,5,2403,0,11,141,161,148,137,26,10,3,635,0,12,101,187,208,162,53,15,12,758,280,301,869,832,878,902,706,391,124,5280,4,20,52,20,10,8,9,0,0,118,1925,1866,5059,5022,5453,6325,5446,2507,738,34335
SOSR522,40,63,113,126,131,242,530,336,94,1676,58,83,184,169,145,223,344,130,46,1377,37,77,157,156,156,197,230,101,19,1132,40,109,210,170,202,264,188,65,16,1258,22,99,244,209,238,286,139,55,13,1291,7,76,215,157,175,230,105,23,3,999,5,53,174,165,184,184,75,23,6,850,0,33,129,143,175,165,52,8,0,703,0,36,238,293,306,323,91,13,3,1303,0,3,51,69,80,62,31,5,0,306,0,0,33,92,106,107,47,6,0,392,204,150,372,374,375,449,473,217,84,2697,0,12,45,3,6,0,5,0,0,79,1204,1292,2939,2802,2920,3646,3386,1481,373,20052
SOSR531,411,372,690,756,939,1488,2746,1407,396,9200,539,614,873,1038,1313,1773,2282,974,155,9563,361,780,948,1099,1390,1773,1694,610,105,8759,259,883,1356,1415,1752,2144,1550,487,82,9922,170,897,1862,1760,2352,2714,1472,364,49,11643,84,688,1614,1679,1953,2153,911,218,24,9324,55,492,1670,1770,2222,2112,734,177,30,9250,45,374,1462,1658,2030,1767,517,119,10,7993,39,699,3621,4186,4876,3725,929,143,18,18237,7,107,1125,1517,1555,1104,269,37,8,5732,19,82,960,1939,2259,1585,518,138,22,7519,1086,2230,7092,6866,6663,5225,2679,1055,184,33088,7,111,290,126,74,75,40,12,5,733,8998,9785,26105,28811,32959,33753,23823,8679,1662,174575
SOSR579,0,5,4,3,4,3,6,0,0,20,0,0,3,0,7,3,7,5,0,28,0,0,7,4,3,5,5,0,0,31,0,3,11,9,4,8,16,4,0,44,4,13,22,15,16,17,8,3,0,92,0,10,22,13,18,12,16,0,0,99,0,12,27,21,25,16,16,0,0,119,3,10,19,25,29,16,3,0,0,105,0,17,78,141,116,79,9,0,0,449,0,0,26,84,65,33,6,0,0,211,0,0,76,185,196,102,13,0,0,578,8,45,221,433,403,220,56,8,0,1394,0,0,33,37,61,29,0,0,4,164,19,121,549,999,951,560,178,32,3,3410
SOSR603,385,1019,1879,1218,1251,1795,3202,2537,1205,14500,403,1408,2925,1602,1324,1649,2399,1488,616,13812,205,1376,3206,1876,1424,1460,1863,1060,422,12899,152,1441,4293,2478,1903,1950,1578,763,281,14841,67,1252,4988,3161,2569,2473,1487,588,169,16755,18,682,3326,2490,2196,1850,901,282,80,11822,5,269,2396,2277,2190,1754,643,234,75,9850,10,87,1538,1772,1835,1228,385,107,23,6990,6,48,1700,2971,3058,2019,505,147,44,10489,3,10,201,471,577,412,119,49,10,1862,7,29,266,813,1079,793,310,118,43,3454,539,686,1869,1287,1026,951,1029,984,821,9193,6,69,169,51,34,56,44,14,7,456,10503,12586,34293,25494,23122,22581,19915,11761,4857,165114
SOSR611,236,466,691,514,591,740,1571,1345,726,6879,207,684,1105,741,731,731,1025,683,298,6199,132,660,1275,825,775,744,693,420,131,5652,73,744,1693,1065,982,922,507,236,90,6304,30,533,1895,1289,1173,1130,465,141,47,6695,3,240,1178,955,881,674,245,80,13,4284,3,117,831,751,812,581,191,74,24,3376,0,33,488,612,644,507,123,27,5,2446,0,24,494,846,972,639,175,39,14,3204,0,4,70,141,172,133,38,15,10,576,4,7,90,257,343,246,95,37,20,1084,280,423,727,432,432,434,455,460,352,3994,8,47,46,20,10,8,15,3,3,159,4786,5521,12473,9793,9935,9388,8144,5220,2182,67450
SOSR612,112,207,403,352,420,587,1047,776,415,4316,141,266,534,437,439,533,650,404,156,3566,71,387,606,436,420,432,388,250,91,3082,46,395,820,541,544,529,267,120,33,3294,18,273,759,596,654,584,233,78,21,3207,4,151,537,448,473,386,117,33,8,2153,0,69,404,411,378,325,92,35,13,1730,0,38,249,249,304,239,49,12,0,1141,0,26,248,364,422,305,64,10,9,1446,0,0,22,50,64,52,18,4,0,217,4,4,41,72,107,95,44,18,0,388,155,131,340,257,311,297,312,365,251,2415,0,9,23,16,4,6,7,6,0,69,2602,2619,5863,4938,5482,5738,5119,3226,1256,36845
SOSR613,25,50,74,84,121,174,336,321,209,1399,46,73,109,107,109,181,205,144,57,1020,14,102,144,119,116,150,158,78,27,907,15,94,157,124,158,171,97,35,9,862,5,57,181,146,174,179,96,25,6,873,0,34,104,108,136,111,31,13,4,540,0,12,92,97,135,120,24,12,10,498,0,14,56,90,96,76,21,6,0,356,0,3,70,104,119,97,14,3,0,407,0,4,4,5,15,15,5,0,0,48,0,0,10,18,21,19,4,4,0,78,52,44,61,75,68,79,103,95,39,608,0,0,6,0,0,0,0,0,0,6,714,625,1244,1238,1500,1823,1740,1183,461,10535
SOSR614,40,75,124,134,171,240,415,343,131,1674,45,85,155,151,141,207,237,130,48,1206,28,114,186,178,156,176,155,91,24,1105,11,124,250,194,195,209,100,37,14,1154,5,92,319,234,241,253,93,32,5,1272,5,50,193,192,175,173,49,16,4,856,0,30,144,160,136,145,53,17,8,694,0,4,76,106,111,103,31,0,0,426,0,10,61,134,130,110,27,6,0,482,0,0,7,15,28,19,10,3,0,75,5,3,8,24,25,24,14,3,0,108,79,60,132,118,124,117,133,95,38,899,0,0,5,3,0,0,0,0,0,8,881,833,1933,1899,1958,2402,2085,1177,361,13527
SOSR615,130,250,458,427,575,808,1794,1347,595,6379,186,345,601,518,587,755,1057,653,285,4990,100,403,748,591,648,688,658,415,116,4366,64,536,1046,743,788,779,511,188,76,4724,34,376,1145,899,926,908,419,101,30,4841,10,207,800,673,675,595,173,60,14,3194,4,81,603,593,549,493,143,61,18,2541,4,36,325,411,429,320,65,16,4,1605,0,22,337,534,573,437,81,23,3,2007,0,4,48,61,81,60,18,3,0,282,13,9,41,91,130,103,52,34,6,469,237,182,401,378,397,450,521,462,307,3340,0,7,44,19,7,9,8,3,7,109,3233,3167,7630,6856,7521,8710,8829,5258,1930,53136
SOSR621,41,65,121,139,163,309,564,352,128,1884,48,97,195,175,213,279,356,197,53,1614,31,111,223,192,203,264,263,128,22,1441,32,137,300,218,257,282,168,88,16,1499,11,107,315,317,313,347,192,63,10,1672,3,47,224,234,236,214,96,27,0,1088,0,20,171,202,241,202,76,28,8,949,6,20,123,157,170,141,35,6,0,664,0,9,127,235,284,213,53,8,3,935,0,0,22,43,46,36,21,0,0,156,0,0,17,41,82,71,30,8,6,242,85,60,158,141,170,223,214,190,99,1344,0,8,21,11,3,3,5,0,0,55,1002,916,2351,2432,2829,3527,3208,1699,463,18429
SOSR622,16,37,51,48,93,156,315,192,81,994,31,38,71,52,87,137,160,82,21,673,9,40,68,78,96,116,130,52,11,616,11,51,95,94,118,134,83,28,9,625,3,32,116,111,134,149,56,21,0,629,3,16,79,82,94,109,34,4,0,423,0,5,59,74,73,75,19,3,0,307,0,6,38,38,57,71,28,3,0,244,0,0,39,74,91,77,38,0,0,318,0,0,8,13,21,19,7,0,0,67,0,0,3,18,23,35,9,4,0,93,27,37,55,51,74,101,131,99,65,645,0,0,0,3,0,0,0,0,0,7,403,356,820,884,1194,1636,1575,732,235,7841
SOSR631,251,321,555,619,934,1525,2339,1189,319,8037,327,464,768,839,1075,1395,1418,597,127,7006,247,618,947,962,1139,1369,1089,421,65,6858,117,669,1163,1284,1388,1580,804,292,62,7362,52,534,1494,1468,1868,1863,822,205,30,8333,9,250,1021,1196,1308,1248,457,93,5,5593,8,127,810,1071,1236,1130,374,81,23,4856,8,47,498,809,899,806,228,33,9,3328,0,32,565,1086,1400,1064,259,49,10,4462,0,5,64,204,236,175,78,28,5,802,6,13,82,310,426,376,162,61,5,1436,457,316,774,804,949,1148,1018,495,151,6113,0,12,47,23,20,15,3,3,4,124,5864,4502,10426,12382,15396,18414,14315,5638,1154,88099
SOSR679,0,0,0,0,0,0,4,0,0,10,0,0,0,0,3,0,4,0,0,15,0,4,0,0,0,0,7,0,0,9,0,0,3,3,4,3,0,0,0,14,0,0,5,3,4,4,4,0,0,15,0,0,19,14,17,8,0,0,0,56,0,0,8,11,10,9,0,0,0,36,0,0,7,4,9,3,0,0,0,26,0,0,15,18,23,22,5,0,0,82,0,0,5,8,3,3,0,0,0,19,0,0,3,9,11,5,0,0,0,26,0,0,4,3,9,12,3,0,0,36,0,0,3,4,0,0,0,0,0,13,5,15,69,78,90,77,33,3,0,374
