SOSR_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
SOSR321,585,1418,2574,2653,2497,2033,2104,924,136,14922,152,197,417,458,626,662,556,169,32,3267,315,362,1065,1325,2110,3266,2760,957,122,12282,100,46,171,249,409,616,728,356,49,2719,26,30,78,108,176,356,774,844,241,2635,0,0,18,8,13,23,48,21,16,155,229,212,564,540,641,626,666,423,104,4013,1417,2275,4883,5335,6479,7586,7636,3694,691,39994,562,1480,3316,3603,3354,2693,1899,706,135,17744,107,131,400,476,628,725,526,171,37,3198,224,214,709,915,1787,3214,2812,988,221,11080,63,40,123,157,264,535,571,253,80,2086,26,17,41,57,100,233,640,683,279,2073,0,3,11,14,12,17,19,29,13,109,218,217,477,461,489,588,608,406,130,3583,1195,2107,5072,5675,6628,8000,7081,3233,889,39879,1145,2901,5894,6252,5860,4727,4006,1629,268,32668,262,326,815,931,1252,1385,1088,340,64,6464,537,577,1773,2243,3894,6479,5571,1944,343,23364,167,89,287,401,666,1156,1297,610,131,4804
SOSR322,221,639,1226,1112,1085,1010,1091,392,64,6842,70,111,188,247,269,380,291,84,13,1645,130,131,452,524,939,1833,1556,521,58,6135,49,21,93,112,189,342,432,164,31,1427,9,9,32,46,101,229,515,496,101,1540,0,5,3,8,15,12,31,24,4,102,84,104,258,275,337,448,427,258,69,2259,556,1017,2254,2323,2933,4260,4348,1928,334,19946,204,722,1495,1434,1349,1356,935,313,48,7863,63,89,231,210,312,408,292,89,20,1707,94,85,303,388,806,1654,1514,435,91,5373,25,19,58,66,125,280,330,129,14,1052,7,4,20,24,40,134,346,383,125,1092,0,3,0,7,5,8,20,18,14,74,82,95,229,223,256,377,362,219,83,1906,474,1015,2339,2347,2893,4209,3796,1590,400,19067,434,1364,2721,2542,2434,2368,2031,700,108,14709,128,195,420,454,582,791,581,175,31,3349,223,221,753,912,1742,3485,3066,954,146,11507,66,41,152,182,312,627,760,296,42,2477
SOSR331,3064,7406,12314,13862,14491,11360,9723,3619,493,76333,670,701,1638,2145,2991,3176,2126,613,84,14144,1416,1418,5028,6523,11014,16672,12514,3883,520,58993,370,211,663,1033,1823,3143,3028,1319,236,11825,82,76,260,384,760,1533,3661,3737,946,11427,14,21,63,72,104,149,166,148,48,786,1202,1426,3751,4116,4982,4726,3419,1699,345,25661,6822,11257,23708,28128,36177,40763,34638,15013,2672,199163,3310,7208,15023,18109,18763,13806,8365,2745,435,87754,372,406,1179,1656,2855,3455,1945,584,81,12526,685,683,2381,3529,8089,14461,12000,3812,627,46272,184,90,353,550,1066,1999,2107,864,201,7424,43,26,101,167,350,779,2176,2387,794,6817,9,14,49,59,83,102,105,85,38,546,1016,1024,2445,2476,3045,3252,2716,1356,322,17653,5623,9454,21538,26543,34256,37855,29406,11831,2490,178996,6375,14610,27334,31972,33257,25166,18085,6364,923,164083,1038,1109,2816,3795,5850,6627,4075,1198,160,26673,2102,2102,7410,10048,19108,31135,24516,7698,1148,105263,558,302,1014,1578,2893,5148,5132,2181,434,19248
SOSR379,0,7,8,15,8,8,4,0,0,52,0,0,0,3,0,0,0,0,0,9,0,0,12,8,13,4,0,0,0,36,0,0,0,3,5,0,0,0,0,8,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,40,74,45,16,6,0,0,192,6,9,69,102,77,26,14,0,0,300,0,3,8,3,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,3,0,0,0,0,0,29,6,3,21,7,3,5,0,0,0,53,0,4,16,20,8,10,4,0,0,70,0,0,0,3,0,0,0,0,0,13,0,0,12,8,11,3,0,0,0,33,0,0,0,0,5,0,0,0,0,11
SOSR401,9620,33661,64202,56459,45028,32578,24733,11086,3282,280640,1832,4002,9969,10109,13886,16619,11224,4034,1065,72748,1241,1976,7010,7999,9352,12221,10893,6789,2161,59642,351,369,1497,1870,2151,3227,3104,2450,1136,16157,181,235,837,1184,1290,1980,3725,4972,3019,17435,33,158,604,814,979,960,813,625,399,5393,1124,1606,3814,3387,2986,2760,2548,2280,1421,21932,14396,42007,87930,81828,75676,70340,57033,32249,12489,473941,10236,34236,71227,64537,51095,36995,23425,10444,3930,306123,1130,2575,6861,7617,12452,18243,13366,4760,1829,68831,787,1453,5066,6036,7901,12471,15851,9856,3963,63385,228,284,1071,1476,1769,3039,3917,3763,2215,17748,98,132,698,1090,1172,1926,4721,6896,5288,22026,23,88,605,972,1262,1189,1032,1044,897,7114,1067,1493,3500,3025,2564,2525,2935,3318,2628,23047,13573,40254,89029,84740,78219,76379,65246,40089,20742,508271,19853,67897,135426,120993,96129,69566,48163,21524,7213,586763,2964,6581,16830,17727,26338,34862,24587,8794,2896,141580,2039,3426,12079,14033,17255,24687,26745,16641,6125,123025,581,653,2564,3343,3911,6261,7023,6221,3344,33902
SOSR412,637,1955,3581,2899,2727,1775,1312,627,189,15704,269,541,1235,1136,1624,1837,1043,351,82,8115,166,240,810,849,950,1388,1211,654,179,6446,46,33,153,219,271,401,423,264,114,1919,12,22,52,99,92,187,418,493,257,1630,5,8,23,33,23,28,19,27,11,176,126,144,324,305,331,278,256,241,147,2160,1252,2941,6183,5539,6015,5896,4682,2659,978,36149,722,2165,4397,3869,3565,2135,1291,704,183,19037,171,350,862,954,1555,1949,1130,420,92,7478,92,168,576,658,825,1414,1543,968,330,6576,34,23,92,150,180,354,432,435,194,1896,15,8,43,58,65,129,400,601,424,1747,7,5,23,22,30,21,22,43,10,184,104,132,288,270,264,271,297,386,266,2278,1140,2853,6279,5991,6494,6274,5107,3555,1507,39199,1360,4116,7980,6763,6292,3916,2603,1330,373,34742,442,884,2094,2091,3183,3781,2171,770,174,15586,261,408,1391,1511,1771,2801,2747,1620,514,13026,73,59,242,369,454,756,855,696,307,3812
SOSR413,473,1360,2511,2385,2477,1865,1858,1015,241,14188,220,435,935,886,1222,1610,1139,464,124,7035,164,294,956,928,964,1322,1328,852,222,7024,47,51,143,183,234,398,469,365,118,2004,22,21,89,100,103,200,525,681,320,2072,3,7,20,27,19,21,24,35,10,167,138,163,400,360,391,423,362,282,131,2642,1069,2339,5047,4868,5414,5840,5701,3682,1171,35131,525,1588,3216,3082,3201,2341,1937,869,302,17057,110,300,663,758,1190,1765,1400,500,154,6855,98,180,525,581,703,1247,1700,1115,370,6515,28,32,119,130,170,351,510,472,225,2043,11,9,51,54,84,160,471,676,531,2051,6,4,19,9,20,21,23,27,11,149,126,120,290,290,316,302,397,358,226,2417,906,2237,4886,4907,5692,6185,6443,4004,1818,37083,1005,2952,5726,5466,5682,4210,3801,1879,539,31246,333,741,1602,1644,2419,3379,2546,958,276,13888,259,471,1474,1510,1665,2561,3031,1967,596,13541,75,80,257,310,405,748,976,836,342,4047
SOSR414,143,441,916,788,791,607,715,437,96,4931,72,129,307,311,411,539,516,180,51,2502,47,70,249,254,321,442,577,356,89,2407,9,11,53,62,76,128,167,171,47,728,5,4,18,22,19,34,132,202,85,525,0,4,19,30,30,16,16,5,3,122,22,37,78,87,77,101,113,128,79,714,305,683,1636,1561,1718,1863,2232,1484,445,11928,190,542,1190,1157,1025,814,795,364,90,6173,37,77,198,272,459,660,597,239,71,2598,21,42,140,185,224,417,753,444,129,2358,4,12,34,45,49,117,194,185,79,710,0,0,13,15,22,38,120,219,156,592,0,0,10,13,12,4,11,3,11,69,22,16,80,80,74,84,149,169,108,780,276,697,1663,1770,1858,2130,2622,1620,641,13282,335,983,2108,1945,1814,1418,1508,803,189,11107,107,198,503,585,867,1197,1113,418,114,5100,74,106,386,447,543,866,1333,791,221,4763,14,19,88,109,124,244,366,349,125,1441
SOSR415,622,1831,3309,2986,2891,2166,2208,956,274,17254,261,476,1291,1223,1716,2299,1726,546,109,9653,138,254,889,1088,1259,2042,2045,1043,278,9040,49,46,222,298,384,646,709,554,191,3093,18,16,75,89,119,294,685,936,470,2711,7,3,28,32,54,47,34,36,17,251,193,186,413,421,506,573,557,491,213,3566,1291,2813,6234,6149,6926,8066,7958,4562,1560,45566,635,1927,4311,4194,3893,2837,2090,963,356,21208,135,285,858,937,1642,2469,1854,616,180,8977,85,133,680,764,1013,1764,2368,1401,463,8667,28,20,139,175,216,440,665,638,278,2600,5,7,37,48,74,197,534,967,826,2703,6,5,16,19,32,24,31,42,31,193,156,110,397,364,418,462,588,605,373,3472,1054,2493,6433,6486,7283,8192,8134,5229,2501,47814,1261,3760,7621,7179,6784,5003,4294,1921,629,38453,390,763,2152,2157,3364,4766,3579,1158,284,18628,229,386,1568,1852,2268,3801,4415,2446,743,17708,80,61,357,466,598,1092,1374,1187,473,5684
SOSR421,157,440,801,752,751,652,623,264,54,4501,70,118,317,334,522,729,535,143,34,2802,51,65,229,275,350,615,653,328,85,2642,14,13,44,59,79,207,211,143,46,811,12,6,23,37,36,78,226,235,148,794,0,0,3,9,0,6,4,0,3,23,51,62,115,144,157,181,201,134,77,1124,354,701,1533,1611,1899,2468,2457,1242,452,12708,189,482,1115,1099,1060,853,618,248,81,5756,27,89,219,243,444,827,568,173,48,2639,23,33,133,190,235,474,666,366,135,2258,5,3,33,33,53,120,165,167,75,662,4,5,20,24,19,42,145,227,219,698,0,0,4,0,7,4,12,0,3,32,51,39,99,104,131,162,182,151,152,1071,301,655,1620,1698,1954,2491,2361,1326,711,13118,354,926,1917,1851,1810,1503,1244,505,144,10259,93,212,531,583,963,1560,1102,315,84,5440,79,93,361,466,587,1088,1317,698,213,4899,26,17,74,94,135,327,383,305,122,1475
SOSR422,80,218,402,353,380,404,407,172,22,2439,56,97,186,183,331,498,383,81,22,1844,53,53,180,200,267,427,447,183,32,1855,26,17,53,53,90,131,168,84,19,646,5,3,22,23,46,68,175,188,65,597,0,4,0,0,7,6,8,7,4,38,36,39,90,92,127,196,197,115,30,916,255,433,931,906,1248,1741,1788,830,202,8342,76,241,554,529,529,549,415,135,24,3048,43,47,141,140,262,510,335,96,17,1588,17,33,127,134,173,376,395,212,51,1516,10,7,37,28,64,96,128,77,23,478,3,4,6,19,21,50,96,122,87,407,0,0,3,5,0,7,6,4,3,31,39,36,78,80,117,164,157,111,39,817,183,366,944,939,1171,1745,1535,754,236,7886,158,459,954,884,907,952,822,304,47,5491,93,149,326,328,593,1014,720,179,34,3435,68,81,308,333,444,805,845,391,84,3368,41,28,89,82,151,228,297,166,45,1122
SOSR431,927,2349,3875,4166,4844,4019,3394,1116,154,24845,376,568,1408,1726,2781,3788,2227,528,58,13455,252,338,1131,1641,2177,3281,2559,1047,162,12586,65,40,233,330,476,967,919,513,103,3648,20,32,90,122,185,408,900,871,252,2883,4,5,15,35,33,49,52,38,21,248,289,360,945,979,1140,1201,895,490,106,6410,1940,3687,7699,9001,11642,13708,10941,4603,859,64076,1020,2383,4616,5574,6049,4743,2925,873,136,28309,141,229,653,1039,2205,3448,2032,494,73,10302,118,114,498,736,1188,2229,2311,897,141,8244,31,30,79,139,251,513,579,364,85,2072,9,6,44,64,120,189,521,566,258,1786,0,3,3,17,24,37,37,36,26,195,268,215,525,516,736,832,750,404,137,4390,1590,2982,6421,8091,10575,11992,9163,3636,851,55297,1943,4732,8493,9741,10894,8761,6321,1987,288,53155,518,792,2061,2762,4978,7236,4254,1018,132,23756,371,457,1629,2376,3370,5513,4871,1944,304,20830,102,73,307,470,729,1473,1499,880,188,5725
SOSR479,0,0,0,7,8,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SOSR501,17586,49823,99275,99529,75884,54584,40602,18180,4719,460191,2672,4379,11801,12051,12253,10304,5703,2575,584,62322,3367,5025,16033,17533,24580,29642,23465,11055,2971,133665,957,702,1958,2426,2972,3955,4779,3847,1518,23111,252,262,866,1254,1501,2224,3935,4954,2657,17901,45,141,696,871,982,913,794,619,352,5409,2102,2872,7184,6568,5485,4556,4269,3963,2532,39543,26981,63205,137805,140229,123663,106186,83549,45196,15337,742150,18455,52003,116856,115446,86415,61009,38870,17086,5554,511699,1717,3223,9463,9852,12765,13604,7805,3331,947,62707,2495,3907,12448,13965,22564,29061,30043,15371,5666,135515,705,511,1366,1900,2373,3596,5363,4683,2548,23040,202,179,767,1321,1791,2586,4826,5953,4303,21942,48,89,620,986,1107,1236,1098,928,789,6906,2026,2631,6853,5918,4760,4164,4831,5301,4701,41183,25634,62543,148379,149396,131784,115258,92837,52655,24513,802983,36042,101823,216135,214980,162295,115599,79475,35268,10276,971889,4382,7604,21261,21900,25019,23913,13506,5902,1537,125032,5859,8929,28484,31492,47146,58703,53507,26426,8638,269181,1660,1207,3325,4331,5346,7550,10141,8529,4065,46156
SOSR511,470,1162,2221,2337,1979,1458,1094,468,129,11314,185,264,611,691,636,447,265,97,24,3212,240,342,1093,1211,1406,1733,1289,587,107,8003,50,33,131,124,159,269,287,230,67,1361,9,11,32,34,43,85,203,251,130,793,3,0,19,14,19,25,14,14,12,124,94,111,273,236,242,222,212,142,99,1642,1046,1933,4376,4640,4491,4246,3370,1790,562,26446,543,1348,3007,3145,2593,1780,1079,503,156,14145,113,153,544,631,656,672,401,138,43,3349,176,229,765,898,1372,1661,1499,751,236,7596,34,41,91,100,95,172,310,236,121,1200,6,15,29,34,45,75,175,273,182,823,3,0,8,3,7,15,18,22,15,94,73,82,252,194,203,212,207,208,196,1620,949,1856,4692,5009,4967,4584,3693,2127,947,28826,1011,2509,5225,5483,4568,3233,2176,967,281,25456,297,409,1155,1317,1289,1120,663,234,65,6562,411,568,1861,2107,2779,3390,2796,1341,347,15595,87,71,227,225,255,436,600,470,191,2563
SOSR512,686,1853,3786,3724,3116,2497,1959,840,231,18683,345,454,961,951,955,783,473,178,49,5146,464,567,1617,1642,2269,2843,2115,954,229,12699,110,78,161,192,295,388,494,409,133,2263,21,26,65,82,112,221,368,488,284,1676,6,10,44,48,46,42,27,28,26,280,266,275,749,732,665,691,538,370,173,4457,1891,3245,7389,7385,7462,7463,5976,3260,1134,45204,753,2029,4760,4824,4110,3055,1932,922,324,22704,190,292,774,788,1097,1174,735,262,65,5368,288,441,1058,1316,1995,2471,2352,1205,394,11512,78,62,122,139,185,301,448,415,209,1963,17,13,35,61,75,147,300,475,374,1495,4,5,25,24,44,30,44,25,40,241,239,251,620,598,512,572,512,454,363,4116,1568,3092,7389,7756,8021,7755,6314,3758,1766,47405,1434,3883,8543,8548,7221,5553,3889,1763,553,41390,531,747,1738,1741,2053,1958,1211,434,111,10516,751,1001,2675,2965,4261,5312,4466,2154,624,24216,187,136,279,333,479,688,941,824,345,4225
SOSR513,392,1076,3159,3303,2333,1560,1049,395,51,13321,170,210,687,753,709,578,258,75,9,3447,172,242,955,1181,1397,1511,1020,327,35,6839,52,45,136,170,160,241,237,118,23,1186,12,6,29,40,76,89,166,145,54,613,7,5,11,26,18,13,18,10,3,116,266,372,1242,1353,1254,1023,446,221,58,6245,1067,1959,6226,6821,5956,5018,3190,1288,231,31764,396,1207,4178,3716,2305,1605,970,316,62,14759,85,148,519,534,595,610,332,91,17,2924,111,170,682,743,929,1128,1005,324,66,5161,40,28,82,84,116,152,157,111,48,817,14,6,17,59,54,74,115,122,61,520,0,3,8,13,20,15,16,9,8,96,210,294,991,785,693,590,389,193,78,4221,867,1862,6482,5934,4696,4181,2978,1171,330,28500,787,2285,7335,7016,4637,3169,2022,713,117,28080,256,356,1205,1288,1300,1193,587,169,18,6374,286,411,1639,1925,2328,2638,2021,652,101,11992,93,76,221,253,275,395,392,227,67,2000
SOSR514,156,354,805,952,761,537,578,233,42,4419,63,85,222,240,241,183,129,47,8,1218,80,73,258,332,464,610,536,200,40,2596,16,12,30,43,56,102,135,87,22,486,8,17,35,21,26,40,96,91,52,379,0,0,5,6,5,7,9,9,0,35,75,54,165,154,158,139,120,95,61,1024,398,594,1518,1747,1709,1620,1593,755,221,10159,144,342,1112,1363,1061,719,527,226,55,5559,38,47,168,213,220,271,176,68,7,1204,56,58,200,298,445,580,591,250,74,2554,26,8,21,29,46,64,105,72,40,411,0,3,11,9,14,26,76,88,52,282,0,0,3,0,0,0,3,0,9,24,52,51,133,146,145,128,121,124,100,994,313,510,1648,2069,1931,1790,1605,825,340,11025,304,698,1915,2315,1821,1259,1107,459,98,9975,102,126,390,451,459,457,303,115,22,2426,137,129,456,629,911,1188,1129,451,118,5154,38,20,52,72,102,163,235,152,59,896
SOSR515,439,1316,3175,2761,2386,1925,1806,726,143,14673,227,307,721,811,899,770,476,174,38,4427,258,370,1156,1381,1923,2488,2147,753,145,10624,92,56,154,234,271,446,564,365,121,2295,28,18,63,80,123,181,363,447,194,1482,4,4,44,28,48,45,43,32,17,262,325,320,898,876,912,812,627,384,152,5305,1365,2396,6211,6163,6554,6664,6024,2884,804,39075,490,1411,4009,3605,2765,2364,1754,657,188,17244,158,203,641,693,852,1016,603,181,40,4374,174,288,847,1016,1484,2166,2247,820,267,9309,78,48,91,149,206,289,422,315,123,1710,24,16,41,63,88,136,258,376,211,1211,4,7,25,23,30,32,36,31,21,212,270,307,754,711,677,629,587,429,239,4604,1195,2272,6408,6258,6104,6623,5898,2804,1094,38664,928,2728,7188,6366,5152,4295,3556,1385,330,31918,386,508,1364,1504,1756,1783,1078,352,77,8801,434,659,1999,2394,3409,4650,4393,1576,415,19934,166,103,250,383,476,731,982,679,244,4005
SOSR521,191,494,1124,1031,905,822,750,284,56,5661,81,115,286,282,331,325,193,80,9,1705,142,150,500,594,845,1273,1023,344,70,4937,32,25,71,86,131,207,272,129,44,1001,20,17,32,47,62,113,217,212,84,803,0,4,7,5,13,4,9,20,3,74,92,162,518,501,573,533,393,209,47,3036,572,976,2530,2540,2865,3280,2860,1279,317,17222,208,497,1358,1300,1064,1015,672,292,70,6475,62,81,267,282,325,422,218,77,14,1750,102,123,386,452,727,971,975,344,97,4178,27,24,59,69,101,163,209,130,45,824,22,23,37,24,39,73,146,152,93,604,0,0,7,8,3,13,18,15,9,69,90,119,354,318,322,390,341,215,90,2237,511,867,2471,2454,2582,3043,2570,1226,423,16142,397,996,2488,2332,1963,1836,1422,575,127,12137,147,197,551,563,651,749,414,164,25,3461,242,274,883,1042,1575,2239,1997,693,173,9114,62,45,131,151,234,375,480,256,87,1824
SOSR522,125,292,657,576,498,537,559,192,38,3454,56,75,219,192,213,174,133,41,7,1109,100,147,337,361,483,661,572,220,40,2918,41,23,55,78,86,129,153,85,19,663,22,17,34,41,52,81,125,129,45,546,5,4,5,3,11,15,9,8,0,64,59,62,177,202,224,242,259,123,27,1372,405,616,1477,1450,1555,1828,1807,798,179,10115,132,360,793,643,527,619,485,163,47,3766,41,82,181,202,201,241,156,40,7,1152,83,100,234,288,403,589,525,205,39,2469,28,28,33,55,53,72,92,84,16,469,9,13,28,15,24,58,88,78,33,358,4,4,0,5,10,15,24,15,9,78,53,69,142,137,132,218,210,105,46,1111,360,657,1412,1343,1357,1807,1575,685,199,9398,256,655,1448,1220,1019,1149,1043,349,81,7223,102,155,401,388,408,411,289,81,15,2253,179,245,567,645,890,1254,1094,428,73,5382,69,48,86,133,136,197,247,173,33,1130
SOSR531,1087,3136,7030,7515,7254,6260,4621,1463,191,38545,344,523,1551,1856,2168,1876,1031,330,39,9720,486,804,2793,3355,4884,6246,4289,1348,187,24383,104,73,256,405,590,899,1041,501,103,3970,35,24,112,130,220,358,711,621,198,2402,12,13,35,72,121,96,45,54,26,465,447,1306,4643,4671,4563,3459,1527,557,102,21274,2510,5874,16407,18008,19795,19191,13258,4871,842,100763,1069,2595,6022,6772,6806,6405,3926,1119,206,34909,187,250,721,988,1590,2042,986,259,33,7054,255,279,985,1366,2794,3975,3564,1142,215,14572,79,36,101,132,241,483,618,377,100,2176,20,15,47,58,115,179,370,393,162,1356,3,10,15,24,28,29,28,38,14,186,372,614,1519,1314,1488,1375,1025,467,85,8252,1978,3792,9401,10661,13068,14482,10520,3788,820,68501,2152,5725,13044,14292,14061,12660,8548,2581,391,73453,531,776,2269,2846,3760,3916,2015,590,77,16771,741,1082,3776,4725,7679,10226,7853,2486,403,38956,185,111,351,536,836,1378,1656,876,209,6141
