UCL_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL115091,651,610,1261,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,9,20,17,20,35,80,69,145,0,0,0,751,697,1445
UCL115092,800,909,1710,0,3,4,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,12,23,35,48,53,98,0,0,0,858,983,1838
UCL115093,532,543,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,7,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,4,5,16,24,21,44,10,14,20,0,0,0,562,580,1144
UCL115094,1127,1306,2428,0,0,0,0,0,0,9,9,15,0,3,5,0,3,0,0,0,0,3,3,6,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,3,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,7,10,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,14,22,41,47,64,106,129,167,302,3,0,3,1308,1537,2841
UCL115095,482,489,976,0,0,0,0,0,6,0,0,7,7,5,10,7,0,3,0,0,0,6,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,16,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,4,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,25,57,74,85,159,0,0,4,590,607,1190
UCL115096,1801,1980,3780,0,0,0,0,0,0,3,0,4,8,6,15,0,0,0,0,0,0,8,3,11,0,0,0,0,3,0,0,9,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,5,9,4,0,0,0,0,0,0,0,0,0,5,7,10,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,16,9,31,45,52,92,62,45,113,0,3,6,1911,2080,3987
UCL115097,1218,1179,2390,0,0,3,0,0,0,5,10,11,0,0,0,3,8,5,0,0,0,3,8,5,3,6,8,0,0,3,9,8,15,0,0,5,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,4,5,5,6,8,0,0,0,0,0,0,0,0,0,0,0,0,17,22,32,47,60,109,59,71,134,5,0,3,1328,1312,2638
UCL115098,539,557,1097,0,0,0,0,0,0,0,8,8,5,0,5,0,0,4,0,0,0,3,0,8,4,0,3,0,0,0,6,4,11,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,6,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,22,0,3,6,0,0,0,0,10,15,0,0,0,3,18,22,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,19,19,38,62,68,133,177,190,369,7,0,7,785,818,1596
UCL115099,1288,1430,2715,0,0,0,3,6,4,4,6,10,7,5,8,0,3,4,0,0,0,3,10,12,0,0,0,0,3,3,0,3,5,5,0,7,0,0,0,0,0,0,3,3,3,4,4,13,19,15,33,0,0,0,0,0,0,0,0,0,31,24,45,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,3,3,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,24,66,68,134,85,98,184,11,4,9,1449,1597,3043
UCL115100,1140,1295,2428,0,0,0,0,0,0,13,14,23,3,4,8,0,8,6,0,0,0,8,7,18,0,0,0,3,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,0,3,4,3,6,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,3,6,4,3,7,4,11,15,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,14,21,33,56,65,121,89,73,166,3,7,3,1287,1432,2721
UCL115101,1055,1090,2151,0,0,4,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,4,3,5,13,10,21,3,5,12,0,0,3,8,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,19,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,6,5,3,0,3,3,5,9,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,5,0,3,6,10,14,59,69,127,71,70,140,4,5,6,1197,1224,2420
UCL115102,879,940,1816,0,0,0,0,0,0,0,4,4,5,0,0,0,6,6,0,0,0,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,12,15,30,80,70,150,0,0,0,968,1033,1999
UCL115103,441,484,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,7,6,0,0,0,0,0,0,0,0,0,0,0,5,7,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,8,3,0,0,6,11,17,31,40,42,84,0,0,0,494,549,1039
UCL115104,644,800,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,12,19,28,35,35,67,0,0,0,690,852,1546
UCL115105,703,770,1467,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,12,17,65,64,127,0,0,0,770,841,1612
UCL115106,1210,1180,2389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,5,0,4,4,0,0,5,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,5,3,13,0,0,0,0,0,0,0,0,0,0,0,0,12,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,4,13,0,0,0,7,5,6,0,0,0,11,14,19,10,5,16,53,54,110,164,153,316,0,0,4,1426,1393,2811
UCL115107,1331,1579,2908,0,0,0,0,0,0,8,0,11,0,0,0,0,6,6,0,0,0,4,4,8,0,0,0,17,22,34,23,30,56,4,8,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,3,5,7,6,19,13,19,27,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,7,21,0,6,5,0,0,0,0,0,0,0,0,0,4,0,6,0,0,4,0,0,0,7,3,11,27,25,50,0,0,0,4,4,8,0,0,0,0,3,4,55,41,99,181,187,369,147,168,313,4,0,0,1659,1932,3591
UCL115108,957,1010,1964,3,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,4,4,5,8,0,0,3,3,5,5,6,0,8,0,3,3,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,8,0,4,4,0,0,0,0,0,0,0,5,6,0,0,0,3,3,6,3,0,3,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,0,3,5,0,7,7,0,0,0,0,0,0,10,10,17,40,56,98,44,21,63,0,0,0,1044,1082,2127
UCL115109,1546,1574,3121,0,0,4,0,0,0,4,0,6,3,4,9,0,7,7,0,0,0,3,10,11,0,0,0,0,0,3,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,8,5,12,6,0,3,0,0,3,0,0,5,0,0,0,13,10,28,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,0,5,0,4,8,0,0,0,6,10,6,3,3,6,0,0,0,5,4,5,0,0,0,0,0,0,12,15,27,56,73,132,95,105,203,0,0,0,1696,1757,3448
UCL115110,1563,1707,3263,0,0,0,5,0,7,8,7,20,0,0,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,0,7,8,8,0,0,0,0,0,0,0,0,0,0,0,3,7,5,9,0,0,0,4,0,3,9,0,9,0,0,0,18,12,32,3,4,6,0,0,6,0,0,0,0,0,0,0,0,0,5,7,11,0,0,0,0,0,0,0,0,3,0,4,9,0,0,0,0,0,0,4,3,8,0,0,0,0,0,4,0,0,0,7,4,10,0,7,5,0,0,0,0,9,5,0,0,0,0,4,4,23,16,39,78,74,148,189,178,371,4,4,14,1834,1968,3800
UCL115111,1438,1505,2943,7,0,3,0,0,0,0,11,12,6,0,6,0,0,3,0,0,0,3,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,25,27,53,257,273,531,0,3,4,1725,1804,3529
UCL115112,1019,1059,2079,8,3,8,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,3,5,0,0,0,3,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,11,0,0,0,0,0,3,0,0,0,11,10,22,3,0,9,0,5,5,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,6,0,0,0,0,0,0,0,0,4,0,9,11,6,3,9,0,0,0,0,4,4,0,4,5,5,0,8,3,12,19,51,57,105,43,48,93,0,0,0,1112,1172,2282
UCL115113,818,835,1657,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,0,0,0,9,4,10,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,8,14,14,0,0,0,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,16,13,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,5,3,0,4,0,0,0,0,0,0,0,0,0,5,0,7,10,13,19,45,39,90,31,40,73,0,0,5,899,915,1818
UCL115114,1065,1030,2096,8,7,11,5,4,10,0,0,0,5,6,8,5,0,3,0,0,0,10,8,11,0,0,0,3,0,10,0,4,5,4,3,13,0,0,0,0,0,0,0,0,6,5,6,9,4,3,8,0,0,0,0,0,0,0,0,0,16,7,29,0,8,8,0,0,0,0,5,12,0,0,0,0,0,0,10,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,34,26,55,95,87,183,142,131,271,5,3,4,1313,1247,2559
UCL115115,1808,2144,3954,0,0,0,5,0,5,0,0,0,0,0,3,0,0,5,0,0,0,0,5,6,0,5,3,14,28,38,29,31,58,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,17,0,0,0,0,0,3,0,0,0,7,5,21,22,18,44,5,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,24,28,50,4,5,4,0,0,0,0,0,0,0,3,3,5,3,3,0,3,3,0,0,0,5,9,12,15,31,44,0,0,0,0,8,6,8,0,3,0,0,0,44,44,93,188,245,425,163,220,388,4,5,13,2164,2615,4776
UCL115116,1949,2152,4100,6,0,6,3,0,3,11,4,18,0,5,5,0,0,3,0,0,0,4,3,8,0,0,0,3,6,9,3,8,10,0,0,0,0,0,0,3,3,9,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,4,4,3,7,11,19,8,0,8,4,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,5,5,7,0,0,0,0,6,4,0,0,0,0,3,5,16,18,31,66,80,146,117,116,231,0,0,0,2133,2344,4478
UCL115117,670,829,1496,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,3,5,5,6,9,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,12,7,19,39,36,70,62,70,132,0,0,0,772,931,1698
UCL115118,728,765,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,21,23,46,41,31,77,0,0,0,797,820,1614
UCL115119,1749,1789,3540,0,0,0,8,0,10,0,0,0,12,6,20,5,6,8,0,0,0,15,14,25,0,3,3,5,0,3,3,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,4,0,0,4,3,3,10,13,14,21,0,0,0,0,5,5,0,0,0,4,4,5,12,20,35,63,88,155,64,57,124,9,0,6,1883,1935,3824
UCL115120,1564,1563,3128,3,0,3,5,3,10,0,0,0,5,0,5,0,5,5,0,0,0,8,5,14,4,4,7,3,0,5,0,0,0,0,9,7,0,0,0,0,0,0,0,3,5,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,7,3,10,6,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,3,0,0,0,5,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,4,0,0,0,0,0,0,23,19,40,71,79,148,18,29,48,0,0,0,1657,1672,3329
UCL115121,821,782,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,3,3,0,6,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,4,0,0,0,0,4,4,0,0,0,0,0,0,13,16,22,21,37,62,68,88,155,0,0,0,914,906,1814
UCL115122,1041,1156,2200,0,0,0,0,0,0,4,0,6,5,5,11,0,0,0,0,0,0,3,5,13,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,4,0,0,0,5,3,4,3,4,3,0,0,0,0,0,0,0,0,0,6,11,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,8,15,39,38,81,165,162,332,0,0,0,1248,1363,2610
UCL115123,671,660,1335,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,12,19,25,28,54,33,32,72,0,0,0,739,723,1456
UCL115124,1907,1989,3899,5,5,6,0,3,5,4,5,7,0,0,4,5,15,19,0,0,5,9,16,26,0,0,0,6,7,12,10,10,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,62,84,151,0,0,0,0,0,0,0,0,0,67,89,157,0,3,6,0,0,4,0,0,0,6,6,8,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,3,3,8,3,15,17,10,6,13,0,0,0,0,0,4,3,0,7,0,0,0,22,28,47,147,189,339,107,108,213,5,10,15,2172,2302,4468
UCL115125,1479,1514,2988,0,0,0,0,0,0,0,5,5,9,3,9,4,6,12,0,0,0,10,7,15,0,0,0,0,4,5,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,6,11,5,11,18,0,0,0,0,0,0,0,0,0,0,0,0,8,8,15,46,49,95,92,97,190,0,0,0,1619,1658,3275
UCL115126,499,465,963,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,21,21,43,18,20,39,0,0,0,539,507,1044
UCL115127,601,603,1203,0,4,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,22,42,48,43,90,0,0,0,668,673,1343
