UCL_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
UCL122044,0,6,0,4,15,0,0,17,0,4,0,4,14,4,0,21,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,9,8,0,20,71,10,0,97
UCL122045,0,4,0,4,41,0,0,44,0,0,0,0,27,3,0,34,0,0,0,0,24,3,0,27,0,0,0,0,7,0,0,7,40,5,0,47,145,14,0,203
UCL122046,0,10,0,12,124,9,0,143,0,6,0,6,100,0,0,109,0,0,0,5,42,0,0,47,0,0,0,0,13,3,0,23,55,24,4,84,354,21,0,455
UCL122047,4,11,0,17,60,3,0,78,0,5,0,5,56,3,0,58,0,7,0,8,26,0,0,33,0,0,0,0,0,0,0,0,49,17,0,69,198,9,0,274
UCL122048,4,10,0,11,36,15,0,66,0,5,0,5,54,6,0,61,0,0,0,0,43,9,0,54,0,0,0,0,9,0,0,10,21,22,0,44,246,106,0,398
UCL122049,0,0,0,9,41,6,0,56,0,0,0,0,59,10,0,72,0,0,0,0,29,4,0,36,0,0,0,0,5,0,0,7,21,10,0,32,226,32,0,286
UCL122050,0,0,0,0,46,0,0,46,0,5,0,5,33,0,0,36,0,0,0,0,16,0,0,12,0,0,0,0,12,0,0,12,14,10,0,24,155,6,0,181
UCL122051,0,3,0,7,28,3,0,43,0,0,0,3,27,3,0,27,0,0,0,0,19,0,0,23,0,0,0,0,4,0,0,0,34,14,0,46,134,40,0,220
UCL122052,6,4,0,7,43,4,0,59,0,5,0,5,51,8,0,73,0,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,54,12,0,77,170,21,0,266
UCL122053,4,10,0,12,48,0,0,58,0,0,0,0,45,0,0,50,0,0,0,0,36,7,0,44,0,0,0,0,18,0,0,24,29,11,0,35,202,31,0,275
UCL122054,0,10,0,7,40,16,0,65,0,4,0,7,47,24,0,83,0,0,0,0,14,7,0,19,0,0,0,0,3,4,0,6,58,19,5,75,236,122,30,461
UCL122055,5,3,0,9,52,0,0,60,0,5,0,5,82,0,0,92,0,0,0,0,60,7,0,60,0,0,0,0,3,0,0,6,60,16,4,82,261,9,0,350
UCL122056,0,10,0,7,17,0,0,31,0,8,0,8,46,0,0,61,0,4,0,4,21,0,0,24,0,0,0,0,8,0,0,11,46,25,0,73,172,3,0,249
UCL122057,0,12,0,8,26,0,0,37,0,3,0,5,34,0,0,41,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,4,39,26,4,68,137,6,0,214
UCL122058,3,8,0,12,63,4,0,80,0,6,0,6,79,7,0,88,0,0,0,0,40,5,0,43,0,0,0,0,5,0,0,5,77,16,0,95,278,25,0,399
UCL122059,0,6,0,3,50,8,0,63,0,7,0,7,42,6,0,59,0,0,0,0,21,0,0,25,0,0,0,0,11,0,0,11,70,27,3,102,225,29,0,363
UCL122060,6,10,0,12,37,13,0,60,0,0,0,0,50,7,0,63,0,0,0,0,22,3,0,23,0,0,0,0,5,0,0,9,48,27,0,76,200,46,0,325
UCL122061,0,3,0,3,17,5,0,27,0,0,0,0,17,5,0,21,0,0,0,0,9,4,0,8,0,0,0,0,0,0,0,0,9,8,0,17,92,39,0,149
UCL122062,0,3,0,7,37,9,0,51,0,0,0,0,21,0,0,27,0,5,0,5,10,3,0,13,0,0,0,0,5,0,0,5,45,13,0,61,164,37,0,260
UCL122063,3,6,0,6,43,0,0,51,0,0,0,0,32,0,0,29,0,0,0,0,17,0,0,20,0,0,0,0,5,4,0,13,51,15,0,67,164,21,0,253
UCL122064,0,6,0,11,45,8,0,65,0,3,0,3,30,3,0,46,0,0,0,0,27,3,0,27,0,0,0,0,12,0,0,12,37,9,5,57,207,36,0,293
UCL122065,8,9,0,13,98,7,0,112,0,13,0,10,88,5,0,110,0,0,0,0,42,7,0,54,0,0,0,0,7,0,0,5,34,21,0,50,320,25,0,396
UCL122066,0,12,0,12,47,0,0,60,0,6,0,6,35,0,0,39,0,0,0,0,19,0,0,19,0,0,0,0,7,0,0,5,71,33,0,105,189,4,0,297
UCL122067,3,18,0,16,58,3,0,75,0,11,0,11,63,0,0,73,0,0,0,0,30,0,0,28,0,0,0,0,9,0,0,11,60,30,5,95,269,14,0,384
UCL122068,0,0,0,0,24,10,0,33,0,0,0,0,19,5,0,21,0,0,0,0,5,0,0,10,0,0,0,0,6,0,0,4,7,5,0,11,121,49,0,183
UCL122069,6,10,0,14,54,0,0,67,0,7,0,7,44,0,0,55,0,4,0,4,16,0,0,21,0,0,0,0,6,0,0,6,53,22,0,84,203,8,4,300
UCL122070,6,4,0,6,47,0,0,54,0,10,0,10,46,0,0,59,0,0,0,0,31,0,0,34,0,0,0,0,15,0,0,15,69,14,5,96,245,10,0,341
UCL122071,0,3,0,0,34,3,0,36,0,4,0,4,53,0,0,58,0,0,0,5,29,0,0,37,0,0,0,0,3,0,0,7,68,14,4,91,205,11,0,304
UCL122072,3,5,0,4,38,0,0,45,0,0,0,0,30,0,0,33,0,0,0,0,22,4,0,24,0,0,0,0,6,0,0,6,32,10,0,44,167,13,0,228
UCL122073,5,10,0,9,60,0,0,68,0,0,0,0,52,3,0,59,0,0,0,0,27,3,0,32,0,0,0,0,0,3,0,6,28,14,0,37,202,18,0,271
UCL122074,0,4,0,4,45,6,0,60,0,0,0,0,50,10,0,61,0,0,0,0,24,0,0,32,0,0,0,0,0,0,0,3,14,13,4,31,182,31,0,240
UCL122075,3,0,0,3,27,0,0,30,5,0,0,5,17,0,0,20,0,0,0,0,13,0,0,13,0,0,0,0,6,0,0,6,60,3,0,57,130,14,0,205
UCL122076,4,7,0,6,27,6,0,35,0,0,0,0,22,0,0,25,0,0,0,0,10,0,0,11,0,0,0,0,0,0,0,0,43,10,0,49,106,10,0,171
UCL122077,0,5,0,11,50,6,0,57,0,6,0,6,56,4,0,61,0,5,0,5,23,4,0,30,0,0,0,0,7,0,0,7,47,18,0,62,195,35,0,289
UCL122078,0,9,0,9,36,0,0,53,0,5,0,5,56,0,0,59,0,0,0,0,35,9,0,44,0,0,0,0,15,0,0,17,21,19,0,42,189,22,5,250
UCL122079,0,9,0,7,35,5,0,48,6,0,0,0,34,0,0,41,0,0,0,0,13,3,0,14,0,0,0,0,3,0,0,3,50,11,5,60,156,9,0,230
UCL122080,0,5,0,5,54,0,0,59,0,0,0,6,39,0,0,45,0,3,0,3,27,0,0,26,0,0,0,0,0,0,0,0,87,20,0,106,226,10,0,340
UCL122081,0,5,0,3,35,3,0,36,0,0,0,0,27,5,0,36,0,0,0,0,11,6,0,17,0,0,0,0,6,0,0,6,31,10,0,44,131,25,0,199
UCL122082,0,3,0,3,45,0,0,53,0,0,0,0,58,5,0,60,0,0,0,0,33,3,0,38,0,0,0,0,7,0,0,9,18,11,0,20,185,15,0,222
UCL122083,0,17,0,17,33,0,0,51,0,10,0,11,22,0,0,30,0,0,0,0,7,0,0,8,0,0,0,0,3,0,0,3,48,24,5,82,158,7,0,243
UCL122084,0,3,0,3,22,0,0,30,0,0,0,0,12,0,0,12,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,25,15,0,37,107,21,0,167
UCL122085,0,4,0,3,30,4,0,32,0,4,0,4,41,0,0,50,0,0,0,0,23,0,0,23,0,0,0,0,4,0,0,6,34,5,0,44,166,28,0,231
UCL122086,0,10,0,10,47,10,0,62,0,4,0,4,61,15,0,79,0,0,0,0,25,3,0,32,0,0,0,0,10,0,0,10,27,13,4,46,228,64,0,343
UCL122087,0,5,0,5,25,5,0,40,0,4,0,4,48,4,0,55,0,0,0,0,15,0,0,15,0,0,0,0,3,0,0,3,19,18,0,37,123,10,0,168
UCL122088,0,7,0,7,25,3,0,35,0,0,0,0,30,7,0,40,0,0,0,0,10,3,0,9,0,0,0,0,3,0,0,3,25,19,0,49,126,30,0,195
UCL122089,0,16,0,16,45,6,0,65,0,3,0,4,30,0,0,36,0,0,0,0,26,0,0,35,0,0,0,0,6,0,0,9,86,24,0,111,201,31,0,352
UCL122090,0,7,0,4,78,5,0,85,0,6,0,6,52,8,0,66,0,0,0,0,29,0,0,31,0,0,0,0,4,0,0,4,67,15,0,81,273,25,0,389
UCL122091,3,6,0,8,30,9,0,48,0,5,0,5,32,6,0,43,0,0,0,0,18,8,0,29,0,0,0,0,4,4,0,14,34,15,8,59,155,56,0,269
UCL122092,0,15,0,16,41,3,0,61,0,10,0,10,37,3,0,52,0,0,0,0,22,0,0,21,0,0,0,0,3,0,0,3,52,31,3,88,194,13,0,294
UCL122093,0,6,0,6,50,10,0,66,0,4,0,4,37,0,0,42,0,0,0,0,22,3,0,21,0,0,0,0,4,7,0,8,38,11,3,50,201,49,0,299
UCL122094,0,8,0,8,49,0,0,59,0,9,0,9,58,8,0,66,0,0,0,0,29,6,0,36,0,0,0,0,16,0,0,11,38,27,0,67,228,23,0,321
UCL122095,3,6,0,8,35,4,0,45,0,0,0,0,8,3,0,12,0,0,0,0,6,5,0,12,0,0,0,0,0,0,0,3,39,8,3,52,113,13,0,182
UCL122096,0,5,0,3,48,5,0,56,0,0,0,0,30,8,0,39,0,0,0,0,37,4,0,41,0,0,0,0,0,0,0,0,25,9,0,38,169,25,0,230
UCL122097,0,8,0,8,26,3,0,35,0,3,0,3,28,0,0,26,0,0,0,0,14,7,0,15,0,0,0,0,4,0,0,4,24,13,0,37,130,13,0,177
UCL122098,8,3,0,13,63,24,0,102,0,0,0,0,58,22,0,80,0,0,0,0,20,8,0,23,0,0,0,0,5,12,0,14,56,14,9,77,232,122,0,429
UCL122099,0,0,0,3,28,4,0,38,0,0,0,0,46,3,0,46,0,0,0,0,17,4,0,17,0,0,0,0,4,0,0,4,38,9,0,43,141,20,0,210
UCL122100,3,4,0,7,85,8,0,102,0,14,0,15,93,9,0,117,0,0,0,0,40,3,0,49,0,0,0,0,13,4,0,17,35,29,0,64,334,45,0,444
UCL122101,0,4,0,6,45,0,0,56,0,9,0,9,54,7,0,71,0,0,0,0,14,0,0,18,0,0,0,0,0,0,0,0,61,12,3,79,196,18,0,297
UCL122102,3,0,0,6,47,19,0,67,0,0,0,5,34,18,0,58,0,0,0,0,31,6,0,32,0,0,0,0,7,0,0,13,29,8,3,37,172,66,0,276
UCL122103,3,7,0,11,30,0,0,45,0,0,0,0,25,0,0,29,0,0,0,0,13,0,0,16,0,0,0,0,8,0,0,8,22,11,4,32,123,16,0,166
UCL122104,3,11,0,13,64,0,0,77,0,8,0,5,36,0,0,40,0,0,0,0,25,0,0,21,0,0,0,0,5,0,0,5,53,25,4,75,269,3,0,353
UCL122105,3,7,0,14,39,0,0,54,0,3,0,3,18,0,0,23,0,0,0,0,7,0,0,12,0,0,0,0,0,0,0,0,81,16,0,97,146,3,3,245
UCL122106,0,4,0,4,36,26,0,64,0,0,0,0,32,17,0,52,0,0,0,0,14,12,0,27,0,0,0,0,0,0,0,0,19,4,0,28,149,73,0,249
UCL122107,0,11,0,19,50,0,0,65,0,7,0,7,27,0,0,39,0,0,0,0,22,0,0,24,0,0,0,0,4,0,0,4,50,27,0,85,188,10,0,278
UCL122108,0,4,0,6,38,0,0,48,0,0,0,0,56,18,0,67,0,7,0,4,33,9,0,39,0,0,0,0,8,0,0,8,11,10,6,29,167,36,0,231
UCL122109,6,16,0,15,133,20,0,168,0,17,0,17,63,12,0,83,0,0,0,0,5,4,0,16,0,0,0,0,3,0,0,3,139,39,6,187,575,92,22,874
UCL122110,5,0,0,4,47,0,0,53,0,10,0,8,27,0,0,36,0,3,0,3,19,0,0,26,0,0,0,0,6,0,0,6,75,25,0,98,176,9,0,279
UCL122111,0,11,0,11,49,6,0,63,0,10,0,10,29,0,0,42,0,0,0,0,9,0,0,9,0,0,0,0,3,0,0,3,58,33,4,95,182,12,0,286
UCL122112,0,0,0,6,60,3,0,63,0,9,0,9,56,3,0,63,0,0,0,0,30,0,0,33,0,0,0,0,3,0,0,6,17,10,0,24,224,11,0,263
UCL122113,0,5,0,11,35,0,0,40,0,5,0,5,22,0,0,29,0,0,0,0,22,0,0,23,0,0,0,0,0,0,0,0,22,15,0,36,124,4,0,163
UCL122114,0,13,0,17,45,4,0,64,0,7,0,11,77,6,0,91,4,0,0,4,30,0,0,32,0,0,0,0,3,0,0,8,26,26,0,59,213,16,0,290
UCL122115,6,9,0,11,31,0,0,44,0,5,0,5,53,5,0,64,0,0,0,0,30,0,0,32,0,0,0,0,4,0,0,4,46,13,0,59,168,20,0,243
UCL122116,0,10,0,13,54,0,0,68,0,5,0,5,48,3,0,57,0,5,0,5,20,0,0,28,0,0,0,0,11,0,0,11,17,28,0,50,212,16,0,279
UCL122117,4,10,0,10,49,0,0,61,0,11,0,11,27,0,0,41,0,0,0,0,21,0,0,19,0,0,0,0,3,0,0,3,69,33,9,103,218,10,0,332
UCL122118,0,9,0,9,20,7,0,38,0,9,0,9,11,5,0,23,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,55,26,6,80,121,14,0,214
UCL122119,0,13,0,12,57,7,0,85,0,12,0,12,74,7,0,88,0,0,0,0,31,0,0,34,0,0,0,0,6,0,0,7,40,26,0,67,248,27,0,343
UCL122120,7,11,0,18,45,0,0,63,5,7,0,13,35,0,0,44,0,0,0,0,20,0,0,20,0,0,0,0,6,0,0,3,94,26,8,134,201,17,0,345
UCL122121,3,9,0,11,27,0,0,40,0,10,0,10,16,0,0,25,0,0,0,3,10,0,0,11,0,0,0,0,0,0,0,0,64,20,6,85,111,21,0,220
UCL122122,4,11,0,12,40,0,0,58,0,12,0,12,32,0,0,47,0,3,0,3,15,0,0,19,0,0,0,0,3,0,0,3,109,42,6,150,202,0,0,359
UCL122123,0,0,0,3,25,4,0,37,0,5,0,5,34,5,0,40,0,0,0,0,22,0,0,22,0,0,0,0,3,0,0,5,22,10,0,28,128,8,0,170
UCL122124,0,0,0,3,20,0,0,22,0,9,0,9,11,0,0,19,0,0,0,0,10,6,0,14,0,0,0,0,0,0,0,0,61,15,4,81,125,8,0,209
UCL122125,0,4,0,4,37,3,0,43,0,3,0,3,40,9,0,51,0,0,0,0,16,7,0,24,0,0,0,0,0,3,0,0,23,10,0,35,131,26,3,198
UCL122126,0,13,0,15,67,4,0,82,0,4,0,4,35,0,0,49,0,3,0,3,19,0,0,21,0,0,0,0,4,0,0,9,69,34,4,106,217,6,0,326
UCL122127,0,3,0,9,42,4,0,54,0,4,0,4,44,3,0,54,0,0,0,0,17,0,0,23,0,0,0,0,20,0,0,15,32,22,0,57,180,23,0,260
UCL122128,0,0,0,3,21,0,0,31,0,0,0,0,18,3,0,26,0,0,0,0,15,0,0,16,0,0,0,0,5,0,0,5,27,12,3,41,110,15,0,172
UCL122129,0,5,0,4,34,3,0,50,0,4,0,4,37,4,0,46,0,3,0,3,26,0,0,33,0,0,0,0,6,0,0,10,43,27,0,71,179,10,0,256
UCL122130,0,4,0,3,24,0,0,28,0,0,0,0,31,0,0,42,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,5,33,17,0,49,94,17,0,161
UCL122131,14,21,0,41,157,115,3,311,3,0,0,10,90,74,0,169,0,0,0,0,17,21,0,35,0,0,0,0,3,3,0,0,228,44,5,281,663,576,22,1541
UCL122132,0,13,0,15,48,9,0,67,0,3,0,3,54,0,0,60,0,0,0,0,35,3,0,38,0,0,0,0,13,0,0,15,57,33,0,82,252,41,0,380
UCL122133,3,4,0,7,31,9,0,49,0,5,0,6,52,12,0,69,0,0,0,0,22,9,0,34,0,0,0,0,5,0,0,5,26,12,0,34,176,51,0,269
UCL122134,3,14,0,16,43,4,0,61,0,9,0,9,35,3,0,52,0,0,0,0,19,0,0,19,0,0,0,0,0,0,0,0,58,30,7,90,195,24,0,310
UCL122135,0,0,0,0,15,7,0,20,0,0,0,0,15,3,0,21,0,0,0,0,12,0,0,13,0,0,0,0,3,0,0,3,26,8,0,36,146,36,0,216
UCL122136,0,5,0,5,15,0,0,15,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28,3,49,63,6,0,121
UCL122137,0,4,0,3,32,7,0,45,0,3,0,3,42,5,0,48,0,0,0,0,21,4,0,30,0,0,0,0,21,5,0,29,21,14,0,31,170,33,0,238
UCL122138,0,3,0,3,47,11,0,71,0,5,0,5,42,6,0,54,0,0,0,0,29,3,0,30,0,0,0,0,17,0,0,17,30,16,0,51,211,36,0,293
UCL122139,0,12,0,13,38,6,0,52,0,3,0,3,48,0,0,55,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,25,34,0,54,149,9,0,214
UCL122140,0,3,0,3,22,3,0,35,4,0,0,4,24,4,0,30,0,0,0,0,11,7,0,17,0,0,0,0,5,12,0,16,35,3,0,41,87,45,0,170
UCL122141,4,11,0,12,68,4,0,83,0,0,0,0,30,0,0,37,0,0,0,0,11,0,0,11,0,0,0,0,6,0,0,6,66,24,0,95,190,21,0,301
UCL122142,0,6,0,4,29,0,0,43,0,5,0,5,22,3,0,27,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,20,11,0,31,127,15,0,172
UCL122143,0,0,0,5,27,7,0,34,0,3,0,3,19,6,0,35,0,0,0,0,8,0,0,6,0,0,0,0,3,5,0,4,29,13,5,37,103,35,0,176
UCL122144,0,9,0,9,49,4,0,62,0,8,0,8,66,0,0,73,0,4,0,4,33,3,0,36,0,0,0,0,25,0,0,28,41,24,0,73,278,20,0,371
UCL122145,0,4,0,4,40,7,0,53,0,3,0,3,39,11,0,53,0,0,0,0,16,0,0,18,0,0,0,0,3,0,0,7,20,8,0,26,153,27,0,209
UCL122146,5,4,0,11,45,3,0,56,0,3,0,4,44,6,0,54,0,0,0,0,27,0,0,32,0,0,0,0,11,0,0,11,21,8,0,32,177,12,0,219
UCL122147,0,0,0,0,29,3,0,30,0,4,0,4,40,3,0,49,0,0,0,0,21,0,0,19,0,0,0,0,10,0,0,10,13,7,0,21,146,18,0,188
UCL122148,0,3,0,3,44,22,0,66,0,4,0,4,34,0,0,42,0,0,0,0,20,0,0,20,0,0,0,0,7,0,0,7,9,9,0,22,139,35,0,194
UCL122149,0,6,0,6,48,8,0,62,0,3,0,3,35,0,0,37,0,4,0,4,13,0,0,19,0,0,0,0,0,0,0,0,39,25,0,62,182,33,0,279
UCL122150,7,13,0,15,60,3,0,77,0,3,0,3,37,4,0,48,0,0,0,0,17,0,0,17,0,0,0,0,4,0,0,4,88,25,8,119,215,23,0,350
UCL122151,7,10,0,11,45,7,0,60,0,4,0,3,49,9,0,61,0,0,0,0,30,5,0,27,0,0,0,0,7,0,0,8,24,12,4,39,178,35,0,258
UCL122152,0,11,0,12,47,3,0,63,0,0,0,0,64,4,0,74,0,0,0,0,38,5,0,40,0,0,0,0,3,0,0,3,34,13,0,50,209,33,0,284
UCL122153,3,11,0,13,63,6,0,79,0,9,0,9,47,7,0,63,0,0,0,0,24,0,0,28,0,0,0,0,4,0,0,4,57,25,6,88,237,21,0,342
UCL122154,0,10,0,13,75,5,0,94,0,8,0,8,60,3,0,65,0,4,0,4,8,0,0,6,0,0,0,0,5,0,0,5,62,30,0,95,234,7,0,332
UCL122155,0,17,0,14,61,6,0,83,0,11,0,12,55,5,0,75,0,6,0,6,16,0,0,19,0,0,0,0,4,0,0,6,61,44,7,111,270,47,0,430
UCL122156,0,7,0,6,44,0,0,56,0,5,0,5,52,7,0,55,0,0,0,0,28,0,0,27,0,0,0,0,5,0,0,5,64,23,6,86,235,17,0,332
UCL122157,4,4,0,8,53,0,0,62,0,4,0,4,25,3,0,33,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,61,14,3,74,271,6,0,350
UCL122158,0,4,0,5,34,0,0,36,0,0,0,0,25,0,0,25,0,0,0,0,25,0,0,25,0,0,0,0,17,0,0,17,25,5,0,36,140,4,0,177
UCL131001,3766,11637,169,15577,72002,7477,79,95131,739,9261,59,10059,61191,6063,62,77380,154,1564,18,1731,29006,3240,20,33997,21,100,0,117,7073,1044,10,8247,85250,32477,3226,120955,311965,42602,853,476377
UCL179997,0,0,0,0,8,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,12,22,0,3,38
UCL201001,29397,49619,926,79936,384919,19570,2111,486538,5853,64310,493,70653,278862,15964,1886,367372,1176,13200,118,14489,188458,14034,589,217571,167,640,8,814,83435,10888,145,95291,781412,188683,16408,986504,2555662,197839,10153,3750163
UCL203001,508,1651,22,2175,9213,525,15,11929,103,1587,4,1697,8358,521,19,10596,22,285,3,312,5428,516,3,6261,0,11,0,14,2339,427,0,2780,17125,5577,652,23363,56996,4996,87,85443
UCL203002,479,1748,21,2245,8905,567,6,11717,86,1646,4,1738,8151,472,17,10382,21,313,3,340,5334,470,3,6143,0,15,0,16,2353,404,6,2777,16380,5707,598,22683,53936,4720,72,81418
UCL203003,860,2678,23,3562,15349,846,31,19791,147,2950,7,3105,12608,826,29,16566,36,582,0,615,8687,745,8,10056,3,26,0,33,4082,485,0,4599,29476,9484,895,39856,99713,7989,186,147747
UCL211001,181,624,10,815,3364,176,8,4362,36,500,0,538,3029,179,5,3749,10,83,0,92,1779,133,0,2003,0,3,0,3,600,58,0,661,6295,2012,294,8602,19754,1609,35,29999
UCL211002,283,868,16,1163,4832,399,46,6438,74,690,4,772,4161,250,48,5232,9,83,5,96,1845,181,5,2121,0,0,0,6,529,53,0,585,14535,3219,401,18157,34334,4184,144,56816
UCL212001,87,344,10,437,1750,91,0,2278,18,364,3,376,1536,88,3,2003,0,37,0,37,951,72,0,1061,0,4,0,4,375,26,0,405,4031,1152,128,5306,10922,750,15,16996
UCL212002,55,230,7,294,1474,98,0,1870,20,203,0,220,1406,93,0,1726,0,42,0,42,979,110,0,1131,0,4,0,4,394,116,0,511,1917,746,69,2732,7920,897,18,11570
UCL212003,136,518,10,659,3364,310,9,4335,30,413,0,441,3013,276,8,3738,10,86,0,93,2047,200,0,2345,0,7,0,7,876,140,0,1019,5030,1706,203,6935,20050,2482,76,29546
UCL212004,136,452,5,592,2159,113,4,2868,25,627,0,648,2014,142,0,2802,3,91,0,96,1125,85,0,1301,0,0,0,3,455,48,0,503,4114,1444,107,5666,10743,808,19,17233
UCL212005,238,672,9,919,4283,384,7,5586,53,551,0,607,3841,285,5,4729,5,103,0,117,2647,275,4,3040,0,5,0,5,1169,177,3,1357,7553,2245,240,10046,26463,3203,60,39773
UCL212006,203,721,12,935,3614,127,6,4679,42,628,3,666,2544,100,11,3326,6,107,0,114,1389,101,3,1597,0,9,0,6,588,37,4,638,7015,2149,201,9371,19887,1203,34,30494
UCL212007,146,339,0,485,1830,74,3,2389,23,545,5,568,1518,87,0,2179,3,46,0,52,914,67,0,1025,0,3,0,3,334,76,0,407,4866,1222,137,6225,10392,744,19,17376
UCL212008,114,551,3,665,2506,236,10,3418,14,395,4,406,2320,263,0,3000,6,63,0,70,1468,297,0,1829,0,0,0,3,589,246,0,831,4451,1599,186,6238,14752,1952,40,22987
UCL212009,178,601,8,780,3247,186,7,4227,43,602,0,645,2795,206,0,3646,7,117,0,120,1879,200,0,2197,3,3,0,10,882,202,0,1097,5094,1960,207,7255,18091,1829,69,27242
UCL213001,53,212,3,268,1333,120,0,1721,5,195,0,201,1478,119,0,1800,4,37,0,41,1116,149,0,1307,0,3,0,3,384,159,0,546,1792,689,93,2570,7799,993,3,11367
UCL213002,81,166,6,252,1119,104,0,1471,8,222,0,228,1255,108,0,1601,3,52,0,54,802,137,0,1000,0,6,0,6,271,197,0,470,1510,613,66,2188,5571,1267,13,9046
UCL213003,35,223,0,258,1140,70,0,1473,10,209,4,224,1095,91,0,1416,3,44,0,43,864,64,0,974,0,3,0,6,426,48,0,483,1727,708,86,2517,7019,559,13,10107
UCL213004,51,282,3,340,1272,62,0,1672,10,212,0,229,1361,72,0,1662,7,36,0,39,919,60,0,1018,0,0,0,0,340,22,0,365,2499,840,115,3451,7525,543,11,11525
UCL213005,74,311,3,390,1710,42,0,2139,14,362,4,379,1818,38,0,2237,3,53,0,54,1117,82,0,1257,0,0,0,0,324,88,0,421,2512,981,124,3620,8963,456,4,13038
UCL213006,69,166,0,234,925,22,0,1184,9,181,0,191,648,11,0,850,0,39,0,40,488,34,0,562,0,5,0,5,156,57,0,219,2356,539,87,2976,4989,254,9,8227
UCL213007,62,307,0,368,1553,79,0,2005,11,276,0,286,1342,84,4,1716,0,60,0,60,1038,90,0,1185,0,9,0,9,527,55,0,595,2493,959,129,3583,8878,765,6,13240
UCL213008,67,258,3,322,1185,24,4,1538,9,224,0,235,1092,40,0,1366,5,21,0,17,615,31,0,671,0,0,0,4,234,12,0,251,3072,792,102,3965,7923,348,8,12246
UCL213009,53,232,8,295,1126,33,0,1447,14,191,0,210,976,43,0,1237,4,43,0,48,697,74,0,823,0,0,0,3,218,74,0,295,2156,671,74,2898,6530,376,0,9806
UCL213010,53,288,3,352,1640,131,3,2121,15,193,0,210,1732,126,0,2065,5,29,0,31,1077,100,0,1206,0,0,0,0,492,47,0,542,1908,840,99,2844,9190,984,44,13063
UCL213011,65,214,3,280,1451,156,5,1890,7,151,0,160,1365,137,0,1662,3,20,0,20,885,107,0,1015,0,0,0,0,381,78,0,466,1687,671,61,2421,7870,1333,9,11631
UCL213012,48,196,0,241,1277,80,0,1599,5,142,0,141,1203,75,0,1417,0,24,0,26,655,59,0,739,0,3,0,3,302,25,0,327,1355,544,43,1940,6184,560,5,8689
UCL213013,57,225,0,290,1314,72,3,1681,17,222,0,238,1268,81,0,1588,7,33,0,36,908,72,0,1018,0,3,0,3,388,71,0,463,2156,746,91,2990,7713,714,37,11454
UCL213014,39,234,0,277,933,87,0,1301,9,144,0,146,858,61,0,1068,0,25,0,25,699,70,0,792,0,0,0,0,370,51,0,419,1606,604,61,2270,5945,673,10,8903
UCL213015,63,194,3,260,1147,56,0,1465,10,140,0,148,702,26,0,876,4,15,0,20,283,26,0,338,0,3,0,3,71,0,0,77,3119,626,85,3831,6617,537,8,10985
UCL213016,74,372,0,442,1856,122,0,2416,19,356,0,367,1795,113,0,2281,8,63,0,66,1441,153,0,1663,0,6,0,9,685,129,0,821,2877,1192,102,4174,11026,1020,12,16231
UCL213017,92,306,8,399,1700,66,0,2172,14,317,0,334,1655,72,0,2060,4,59,0,62,1219,79,0,1357,0,0,0,0,511,49,0,558,3113,1023,129,4267,10311,729,29,15338
UCL213018,33,134,0,170,916,40,0,1127,14,137,0,148,1163,75,0,1386,0,27,0,27,826,101,0,955,0,3,0,3,313,71,0,388,1121,424,39,1584,5028,455,5,7068
