UCL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL221055,200,59,52,111,102,69,35,18,5,648
UCL221056,103,50,67,60,61,76,62,38,16,527
UCL221057,188,80,82,126,107,100,67,22,8,767
UCL221058,120,37,42,72,65,56,59,25,4,475
UCL221059,141,62,73,112,114,95,89,46,13,745
UCL221060,24,22,19,23,49,110,198,109,23,582
UCL221061,60,50,38,50,62,147,178,61,7,660
UCL221062,127,59,67,72,120,159,192,112,53,957
UCL221063,84,57,57,53,63,105,92,51,26,586
UCL221064,155,81,113,111,89,68,42,17,0,668
UCL221065,69,23,36,34,62,95,102,67,39,538
UCL221066,160,100,81,92,94,87,82,32,0,726
UCL221067,131,68,75,70,72,73,70,12,5,578
UCL221068,124,45,65,79,58,74,56,10,4,511
UCL221069,192,104,91,122,159,195,121,43,9,1033
UCL221070,158,86,108,93,103,144,137,91,81,1007
UCL221071,127,92,71,70,94,111,96,77,35,784
UCL221072,114,43,81,65,36,81,71,17,0,503
UCL221073,101,86,40,62,76,66,46,11,0,496
UCL221074,107,40,53,69,95,154,154,103,38,817
UCL221075,111,46,48,74,103,173,177,86,26,845
UCL221076,101,45,79,83,116,227,222,85,16,969
UCL221077,89,47,39,58,79,134,126,78,49,694
UCL221078,86,50,75,70,84,88,51,20,4,533
UCL221079,89,37,46,41,83,135,126,72,16,645
UCL221080,71,35,39,67,83,107,90,53,11,564
UCL221081,78,40,50,35,82,95,83,67,33,571
UCL221082,140,144,149,162,162,118,50,16,0,934
UCL221083,188,65,80,119,120,170,152,103,76,1075
UCL221084,168,85,131,95,78,111,78,43,21,808
UCL222001,44,38,13,15,56,59,40,12,3,276
UCL222002,65,38,25,53,64,78,47,33,13,411
UCL222003,92,24,60,39,33,41,34,17,3,344
UCL222004,10,23,37,8,0,3,3,0,0,82
UCL222005,33,15,23,28,28,39,45,11,4,222
UCL222006,72,35,23,52,41,72,64,26,0,380
UCL222007,21,17,11,15,39,42,28,9,0,183
UCL222008,63,24,29,57,84,64,39,15,0,379
UCL222009,43,29,46,31,31,59,54,34,7,333
UCL222010,53,48,42,43,60,48,44,22,0,357
UCL222011,74,54,23,45,56,45,34,13,0,341
UCL222012,67,37,28,35,64,82,64,28,0,406
UCL222013,23,19,24,17,37,47,43,24,6,243
UCL222014,87,35,43,61,67,54,32,8,0,398
UCL222015,83,45,47,47,71,44,37,14,0,384
UCL222016,27,15,27,29,22,51,41,18,0,243
UCL222017,18,5,17,13,23,44,40,31,4,191
UCL222018,70,100,81,70,73,37,15,3,0,458
UCL222019,67,46,36,43,50,66,42,19,5,379
UCL222020,52,25,17,25,35,44,32,14,3,256
UCL222021,46,25,38,38,41,49,41,17,0,285
UCL222022,36,18,19,22,35,48,44,30,7,270
UCL222023,127,31,61,70,72,59,22,16,3,470
UCL222024,154,437,276,160,153,137,80,15,0,1402
UCL222025,30,15,12,22,35,21,47,22,0,208
UCL222026,72,27,30,46,43,47,45,16,6,322
UCL222027,69,15,41,45,37,51,57,17,0,338
UCL222028,75,35,48,53,38,39,39,9,6,332
UCL222029,40,11,19,22,15,34,35,26,6,206
UCL222030,60,17,14,40,27,30,24,19,7,246
UCL222031,56,24,26,29,44,43,50,19,8,307
UCL222032,68,36,85,64,60,99,68,21,5,513
UCL222033,66,19,49,45,56,54,33,13,0,340
UCL222034,50,35,30,43,48,46,49,13,5,324
UCL222035,36,13,21,26,30,76,62,25,21,316
UCL222036,36,25,27,26,29,38,30,23,10,242
UCL222037,48,34,34,21,44,38,22,13,4,263
UCL222038,55,26,16,27,35,28,23,6,3,222
UCL222039,62,34,24,32,52,59,25,11,0,301
UCL222040,60,34,28,43,71,89,75,30,17,442
UCL222041,48,27,33,31,40,40,39,19,4,277
UCL222042,44,21,15,16,33,50,38,25,5,248
UCL222043,81,31,48,34,59,63,69,31,6,425
UCL222044,39,24,31,34,30,71,60,26,10,317
UCL222045,61,35,26,29,53,41,35,13,0,292
UCL222046,57,47,26,26,39,66,54,38,19,378
UCL222047,30,15,8,19,22,43,39,19,3,199
UCL222048,17,18,14,10,29,53,24,21,12,197
UCL222049,30,22,20,29,40,51,72,24,5,303
UCL222050,61,33,55,45,62,102,98,47,9,504
UCL222051,42,32,43,33,53,82,97,50,13,450
UCL222052,73,40,55,53,61,53,53,14,8,402
UCL222053,62,46,55,48,52,85,67,22,10,450
UCL222054,54,19,12,35,35,44,42,26,3,272
UCL222055,44,22,31,34,54,81,70,47,39,413
UCL222056,257,398,328,175,217,158,71,21,0,1624
UCL222057,64,24,26,54,44,51,31,13,0,313
UCL222058,154,240,185,123,139,144,72,10,5,1070
UCL222059,38,22,25,18,28,32,31,17,3,207
UCL222060,41,13,16,23,26,42,24,21,9,218
UCL222061,33,33,18,25,42,31,25,11,3,214
UCL222062,40,22,36,43,50,91,44,36,36,396
UCL222063,59,34,43,44,40,88,91,32,13,444
UCL222064,56,38,26,29,38,32,22,6,7,256
UCL222065,36,17,18,10,36,40,29,3,6,190
UCL222066,36,19,33,23,32,59,49,22,11,280
UCL222067,27,23,30,32,36,46,36,17,14,261
UCL222068,30,27,26,17,35,35,15,12,0,199
UCL222069,79,41,26,35,58,91,80,45,28,486
UCL222070,32,13,23,11,25,42,39,26,7,218
UCL222071,73,37,57,52,38,50,54,23,4,388
UCL222072,35,17,32,25,43,54,84,35,5,333
UCL222073,47,22,37,30,30,39,19,7,6,247
UCL222074,28,35,10,17,38,28,22,8,4,201
UCL222075,96,53,47,51,78,69,54,29,7,467
UCL222076,74,48,40,61,65,75,64,28,21,468
UCL222077,66,31,38,53,46,79,96,51,35,486
UCL222078,53,30,25,26,46,44,38,22,7,295
UCL222079,84,51,28,53,62,81,66,27,7,457
UCL222080,42,24,34,28,34,66,58,36,17,341
UCL222081,36,20,15,28,43,69,60,34,6,312
UCL222082,46,52,26,50,57,41,33,15,0,314
UCL222083,37,25,21,43,20,34,23,9,6,217
UCL222084,63,33,25,51,58,83,61,43,33,453
UCL222085,47,29,32,40,42,84,37,18,3,327
UCL222086,71,46,35,43,51,53,63,19,0,380
UCL222087,84,39,55,51,49,69,63,46,18,476
UCL222088,19,19,10,18,37,69,70,21,13,273
UCL222089,29,24,18,13,29,46,24,10,9,205
UCL222090,50,28,21,37,30,46,23,11,4,234
UCL222091,99,39,38,46,48,61,39,22,3,403
UCL222092,94,31,33,62,53,36,32,5,0,346
UCL222093,64,49,32,34,39,73,84,44,9,432
UCL222094,60,22,39,22,37,74,57,25,5,344
UCL222095,33,23,24,21,19,23,27,10,0,181
UCL222096,91,34,37,67,70,53,46,10,3,413
UCL222097,70,51,44,34,51,47,18,10,7,334
UCL222098,84,27,31,54,52,55,38,16,7,357
UCL222099,51,11,41,24,31,40,17,10,0,226
UCL222100,17,16,11,10,37,51,46,41,5,237
UCL222101,66,26,19,32,29,39,35,15,3,272
UCL222102,76,42,43,46,49,77,43,21,0,407
UCL222103,45,27,6,18,38,24,17,26,0,201
UCL222104,55,28,34,33,26,46,47,18,11,301
UCL222105,26,21,25,25,32,37,27,18,5,209
UCL231001,72793,45691,37612,46759,62285,71112,57831,24688,5814,424590
UCL279997,0,9,52,140,182,158,16,0,0,565
UCL301001,440024,305465,348060,330818,294257,237578,180987,100265,39044,2276503
UCL302001,107180,74010,84635,82567,80678,70557,61518,36285,13001,610429
UCL302002,48081,30833,31112,34795,37499,37327,36970,23000,8465,288083
UCL303001,29269,18288,20991,21307,22265,19918,15760,7570,2359,157719
UCL303002,20453,14743,15007,12838,12405,11883,10827,7339,3234,108730
UCL303003,33803,25936,25695,22497,21699,19486,14820,7690,2577,174199
UCL311001,9300,6169,6403,5606,5936,6353,6308,4684,1840,52605
UCL311002,8968,5246,4951,5568,6608,8564,10815,6788,2040,59557
UCL311003,16214,9671,10705,10579,10120,9783,7134,3834,1477,79523
UCL311004,12485,8345,8715,7787,7512,7416,5759,3571,1561,63157
UCL312001,1893,1242,940,1339,2064,3537,5089,3271,955,20333
UCL312002,7577,4391,4960,4747,4686,4193,2625,1240,428,34844
UCL312003,3471,2454,2037,2133,2582,3170,3458,2075,777,22161
UCL312004,3896,2359,2643,2668,2655,2510,2018,1446,691,20893
UCL313001,2006,1249,2105,1820,1615,1926,1556,464,51,12793
UCL313002,2061,1069,1086,1361,1602,1905,2502,1490,384,13469
UCL313003,2743,1675,1634,1480,1582,1351,1037,558,269,12334
UCL313004,3571,1904,2232,2237,1819,1585,875,287,86,14592
UCL313005,3070,1456,1647,1581,1138,1086,835,373,113,11297
UCL313006,3479,2316,2225,2103,2278,2382,2357,1574,706,19416
UCL313007,2196,1112,839,1262,1372,1201,1213,654,177,10030
UCL313008,2036,1311,1410,1121,1084,1142,1135,677,308,10218
UCL313009,4307,2605,3363,2690,2385,2212,1320,547,113,19553
UCL313010,2689,1663,1620,1332,1550,1777,1813,1257,449,14145
UCL313011,3637,1294,2228,1439,713,457,278,102,16,10167
