UCL_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
UCL113010,39,9,0,0,0,46,27,0,0,0,0,30,26,0,0,0,0,26,36,4,0,0,0,37,60,6,0,0,0,66,208,12,0,0,0,220,297,12,0,0,0,306,380,4,0,0,0,385,118,3,0,0,0,121,58,4,0,0,0,57,39,0,0,0,0,39,61,3,0,0,0,64,1352,43,0,8,0,1401
UCL113011,42,6,0,0,0,51,27,0,0,0,0,27,24,0,0,0,0,22,73,4,0,0,0,73,93,0,0,0,0,93,306,8,0,0,0,316,346,5,0,0,0,349,239,0,0,0,0,241,64,0,0,0,0,70,65,0,0,0,0,65,38,0,0,0,0,38,82,0,0,0,0,82,1398,26,3,0,0,1429
UCL113012,84,15,10,0,0,111,25,5,6,0,0,33,20,8,0,0,0,26,31,10,4,0,0,48,36,14,5,0,0,57,129,39,12,0,0,179,147,49,17,0,0,212,271,68,9,0,0,351,160,15,3,0,0,176,123,12,5,0,0,133,77,4,0,0,0,85,68,9,5,0,0,88,1175,255,61,0,0,1499
UCL113013,47,6,0,0,0,50,28,6,0,0,0,31,24,6,0,0,0,33,72,3,0,0,0,77,81,12,0,0,0,93,329,51,0,0,0,385,414,14,0,0,0,425,325,11,0,0,0,331,81,0,0,0,0,83,32,0,0,0,0,32,22,0,0,0,0,26,75,0,0,0,0,79,1529,112,5,3,0,1652
UCL113014,65,0,0,0,0,70,15,0,3,0,0,23,23,3,0,0,0,25,40,4,0,0,0,50,69,13,3,0,0,84,280,23,3,0,0,303,471,13,5,0,0,494,513,16,3,0,0,530,179,4,0,0,0,187,96,6,4,0,0,110,54,0,0,0,0,54,112,9,0,0,0,123,1929,94,20,0,0,2047
UCL113015,81,0,0,0,0,80,30,0,0,0,0,30,35,3,0,0,0,37,45,0,0,0,0,44,81,0,0,0,0,84,195,4,5,0,0,205,244,5,0,0,0,250,270,4,0,0,0,278,78,4,0,0,0,89,53,0,0,0,0,51,30,0,0,0,0,30,77,0,0,0,0,78,1225,20,9,0,0,1251
UCL113016,73,7,6,0,0,80,40,0,5,0,0,50,51,3,0,0,0,55,104,0,9,0,0,114,133,11,3,0,0,149,429,24,3,0,0,454,326,6,0,0,0,333,204,0,0,0,0,204,74,0,0,0,0,72,36,0,0,0,0,38,26,4,0,0,0,28,89,4,0,0,0,92,1578,58,25,0,0,1664
UCL113017,100,8,3,0,0,110,35,0,0,0,0,35,32,6,0,0,0,39,51,0,0,0,0,50,82,5,3,0,0,86,212,12,0,0,0,225,219,12,0,0,0,228,261,8,8,0,0,276,147,0,0,0,0,147,92,0,0,0,0,93,60,0,0,0,0,62,81,5,0,0,0,85,1370,47,22,5,3,1443
UCL113018,8,0,0,0,0,11,8,0,0,0,0,9,7,0,0,0,0,5,11,0,0,0,0,14,27,0,0,0,0,31,57,0,0,0,0,57,62,0,0,0,0,59,54,3,0,0,0,52,19,0,0,0,0,19,9,0,0,0,0,9,4,0,0,0,0,4,22,0,0,0,0,16,286,13,5,0,0,295
UCL114001,23,4,0,0,0,26,4,0,0,0,0,9,13,8,0,0,0,17,18,8,0,0,0,24,31,0,0,0,0,36,77,20,0,0,0,98,87,20,0,0,0,109,115,9,0,0,0,127,47,4,0,0,0,55,29,0,0,0,0,28,13,0,0,0,0,10,40,4,0,0,0,47,493,82,0,0,0,573
