UCL_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
UCL115106,9,0,3,3,4,0,4,3,77,0,0,0,0,0,0,0,0,0,0,0,233,11,18,6,3,4,4,0,3,10,296
UCL115107,36,14,6,13,14,4,0,3,229,0,0,0,0,0,0,0,0,0,4,4,449,125,75,30,14,14,18,8,0,14,745
UCL115108,14,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,192,51,49,3,0,0,0,0,0,3,304
UCL115109,5,3,5,7,10,0,0,0,93,3,0,0,0,0,0,0,0,0,0,3,400,23,30,9,5,7,6,0,0,16,500
UCL115110,12,5,5,19,7,5,0,8,98,0,0,0,0,0,0,0,0,0,0,0,105,15,26,12,5,22,20,5,0,18,228
UCL115111,11,4,4,3,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,86,9,10,4,7,4,9,0,0,4,134
UCL115112,31,0,0,11,8,5,0,0,82,0,0,0,0,0,0,0,0,0,0,0,102,36,49,0,0,11,9,5,0,5,225
UCL115113,15,8,0,8,6,3,0,6,72,0,0,0,0,0,0,0,0,0,0,0,39,23,23,10,4,8,4,8,0,8,135
UCL115114,15,8,13,11,19,7,0,5,140,0,0,0,0,0,0,0,0,0,0,0,158,34,37,10,14,14,20,9,0,9,310
UCL115115,54,10,16,14,12,3,0,6,293,0,0,0,0,0,0,0,0,0,0,0,521,122,108,23,29,26,29,13,0,31,904
UCL115116,20,0,0,3,0,0,0,0,76,0,0,0,0,0,0,0,0,0,4,3,322,42,31,9,0,7,0,3,4,26,441
UCL115117,4,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,240,14,8,0,0,0,0,0,0,16,289
UCL115118,4,0,0,3,3,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,134,13,11,0,4,3,3,0,0,6,175
UCL115119,9,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,365,37,20,4,3,6,3,3,0,12,455
UCL115120,4,0,3,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,240,21,24,0,4,7,0,0,4,3,306
UCL115121,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,111,6,3,0,0,0,0,0,0,0,130
UCL115122,6,11,3,7,3,6,0,0,60,0,0,0,0,0,0,0,0,0,0,0,81,12,20,11,3,7,5,6,0,0,147
UCL115123,5,0,0,0,8,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,174,23,12,7,0,0,8,3,0,6,224
UCL115124,49,12,11,20,19,10,4,6,225,0,0,0,0,0,0,0,0,0,0,4,311,113,75,15,15,25,23,16,8,20,633
UCL115125,13,0,0,6,0,0,0,0,73,0,0,0,0,0,0,0,0,0,4,5,352,23,27,0,0,4,0,0,0,19,432
UCL115126,3,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,93,15,14,0,0,0,3,5,0,0,129
UCL115127,3,3,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,127,15,8,4,0,3,0,0,0,12,165
UCL115128,12,10,6,15,8,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,269,58,39,15,6,15,9,4,0,14,425
UCL115129,9,3,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,9,6,185,30,28,5,8,3,3,5,0,17,278
UCL115130,11,4,4,3,8,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,395,14,17,3,3,6,5,0,0,23,472
UCL115131,4,3,0,3,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,355,26,25,8,0,3,3,6,0,22,444
UCL115132,9,0,0,3,7,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,122,12,12,4,4,3,8,0,0,11,174
UCL115133,10,6,4,3,6,0,0,3,79,0,0,0,0,0,0,0,0,0,5,5,404,18,19,6,4,6,0,0,0,17,483
UCL115134,25,10,0,4,4,7,4,3,108,0,0,0,0,0,0,0,0,0,0,0,143,30,36,17,7,4,0,4,4,12,252
UCL115135,11,0,0,3,7,0,0,6,65,0,0,0,0,0,0,0,0,0,0,4,192,26,15,0,0,3,7,3,0,8,258
UCL115136,3,0,0,0,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,137,23,19,0,0,0,9,0,0,9,197
UCL115137,6,0,0,0,5,3,0,8,108,0,0,0,0,0,0,0,0,0,0,3,345,32,17,0,0,3,6,3,0,13,423
UCL115138,44,8,6,0,6,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,135,54,69,14,16,3,8,3,0,3,303
UCL115139,10,0,0,5,8,0,0,0,47,0,0,0,0,0,0,0,0,0,4,4,168,8,18,0,3,5,6,0,0,6,223
UCL115140,4,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,134,12,6,0,0,5,4,0,0,8,163
UCL115141,5,0,5,4,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,98,8,21,3,8,7,0,0,0,5,147
UCL115142,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,285,12,10,5,3,0,5,0,0,19,342
UCL115143,7,0,4,0,0,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,118,12,13,6,3,3,0,3,0,5,168
UCL115144,3,0,0,3,0,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,201,9,9,0,6,8,0,3,0,8,247
UCL115145,5,0,0,3,0,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,157,8,15,0,0,3,0,0,0,11,207
UCL115146,8,9,3,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,3,420,30,31,10,0,8,6,0,0,14,529
UCL115147,6,0,0,3,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,116,37,31,0,0,3,5,0,0,3,194
UCL115148,0,5,0,5,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,75,6,0,3,0,5,0,4,0,3,94
UCL115149,9,0,4,4,0,4,0,0,37,0,0,0,0,0,0,0,0,0,0,0,31,8,13,0,0,4,0,4,0,0,60
UCL115150,4,0,4,4,0,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,106,10,11,0,5,4,0,3,0,0,141
UCL115151,9,0,0,0,7,0,0,0,43,0,0,0,0,0,0,0,0,0,0,3,114,11,11,0,0,0,7,0,0,11,151
UCL115152,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,30,3,5,0,0,0,0,0,0,6,46
UCL115153,15,6,7,9,19,0,5,0,61,0,0,0,0,0,0,0,0,0,0,0,32,10,18,6,7,9,19,4,4,0,110
UCL115154,4,0,0,0,5,6,4,0,30,0,0,0,0,0,0,0,0,0,0,0,49,9,9,0,0,0,11,6,4,0,75
UCL115155,14,7,16,18,49,11,0,0,166,3,0,0,0,0,0,0,0,0,0,3,162,25,23,12,14,17,61,11,0,17,342
UCL115156,6,0,0,0,3,0,6,0,21,0,0,0,0,0,0,0,0,0,0,0,59,7,17,0,0,0,7,0,5,6,98
UCL115157,0,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,40,0,3,0,0,0,0,0,0,0,56
UCL115158,23,6,5,4,16,6,0,0,94,0,0,0,0,0,0,0,0,0,0,0,60,39,35,11,13,7,17,7,0,3,200
UCL115159,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,112,22,11,0,0,0,0,0,0,0,151
UCL115160,12,5,5,0,3,5,0,0,78,0,0,0,0,0,0,0,0,0,0,0,207,47,28,5,5,0,3,7,0,4,303
UCL115161,10,7,0,10,6,0,0,0,62,0,0,0,0,0,0,0,0,0,3,3,216,22,13,3,0,6,6,0,0,8,285
UCL115162,13,0,5,7,10,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,184,57,31,11,12,7,13,0,0,6,319
UCL115163,8,0,0,0,3,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,120,12,11,0,8,3,3,0,0,16,166
UCL115164,9,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,143,11,11,0,0,0,0,0,0,6,171
UCL115165,5,0,0,4,3,0,3,0,35,0,0,0,0,0,0,0,0,0,0,0,40,12,12,0,3,9,5,0,3,7,82
UCL121001,3,3,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,47,3,7,3,0,7,0,0,0,3,69
UCL121002,0,0,0,0,0,4,4,0,10,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,4,4,0,30
UCL121003,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,74,5,0,0,0,0,0,0,0,3,92
UCL121004,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,58,3,0,0,0,0,0,0,0,0,64
UCL121005,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,4,58
UCL121006,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,47,0,3,0,0,0,0,0,0,5,51
UCL121007,8,0,3,3,3,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,51,5,9,0,7,3,3,0,0,3,85
UCL121008,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,14
UCL121009,0,0,4,4,7,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,15,6,4,3,3,4,7,3,0,0,46
UCL121010,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,74,14,7,3,0,3,0,0,0,3,101
UCL121011,5,0,0,0,12,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,33,0,5,0,0,6,11,5,0,3,72
UCL121012,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,59,8,3,0,0,0,0,0,0,7,81
UCL121013,3,0,0,7,4,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,10,8,6,0,0,9,4,0,3,0,44
UCL121014,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,4,0,0,0,0,3,43
UCL121015,4,0,0,3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,103,14,25,0,0,3,0,0,0,4,149
UCL121016,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,47,10,10,0,0,0,4,0,0,5,73
UCL121017,6,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,87,9,16,0,5,0,0,0,0,0,113
UCL121018,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,39,4,0,0,0,0,0,0,0,4,42
UCL121019,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,34,3,0,0,0,0,0,0,0,0,45
UCL121020,11,3,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,53,4,22,3,4,0,0,0,0,6,80
UCL121021,4,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,15,8,6,4,0,0,0,0,0,0,36
UCL121022,3,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,40,0,3,0,0,0,0,3,0,3,57
UCL121023,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,79,5,6,0,0,0,0,0,0,5,93
UCL121024,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,0,0,0,0,0,3,38
UCL121025,9,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,70,12,15,0,4,0,0,0,0,0,104
UCL121026,8,0,0,0,0,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,95,10,16,9,0,0,0,3,0,3,134
UCL121027,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,40,15,4,0,0,0,0,0,0,3,56
UCL121028,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,77,4,7,0,0,0,0,0,0,3,93
UCL121029,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,3,18
UCL121030,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,5,39
UCL121031,3,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,79,11,10,0,3,0,0,0,0,0,110
UCL121032,0,0,0,0,6,0,7,4,14,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,6,0,3,4,43
UCL121033,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,30,8,3,0,0,0,0,0,0,0,39
UCL121034,7,0,0,5,16,6,0,4,63,0,0,0,0,0,0,0,0,0,0,0,86,24,25,9,4,12,16,9,0,8,199
UCL121035,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,66,5,6,0,7,0,0,0,0,0,78
UCL121036,0,0,0,0,3,0,3,0,28,0,0,0,0,0,0,0,0,0,0,4,121,26,6,4,0,5,3,0,3,5,166
UCL121037,3,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,71,8,4,4,0,0,0,3,0,3,95
UCL121038,0,0,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,8,4,3,0,0,3,45
UCL121039,8,0,3,4,4,3,0,0,36,0,0,0,0,0,0,0,0,0,0,0,85,16,16,3,5,7,7,3,0,4,154
UCL121040,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,5,5,0,0,0,0,0,0,0,23
UCL121041,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,0,8,0,0,0,0,0,0,3,34
UCL121042,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,69,13,0,0,0,0,0,0,0,4,90
UCL121043,8,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,79,17,6,0,0,0,0,0,0,0,110
UCL121044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,5,38
UCL121045,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,64,3,5,4,0,0,0,0,0,5,82
UCL121046,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,44,3,4,0,0,0,0,0,0,0,51
UCL121047,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,41,5,7,0,0,4,0,0,0,5,55
UCL121048,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,52,5,0,0,0,0,0,0,0,3,66
UCL121049,8,0,12,4,9,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,31,9,14,0,12,4,9,0,0,4,81
UCL121050,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,94,8,11,0,0,0,0,0,0,3,108
UCL121051,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,43,3,3,0,0,0,0,0,0,0,51
UCL121052,9,0,9,4,3,9,0,0,59,0,0,0,0,0,0,0,0,0,0,0,105,18,10,6,13,8,4,9,3,0,172
UCL121053,6,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,42,3,10,3,0,0,0,0,0,5,64
UCL121054,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,66,8,4,0,0,0,0,0,0,3,83
UCL121055,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,46,5,8,0,0,3,0,4,0,0,61
UCL121056,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,47,10,0,0,7,0,0,0,0,0,61
UCL121057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,24
UCL121058,0,5,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,140,21,19,3,0,4,0,4,0,5,192
UCL121059,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,34,9,0,0,0,0,0,0,0,3,51
UCL121060,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,34,5,4,0,0,0,0,0,0,0,46
UCL121061,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,5,0,0,0,0,0,19
UCL121062,4,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,102,9,12,0,0,0,0,0,0,5,127
UCL121063,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,72,4,0,0,0,0,0,0,0,7,86
UCL121064,3,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,68,5,0,4,0,3,0,0,0,4,86
UCL121065,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,59,4,5,0,0,0,0,0,0,3,69
UCL121066,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,0,6,0,0,0,0,0,0,5,24
UCL121067,5,0,4,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,38,3,4,0,5,3,0,3,0,5,60
UCL121068,4,0,0,4,0,0,0,3,69,0,0,0,0,0,0,0,0,0,0,0,295,24,18,4,0,9,0,3,0,10,360
UCL121069,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,39,12,7,0,0,0,0,0,0,0,61
UCL121070,0,0,0,0,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,73,12,7,0,0,0,4,3,0,0,100
UCL121071,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,9,22
UCL121072,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,50,9,8,0,0,4,0,0,0,4,67
UCL121073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,30
UCL121074,5,10,4,3,12,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,80,4,5,11,3,11,15,3,0,5,129
UCL121075,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,70
UCL121076,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,55,6,9,0,4,0,0,0,0,4,79
UCL121077,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,39,3,9,0,0,0,0,0,0,0,51
UCL121078,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,39,10,4,0,0,0,0,0,0,0,52
UCL121079,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,44,7,5,0,0,0,0,0,0,0,62
UCL121080,6,0,4,0,9,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,77,22,11,0,4,3,8,0,0,0,128
UCL121081,10,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,36,11,17,4,0,0,0,0,0,4,66
UCL121082,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,95,9,6,5,0,0,0,0,0,5,123
UCL121083,14,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,157,21,17,3,0,3,0,0,0,4,208
UCL121084,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,3,0,0,0,0,0,82
UCL121085,10,5,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,126,25,31,3,0,0,0,0,0,6,199
UCL121086,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,52,3,3,0,0,0,4,0,0,5,75
UCL121087,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,0,0,0,6,48
UCL121088,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,38,6,3,0,0,0,0,0,0,11,54
UCL121089,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,54,9,14,3,0,0,0,0,0,0,83
UCL121090,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,79,3,11,0,0,0,0,0,0,3,102
UCL121091,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,66,8,4,0,0,0,0,0,0,3,81
UCL121092,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,6,91
UCL121093,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,37,8,5,0,4,0,0,0,0,0,57
UCL121094,0,4,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,34,0,3,4,0,0,5,0,0,5,44
UCL121095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,3,0,0,0,0,0,0,0,41
UCL121096,5,0,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,72,5,9,0,0,0,0,0,0,5,97
UCL121097,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,55,9,0,0,0,0,0,0,0,0,74
UCL121098,7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,79,12,12,0,0,4,0,0,0,0,107
UCL121099,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,6,60
UCL121100,4,3,5,0,6,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,97,22,11,11,9,0,6,0,0,5,158
UCL121101,6,0,3,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,61,3,22,0,3,0,0,0,0,9,99
UCL121102,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,86,8,0,8,0,0,0,0,0,4,115
UCL121103,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,37,5,3,0,0,0,0,0,0,3,48
UCL121104,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,49,3,0,0,0,0,0,0,0,3,64
UCL121105,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,51,5,3,6,0,0,0,0,0,3,66
UCL121106,3,0,0,0,0,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,141,10,13,0,0,0,5,0,0,10,181
UCL121107,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,39,3,4,7,0,0,0,6,0,4,54
UCL121108,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,36,10,0,0,0,3,0,0,0,4,55
UCL121109,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,41,12,6,0,0,0,0,0,0,5,66
UCL121110,6,3,0,3,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,45,12,8,5,0,3,5,0,0,0,78
UCL121111,0,4,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,31,0,0,4,0,0,3,0,0,0,37
UCL121112,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,34,4,0,0,0,0,0,0,0,0,35
UCL121113,0,0,4,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4,0,0,0,0,3,32
UCL121114,3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,51,9,3,0,0,0,0,0,0,0,68
UCL121115,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,3,6,0,0,3,129
UCL121116,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,42,9,10,0,0,0,0,0,0,0,61
UCL121117,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,6,50
UCL121118,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,48,11,9,0,0,0,0,0,0,3,69
UCL121119,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,44,0,3,0,0,0,0,0,0,0,51
UCL121120,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13
UCL121121,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,55,3,5,0,0,0,0,0,0,3,64
UCL121122,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,0,0,0,0,0,3,40
UCL121123,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,18,3,8,0,0,0,0,0,0,5,37
UCL121124,0,4,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,33,0,3,4,0,0,0,0,0,5,53
UCL121125,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,80,5,13,0,0,0,0,0,0,4,102
UCL121126,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,29,3,5,0,0,0,0,0,0,0,32
UCL121127,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,54,3,9,0,0,0,0,0,0,0,61
UCL121128,5,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,69,6,3,0,0,0,0,0,0,7,87
UCL122001,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14
UCL122002,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,37,5,3,0,0,0,5,0,0,0,55
UCL122003,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,38,0,12,0,0,0,0,0,0,0,51
UCL122004,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,26
UCL122005,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,26
UCL122006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,25
UCL122007,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,22
UCL122008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,14
UCL122009,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15
UCL122010,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,18
