UCL_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
UCL315077,0,0,4,0,0,3,3,0,0,6,9,20,58,45,34,35,11,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,0,0,0,21,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,3,3,3,3,4,0,0,0,15,0,5,17,12,10,14,0,0,0,57,4,9,18,17,12,13,5,0,0,81,3,4,34,31,24,20,7,0,0,123,0,0,0,0,0,0,0,0,0,5
UCL315078,3,0,5,10,3,0,0,0,0,23,51,43,107,128,118,89,29,3,0,573,11,15,28,34,32,20,16,0,0,165,0,4,8,7,6,0,4,0,0,27,4,6,24,21,24,13,0,0,0,98,0,0,4,9,0,7,0,0,0,17,3,18,18,24,25,16,3,0,0,107,0,4,0,7,4,4,0,0,0,22,24,13,28,19,21,15,9,0,3,129,27,10,16,9,7,6,0,0,0,77,0,0,11,15,14,14,15,0,0,69,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,6,3,0,3,9,7,0,0,0,0,32,0,0,4,4,7,0,3,0,0,18,0,0,10,9,9,14,0,0,0,39,3,6,21,24,20,17,9,0,0,95,3,15,21,32,38,32,4,0,0,152,0,0,0,3,0,0,0,0,0,3
UCL315079,0,0,0,3,5,9,0,0,0,12,18,15,50,87,110,94,22,0,0,385,0,0,3,5,0,6,0,0,0,21,0,0,0,9,3,3,0,0,0,15,0,3,3,9,12,3,3,0,0,38,0,0,3,0,4,0,0,0,0,6,0,10,21,15,15,16,4,0,0,85,0,5,0,0,9,5,0,0,0,21,14,8,0,3,14,9,0,0,0,57,19,8,8,11,7,13,3,0,0,58,0,0,4,0,3,0,8,0,0,14,0,0,0,4,3,3,0,0,0,7,0,0,3,0,3,0,0,0,0,13,0,0,3,7,0,0,0,0,0,6,0,0,8,13,7,5,5,0,0,43,0,3,3,9,8,6,0,0,0,28,0,0,9,11,9,13,3,0,0,42,0,0,3,22,23,15,4,0,0,75,0,3,10,23,48,35,7,0,0,129,0,0,0,4,7,0,0,0,0,6
UCL315080,9,10,10,8,5,8,0,0,0,56,54,96,411,285,275,287,116,13,0,1540,0,6,3,5,4,20,9,3,0,43,0,0,11,8,4,5,0,0,0,32,0,10,21,20,19,22,7,0,0,90,0,0,0,0,3,6,3,0,0,17,5,6,45,33,23,40,17,0,0,173,0,0,4,10,10,8,0,0,0,29,18,17,24,31,50,56,31,7,0,226,40,81,375,152,116,128,39,8,0,935,0,6,38,35,30,27,14,4,0,160,3,0,3,3,3,10,7,0,0,27,0,0,5,8,7,20,11,0,0,49,0,0,14,19,20,25,23,0,0,106,0,5,26,35,33,39,31,5,0,178,4,8,47,25,46,33,13,0,0,180,0,4,26,35,28,34,10,0,0,137,0,0,23,41,22,24,11,3,0,129,10,11,52,53,53,51,16,0,0,251,0,7,10,11,11,9,6,5,0,64
UCL315081,4,0,0,4,8,4,0,4,0,25,45,52,112,160,168,145,32,11,0,725,3,6,14,3,12,13,5,4,0,63,0,5,10,15,17,10,3,0,0,57,4,16,27,16,20,23,5,0,0,101,0,0,3,12,0,0,0,0,0,23,4,10,29,42,30,42,3,4,0,161,0,0,4,6,3,9,0,0,0,21,29,11,29,36,45,32,8,0,0,187,33,17,18,33,14,20,8,0,0,139,0,4,6,14,25,18,0,0,0,71,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,8,0,0,0,4,4,3,3,0,0,20,3,3,14,16,8,6,6,0,0,53,0,4,8,11,24,12,0,0,0,57,4,0,11,16,15,21,5,0,0,81,0,4,16,33,34,27,11,0,0,127,0,17,23,41,51,40,8,0,0,191,5,0,0,6,8,5,0,0,0,18
UCL315082,0,0,4,0,0,3,5,0,0,11,10,7,39,49,70,78,18,0,0,274,0,0,5,0,4,8,0,0,0,20,0,0,0,0,0,3,0,0,0,6,0,0,0,3,6,3,0,0,0,20,0,0,0,0,0,4,0,0,0,4,0,8,7,12,12,14,3,0,0,49,0,0,0,0,3,0,0,0,0,11,8,7,5,10,10,7,9,0,0,57,3,11,25,17,15,28,3,0,0,102,0,0,3,12,5,12,6,0,0,36,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,4,0,0,0,12,0,0,3,5,7,7,5,0,0,22,0,0,3,10,11,5,3,0,0,37,0,0,5,12,8,11,0,0,0,39,0,0,0,16,10,15,0,0,0,38,0,3,4,8,8,12,3,0,0,32,0,0,3,7,0,0,0,0,0,13
UCL315083,4,0,3,0,3,0,0,0,0,9,32,24,40,54,68,69,9,0,0,300,0,0,4,0,0,0,0,0,0,5,0,0,0,11,3,3,6,0,0,16,0,0,3,0,9,5,0,0,0,29,0,0,3,0,0,3,0,0,0,9,3,9,13,13,21,20,0,0,0,75,0,0,0,3,5,10,0,0,0,23,15,6,4,4,9,5,0,0,0,52,14,4,0,5,0,3,0,0,0,27,0,0,4,5,4,8,0,0,0,27,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,3,0,0,0,0,8,0,7,3,3,10,8,0,0,0,30,0,0,4,0,6,0,0,0,0,10,0,0,7,10,16,10,0,0,0,46,0,4,9,16,17,21,0,0,0,67,4,7,13,18,20,30,3,0,0,93,0,0,0,0,0,0,0,0,0,3
UCL315084,0,0,0,0,3,4,0,0,0,13,20,25,55,78,93,112,23,0,0,401,0,0,0,0,0,0,0,0,0,8,0,0,0,6,9,0,0,0,0,11,3,4,8,3,6,5,0,0,0,37,0,0,0,0,0,3,0,0,0,10,0,10,15,9,19,18,3,0,0,76,0,0,0,0,0,3,0,0,0,9,11,12,14,17,19,21,5,0,0,100,18,8,7,4,16,13,0,0,0,59,0,0,7,4,10,14,5,0,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,10,0,0,0,6,3,0,3,0,0,12,0,0,3,8,9,12,6,0,0,30,0,0,0,10,10,7,0,0,0,25,0,0,3,12,16,10,0,0,0,44,0,3,17,13,9,14,3,0,0,56,0,15,21,31,43,61,6,0,0,170,0,0,0,0,0,0,0,0,0,4
UCL315085,0,3,0,5,3,0,0,0,0,23,43,72,110,119,119,93,22,0,0,582,0,4,7,0,6,7,0,0,0,25,0,0,0,4,0,7,0,0,0,11,8,11,20,17,26,31,4,0,0,114,0,0,3,7,0,6,0,0,0,13,3,16,16,18,6,17,3,0,0,72,0,4,3,7,3,4,0,0,0,32,26,21,15,19,15,19,0,0,0,111,18,11,13,7,3,4,0,0,0,56,4,0,10,12,25,14,8,0,0,76,0,0,0,4,0,0,0,0,0,3,0,0,6,3,6,4,0,0,0,19,0,0,4,0,4,0,0,0,0,18,3,8,6,11,0,16,6,0,0,52,0,3,5,4,5,3,0,0,0,37,0,0,26,22,26,24,3,0,0,106,0,11,24,21,22,19,9,0,0,98,0,22,29,34,29,25,9,0,0,150,4,4,4,0,0,0,0,0,0,14
UCL315086,0,0,5,0,3,4,0,0,0,23,15,19,29,60,116,146,33,4,0,423,0,0,0,0,5,3,0,0,0,14,0,0,0,3,5,3,0,0,0,9,0,0,0,3,8,13,3,0,0,29,0,0,0,0,12,0,0,0,0,7,0,8,6,18,33,39,15,3,0,125,0,0,0,0,0,12,0,0,0,16,11,14,13,18,20,21,11,0,0,106,4,0,5,13,14,15,0,0,0,47,0,0,0,5,20,22,11,0,0,59,0,0,0,5,0,0,0,0,0,6,0,0,0,4,0,8,0,0,0,12,0,0,0,0,8,8,8,0,0,26,0,0,5,3,4,10,9,0,0,25,0,3,4,3,19,17,5,0,0,47,0,0,5,7,11,16,5,0,0,35,0,0,3,8,13,16,5,0,0,46,3,0,6,19,40,54,9,0,0,140,0,0,0,0,3,3,0,0,0,9
UCL315087,3,0,3,5,3,8,0,0,0,23,54,59,60,131,197,140,22,0,0,668,0,0,3,0,3,3,0,0,0,12,0,0,4,5,14,3,0,0,0,17,3,5,5,12,10,12,0,0,0,49,0,0,0,5,4,0,0,0,0,16,8,14,7,25,32,24,6,0,0,122,0,4,0,3,11,23,3,0,0,52,15,17,15,11,10,17,0,0,0,93,47,16,3,7,3,0,0,0,0,79,0,0,3,4,16,10,5,0,0,47,0,0,3,3,12,3,0,0,0,18,0,0,4,10,27,10,0,0,0,62,0,3,0,3,6,9,5,0,0,30,4,9,12,42,60,56,19,0,0,196,0,0,5,9,8,7,3,0,0,35,0,8,10,20,45,20,3,0,0,114,6,7,12,23,46,31,13,0,0,136,0,8,21,39,70,41,8,4,0,191,5,4,0,4,8,4,0,0,0,20
UCL315088,0,4,4,7,6,6,0,0,0,29,48,61,125,145,133,107,23,3,0,631,0,0,0,3,4,6,0,0,0,14,3,15,30,42,35,17,5,0,0,143,0,7,22,31,26,28,11,0,0,123,0,0,3,0,4,0,0,0,0,13,3,20,13,11,12,12,5,0,0,83,0,9,9,6,10,4,0,0,0,34,22,20,30,17,25,11,3,0,0,126,30,12,10,14,10,16,0,0,0,97,0,14,25,44,54,49,10,0,0,198,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,9,0,0,0,3,6,3,0,0,0,10,5,3,12,5,4,6,4,0,0,32,3,4,16,15,15,9,0,0,0,65,0,5,13,12,13,9,0,0,0,52,3,0,10,24,17,14,6,0,0,76,3,10,16,28,37,35,0,0,0,136,0,0,0,0,0,0,0,0,0,9
UCL315089,0,0,4,3,9,0,0,0,0,24,36,56,131,100,120,108,36,4,0,587,12,17,35,32,36,29,7,3,0,167,0,0,0,5,0,4,0,0,0,5,3,0,12,5,10,0,0,0,0,31,0,0,14,6,5,0,0,0,0,27,5,11,17,17,14,20,7,0,0,96,7,0,6,8,13,3,4,0,0,36,18,9,18,15,21,16,4,0,0,108,10,13,12,5,10,12,6,0,0,62,0,0,9,3,10,15,9,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,5,0,3,0,0,0,7,0,0,6,4,0,5,0,0,0,22,0,3,3,3,7,8,5,0,0,34,3,7,21,21,15,19,7,0,0,94,0,10,30,13,20,19,7,0,0,105,0,15,49,29,37,37,14,0,0,190,0,3,0,0,0,0,0,0,0,7
UCL315090,3,0,5,4,12,3,4,0,0,28,86,50,180,170,213,184,64,6,0,958,3,12,73,41,44,31,14,0,0,215,0,0,0,7,4,0,0,0,0,8,8,6,13,17,23,15,4,4,0,97,0,0,5,8,3,9,4,0,0,31,10,8,28,35,22,18,3,0,0,127,0,0,7,0,10,4,4,0,0,26,34,17,31,32,37,23,12,0,0,194,55,26,30,23,25,33,11,0,0,203,0,4,11,16,21,17,5,0,0,71,0,0,0,0,0,4,3,0,0,6,0,3,9,9,6,5,0,0,0,37,0,0,0,0,6,5,5,0,0,14,0,4,11,13,19,13,3,0,0,64,0,0,9,15,8,10,9,0,0,45,0,5,4,17,27,23,4,0,0,79,0,4,30,40,48,45,16,0,0,180,4,21,48,50,68,72,20,5,0,291,0,0,0,4,6,5,0,0,0,13
UCL315091,0,0,4,3,0,4,0,0,0,21,24,54,156,166,140,104,35,0,0,685,3,0,4,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,4,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,7,8,6,29,21,20,9,0,0,0,97,0,0,0,0,0,0,0,0,0,0,19,21,15,14,11,10,3,0,0,89,4,5,16,17,18,8,0,0,0,66,5,7,11,10,13,15,9,0,0,67,0,0,0,7,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,7,4,10,13,0,0,0,32,0,3,6,7,11,3,0,0,0,31,0,23,70,67,63,34,10,0,0,263,0,12,48,33,35,27,13,0,0,177,6,27,80,90,61,64,15,0,0,341,0,0,0,5,0,0,0,0,0,6
UCL315092,0,0,3,3,0,3,0,3,0,14,11,6,25,32,49,99,30,5,0,257,0,3,0,3,12,10,3,0,0,37,0,0,0,0,5,3,4,0,0,9,0,0,3,8,6,11,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,4,8,9,20,6,0,0,50,0,0,0,0,3,3,0,0,0,12,15,7,11,11,10,17,5,0,0,63,4,7,8,6,5,22,11,0,0,58,0,0,0,0,0,9,0,0,0,12,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,7,9,0,0,17,0,0,5,6,0,5,0,0,0,23,0,0,0,3,10,4,3,0,0,28,0,0,0,6,6,17,0,0,0,29,0,0,0,9,9,10,7,0,0,33,3,0,8,3,12,27,11,0,0,63,0,0,0,3,0,0,0,0,0,6
UCL315093,0,0,0,3,4,0,0,0,0,10,3,8,19,28,51,32,8,0,0,150,4,0,9,0,4,0,0,0,0,22,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,5,0,5,9,0,8,8,4,0,0,25,0,0,0,0,0,0,0,0,0,4,4,3,6,5,11,10,0,0,0,45,6,0,3,3,0,0,0,0,0,16,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,0,16,0,0,6,8,13,8,0,0,0,38,0,0,0,7,10,11,3,0,0,38,0,0,0,0,0,0,3,0,0,5
UCL315094,0,0,0,5,5,3,0,0,0,16,27,16,41,89,95,103,16,3,0,390,0,3,0,0,0,4,0,0,0,8,0,0,0,6,3,0,0,0,0,11,0,0,4,5,8,5,4,0,0,27,0,0,0,3,0,0,0,0,0,5,0,8,12,12,11,17,4,0,0,70,0,0,0,0,3,0,0,0,0,11,11,9,13,21,22,11,9,0,0,90,16,7,6,4,9,9,0,0,0,51,0,0,6,6,8,8,6,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,13,0,0,0,0,0,8,0,0,0,8,0,0,8,5,8,0,6,0,0,29,6,5,6,5,7,12,5,0,0,36,0,0,4,11,12,11,3,0,0,33,0,0,12,17,9,10,0,0,0,57,0,5,26,26,49,57,9,0,0,164,0,0,0,0,0,0,0,0,0,8
UCL315095,6,0,7,0,5,9,0,0,0,19,33,47,110,74,93,74,18,6,5,453,9,35,133,61,55,32,11,0,0,341,0,0,0,3,5,0,0,0,0,10,0,12,22,22,9,17,9,3,0,87,0,0,3,0,0,7,0,0,0,13,0,0,4,8,5,7,6,0,0,28,0,0,0,0,4,5,5,0,0,16,22,8,10,15,19,10,3,0,0,90,14,9,13,8,13,8,3,0,0,63,6,8,5,12,10,14,4,0,0,43,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,7,0,0,3,0,0,0,16,0,3,4,0,12,6,6,0,0,29,0,0,3,8,16,6,5,0,0,39,0,8,15,12,13,12,8,0,0,70,0,4,15,18,16,11,0,0,0,72,0,0,0,0,0,0,0,0,0,0
UCL315096,0,0,5,3,0,0,0,0,0,11,66,95,202,160,174,134,27,3,0,861,4,6,3,6,3,6,6,0,0,28,9,20,81,62,43,41,3,0,0,258,4,17,28,30,27,31,0,0,0,151,0,0,0,0,5,5,0,0,0,11,12,13,49,32,22,11,3,0,0,146,0,4,26,19,22,13,0,0,0,80,41,15,31,22,32,20,3,0,0,164,29,8,16,7,9,10,0,0,0,79,0,6,22,17,35,28,0,0,0,110,0,0,0,4,0,0,0,0,0,9,0,0,7,4,4,6,3,0,0,28,0,5,4,3,3,4,0,0,0,16,9,7,25,21,18,14,0,0,0,90,3,0,15,7,7,3,0,0,0,42,0,7,13,21,20,11,4,0,0,70,0,8,10,20,31,11,3,0,0,91,9,26,47,31,34,36,9,0,0,194,0,0,4,3,0,5,0,0,0,9
UCL315097,0,4,0,3,3,0,0,0,0,12,30,53,92,98,101,57,17,0,0,452,0,4,0,3,5,0,0,0,0,11,0,0,0,3,0,0,0,0,0,3,6,9,17,22,23,15,0,0,0,91,0,0,0,3,3,7,0,0,0,17,4,14,27,17,19,7,5,0,0,104,3,7,4,3,3,4,0,0,0,17,15,10,29,9,14,4,0,0,0,89,17,5,10,4,11,4,0,0,0,49,0,0,10,8,14,12,3,0,0,57,0,4,3,0,0,3,0,0,0,7,0,0,4,5,0,0,0,0,0,15,0,0,3,0,4,0,0,0,0,9,0,5,9,9,7,0,0,0,0,34,0,4,4,3,5,0,0,0,0,19,0,13,27,14,22,12,4,0,0,93,0,3,12,25,10,14,0,0,0,72,5,11,26,34,28,20,3,0,0,133,0,0,0,0,0,0,0,0,0,3
UCL315098,0,5,9,5,7,4,0,0,0,32,55,114,310,240,230,127,26,0,0,1097,0,0,6,0,5,0,3,0,0,16,11,51,249,209,232,118,11,0,0,887,11,30,63,25,18,16,3,0,0,157,0,0,3,0,5,0,0,0,0,6,3,18,22,13,33,14,3,0,0,113,6,0,4,8,3,0,0,0,0,30,41,9,19,22,26,10,0,0,0,130,23,18,26,25,15,24,6,0,0,143,5,9,10,17,24,7,5,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,10,0,4,0,3,0,0,21,0,0,12,4,7,3,0,0,0,31,5,20,29,20,21,12,0,0,0,102,0,0,25,23,20,15,4,0,0,89,3,23,70,71,40,25,3,0,0,231,6,17,69,50,58,46,13,0,0,253,0,0,0,0,0,0,0,0,0,4
UCL315099,0,3,5,7,11,0,0,0,0,27,119,90,217,259,238,120,24,0,4,1062,0,4,6,12,10,6,4,0,0,53,0,0,9,11,12,9,0,0,0,39,11,13,38,35,30,21,3,0,0,147,0,0,6,13,8,4,0,0,0,35,15,23,52,39,43,21,0,0,0,198,0,4,12,20,21,11,3,0,0,70,56,22,38,43,34,17,4,0,0,207,78,13,16,8,5,7,4,0,0,126,4,8,15,36,31,18,0,0,0,106,3,0,0,4,3,0,0,0,0,6,0,5,16,20,14,7,0,0,0,61,0,0,4,3,4,4,0,0,0,17,4,15,21,18,10,9,0,0,0,79,4,0,9,11,14,13,0,0,0,49,0,4,20,35,21,14,0,0,0,99,4,18,43,72,73,28,7,0,0,243,8,33,74,87,78,43,12,0,0,331,8,4,3,9,0,3,0,0,0,30
UCL315100,0,0,0,0,0,0,0,0,0,3,21,27,44,69,60,48,3,0,0,269,0,0,3,0,3,0,0,0,0,8,0,0,0,3,0,3,0,0,0,7,4,4,6,10,11,16,0,0,0,40,0,0,0,3,0,0,0,0,0,3,8,6,11,15,12,6,0,0,0,54,5,0,3,3,3,5,0,0,0,13,11,8,9,9,10,6,0,0,0,56,19,7,3,4,4,3,0,0,0,34,0,0,5,9,11,8,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,0,0,3,0,3,0,0,0,0,4,0,3,0,9,3,4,0,0,0,21,0,0,8,0,4,3,0,0,0,20,0,4,7,12,20,14,0,0,0,52,0,6,3,14,11,4,3,0,0,44,0,11,21,19,15,20,0,0,0,85,0,0,0,3,3,0,0,0,0,6
UCL315101,0,0,0,0,3,0,0,0,0,8,25,24,85,116,111,81,16,0,0,463,7,0,4,10,6,0,0,0,0,32,0,0,3,5,0,0,0,0,0,13,5,0,12,20,14,18,0,0,0,69,0,0,0,10,0,5,0,0,0,12,3,4,24,31,23,31,0,0,0,117,3,0,3,5,4,11,0,0,0,23,19,9,13,13,21,13,0,0,0,88,16,7,0,6,0,0,0,0,0,35,0,0,4,10,12,14,5,0,0,51,0,0,0,4,0,0,0,0,0,8,0,3,10,3,7,4,0,0,0,26,4,0,3,4,0,0,0,0,0,9,0,0,10,13,14,4,4,0,0,48,0,0,3,9,0,3,0,0,0,27,0,0,13,19,9,11,0,0,0,52,3,0,13,39,23,28,3,0,0,111,0,3,28,35,33,37,3,0,0,140,0,0,0,3,0,0,0,0,0,13
UCL315102,0,0,0,3,0,3,0,0,0,9,10,22,55,59,73,73,13,0,0,304,0,0,4,4,0,8,0,0,0,19,0,0,3,0,8,0,0,0,0,4,4,10,14,17,13,12,4,0,0,60,0,0,0,3,7,0,0,0,0,8,5,9,14,12,10,7,3,0,0,57,0,0,0,3,3,5,0,0,0,11,16,5,13,4,11,13,0,0,0,70,4,8,3,5,5,3,0,0,0,26,0,0,0,4,3,0,0,0,0,17,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,20,0,0,3,3,0,5,0,0,0,13,0,4,7,8,8,7,0,0,0,43,0,3,18,15,15,19,0,0,0,70,0,12,15,13,35,39,11,0,0,128,0,0,0,0,0,0,0,0,0,0
