UCL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
UCL121024,7,19,10,8,14,8,0,66,10,17,5,3,28,4,0,63,5,7,9,4,13,0,0,42,0,0,4,0,4,0,0,15,59,105,65,47,110,29,0,408
UCL121025,14,30,19,6,9,0,0,84,3,12,18,11,12,0,0,61,3,8,3,0,13,0,0,31,0,4,0,0,0,0,0,5,106,144,84,39,79,3,0,464
UCL121026,36,79,38,24,33,16,0,222,32,66,28,28,55,10,0,218,11,25,10,13,24,9,0,90,4,0,0,0,5,4,0,18,185,306,110,100,163,80,0,945
UCL121027,17,43,14,11,12,0,0,98,4,12,14,4,7,0,0,54,5,3,9,0,4,6,0,20,0,4,0,0,3,0,0,9,103,159,73,36,79,32,0,483
UCL121028,24,65,25,27,29,6,0,176,15,42,36,29,31,5,0,164,4,15,4,11,18,3,0,63,0,0,0,0,4,0,0,10,118,226,115,99,129,35,0,721
UCL121029,10,27,8,6,30,4,0,87,0,17,9,10,20,0,0,59,7,3,7,8,7,4,0,38,0,0,0,0,3,0,0,5,74,112,58,45,131,36,0,459
UCL121030,16,43,18,15,45,19,0,148,9,27,18,7,38,13,0,114,5,10,4,0,20,9,0,49,0,4,0,0,3,3,0,10,118,176,83,41,217,99,5,746
UCL121031,29,59,51,20,30,9,0,203,14,58,48,32,27,4,0,176,0,8,14,8,13,0,0,49,0,0,0,0,3,4,0,17,131,241,172,107,123,42,0,818
UCL121032,23,28,14,13,25,3,0,106,9,27,17,24,43,12,0,126,8,15,17,6,29,16,0,96,7,3,0,3,19,3,0,39,87,152,68,63,193,70,0,635
UCL121033,7,29,10,3,8,3,0,57,5,20,3,3,4,6,0,45,5,5,4,3,9,0,0,21,0,0,0,0,0,0,0,0,59,128,69,28,44,45,0,376
