UCL_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
UCL321054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,16,0,0,0,5,0,0,0,0,0,6,7,0,0,0,0,7,0,0,0,13,0,7,12,6,5,11,4,0,0,31,0,0,0,0,3,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,4,0,0,0,9,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,0,0,0,3,0,4,0,0,10,0,0,6,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9
UCL321055,0,5,0,3,8,3,4,4,0,27,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,3,0,0,0,14,0,0,0,0,0,4,0,0,0,11,0,3,4,6,19,8,4,0,0,46,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,3,0,0,16,0,0,0,5,0,4,0,0,0,11,0,0,9,0,5,8,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,4,0,0,0,0,0,0,11,15,3,8,16,3,0,0,60,0,0,3,4,5,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,6,3,10,0,0,0,0,0,13,0,6,0,0,0,4,0,0,0,11
UCL321056,9,0,10,0,4,5,0,0,0,30,0,0,0,3,0,0,0,0,0,9,0,0,0,3,8,5,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,4,8,0,4,0,0,0,19,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,3,0,0,0,0,10
UCL321057,0,0,4,0,3,5,0,0,0,13,0,0,0,3,0,0,0,0,0,4,0,0,5,6,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,11,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,4,0,0,0,8
UCL321058,0,3,11,9,0,0,0,0,0,32,0,0,3,0,0,0,0,0,0,8,0,3,5,8,0,3,0,0,0,18,0,0,0,5,5,3,0,0,0,11,3,3,5,8,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,5,13,3,0,5,3,0,0,0,0,18,5,0,0,0,0,0,0,0,0,5,0,4,0,0,5,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,3,0,0,0,0,0,14,0,0,0,0,9,0,0,0,0,11,0,0,5,3,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,3,0,0,6,4,5,4,0,0,14
UCL321059,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,0,14,0,0,0,0,4,0,0,0,0,4,3,8,14,14,16,15,4,0,0,71,0,0,0,5,0,3,0,0,0,13,0,6,0,3,5,5,0,3,0,26,14,5,0,0,0,0,0,0,0,25,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,6,3,8,0,0,0,0,28,0,0,0,5,3,0,0,0,0,10,0,0,0,0,11,3,0,0,0,12,0,0,3,3,9,9,0,0,0,23,0,5,0,8,4,4,0,0,0,23,0,0,0,4,0,0,0,0,0,6,0,3,0,4,5,0,0,0,0,14,0,0,3,0,0,3,0,0,0,10
UCL321060,0,5,3,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,6,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,4,4,3,0,0,3,4,8,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,3,0,6,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,5,0,4,0,0,0,10
UCL321061,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0,0,16,0,0,0,0,0,5,0,0,0,0,0,0,0,4,3,5,4,0,0,9,0,0,0,0,0,7,6,0,0,12,0,0,3,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,3,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,10,0,0,3,0,0,3,0,0,0,7
UCL321062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,13,3,8,0,0,48,0,0,3,0,4,6,0,0,0,15,0,0,0,3,4,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7
UCL321063,0,0,4,0,0,0,4,0,0,10,0,0,0,0,0,3,0,0,0,8,6,0,0,0,4,6,0,0,0,15,0,0,0,0,0,3,0,0,0,3,3,6,7,13,8,11,0,0,0,52,0,0,0,0,5,5,0,0,0,11,0,5,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,3,0,5,0,0,0,0,9,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,9,0,0,0,9,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,0,0,0,7,5,0,0,0,8,0,0,0,4,5,4,0,0,0,22,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,0,0,0,0,10,0,0,0,0,0,3,0,0,0,9
UCL321064,0,0,5,0,6,7,11,0,0,23,0,0,0,0,0,5,0,0,0,3,0,3,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,6,0,7,8,3,0,0,21,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,7,0,0,0,9,0,0,0,0,0,0,0,0,0,8
UCL321065,0,0,4,0,6,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,4,5,6,7,4,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,4,4,8,3,15,0,0,0,33,0,0,0,0,6,6,0,0,0,8,6,4,0,3,9,0,0,0,0,23,4,0,0,7,0,0,0,0,0,9,0,0,4,6,6,16,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,7,0,0,0,0,0,0,3,0,0,10,0,0,4,0,3,4,0,0,0,14,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,6,0,0,0,4,7,6,0,0,0,15
UCL321066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL321067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,15,18,5,0,0,0,59,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7
UCL321068,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,0,0,0,18,0,0,0,4,0,0,0,0,0,4,0,6,7,16,9,4,0,0,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,15,0,0,0,0,3,3,0,0,0,4,0,0,0,0,5,4,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,6,0,0,3,5,13,4,0,0,0,22,0,0,0,6,4,0,0,0,0,13,0,0,0,8,7,3,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,4,0,5,0,5,6,0,0,0,18
UCL321069,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,4,0,0,0,3,4,4,0,3,6,9,5,0,0,22,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,9,3,0,0,8,0,3,0,0,0,14,0,0,0,0,7,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,6,0,0,4,0,6,4,0,0,0,8,0,0,0,0,6,0,0,0,0,12,0,0,0,0,3,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,0,0,4,4,5,8,0,0,0,18
UCL321070,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,5,0,0,0,19,0,0,0,0,0,0,0,0,0,4,3,4,14,10,11,3,0,0,0,33,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,9,0,5,0,0,5,0,0,0,0,5,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,4,0,0,0,7,0,0,4,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7
UCL321071,0,0,4,0,5,3,0,0,0,20,0,0,3,0,4,0,0,0,0,7,0,0,0,0,0,6,0,0,0,4,0,0,0,0,3,3,0,0,0,10,4,0,6,4,3,3,0,0,0,25,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,4,4,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,8,0,3,0,4,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7
UCL321072,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,7,10,0,0,0,0,27,0,0,0,3,0,0,0,0,0,8,0,5,15,3,11,0,0,0,0,38,0,0,0,9,3,0,0,0,0,16,4,0,0,0,7,0,0,0,0,11,4,0,0,0,0,0,0,0,0,3,0,0,4,8,7,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,4,4,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,10,0,0,4,7,0,0,0,0,0,12
UCL321073,3,5,6,8,3,0,3,0,0,29,0,0,3,0,0,3,0,0,0,4,0,0,5,5,11,5,0,0,0,24,0,0,3,0,0,0,0,0,0,6,0,0,15,7,11,7,0,0,0,49,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,0,0,11,6,0,10,5,3,5,0,0,0,23,0,0,3,0,5,6,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,11,5,0,0,11,0,0,0,5,5,7,0,0,0,17,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,6,0,0,3,0,0,0,10
UCL321074,0,3,5,3,3,10,0,0,0,15,0,0,0,0,0,0,0,0,0,9,4,0,5,3,3,3,0,0,0,19,0,0,0,4,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,8,3,4,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,5,7,0,0,0,18
UCL321075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,19,5,0,0,0,40,0,0,0,0,7,3,0,0,0,11,0,5,16,21,19,12,0,0,0,79,0,0,0,0,5,3,0,0,0,13,6,0,4,4,3,5,0,0,0,22,10,0,0,0,0,0,0,0,0,14,0,0,0,3,11,7,0,0,0,24,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,21,0,0,3,3,4,4,0,0,0,13,0,0,3,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,10,7,6,6,0,0,0,22,0,0,0,7,4,0,0,0,0,17
UCL321076,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,4,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,11
UCL321077,3,0,0,0,0,0,0,0,0,7,0,0,16,14,15,4,6,0,0,58,0,0,3,6,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,10,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,3
UCL321078,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,4,0,4,6,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,5,3,5,8,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,12,4,0,0,0,0,6,0,0,0,4,0,0,0,0,12,9,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,4
UCL321079,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,4,0,6,0,0,0,0,0,9,5,9,17,4,12,11,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,3,0,0,13,0,0,8,0,0,3,0,0,0,9,0,3,0,5,4,8,7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,9,0,0,4,3,3,0,0,0,0,13,0,3,14,9,4,8,0,0,0,50,0,0,5,7,4,5,0,0,0,22,0,3,0,3,6,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,3,3,3,0,0,17
