UCL_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
UCL215097,155,148,316,190,181,124,104,175,39,1427
UCL215098,64,95,112,101,57,63,55,75,7,626
UCL215099,62,78,95,79,55,52,45,92,18,566
UCL215100,48,77,92,67,40,49,26,48,3,457
UCL221001,30,43,72,49,40,45,32,62,10,380
UCL221002,55,59,70,54,49,18,29,60,3,389
UCL221003,22,26,44,40,35,31,39,33,5,273
UCL221004,107,137,97,49,80,57,33,43,11,601
UCL221005,76,60,39,25,26,19,28,26,5,302
UCL221006,52,73,49,33,33,23,20,32,4,307
UCL221007,13,43,31,24,27,20,21,25,8,212
UCL221008,59,44,33,31,18,21,24,36,3,265
UCL221009,25,48,58,37,31,17,17,28,6,270
UCL221010,34,31,46,52,23,19,23,28,6,266
UCL221011,35,76,63,31,58,35,14,30,4,348
UCL221012,38,56,45,28,23,30,6,20,4,251
UCL221013,28,34,67,32,43,28,32,45,5,314
UCL221014,61,102,59,59,62,38,7,31,6,429
UCL221015,51,54,36,23,32,14,0,19,3,230
UCL221016,52,75,84,65,75,43,27,39,6,470
UCL221017,40,34,67,66,35,42,36,52,7,382
UCL221018,61,51,53,40,38,31,31,68,5,376
UCL221019,33,80,46,43,29,26,12,41,9,319
UCL221020,33,41,51,45,32,18,26,49,0,294
UCL221021,28,50,62,57,28,45,20,59,3,348
UCL221022,53,48,48,29,30,15,9,29,0,259
UCL221023,17,12,24,29,12,22,15,34,4,165
UCL221024,45,81,48,53,42,36,17,40,0,375
UCL221025,41,43,22,35,26,12,22,43,20,264
UCL221026,30,21,47,45,22,26,16,40,13,258
UCL221027,39,30,32,31,27,20,29,34,4,238
UCL221028,88,114,25,26,29,30,3,20,8,349
UCL221029,33,50,67,49,38,29,43,41,8,355
UCL221030,28,30,23,12,16,24,5,19,6,157
UCL221031,47,52,68,32,37,18,22,17,4,288
UCL221032,25,44,28,33,24,22,20,29,3,240
UCL221033,33,32,21,25,14,12,23,34,3,201
UCL221034,44,51,72,55,86,52,58,35,12,455
UCL221035,23,19,28,33,24,20,24,52,3,227
UCL221036,49,88,66,31,43,36,20,46,7,379
UCL221037,63,54,30,35,37,27,30,37,3,297
UCL221038,39,59,108,59,59,29,24,44,5,428
UCL221039,60,53,50,56,43,26,25,41,4,354
UCL221040,36,48,52,52,26,26,11,39,12,290
UCL221041,20,39,73,49,32,22,35,29,7,314
UCL221042,23,32,40,27,21,20,26,56,7,247
UCL221043,40,26,35,40,25,18,12,27,5,233
UCL221044,74,71,80,55,50,29,14,79,0,458
UCL221045,53,117,50,42,33,17,18,32,0,362
UCL221046,75,115,131,115,103,83,57,107,6,787
UCL221047,42,55,87,39,48,22,15,37,3,354
UCL221048,38,31,37,24,25,16,18,44,3,238
UCL221049,57,91,70,46,44,33,10,21,0,385
UCL221050,35,48,52,53,32,22,21,30,6,295
UCL221051,41,52,24,36,35,21,36,48,4,294
UCL221052,36,28,52,26,36,25,28,29,10,268
UCL221053,22,46,38,35,21,20,14,33,6,233
UCL221054,44,59,42,34,21,21,20,35,5,285
UCL221055,67,86,46,26,50,30,8,23,4,344
UCL221056,17,10,22,18,5,16,20,33,5,154
UCL221057,38,30,82,38,39,33,37,49,20,364
UCL221058,30,52,45,32,23,12,12,29,6,239
UCL221059,70,60,63,43,42,42,18,51,6,403
UCL221060,21,38,28,31,23,12,5,9,7,167
UCL221061,50,56,41,27,34,35,3,21,3,277
UCL221062,41,30,33,32,31,23,30,66,10,297
UCL221063,35,33,28,17,25,18,24,36,6,213
UCL221064,41,33,106,53,32,20,28,34,3,359
UCL221065,54,70,41,15,22,16,4,8,4,221
UCL221066,29,34,74,40,35,28,26,37,3,321
UCL221067,21,13,40,37,20,30,29,68,3,265
UCL221068,24,41,40,34,25,20,11,31,7,219
UCL221069,57,110,89,64,43,36,6,54,10,480
UCL221070,41,51,62,51,40,28,45,59,13,394
UCL221071,43,37,61,37,32,35,38,75,8,347
UCL221072,14,32,54,25,27,21,20,32,0,226
UCL221073,22,51,64,45,38,22,20,20,0,275
UCL221074,62,99,37,34,39,18,13,26,8,338
UCL221075,75,86,58,39,41,37,7,25,10,366
UCL221076,61,93,55,49,28,25,8,30,7,352
UCL221077,36,36,28,35,25,19,20,34,7,237
UCL221078,29,25,54,33,38,20,33,33,9,282
UCL221079,30,25,22,25,27,21,17,29,5,195
UCL221080,32,47,44,19,41,16,30,22,3,255
UCL221081,43,30,26,12,23,13,13,29,0,201
UCL221082,80,111,56,55,81,44,36,41,15,507
UCL221083,78,164,51,50,47,40,12,33,3,473
UCL221084,41,60,74,66,53,18,39,44,6,395
UCL222001,24,36,27,13,14,15,4,10,8,157
UCL222002,39,61,30,17,23,17,0,13,4,215
UCL222003,17,22,28,28,17,17,12,16,8,167
UCL222004,5,0,3,17,4,7,15,5,4,63
UCL222005,7,12,16,13,9,5,13,21,0,103
UCL222006,17,38,34,22,20,16,8,12,0,166
UCL222007,16,21,17,7,17,5,0,0,4,83
UCL222008,27,49,34,26,20,6,7,17,0,187
UCL222009,19,23,20,15,18,16,15,17,0,137
UCL222010,28,20,43,7,35,18,24,16,3,186
UCL222011,23,44,33,19,18,26,8,23,7,196
UCL222012,31,29,35,18,32,11,10,22,3,186
UCL222013,12,16,24,18,7,9,9,12,0,105
UCL222014,11,27,54,26,17,18,27,19,6,207
UCL222015,14,34,28,26,22,15,23,30,3,191
UCL222016,18,7,13,14,7,9,24,17,0,111
UCL222017,12,5,10,7,3,3,0,7,3,61
UCL222018,61,67,24,61,15,19,6,28,0,288
UCL222019,17,26,43,28,17,14,24,18,8,196
UCL222020,16,20,14,9,14,9,10,7,4,105
UCL222021,20,13,30,12,15,13,11,13,0,129
UCL222022,13,21,19,10,8,6,7,13,6,107
UCL222023,19,34,37,34,31,23,20,29,5,226
UCL222024,165,101,85,215,45,82,76,120,14,898
UCL222025,20,18,9,12,4,12,4,20,0,86
UCL222026,20,42,17,30,22,21,6,15,3,170
UCL222027,21,20,29,19,13,6,18,23,0,158
UCL222028,24,22,39,19,16,8,11,15,3,149
UCL222029,15,10,10,9,5,3,9,19,0,71
UCL222030,15,26,12,8,8,11,0,8,0,88
UCL222031,18,10,25,16,11,8,9,28,0,119
UCL222032,58,46,32,40,17,11,13,25,4,252
UCL222033,26,30,29,25,10,7,10,21,7,166
UCL222034,13,14,39,22,8,3,8,24,6,133
UCL222035,12,9,7,13,10,7,6,13,0,82
