UCL_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
UCL122109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,4
UCL122110,54,0,0,0,0,54,63,0,0,0,0,63,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,14,5,0,0,0,0,5,0,0,0,0,0,0,141,0,0,0,0,141
UCL122111,35,0,0,0,0,35,69,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,112,0,0,0,0,112
UCL122112,68,0,0,7,0,74,40,0,0,0,0,40,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,3,0,0,0,0,3,9,0,0,0,0,9,129,0,0,7,0,139
UCL122113,38,0,0,0,0,38,35,0,0,0,0,35,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,80
UCL122114,69,0,0,22,0,91,26,0,0,0,0,26,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,31,0,0,0,0,35,8,0,0,0,0,8,10,0,0,0,0,9,144,0,0,22,0,168
UCL122115,59,0,0,0,0,61,36,0,0,0,0,34,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,0,0,3,7,0,0,0,0,7,115,0,0,0,0,114
UCL122116,71,0,0,0,0,71,29,0,0,0,0,29,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,20,0,0,0,0,0,0,9,0,0,0,0,9,130,3,0,0,0,133
UCL122117,56,0,0,0,0,52,81,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,145
UCL122118,30,0,0,0,0,30,64,0,0,0,0,64,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,7,0,0,0,0,6,114,0,0,0,0,113
UCL122119,98,0,0,0,0,98,38,0,0,0,0,38,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,9,0,0,3,0,12,0,0,0,0,0,0,25,0,0,3,0,28,7,0,0,0,0,5,10,0,0,4,0,13,169,0,0,11,0,186
UCL122120,62,0,0,0,0,62,75,0,0,0,0,78,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,0,22,0,0,0,0,0,0,3,0,0,0,0,3,164,0,6,0,0,167
UCL122121,34,0,0,0,0,34,49,0,0,0,0,49,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,14,0,0,0,0,14,115,0,0,0,0,115
UCL122122,65,0,0,0,0,65,69,0,0,0,0,69,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,6,0,0,0,0,6,0,0,0,0,0,0,21,0,0,0,0,20,4,0,0,0,0,4,9,0,0,0,0,9,159,0,4,0,0,161
UCL122123,52,0,0,0,0,52,26,0,0,0,0,30,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,7,97,0,0,0,0,96
UCL122124,20,0,0,0,0,20,50,0,0,0,0,50,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,3,0,0,0,0,3,0,0,0,0,0,0,92,0,0,0,0,92
UCL122125,53,0,0,0,0,51,14,0,0,0,0,13,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,10,4,0,0,0,10,0,0,0,0,0,0,21,4,0,0,0,26,5,0,0,0,0,5,15,0,0,0,0,15,105,4,0,0,4,115
UCL122126,56,0,0,0,0,59,73,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,135
UCL122127,64,0,0,0,0,71,26,0,0,0,0,26,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,22,0,4,0,0,24,0,0,0,0,0,0,9,0,0,0,0,9,125,0,4,0,0,129
UCL122128,43,0,0,0,0,43,24,0,0,0,0,24,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,19,0,0,0,0,0,0,4,0,0,0,0,4,90,0,0,0,0,91
UCL122129,67,0,0,0,0,61,35,0,0,0,0,35,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,15,0,0,0,0,15,3,0,0,0,0,3,4,0,0,0,0,4,118,3,0,0,0,118
UCL122130,30,0,0,0,0,30,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,13,0,0,0,0,13,77,0,0,0,0,77
UCL122131,30,0,48,0,0,81,10,0,18,0,0,30,7,0,24,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,0,5,36,9,5,11,3,4,29,0,0,0,0,0,0,29,3,52,3,4,92,14,0,8,0,0,20,9,0,23,0,12,42,89,0,148,5,22,271
UCL122132,75,0,0,0,0,80,36,0,0,0,0,36,8,0,0,0,0,8,7,0,0,0,0,7,11,0,0,0,0,11,12,0,0,0,0,12,7,0,0,0,0,4,0,0,0,0,0,0,43,0,0,0,0,46,0,0,0,0,0,4,17,0,0,0,0,15,173,0,0,7,0,182
UCL122133,42,0,0,33,0,76,11,0,0,0,0,10,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,4,0,0,25,0,30,0,0,0,0,0,0,15,0,0,30,0,41,5,0,0,0,0,5,8,0,0,29,0,40,79,0,0,97,0,171
UCL122134,61,0,0,0,0,61,66,0,0,0,0,66,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0,0,12,143,0,0,0,0,143
UCL122135,20,0,0,0,0,25,18,0,0,0,0,22,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,8,0,0,0,0,14,0,0,0,0,0,0,29,6,0,0,0,32,0,0,0,0,0,3,8,0,0,6,0,18,70,6,0,8,6,97
UCL122136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,5,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,38,0,3,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,40,0,3,0,0,40
UCL122137,63,0,0,0,0,66,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,14,0,0,0,0,14,12,0,0,0,0,7,0,0,0,0,0,3,25,0,7,0,0,31,4,0,0,0,0,4,14,0,0,0,0,20,126,0,10,0,0,141
UCL122138,69,0,0,0,0,72,37,0,0,0,0,37,12,0,0,0,0,12,0,0,0,0,0,0,5,0,3,0,0,4,20,0,0,0,0,20,4,0,0,0,0,4,0,0,3,0,0,3,37,0,6,0,0,38,0,0,0,0,0,0,16,0,0,0,0,16,164,0,6,0,0,169
UCL122139,58,0,0,0,0,58,38,0,0,0,0,38,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,4,112,0,0,0,0,113
UCL122140,44,0,0,0,0,44,21,0,0,0,0,21,5,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,13,0,0,0,0,0,0,12,0,0,0,0,12,83,0,0,0,3,88
UCL122141,45,0,0,0,0,45,74,0,0,0,0,74,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,10,0,0,0,0,10,145,0,0,0,0,147
UCL122142,31,0,0,0,0,30,30,0,0,0,0,33,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,4,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,19,0,0,0,0,0,0,10,0,0,0,0,7,85,0,0,4,0,95
UCL122143,30,4,0,0,0,35,21,0,0,0,0,22,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,14,0,0,0,0,15,86,4,0,0,0,88
UCL122144,70,0,0,0,0,69,44,0,0,0,0,46,18,4,8,0,0,30,0,0,0,0,0,0,0,3,0,0,0,3,22,0,6,0,0,22,3,0,0,0,0,3,0,0,0,0,0,0,39,8,8,0,0,56,0,0,0,0,0,0,6,0,5,0,0,10,161,8,15,0,0,184
UCL122145,62,0,0,0,0,68,20,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,5,0,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,17,0,0,0,0,0,0,16,0,0,0,0,16,122,0,0,0,0,122
UCL122146,65,0,0,0,0,70,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0,9,0,0,0,0,9,107,0,0,0,0,113
UCL122147,44,0,0,0,0,43,21,0,0,0,0,22,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,8,0,0,0,0,13,101,0,0,7,0,103
UCL122148,65,0,0,0,0,65,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,14,5,0,0,0,0,5,13,0,0,10,0,20,102,0,0,13,0,109
UCL122149,60,0,0,0,0,62,46,0,0,0,0,46,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,4,0,0,0,0,4,19,0,0,0,0,19,146,0,0,0,0,146
UCL122150,62,0,0,0,0,61,87,4,0,0,0,95,12,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,15,0,0,0,0,0,0,8,0,0,0,0,12,178,8,0,0,0,183
UCL122151,66,0,0,8,0,67,33,0,0,0,0,29,5,0,0,0,0,9,0,0,3,0,0,4,3,0,0,0,0,3,7,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,23,0,3,0,0,26,0,0,0,0,0,0,11,0,0,3,0,16,128,4,3,12,0,148
UCL122152,90,0,0,0,0,90,33,0,0,0,0,33,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,5,0,0,0,0,5,15,0,0,0,0,15,154,3,0,0,0,156
UCL122153,69,0,0,3,0,69,55,0,0,0,0,56,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13,0,0,0,7,0,8,0,0,0,0,0,0,13,0,0,7,0,24,0,0,0,0,0,0,11,0,0,3,0,8,149,0,0,13,0,163
UCL122154,70,0,0,0,0,74,67,0,0,0,0,66,11,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,0,28,0,0,0,0,0,0,7,0,0,0,0,7,166,0,7,4,0,171
UCL122155,83,0,0,5,0,83,61,0,0,0,0,65,12,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,12,6,0,0,0,0,5,0,0,0,0,0,0,34,7,0,0,0,39,8,0,0,0,0,8,20,0,0,0,8,30,203,5,0,4,8,218
UCL122156,79,0,0,0,0,77,61,0,0,0,0,58,7,0,3,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,23,0,7,0,0,29,5,0,0,0,0,5,0,0,0,0,0,4,164,0,8,0,0,171
UCL122157,52,0,0,0,0,52,62,0,0,0,0,62,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,125,0,0,0,0,125
UCL122158,38,0,0,0,0,47,18,0,0,0,0,18,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,4,0,0,0,0,8,0,0,0,0,0,0,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,88
UCL131001,90171,452,201,1654,673,93157,65169,297,113,294,191,66064,9121,193,106,47,77,9541,153,9,9,7,11,184,365,17,8,0,4,401,11179,81,126,223,160,11773,3103,36,23,396,226,3784,195,3,0,16,6,220,24111,341,275,698,483,25902,8382,69,106,245,205,9002,16924,178,87,884,170,18249,204759,1344,781,3768,1717,212373
UCL179997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL201001,387301,69772,38569,1177,310,497137,466811,84571,56706,666,324,609074,167599,88357,138843,1672,567,397043,11337,9681,12298,10,30,33356,1927,2099,3611,20,38,7699,38570,15305,16916,585,214,71590,6005,1785,1819,995,125,10725,1188,543,609,28,22,2385,226620,117773,174094,3310,998,522793,13209,8742,6268,155,83,28455,45708,14695,20213,1401,355,82376,1139648,295563,295856,6708,2068,1739836
UCL203001,11988,1191,201,23,12,13418,12577,802,95,15,15,13511,7306,2085,573,11,21,9998,873,472,74,0,3,1413,146,159,36,0,6,347,1591,340,94,7,10,2035,131,48,19,12,6,216,45,25,0,0,0,72,10092,3124,790,32,42,14079,448,154,22,4,0,628,1493,447,97,36,11,2077,36592,5725,1201,111,82,43713
UCL203002,12381,599,53,50,21,13111,13016,372,45,8,21,13460,6150,1401,166,14,10,7737,865,410,83,0,0,1355,217,117,24,0,3,360,1972,235,38,4,8,2260,154,22,6,17,7,208,47,11,7,0,0,59,9401,2200,315,39,35,11985,427,54,5,0,0,487,1604,324,61,28,5,2020,36831,3552,482,130,84,41074
UCL203003,19494,1725,397,122,18,21752,21707,1374,333,13,18,23452,11225,3244,1254,34,33,15783,1515,861,108,0,0,2481,283,339,67,5,9,690,2565,594,163,20,25,3369,254,89,29,143,11,534,81,47,5,0,0,133,15914,5168,1629,205,73,22987,654,407,27,53,8,1150,2540,722,187,97,11,3558,60310,9402,2565,487,133,72894
UCL211001,4008,205,23,3,0,4247,4709,139,22,0,3,4872,2500,679,146,3,0,3330,595,208,57,0,0,858,43,15,6,0,0,62,548,94,20,6,0,665,227,13,0,0,0,243,23,12,0,0,0,31,3924,1024,229,11,0,5190,102,17,3,0,4,130,639,196,25,56,4,920,13386,1577,300,73,21,15357
UCL211002,4718,458,11,0,0,5195,11093,449,26,0,14,11579,4957,663,31,0,4,5665,191,124,0,0,0,316,60,55,0,0,0,117,895,91,9,0,0,998,118,53,0,0,0,176,37,14,0,0,0,51,6262,1003,41,10,4,7318,159,35,3,0,0,203,1670,252,13,0,4,1937,23906,2195,96,7,24,26227
UCL212001,1996,176,10,23,0,2200,3629,120,0,0,0,3757,857,290,0,5,4,1158,138,26,36,0,0,198,15,53,4,0,0,69,240,55,15,0,0,304,19,5,10,13,0,47,5,8,0,0,0,15,1271,437,60,18,3,1789,139,16,0,0,0,157,265,54,5,14,0,339,7303,803,84,58,8,8244
UCL212002,1847,164,0,57,0,2077,1543,67,0,5,4,1614,684,242,14,0,0,939,203,156,0,0,0,360,24,7,0,0,0,31,249,47,0,4,5,302,25,5,0,7,0,44,3,0,0,0,0,4,1190,457,13,13,3,1683,70,33,0,0,0,100,234,94,4,14,0,351,4881,816,15,88,10,5815
UCL212003,3631,312,142,105,11,4203,3825,148,60,5,0,4037,2066,565,466,10,7,3120,342,179,104,0,0,632,55,19,63,0,0,143,752,134,92,4,13,997,134,16,38,46,8,245,28,12,16,4,0,66,3387,935,783,64,29,5199,202,38,71,7,6,325,778,165,171,41,7,1174,11829,1603,1224,218,58,14935
UCL212004,3326,175,23,10,0,3536,2910,116,6,0,0,3033,914,132,26,5,0,1075,24,21,0,0,0,45,21,0,0,0,0,21,278,34,9,0,0,312,24,0,0,3,0,27,9,0,0,0,0,8,1264,190,33,12,0,1493,136,7,0,0,0,147,352,47,4,23,0,428,7990,529,66,41,0,8632
UCL212005,5296,381,6,107,8,5794,5705,143,3,7,5,5866,2520,957,10,10,0,3502,585,209,14,4,0,814,112,62,25,15,0,222,925,135,3,17,7,1081,165,57,0,49,7,274,48,18,0,3,0,75,4357,1443,58,84,18,5966,232,74,0,90,0,397,1080,298,19,111,4,1503,16675,2335,81,406,37,19525
UCL212006,3784,202,265,0,0,4250,6249,94,202,0,0,6548,1571,212,399,0,0,2184,62,13,51,0,0,122,18,12,16,0,0,47,372,20,70,0,0,464,25,0,4,0,0,30,7,0,3,0,0,14,2061,255,541,0,0,2858,78,23,19,0,0,115,449,49,74,0,0,572,12617,623,1092,7,9,14339
UCL212007,2581,174,16,3,8,2783,3211,133,7,3,0,3344,1066,209,21,0,4,1294,0,3,0,0,0,3,4,0,0,0,0,4,298,37,6,0,0,341,21,0,0,13,0,30,3,0,0,0,0,0,1385,249,23,13,3,1672,162,41,0,0,0,204,254,37,9,5,0,306,7593,629,50,25,15,8314
UCL212008,3354,136,251,61,3,3809,3908,72,60,8,8,4053,1294,185,380,0,0,1872,199,14,125,0,0,337,27,13,28,0,0,69,384,29,51,3,0,463,42,0,25,32,0,96,9,0,4,0,0,20,1959,239,623,36,13,2866,62,55,32,6,0,155,443,34,106,22,0,609,9729,538,1076,125,24,11493
UCL212009,4381,398,70,17,9,4865,3817,205,63,5,0,4093,1511,593,224,22,3,2350,372,125,77,0,0,573,46,32,42,0,0,128,523,130,57,4,5,721,46,22,34,19,0,126,15,5,8,0,0,24,2522,905,446,42,5,3919,118,71,48,0,0,241,506,104,45,52,4,711,11334,1683,673,112,22,13827
UCL213001,1997,195,10,24,0,2215,1459,47,3,0,0,1512,673,203,31,4,0,916,150,79,7,0,0,240,55,48,4,0,0,111,298,37,3,0,0,344,23,10,0,4,5,37,8,9,0,0,0,20,1198,393,58,9,11,1668,64,75,0,4,0,146,278,77,15,12,4,383,5003,780,88,46,13,5924
UCL213002,2017,57,0,9,6,2092,1293,20,0,0,0,1315,436,47,0,3,3,494,63,76,0,0,0,136,25,6,0,0,0,35,232,13,5,3,0,250,18,0,0,7,0,16,3,0,0,0,0,3,768,148,0,12,3,935,51,3,0,0,0,56,205,23,0,6,0,231,4339,250,11,33,8,4638
UCL213003,1838,129,0,9,0,1982,1507,29,0,7,3,1543,515,187,0,6,0,708,150,69,3,0,0,219,26,22,0,0,0,43,227,35,0,0,0,273,25,18,0,26,0,70,9,9,0,0,0,16,954,341,3,33,3,1337,41,24,0,3,0,68,192,75,0,9,0,272,4530,594,0,58,8,5202
UCL213004,1782,97,57,44,0,1975,2148,60,29,0,0,2231,704,107,85,0,0,898,46,3,24,0,0,72,8,0,0,0,0,12,166,10,21,0,0,192,7,0,0,22,0,31,9,4,0,0,0,11,928,125,131,22,0,1208,54,3,0,4,0,65,220,22,22,30,0,295,5136,306,235,96,4,5781
UCL213005,2452,122,25,0,0,2600,2350,25,0,0,0,2368,975,86,0,4,0,1056,9,5,0,0,0,15,10,0,0,0,0,8,195,14,3,0,0,211,12,6,0,0,0,17,8,0,0,0,0,6,1202,106,0,4,0,1312,106,4,0,0,0,115,172,16,0,4,0,191,6282,273,35,3,0,6595
UCL213006,1126,121,4,0,0,1249,1722,80,10,0,0,1800,298,103,10,0,0,416,14,20,0,0,0,31,9,10,4,0,0,18,92,42,0,0,0,138,0,0,0,0,0,4,0,0,0,0,0,0,407,182,17,0,0,606,30,4,0,0,0,34,73,10,0,0,0,86,3347,401,31,0,0,3778
UCL213007,2342,75,51,20,0,2481,2102,15,13,0,3,2135,959,131,182,4,0,1276,176,65,43,0,0,288,12,5,18,0,0,36,256,16,28,0,0,299,33,9,8,14,0,59,6,4,5,0,0,14,1439,231,291,14,0,1976,81,35,11,7,0,127,276,41,42,14,7,378,6246,386,404,54,10,7100
UCL213008,1433,211,8,0,0,1647,2548,109,0,0,0,2658,740,207,17,0,5,973,26,0,0,0,0,28,22,9,15,0,0,43,171,30,0,0,0,201,18,11,4,0,0,37,9,0,0,0,0,11,983,262,37,0,5,1287,52,15,0,0,0,69,139,29,0,0,0,172,5149,621,53,0,10,5835
UCL213009,1591,108,0,0,0,1697,1904,58,0,0,0,1957,556,69,0,0,0,628,22,6,0,0,0,27,5,4,0,0,0,14,158,26,0,0,0,187,11,0,0,0,0,12,8,0,0,0,0,8,755,108,0,0,0,866,31,37,0,0,0,69,129,14,0,0,0,145,4406,328,0,0,0,4738
UCL213010,2251,199,23,8,5,2489,1822,71,15,0,0,1905,726,286,126,0,0,1143,240,167,44,0,0,451,49,30,6,0,0,80,307,48,19,4,0,370,30,13,0,15,0,56,7,12,4,0,0,22,1351,550,199,18,0,2123,51,58,3,0,0,113,396,138,22,39,0,593,5866,1017,265,64,6,7224
UCL213011,1970,71,87,0,0,2135,1388,20,31,0,0,1432,870,118,234,3,0,1226,163,81,24,0,0,278,53,23,11,0,0,85,269,20,10,0,0,302,29,6,6,0,0,51,15,0,3,0,0,28,1409,259,295,0,0,1969,43,12,9,0,0,59,527,69,74,0,0,666,5331,423,493,7,7,6255
UCL213012,1644,96,12,24,0,1781,1282,31,3,0,4,1314,427,138,31,6,0,597,142,76,3,0,0,219,12,6,0,0,0,18,222,39,7,3,0,271,23,12,3,8,0,47,4,4,0,0,0,10,827,272,44,13,0,1157,50,3,0,0,0,55,206,43,9,8,0,262,4005,439,61,56,7,4576
UCL213013,1837,88,85,34,4,2045,1596,53,21,0,5,1672,875,208,212,4,0,1301,131,51,24,0,0,214,12,11,12,0,0,36,186,22,22,0,4,237,124,4,5,11,0,139,8,3,0,0,0,14,1344,298,281,11,0,1946,43,14,7,3,0,67,218,43,33,9,0,292,5039,486,426,58,13,6031
UCL213014,1342,88,34,36,0,1501,1234,22,13,3,0,1273,429,146,188,0,0,775,128,39,50,0,0,216,20,4,20,0,0,45,235,49,17,0,6,303,28,10,5,13,3,63,5,4,4,0,0,9,844,255,289,18,6,1408,56,13,3,0,0,69,212,38,42,10,0,299,3686,409,372,71,10,4548
UCL213015,808,68,0,0,0,876,2628,137,4,0,4,2774,724,112,3,0,0,845,11,0,0,0,0,11,7,6,0,0,0,8,132,12,0,0,0,148,16,0,0,0,0,19,4,0,0,0,0,4,889,135,4,0,0,1031,36,5,0,0,0,41,212,36,0,0,0,248,4574,372,7,0,6,4965
