UCL_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL222065,22,14,0,0,81
UCL222066,27,20,6,5,111
UCL222067,25,21,9,6,155
UCL222068,31,4,4,0,113
UCL222069,45,36,20,9,181
UCL222070,30,25,17,0,122
UCL222071,24,26,13,5,182
UCL222072,38,50,17,5,191
UCL222073,28,13,6,0,141
UCL222074,17,14,5,0,89
UCL222075,34,35,11,8,224
UCL222076,32,30,11,7,197
UCL222077,35,44,21,22,211
UCL222078,22,17,6,0,116
UCL222079,60,48,11,0,244
UCL222080,35,30,23,10,176
UCL222081,58,32,17,6,195
UCL222082,36,23,12,0,206
UCL222083,13,7,6,0,90
UCL222084,47,41,15,9,205
UCL222085,62,23,8,0,192
UCL222086,30,42,11,0,215
UCL222087,33,31,14,7,197
UCL222088,44,32,14,6,136
UCL222089,23,16,11,0,103
UCL222090,28,12,5,0,119
UCL222091,35,20,10,3,174
UCL222092,20,15,0,0,160
UCL222093,34,38,18,6,194
UCL222094,36,16,8,0,145
UCL222095,13,13,5,0,85
UCL222096,38,29,3,0,210
UCL222097,23,10,5,3,150
UCL222098,35,26,10,4,194
UCL222099,12,5,0,0,95
UCL222100,29,28,21,4,124
UCL222101,26,20,6,0,137
UCL222102,45,30,13,4,201
UCL222103,18,13,10,0,100
UCL222104,19,22,7,0,115
UCL222105,18,11,4,0,84
UCL231001,45272,33001,12113,2323,214545
UCL279997,147,17,0,0,530
UCL301001,154405,100299,47881,17024,1188376
UCL302001,45797,34265,17886,6210,324423
UCL302002,25848,21909,11889,4117,156483
UCL303001,13336,9213,3947,1050,83765
UCL303002,7374,5647,3162,1129,52605
UCL303003,12122,7692,3389,1009,83796
UCL311001,3423,2815,1826,622,22613
UCL311002,5314,5639,3120,888,28930
UCL311003,5834,3494,1590,574,37363
UCL311004,4179,2688,1384,605,28322
UCL312001,2141,2701,1589,454,10288
UCL312002,2385,1216,513,172,15946
UCL312003,1734,1632,838,269,9606
UCL312004,1600,1096,683,317,10418
UCL313001,1260,964,264,25,7215
UCL313002,1268,1357,713,164,6877
UCL313003,694,396,172,63,5303
UCL313004,952,473,125,42,6816
UCL313005,541,338,124,53,4352
UCL313006,1413,1104,575,217,8595
UCL313007,839,674,302,67,5003
UCL313008,662,515,244,92,4468
UCL313009,1416,707,251,37,9361
UCL313010,955,831,510,181,5998
UCL313011,235,127,43,5,3890
UCL313012,1616,1283,599,167,9011
UCL314001,615,610,325,142,3795
UCL314002,518,436,237,89,3536
UCL314003,490,401,243,121,3323
UCL314004,370,329,149,65,2773
UCL314005,371,241,106,53,2805
UCL314006,878,822,389,66,4793
UCL314007,618,516,250,63,3680
UCL314008,451,248,101,51,3440
UCL314009,378,207,56,8,3304
UCL314010,292,229,132,47,2872
UCL314011,349,230,132,40,2416
UCL314012,436,302,123,48,2713
UCL314013,560,418,202,90,3148
UCL314014,332,178,79,25,2430
UCL314015,361,235,78,8,2397
UCL314016,495,430,287,91,3718
UCL314017,792,210,49,10,6499
UCL314018,386,171,52,7,3285
UCL314019,413,308,176,74,2559
UCL314020,456,278,122,65,3362
UCL314021,770,892,463,75,4595
UCL314022,976,852,427,111,4756
UCL314023,853,525,186,46,4647
UCL315001,264,296,77,9,1139
UCL315002,194,124,28,5,1154
UCL315003,140,141,62,10,611
UCL315004,33,12,0,0,203
UCL315005,117,102,40,14,568
UCL315006,90,40,9,0,581
UCL315007,304,310,139,53,1569
UCL315008,463,109,15,0,3369
UCL315009,202,202,124,70,1154
UCL315010,309,350,125,17,1394
UCL315011,209,273,110,18,772
UCL315012,199,116,30,3,1619
UCL315013,96,49,18,0,796
UCL315014,181,225,86,23,738
UCL315015,181,80,39,8,959
UCL315016,162,84,22,9,1318
UCL315017,260,172,41,19,1210
UCL315018,41,6,0,0,235
UCL315019,119,135,87,30,688
UCL315020,152,113,50,9,984
UCL315021,76,101,49,17,515
UCL315022,265,241,35,4,1542
UCL315023,123,62,29,6,647
UCL315024,333,350,69,6,1423
UCL315025,261,384,148,25,1249
UCL315026,261,269,149,96,1768
UCL315027,151,191,155,99,947
UCL315028,75,61,22,0,581
UCL315029,188,137,31,6,1151
UCL315030,59,17,6,0,331
UCL315031,321,88,10,0,2282
UCL315032,459,469,213,83,2343
UCL315033,127,166,84,13,623
UCL315034,115,62,19,0,588
UCL315035,187,115,30,8,1353
UCL315036,128,119,40,18,775
UCL315037,329,247,102,19,1941
UCL315038,161,59,20,0,927
UCL315039,46,15,7,0,236
UCL315040,275,160,40,0,1838
UCL315041,108,79,23,0,616
UCL315042,199,187,89,30,1165
UCL315043,79,91,43,12,419
UCL315044,385,267,169,69,1923
UCL315045,276,137,42,3,1383
UCL315046,147,127,48,19,1096
UCL315047,130,66,23,6,876
UCL315048,183,158,64,15,795
UCL315049,327,239,122,25,1450
UCL315050,225,202,124,57,1547
UCL315051,359,254,113,27,2223
UCL315052,216,207,104,17,1615
UCL315053,278,219,76,38,1605
UCL315054,270,209,93,26,1579
UCL315055,429,507,208,40,1726
UCL315056,171,176,101,45,885
UCL315057,343,428,236,84,1776
UCL315058,125,58,24,8,1389
UCL315059,90,71,79,32,795
UCL315060,143,58,13,3,1065
UCL315061,383,84,3,0,2309
UCL315062,108,91,37,26,763
UCL315063,85,79,31,14,603
UCL315064,62,65,24,4,642
UCL315065,78,82,31,26,461
UCL315066,285,192,75,13,1666
UCL315067,245,257,92,10,1095
UCL315068,160,133,56,14,865
UCL315069,203,194,86,26,987
UCL315070,181,107,29,3,1201
UCL315071,156,168,54,0,701
UCL315072,83,46,33,11,547
UCL315073,152,133,50,20,818
UCL315074,258,294,146,35,1430
UCL315075,260,215,92,23,944
UCL315076,237,173,83,34,1530
UCL315077,85,24,3,0,417
UCL315078,145,136,110,109,1213
UCL315079,227,154,59,5,995
UCL315080,932,899,345,53,4637
UCL315081,243,187,118,29,1446
UCL315082,197,182,60,8,816
UCL315083,137,52,12,3,509
UCL315084,279,204,67,4,996
UCL315085,213,152,91,52,1346
UCL315086,479,487,212,18,1867
UCL315087,336,212,62,8,1495
UCL315088,230,169,79,38,1393
UCL315089,174,126,68,23,1153
UCL315090,354,392,209,60,2223
UCL315091,186,69,19,0,1295
UCL315092,280,361,190,41,1168
UCL315093,82,77,51,4,398
UCL315094,246,249,115,8,1088
UCL315095,133,119,56,22,993
UCL315096,213,111,39,13,1465
UCL315097,115,81,20,5,837
UCL315098,348,96,11,5,2482
UCL315099,202,89,30,3,1638
UCL315100,93,75,32,9,619
UCL315101,160,78,21,5,829
UCL315102,146,131,89,23,810
UCL315103,206,214,78,6,918
UCL315104,192,166,62,34,1224
UCL315105,218,340,119,9,914
UCL315106,80,43,15,3,808
UCL315107,172,125,57,14,1247
UCL315108,43,18,0,0,355
UCL315109,156,157,59,11,667
UCL321001,45,40,14,3,229
UCL321002,72,69,33,12,361
UCL321003,57,43,29,0,289
UCL321004,50,29,21,9,242
UCL321005,50,51,26,0,356
UCL321006,23,7,5,0,192
UCL321007,99,71,38,0,791
UCL321008,128,142,60,4,531
UCL321009,129,94,57,12,683
UCL321010,58,43,19,3,359
UCL321011,60,41,13,0,333
UCL321012,48,56,53,4,273
UCL321013,78,79,40,4,424
UCL321014,33,10,8,0,222
UCL321015,81,88,35,24,468
UCL321016,42,71,40,9,261
UCL321017,147,84,43,4,556
UCL321018,40,58,9,3,317
UCL321019,69,37,7,0,437
UCL321020,93,61,29,0,404
UCL321021,67,38,25,0,312
UCL321022,61,37,12,0,368
UCL321023,62,57,11,4,315
UCL321024,32,32,11,0,239
UCL321025,102,80,19,0,289
UCL321026,50,39,13,0,220
UCL321027,66,39,32,5,404
UCL321028,52,58,16,8,431
UCL321029,142,158,51,11,509
UCL321030,49,25,11,0,202
UCL321031,110,85,22,0,541
UCL321032,204,154,53,4,1000
UCL321033,94,63,19,0,487
UCL321034,89,77,21,10,454
UCL321035,170,134,47,3,822
UCL321036,69,51,14,0,498
UCL321037,82,69,30,5,391
UCL321038,132,146,53,3,546
UCL321039,143,150,61,17,610
UCL321040,93,41,19,4,362
UCL321041,69,94,35,12,424
UCL321042,52,28,16,0,270
UCL321043,93,45,17,0,382
UCL321044,262,223,65,6,944
UCL321045,96,41,12,0,577
UCL321046,57,57,26,0,286
UCL321047,65,32,22,7,312
UCL321048,54,39,26,4,236
UCL321049,43,27,13,0,273
UCL321050,60,36,11,5,342
UCL321051,113,99,65,20,498
UCL321052,33,18,8,0,298
UCL321053,44,12,6,0,272
UCL321054,145,153,43,0,529
UCL321055,126,133,26,11,606
UCL321056,33,29,28,12,262
UCL321057,71,44,24,9,287
UCL321058,67,58,22,5,423
UCL321059,115,75,21,0,594
UCL321060,57,49,27,17,281
UCL321061,118,130,63,8,471
UCL321062,55,17,7,0,356
UCL321063,118,77,39,7,515
UCL321064,114,136,55,9,451
UCL321065,118,73,43,11,535
UCL321066,76,76,29,9,280
UCL321067,12,7,9,0,144
UCL321068,73,52,18,9,465
UCL321069,129,145,85,8,576
UCL321070,53,32,19,0,337
UCL321071,51,38,16,0,291
UCL321072,51,51,10,4,390
UCL321073,180,178,88,5,791
UCL321074,49,56,14,9,311
UCL321075,93,49,15,4,548
UCL321076,46,15,0,0,289
UCL321077,115,41,3,0,685
UCL321078,62,53,13,0,283
UCL321079,88,95,33,4,591
UCL321080,153,92,29,7,853
UCL321081,64,33,14,3,281
UCL321082,50,41,11,0,269
UCL321083,112,61,32,4,662
UCL321084,190,144,54,5,761
UCL321085,96,145,33,0,328
UCL321086,36,21,0,0,266
UCL321087,82,62,29,4,369
UCL321088,96,106,32,8,413
UCL321089,84,99,47,8,322
UCL321090,60,69,45,16,426
UCL321091,78,101,37,5,326
UCL321092,71,62,46,3,290
UCL321093,56,51,21,3,301
UCL321094,63,56,22,9,309
UCL321095,141,142,55,10,599
UCL321096,69,35,26,5,360
UCL321097,97,49,19,3,470
UCL321098,41,24,14,0,232
UCL321099,53,38,8,5,290
UCL321100,23,24,20,5,213
UCL321101,56,44,26,9,256
UCL321102,60,28,16,0,347
UCL321103,105,82,35,4,515
UCL321104,66,7,0,0,437
UCL321105,144,136,57,6,757
UCL321106,96,102,40,11,601
UCL321107,80,59,32,9,326
UCL321108,35,35,7,6,225
UCL321109,145,180,45,3,707
UCL321110,94,124,63,14,507
UCL321111,79,90,43,9,426
UCL321112,28,8,0,0,230
UCL321113,58,49,5,0,290
UCL321114,87,91,58,8,423
UCL322001,44,23,10,0,196
UCL322002,25,20,7,7,121
UCL322003,27,40,15,6,124
UCL322004,64,51,30,5,251
UCL322005,27,20,4,0,95
UCL322006,65,81,38,9,249
UCL322007,45,23,10,4,163
UCL322008,16,16,6,0,103
UCL322009,22,12,20,4,155
UCL322010,55,58,14,0,195
UCL322011,71,44,17,4,281
UCL322012,41,35,31,7,179
UCL322013,41,19,15,0,246
UCL322014,21,18,13,4,97
UCL322015,48,42,13,4,212
UCL322016,22,11,0,0,87
UCL322017,13,0,0,0,59
UCL322018,68,88,16,3,248
UCL322019,70,61,25,11,213
UCL322020,25,18,9,0,100
UCL322021,37,48,9,5,127
UCL322022,29,31,5,0,131
UCL322023,67,51,15,0,215
UCL322024,40,49,12,3,253
UCL322025,31,29,0,0,117
UCL322026,19,7,4,0,83
UCL322027,17,20,7,0,75
UCL322028,25,15,15,5,111
UCL322029,21,13,0,0,132
UCL322030,34,27,9,5,143
UCL322031,37,35,13,0,144
UCL322032,14,27,11,0,88
UCL322033,8,0,0,0,35
UCL322034,24,19,25,6,150
UCL322035,30,28,8,3,144
UCL322036,51,46,31,3,216
UCL322037,24,27,0,0,96
UCL322038,27,35,16,4,178
UCL322039,20,8,4,3,94
UCL322040,30,12,6,0,204
UCL322041,25,18,0,0,168
UCL322042,15,12,3,0,104
UCL322043,35,10,4,5,141
UCL322044,31,43,11,0,161
UCL322045,51,45,21,3,213
UCL322046,27,22,0,0,166
UCL322047,59,38,4,0,220
UCL322048,39,28,6,5,154
UCL322049,24,20,8,0,106
UCL322050,73,7,0,0,440
UCL322051,16,27,0,0,115
UCL322052,11,0,11,0,52
UCL322053,50,19,15,5,192
UCL322054,55,41,14,0,173
UCL322055,31,42,18,8,159
UCL322056,10,8,0,0,84
UCL322057,31,24,6,0,193
UCL322058,84,113,41,9,308
UCL322059,23,6,0,0,132
UCL322060,56,54,20,0,221
UCL322061,23,13,3,0,154
UCL322062,35,28,5,0,161
UCL322063,56,55,15,4,293
UCL322064,23,8,3,0,115
UCL322065,21,15,14,0,115
UCL322066,44,52,18,0,150
UCL322067,187,269,85,3,787
UCL322068,29,32,10,0,127
UCL322069,50,51,26,0,179
UCL322070,37,43,23,3,192
UCL322071,12,17,4,0,57
UCL322072,26,11,9,0,110
UCL322073,58,111,39,7,310
UCL322074,39,42,16,4,121
UCL322075,10,4,0,0,85
UCL322076,34,16,0,0,208
UCL322077,21,9,5,0,115
UCL322078,30,8,3,0,118
UCL322079,26,12,0,0,147
UCL322080,23,33,7,0,110
UCL322081,41,41,8,5,172
UCL322082,35,27,11,5,158
UCL322083,14,5,4,0,74
UCL322084,33,26,3,0,128
UCL322085,45,37,13,0,237
UCL322086,19,23,8,3,106
UCL322087,63,46,11,0,281
UCL322088,22,32,5,0,116
UCL322089,33,23,10,4,158
UCL322090,23,7,6,0,111
UCL322091,28,16,4,5,104
UCL322092,14,4,0,0,151
UCL322093,70,47,20,3,254
UCL322094,47,32,9,4,137
UCL322095,34,48,24,5,181
UCL322096,28,16,8,0,214
UCL322097,88,73,9,0,319
UCL322098,30,10,3,3,153
UCL322099,21,17,16,0,106
UCL322100,42,40,17,3,233
UCL322101,50,61,11,3,286
UCL322102,14,13,5,0,117
UCL322103,42,36,17,0,229
UCL322104,59,23,9,0,184
UCL322105,20,13,9,0,97
UCL322106,78,68,14,0,320
UCL322107,89,98,24,0,286
UCL322108,27,14,4,0,96
UCL322109,34,19,9,0,147
UCL322110,53,26,13,4,203
UCL322111,20,8,3,0,115
UCL322112,34,24,10,0,166
UCL322113,27,10,0,0,111
UCL322114,31,29,11,0,181
UCL322115,39,26,6,5,142
UCL322116,37,26,8,0,128
UCL322117,59,68,34,8,213
UCL322118,14,13,7,0,90
UCL322119,23,21,5,0,122
UCL322120,43,45,23,16,263
UCL322121,43,47,16,3,200
UCL322122,58,48,23,0,222
UCL322123,22,18,9,0,123
UCL322124,19,16,24,0,98
UCL322125,33,40,12,0,182
UCL322126,20,18,17,31,127
UCL322127,63,72,36,10,259
UCL322128,17,4,0,0,143
UCL322129,32,31,21,0,124
UCL322130,33,28,6,0,129
UCL322131,15,10,3,0,75
UCL322132,35,19,7,4,217
UCL322133,8,0,0,0,97
UCL322134,13,23,13,4,57
UCL322135,12,6,0,0,102
UCL322136,36,30,3,0,172
UCL322137,20,13,7,0,78
UCL322138,6,8,12,0,55
UCL322139,17,3,0,0,90
UCL331001,48083,34122,11979,1921,235260
UCL379997,27,12,0,0,308
UCL401001,88799,66546,32957,12394,622078
UCL412001,2099,1401,771,331,12844
UCL412002,1376,1165,560,168,10656
UCL412003,1643,1292,676,268,11230
UCL412004,1618,958,553,196,9192
UCL413001,1627,1467,571,146,8975
UCL413002,1086,849,495,190,6773
UCL413003,932,664,288,61,5479
UCL413004,1009,743,357,139,6289
UCL413005,927,654,335,99,5340
UCL413006,1448,2077,1272,416,8219
UCL414001,798,1224,673,192,4357
UCL414002,374,262,80,11,2476
UCL414003,298,222,128,59,2052
UCL414004,408,372,216,77,2711
UCL414005,517,493,299,94,3045
UCL415001,174,148,77,22,1004
UCL415002,228,129,79,17,1724
UCL415003,110,115,68,37,751
UCL415004,151,119,59,19,863
UCL415005,132,123,71,30,829
UCL415006,279,244,98,54,1818
UCL415007,147,122,63,27,1195
UCL415008,187,139,60,15,1116
UCL415009,275,262,108,40,1682
UCL415010,221,238,126,21,1129
UCL415011,93,95,54,25,573
UCL415012,144,97,25,15,994
UCL415013,199,183,138,80,1266
UCL415014,106,69,28,22,581
UCL415015,329,247,129,81,1913
UCL415016,213,173,111,46,1164
UCL415017,210,160,92,41,1024
UCL415018,115,138,66,18,650
UCL415019,202,78,30,9,889
UCL415020,193,95,69,18,1007
UCL415021,237,215,129,41,1630
UCL415022,152,140,48,4,899
UCL415023,105,72,47,25,484
UCL415024,192,255,140,43,1107
UCL415025,65,40,19,0,519
UCL415026,312,293,218,86,1705
UCL415027,77,34,12,5,555
UCL415028,123,122,35,5,592
UCL415029,341,265,135,66,1904
UCL415030,379,491,260,96,2064
UCL415031,86,64,24,0,547
UCL415032,264,368,129,32,1172
UCL415033,71,54,26,4,423
UCL415034,115,82,40,10,590
UCL415035,134,137,49,16,619
UCL415036,87,106,63,23,465
UCL415037,276,258,140,48,1924
UCL415038,132,124,61,9,634
UCL415039,198,30,5,3,1778
UCL415040,119,83,54,16,595
UCL415041,379,326,164,63,2146
UCL415042,127,149,74,35,691
UCL415043,144,104,37,11,1213
UCL415044,56,42,6,0,696
UCL415045,107,126,76,29,705
UCL415046,388,362,198,47,1818
UCL415047,186,109,36,8,1033
UCL415048,233,218,77,19,1179
UCL415049,148,138,91,45,942
UCL421001,86,117,71,17,498
UCL421002,50,70,21,3,248
UCL421003,80,61,25,9,469
UCL421004,119,109,54,14,482
UCL421005,78,44,31,22,369
UCL421006,67,32,6,6,338
UCL421007,88,74,40,4,376
UCL421008,85,94,32,15,463
UCL421009,40,29,22,8,311
UCL421010,48,27,10,0,315
UCL421011,54,53,31,9,270
UCL421012,48,40,32,0,253
UCL421013,123,69,15,10,544
UCL421014,71,42,18,50,381
UCL421015,45,40,6,18,252
UCL421016,74,48,15,0,287
UCL421017,36,19,5,0,218
UCL421018,81,51,22,12,476
UCL421019,39,34,25,9,253
UCL421020,36,19,22,11,249
UCL421021,31,43,22,9,231
UCL421022,120,90,20,8,536
UCL421023,49,31,20,5,321
UCL421024,59,67,32,12,363
UCL421025,86,96,32,4,392
UCL421026,47,61,54,28,330
UCL421027,49,44,24,25,287
UCL421028,77,31,10,5,279
UCL421029,57,50,20,16,264
UCL421030,66,34,19,10,283
UCL421031,65,53,16,3,268
UCL421032,34,37,17,3,241
UCL421033,23,11,0,3,154
UCL421034,116,113,53,14,547
UCL421035,64,70,44,23,329
UCL421036,72,26,12,0,449
UCL421037,91,101,40,22,481
UCL421038,103,74,21,6,488
UCL421039,50,23,7,0,282
UCL421040,42,47,16,0,295
UCL421041,45,33,12,11,222
UCL421042,73,89,48,14,371
UCL421043,51,51,16,7,227
UCL422001,19,11,0,4,105
UCL422002,23,6,0,0,134
UCL422003,40,45,18,0,161
UCL422004,27,36,18,0,131
UCL422005,30,29,5,5,111
UCL422006,47,56,20,3,211
UCL422007,27,31,12,0,111
UCL422008,43,20,10,0,170
UCL422009,30,17,9,9,103
UCL422010,43,29,17,0,182
UCL422011,19,24,16,0,99
UCL422012,47,29,13,0,223
UCL422013,29,18,7,0,163
UCL422014,33,13,5,0,113
UCL422015,72,62,25,8,229
UCL422016,22,7,7,3,77
UCL422017,14,15,11,3,93
UCL422018,16,18,9,0,74
UCL422019,57,88,34,6,265
UCL422020,47,41,12,0,189
UCL422021,53,59,14,4,226
UCL422022,7,4,0,0,65
UCL422023,23,25,10,0,117
UCL422024,7,0,0,0,41
UCL422025,19,22,17,3,121
UCL422026,24,22,3,3,201
UCL422027,42,46,8,3,161
UCL422028,33,25,11,3,129
UCL422029,12,4,0,0,74
UCL422030,32,27,12,0,132
UCL422031,28,24,10,0,123
UCL422032,38,15,0,0,164
UCL422033,61,17,6,5,176
UCL422034,42,20,0,0,145
UCL422035,35,16,6,0,174
UCL422036,19,22,4,0,114
UCL422037,10,23,11,0,120
UCL422038,17,18,8,0,96
UCL422039,30,29,3,0,110
UCL422040,36,24,22,6,176
UCL422041,42,51,18,0,178
UCL422042,44,46,23,8,178
UCL422043,20,13,3,0,65
UCL422044,41,46,13,6,164
UCL422045,73,86,32,13,269
UCL422046,49,32,11,0,174
UCL422047,16,16,0,0,66
UCL422048,35,25,13,6,126
UCL422049,36,8,11,0,114
UCL422050,14,13,3,0,78
UCL422051,43,39,0,0,197
UCL422052,47,49,36,6,215
UCL422053,39,40,18,10,163
UCL422054,26,13,7,0,103
UCL422055,28,20,15,0,137
UCL422056,14,6,0,6,119
UCL422057,35,24,0,0,169
UCL422058,20,12,4,0,78
UCL422059,43,45,21,0,229
UCL422060,23,35,7,0,102
UCL422061,42,13,0,0,141
UCL422062,17,5,3,0,92
UCL422063,11,6,0,0,102
UCL431001,14808,10521,3684,641,72044
UCL479997,5,0,0,0,28
UCL501001,142892,99255,48913,18211,1033862
UCL511001,5364,3643,1714,632,34279
UCL512001,2522,1920,1067,443,14647
UCL512002,2110,1844,993,348,12756
UCL512003,2393,1631,799,354,15140
UCL512004,2067,1009,295,92,14173
UCL513001,1958,1626,481,52,11660
UCL513002,736,491,338,89,4704
UCL513003,1335,508,112,12,10970
UCL513004,1431,510,113,20,10216
UCL513005,657,444,253,88,4689
UCL514001,465,366,200,80,2920
UCL514002,530,545,257,55,3733
UCL514003,554,397,159,74,3899
UCL514004,482,378,196,72,2776
UCL515001,130,183,94,35,663
UCL515002,122,77,26,4,596
UCL515003,233,258,108,23,1179
UCL515004,84,56,17,11,869
UCL515005,142,120,40,10,935
UCL515006,476,469,187,33,2661
UCL515007,134,68,27,6,1010
UCL515008,122,48,17,0,722
UCL515009,299,293,168,53,1640
UCL515010,371,303,59,7,1938
UCL515011,186,159,109,33,1122
UCL515012,112,67,14,4,972
UCL515013,460,473,159,23,2814
UCL515014,119,95,14,0,693
UCL515015,151,129,97,46,1165
UCL515016,155,167,64,12,813
UCL515017,259,308,101,18,1156
UCL515018,114,48,19,6,717
UCL515019,214,153,79,32,1399
UCL515020,517,380,72,20,3016
UCL515021,165,125,63,22,818
UCL515022,232,194,103,37,1571
UCL515023,172,115,49,19,1088
UCL515024,128,103,37,21,688
UCL515025,143,112,63,48,795
UCL515026,134,68,19,6,965
UCL515027,271,205,111,74,1758
UCL515028,309,91,18,0,2539
UCL515029,143,22,8,4,999
UCL515030,228,224,138,80,1567
UCL515031,264,304,150,25,1419
UCL515032,98,59,8,4,638
UCL515033,213,66,20,0,1666
UCL515034,214,162,70,11,1208
UCL515035,100,85,39,7,480
UCL515036,159,119,71,45,932
UCL515037,196,44,3,0,1411
UCL515038,218,254,150,47,1146
UCL521001,54,31,4,0,243
UCL521002,58,88,14,0,359
UCL521003,58,83,50,14,346
UCL521004,26,7,6,0,157
UCL521005,88,59,29,3,464
UCL521006,95,65,31,4,411
UCL521007,44,29,25,5,241
UCL521008,35,28,10,4,200
UCL521009,48,38,25,9,271
UCL521010,54,41,12,5,318
UCL521011,34,18,4,0,251
UCL521012,60,37,4,5,237
UCL521013,78,46,13,7,399
UCL521014,92,61,9,4,481
UCL521015,43,45,20,14,264
UCL521016,33,22,17,6,238
UCL521017,35,23,20,8,291
UCL521018,27,22,12,0,239
UCL521019,264,313,104,6,1148
UCL521020,53,71,29,5,290
UCL521021,48,43,35,0,354
UCL521022,94,57,11,4,437
UCL521023,43,37,8,6,217
UCL521024,131,100,37,6,786
UCL521025,69,40,25,3,375
UCL521026,65,25,19,0,364
UCL521027,98,41,8,4,756
UCL521028,60,40,33,15,290
UCL521029,68,36,41,24,369
UCL521030,76,68,35,7,368
UCL521031,125,66,15,0,696
UCL521032,88,42,12,0,365
UCL521033,136,85,16,4,702
UCL521034,62,36,19,5,321
UCL521035,62,45,31,3,269
UCL521036,55,46,17,0,244
UCL521037,50,39,23,6,341
UCL521038,68,69,30,8,318
UCL521039,110,73,40,14,461
UCL521040,171,146,35,0,863
UCL521041,47,10,0,0,380
UCL521042,55,37,16,12,288
UCL521043,68,41,17,0,287
UCL521044,66,49,26,8,285
UCL521045,57,71,32,13,281
UCL521046,44,22,9,0,215
UCL521047,48,32,7,5,245
UCL521048,91,102,48,19,440
UCL521049,19,8,0,0,117
UCL521050,50,51,14,8,297
UCL521051,64,41,21,3,318
UCL521052,89,60,9,0,454
UCL522001,13,13,0,0,120
UCL522002,33,44,19,0,168
UCL522003,7,5,0,0,87
UCL522004,3,0,0,0,43
UCL522005,10,5,0,0,92
UCL522006,52,41,11,6,245
UCL522007,19,16,5,3,95
UCL522008,21,19,10,0,88
UCL522009,23,8,8,0,149
UCL522010,40,50,24,10,216
UCL522011,21,34,12,0,167
UCL522012,50,66,17,5,260
UCL522013,44,27,9,5,200
UCL522014,15,9,3,0,62
UCL522015,110,141,38,0,624
UCL522016,21,14,9,5,115
UCL522017,43,29,18,5,164
UCL522018,40,44,9,0,161
UCL522019,26,8,4,4,86
UCL522020,27,11,4,0,81
UCL522021,14,34,6,5,129
UCL522022,22,18,7,0,106
UCL522023,36,25,3,4,149
UCL522024,41,53,24,3,168
UCL522025,43,41,12,6,188
UCL522026,33,53,28,6,152
UCL522027,39,25,13,0,162
UCL522028,16,17,18,5,82
UCL522029,10,11,11,4,137
UCL522030,23,9,6,0,135
UCL522031,12,0,0,0,45
UCL522032,21,10,0,0,76
UCL522033,37,43,20,3,172
UCL522034,6,0,0,0,30
UCL522035,25,12,4,3,89
UCL522036,9,21,4,0,89
UCL522037,22,15,4,4,124
UCL522038,30,11,5,6,196
UCL522039,61,27,7,0,210
UCL522040,33,31,8,0,105
UCL522041,36,32,10,5,145
UCL522042,34,15,0,0,288
UCL522043,13,5,0,0,114
UCL522044,39,50,5,0,160
UCL522045,12,3,0,0,52
UCL522046,52,46,21,5,195
UCL522047,49,73,24,10,272
UCL522048,26,22,12,4,137
UCL522049,39,61,7,0,210
UCL522050,37,15,22,13,185
UCL522051,30,9,3,0,107
UCL522052,14,10,5,0,95
UCL522053,8,0,0,0,39
UCL522054,16,22,3,5,102
UCL522055,80,128,30,3,383
UCL522056,51,16,6,0,257
UCL522057,58,52,23,4,300
UCL522058,18,6,4,0,96
UCL522059,38,29,18,0,197
UCL522060,7,4,0,0,17
UCL522061,53,47,24,0,205
UCL522062,0,0,4,0,35
UCL522063,8,0,0,0,42
UCL522064,13,10,10,0,160
UCL522065,28,15,9,7,110
UCL522066,26,12,10,4,180
UCL522067,45,21,0,0,336
UCL522068,37,25,11,6,195
UCL522069,12,23,18,0,124
UCL522070,19,24,8,3,124
UCL522071,13,3,0,0,67
UCL531001,21451,13598,4235,628,112651
UCL579997,465,123,24,0,2853
UCL603001,14466,11527,5941,2194,105633
UCL611001,5680,4237,2392,838,39310
UCL612001,1485,977,585,204,8905
UCL612002,1734,1471,773,291,10937
UCL613001,1008,832,474,152,5583
UCL614001,539,341,102,18,2597
UCL614002,362,248,150,41,2348
UCL614003,437,376,235,70,2287
UCL615001,85,54,42,13,440
UCL615002,138,151,56,11,596
UCL615003,160,124,57,22,692
UCL615004,66,78,41,4,461
UCL615005,190,183,125,36,1140
UCL615006,108,121,60,14,527
UCL615007,120,95,51,16,539
UCL615008,282,284,142,32,1659
UCL615009,161,106,51,10,1007
UCL615010,135,101,71,18,918
UCL615011,257,250,147,55,1884
UCL615012,326,235,159,79,2084
UCL615013,254,273,145,48,1601
UCL615014,147,101,66,21,1209
UCL615015,237,177,80,29,1633
UCL615016,280,223,114,37,1600
UCL615017,227,157,81,10,1371
UCL615018,357,378,197,47,1814
UCL615019,163,122,32,0,630
UCL615020,156,112,54,18,818
UCL615021,108,114,94,68,793
UCL615022,79,100,56,24,504
UCL615023,208,153,89,35,1359
UCL615024,138,115,70,31,927
UCL615025,182,153,118,36,1418
UCL615026,158,152,72,22,738
UCL615027,135,148,47,10,720
UCL621001,26,13,6,0,197
UCL621002,97,78,32,5,429
UCL621003,45,13,16,0,279
UCL621004,59,70,30,11,329
UCL621005,38,30,13,0,216
UCL621006,84,32,5,0,350
UCL621007,65,40,9,4,315
