UCL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
UCL314007,2767,6507,330,590,65,116,396,706,13,27,0,0,0,0,0,0,0,0,16,24,157,310,62,90,17,44,14,27,254,472,27,57,3459,7769,448,..,3913,7769
UCL314008,1957,5049,386,659,54,97,439,755,66,130,0,0,0,0,0,0,3,6,70,134,30,45,18,21,8,8,0,0,52,76,6,3,2523,6023,417,..,2933,6023
UCL314009,2366,7692,6,11,8,18,12,31,9,13,0,0,0,0,0,0,7,24,16,35,0,0,0,0,0,0,0,0,0,0,4,0,2395,7764,87,..,2486,7764
UCL314010,2114,5573,266,548,66,157,329,714,131,302,0,0,0,0,0,0,0,3,135,305,16,20,5,17,0,0,6,11,26,56,8,16,2606,6652,220,..,2817,6652
UCL314011,1787,4589,193,299,33,62,228,362,131,216,0,0,0,0,0,0,0,0,131,216,46,94,4,12,0,0,3,10,50,107,16,31,2208,5296,217,..,2430,5296
UCL314012,2085,5639,71,125,5,16,74,139,53,86,0,0,0,0,0,0,0,0,53,86,3,4,0,0,0,5,0,0,9,13,3,0,2222,5875,181,..,2403,5875
UCL314013,2246,5646,314,578,131,249,437,828,174,328,18,36,18,38,0,0,0,0,209,400,70,145,3,4,0,3,28,62,102,213,23,47,3022,7131,320,..,3340,7131
UCL314014,1621,5274,25,49,15,27,43,73,3,6,0,0,0,0,0,0,15,28,15,36,0,0,0,0,0,0,0,0,0,0,0,7,1685,5387,72,..,1750,5387
UCL314015,1852,5422,0,0,3,12,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1856,5440,101,..,1959,5440
UCL314016,2993,7518,41,64,6,10,50,75,377,657,0,0,0,0,0,0,0,0,377,657,112,151,7,9,37,46,4,0,158,217,13,26,3590,8497,297,..,3885,8497
UCL314017,2350,6886,183,324,346,603,526,928,44,57,20,26,0,0,0,0,0,0,65,85,0,0,0,0,0,0,10,7,10,12,11,13,2954,7927,1103,..,4054,7927
UCL314018,2154,6687,5,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159,6692,51,..,2206,6692
UCL314019,1677,4496,165,291,37,60,197,350,16,26,0,0,0,0,0,0,12,18,25,42,0,0,0,0,0,0,0,0,0,0,0,4,1908,4890,91,..,1998,4890
UCL314020,2361,5688,233,396,30,64,267,460,15,32,0,0,0,0,0,0,0,0,15,32,67,129,16,24,4,12,3,12,88,173,10,15,2737,6368,577,..,3312,6368
UCL314021,3485,8872,184,295,103,172,285,473,11,13,9,21,17,30,0,0,33,57,72,123,176,287,44,74,0,0,0,4,219,361,14,19,4074,9838,227,..,4297,9838
UCL314022,2944,7426,123,178,26,43,150,229,6,18,7,14,0,0,0,0,5,6,18,31,0,0,0,8,0,6,29,64,30,77,15,25,3153,7787,310,..,3463,7787
UCL314023,3199,8552,58,96,49,63,103,157,232,372,29,36,33,58,0,0,6,3,293,470,183,331,8,14,40,71,0,0,233,415,19,43,3848,9636,410,..,4263,9636
UCL315001,425,1047,18,22,35,58,48,78,47,88,21,40,11,20,0,0,0,0,85,155,64,124,18,32,0,0,0,0,81,156,6,10,651,1448,260,..,913,1448
UCL315002,829,2497,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,5,0,3,838,2512,30,..,869,2512
UCL315003,549,1198,15,15,8,6,22,22,6,12,0,0,0,0,0,0,0,0,6,12,0,9,0,0,4,3,0,0,7,8,5,13,585,1255,127,..,719,1255
UCL315004,220,1002,7,16,0,0,7,16,13,29,0,0,0,0,0,0,0,0,13,29,0,0,0,0,0,0,0,0,0,0,6,0,253,1050,80,..,334,1050
