UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL421017,0,3,3,28,28,48,3,4,10,3,6,10,34,32,73,11,13,26,3,4,7,6,5,8,17,18,37,5,0,5,0,0,3,3,0,9,3,5,9,0,0,0,6,8,22,0,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,5,8,10,15,30,0,0,0,0,0,0,0,0,0,0,0,0,4,10,20,0,0,0,76,85,158
UCL421018,0,9,15,44,50,97,0,0,0,0,0,0,44,50,97,34,29,65,0,0,0,5,0,5,34,29,68,5,0,3,0,0,0,8,0,3,0,7,10,0,0,0,10,7,16,0,3,3,0,3,3,0,0,6,0,6,7,0,0,0,4,7,15,16,19,34,0,0,0,0,0,0,0,0,0,0,0,7,46,46,92,0,0,0,145,164,307
UCL421019,4,3,8,24,22,44,0,0,0,0,0,0,24,22,44,22,7,32,0,0,0,0,0,0,22,7,32,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,10,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,5,3,7,9,12,0,0,0,0,0,0,0,0,0,0,0,4,16,19,41,0,0,0,71,70,140
UCL421020,9,4,10,12,29,38,0,0,0,0,5,5,12,29,47,6,6,15,0,0,0,0,0,0,6,6,15,0,0,0,0,0,0,3,0,4,3,4,8,0,0,0,0,5,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,5,13,0,0,0,0,8,5,0,0,0,0,8,5,27,26,47,0,0,0,59,84,140
UCL421021,7,4,12,26,18,43,5,4,9,0,0,0,28,24,51,7,12,18,4,0,6,0,0,0,15,8,22,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,0,4,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,10,8,3,9,15,0,0,0,0,0,0,0,0,0,0,0,0,16,13,31,0,0,0,64,67,138
UCL421022,9,9,17,36,31,67,3,0,3,10,3,11,47,36,80,8,18,27,4,0,0,8,6,16,20,25,47,4,0,4,0,0,3,4,0,8,0,7,11,0,0,0,9,9,19,3,8,11,0,9,7,0,0,0,5,5,15,0,0,0,11,19,30,22,32,55,0,0,0,0,3,3,0,0,0,0,3,6,16,23,37,0,0,0,110,137,243
UCL421023,9,7,18,32,16,50,0,3,8,8,4,12,47,28,71,19,12,32,3,0,4,6,6,15,26,17,41,3,0,3,0,0,0,6,8,6,3,0,7,0,0,0,12,7,19,0,6,6,0,0,0,0,0,0,0,5,6,0,0,0,0,16,15,12,25,33,0,0,0,0,6,6,0,0,0,0,6,6,45,35,86,0,0,0,139,110,254
UCL421024,3,6,7,24,31,53,0,0,0,0,0,0,24,25,53,13,17,28,0,3,7,0,0,0,13,26,32,0,0,0,0,0,0,0,0,3,0,7,11,0,0,0,0,16,14,0,0,0,0,3,3,0,0,0,0,6,6,0,0,0,0,8,8,0,22,23,0,0,0,0,0,0,0,0,0,0,0,0,57,50,107,0,0,0,100,129,232
UCL421025,5,0,4,17,18,31,0,0,0,0,11,12,17,25,46,17,16,28,0,0,0,0,0,9,19,16,33,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,5,4,5,0,3,3,0,0,0,0,0,0,0,6,6,0,0,0,0,8,8,5,12,17,0,0,0,0,0,0,0,0,0,0,0,0,32,20,49,0,0,0,71,80,153
UCL421026,0,3,5,23,14,37,0,0,0,3,3,11,35,19,46,12,15,27,0,0,0,5,0,0,14,19,32,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,4,0,3,3,4,4,6,0,0,0,4,9,12,4,13,21,0,0,0,0,4,5,0,0,0,0,6,8,34,34,64,0,0,0,85,83,170
