UCL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL115091,0,0,0,0,5,3,3,0,0,14,0,0,5,0,8,5,0,0,0,27,32,36,98,82,102,88,25,3,0,460
UCL115092,0,6,5,9,5,3,0,0,0,36,0,3,7,3,7,6,0,0,0,30,60,90,193,140,159,112,31,5,0,788
UCL115093,0,0,0,0,7,8,0,0,0,21,4,8,0,5,8,5,4,0,0,31,22,37,100,95,111,120,56,9,0,549
UCL115094,4,4,11,4,9,9,0,0,0,41,6,9,6,13,3,10,3,0,0,44,73,81,141,176,176,188,60,4,0,905
UCL115095,0,4,6,10,4,3,4,0,0,20,0,0,6,12,0,3,3,0,0,28,14,43,103,100,76,80,36,4,3,445
UCL115096,0,4,14,19,10,17,0,0,0,66,6,4,0,11,18,15,0,5,0,54,135,111,196,301,393,341,54,7,0,1542
UCL115097,4,4,5,11,3,10,3,0,0,41,5,0,12,9,10,9,0,0,0,39,44,73,151,179,198,222,53,4,0,919
UCL115098,0,0,3,4,3,0,0,0,0,15,5,0,3,4,0,4,0,0,0,20,24,36,101,92,92,96,27,9,0,476
UCL115099,0,3,16,5,9,7,3,0,0,41,3,3,10,10,4,7,3,0,0,54,63,73,217,175,179,210,49,11,0,982
UCL115100,0,0,4,10,3,17,3,0,0,33,3,4,10,4,6,13,7,0,0,40,50,52,139,131,190,215,61,7,0,861
UCL115101,4,5,5,7,5,5,6,0,0,36,3,0,6,10,9,3,0,0,0,29,58,50,130,177,213,215,67,9,0,925
UCL115102,0,0,11,0,5,3,6,0,0,25,4,0,3,3,8,7,0,3,0,29,48,58,125,120,141,122,45,3,0,664
