UCL_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
UCL115145,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,162,183,345,10,14,30,4,0,4,6,0,6,0,0,4,5,0,5,0,3,6,187,206,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,57,92,24,40,64,3,0,4,252,304,560
UCL115146,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,353,334,686,10,23,40,8,0,8,3,4,5,9,5,7,3,0,3,13,11,21,398,373,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,108,128,239,61,84,136,0,8,11,568,593,1166
UCL115147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,157,336,3,10,11,0,0,0,0,0,0,0,0,0,0,0,0,3,13,11,185,182,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,27,32,61,22,40,58,5,0,3,244,256,499
UCL115148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,183,148,329,21,8,30,8,0,8,0,0,0,0,0,0,0,0,0,21,17,37,232,181,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,39,22,27,59,3,3,9,270,243,514
UCL115149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,110,237,3,12,21,5,0,5,0,0,0,5,4,7,0,3,5,39,29,66,181,156,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,11,15,10,17,30,0,0,0,198,189,388
UCL115150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,98,251,9,7,10,27,0,27,0,0,0,0,0,0,0,0,0,0,0,5,191,108,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,39,97,130,30,48,79,0,0,0,261,254,511
UCL115151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,295,661,17,18,35,17,0,19,0,0,0,0,0,0,0,0,0,9,14,19,405,331,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,47,69,43,58,101,3,3,6,476,441,919
UCL115152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,121,247,12,15,25,7,0,9,0,0,0,0,0,0,0,3,4,12,17,30,163,155,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,13,10,16,25,37,0,4,4,190,186,373
UCL115153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,142,347,18,17,34,5,0,6,0,0,0,4,0,0,0,0,0,7,31,34,237,194,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,23,8,19,27,6,4,6,255,230,486
UCL115154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,189,436,17,20,38,11,0,11,0,0,0,4,0,4,4,0,4,23,25,42,306,230,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,6,0,3,0,0,9,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,14,28,22,34,54,3,4,11,352,286,635
UCL115155,0,0,0,19,11,31,0,0,0,0,0,0,0,0,0,519,482,1004,75,71,137,22,0,23,9,0,9,3,0,3,5,0,9,42,42,84,683,609,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,11,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,30,56,90,67,80,143,19,12,27,805,762,1566
UCL115156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,111,257,7,16,20,0,0,0,0,0,0,3,0,3,0,3,5,26,24,49,185,154,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,38,16,29,47,3,0,5,223,209,432
UCL115157,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,139,115,249,8,3,10,7,0,7,0,0,0,0,0,0,0,0,0,10,14,25,165,138,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,5,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,23,35,28,34,56,0,0,0,209,190,404
UCL115158,0,0,0,89,32,118,0,0,0,0,0,0,0,0,0,405,386,789,83,43,123,17,0,17,0,0,0,7,0,5,9,0,11,38,44,79,649,503,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,7,0,7,9,0,9,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,35,46,77,53,73,129,4,10,11,755,632,1384
UCL115159,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,306,200,504,15,11,25,26,0,26,3,0,3,0,0,0,5,0,5,0,5,5,357,221,576,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,6,8,0,0,0,0,0,0,0,0,0,0,0,0,88,164,247,68,84,152,0,0,0,512,467,976
UCL115160,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,488,279,772,9,15,23,17,0,22,3,0,3,0,0,0,4,0,4,4,5,14,532,308,840,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,12,3,15,0,0,0,0,0,0,0,0,0,0,0,0,166,304,465,64,133,202,0,0,3,774,748,1524
UCL115161,0,0,0,5,0,5,0,0,0,0,0,0,0,5,5,586,608,1193,29,37,66,18,0,20,3,0,3,5,0,5,0,0,3,31,22,54,682,667,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,41,45,80,75,109,181,12,4,13,811,831,1637
UCL115162,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,524,445,973,22,29,53,7,0,7,4,0,4,3,0,3,3,0,7,5,5,15,575,485,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,64,119,183,83,127,209,4,0,6,727,740,1466
UCL115163,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,293,201,495,12,12,28,16,0,16,3,0,3,0,0,6,4,0,9,7,7,12,336,226,568,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,9,0,0,5,0,0,0,0,0,0,0,0,5,50,88,135,70,87,155,10,0,10,468,406,875
UCL115164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,128,309,13,11,22,13,0,13,0,0,0,0,0,0,0,0,0,7,4,7,205,140,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,32,54,88,29,49,78,0,0,0,268,246,513
UCL115165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,200,424,13,16,32,7,0,7,0,0,3,5,0,5,0,0,0,4,7,16,266,220,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,22,20,25,44,5,4,7,299,262,564
UCL121001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,115,267,7,4,13,3,0,3,0,0,0,0,0,0,0,0,0,6,12,13,169,135,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,12,23,15,24,38,0,0,0,196,167,361
UCL121002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,49,110,0,5,4,7,0,7,0,0,0,0,0,0,0,0,0,10,14,29,84,69,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,3,12,16,0,0,0,87,88,180
UCL121003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,56,135,3,4,14,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,86,67,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,36,70,11,27,37,0,0,4,140,130,273
UCL121004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,135,278,9,15,22,8,0,8,0,0,0,0,0,0,0,0,0,4,0,4,163,146,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,14,21,33,16,35,43,0,0,0,193,205,398
UCL121005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,65,152,4,0,6,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,103,66,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,37,63,22,20,35,0,0,0,151,122,275
UCL121006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,65,150,0,4,6,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,95,68,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,48,3,18,27,0,8,8,125,116,238
UCL121007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,93,201,4,7,14,8,0,8,0,0,0,0,3,6,0,0,0,9,11,22,139,117,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,19,13,11,22,0,0,0,160,145,306
UCL121008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,56,6,0,9,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,24,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,9,3,0,3,46,35,80
UCL121009,0,0,0,12,9,20,0,0,6,0,0,0,0,0,0,139,90,226,11,14,21,5,0,5,0,0,0,0,0,0,3,0,7,8,9,20,186,122,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,24,17,44,3,0,3,219,152,364
UCL121010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,67,140,6,5,8,3,0,3,0,0,0,0,0,0,0,0,9,4,8,13,92,85,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,47,57,110,18,16,32,0,0,0,162,162,325
UCL121011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,71,159,9,13,20,3,0,3,0,0,0,0,0,0,0,0,0,5,12,18,105,98,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,18,13,24,40,3,4,14,135,136,273
UCL121012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,118,253,7,5,12,5,0,5,0,0,0,0,0,0,0,0,0,5,3,3,148,123,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,44,66,112,27,36,62,0,0,8,222,233,450
UCL121013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,67,129,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,34,39,72,96,115,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,8,6,18,0,4,4,111,134,245
UCL121014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,71,149,10,3,12,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,98,78,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,15,18,29,15,14,29,0,3,3,123,116,240
UCL121015,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,83,52,134,0,6,5,3,0,3,0,0,0,0,4,4,0,0,0,12,4,16,102,69,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,73,96,166,25,26,56,0,0,0,211,189,399
UCL121016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,77,165,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,7,5,100,82,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,38,8,29,38,3,3,3,126,130,260
UCL121017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,88,203,4,3,4,4,0,4,0,0,0,0,0,0,0,3,5,0,0,0,123,101,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,64,83,148,19,43,65,0,0,0,203,231,436
UCL121018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,99,244,6,0,8,0,0,0,4,0,4,0,0,0,3,0,3,3,3,4,163,104,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,32,51,18,29,55,6,0,6,206,170,375
UCL121019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,108,218,11,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,119,116,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,34,50,16,23,39,0,0,0,156,174,333
UCL121020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,65,150,9,3,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,98,70,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32,44,73,20,21,41,0,0,0,153,139,291
UCL121021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,80,182,9,7,20,0,0,0,0,0,0,3,0,3,3,0,3,18,14,33,130,102,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,16,23,4,9,13,4,4,4,145,132,277
UCL121022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,72,157,4,5,6,9,0,9,0,0,0,0,0,0,0,0,0,5,24,27,101,102,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,16,16,10,24,0,0,0,119,124,245
UCL121023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,39,77,4,9,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,47,41,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,28,10,8,20,0,0,0,63,68,134
UCL121024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,57,129,10,3,13,0,0,0,0,0,0,0,5,5,0,0,0,4,5,4,86,68,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,5,14,19,0,0,0,94,93,182
UCL121025,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,68,54,124,7,4,13,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,83,59,143,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,47,64,111,20,26,44,0,0,0,155,156,307
UCL121026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,126,254,6,5,7,5,0,5,0,0,0,0,0,0,0,0,0,14,24,35,153,155,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,41,77,22,32,58,0,0,0,214,230,446
UCL121027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,102,209,7,11,18,0,0,0,4,0,4,0,0,6,0,0,0,4,3,9,118,118,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,22,38,10,23,36,3,5,7,154,174,323
UCL121028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,67,153,9,3,15,0,0,0,3,0,5,0,3,3,5,0,0,4,3,4,108,74,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39,61,95,16,19,39,0,0,0,160,161,321
UCL121029,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,104,82,190,4,4,9,10,0,10,0,0,4,0,0,0,0,0,0,3,0,3,128,94,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11,14,24,0,4,5,140,116,256
UCL121030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,123,272,13,11,16,6,0,11,0,0,0,0,3,3,0,0,0,7,3,13,175,142,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,9,16,8,15,24,0,3,5,193,166,362
UCL121031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,122,258,0,9,6,3,0,3,0,0,0,0,4,4,0,0,0,6,9,16,154,140,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,28,36,64,25,34,55,4,4,6,207,216,424
UCL121032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,75,157,5,5,10,3,0,4,0,0,0,0,0,0,0,0,0,7,14,24,104,97,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,8,20,9,7,18,0,0,6,124,124,251
UCL121033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,67,139,0,3,4,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,77,73,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,37,11,18,32,0,4,4,112,113,221
