UCL_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
UCL121101,91,17,10,3,0,0,0,126
UCL121102,90,4,6,0,0,0,0,100
UCL121103,79,11,5,4,0,0,4,100
UCL121104,60,12,6,0,0,0,0,77
UCL121105,30,6,0,4,0,0,0,37
UCL121106,61,9,0,0,0,0,0,78
UCL121107,71,10,9,0,0,0,0,93
UCL121108,56,13,9,0,0,0,0,81
UCL121109,54,6,4,0,0,0,0,63
UCL121110,80,15,8,0,0,0,4,110
UCL121111,41,13,6,0,0,0,0,47
UCL121112,86,9,10,0,0,0,0,99
UCL121113,31,0,0,0,0,0,0,36
UCL121114,82,8,0,4,0,0,0,95
UCL121115,28,10,7,0,0,0,0,41
UCL121116,138,12,6,0,0,0,0,159
UCL121117,51,11,4,0,0,0,0,65
UCL121118,68,8,0,0,0,0,0,76
UCL121119,75,12,6,3,0,0,0,95
UCL121120,11,0,5,0,0,0,0,21
UCL121121,46,14,6,0,0,0,0,65
UCL121122,57,5,8,0,0,0,0,72
UCL121123,52,17,0,0,0,0,0,69
UCL121124,22,6,0,0,0,0,0,26
UCL121125,58,6,8,0,0,0,0,69
UCL121126,64,6,7,0,0,0,0,75
UCL121127,78,9,7,0,0,0,0,97
UCL121128,105,20,8,0,0,0,0,133
UCL122001,25,0,7,0,0,0,0,35
UCL122002,14,3,0,0,0,0,0,14
UCL122003,38,5,3,0,0,0,0,51
UCL122004,13,5,0,0,0,0,0,22
UCL122005,17,0,9,0,0,0,0,24
UCL122006,21,0,0,0,0,0,0,24
UCL122007,20,5,4,0,0,0,3,28
UCL122008,24,3,6,0,0,0,0,31
UCL122009,22,7,4,0,0,0,0,37
UCL122010,36,8,0,0,0,0,4,48
UCL122011,41,7,3,0,0,0,0,52
UCL122012,19,0,0,0,0,0,0,22
UCL122013,10,4,0,0,0,0,0,11
UCL122014,29,4,0,0,0,0,0,32
UCL122015,15,0,0,0,0,0,0,18
UCL122016,30,0,0,0,0,0,0,30
UCL122017,23,4,0,0,0,0,0,27
UCL122018,21,4,0,0,0,0,0,25
UCL122019,13,3,0,0,0,0,0,22
UCL122020,3,0,0,0,0,0,0,9
UCL122021,14,0,0,0,0,0,0,16
UCL122022,51,5,0,0,0,0,0,60
UCL122023,51,4,0,4,0,0,0,61
UCL122024,21,3,4,0,0,0,0,29
UCL122025,23,5,4,0,0,0,0,34
UCL122026,21,4,0,0,0,0,4,32
UCL122027,14,0,0,0,0,0,0,14
UCL122028,18,4,5,0,0,0,0,25
UCL122029,17,0,0,0,0,0,0,23
UCL122030,35,8,0,0,0,0,0,38
UCL122031,68,7,0,0,0,0,0,69
UCL122032,38,4,5,0,0,0,0,43
UCL122033,26,0,3,0,0,0,3,33
UCL122034,28,0,0,0,0,0,0,33
UCL122035,23,9,6,0,0,0,0,36
UCL122036,11,0,0,0,0,0,0,15
UCL122037,33,8,0,0,0,0,0,43
UCL122038,25,5,0,0,0,0,0,31
UCL122039,32,6,3,0,0,0,0,38
UCL122040,14,0,0,0,0,0,0,10
UCL122041,37,4,0,0,0,0,0,40
UCL122042,33,0,0,0,0,0,0,37
UCL122043,27,5,0,0,0,0,0,27
UCL122044,6,0,0,0,0,0,0,8
UCL122045,20,6,0,0,0,0,0,25
UCL122046,32,6,0,0,0,0,0,35
UCL122047,29,0,0,0,0,0,0,34
UCL122048,21,3,0,0,0,0,0,21
UCL122049,11,0,3,0,0,0,0,17
UCL122050,5,0,0,0,0,0,0,7
UCL122051,17,0,0,0,0,0,0,22
UCL122052,26,3,0,0,0,0,0,29
UCL122053,10,3,0,0,0,0,0,16
UCL122054,31,0,0,0,0,0,0,37
UCL122055,34,0,3,0,0,0,0,36
UCL122056,24,3,5,0,0,0,0,40
UCL122057,24,6,6,0,0,0,0,34
UCL122058,33,5,0,0,0,0,0,41
UCL122059,36,5,0,0,0,0,0,48
UCL122060,24,3,3,0,0,0,0,33
UCL122061,3,4,0,0,0,0,0,7
UCL122062,21,3,5,0,0,0,0,30
UCL122063,25,3,3,0,0,0,0,27
UCL122064,20,5,0,0,0,0,0,22
UCL122065,24,0,0,0,0,0,0,25
UCL122066,45,3,8,0,0,0,0,53
UCL122067,32,3,0,0,0,0,0,38
