UCL_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL422052,0,0,0,0,0,0,8,9,4,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,3,26,0,5,37,28,45,91,108,88,16,419
UCL422053,0,0,0,0,0,3,0,3,0,18,0,0,0,0,0,0,0,0,0,0,4,6,10,9,21,26,26,17,0,108,4,6,20,18,37,65,66,36,10,255
UCL422054,0,0,0,0,0,0,3,3,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,5,0,21,3,16,11,17,36,50,34,24,7,191
UCL422055,0,0,0,0,0,4,3,5,3,24,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,4,9,8,0,35,3,20,31,27,62,56,45,29,5,277
UCL422056,0,0,0,0,0,0,9,0,4,16,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,5,8,4,16,48,34,22,34,27,16,17,215
UCL422057,0,0,0,0,0,0,4,5,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,6,11,0,0,26,12,19,39,57,50,56,51,11,4,305
UCL422058,0,0,0,0,0,4,8,5,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,5,8,18,24,20,33,30,19,8,175
UCL422059,0,0,0,0,0,3,8,3,0,19,0,0,0,0,0,0,0,6,0,3,8,0,0,8,13,12,9,9,0,54,14,13,42,50,52,82,75,42,7,377
UCL422060,0,0,0,0,0,0,10,5,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,3,0,18,4,4,11,17,23,44,55,20,10,189
UCL422061,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,14,0,0,0,20,4,10,28,25,42,53,21,4,0,194
UCL422062,0,0,0,0,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,29,26,28,24,19,6,0,147
UCL422063,0,4,0,4,10,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,11,10,19,15,19,8,5,0,0,80,16,29,42,32,49,19,3,0,0,199
UCL431001,34,35,136,193,304,595,1422,1440,518,4667,7,10,19,52,60,89,92,71,48,440,560,574,1472,1488,1879,2031,1646,899,238,10795,3530,6673,14114,17092,22216,25696,20107,8240,1709,119379
UCL479997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34
UCL501001,457,445,1633,2572,3292,4807,8767,10913,6956,39840,87,228,1312,1851,2092,2153,1894,1547,1143,12315,4127,5503,14037,12488,10249,8722,9101,9263,7236,80727,52614,125751,286187,289618,255439,221447,176384,97847,39851,1545136
UCL511001,17,21,54,70,88,165,375,526,307,1622,5,0,30,19,28,48,32,33,24,215,168,195,518,432,451,435,421,350,298,3261,1996,3782,9070,9649,9463,8833,7065,3912,1511,55277
UCL512001,8,12,42,40,45,86,171,301,210,910,0,5,18,25,34,19,18,6,17,144,86,78,209,183,198,218,207,237,173,1587,886,1496,3476,3442,3828,4051,3540,2338,1047,24109
UCL512002,3,3,18,18,35,54,127,223,210,697,0,4,27,7,17,14,12,8,13,97,75,43,178,154,155,204,213,202,156,1383,629,1047,2568,3165,3452,3398,3528,2097,880,20764
UCL512003,14,12,21,33,52,134,238,340,192,1022,0,6,11,13,20,25,31,36,28,176,200,172,402,449,373,334,273,256,141,2591,1067,1790,3802,4025,4189,4165,3308,1902,776,25022
UCL512004,10,13,25,56,59,91,131,104,46,543,3,4,12,29,23,17,14,3,3,113,140,227,587,544,452,514,354,126,72,3015,873,2004,4932,4503,4013,3598,1915,685,197,22719
UCL513001,8,4,12,23,29,36,105,76,25,306,3,0,8,13,14,7,7,8,8,63,122,166,549,429,448,482,331,151,29,2712,442,927,2988,2872,2589,2818,2670,882,111,16298
UCL513002,6,0,3,12,18,37,62,101,61,294,0,0,0,3,0,4,10,0,5,20,59,64,142,146,162,130,119,121,37,969,299,513,1231,1233,1301,1367,1081,741,257,8030
UCL513003,3,3,12,16,35,25,42,28,7,165,5,6,9,12,3,6,3,8,0,39,127,205,681,745,609,434,161,37,8,3008,424,976,3542,3781,2834,1870,787,181,22,14423
UCL513004,6,8,19,31,39,48,48,27,8,233,0,0,7,10,20,8,11,4,0,64,130,212,799,750,674,527,184,48,13,3333,452,922,3557,3397,2606,2102,808,189,34,14079
UCL513005,9,3,7,11,13,19,23,38,21,138,0,0,7,5,0,0,3,3,0,27,31,19,69,72,49,50,37,58,50,441,315,483,1385,1469,1322,1039,821,461,146,7440
UCL514001,3,4,3,8,15,26,76,77,33,247,0,0,0,4,0,8,10,3,0,25,44,20,69,86,73,65,76,76,59,565,208,338,785,801,860,968,925,477,163,5527
UCL514002,0,4,5,0,4,3,15,19,12,62,0,0,0,0,0,0,0,0,0,5,15,12,60,62,37,46,33,41,4,310,136,160,689,1068,927,744,845,423,97,5086
UCL514003,4,9,27,10,12,8,14,14,10,115,0,0,0,0,3,0,0,0,0,9,28,29,84,72,90,72,52,26,41,500,157,258,972,1232,1059,797,629,246,120,5470
UCL514004,3,0,8,9,14,28,66,66,40,240,0,3,0,5,5,3,9,5,4,27,40,45,83,79,100,83,74,82,54,640,215,342,718,712,797,903,794,434,188,5096
UCL515001,0,0,0,0,0,3,10,8,17,38,0,0,0,0,0,0,0,0,0,6,0,6,8,6,11,5,22,14,11,83,12,25,74,92,128,198,299,166,98,1084
UCL515002,0,0,0,4,0,3,3,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,15,7,4,0,5,4,40,22,49,126,164,167,192,164,49,10,938
UCL515003,0,0,0,0,0,11,17,9,10,49,0,0,0,0,0,0,0,0,0,0,7,10,16,11,27,25,29,27,9,159,54,71,177,196,280,360,410,191,71,1819
UCL515004,0,0,0,4,5,4,12,14,4,40,0,0,0,0,4,3,6,0,0,8,8,14,19,11,17,16,10,3,6,94,76,174,394,248,243,159,149,66,19,1519
UCL515005,0,0,0,0,3,9,16,14,9,52,0,0,0,0,0,0,0,0,0,7,12,0,4,7,17,19,18,9,7,103,62,102,214,287,330,271,265,127,36,1688
UCL515006,6,0,8,7,11,20,58,67,18,203,0,0,0,4,10,0,5,0,4,27,45,84,151,119,121,109,93,56,14,791,133,267,590,544,658,805,917,437,88,4439
UCL515007,0,0,0,0,0,0,0,4,7,8,0,0,0,0,0,0,0,0,0,0,3,3,14,40,25,8,6,4,0,117,33,41,174,420,299,198,118,46,20,1340
UCL515008,0,0,0,0,0,4,5,0,0,8,0,0,0,0,0,0,0,0,0,0,12,0,17,23,25,20,13,9,0,120,22,44,148,241,226,174,78,30,0,956
UCL515009,0,0,4,0,4,3,13,21,6,51,0,0,0,0,0,0,0,0,0,3,22,14,30,41,61,42,38,28,11,275,68,60,213,334,379,405,448,281,108,2295
UCL515010,9,4,4,4,11,18,22,25,4,99,0,0,0,0,4,0,3,8,6,20,49,66,163,113,119,115,81,27,4,729,108,216,549,413,458,564,478,127,26,2939
