UCL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL321033,11,93,104,155,34,186,54,8,65,50,6,57,18,3,20,9,0,13,295,142,434
UCL321034,3,170,173,136,67,202,52,4,54,50,5,51,20,0,20,17,3,22,278,243,518
UCL321035,8,160,172,253,37,289,107,6,111,82,4,86,44,0,47,40,0,38,533,215,745
UCL321036,4,42,45,113,5,121,68,4,71,62,3,67,31,0,33,15,0,16,291,61,355
UCL321037,8,106,107,92,23,117,26,4,34,37,3,44,14,0,12,10,0,12,190,141,334
UCL321038,13,107,112,152,93,244,45,5,48,34,3,35,9,4,13,13,0,13,269,206,475
UCL321039,10,80,89,218,20,241,49,6,47,24,0,24,14,0,13,7,0,7,324,103,432
UCL321040,5,52,48,89,6,100,40,4,42,35,3,33,16,0,16,4,0,7,189,64,253
UCL321041,3,150,152,115,51,169,41,9,46,25,6,26,18,3,14,11,0,10,205,217,422
UCL321042,5,47,51,62,10,78,45,4,48,26,5,30,13,0,13,20,0,21,171,70,235
UCL321043,3,18,18,66,9,76,41,0,43,54,0,54,22,0,22,14,0,14,198,30,228
UCL321044,17,312,330,331,87,415,78,13,94,47,8,54,24,8,25,28,3,30,521,422,947
UCL321045,4,48,52,122,15,136,50,4,58,77,0,81,29,0,25,17,0,14,303,72,371
UCL321046,3,21,26,87,4,94,35,0,34,37,0,37,11,0,11,9,0,9,172,26,203
