UCL_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL115121,3,0,3,0,0,0,13,0,4,0,0,7,4,0,0,24,0,19,11,6,11,18,8,0,68,5,14,9,29,24,15,3,0,93,35,62,66,48,72,55,23,0,356,6,7,7,0,0,4,0,0,24,4,4,6,5,8,8,3,0,33,43,65,77,56,84,62,24,0,415,0,0,5,3,0,4,0,0,9,20,22,28,21,16,30,25,8,170,68,127,130,116,144,139,59,9,789
UCL115122,0,3,0,0,0,0,19,0,0,0,8,0,4,0,0,13,7,42,31,19,20,18,3,0,143,0,17,18,24,28,20,12,4,116,28,82,82,81,74,59,26,0,440,7,0,13,5,9,10,3,0,46,4,7,6,8,10,4,4,0,48,42,90,102,93,85,70,38,3,526,0,0,4,0,6,0,5,0,7,44,34,47,39,41,60,50,34,343,95,192,201,187,180,172,113,42,1180
UCL115123,13,22,12,14,0,5,63,0,0,3,10,5,13,0,0,40,0,30,48,43,13,27,5,0,165,0,23,20,30,29,19,11,0,138,20,45,31,58,51,35,11,0,260,5,0,7,0,3,0,0,0,27,7,0,0,6,4,11,3,0,26,30,50,40,69,61,48,14,0,310,0,0,0,0,0,4,0,0,8,3,5,16,10,19,19,12,0,93,41,109,145,178,143,144,50,5,807
UCL115124,38,35,23,21,3,0,136,3,4,12,16,11,25,0,0,76,16,114,154,114,77,59,14,3,564,12,62,84,84,72,41,19,0,373,48,177,147,131,157,106,26,10,805,5,11,9,6,13,6,0,0,41,4,3,12,13,17,10,0,0,69,58,191,159,152,186,126,33,10,912,3,4,3,0,3,4,0,0,19,43,64,46,34,40,29,16,7,274,133,456,493,430,416,304,89,27,2356
UCL115125,28,12,13,12,5,5,88,0,11,4,8,14,10,0,0,54,9,71,61,59,51,54,21,0,334,5,26,49,49,62,53,24,7,261,27,73,107,105,109,132,63,12,623,3,0,0,3,4,7,0,0,30,3,4,0,7,20,26,10,5,82,36,77,108,121,133,159,79,18,726,0,0,5,0,3,10,0,3,19,19,21,19,16,35,61,56,24,247,67,215,275,259,314,353,189,53,1730
UCL115126,9,9,6,18,0,0,50,0,3,8,7,7,4,0,3,31,3,20,32,22,38,23,7,0,148,3,4,14,22,19,21,5,0,103,12,12,30,31,36,34,17,6,171,0,0,0,0,4,0,0,0,7,0,0,5,3,4,4,8,0,13,11,12,36,32,40,39,23,6,202,0,0,0,0,0,0,5,0,3,3,5,7,7,8,8,0,3,43,24,41,107,108,118,117,48,10,572
UCL115127,11,5,10,13,3,0,45,0,0,0,6,5,0,0,0,17,0,17,19,29,29,31,10,0,141,0,9,10,30,34,26,10,3,126,12,36,55,60,60,38,20,3,272,3,0,4,0,3,5,0,0,19,0,0,8,5,9,7,7,0,22,12,38,61,60,67,47,25,3,312,0,0,0,0,0,0,0,0,4,12,5,19,15,22,26,8,5,110,28,76,124,137,173,142,61,10,757
UCL115128,20,39,30,10,10,0,115,0,5,14,15,15,8,0,0,58,3,63,97,77,52,45,16,0,362,3,28,51,46,60,30,10,5,227,20,47,60,75,51,27,10,3,294,0,3,3,7,8,4,0,0,23,0,0,8,11,8,4,3,0,32,20,55,71,90,64,38,16,5,355,0,0,0,0,5,0,0,0,14,16,22,24,33,14,13,3,0,132,49,198,271,297,229,142,51,9,1259
UCL115129,35,47,40,30,10,0,174,0,0,3,10,18,4,0,0,39,5,68,80,76,65,53,15,0,356,3,18,18,37,41,26,11,4,161,17,29,19,38,54,20,7,6,191,0,0,5,4,0,0,0,0,7,0,5,0,7,10,13,7,12,46,19,34,19,45,58,36,19,9,249,0,0,0,0,0,5,0,0,10,8,5,10,13,10,6,11,21,83,37,148,177,232,231,156,66,34,1079
UCL115130,14,3,11,11,4,0,48,0,4,0,3,14,14,4,0,33,4,39,27,22,47,42,18,5,205,3,17,25,29,50,60,20,4,212,30,81,82,91,182,195,103,20,796,5,4,5,3,8,9,0,0,35,3,3,10,7,23,22,11,3,88,39,94,95,107,217,229,120,20,918,0,4,0,0,3,11,9,0,23,15,13,20,20,50,79,87,78,369,67,175,177,190,381,441,261,110,1805
UCL115131,14,10,13,19,0,0,60,0,0,4,4,11,10,3,0,36,3,34,35,26,41,50,31,6,225,6,32,41,53,67,54,26,0,278,55,140,128,160,176,133,59,17,866,14,10,4,10,12,11,0,0,74,3,8,13,12,17,15,13,3,78,74,157,146,182,209,151,76,17,1023,0,0,0,0,5,0,0,0,11,33,36,28,27,36,42,27,11,241,119,268,261,306,383,333,165,46,1877
UCL115132,8,15,17,19,5,0,73,0,0,9,13,18,11,6,0,55,4,34,38,42,67,56,25,0,268,0,12,17,16,24,34,11,4,113,15,23,30,38,68,51,18,3,250,0,6,7,0,4,0,0,0,18,0,0,0,3,7,11,6,8,37,18,29,36,44,77,59,21,7,299,0,0,0,0,7,3,0,0,10,7,5,5,10,11,15,16,17,83,29,91,115,141,216,195,84,30,903
UCL115133,7,6,15,27,19,6,75,0,0,3,8,3,17,8,0,37,0,15,22,14,36,86,56,14,244,0,7,14,18,54,97,72,12,279,5,23,31,47,106,159,98,24,504,0,0,3,0,12,16,15,0,47,0,0,4,3,5,43,30,12,102,10,29,37,57,126,224,138,42,660,0,0,0,0,9,8,9,7,31,0,3,10,18,16,60,69,19,198,17,59,88,119,252,514,366,109,1520
UCL115134,10,13,17,13,0,0,57,0,8,6,5,3,16,7,0,44,17,61,59,61,43,32,6,4,282,10,24,41,30,56,30,12,8,207,76,151,109,103,124,95,33,9,709,9,9,7,11,14,13,7,0,65,0,10,3,12,16,26,4,0,70,83,169,123,129,155,123,47,15,844,0,0,0,3,0,0,3,0,14,26,28,22,26,46,49,54,37,285,137,297,263,267,323,261,129,58,1729
UCL115135,8,7,10,7,5,0,42,0,0,4,3,6,13,6,0,34,3,37,32,22,36,48,16,0,206,4,14,32,26,48,47,23,3,189,35,64,63,76,97,95,42,6,477,6,3,5,9,13,11,0,0,41,0,0,5,7,5,16,5,4,50,43,74,71,89,117,117,48,9,566,0,0,0,0,5,0,4,0,15,31,27,31,40,43,66,45,19,294,83,153,172,190,257,298,141,35,1339
UCL115136,15,4,5,4,0,0,47,6,0,3,4,4,3,0,0,19,9,48,55,37,19,13,0,0,173,9,30,46,36,16,10,5,0,152,49,100,107,90,65,30,10,0,452,5,5,4,0,3,0,0,0,23,4,0,11,12,5,5,0,0,37,50,111,121,103,80,39,7,0,514,0,0,5,6,3,0,0,0,16,13,19,13,10,10,7,10,7,83,84,224,260,197,135,80,23,7,1007
UCL115137,19,16,13,10,0,0,89,0,20,12,7,9,12,3,0,51,27,69,61,38,33,30,11,3,274,21,56,53,52,49,41,15,7,286,106,262,146,135,113,95,34,8,885,8,9,8,10,4,8,0,0,43,4,4,8,19,31,19,10,0,90,116,277,158,156,146,117,42,8,1018,4,5,0,0,0,3,0,0,12,20,25,27,27,24,25,41,49,240,189,468,333,292,261,234,112,64,1962
UCL115138,21,16,7,4,0,0,66,0,10,9,13,3,3,0,0,40,18,82,70,34,14,18,0,0,233,14,48,39,34,7,13,8,0,162,47,126,70,60,36,31,7,0,372,9,7,3,4,0,4,0,0,24,0,3,0,3,4,6,0,0,20,59,135,77,65,41,36,4,0,419,0,0,0,3,0,0,3,0,16,19,18,12,11,12,3,0,0,76,108,316,237,174,80,80,21,6,1016
UCL115139,0,3,0,9,4,0,18,0,0,8,4,7,12,0,0,36,0,28,32,23,17,29,16,3,144,0,21,26,16,35,30,18,4,149,25,67,71,55,93,107,39,8,462,0,5,3,5,3,10,0,0,30,0,6,3,5,8,4,6,5,36,25,71,84,70,105,119,45,11,528,0,0,0,0,4,0,4,0,14,27,14,26,29,37,68,64,20,279,52,131,179,141,210,259,148,42,1161
UCL115140,12,8,3,15,3,0,47,0,0,4,0,7,12,0,0,23,0,16,19,24,20,25,9,3,116,0,7,11,20,27,20,10,4,103,12,44,35,35,46,57,12,5,230,0,0,3,3,3,0,0,0,16,0,0,5,0,7,7,0,0,27,10,40,40,34,59,63,19,6,272,0,0,0,0,4,3,0,0,4,7,5,6,15,16,44,14,9,115,27,81,94,102,139,181,52,16,681
UCL115141,3,9,3,3,0,0,16,0,5,0,3,7,0,0,0,15,8,17,20,26,12,17,7,3,108,0,11,10,22,16,20,5,3,86,18,48,66,44,47,24,19,3,265,0,3,3,0,4,0,0,0,14,0,5,4,0,5,4,3,0,20,16,59,74,44,53,30,18,3,302,0,0,0,0,5,0,0,0,6,18,9,12,14,20,13,17,12,130,48,105,118,121,115,84,55,22,667
UCL115142,13,8,24,21,10,6,82,0,6,0,9,21,22,6,0,66,4,15,22,39,65,86,35,4,274,0,8,8,26,60,71,38,5,227,10,51,43,57,116,110,27,9,428,0,5,5,3,10,6,5,0,31,0,0,4,4,12,24,12,0,53,13,51,55,67,134,141,41,9,516,0,3,0,0,3,3,6,0,14,8,3,8,17,33,58,43,17,183,24,91,108,166,347,405,181,39,1357
UCL115143,19,7,17,15,5,0,68,0,3,3,9,13,13,4,0,48,6,46,36,32,38,35,9,4,203,4,21,28,42,28,33,13,3,174,29,79,73,65,76,50,18,0,389,5,11,4,4,6,5,0,0,31,4,0,0,4,14,11,0,0,31,35,88,76,74,90,60,19,0,455,0,0,0,0,3,0,0,0,6,16,10,8,30,31,38,27,19,176,62,176,180,187,219,200,75,27,1130
UCL115144,8,9,16,13,4,0,57,0,6,7,3,12,21,0,0,44,4,33,31,38,61,62,18,7,256,0,14,19,35,44,49,21,3,188,24,68,88,95,122,107,56,13,568,3,7,3,4,6,3,0,0,32,0,0,4,3,18,24,6,0,56,29,73,92,98,146,132,63,15,651,0,0,0,0,0,3,7,0,12,27,20,22,35,43,77,46,10,283,60,145,174,221,330,355,163,44,1484
UCL115145,11,11,12,21,9,0,62,0,0,6,3,7,3,4,0,30,4,37,36,43,46,36,9,5,215,3,9,14,20,36,39,13,3,138,11,36,27,34,53,46,28,7,230,0,0,0,3,4,7,0,0,19,0,0,0,0,7,11,5,5,30,13,36,24,37,67,69,33,3,281,0,0,0,0,0,6,6,0,11,7,7,11,13,11,33,26,5,115,25,95,107,124,178,201,106,23,864
UCL115146,23,40,47,46,11,0,176,0,12,14,13,23,18,7,0,98,17,56,63,78,86,88,26,3,419,3,14,29,52,85,57,26,3,263,19,55,75,71,106,84,36,12,451,0,0,9,11,6,9,0,0,29,0,5,0,7,21,20,8,0,70,21,58,81,79,128,119,48,13,555,0,3,0,3,5,9,0,3,20,4,11,12,16,10,32,25,14,128,53,162,223,290,387,357,144,41,1646
UCL115147,19,16,7,9,3,0,55,0,4,10,4,0,5,0,0,18,6,40,40,16,8,17,4,0,122,3,11,23,24,26,18,4,0,111,10,51,32,30,38,32,7,3,203,0,0,0,0,0,5,4,0,11,0,0,0,3,3,7,3,0,21,5,57,40,35,41,41,16,3,237,0,0,0,0,3,0,0,0,3,3,9,6,6,4,14,4,0,41,19,125,136,90,91,100,23,0,591
UCL115148,4,9,4,9,0,0,22,0,0,4,0,7,7,0,0,11,4,11,19,9,9,15,6,4,72,0,3,11,13,16,28,7,5,81,16,35,31,39,42,39,16,0,220,5,10,9,3,9,4,5,0,30,0,0,0,0,4,8,7,0,21,21,45,38,44,50,49,23,0,267,0,0,0,0,0,0,0,0,9,12,16,8,15,13,22,35,16,144,35,78,71,90,102,121,77,27,603
UCL115149,6,6,4,0,0,0,17,0,0,0,3,4,0,0,0,12,5,28,17,7,20,5,0,0,84,5,21,15,14,14,4,0,0,70,3,31,25,16,18,10,0,0,100,0,3,0,3,4,6,0,0,13,0,3,0,4,6,0,0,0,9,11,31,23,20,25,11,0,0,124,0,0,0,0,0,0,0,0,0,86,80,76,79,88,64,25,12,508,99,165,141,128,157,89,25,10,819
UCL115150,7,6,0,0,0,0,23,0,0,0,0,3,0,0,0,6,3,23,15,8,7,14,0,0,70,3,19,19,20,14,14,5,0,83,17,34,53,30,36,22,10,0,205,0,0,4,3,11,0,0,0,18,0,0,3,6,6,10,0,0,22,20,36,54,40,53,32,8,0,249,0,0,0,0,0,0,0,0,0,11,6,11,7,8,17,9,0,64,41,86,102,87,83,74,25,3,496
UCL115151,0,3,0,0,0,0,13,0,4,0,9,0,4,0,0,18,6,25,25,16,12,7,4,0,97,3,21,16,18,12,22,9,0,105,46,105,70,86,68,52,19,0,455,13,9,4,10,7,4,0,0,31,3,4,10,5,5,4,0,0,36,59,117,87,102,79,59,22,0,523,4,0,0,4,4,0,0,0,8,11,12,8,19,13,17,11,4,95,79,184,139,166,122,113,44,7,856
UCL115152,0,0,0,0,0,0,5,0,0,0,5,0,3,0,0,7,3,7,8,11,12,3,5,0,53,3,3,3,9,17,8,6,0,53,10,35,32,34,31,20,10,4,172,0,0,4,0,3,0,0,0,14,0,0,0,5,0,3,3,0,14,11,43,32,41,35,18,12,3,196,0,0,0,0,0,0,0,0,0,4,12,8,11,23,20,23,6,110,21,67,58,75,92,61,39,15,428
UCL115153,3,0,7,0,0,0,19,0,0,0,6,4,0,0,0,13,6,30,15,5,14,4,6,0,78,5,12,20,8,8,10,0,0,59,18,35,17,30,40,16,7,5,162,4,0,3,0,0,0,0,0,18,0,0,0,0,0,5,0,0,12,20,39,19,31,42,24,11,5,189,0,4,0,0,0,0,0,0,6,19,19,22,28,30,44,40,36,244,51,108,77,80,100,80,60,42,614
UCL115154,0,0,0,0,0,0,8,0,0,0,4,5,0,0,0,14,4,30,14,11,14,3,4,4,80,4,8,15,8,10,7,3,4,55,22,46,46,34,41,19,10,0,221,0,0,6,0,4,4,0,0,21,0,0,3,0,3,5,0,0,15,20,53,55,37,49,31,15,0,257,0,0,0,0,0,0,0,0,3,28,39,22,22,30,20,19,4,183,54,135,113,83,108,59,38,10,615
UCL115155,6,13,4,7,0,0,42,0,5,11,7,6,3,5,0,35,14,87,37,37,29,36,12,5,249,6,28,22,46,59,29,23,6,219,50,140,91,106,143,84,47,11,680,7,17,8,12,11,3,0,0,54,3,4,7,9,15,3,7,0,54,62,161,110,120,170,96,56,15,788,0,6,0,0,0,4,3,0,16,79,99,90,92,77,80,72,35,613,160,398,272,318,340,249,174,63,1973
UCL115156,0,0,5,3,0,0,16,0,0,0,3,0,0,0,0,13,3,14,9,9,17,15,10,0,79,8,5,5,11,25,14,6,0,75,10,27,16,40,50,40,21,4,208,4,0,3,0,5,7,0,0,18,4,4,0,0,0,6,3,0,15,14,28,25,48,52,57,21,7,243,0,0,0,0,0,0,3,0,5,20,27,23,21,24,48,29,20,201,38,82,59,93,136,128,71,27,637
UCL115157,0,5,0,4,0,0,10,0,0,0,0,4,0,0,0,3,3,12,4,4,3,12,0,0,41,0,6,6,7,4,11,0,0,40,15,40,37,32,41,30,10,3,200,6,0,0,0,5,0,0,0,11,5,0,3,3,0,11,5,0,21,20,43,44,32,47,38,13,3,236,0,0,0,4,0,0,0,0,12,17,14,15,19,20,25,21,8,134,37,80,73,71,80,88,36,10,483
UCL115158,12,5,3,0,4,0,31,6,8,5,8,9,8,0,0,40,8,78,57,31,17,12,14,7,217,8,19,33,27,31,19,15,5,151,55,121,104,87,84,39,26,10,527,6,3,5,5,7,4,0,0,38,4,0,7,7,4,12,9,4,36,64,132,120,96,92,56,32,11,600,0,0,0,0,5,5,4,0,15,20,34,42,47,44,38,43,32,298,109,280,260,211,198,130,102,45,1342
UCL115159,13,7,9,0,0,0,41,0,6,8,9,5,0,0,0,31,13,32,29,36,22,18,0,6,145,12,27,25,42,28,15,0,0,154,35,83,64,67,66,31,14,0,370,7,5,3,4,3,0,0,0,25,0,3,5,8,8,3,0,0,28,47,98,76,81,76,37,14,0,422,0,0,3,5,0,0,0,0,12,7,15,15,10,9,10,3,0,74,71,175,169,188,148,83,21,6,873
UCL115160,35,16,9,3,0,0,85,0,7,15,13,5,4,0,0,42,8,69,125,47,21,8,0,0,275,10,45,80,62,38,17,4,0,259,38,142,174,99,68,32,13,0,565,0,3,4,4,5,5,0,0,18,0,10,4,3,14,3,5,0,42,37,157,185,108,86,39,18,0,622,0,0,0,0,0,0,0,0,0,12,24,22,17,7,5,0,0,81,64,318,458,262,164,84,25,0,1369
UCL115161,18,8,15,13,4,0,56,0,7,10,5,11,9,0,0,45,12,50,39,32,45,46,21,3,248,11,44,40,38,53,41,26,4,247,76,184,120,134,163,95,42,5,820,4,21,4,6,7,10,3,0,58,4,5,14,15,18,18,7,0,74,82,205,137,150,193,128,54,12,953,0,4,0,4,6,8,0,3,20,46,42,29,35,67,56,61,36,374,146,357,265,278,372,300,162,56,1941
UCL115162,22,18,15,22,7,0,95,0,4,9,17,18,13,3,0,65,8,67,93,76,34,43,18,6,352,8,32,45,64,51,23,17,0,253,49,97,103,81,100,72,33,6,530,10,0,10,3,9,3,3,0,42,4,9,10,13,12,13,8,0,66,55,108,117,99,118,84,43,6,634,0,0,0,0,3,3,5,0,12,14,15,19,13,7,8,25,6,106,89,236,307,303,250,200,117,17,1514
UCL115163,10,7,0,0,0,4,24,0,6,0,5,5,3,3,0,21,8,24,17,13,16,5,8,0,87,8,22,26,26,22,15,4,8,127,45,74,84,88,72,47,24,13,437,8,0,5,0,3,3,0,0,27,3,3,8,7,3,7,10,6,45,53,79,92,94,79,60,36,22,516,0,0,0,0,8,0,0,3,9,12,3,14,7,10,11,14,21,90,80,144,158,151,139,96,63,48,873
UCL115164,0,0,7,3,0,0,11,0,0,0,0,0,0,4,0,5,9,7,17,4,12,19,7,0,72,0,6,10,17,10,21,14,4,87,31,39,50,46,33,45,27,9,272,4,0,0,0,0,5,0,0,14,0,0,0,3,4,6,9,0,28,33,43,50,53,39,51,38,9,313,0,0,0,0,0,0,0,0,12,4,4,6,3,14,28,27,7,102,50,66,85,82,78,124,98,23,606
UCL115165,0,0,0,0,0,0,7,0,0,3,0,3,0,0,0,9,4,18,16,14,9,0,0,0,61,3,10,5,15,10,4,0,0,40,19,65,45,38,23,13,3,0,209,7,3,0,8,4,0,0,0,15,0,0,0,10,0,3,0,0,18,25,70,47,46,29,16,0,0,238,0,0,0,0,0,0,0,0,4,13,15,15,13,19,11,7,3,94,44,117,81,86,69,40,13,5,452
UCL121001,0,4,3,4,0,0,14,0,0,3,0,5,3,0,0,8,0,17,8,6,8,9,4,0,44,3,7,5,13,7,15,0,0,52,6,32,32,30,35,22,9,3,171,0,0,3,0,4,0,0,0,12,0,0,3,3,3,0,5,0,11,6,38,36,31,41,22,8,5,191,0,0,0,0,0,4,3,0,8,9,6,5,0,11,14,6,0,60,17,64,61,58,74,68,21,6,376
UCL121002,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,7,8,0,5,0,0,0,27,0,3,0,4,5,5,0,0,9,0,11,10,13,14,11,11,0,64,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,14,14,10,15,11,7,0,81,0,0,0,0,0,0,0,0,0,10,9,15,19,14,24,15,3,111,15,40,33,36,38,43,27,8,239
UCL121003,3,6,12,6,9,0,37,0,0,3,4,3,11,7,0,27,0,23,22,15,35,21,4,0,119,0,9,3,3,17,19,8,0,55,0,11,21,21,40,29,9,4,142,0,0,0,0,3,0,0,0,9,0,0,0,0,4,0,0,0,8,0,11,24,21,51,29,10,4,155,0,0,0,0,0,0,0,0,0,4,3,0,4,9,6,6,0,40,4,52,58,54,116,99,46,4,438
UCL121004,4,0,0,6,0,0,13,0,7,0,0,0,0,0,0,14,0,13,18,6,14,9,3,0,69,0,7,19,9,12,8,0,0,56,20,46,30,32,34,26,4,0,187,5,0,0,0,4,0,0,0,11,0,3,0,4,6,10,4,0,27,19,48,36,39,39,31,9,0,221,0,0,0,0,0,0,0,0,3,8,3,4,7,4,6,5,3,45,29,86,83,67,69,55,24,7,422
UCL121005,0,3,9,0,0,0,13,0,0,0,0,0,0,0,0,6,9,8,9,11,7,0,0,0,35,0,3,12,12,6,14,0,0,51,6,26,28,22,14,15,4,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,6,24,28,21,20,18,9,0,125,0,0,0,3,0,5,0,0,0,5,5,0,0,3,10,0,0,20,22,40,45,49,40,46,13,0,260
UCL121006,0,4,0,10,0,0,18,0,0,0,5,5,3,0,0,9,0,8,8,17,12,13,6,0,70,0,3,10,12,20,7,9,3,56,7,15,16,20,43,27,5,0,151,0,0,0,0,4,4,0,0,8,0,0,0,3,0,6,4,0,16,10,19,16,25,47,36,15,5,173,0,0,0,3,0,0,4,0,14,6,11,0,12,11,18,11,6,72,12,39,35,68,102,98,44,14,404
UCL121007,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,5,6,11,6,9,8,0,0,44,0,9,9,3,8,5,9,3,46,6,15,23,36,29,29,8,0,148,0,0,3,5,5,0,0,0,13,0,0,0,5,8,0,0,0,8,9,15,22,43,38,34,9,0,173,0,0,0,0,0,0,0,0,0,18,14,7,13,16,27,31,39,154,33,46,54,63,72,77,54,42,441
UCL121008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,12,3,9,4,12,9,4,0,0,39,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,5,7,9,9,8,0,0,47,0,0,0,0,0,0,0,0,0,32,28,26,26,26,22,11,0,169,32,36,34,35,40,34,13,0,234
UCL121009,3,6,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,13,13,3,7,0,6,0,45,3,4,10,6,6,4,3,5,41,12,29,32,38,23,12,9,0,148,0,5,4,4,0,0,0,0,9,0,0,0,0,0,0,0,0,7,12,30,33,41,21,12,9,0,166,0,0,0,0,0,0,0,0,0,23,26,23,24,28,27,18,15,179,37,76,89,91,62,45,32,25,447
UCL121010,6,5,10,11,9,0,38,0,0,4,4,5,4,0,0,15,3,16,28,20,27,32,3,0,132,3,3,10,9,15,17,9,0,62,3,4,13,27,25,16,0,0,101,0,0,0,0,4,3,6,0,14,0,0,0,4,3,4,0,0,14,3,8,13,29,33,24,9,0,121,0,0,0,0,0,0,0,0,5,10,0,7,16,3,24,14,0,66,14,43,64,84,91,108,37,5,440
UCL121011,0,0,0,3,0,0,5,0,4,0,0,0,6,0,0,9,0,0,6,9,4,8,0,0,32,0,0,9,7,15,11,0,0,48,10,20,21,26,29,28,3,3,142,0,9,3,4,3,0,0,0,18,0,3,0,7,4,0,0,0,15,11,26,26,41,34,26,3,3,172,0,0,0,0,3,0,0,0,5,30,18,11,9,27,15,8,0,125,45,56,53,66,84,67,22,7,404
UCL121012,4,5,6,3,0,0,23,0,6,3,5,4,0,4,0,19,7,22,17,20,26,10,6,0,106,4,5,11,21,23,19,4,0,79,25,12,37,26,37,32,3,0,170,3,0,0,5,8,0,0,0,16,4,0,0,10,10,0,3,0,24,25,18,38,37,53,27,8,0,205,0,0,0,3,0,5,0,0,5,0,0,0,5,3,7,0,0,15,39,45,72,90,112,71,15,4,454
UCL121013,3,7,6,0,0,0,17,0,0,0,0,3,0,0,0,8,5,19,8,9,3,5,0,0,49,3,13,9,6,9,8,0,0,37,4,19,6,6,16,4,0,0,54,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,25,10,8,16,4,0,0,67,0,0,0,0,0,0,0,0,0,18,31,14,17,18,17,0,4,124,29,89,50,45,52,28,5,4,304
UCL121014,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,4,0,5,11,6,6,0,0,0,28,0,3,3,9,7,0,0,0,24,3,13,15,10,34,22,8,0,107,0,0,0,5,3,0,0,0,10,0,0,3,3,0,3,0,0,15,3,14,24,16,35,27,8,0,126,0,0,0,0,6,4,0,0,3,5,0,13,10,11,10,6,0,63,13,33,53,38,62,52,18,0,263
UCL121015,10,15,16,8,0,0,59,0,0,4,6,9,0,0,0,22,5,19,17,21,31,6,4,0,107,0,6,8,20,15,8,0,3,63,15,22,14,26,29,7,10,0,122,0,0,4,0,0,0,3,0,4,0,0,0,3,5,9,0,0,21,15,20,21,29,39,19,13,0,149,0,0,0,0,0,0,0,0,0,4,4,4,7,5,3,4,0,26,23,54,61,92,117,44,30,4,423
UCL121016,3,0,3,4,0,0,12,0,0,3,3,0,5,0,0,10,3,18,13,14,13,11,0,0,67,0,3,10,3,13,4,0,0,36,7,20,9,15,26,5,3,0,93,0,4,0,0,0,0,0,0,4,0,0,5,0,0,3,0,0,7,4,26,16,15,28,13,3,0,103,0,0,0,0,0,0,0,0,0,13,0,6,15,10,7,4,0,50,18,48,50,56,61,33,8,9,282
