LGA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
LGA14220,6576,16235,451,689,85,131,534,819,61,78,0,0,0,0,0,4,8,15,68,99,53,87,19,37,9,14,21,44,105,182,47,66,7326,17396,786,..,8115,17396
LGA14300,2081,5233,31,55,7,16,42,71,84,95,15,16,0,0,0,0,0,0,90,113,0,0,5,19,5,3,3,8,20,34,5,17,2241,5464,269,..,2508,5464
LGA14350,10972,27250,213,386,108,189,316,578,707,1075,79,131,0,0,0,3,9,30,793,1238,254,440,87,171,10,20,22,43,366,669,53,116,12510,29853,1745,..,14257,29853
LGA14400,6852,18430,417,757,882,1794,1294,2548,272,457,191,332,325,477,0,0,29,52,807,1328,16,30,31,56,0,0,33,73,86,159,25,42,9064,22503,1699,..,10766,22503
LGA14500,29141,92537,217,436,1446,3373,1660,3813,1671,2995,1734,3386,7343,16438,855,1889,94,217,11695,24916,3,0,8,10,0,0,130,283,138,300,43,98,42683,121662,3165,..,45849,121662
LGA14550,3889,8824,14,16,3,6,11,21,92,128,6,16,0,0,0,0,3,13,106,149,41,69,11,19,20,29,22,41,97,154,23,44,4125,9194,559,..,4672,9194
LGA14600,2323,5647,67,83,0,5,69,87,74,118,0,0,0,0,0,0,0,0,74,118,12,22,3,8,3,15,3,6,28,49,21,56,2514,5956,491,..,3003,5956
LGA14650,70738,187254,5375,8599,2829,5515,8205,14112,2315,3412,339,530,727,1193,256,454,200,398,3837,5991,146,234,267,369,10,24,103,214,522,844,133,232,83435,208435,5384,..,88815,208435
LGA14700,5929,18444,207,519,623,1421,830,1940,856,1615,2915,5731,4194,8237,1113,2307,55,134,9141,18027,0,0,0,0,0,0,13,44,15,46,19,46,15930,38506,1391,..,17320,38506
LGA14750,3746,9760,124,210,12,27,134,231,361,566,4,0,0,0,0,0,0,0,366,570,15,18,39,63,0,4,23,54,74,139,28,72,4347,10776,330,..,4678,10776
LGA14850,15237,38396,1266,1943,573,1030,1843,2977,734,1221,84,130,0,0,0,6,88,171,912,1519,96,115,196,242,17,24,31,73,336,454,63,117,18390,43463,1321,..,19716,43463
LGA14870,7977,18670,585,883,113,182,695,1066,130,186,14,14,0,0,0,5,7,19,154,226,15,18,13,15,3,3,45,98,77,139,37,68,8946,20172,1261,..,10203,20172
LGA14900,52836,181833,1440,3502,6145,16906,7584,20407,1833,3292,4493,9388,1975,4935,3742,8337,530,1431,12566,27387,0,5,0,0,10,12,44,96,52,112,233,632,73273,230375,4553,..,77824,230375
LGA14920,3044,7169,89,128,10,17,99,147,41,61,0,0,0,0,0,0,0,0,41,61,13,23,3,5,0,0,10,34,31,56,11,23,3222,7455,462,..,3686,7455
LGA14950,1237,3087,10,21,0,0,10,21,16,18,0,0,0,0,0,0,0,0,16,18,0,7,0,0,0,0,3,5,5,13,21,60,1293,3204,121,..,1412,3204
LGA15050,29276,81306,2621,4616,679,1159,3300,5774,698,989,0,0,30,57,0,3,75,163,811,1213,167,203,10,10,4,16,49,79,227,306,58,112,33667,88719,1744,..,35413,88719
