LGA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA55670,0,0,0,0,0,3,7,8,0,19,0,0,0,0,0,0,0,0,0,0,21,6,7,11,6,21,45,16,3,144,30,33,61,66,80,105,127,51,20,577
LGA55740,0,0,0,4,13,5,17,23,21,83,0,0,0,0,4,8,4,0,0,28,17,24,53,50,45,47,50,50,47,377,236,539,968,1110,1305,1077,929,566,218,6953
LGA55810,0,6,0,0,5,3,11,4,0,25,0,0,0,0,3,0,0,0,0,6,20,34,118,134,127,107,41,7,0,592,27,71,227,252,254,240,137,24,3,1231
LGA55880,0,0,0,0,0,0,5,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,5,0,3,0,34,0,12,45,64,73,79,49,13,16,364
LGA55950,0,0,3,0,0,0,4,6,0,17,0,0,0,0,0,0,0,0,0,0,3,0,7,9,10,12,9,4,0,54,16,13,60,65,81,93,80,46,9,465
LGA56090,11,8,27,29,49,83,166,223,119,709,3,3,15,35,50,41,16,21,8,190,68,69,223,212,207,204,172,169,137,1453,1014,1929,4078,4712,5394,5384,4312,2346,734,29905
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,12,0,0,23,24,26,22,35,0,0,136
LGA56230,3,3,6,14,34,56,125,186,95,525,0,0,9,0,8,7,10,4,3,41,77,43,107,121,136,128,164,152,73,1004,518,787,1670,1866,2143,2332,2337,1360,399,13407
LGA56300,0,0,0,0,5,5,7,11,9,34,0,0,0,0,0,0,0,0,0,4,3,0,14,25,21,42,33,25,7,180,26,21,102,189,177,288,329,144,26,1311
LGA56370,0,0,0,0,0,0,0,5,12,26,0,0,0,0,0,0,0,0,0,0,4,5,14,6,17,22,12,15,11,109,11,24,105,81,109,105,82,62,39,620
LGA56460,5,0,3,3,6,12,29,56,35,149,0,4,0,3,0,3,4,7,4,21,32,33,73,63,59,60,67,38,27,457,146,265,534,526,596,640,537,319,162,3719
LGA56580,0,4,0,4,8,15,17,43,45,130,0,0,0,3,0,6,3,3,6,35,29,25,63,73,77,62,118,111,103,657,580,1383,1827,2462,3139,2718,2474,1540,708,16830
LGA56620,7,7,17,12,22,25,21,9,0,123,0,0,0,0,7,3,6,9,0,24,9,12,36,31,42,31,11,3,0,179,82,119,239,218,204,155,58,21,3,1098
LGA56730,7,0,19,9,22,44,103,99,59,360,0,3,0,5,5,5,4,4,4,33,65,91,224,223,186,159,145,115,59,1262,329,556,1201,1255,1450,1594,1403,707,232,8732
LGA56790,0,0,0,0,5,15,64,56,10,159,0,0,0,0,0,0,0,9,4,16,22,28,40,54,68,121,129,47,13,527,71,131,310,412,493,856,981,387,93,3733
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,6,11,10,11,3,0,55,8,23,14,20,42,43,52,10,4,212
LGA56930,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,5,0,0,6,4,5,6,9,3,33,56,94,109,110,212,219,174,98,45,1111
