LGA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
LGA25150,423,3796,5229,2302,1680,13420,731,14150
LGA25250,8893,31984,19342,4864,2348,67439,3187,70629
LGA25340,2412,22374,27133,8514,4985,65418,3560,68977
LGA25430,350,3121,3063,1123,731,8395,538,8937
LGA25490,160,1632,2611,1175,864,6451,460,6908
LGA25620,160,1828,2329,1034,713,6069,574,6639
LGA25710,359,4447,9263,3795,2970,20836,558,21392
LGA25810,284,1753,1716,695,486,4927,380,5307
LGA25900,8852,27028,10579,1626,614,48695,3411,52106
LGA25990,85,801,1119,532,429,2970,261,3232
LGA26080,66,658,622,138,72,1555,98,1658
LGA26170,396,3965,4574,1899,1297,12124,847,12972
LGA26260,342,2299,2393,1072,740,6849,382,7234
LGA26350,7936,22894,12271,2754,1336,47192,2469,49657
LGA26430,183,1522,1771,773,496,4743,430,5170
LGA26490,262,3989,6296,1968,1208,13727,654,14380
LGA26610,503,2449,2931,1124,720,7712,793,8505
LGA26670,63,654,941,425,315,2398,229,2630
LGA26700,605,3873,4530,1610,1056,11677,864,12547
LGA26730,788,5267,5409,1642,861,13967,765,14738
LGA26810,797,5796,6697,2593,1698,17591,1302,18888
LGA26890,60,459,569,294,252,1638,165,1803
LGA26980,5242,25087,23673,5890,2834,62730,2382,65112
LGA27070,3252,24481,31762,10200,5519,75210,3584,78791
LGA27170,783,5567,6563,2077,1124,16113,978,17094
LGA27260,3331,31690,37904,10655,5206,88787,5425,94206
LGA27350,8270,21717,8474,1571,496,40528,2282,42807
LGA27450,1613,15372,23263,8991,6434,55679,2178,57857
LGA27630,130,914,973,386,301,2711,221,2929
LGA29399,100,265,48,23,11,443,71,514
LGA29799,0,0,0,0,0,0,0,0
LGA30250,139,64,19,0,0,221,29,253
LGA30300,85,618,597,237,195,1738,160,1900
LGA30370,250,1566,1923,851,631,5232,844,6073
LGA30410,65,590,393,167,138,1363,157,1523
LGA30450,10,88,47,12,23,173,37,207
LGA30760,39,333,277,118,78,843,61,907
LGA30900,27,90,45,13,27,192,34,230
LGA31000,38057,183738,169338,48110,23664,462908,19170,482077
LGA31750,12,88,49,16,15,180,9,190
LGA31820,2249,15106,13990,4997,2804,39150,2630,41783
LGA31900,337,2172,2525,941,540,6514,644,7155
LGA31950,34,176,81,13,23,319,141,461
LGA32080,4021,23294,22919,7097,3459,60796,5119,65917
LGA32250,86,682,314,79,58,1222,144,1365
LGA32260,684,4778,4237,1388,669,11765,1298,13061
LGA32270,395,3474,3675,1548,957,10052,1152,11209
LGA32310,251,1761,1505,561,365,4439,697,5141
LGA32330,120,109,61,14,0,307,16,320
LGA32450,142,642,413,142,93,1425,340,1769
LGA32500,186,1150,578,191,111,2213,533,2745
LGA32600,9,64,41,15,15,139,32,171
LGA32750,13,69,31,8,3,121,39,151
LGA32770,106,120,35,14,14,293,16,312
LGA32810,343,2378,1779,522,254,5274,588,5863
LGA33100,28,353,141,38,47,611,119,721
LGA33200,37,281,198,88,71,673,111,789
LGA33220,2654,18197,15688,5273,2960,44765,2784,47553
LGA33360,1094,8294,9267,3458,1784,23894,1811,25699
LGA33430,11411,83485,88882,28998,15967,228745,14729,243469
LGA33610,174,1280,1440,589,360,3850,404,4252
LGA33620,879,7220,7754,3028,1846,20716,1504,22219
LGA33800,258,1709,1723,669,326,4683,395,5072
LGA33830,66,134,59,17,7,280,28,305
LGA33960,3987,26291,30697,10659,5742,77373,4571,81945
LGA33980,216,2460,2720,1034,663,7098,836,7935
LGA34420,114,84,32,9,7,245,45,286
LGA34530,534,4620,5601,2229,1376,14358,1233,15595
LGA34570,59,64,26,8,0,164,32,191
LGA34580,388,3772,5343,2559,1885,13954,994,14945
LGA34590,5428,35191,42437,16966,11168,111192,8447,119634
LGA34710,107,701,503,178,137,1627,223,1852
LGA34770,1848,13846,17063,6705,3685,43155,3874,47026
LGA34800,9,150,100,25,54,338,62,398
LGA34830,35,55,21,9,0,116,21,136
LGA34860,252,1661,1716,730,484,4848,533,5381
LGA34880,448,2818,2929,1175,732,8106,1142,9253
LGA35010,7859,58324,65918,23669,14308,170081,7894,177980
LGA35250,129,71,40,12,7,254,23,284
LGA35300,547,2472,2509,791,415,6736,815,7547
LGA35600,108,697,523,210,132,1667,227,1896
LGA35670,88,52,37,7,0,192,37,226
LGA35740,834,8250,8789,2974,1699,22541,1215,23755
LGA35760,214,1448,1366,581,430,4042,507,4544
LGA35780,172,366,180,45,38,809,172,976
LGA35790,244,177,55,11,3,486,33,522
LGA35800,93,350,246,69,66,825,70,894
LGA36070,88,41,12,7,5,159,23,182
LGA36150,8,145,118,43,35,352,28,377
LGA36250,2714,18642,23394,8730,5112,58595,2121,60718
LGA36300,13,94,96,40,39,281,60,344
LGA36370,2024,11119,10946,3864,2054,30007,2126,32134
LGA36510,434,4595,5895,2608,1909,15441,1032,16479
LGA36580,235,2685,3453,1620,1054,9048,718,9771
LGA36630,624,4678,4540,1882,1045,12769,1266,14035
LGA36660,704,4939,5077,2004,1278,14006,1161,15165
LGA36720,5137,46189,50748,16934,9755,128763,6750,135512
LGA36820,438,3950,3872,1416,768,10451,1167,11612
LGA36910,3520,23114,24361,8570,4965,64530,3500,68033
LGA36950,288,454,196,63,42,1044,93,1144
LGA36960,555,353,100,24,3,1036,73,1106
LGA37010,3921,25090,27782,9131,4537,70457,4774,75236
LGA37300,50,413,576,220,108,1366,194,1558
LGA37310,573,4167,4405,1931,1187,12258,1228,13484
LGA37340,947,5556,4979,1677,901,14054,1395,15451
LGA37400,40,293,156,54,64,610,121,735
LGA37550,128,106,28,16,3,278,16,293
LGA37570,32,34,5,3,0,75,12,83
LGA37600,136,165,119,27,25,477,27,503
LGA39799,4,0,0,0,0,7,4,5
LGA40070,3524,5577,1744,272,136,11262,833,12093
LGA40120,247,3468,6280,2647,1877,14520,522,15043
LGA40150,73,681,1263,719,631,3369,232,3603
LGA40220,408,4222,4359,1740,1121,11846,548,12394
LGA40250,210,222,86,17,7,538,69,609
LGA40310,285,2955,3747,1588,1173,9758,378,10136
LGA40430,56,416,395,167,110,1144,84,1227
LGA40520,297,1520,1466,646,390,4327,300,4622
LGA40700,1020,6557,6999,2088,1059,17724,330,18049
LGA40910,1598,8130,7859,2307,1317,21206,624,21832
LGA41010,114,464,487,194,124,1378,155,1535
LGA41060,4114,19303,17556,5337,2728,49039,1860,50898
LGA41140,140,1184,1481,574,382,3763,252,4012
LGA41190,31,214,258,111,85,700,57,762
LGA41330,80,379,232,73,32,797,209,1001
LGA41560,313,2426,2399,769,456,6360,405,6767
LGA41750,15,164,167,53,49,448,55,500
LGA41830,29,289,252,106,75,752,76,829
LGA41960,30,175,177,93,57,538,52,587
LGA42030,719,3769,3522,1259,770,10041,424,10460
LGA42110,53,565,610,281,211,1718,119,1833
LGA42250,42,516,1048,632,542,2783,220,3003
LGA42600,1338,6905,5662,1490,742,16137,497,16631
LGA42750,98,745,761,276,175,2057,182,2236
LGA43080,17,104,127,73,72,400,41,434
LGA43220,13,125,145,85,44,407,21,433
LGA43360,43,328,376,150,109,999,62,1055
LGA43650,88,1173,2121,1112,887,5384,245,5630
LGA43710,32,541,905,427,251,2159,135,2296
LGA43790,233,1468,1795,703,475,4675,372,5040
LGA44000,5,17,3,0,0,24,10,36
LGA44060,3200,14605,14143,4131,1935,38015,1159,39173
LGA44210,133,1383,1356,607,444,3927,383,4313
LGA44340,1249,8220,10368,3393,1856,25081,534,25615
LGA44550,519,4367,5961,2201,1429,14474,578,15055
LGA44620,834,4198,3914,1305,703,10958,611,11568
LGA44830,33,398,447,216,168,1260,161,1429
LGA45040,572,3002,2867,1146,793,8383,553,8931
LGA45090,136,958,1287,520,360,3266,273,3535
LGA45120,74,587,694,309,227,1896,118,2013
LGA45290,1703,7123,5117,1337,690,15964,576,16546
