LGA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
LGA32270,2032,31,22,322,116,2514,2591,67,24,28,20,2723,1342,331,271,5,3,1951,210,14,67,0,0,289,38,6,9,0,0,53,566,59,43,21,10,697,864,90,86,72,53,1166,11,8,0,0,0,18,3024,504,477,96,69,4173,501,24,20,57,45,651,837,80,68,139,21,1148,8981,698,611,634,279,11209
LGA32310,1400,90,6,278,54,1826,1103,55,0,18,3,1173,410,89,7,9,0,512,82,44,0,5,0,131,26,22,0,0,0,46,311,10,0,14,5,339,107,25,0,37,14,188,8,3,0,0,0,14,939,199,7,65,22,1235,168,14,0,9,6,200,518,75,13,91,10,701,4133,434,21,455,97,5141
LGA32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,9,26,0,0,273,30,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,8,26,0,0,307,0,0,0,0,0,0,10,0,0,0,0,14,279,7,29,0,0,320
LGA32450,199,0,6,331,10,540,197,0,5,18,0,222,150,10,14,0,0,178,60,4,24,0,0,94,26,0,13,0,0,45,47,0,7,9,0,67,71,4,23,20,13,134,0,0,6,0,0,9,356,22,91,37,15,526,93,0,11,17,15,143,123,4,16,187,3,342,970,29,130,594,46,1769
LGA32500,483,3,0,470,61,1019,268,5,0,50,10,324,78,6,0,8,0,97,103,23,0,4,0,138,30,4,0,0,0,32,103,6,0,28,6,143,112,33,0,87,24,256,11,4,0,3,0,11,429,76,6,129,29,676,97,3,0,60,9,173,271,19,3,237,18,545,1547,103,12,949,131,2745
LGA32600,25,0,0,47,0,72,7,0,0,3,0,10,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,6,3,28,0,0,0,0,0,0,31,0,0,7,3,46,8,0,0,0,4,10,14,0,0,15,0,32,90,0,0,63,9,171
LGA32750,12,0,0,12,4,30,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,35,3,0,17,0,56,0,0,0,0,0,0,47,3,3,17,0,73,13,0,0,0,0,15,31,0,0,0,0,31,112,6,3,27,7,151
LGA32770,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,144,4,15,0,0,159,75,0,4,0,0,80,0,0,0,0,0,3,17,3,0,0,0,17,0,0,0,0,0,0,235,3,13,0,0,259,23,0,0,0,0,26,16,0,0,0,0,16,282,3,21,0,3,312
LGA32810,1377,147,105,311,90,2032,1199,131,70,31,8,1439,323,219,226,4,8,772,85,13,32,0,0,131,25,9,7,0,0,41,288,89,96,24,24,516,44,19,40,64,41,212,3,3,0,5,0,13,769,341,395,100,75,1692,88,8,11,18,10,133,354,87,78,40,11,569,3786,715,660,505,202,5863
LGA33100,90,0,0,223,52,361,28,0,0,19,4,48,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,15,0,0,4,4,16,15,0,0,67,6,94,0,0,0,0,0,0,37,0,0,73,13,119,26,0,0,23,19,69,49,0,5,56,16,121,227,0,7,390,105,721
