LGA_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
LGA13450,0,11,10,9,0,0,27,3,11,4,4,0,0,25,26,72,8,41,21,3,168,89,79,35,88,36,7,329,129,41,11,66,22,0,264,286,42,12,107,32,0,482,497,11,9,133,32,4,681,580,9,0,120,30,0,741,96,0,0,30,14,0,143,17,0,0,4,0,0,25,4,0,0,0,6,0,6,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,22,11,48,33,12,151,1763,291,96,657,226,34,3061
LGA13550,0,0,3,0,8,0,19,0,5,0,0,0,0,15,9,8,10,22,5,0,54,51,34,9,24,3,0,132,42,18,7,37,14,0,122,129,28,8,46,6,0,216,213,12,10,68,5,0,311,229,0,0,45,14,0,289,96,0,0,9,6,0,114,20,0,0,5,3,0,26,0,0,0,4,0,0,7,3,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,8,19,5,4,21,17,3,77,831,113,66,281,83,9,1382
LGA13660,0,4,0,6,6,0,18,0,0,4,0,0,0,6,10,3,6,29,4,0,51,17,3,6,24,4,0,44,24,0,0,28,5,0,52,52,0,0,30,10,0,90,19,0,0,5,0,0,32,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,12,24,0,44,126,7,10,138,63,7,354
LGA13800,5,0,3,7,3,0,18,0,12,8,6,0,0,29,7,91,16,21,11,0,142,13,150,78,36,9,0,294,31,44,26,50,11,0,168,83,57,35,77,87,3,343,435,53,34,123,35,3,685,1432,72,34,238,27,3,1801,923,21,6,136,19,0,1103,374,0,0,47,3,0,426,135,0,0,17,3,0,160,78,0,0,8,4,0,85,37,0,0,5,3,0,42,44,0,0,11,5,0,57,79,30,10,64,34,9,224,3661,536,264,850,244,24,5582
LGA13850,4,0,0,5,6,0,18,0,4,0,0,0,0,3,23,15,3,16,5,0,61,42,10,0,40,8,0,97,19,0,0,18,7,0,43,14,0,0,24,0,0,40,10,0,0,5,0,0,21,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,24,120,30,5,108,46,7,316
LGA13910,0,6,3,15,17,0,36,5,7,5,10,5,0,20,22,8,12,39,11,0,100,116,34,26,70,10,0,251,92,18,7,75,18,0,214,297,30,23,90,25,0,455,308,3,3,68,16,0,401,120,0,0,24,4,0,148,9,0,0,5,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,4,23,6,0,43,32,5,115,995,100,76,442,146,12,1773
LGA14000,9,9,11,9,0,0,34,0,17,8,10,0,0,43,14,79,60,28,13,3,198,18,126,96,47,12,0,301,28,44,51,72,12,9,206,73,43,93,91,27,12,330,267,44,50,181,21,0,565,1977,58,72,322,46,5,2482,2671,24,31,339,43,3,3112,1536,16,4,213,19,4,1790,1089,6,0,147,7,3,1251,611,0,0,48,3,0,664,334,0,0,34,4,0,377,244,0,0,43,0,0,289,141,46,27,126,45,27,409,9005,498,518,1697,245,71,12037
LGA14100,0,0,0,0,0,0,3,0,10,4,0,0,0,11,0,36,30,0,0,0,69,0,38,30,4,0,0,75,0,12,11,0,0,0,28,10,18,10,4,0,0,44,33,16,8,16,0,0,71,83,13,8,15,0,0,119,127,0,0,25,0,0,161,126,0,0,15,0,0,141,96,0,0,20,0,0,112,62,0,0,7,0,0,70,45,0,0,10,0,0,51,144,0,0,32,0,0,184,10,7,5,8,7,3,45,737,148,113,159,15,8,1174
LGA14170,18,54,14,12,0,0,93,8,96,18,8,3,0,137,48,770,143,70,9,9,1044,110,236,227,126,19,0,720,169,116,78,129,22,0,509,563,125,81,188,48,0,1013,1783,82,76,343,48,3,2334,5380,92,93,681,74,11,6325,5226,39,26,657,42,0,5994,3762,26,9,472,24,0,4300,3175,5,12,387,21,0,3599,2052,8,0,252,14,3,2326,1257,0,0,156,3,5,1422,1864,0,0,291,9,4,2168,315,106,38,229,51,48,794,25714,1755,818,3993,399,95,32779
LGA14220,3,5,30,11,9,0,49,6,3,13,4,0,0,21,20,27,19,39,15,4,131,108,36,20,59,25,0,254,97,20,9,52,10,0,187,179,36,18,80,16,0,328,400,10,5,82,9,0,510,195,3,0,28,4,0,233,18,0,0,7,3,0,31,5,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,6,0,0,6,0,0,0,0,0,0,4,15,12,5,24,29,13,97,1053,141,124,390,128,29,1862
LGA14300,5,4,0,0,0,0,16,0,5,0,4,0,0,14,15,10,13,18,0,0,53,31,15,0,14,0,0,67,30,6,0,21,4,0,54,85,0,0,28,0,0,112,109,0,0,15,0,0,126,63,0,0,9,0,0,76,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,0,20,346,47,9,118,18,0,536
LGA14350,6,0,3,10,0,0,24,0,6,5,0,4,0,16,14,9,17,33,7,4,83,53,55,82,62,27,5,276,83,23,45,66,21,4,246,227,35,31,115,32,5,442,515,23,18,177,18,6,755,516,16,22,111,21,4,684,100,0,0,19,6,0,122,22,5,4,6,3,0,43,10,0,0,3,0,0,14,3,0,0,0,0,0,3,4,0,0,4,0,0,4,9,0,0,0,4,0,16,36,19,6,38,25,8,124,1594,191,234,640,167,26,2856
LGA14400,0,0,0,4,0,0,6,0,0,3,3,0,0,9,0,3,5,6,3,0,24,8,25,9,15,0,0,61,0,9,6,25,7,0,44,20,4,7,9,5,0,45,53,0,10,33,6,0,101,193,0,3,77,5,0,282,338,4,0,72,6,0,416,276,0,0,43,0,0,326,111,0,0,22,0,0,138,26,0,0,6,0,0,35,5,0,0,0,0,0,9,11,0,0,13,5,0,23,12,4,0,22,13,0,58,1054,62,45,355,50,11,1573
LGA14500,5,0,6,6,0,0,12,0,0,6,3,0,0,7,8,0,16,19,3,0,48,3,0,14,13,5,3,42,4,4,6,31,4,0,42,25,0,12,40,17,7,95,80,3,11,59,19,0,173,614,0,8,89,27,4,738,1213,4,3,159,14,0,1400,1442,0,3,145,13,0,1613,760,0,0,112,15,3,886,594,0,0,65,8,0,665,534,0,3,61,0,0,598,1553,0,0,207,7,3,1775,117,3,8,101,22,12,261,6954,23,96,1100,147,34,8356
LGA14550,0,0,0,9,6,0,25,0,0,0,3,0,0,3,4,7,6,27,8,0,51,26,10,0,61,0,0,103,27,3,0,48,5,0,85,68,3,0,59,0,0,136,110,0,0,59,7,0,188,66,0,0,31,0,0,93,9,0,0,4,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,18,4,0,41,316,39,18,328,32,4,735
LGA14600,7,14,3,7,22,0,56,0,4,3,3,3,0,22,9,16,17,27,12,0,85,30,37,42,43,11,8,176,26,10,7,34,7,4,86,25,3,0,31,3,0,72,14,0,0,21,4,0,45,10,0,0,10,5,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,9,5,15,28,9,58,121,102,81,209,100,19,626
LGA14650,9,63,10,23,9,0,113,10,111,7,8,0,0,139,26,1059,72,89,45,11,1299,108,644,211,167,66,14,1207,176,221,60,185,63,7,717,504,274,68,298,60,10,1206,1390,325,71,641,65,12,2504,4466,174,43,1044,82,12,5824,2853,25,11,465,32,4,3391,1046,3,0,136,9,0,1200,330,0,0,41,3,0,376,86,0,0,18,5,0,112,36,0,0,5,0,0,35,33,0,0,13,6,0,57,237,186,42,172,76,36,742,11301,3088,610,3305,526,109,18936
LGA14700,8,6,0,3,0,0,21,3,4,16,4,0,0,25,3,35,30,8,4,0,76,9,35,47,17,0,0,103,10,3,13,18,0,0,47,47,16,7,27,16,0,104,118,5,5,42,3,0,166,812,3,10,86,8,0,923,1246,0,3,153,18,0,1425,891,0,3,97,11,0,1010,500,0,0,63,8,0,570,404,0,0,39,13,0,458,210,0,0,18,0,0,228,442,0,0,51,0,0,498,62,5,10,36,11,13,132,4747,111,146,658,93,17,5781
LGA14750,0,4,0,4,0,0,8,0,4,0,7,5,0,18,24,37,0,30,14,0,112,66,27,0,51,12,3,159,98,11,0,34,19,0,164,150,16,0,67,8,0,250,201,0,0,58,13,0,274,61,0,0,21,9,0,93,5,0,0,4,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,24,13,5,56,620,105,8,305,89,11,1136
LGA14850,0,11,8,12,9,0,38,0,16,0,13,0,0,26,14,186,25,71,13,4,319,71,72,87,82,29,4,353,117,20,30,121,56,10,346,303,39,34,200,41,10,624,619,38,23,326,25,4,1034,767,15,12,352,24,5,1171,300,6,3,109,8,4,425,108,0,0,38,0,0,144,31,0,0,10,0,0,43,10,0,0,6,0,0,22,3,0,0,0,0,0,3,4,0,0,7,0,0,8,43,28,13,48,25,16,171,2383,434,239,1398,223,47,4727
LGA14870,0,15,0,0,5,0,27,0,27,0,8,0,0,39,16,156,11,35,5,4,229,43,67,8,48,14,0,181,83,25,5,55,4,0,172,245,30,12,72,10,0,363,439,41,5,85,9,3,583,261,4,0,40,4,0,311,36,0,0,7,0,0,49,7,0,0,0,0,0,7,4,0,0,3,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,23,25,5,26,25,5,96,1172,399,45,373,73,8,2069
LGA14900,18,133,14,11,13,3,191,4,262,15,3,7,6,294,26,1185,116,29,24,7,1386,61,672,149,65,32,9,981,103,312,71,89,24,3,606,659,378,129,138,384,8,1694,1881,293,117,301,188,14,2791,4878,281,95,697,212,22,6178,4568,146,34,582,139,10,5480,2549,15,7,223,48,0,2845,699,0,0,74,17,5,791,163,4,0,29,14,0,210,40,0,0,12,5,0,59,54,0,0,8,4,0,67,311,229,30,231,104,77,988,16014,3922,782,2485,1201,151,24559
LGA14920,0,0,0,3,6,0,11,3,0,0,0,0,0,8,12,3,7,23,4,4,53,40,13,44,35,10,0,139,27,9,11,47,10,0,97,73,6,5,40,11,0,134,101,7,5,31,6,0,151,25,0,0,4,3,0,31,7,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,15,30,0,56,298,37,67,205,81,3,696
LGA14950,0,0,0,5,4,0,12,0,0,6,0,0,0,8,3,0,0,6,6,0,15,7,4,4,21,4,0,40,7,0,0,16,0,0,33,22,0,0,21,4,0,46,5,0,0,11,0,0,18,4,0,0,0,0,0,9,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,7,0,13,57,6,10,93,22,4,187
LGA15050,3,10,3,12,0,0,30,0,12,3,5,8,0,29,20,114,36,26,22,5,221,83,271,133,61,27,5,572,105,111,37,87,10,0,353,300,164,69,113,243,4,897,969,188,93,303,60,0,1614,2870,144,42,403,29,12,3500,1651,16,9,110,18,0,1799,302,4,0,25,3,0,334,49,0,0,3,0,0,56,11,0,0,3,0,0,17,0,0,0,0,0,0,6,7,0,0,5,0,0,15,114,77,27,81,54,22,361,6475,1104,463,1238,472,45,9802
LGA15240,10,10,8,29,8,0,57,7,9,16,9,6,3,47,39,50,46,93,34,0,265,189,192,185,167,82,15,816,274,60,50,190,36,9,623,742,102,58,289,39,4,1231,1613,71,45,453,47,7,2227,1862,50,46,399,52,4,2418,646,7,7,133,15,3,811,140,0,0,27,9,0,174,32,0,5,9,8,0,46,9,0,0,3,0,0,8,4,0,0,0,0,0,8,19,0,0,13,8,0,42,93,45,42,113,76,28,390,5658,608,495,1916,411,77,9176
LGA15270,5,0,0,7,17,0,25,3,4,0,4,0,0,14,24,24,9,23,6,0,80,59,54,26,45,7,0,190,67,24,8,50,12,4,154,149,32,13,59,6,3,261,340,49,5,76,14,0,488,507,14,4,86,11,5,626,326,0,0,29,6,0,359,65,0,0,4,0,0,64,14,0,0,6,0,0,18,0,0,0,0,0,0,0,4,0,0,3,0,0,8,5,0,0,5,4,0,14,32,13,0,37,20,7,111,1589,216,69,428,105,20,2420
LGA15300,5,3,4,15,14,0,38,0,14,15,0,12,0,40,19,32,5,26,24,4,111,134,83,48,50,16,0,336,81,32,12,43,11,4,178,110,30,8,41,6,0,184,154,7,0,29,10,0,199,120,0,3,26,18,0,165,30,0,0,7,11,0,50,6,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,15,11,23,35,69,10,166,680,212,119,270,203,21,1501
LGA15350,0,0,0,3,0,0,6,0,4,0,0,0,0,3,5,0,3,3,0,0,16,3,18,22,10,0,4,47,8,8,4,10,0,0,29,15,4,10,11,0,0,37,44,0,3,26,0,0,70,468,4,0,73,0,0,542,683,0,0,93,6,0,785,549,0,0,80,4,0,636,361,0,0,53,0,0,413,239,0,0,38,0,0,280,165,3,0,32,0,0,194,571,0,0,104,4,0,675,58,4,4,35,4,3,113,3165,51,43,562,21,8,3856
LGA15520,0,4,17,3,11,0,37,0,3,0,3,3,0,10,25,7,14,36,8,0,80,35,0,9,56,23,0,127,41,0,0,33,6,0,78,84,0,0,29,8,0,128,114,0,0,35,7,0,156,113,6,0,27,9,0,147,62,0,0,7,3,0,77,8,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,14,9,0,5,22,52,4,90,489,20,42,260,144,12,963
LGA15560,0,4,3,4,5,0,21,3,0,0,3,4,0,13,10,5,6,22,8,0,42,9,6,3,29,8,4,63,5,0,0,25,13,0,48,10,0,0,26,10,0,51,9,0,0,13,3,0,32,3,0,0,0,0,0,7,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,12,21,3,44,61,17,12,146,69,7,318
LGA15650,0,0,0,0,7,0,17,0,4,0,4,0,0,8,9,27,12,16,9,0,73,79,80,25,34,9,0,223,80,27,9,40,7,0,162,193,30,13,58,9,0,314,313,45,15,87,17,0,479,541,9,0,68,10,0,627,96,3,0,12,0,0,107,11,0,0,4,0,0,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,35,13,0,25,33,3,112,1367,237,78,348,111,7,2148
LGA15700,7,0,0,7,0,0,25,0,0,3,5,3,0,17,3,16,24,26,24,0,94,29,46,95,49,28,4,244,73,11,25,50,19,0,177,109,20,26,64,15,6,232,276,10,16,109,18,0,428,367,11,10,79,8,7,482,106,0,6,19,5,0,132,17,0,0,4,0,0,22,6,0,0,3,0,0,6,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,0,4,5,0,8,11,19,15,29,15,6,93,1010,131,217,457,128,21,1977
LGA15750,0,3,0,7,26,0,43,0,8,0,3,8,0,18,18,28,14,35,14,3,114,84,37,22,47,22,3,211,80,32,12,53,19,0,193,67,42,17,50,5,0,182,125,14,8,58,12,0,220,190,4,0,51,23,4,275,28,0,0,3,0,0,38,6,0,0,3,3,0,12,3,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,5,33,46,4,111,606,174,84,354,188,20,1428
LGA15800,0,0,0,3,3,0,14,0,5,0,7,4,0,9,14,13,3,31,5,4,77,54,18,4,26,7,0,106,50,7,5,26,5,0,99,60,4,0,36,3,0,104,38,0,0,21,3,0,70,9,0,0,6,4,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,12,0,32,243,51,9,172,53,6,539
LGA15850,0,0,0,0,4,0,7,0,13,0,0,4,0,14,3,18,14,20,11,0,71,25,4,17,20,11,0,78,25,6,0,23,0,0,59,62,16,5,26,4,4,114,78,0,0,27,4,0,111,21,0,0,17,0,0,36,3,0,0,0,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,16,17,3,43,229,62,36,157,58,10,550
LGA15900,12,106,13,20,5,0,158,6,194,28,11,6,0,244,58,1386,87,140,22,12,1700,236,410,175,217,28,7,1076,257,168,76,232,25,4,753,613,212,104,327,71,6,1332,1850,158,79,653,79,6,2825,5366,124,71,1185,100,16,6858,4345,23,27,685,56,8,5143,1825,11,9,259,13,0,2115,669,0,0,90,10,0,767,286,0,0,54,5,0,346,125,5,0,26,9,0,164,171,0,0,54,10,3,239,210,174,38,215,73,53,761,16038,2972,707,4169,493,110,24493
LGA15950,13,12,0,8,0,0,34,0,9,5,9,0,0,24,13,80,42,17,0,0,157,23,114,92,22,0,0,255,15,35,19,35,6,0,114,65,29,16,48,21,0,183,382,23,6,119,9,0,532,2074,9,11,244,3,6,2347,2949,3,7,351,18,5,3328,2847,0,0,343,7,7,3200,2034,0,0,241,3,3,2286,1361,0,0,160,11,0,1525,809,0,0,103,4,0,912,1473,0,0,228,5,0,1713,211,26,11,110,30,19,405,14277,337,210,2037,117,43,17020
LGA15990,15,30,13,20,0,0,85,4,25,50,11,0,3,88,13,148,123,38,30,14,363,23,297,146,52,22,7,556,21,108,87,92,21,5,333,68,86,75,137,23,3,404,242,45,57,237,46,7,639,1168,52,29,482,73,15,1827,3220,23,18,743,52,13,4064,3785,13,8,804,47,11,4661,2894,8,4,525,25,10,3458,1883,8,7,411,15,3,2324,1398,0,0,274,19,0,1694,3607,6,0,657,30,14,4317,310,64,37,273,60,51,805,18650,918,667,4758,463,160,25613
LGA16100,4,0,0,4,0,0,6,0,0,6,0,0,0,8,20,9,9,9,0,0,45,22,3,3,7,4,0,38,23,3,0,11,4,0,39,37,5,0,15,0,0,54,89,0,0,28,5,0,123,62,0,0,15,0,0,73,8,0,0,4,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,14,16,0,34,261,21,14,99,37,4,435
LGA16150,0,21,4,8,0,0,37,0,41,10,0,5,0,50,24,219,26,25,6,0,305,70,168,43,41,11,8,340,123,53,21,70,10,0,285,395,77,22,101,14,0,614,855,70,24,159,27,5,1141,1243,25,12,151,17,9,1457,622,4,0,52,10,0,695,125,0,0,16,3,0,153,23,0,0,10,0,0,28,3,0,0,8,0,0,12,5,0,0,5,0,0,6,17,0,0,14,0,0,37,85,76,14,45,54,15,289,3601,747,182,720,163,28,5445
LGA16200,0,8,0,6,4,0,24,3,10,0,7,5,3,32,18,84,16,33,13,3,167,79,41,30,70,9,4,232,62,24,6,75,7,3,179,134,17,5,84,15,0,257,210,5,3,101,8,0,327,137,0,3,47,13,0,202,24,0,0,10,0,0,39,0,0,0,3,0,0,8,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,10,9,8,38,14,4,81,700,197,73,480,100,16,1556
LGA16260,22,108,10,14,0,0,154,4,255,20,3,8,0,292,55,1321,98,64,28,3,1574,115,455,155,160,22,6,916,132,219,121,156,22,4,651,441,218,97,191,239,9,1203,2322,177,90,386,128,16,3120,9777,165,122,935,151,17,11170,11626,97,39,983,140,15,12902,5208,27,10,456,68,10,5781,1733,8,3,184,33,4,1960,817,5,4,83,12,0,923,343,0,0,52,3,0,395,234,0,0,55,9,0,307,525,179,45,307,75,88,1219,33352,3232,822,4020,936,183,42551
LGA16350,16,71,14,18,4,0,123,0,151,21,10,0,0,186,28,783,61,42,14,6,938,84,420,204,94,19,3,823,138,178,85,108,7,3,510,710,197,108,182,77,0,1278,2451,183,160,448,42,12,3297,7921,214,89,911,88,16,9240,4327,48,9,470,38,7,4906,1673,9,0,146,7,0,1844,390,4,3,39,3,0,434,116,4,0,16,0,0,146,34,0,0,15,0,0,54,63,0,0,14,9,0,88,341,146,39,177,71,59,842,18285,2413,789,2706,390,121,24696
LGA16380,4,10,11,8,15,0,47,3,4,4,7,10,0,35,4,41,58,62,29,8,206,50,165,223,78,61,4,589,82,43,38,94,20,0,278,363,69,97,170,30,10,740,1079,44,69,309,37,8,1548,2277,38,93,534,55,7,2997,1473,9,13,210,16,3,1716,419,3,0,65,4,0,495,138,0,0,23,3,0,159,35,0,0,10,5,0,48,17,0,0,7,0,0,20,27,0,3,10,12,0,45,85,41,40,103,47,23,334,6054,467,647,1687,347,67,9273
LGA16400,6,8,3,17,3,0,30,3,7,0,5,4,0,23,16,52,55,38,37,7,202,31,133,73,64,81,0,383,63,49,26,86,16,3,246,183,113,61,112,249,7,728,802,121,54,273,98,3,1352,1694,59,21,326,79,7,2188,1107,3,4,147,24,0,1285,354,0,0,38,6,0,404,116,0,0,11,5,0,129,25,0,0,4,0,0,28,6,0,0,3,0,0,6,5,0,0,5,5,0,21,85,30,21,78,54,14,276,4503,571,313,1199,660,52,7297
LGA16490,3,13,3,9,0,0,26,0,29,5,6,3,0,41,20,165,13,39,13,5,246,52,102,55,72,9,0,292,150,44,30,78,12,0,317,437,55,29,124,101,5,747,617,55,16,190,158,3,1045,815,59,9,281,183,3,1349,721,26,0,203,35,0,994,338,5,0,90,13,0,446,242,0,0,38,13,0,299,105,0,0,22,11,0,135,18,0,0,5,0,0,27,13,0,0,3,3,0,18,49,28,8,69,40,12,210,3587,583,174,1229,591,30,6198
LGA16550,12,98,4,11,6,0,128,9,184,21,9,4,0,226,21,1314,82,38,7,0,1474,48,377,134,79,10,0,652,58,187,53,68,9,0,372,146,159,47,107,29,8,488,456,115,52,164,68,0,863,1894,95,34,271,109,7,2403,3929,39,19,481,29,4,4496,4116,32,5,427,31,9,4605,2560,7,0,299,13,4,2890,1442,3,0,206,7,0,1668,850,0,0,129,4,0,984,1820,3,0,273,11,0,2105,290,187,24,186,31,42,759,17652,2803,464,2744,364,81,24107
LGA16610,4,5,0,5,4,0,19,0,6,0,5,0,0,13,6,67,11,24,11,3,119,75,51,35,48,28,4,244,72,25,16,61,28,0,198,187,15,14,99,34,7,354,381,16,4,165,17,0,586,398,3,11,104,15,0,530,89,4,0,22,3,0,111,23,0,0,5,0,0,26,6,0,0,6,5,0,12,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,7,25,15,0,22,24,3,85,1273,196,91,563,169,24,2315
LGA16700,13,28,7,10,4,0,59,0,22,19,4,0,0,49,34,148,52,41,8,0,282,65,277,175,103,17,7,639,62,96,43,82,17,0,306,212,116,92,118,54,6,589,1325,77,66,210,33,6,1711,4344,64,62,482,65,12,5030,4188,45,25,432,35,3,4729,3114,11,14,275,20,0,3435,1356,0,6,169,14,3,1550,593,0,4,91,9,0,697,305,3,0,33,0,4,344,419,0,0,62,5,0,484,256,74,42,185,40,44,643,16280,965,609,2287,325,94,20557
LGA16900,4,28,9,3,0,0,50,0,60,3,8,0,0,67,3,516,11,27,9,0,573,25,314,29,28,14,0,415,37,158,22,48,0,0,267,103,139,21,66,0,4,346,392,112,47,153,13,3,712,1213,136,22,290,24,3,1693,1486,46,9,267,15,0,1817,810,5,0,75,9,6,904,219,0,0,17,0,0,233,39,0,0,4,0,0,51,4,0,0,0,0,0,11,16,3,0,9,0,0,30,76,83,13,64,14,14,266,4440,1611,180,1069,101,29,7422
LGA16950,7,4,10,23,17,0,55,4,20,11,5,7,0,45,18,68,85,76,50,5,301,70,213,231,114,68,6,697,136,87,69,186,40,0,522,354,146,134,238,221,9,1104,1277,124,135,452,106,6,2110,2520,55,57,561,79,10,3282,1220,10,18,235,21,0,1504,253,0,0,43,13,0,305,67,0,0,26,4,0,96,28,0,0,11,0,0,32,9,0,0,4,4,0,17,21,0,0,30,8,0,55,92,67,36,164,92,25,475,6063,798,784,2165,722,74,10604
LGA17000,10,3,0,4,0,0,16,3,0,0,3,0,0,7,9,36,4,8,7,0,59,34,84,23,17,12,0,169,44,33,6,19,16,0,123,137,52,9,28,45,0,271,267,34,8,72,38,0,413,508,41,11,79,12,0,647,208,8,0,27,7,0,241,45,0,0,7,0,0,57,14,0,0,0,0,0,13,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,6,23,9,0,33,33,5,108,1306,298,58,298,179,11,2152
LGA17040,4,0,0,12,20,0,32,3,4,3,10,7,0,31,22,12,10,37,20,0,93,67,21,16,61,16,4,187,51,4,8,53,12,0,128,157,10,11,92,47,0,320,223,13,12,101,17,0,368,234,0,0,79,26,0,344,118,0,0,61,8,0,189,50,0,0,24,3,0,80,35,0,0,7,16,0,56,24,0,0,18,6,0,49,8,0,0,9,3,0,17,82,0,0,66,64,0,216,62,6,6,88,83,8,246,1121,65,57,725,350,16,2342
