LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA13550,374,189,216,180,166,178,145,113,68,1624,2892,1412,1769,1520,1414,1615,1259,835,321,13041
LGA13660,106,50,43,65,70,81,68,39,17,546,866,405,378,504,628,773,746,479,170,4949
LGA13800,1023,714,668,622,698,632,409,277,158,5201,12830,8605,8786,7891,9196,8617,6335,3549,1224,67039
LGA13850,69,46,45,42,41,66,45,30,12,400,473,312,322,266,329,509,345,249,88,2889
LGA13910,405,237,196,208,247,296,194,148,46,1978,3652,2025,1987,1986,2283,2756,2518,1481,527,19220
LGA14000,1233,845,661,936,1000,773,632,607,593,7283,28775,17905,14400,22175,21853,18563,14055,8843,4287,150859
LGA14100,116,99,63,83,123,90,89,122,252,1035,2265,1658,986,1517,1999,1675,1462,987,719,13269
LGA14170,1425,1262,2220,1877,1577,1332,862,549,333,11438,26305,18365,34599,30167,25793,19550,13999,7806,3536,180114
LGA14220,487,229,249,238,294,256,216,137,68,2168,3438,2030,1983,1847,2188,2377,2172,1400,472,17902
LGA14300,109,187,323,298,223,132,82,49,11,1403,1057,703,931,860,852,852,697,378,127,6464
LGA14350,749,521,654,574,458,454,353,240,75,4072,5154,3186,3091,3029,3606,4897,4887,2550,866,31270
LGA14400,238,177,128,163,185,200,215,120,66,1485,3822,2297,2047,2517,2768,3383,3429,1917,764,22931
LGA14500,929,663,400,569,758,656,455,358,325,5116,23959,15855,9392,16393,18678,15070,11578,8122,4145,123193
LGA14550,211,87,99,127,118,184,158,67,34,1091,1485,785,710,931,1174,1785,1600,663,229,9370
LGA14600,212,96,104,106,115,100,70,46,25,871,1272,598,711,684,710,835,681,408,196,6101
LGA14650,3083,1752,1584,1672,1704,1563,1276,961,569,14159,38660,23905,23967,25618,26566,26756,24328,15367,6233,211391
LGA14700,287,183,343,371,209,192,143,113,139,1975,7053,3873,6373,6875,5151,3921,3061,1824,745,38881
LGA14750,295,164,174,159,158,165,90,60,39,1309,2400,1515,1371,1272,1382,1454,1037,691,282,11402
